,2021-12-31,全球新冠“疫苗+特效药”拼图完成：国产疫苗2021年供应近50亿剂,Wind
27,2021-12-13,智飞生物：公司目前生产经营正常，所有业务均正常有序推进,每日经济新闻
28,2021-12-13,智飞生物：与中科院微生物研究所合作研发的重组新冠疫苗（CHO细胞）达到WHO要求的有效性标准,每日经济新闻
29,2021-12-13,智飞生物：公司现有两款药品获批上市，分别为重组结核杆菌融合蛋白与注射用母牛分枝杆菌,每日经济新闻
30,2021-12-13,智飞生物：应付账款增加主要是按计划采购代理产品增加所致,每日经济新闻
31,2021-12-13,智飞生物：公司与中科院微生物研究所高度关注毒株变异情况并已开始相关研究,每日经济新闻
32,2021-12-13,茅指数与宁组合同台竞技，两大赛道谁技高一筹？,Wind
33,2021-12-11,最惨腰斩后，“茅指数”王者归来，股王重振雄风！,Wind
34,2021-12-11,重庆财经丨“中国民营疫苗第一股”智飞生物两独家结合疫苗进入III期临床试验,上游新闻
35,2021-12-10,智飞生物(300122.SZ)：双价痢疾结合疫苗进入III期临床试验,格隆汇
36,2021-12-10,晚间重要公告2021年12月10日星期五,Wind
37,2021-12-10,智飞生物：公司四价流脑结合疫苗进入Ⅲ期临床试验,Wind
38,2021-12-10,智飞生物：四价流脑结合疫苗进入Ⅲ期临床试验,财联社
39,2021-12-09,2022年医药行业策略报告：回本溯源 看好药品行业的长期投资机会,新浪
40,2021-12-09,人民金融·创新药指数涨0.94% | 腾盛博药中和抗体更大市场在海外 正在研究用于预防新冠,证券时报网
41,2021-12-09,“优等生”智飞生物缘何难获投资者“青睐”？两个迹象需留意,新浪
42,2021-12-09,智飞生物市值缩水2000亿 从代理商到研发巨头距离有多远？,Ofweek
43,2021-12-08,【兴证策略 | 陆股通】配置盘与交易盘在哪些行业出现“分歧”？,尧望后势
44,2021-12-08,医药生物行业2022年度策略行业策略：核心五问揆情度理 先进制造+创新升级大处落墨,新浪
45,2021-12-07,医药行业2022年投资策略报告：政策扰动下分化加剧 战略性看好医药黄金赛道上的优质个股,新浪
46,2021-12-06,北向资金连续4日净买入累计加仓超150亿，大幅抢筹券商、银行股,Wind
47,2021-12-06,2021年基金，买了个“寂寞”,Wind
48,2021-12-06,粤开策略深度 | 医药生物行业2022年展望：价值重鸣，创新为锋,粤开崇利论市
49,2021-12-06,医药生物行业：医保谈判落地 释放积极信号,新浪
50,2021-12-06,智飞生物新冠疫苗价值受关注 三季报增长股价反跌有何玄机？,投资者网
51,2021-12-05,本周北向资金重点增持环保行业，狂买“宁王”22亿元，减仓这些个股（名单）,21世纪经济报道
52,2021-12-04,盘中创新低 “疫苗一哥”受关注,中访网
53,2021-12-04,A股市场领涨全球，监管同意开展账户管理功能优化试点工作,Wind
54,2021-12-03,智飞生物：公司与中科院微生物研究所高度关注毒株变异情况并已开始相关研究,每日经济新闻
55,2021-12-03,智飞生物：与中科院微生物研究所合作研发的重组新型冠状病毒疫苗（CHO细胞）达到WHO要求的新冠疫苗有效性标准,每日经济新闻
56,2021-12-03,A股市场领涨全球，北上资金已开始“按捺不住”？,Wind
57,2021-12-03,生物制药行业深度研究：生物制品行业1至11月批签发回顾与分析,国金证券股份有限公司
58,2021-12-02,28万亿资金“剧透”A股跨年行情，多条投资主线曝光,Wind
59,2021-12-02,跨年行情如何布局？机构普遍看好这三大赛道,Wind
60,2021-12-02,11月金股组合亏损1.76% 12月荐股名单出炉 亏损,新浪
61,2021-12-02,芯片龙头涨停，低位高景气热门股名单来了,Wind
62,2021-12-02,26股遭北向资金减持超亿元 减持股份,证券时报网
63,2021-12-01,变异毒株Omicron掀翻全球市场，疫苗股还值得投吗？,E药经理人
64,2021-12-01,医药生物行业：OMICRON毒株引发全球关注 重视疫苗板块机会,新浪
65,2021-11-30,65股获海外机构调研 智飞生物最受关注,证券时报网
66,2021-11-30,北向资金今日净卖出超34亿元11月累计加仓185亿，贵州茅台连续3日遭抛售,Wind
67,2021-11-30,HPV 疫苗资本红利还剩多少,ZAKER
68,2021-11-30,本月2板块获密集调研，“榨菜茅”被64家券商调研,Wind
69,2021-11-30,粤开策略专题：奥密克戎来袭 构建”疫苗+药物“防御屏障,新浪
70,2021-11-30,【异动股】生物制品板块下挫，智飞生物(300122.CN)跌3.68%,财华社
71,2021-11-30,北向资金动向盘点：再次转向电力设备新能源,Wind
72,2021-11-30,盘前情报丨中国首批区块链订单融资落地雄安；日产汽车5年内投2万亿日元，电池成本降六成,21世纪经济报道
73,2021-11-30,锂电池继续活跃，北向资金加仓电池行业8.88亿元，大幅减持这只白酒股（名单） 减持股份,21世纪经济报道
74,2021-11-30,应对奥密克戎变异株，各国加速新疫苗研发,Wind
75,2021-11-30,2021中国上市公司软实力巡礼：智飞生物价值250.93亿元 排序第20名,搜狐
76,2021-11-29,医药行业周报：OMICRON成热议 CDMO和上游边际改善,新浪
77,2021-11-29,南财脱水研报丨奥密克戎对医疗板块影响如何，复盘德尔塔或能参考,21经济网
78,2021-11-29,海外机构调研股名单 智飞生物最受关注,证券时报网
79,2021-11-29,盛通股份：公司已与国内获批上市的中国生物、智飞生物等新冠疫苗生产企业合作，订单量充盈,每日经济新闻
80,2021-11-29,变异毒株来势汹汹！高回撤绩优热门股名单来了,Wind
81,2021-11-29,医药生物行业2022年投资策略报告：返璞归真 迎接高质量发展,新浪
82,2021-11-29,生物医药行业周报：加强新时代老龄工作的意见发布 康复行业或将获益,新浪
83,2021-11-29,智飞生物：公司现有预防新冠产品智克威得临床试验数据显示有很好的安全性和防病效果,Wind
84,2021-11-29,智飞生物：正积极推进重组新冠疫苗的后续认证工作,每日经济新闻
85,2021-11-29,智飞生物：mRNA技术在疫苗开发、肿瘤治疗等方面有优势,每日经济新闻
86,2021-11-29,智飞生物：公司重组新冠疫苗具有很好的安全性和防病效果,每日经济新闻
87,2021-11-29,医药板块反弹强烈，硕世生物涨超15%,制药网
88,2021-11-29,超级病毒全球刷屏，投资逻辑彻底变了？一类股危险了,Wind
89,2021-11-28,复星医药VS智飞生物~花2分钟看两个新冠疫苗企业背后的综合实力,深水财经社
90,2021-11-28,下周操盘攻略：奥密克戎毒株“突袭”全球金融市场,Wind
91,2021-11-28,年底公募基金调研动向大曝光！这些股要火？,Wind
92,2021-11-28,医药行业周报：本周医药板块上涨1.69% 建议关注OMICRON新变异株及医药三大防疫板块,新浪
93,2021-11-26,医药生物行业专题：带状疱疹 中老年群体“会呼吸的痛” 国产独家疫苗即将起航,新浪
94,2021-11-26,35股收盘价创年内最低，回撤最高70%以上,Wind
95,2021-11-26,多个重磅疫苗品种将陆续上市,Wind
96,2021-11-26,养老产业迎来新机遇，54只个股排排坐,Wind
97,2021-11-25,话题广涉元宇宙、新冠疫苗、新能源……59家重庆上市公司被股民“拷问”,上游新闻
98,2021-11-25,重庆上市公司2021年投资者网上集体接待日活动圆满举行,上证报
99,2021-11-25,医药行业2021年三季报总结报告：恢复高成长 医药进入估值切换长周期,新浪
100,2021-11-25,人民金融·创新药指数涨1.13% | 未来几年，多个重磅疫苗品种将陆续上市,证券时报网
101,2021-11-25,"智飞生物现1笔大宗交易 共成交1,039.92万元",新浪
102,2021-11-25,张文宏论文：证明疫苗异源加强接种可诱导高免疫反应,Wind
103,2021-11-25,进阶的新冠疫苗 又一个中国造,Ofweek
104,2021-11-25,20万亿赛道出重磅政策，关乎近2亿人，养老概念股来了,Wind
105,2021-11-24,医药生物行业周报：CDE发布《以临床价值为导向的抗肿瘤药物临床研发指导原则》,新浪
106,2021-11-24,医药生物行业双周报,新浪
107,2021-11-24,密集调研精挑细选，基金“备货”有的放矢,Wind
108,2021-11-23,半年跌掉1600亿，“疫苗一哥”怎么了？,凤凰网
109,2021-11-22,医药行业周报：近期政策跟踪：迎接行业高质量发展,新浪
110,2021-11-22,37股获20家以上机构调研 智飞生物最受关注,证券时报网
111,2021-11-22,34股获北向资金加仓超亿元,证券时报网
112,2021-11-21,医保谈判尘埃落定，布局医药蓝筹正当时！,红周刊
113,2021-11-19,智飞生物：取得重组新冠疫苗Ⅲ期临床试验关键性数据,中证网
114,2021-11-19,智飞生物接受140家机构调研！短期主力资金净流入，市场资金或早已察觉,每日经济新闻
115,2021-11-19,智飞生物：公司于去年参与深圳深信生物科技有限公司融资，该公司是一家主要从事mRNA技术研发和药品研究开发的生物企业,每日经济新闻
116,2021-11-19,智飞生物：目前已取得重组新冠疫苗Ⅲ期临床试验关键性数据，结果显示具有很好的安全性和防病效果,每日经济新闻
117,2021-11-18,国常会传来利好！海外机构扎堆调研这些公司，榨菜龙头最受关注,Wind
118,2021-11-18,年末密集调研，海外资管巨头盯上A股“便宜货”,Wind
119,2021-11-16,疫苗板块连续反弹，能不能追？葛兰加仓、业绩高增、多个临床试验获批，喝药行情再现,21世纪经济报道
120,2021-11-16,11月调研情况：网安赛道风起，机构最爱“榨菜茅”,Wind
121,2021-11-15,生物疫苗概念今日大涨 这只个股本月以来获机构密集调研,第一财经
122,2021-11-15,南财脱水研报｜疫苗板块大涨，业绩延续高增长、多个公司新冠疫苗获临床试验获批,21经济网
123,2021-11-15,北向资金连续3日净买入累计加仓近160亿，中国中免获净买入超6亿元,Wind
124,2021-11-15,瞬间蒸发千亿市值的疫苗股，三季度业绩如何？,新康界
125,2021-11-15,生物疫苗概念拉升，康希诺大涨超10%，智飞生物等走强,证券时报网
126,2021-11-15,医药行业周报：2021医保谈判落幕 本周医药板块上涨0.82% 建议关注政策受益的原料药板块,新浪
127,2021-11-14,智飞生物(300122)：常规品种逐步恢复 新冠疫苗期待海外表现,新浪
128,2021-11-14,陆家嘴财经早餐2021年11月14日星期日,Wind
129,2021-11-13,一周狂飙54%，“华为+光伏”概念股创新高，透露产销等信息！疫苗龙头获近百家机构调研（附名单）,证券时报网
130,2021-11-13,一周狂飙54%，“华为+光伏”概念股创新高！,Wind
131,2021-11-12,智飞生物：目前公司管线内有26个在研项目，主要涉及预防肺结核、肺炎、流脑、流感、狂犬病等人用疫苗项目,每日经济新闻
132,2021-11-12,医药板块2021Q3分析暨11月月报：高基数下增速放缓 板块基本面仍旧强劲 把握配置窗口期,新浪
133,2021-11-11,北向资金杀回马枪超86亿资金回流A股，东方财富获大幅净买入超18亿,Wind
134,2021-11-10,中证报：注册制改革释放活力，市场生态焕新颜,Wind
135,2021-11-09,重庆智飞正开发新冠肺炎二代疫苗,上游新闻
136,2021-11-09,突破13亿，中国A50ETF（563000）成交排名市场股票ETF第一,Wind
137,2021-11-09,5分钟破亿，A50ETF（159601）成交持续活跃,Wind
138,2021-11-09,新能源主线继续领跑，机构建议布局“跨年行情”,Wind
139,2021-11-09,沪深上市公司前三季度净利润同比增长26%,Wind
140,2021-11-09,全球疫情防控进入第三阶段，新冠抗病毒口服药中外竞速战开启,Wind
141,2021-11-08,理财子公司密集调研后，这些“明星股”大涨,Wind
142,2021-11-08,沪深上市公司前三季度净利润同比增长26% 实体公司“平稳致远” 两创板块亮点突出,Wind
143,2021-11-08,2021年医药行业11月策略报告：战略布局特色原料药及高景气度子行业,新浪
144,2021-11-08,医药生物行业跨市场周报：辉瑞新冠药中期数据优异 新冠有望进一步流感化,光大证券
145,2021-11-08,沃森生物：业绩遇冷 股东抢跑,证券市场周刊
146,2021-11-08,9000亿赛道重挫、美国突发大消息，市场预期巨变？,Wind
147,2021-11-08,智飞生物（300122.SZ）：研发管线层次丰富 智克威得达到WHO要求的新冠疫苗有效性标准,智通财经
148,2021-11-08,A股收盘综述：锂电池王者归来，天齐锂业上板并获主力净流入27亿元,Wind
149,2021-11-08,A股午盘综述：锂电池板块再度崛起，稀土、环保、航运、元宇宙炒作积极,Wind
150,2021-11-08,默沙东与智飞生物“牵手”十年 将创新产品与销售服务网络进行优势互补,中国网
151,2021-11-08,康希诺-U跌近10%创上市以来新低，疫苗板块连续下滑,Wind
152,2021-11-08,“兜底增持”也玩不转 利空频出下疫苗股被看衰 后续业绩谁来撑？,Wind
153,2021-11-08,智飞生物：智克威得初步分析结果显示对变异毒株有不错的保护效力,Wind
154,2021-11-08,欧洲疫情爆表，两个大国告急！美国疫苗巨头传来大消息,Wind
155,2021-11-07,进博会：智飞生物与默沙东合作十周年，还与西门子战略签约,上游新闻
156,2021-11-07,陆家嘴财经早餐2021年11月7日星期日,Wind
157,2021-11-06,智飞生物与西门子签署战略合作协议,财联社
158,2021-11-06,十年共进，默沙东携手智飞生物守护中国公众健康,美通社
159,2021-11-06,一粒药让重庆首富“蒸发”百亿身家,36氪
160,2021-11-06,智飞生物：公司的研发生产基地为北京智飞绿竹和安微智飞龙科马，公司目前生产经营正常,每日经济新闻
161,2021-11-06,新冠口服特效药大比拼，辉瑞“吊打”默沙东、“团灭”疫苗股？,钛媒体
162,2021-11-05,新冠疫苗“明星”公司三叶草生物上市首日破发 疫苗概念“不香”了？,每日经济新闻
163,2021-11-05,疫情常态化后，智飞生物(300122.SZ)还值得持有么？,格隆汇
164,2021-11-05,智飞生物：公司共有5种自主产品在售，包括ACYW135流脑多糖疫苗、Hib疫苗、AC结合疫苗、EC、微卡,每日经济新闻
165,2021-11-05,智飞生物：公司目前生产经营正常,每日经济新闻
166,2021-11-05,医疗健康产业2022年投资策略：医疗投资进入百花齐放时代 国产自主化进入新高潮,新浪
167,2021-11-05,国产13价肺炎疫苗，能否复制万泰生物钟睒睒HPV疫苗的造富故事？,药渡
168,2021-11-05,中信建投医药大健康团队最新研究,中信建投证券研究
169,2021-11-04,【兴证医药】医药持仓比例历史低位，自下而上布局2022年-2021年11月投资月报,兴证医药健康
170,2021-11-04,康泰生物疫苗获印尼紧急使用 业内：海外同样存在竞争，新冠疫苗增长期或已过去,每日经济新闻
171,2021-11-04,北向资金稳步加仓连续6日净买入，新能源、大消费集体获抢筹,Wind
172,2021-11-04,渝股点金 | 华龙证券王冬炎：跟涨食品饮料板块，有友食品本周强势反弹,上游新闻
173,2021-11-04,2021年11月投资月报：医药持仓比例历史低位 自下而上布局2022年,新浪
174,2021-11-04,天风证券维持智飞生物买入评级：业绩维持高增长，新冠疫苗显著贡献业绩,每日经济新闻
175,2021-11-04,天风证券：给予智飞生物买入评级,证券之星
176,2021-11-03,公募基金持股市值创新高，社保显著加仓周期股（附表）,Wind
177,2021-11-03,中信建投：维持智飞生物(300122.SZ)“买入”评级 业绩符合预期 重磅品种放量可期,智通财经
178,2021-11-03,医药行业：疫苗板块高景气有望延续,新浪
179,2021-11-03,医药生物上市公司2021年三季报小结：板块业绩增速延续稳定 自下而上寻找专精特新,新浪
180,2021-11-02,国泰君安医药行业2021年11月投资策略暨三季报报总结：高基数和疫情反复影响增速放缓,新浪
181,2021-11-02,58家重庆A股上市公司前三季赚472亿元，谁是业绩王？,上游新闻
182,2021-11-02,疫苗上市公司三季度扫描：新冠疫苗概念股扣非净利均翻倍，板块市值蒸发超千亿,每日经济新闻
183,2021-11-02,被股民质疑市值翻倍，三叶草生物认购不积极，连“新冠疫苗股”都不香了？,经济观察网
184,2021-11-02,北向资金连续4日净买入累计扫货近150亿，新能源龙头股集体获抢筹,Wind
185,2021-11-02,疫苗龙头跌近7%，5个月市值蒸发超2000亿，医药女神浮亏近5亿元,AI财经社
186,2021-11-02,2100亿巨头大跌，股民2天或浮亏31万，发生了什么？,凤凰网
187,2021-11-02,三叶草生物，下一个康希诺？,YY港股圈
188,2021-11-02,山西证券11月荐股名单出炉（共10只）,新浪
189,2021-11-01,A股三季报交出优异答卷，营收净利增速创近五年新高,Wind
190,2021-11-01,赵军宁任国家药品监督管理局副局长 |新一轮国家医保谈判即将于11月开始【最新闻1101】,MedTrend医趋势
191,2021-11-01,社保基金最新路线图曝光，调仓频率加快，有色金属行业成新宠，长期持有6只利润翻倍股,证券时报网
192,2021-11-01,兴业证券：维持智飞生物(300122.SZ)“审慎增持”评级 业绩增长符合预期 HPV贡献有望提速,智通财经
193,2021-11-01,国泰君安：予智飞生物(300122.SZ)“增持”评级 目标价下调至184.68元,智通财经
194,2021-11-01,西部证券给予智飞生物买入评级：自主产品销售高增长，多款在研待上市,每日经济新闻
195,2021-11-01,智飞生物2021年三季报点评：在研产品推进顺利，新冠疫苗贡献显著业绩【东吴医药朱国广团队】,国广有话说
196,2021-10-31,2021胡润百富榜出炉！首富换成医药人！,MedTrend医趋势
197,2021-10-31,东吴证券维持智飞生物买入评级，2021年三季报点评：在研产品推进顺利，新冠疫苗贡献显著业绩,每日经济新闻
198,2021-10-30,创业板12年成绩单亮了！总市值突破13万亿,Wind
199,2021-10-30,A股盈利拐点50强：三大概念成大赢家，周期股翻身，业绩大反转，6股业绩增幅超10倍,证券时报网
200,2021-10-30,山西证券给予智飞生物增持评级：Q3业绩持续高速增长，自主产品贡献显著,每日经济新闻
201,2021-10-30,山西证券：给予智飞生物增持评级,证券之星
202,2021-10-30,两大行业亮眼！A股三季报大数据榜单揭晓,Wind
203,2021-10-29,国产新冠疫苗迎“收获期”，龙头企业三季度业绩暴涨,21世纪经济报道
204,2021-10-29,智飞生物(300122)：主营增长依然强势 新冠海外销售期待突破,西南证券
205,2021-10-29,国盛证券维持智飞生物买入评级：非新冠产品业绩贡献超预期，坚定看好公司未来发展,每日经济新闻
206,2021-10-29,华西证券：给予智飞生物买入评级,证券之星
207,2021-10-29,智飞生物新冠疫苗等自研产品放量 助推净利润同比大增239.05%,财联社
208,2021-10-29,智飞生物前三季度净利润大增239% 新冠疫苗成为增长主力,上证报
209,2021-10-29,A股早报2021年10月29日星期五,Wind
210,2021-10-29,操盘必读｜张坤加仓伊利减持泸州老窖，智飞生物三季度净利增2倍！标普、纳指创新高,上游新闻
211,2021-10-29,“中国民营疫苗第一股”重庆智飞生物前三季赚84亿元额增239% 股东数减筹码集中,上游新闻
212,2021-10-28,智飞生物前三季度净利润同比增长239% 外资和明星基金已默默加仓,e公司
213,2021-10-28,智飞生物前三季度净利增长239% 新冠疫苗、自主产品业绩贡献显著,证券时报网
214,2021-10-28,10月28日三季报汇总：智飞生物、中金公司等公司公告出现利好,证券之星
215,2021-10-28,智飞生物前三季度净利润同比增长239.05%,上证报
216,2021-10-28,图解智飞生物三季报：第三季度单季净利润同比增199.06%,证券之星
217,2021-10-28,智飞生物：第三季净利同比增199% 葛兰旗下中欧医疗加仓,财联社
218,2021-10-28,智飞生物：2021年第三季度净利润约29.13亿元，同比增长199.06%,每日经济新闻
219,2021-10-28,智飞生物：第三季度净利29.13亿元 同比增长199%,财联社
220,2021-10-28,智飞生物：第三季度净利29.13亿元 同比增长199.06%,财联社
221,2021-10-28,智飞生物：前三季度净利润84.04亿元，同比增长239.05%,Wind
222,2021-10-28,智飞生物：前三季度净利润同比增长239.05%,Wind
223,2021-10-28,10家药企12名医药人，荣登2021胡润百富榜！,微信
224,2021-10-28,疫苗股午后异动，康希诺涨超4%,Wind
225,2021-10-27,2021胡润百富榜出炉！医药行业上榜12人，涉及10家企业,新浪医药
226,2021-10-27,葛兰三季报：在管规模逼近千亿元，聚焦有竞争壁垒的优质公司,澎湃新闻
227,2021-10-27,顶流来了！谢治宇、朱少醒、周蔚文、刘彦春等最新持股大曝光,Wind
228,2021-10-26,智飞生物：公司自主研发项目冻干人用狂犬病疫苗（MRC-5细胞）正处于Ⅲ期临床试验过程中,每日经济新闻
229,2021-10-26,智飞生物：公司自主研发项目流感病毒裂解疫苗已完成临床试验,每日经济新闻
230,2021-10-26,智飞生物：公司和中科院微生物研究所合作研发的重组新型冠状病毒疫苗（CHO细胞）达到WHO要求的新冠疫苗有效性标准,每日经济新闻
231,2021-10-26,智飞生物：公司的营销网络实现覆盖全国31个省、自治区、直辖市,Wind
232,2021-10-25,生物医药行业周报：三季报即将集中披露 建议关注业绩确定性较强的公司,新浪
233,2021-10-22,季报行情打响 这三大行业稳增长势头不改,金融投资报
234,2021-10-22,两年半亏损19亿！三叶草是否能抓紧「新冠疫苗」稻草？ 亏损,药智网
235,2021-10-22,A股午盘综述：半导体产业链、地产、家电复苏，煤炭、钢铁板块调整,Wind
236,2021-10-22,国泰君安：新冠疫苗进入业绩兑现期，港股部分标的将受益,Wind
237,2021-10-18,医药行业周报：卫健委再发重磅文件 加快三明改革在全国推广,新浪
238,2021-10-18,半年落后千亿级市场，仍未在国内上市的mRNA疫苗还有机会么？,动脉新医药
239,2021-10-18,医药行业周报：行业震荡回调 把握优质股配置机会,新浪
240,2021-10-18,生物医药行业周报：板块出现波动 建议关注业绩确定性强的标的,新浪
241,2021-10-18,医药生物行业：创新药国谈价格前瞻分析,新浪
242,2021-10-17,智飞生物：将持续做好产品进口、推广、销售等工作,Wind
243,2021-10-17,智飞生物：根据双方协议约定，默沙东向智飞生物独家供应协议疫苗产品，截至2020年末，公司累计签发HPV疫苗超过2500万剂,每日经济新闻
244,2021-10-17,智飞生物：公司重组结核杆菌融合蛋白（EC）于去年获批，截至目前已在广西、湖南、四川、浙江、山东等26个省级单位中标，该产品的推广工作也在积极推进中,每日经济新闻
245,2021-10-17,智飞生物：公司目前共有5种自主产品上市在售，1种产品紧急使用，包括ACYW135流脑多糖疫苗、AC结合疫苗、Hib疫苗、重组结核杆菌融合蛋白（EC）、注射用母牛分枝杆菌、重组新冠疫苗,每日经济新闻
246,2021-10-17,智飞生物：公司目前生产经营正常,每日经济新闻
247,2021-10-17,智飞生物：中国科学院微生物研究所与公司合作有中东呼吸综合征疫苗项目、重组新型冠状病毒疫苗（CHO细胞）项目,每日经济新闻
248,2021-10-17,智飞生物：根据公司与默沙东公司签署的相关协议，代理产品为四价HPV疫苗、九价HPV疫苗、五价轮状疫苗、23价肺炎疫苗、灭活甲肝疫苗，协议期限自2021年1月1日起至2023年6月30日止，目前公司该协议代理业务经营情况正常,每日经济新闻
249,2021-10-17,智飞生物：公司和中科院微生物研究所合作研发的重组新型冠状病毒疫苗（CHO细胞）达到WHO要求的新冠疫苗有效性标准，初步分析结果也显示出该产品对变异毒株有不错的保护效力,每日经济新闻
250,2021-10-14,让人羡慕！女生们一针难求的疫苗，又有城市宣布免费接种,每日经济新闻
251,2021-10-14,智飞生物：蒋仁生累计质押股数为7782万股,每日经济新闻
252,2021-10-14,医药生物行业：新冠小分子药MOLNUPIRAVIR进展迅速 关注相关产业投资机会,新浪
253,2021-10-14,新冠疫苗，盛宴近尾声,前瞻研究院
254,2021-10-13,医药生物行业双周报：行业估值处于历史平均以下 择优布局优质标的,新浪
255,2021-10-13,三叶草生物通过上市聆讯：两年半亏损19亿，高瓴为第一大机构股东 亏损,搜狐
256,2021-10-13,新冠疫苗加强针陆续开打 记者调查：国药疫苗供应足 康希诺疫苗基层渗透率较低,科创板日报
257,2021-10-12,医药生物行业简评报告：广东联盟集采文件出炉 整体好于市场预期,新浪
258,2021-10-11,医药行业周报：不对称有机催化研究,新浪
259,2021-10-11,医药行业周报：默沙东新冠药数据公布 腾盛博药递交FDA+EUA申请,新浪
260,2021-10-11,德邦证券：首予智飞生物(300122.SZ)“买入”评级 价值区间218.8-225元,智通财经
261,2021-10-11,医药行业周报：本周医药板块上涨0.27 建议关注双限政策及新冠药物板块,新浪
262,2021-10-10,一天100亿！重庆首富身家暴跌，全因一颗“神药”？,大猫财经
263,2021-10-09,推动企业高质量发展，重庆民企这样做,上游新闻
264,2021-10-09,多地启动新冠疫苗加强针，涉及安徽福建湖北黑龙江海南等地,Wind
265,2021-10-08,智飞生物跌8.08% 招商证券平安证券八月底唱多,中国经济网
266,2021-10-08,智飞生物收跌8.08%，现报146.14元,乐居财经
267,2021-10-08,A股疫苗股补跌：智飞生物(300122.SZ)一度跌超9%,格隆汇
268,2021-10-08,美国加大新冠检测，什么信号？境外疫苗有效率大降,Wind
269,2021-10-08,21健讯Daily｜智飞生物新冠疫苗在印尼获批；厦门中高风险地区清零,21世纪经济报道
270,2021-10-08,医药行业周报：国庆期间海外抗疫板块出现波动 建议理性看待新冠口服药影响,新浪
271,2021-10-07,智飞生物：三季报预约披露日期为2021年10月29日,每日经济新闻
272,2021-10-07,能源危机，这个板块要飙涨,腾讯网
273,2021-10-07,智飞生物新冠疫苗在印尼获得紧急使用许可,格隆汇
274,2021-10-07,2021年前三季度研报精选·医药,中信建投证券研究
275,2021-10-04,新冠特效药吓崩疫苗股，其实结局早已注定？,格隆汇
276,2021-09-30,突破技术壁垒 国产结核菌素产品上市,光明网
277,2021-09-30,智飞生物：截至目前，公司协议代理业务经营情况正常,每日经济新闻
278,2021-09-30,关注高端医疗技术国产替代加速、精选三季报有望超预期高增长个股,金融界
279,2021-09-28,医药生物行业简评报告：国内后疫情时代 疫苗企业价值几何？,新浪
280,2021-09-28,首席周观点：限电考验定力,新浪
281,2021-09-27,医药生物行业周报：确认政策底 行业迎来布局良机,新浪
282,2021-09-27,医药生物行业周报：从景气度、竞争力、外需逻辑看诺禾致源投资价值,新浪
283,2021-09-27,集采降价预期见底企稳回升，建议超配生物医药板块,金融界
284,2021-09-26,医药生物行业：海外新冠治疗药物有望Q4陆续获批 重点推荐相关CDMO标的,新浪
285,2021-09-26,医药生物行业资金流入榜：6股净流入资金超亿元,证券之星
286,2021-09-25,智飞生物EC被用于秋季中学新生结核病筛查,e公司
287,2021-09-24,智飞生物召开新冠疫苗Ⅲ期临床数据研讨会 对任何严重程度保护效力约82%,e公司
