,2021-12-31,恒力石化(600346.SH)尚未开始实施回购,智通财经
138,2021-10-20,恒力石化：恒力（惠州）项目预计2022年年中投产,Wind
139,2021-10-20,恒力石化：预计于2021年10月28日披露三季报,每日经济新闻
140,2021-10-20,恒力石化：公司现阶段拥有五个生产厂区,Wind
141,2021-10-20,石油化工行业“炼化-化纤”产业链周报：长丝受限电影响价格上涨 多家公司发布前三季度业绩预告,新浪
142,2021-10-19,国信期货：弱供需 强成本 PTA僵持前行,新浪
143,2021-10-19,石油加工行业每周炼化：长丝盈利大幅改善,新浪
144,2021-10-19,油气价格走势及影响深度报告：资源价值有望长期复苏 看好石化转型升级空间,新浪
145,2021-10-19,周期股“急转弯” 煤炭、有色指数最大回撤超24%,Wind
146,2021-10-18,中泰周期·大宗指南：周期品周度运行变化,新浪
147,2021-10-17,中泰化工周度观点21W41：冬季供需偏紧支撑油价 22Q2步入累库价格承压,新浪
148,2021-10-16,基础化工行业周报：海运价格下调促轮胎企业盈利回升 限电背景下聚酯龙头长期受益,光大证券
149,2021-10-13,恒力石化年产45万吨生物可降解新材料项目开工,中国纺织报
150,2021-10-11,煤炭石化行业周报：粘胶有望触底反弹 政策层强力保供动力煤,新浪
151,2021-10-10,石化行业周报：OPEC+未扩大增产规模 原油价格波动上行,新浪
152,2021-10-08,石油石化行业研究周报：原油供需缺口缓慢修复 利好炼化板块盈利,新浪
153,2021-10-08,国内商品期市收盘多数上涨，棉纱涨停,Wind
154,2021-10-04,兴业证券石油石化行业周报：IDA飓风影响犹在 需求存回暖预期 国际原油价格维持上涨趋势,新浪
155,2021-09-30,恒力石化：本次限电截止到目前对上市公司未构成影响,Wind
156,2021-09-30,A股避险情绪浓厚，周期股集体重挫，持股还是持币过节？,Wind
157,2021-09-29,恒力石化跌5.47% 中信证券长江证券上月中旬喊买入,中国经济网
158,2021-09-29,市值蒸发超万亿，周期股被爆锤，北上资金抄底这些股！,Wind
159,2021-09-29,东方盛虹跌停压制化纤板块，该股半月内累挫超三成,Wind
160,2021-09-29,中信证券：需求旺季渐进，未来3-6个月油价存在进一步冲高的可能性,Wind
161,2021-09-29,中信证券：需求旺季渐进，看好四季度油价表现,Wind
162,2021-09-28,股价波动不改化工板块景气，继续看好具有能耗优势的子行业龙头,金融界
163,2021-09-27,化工新材料行业周报：恒力石化生物降解新材料项目开工 奥克股份建设二氧化碳综合利用项目,新浪
164,2021-09-27,恒力石化(600346.SH)控股股东解除质押3500万股,智通财经
165,2021-09-27,石油化工行业周报：从上半年油气公司产量及资本开支 全面看好国内油气及油服行业标的,新浪
166,2021-09-27,化工行业周报：能耗双控进行时 继续看好受新能源拉动供需错配的化工子行业,新浪
167,2021-09-27,兴业证券石油石化行业周报：美国海湾原油生产暂未恢复 OPEC+增产量低于预期 国际原油价格上涨,新浪
168,2021-09-27,化工行业周报：万华荣获年度工业信息化领军奖 玲珑荣登亚洲品牌500强榜单,国海证券
169,2021-09-27,基础化工：油价上涨 制冷剂、工业硅、纯碱等产品价格继续上涨,新浪
170,2021-09-27,煤炭石化行业周报：化纤行业迎来利好 煤焦价格高位震荡,新浪
171,2021-09-26,恒力石化跌7.3% 中信证券长江证券昨日喊买入,金融界
172,2021-09-26,化工行业：“能耗双控”政策趋严 化工品价格持续普涨,广发证券
173,2021-09-26,中泰化工周度观点21W39：川恒与富临精工签署战略合作协议 金属硅报价突破6万元,新浪
174,2021-09-24,恒力石化跌4.65% 中信证券长江证券上月中旬喊买入,中国经济网
175,2021-09-23,恒力石化：上市公司体系内没有纺织业务，体系内的下游产品大多在国内销,每日经济新闻
176,2021-09-23,恒力石化：目前未生产EVA产品，暂无布局的打算,Wind
177,2021-09-23,恒力石化：由于新会计准则的修改，将原来销售费用中运输费调整到营业成本里了，不再单独进行统计,每日经济新闻
178,2021-09-23,恒力石化：公司暂时没有做电池级碳酸二甲酯（DMC）的计划,每日经济新闻
179,2021-09-23,恒力石化：目前公司已投放PTA产能1160万吨/年,Wind
180,2021-09-23,恒力石化：公司有2000万吨/年炼化产能，主要生产公司下游使用的450万吨PX、180万吨乙二醇和40万吨醋酸,Wind
181,2021-09-23,恒力石化：公司不生产制氢设备，有煤制氢,Wind
182,2021-09-22,绿色能源与大宗商品月报(2021年9月)行业月报,新浪
183,2021-09-22,化工行业周报：能耗双控背景下关注高耗能产品价格弹性 继续看好新能源赛道上游材料核心标的,新浪
184,2021-09-22,化工行业周报：万华荣获中国质量奖提名 玲珑逆境中坚持扩张,国海证券
185,2021-09-22,基础化工行业：油价上涨 工业硅、纯碱、R134A等产品价格持续上涨,新浪
186,2021-09-22,化工行业2021年半年报综述：盈利高增、景气空前,新浪
187,2021-09-21,化工行业：能耗双控影响供给 化工品价格进一步走高,广发证券
188,2021-09-21,中泰化工周度观点：完善能耗双控制度出台 产业结构优化有望提速,新浪
189,2021-09-21,化工行业周报：“十四五”塑料污染治理行动方案发布,华安证券
190,2021-09-17,石化月报(第七期)：大型炼化企业入局新能源材料,新浪
191,2021-09-16,可降解塑料板块爆发，华信新材、天元股份率先涨停,Wind
192,2021-09-15,基础化工行业2021半年报总结：景气回升带动业绩集体上涨 肥料、氟化工、化纤、聚氨酯、合成革等板块表现亮眼,新浪
193,2021-09-14,涤纶长丝行业点评：长丝底部反转趋势出现 “金九银十”或只是开始,新浪
194,2021-09-14,9月化工月度数据跟踪：PPI再创新高 持续性有望超预期,新浪
195,2021-09-14,基础化工行业周报：政策持续推动 可降解塑料需求向好,新浪
196,2021-09-13,大宗商品行业周报：绿色能源与大宗商品周报(2021年第19期),新浪
197,2021-09-13,恒力石化9月13日大宗交易成交485.58万元,证券时报网
198,2021-09-13,A股共发生142宗大宗交易成交29.83亿元（9月13日）,Wind
199,2021-09-13,恒力石化今日大宗交易成交16.10万股，成交价30.16元溢价0.0%,Wind
200,2021-09-13,化工行业：硅产业链景气度持续上行,广发证券
201,2021-09-13,石油石化行业周报：油价上行 涤纶长丝、丙烯酸-原材料价差扩大,新浪
202,2021-09-09,石油石化行业2021年中报总结：受益于油价回升 21H1营收净利双增,新浪
203,2021-09-07,化工行业周报：磷酸铁锂拉动锂电化工材料需求 继续推荐R142B-PVDF产业链,新浪
204,2021-09-06,工信部“十四五”相关规划发布在即，生物降解塑料行业高增长启动,Wind
205,2021-09-06,化工行业周报：万华拟建40万吨POCHP项目 玲珑新零售2.0上线,国海证券
206,2021-09-03,苏豪投资违规收警示函 参与定增恒力石化隐瞒信息 金融监管处罚,中国经济网
207,2021-09-03,恒力石化：“19恒力01”回售金额为10亿元，未转售,Wind
208,2021-09-03,石油化工行业专题报告：乙烯下游――化工新材料专题系列二,新浪
209,2021-09-03,恒力石化拟建DMC、双酚A等21种产品项目环评公示！加速推进化工新材料,国家煤化工网
210,2021-09-02,恒力石化今日大宗交易成交30.60万股，成交价28.01元溢价0.0%,Wind
211,2021-09-01,刘格菘也爱光伏，爱上新能源车，上半年接连增持恒力石化，强调“到了不得不考虑资产性价比阶段”,财联社
212,2021-09-01,龙净环保(600388)点评：四大领域助力业绩高增碳中和显着受益可期,新浪
213,2021-08-31,石油石化行业：需求驱动景气上行 双酚A高利润或可持续,新浪
214,2021-08-31,150亿元到手火速建仓！刘格菘隐形重仓股曝光,Wind
215,2021-08-30,恒力石化：上半年净利润86.42亿元，同比增长56.65%,Wind
216,2021-08-30,能源化工行业周观点：油价重回70美元 两碱、氟化工等价格强势,新浪
217,2021-08-30,石油石化、基础化工、新材料行业北上资金流向周报,新浪
218,2021-08-29,周末影响A股十大事件来了！,Wind
219,2021-08-27,傅鹏博等又一波百亿基金经理隐形重仓股现身,Wind
220,2021-08-26,恒力石化：将“19恒力01”票面利率由6.3%下调至2.5%,Wind
221,2021-08-24,A股强势反弹，多个板块批量涨停，三大核心赛道会持续崛起？,Wind
222,2021-08-23,化工行业周报：暂停审批部分地区“两高”项目 万华福建MDI设备开始安装 项目问题,华安证券
223,2021-08-23,机构买入评级大幅扩围，64股看涨逾70%,Wind
224,2021-08-23,煤炭石化行业周报：夏季用煤高峰已过 PVC价格有望走强,新浪
225,2021-08-22,券商评级一周速览：413只个股获券商关注，恒力石化目标涨幅达159.92%,每日经济新闻
226,2021-08-21,恒力石化上半年营收超千亿 新材料布局开启成长新通道,中国经营报
227,2021-08-19,恒力石化跌7.3% 中信证券长江证券昨日喊买入,中国经济网
228,2021-08-19,国内唯一！恒力石化这一硬核产品实现量产并出口,金融界
229,2021-08-19,A股收盘综述：大小指数再度切换，北向大幅流出超百亿,Wind
230,2021-08-19,A股午盘综述：沪指跌0.71%，周期股全线下挫,Wind
231,2021-08-19,化工股全线下挫，恒力石化跌超7%,Wind
232,2021-08-19,开源证券：中国化纤迎来历史性拐点,证券之星
233,2021-08-19,180股获券商买入评级，旺能环境目标涨幅达79.35%,Wind
234,2021-08-19,中国化纤迎来历史性拐点 | 开源证券化工,开源证券研究所
235,2021-08-19,新材料布局当打之年 恒力石化上半年业绩再创新高,长江商报
236,2021-08-18,实业报国逐梦新时代 解析恒力石化全产业链高质量发展之路,证券日报网
237,2021-08-18,恒力石化(600346)：深加工布局 新材料崛起,新浪
238,2021-08-18,恒力石化今日大宗交易成交32.10万股，成交价30.95元溢价0.0%,Wind
239,2021-08-18,恒力石化(600346)：21H1净利增57% 新材料持续布局,新浪
240,2021-08-18,信达证券维持恒力石化买入评级：顺周期业绩复苏，加大布局“炼化+新材料”,每日经济新闻
241,2021-08-18,恒力石化上交历史最佳期中考卷 上下游协同效应打造“护城河”,金融界
242,2021-08-18,恒力石化(600346)2021年半年报点评：PX等产品景气回升带动盈利提升 扩充新材料产业链厚度迈向发展新阶段,新浪
243,2021-08-18,恒力石化(600346)点评：炼化平台盈利稳定延伸性强 新材料接棒二次成长,新浪
244,2021-08-18,8月17日84只个股获券商关注，恒力石化目标涨幅达133.33%,每日经济新闻
245,2021-08-17,131股获买入评级 最新:江山欧派,中财网
246,2021-08-17,世界500强，排名67位！这家巨头企业进军锂电隔膜领域,证券之星
247,2021-08-17,【万联化工 | 恒力石化】点评：依托“大化工”平台加速推进新材料业务拓展，半年度业绩再创新高,万联证券研究所
248,2021-08-17,恒力石化上半年净利大增56.65%，锂电隔膜产能建设进入准备阶段,阿尔法工场
249,2021-08-17,恒力石化跌2.4% 上半年净利向上经营现金净额向下,中国经济网
250,2021-08-17,开源证券维持恒力石化买入评级，近期获6份券商研报关注，目标均价涨幅132.65%,每日经济新闻
251,2021-08-17,恒力石化(600346)：“大化工”提升盈利 “新材料”未来可期,新浪
252,2021-08-17,恒力石化(600346)：推动“平台化+新材料”发展,新浪
253,2021-08-17,【方正化工】恒力石化2021半年报点评：炼化乙烯贡献亮眼业绩，布局锂电隔膜和DMC等高端新材料,靠谱化工股
254,2021-08-17,中泰证券维持恒力石化买入评级：“大化工”提升盈利，“新材料”未来可期,每日经济新闻
255,2021-08-17,华安证券维持恒力石化买入评级：“恒力速度”进军化工新材料，未来可期,每日经济新闻
256,2021-08-17,民生证券维持恒力石化推荐评级，恒力石化2021年半年度业绩点评报告：受益于新增产能达产，2021H1业绩高增长,每日经济新闻
257,2021-08-17,天风证券维持恒力石化买入评级：炼化盈利良好，关注新材料发展,每日经济新闻
258,2021-08-17,化工行业周报：大鱼择大池 化工巨头挺进新能源赛道,华安证券
259,2021-08-17,恒力石化(600346)：业绩高增长 加速布局化工新材料,新浪
260,2021-08-17,【国金晨讯】大炼化：大型新能源材料平台崛起！纯碱深度：新能源拉动需求增长，纯碱景气度持续向好,国金证券研究所
261,2021-08-17,【华安化工I点评】恒力石化：“恒力速度”进军化工新材料，未来可期,化工阿尔法
262,2021-08-17,恒力石化上半年营收超千亿 快速布局锂电膈膜领域,全景网
263,2021-08-17,半年报解读|恒力石化上半年净利润逾86亿元 溢价收购的恒力期货亏损600万 亏损,财联社
264,2021-08-17,恒力石化上半年净利逾86亿元创新高,中证报
265,2021-08-16,晚间重要公告2021年8月16日星期一,Wind
266,2021-08-16,恒力石化：上半年实现净利润逾86亿元 创历史新高,中证网
267,2021-08-16,恒力石化上半年净利润同比增57% 快速布局锂电膈膜领域,e公司
268,2021-08-16,“炼化+乙烯+新材料”共同发力，恒力石化半年度业绩再创新高,金融界
269,2021-08-16,恒力石化(600346.SH)上半年炼化产品营收达639.71亿元,智通财经
270,2021-08-16,恒力石化：2021年半年度净利润约86亿元，同比增加56.65%,每日经济新闻
271,2021-08-16,行业周期上行 恒力石化(600346.SH)半年度归母净利同比增56.65%至86.42亿元,智通财经
272,2021-08-16,恒力石化(600346.SH)：上半年净利增56.65%至86.42亿元,格隆汇
273,2021-08-16,恒力石化发布半年报：上半年净利润86.42亿元，同比增长56.65%,Wind
274,2021-08-16,化工行业周报：新能源风起 化工龙头加速布局,新浪
275,2021-08-15,【开源化工】化工周报：关注化工企业电新布局，龙头有望迎来全面重估,新浪
276,2021-08-15,巴菲特潜在心动A股名单：未来净利高增长股仅11只,Wind
277,2021-08-13,涨价纷至沓来，业绩释放、股价爆发？,Wind
278,2021-08-13,A股午盘综述：两市冲高回落，宁德时代巨额定增搅动市场,Wind
279,2021-08-13,荣盛石化(002493)：炼化项目产量爬坡驱动业绩高增,新浪
280,2021-08-13,化工板块发力，荣盛石化大涨6%,Wind
281,2021-08-13,——项目建设顺利推进，仓库已封顶，设备采购完成约9成,纺织网
282,2021-08-11,辽宁区域股市周报：鞍钢股份跌出板块市值3强 奥克股份涨42.8%涨幅第一,每日经济新闻
283,2021-08-11,化工行业周报：DMC及电解液溶剂、纯碱、DMF、BDO、磷矿石、草铵膦等价格持续上涨 六氟磷酸锂、PO、双酚A、氯化钾、橡胶助剂等涨价,新浪
284,2021-08-10,世界级的绿色化工企业啥样？上交所投服活动带您走进恒力石化,上证报
285,2021-08-10,石油行业：石化龙头加速布局新材料 价值有望重估,新浪
286,2021-08-10,能源化工行业周观点：油价短期波动 两碱等化工品价格继续上行,新浪
287,2021-08-09,降解塑料行业全景图：供应与需求高增 机遇和风险并存,新浪
288,2021-08-08,石油化工行业研究：大炼化插上新能源的翅膀！,国金证券股份有限公司
289,2021-08-08,“炼化-化纤”产业链周报：海利得业绩考核高目标 彰显公司发展信心十足,新浪
290,2021-08-06,恒力石化：控股股东及其一致行动人累计质押约4.42亿股,每日经济新闻
291,2021-08-06,恒力石化(600346.SH)控股股东恒力集团解质股份2600万股,智通财经
292,2021-08-06,恒力石化：公司暂时没有丙交酯PLA产能,Wind
293,2021-08-06,恒力石化：公司为进一步向下游业务延伸，已开始布局锂电隔膜领域,每日经济新闻
294,2021-08-06,恒力石化：公司目前拥有1160万吨PTA产能,每日经济新闻
295,2021-08-06,恒力石化：公司目前没有C2.C3.吸水树脂等产品,Wind
296,2021-08-06,恒力石化：公司拟新建恒力化工新材料配套项目等多个项目,Wind
297,2021-08-06,恒力石化：公司目前没有PVDF(聚偏氟乙烯)产能,Wind
298,2021-08-06,恒力石化：45万吨可降解塑料产能是90万吨规划产能的一部分,Wind
299,2021-08-06,恒力石化：公司目前没有PVDF产能,Wind
300,2021-08-05,石油化工&基础化工行业2021年中期策略报告：聚焦价值 拥抱成长 把握市场分化预期下的确定性机会,光大证券
301,2021-08-05,A股收盘综述：资金畏高指数集体回调，军工股逆势爆发,Wind
