,2021-12-31,东台东方建设投资发展发行7700万美元增信债券,久期财经
50,2021-12-06,上海银行发布“绿树城银”品牌，两年内绿色投融资规模将突破1000亿元,第一财经
51,2021-12-06,上海银行推进智慧医疗普惠进程 助力城市数字化转型－国务院国有资产监督管理委员会,国资委
52,2021-12-06,A股融资融券日报：两融余额减少18.05亿元（12月3日）,Wind
53,2021-12-03,"产品高点成立、份额分级、投资者劣后级清零、优先级本金受损……上银基金及子公司共涉11起诉讼，垫付款项预计风险损失超5000万元
诉讼纠纷",每日经济新闻
54,2021-12-03,（证券之星）国泰君安董秘回复：公司始终以客户为中心，为客户创造价值,证券之星
55,2021-12-03,（证券之星）国泰君安董秘回复：目前不存在应披露而未披露的信息,证券之星
56,2021-12-03,A股融资融券日报：两融余额减少72.45亿元（12月2日）,Wind
57,2021-12-01,数据能够作为资产获得信贷吗？看看上海银行的循环授信方案 | 愉见财经,和讯
58,2021-12-01,各地银保监局同日连开11张罚单，涉及北京银行、上海银行等 金融监管处罚,金融界
59,2021-11-30,上海银保监局：对上海银行作出行政处罚，罚款20万元 金融监管处罚,Wind
60,2021-11-30,因未按规定报送统计报表，上海银行被罚20万 金融监管处罚,中华网
61,2021-11-30,上海银行率先发布首单基于可交易数据资产的循环授信方案,Wind
62,2021-11-30,中毅达(600610)：拟向上海银行申请流动资金循环借款,生意社
63,2021-11-29,上海银行：目前理财子公司处于筹建阶段,Wind
64,2021-11-26,上海银行接受11家机构调研！短期主力资金净流入，市场资金或早已察觉,每日经济新闻
65,2021-11-26,破解融资难 “上行e链”以金融科技赋能中小企业发展,中国经济网
66,2021-11-26,嘉定区举办知识产权金融服务“入园惠企”活动,东方网
67,2021-11-25,数据资产时代来临，如何激活数据资产价值？,第一财经
68,2021-11-24,标准债券远期实物交割机制正式推出,Wind
69,2021-11-24,上海银行推出“上行e链” 精准支持链上小微企业,中国金融新闻网
70,2021-11-23,践行低碳理念，上海银行用“绿树城银”定义金融本色,每日经济新闻
71,2021-11-23,中兴763｜与上海银行战略合作 | 头条金融网,头条日报
72,2021-11-23,上海银行与中兴通讯加强云计算、大数据等领域合作,证券时报网
73,2021-11-22,碳中和周报（第23期）丨国常会：设立2000亿元支持煤炭清洁高效利用专项再贷款；发改委：正研究制定重点行业“双碳”实施方案；钢铁行业碳达峰实施方案近期将发布,21世纪经济报道
74,2021-11-21,A股城商行三季报扫描：非息收入大幅提升，“包邮区”业绩全方位碾压,资本邦
75,2021-11-21,华福证券首予上海银行强烈推荐评级：大都会城商行，养老金融叠加新零售转型,每日经济新闻
76,2021-11-21,华福证券：给予上海银行买入评级，目标价位9.37元,证券之星
77,2021-11-19,中兴通讯与上海银行达成战略合作,C114通信网
78,2021-11-19,上海银行发布绿色金融行动方案2.0 两年内绿色投融资规模将超千亿元,中国金融新闻网
79,2021-11-19,中小银行“补血”热潮：定增、配股、发债轮番上阵，资本承压仍待破解,Wind
80,2021-11-19,上海银行发布绿色金融品牌,浦东时报
81,2021-11-18,上海银行发布绿色金融行动方案2.0，两年内绿色投融资规模计划突破1000亿元,北京商报
82,2021-11-18,绿色金融，与城市和谐共生——上海银行举行“绿树城银”品牌发布会,中金在线
83,2021-11-18,银行业首家！《上海银行双碳白皮书》正式出台,中金在线
84,2021-11-18,上海银行发布绿色金融品牌：两年内绿色投融资规模将突破1000亿元,中金在线
85,2021-11-18,"发挥""三个优势"" 上海银行全力做好进博会金融服务工作",中国经济网
86,2021-11-17,上海银行(601229.SH)：拟给予上海信投不超15亿元授信额度,格隆汇
87,2021-11-16,A股早报2021年11月16日星期二,Wind
88,2021-11-16,A股融资融券日报：两融余额减少2.07亿元（11月15日）,Wind
89,2021-11-16,申万宏源集团股份有限公司关于申万宏源证券有限公司公开发行2021年永续次级债券（第三期）发行结果的公告,中证报
90,2021-11-15,【银华基金】交易日报 2021-11-15,新浪
91,2021-11-15,A股融资融券日报：两融余额减少22.02亿元（11月12日）,Wind
92,2021-11-15,北交所今开市，上证主板迎千亿市值解禁,Wind
93,2021-11-15,引“金融活水” 灌溉“科创引领区”,经济日报
94,2021-11-14,半月3家逾千亿，系统重要性银行密集发行二级资本债,Wind
95,2021-11-12,下周1587亿市值限售股解禁，中国人保解禁市值近1300亿 解禁,Wind
96,2021-11-12,上海银行发挥“三个优势” 服务好“家门口的盛会”,中金在线
97,2021-11-12,上海银行这个小程序助力进博会入境人士尽享移动支付,上证报
98,2021-11-12,新势力业绩不俗，基金代销江湖“变天”,Wind
99,2021-11-12,上海银行继续保持上海地区养老金客户数前列,经济日报
100,2021-11-11,A股融资融券日报：两融余额增加15.9亿元（11月10日）,Wind
101,2021-11-10,上海银行(601229.SH)：1.077亿股限售股将于11月16日解锁上市,格隆汇
102,2021-11-10,上海银行：1.08亿股限售股11月16日上市流通 解禁,Wind
103,2021-11-10,南方轴承(002553.SZ)拟向上海银行申请3000万元授信额度,格隆汇
104,2021-11-10,上海银行:昨日融资余额比上日增0.44%至8.37亿元,资本邦
105,2021-11-09,【银华基金】交易日报 2021-11-9,新浪
106,2021-11-09,上行e链：科技赋能供应链金融 疏通中小企业融资“堵点”,面包财经
107,2021-11-08,头部金融机构主动作为 绿色金融发展按下“快进键”,华夏时报
108,2021-11-07,中小银行积极申请设立理财公司,Wind
109,2021-11-05,破解融资难，“上行e链”以金融科技赋能中小企业发展 | 金洽会前瞻,国际金融报
110,2021-11-04,上海银行：线下线上齐发力 跨境便利助贸易,新浪
111,2021-11-04,上海银行：推进净值化转型 理财规模稳居城商行前列,经济日报
112,2021-11-03,上海银行今日大宗交易成交245万股，成交价7.28元溢价0.0%,Wind
113,2021-11-03,"上海银行现1笔大宗交易 共成交1,783.59万元",新浪
114,2021-11-03,上海银行保险业高质量服务第四届进博会,经济日报
115,2021-11-01,高管频繁自掏腰包增持，背后是这家银行净利润逐季加速增长？,面包财经
116,2021-10-30,银行三季成绩单出炉：3/4银行净利润超两位数增长,21世纪经济报道
117,2021-10-29,【银华基金】交易日报 2021-10-29,新浪
118,2021-10-29,上海银行：引金融活水 灌溉科创“引领区”,面包财经
119,2021-10-29,上海银行：推进净值化转型 理财规模稳居城商行首位,面包财经
120,2021-10-28,9家银行三季报成绩单：净利润大涨不良普降，财富管理业务亮眼,21世纪经济报道
121,2021-10-28,热搜背后，上海银行三季报披露零售业务更多细节：私行仍在追赶，养老金占比超四成,北京商报
122,2021-10-28,浙商证券：给予上海银行买入评级，目标价位9.5元,证券之星
123,2021-10-28,银行人事|上海银行副行长黄涛辞任！拟任国民养老保险总经理,和讯
124,2021-10-28,企业观｜上海银行三季报：中收发力营收净利均增超10% 资本充足率指标全线下滑压力不减,财经网
125,2021-10-28,深度*公司*上海银行(601229)：手续费收入增速靓丽 ROE同比改善,新浪
126,2021-10-28,上海银行前三季度净利润同比增长10.58%,中国金融新闻网
127,2021-10-28,平安证券维持上海银行推荐评级：盈利增长稳健，中收延续强劲表现,每日经济新闻
128,2021-10-28,平安证券：给予上海银行增持评级,证券之星
129,2021-10-28,上海银行非执行董事杜娟辞任 董监高成员变化,智通财经
130,2021-10-28,各项业务较快发展 上海银行前三季度净利润增长11%,上证报
131,2021-10-28,详解上海银行2021年三季报：业绩平稳增长，零售业务加速突破【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
132,2021-10-28,再收罚单！北京银行业绩增速放缓 城商行“领头羊”何去何从 金融监管处罚,新浪
133,2021-10-27,上海银行三季度营收净利增速均超10%，副行长黄涛辞职 董监高成员变化,第一财经
134,2021-10-27,QFII最新动向！这只“新宠”大牛股，年内涨超两倍,Wind
135,2021-10-27,上海银行三季度收入、净利增速均超10% 财富管理业务增长突出,21世纪经济报道
136,2021-10-27,上海银行公布三季报 前三季净利增加10.58%,新浪
137,2021-10-27,因工作变动 上海银行副行长黄涛辞职 董监高成员变化,北京商报
138,2021-10-27,图解上海银行三季报：第三季度单季净利润同比增11.36%,证券之星
139,2021-10-27,上海银行：前三季度实现归母净利润166.44亿元 同比增长10.58%,中证网
140,2021-10-27,上海银行(601229.SH)：第三季度净利增11.36%至43.66亿元,格隆汇
141,2021-10-27,上海银行前三季度业绩双增：净利润166.44亿元，不良率小幅下降,中华网
142,2021-10-27,上海银行三季度净利增逾11%，净值型理财产品比例超95%,澎湃新闻
143,2021-10-27,上海银行前三季度归母净利润同比增长10.58% 拟发行200亿元二级债补充资本,和讯
144,2021-10-27,上海银行第三季度营收同比增长13.43%至137.51亿元,乐居财经
145,2021-10-27,上海银行2021年三季报：营收利润增长提速 资产质量保持稳健,和讯
146,2021-10-27,上海银行：前三季度净利润同比增长10.58%,Wind
147,2021-10-27,上海银行：2021年第三季度净利润约43.66亿元，同比增长11.36%,每日经济新闻
148,2021-10-27,上海银行：因工作变动，黄涛辞去副行长职务 董监高成员变化,每日经济新闻
149,2021-10-27,上海银行：副行长黄涛辞任 董监高成员变化,Wind
150,2021-10-27,上海银行：第三季度净利43.66亿元 同比增长11%,财联社
151,2021-10-27,上海银行：第三季度净利润同比增长11.36%,Wind
152,2021-10-27,图解铁建重工三季报：第三季度单季净利润同比减2.09% 盈利能力下降,证券之星
153,2021-10-27,上海银行业上半年投诉情况：上海银行居中资行首位，浦发银行信用卡投诉量最多,中华网
154,2021-10-25,上海银行零售存款揽存能力偏弱靠养老金支撑，房地产业不良率上升,和讯
155,2021-10-25,强化“政企银保服”联动 上海常态化推进知识产权金融工作,中国金融新闻网
156,2021-10-25,城商行巷战26年：资产总额超40万亿，在大银行夹缝中“抢饭吃”,搜狐
157,2021-10-24,靠养老金融和消费贷杀出重围，上海银行零售转型待考,时代周报
158,2021-10-22,A股融资融券日报：两融余额减少6.9亿元（10月21日）,Wind
159,2021-10-21,艾融软件(830799)：金融IT软件提供商 受益银行信息化投入增长,新浪
160,2021-10-20,大V怼上海银行服务差 回应称不违规 千万存款飞了,新浪
161,2021-10-20,专题｜如何从财报分析上市银行的财富管理？【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
162,2021-10-19,盘后公告集锦|汽车电子布局迈出重要一步！这家公司拟8450万欧元收购海外汽车芯片制造产线,财联社
163,2021-10-19,看看上海银行的回应，大V该站出来说点什么吗？,和讯
164,2021-10-19,服务小微 有你“圳”好——上海银行深圳分行走进基层扎实开展“稳企业保就业”服务活动,深圳新闻网
165,2021-10-18,"上海银行陷服务态度争议,上亿资产大V怒取现500万!超800万AUM私行客户仅5411户",搜狐
166,2021-10-18,西街快评｜上海银行热搜不下，服务第一不能忘本,北京商报
167,2021-10-18,大V取现事件发酵，上海银行最新回应，再度登上热搜,搜狐
168,2021-10-18,因服务态度差大V一气之下在上海银行取走500万 后续：当事保安被调走,快科技
169,2021-10-18,银行回应客户嫌态度差取现500万：网点人员未违反服务要求,新京报
170,2021-10-18,上海银行怒取500万男子再发声：希望大方地把监控放出来,中国新闻周刊
171,2021-10-18,大V怒怼上海银行服务差当场取走500万！银行称网点人员未违反服务要求，当事人：想看监控,经济网
172,2021-10-18,上海银行回应“大V嫌服务差怒取500万”：并未违反服务要求,搜狐
173,2021-10-18,被大V吐槽的上海银行冲上热搜 专家认为银行零售转型应加强线下协同,经济观察网
174,2021-10-18,首次认定19家全国系统重要性银行，江苏只有江苏银行入选,深水财经社
175,2021-10-18,大V吐槽银行服务引发热议，还是因为有共鸣,贝壳财经
176,2021-10-18,一怒取走500万现金！大V再发声：银行员工双标 态度恶劣,快科技
177,2021-10-18,热搜第一！大V怒怼银行服务差，一气之下取现金500万！点钞用了2小时，劳斯莱斯运走，涉事银行回应,每日经济新闻
178,2021-10-18,每日理财观察：央行和银保监会发布系统重要性银行名单,Wind
179,2021-10-18,新闻8点见丨炸鸡薯条断货，港口货物堆积 全球供应链危机来了？,新京报
180,2021-10-18,早报 (10.18) | 发生了什么？“牙茅”董事长狂怼网友；陕西新增2例外省游客核酸检测阳性病例,格隆汇
181,2021-10-18,早财经丨教育部公布12个基础教育综合改革实验区；上海银行回应“客户取现五百万”；“滤镜景点”遭吐槽，小红书道歉,每日经济新闻
182,2021-10-18,陆家嘴财经早餐2021年10月18日星期一,Wind
183,2021-10-18,银行业赛跑，切莫辜负客户期许,Wind
184,2021-10-18,大V怒怼背后 上海银行私行业务平平,北京商报
185,2021-10-18,周末刷屏！怒提500万现金吐槽服务差 上海银行最新回应！戴口罩成关键？微博大V再度喊话,券商中国
186,2021-10-18,热搜第一！上海银行回应500万取现，大V刚刚回怼：看监控视频！,中国基金报
187,2021-10-17,大V一怒取走500万现金！上海银行再回应：职员行为合规,快科技
188,2021-10-17,上海银行最新回应大V投诉，还原500万取现时间线,第一财经
189,2021-10-17,被客户“曝光”后，上海银行回应了,中国银行保险报
190,2021-10-17,微博大V怒怼银行服务差，当场取走500万！光点钞就2小时，劳斯莱斯运走！涉事银行回应,21世纪经济报道
191,2021-10-17,刚刚，上海银行调监控回应,新浪
192,2021-10-17,大V怒怼银行服务差，刚刚上海银行调监控回应了,上观
193,2021-10-17,一口气取走500万元！大V怒怼上海银行冲上热搜 只因银行服务太差，私行“掐尖”留客该怎么做？,北京商报
194,2021-10-17,上海银行回应大V怒取500万：网点人员并未违反服务要求，将认真对待客户诉求,每日经济新闻
195,2021-10-17,周末影响A股十大事件来了！,Wind
196,2021-10-17,上海银行客服回应大V吐槽网点服务差：未接到公司通知，事件仍在核实,中新网
197,2021-10-17,上海银行回应微博大v客户纠纷 关联方问题,证券时报网
198,2021-10-17,上海银行回应客户嫌态度差怒取五百万：网点人员未违反服务要求,Wind
199,2021-10-17,上海银行回应“大V吐槽态度差”：网点人员未违反服务要求,澎湃新闻
200,2021-10-17,“大V吐槽上海银行态度差”有新进展！当事人否认不愿戴口罩,中新经纬
201,2021-10-17,上海银行回应大V嫌服务差怒取500万：确有发生,Wind
202,2021-10-17,吐槽上海银行服务奇差，微博大V怒提500万现金！回应来了,新浪
203,2021-10-17,上海银行称男子怒取500万确有发生 属于个别现象,新浪
204,2021-10-17,大V吐槽上海银行服务差，一怒之下转走500万！私人银行客户门槛被曝光,中新经纬
205,2021-10-17,当事人回应因上海银行服务太差取走500万遭质疑,新浪
206,2021-10-17,刷屏！百万粉丝大V怒怼银行，当场取走500万现金，发生了什么？点钞花了2小时，用劳斯莱斯运走,券商中国
207,2021-10-16,微博百万大V怒怼上海银行服务太差，一气之下取现金500万,中国基金报
208,2021-10-16,因服务态度差日娃一气之下在上海银行取走500万现金 本人：结清后会销户,快科技
209,2021-10-16,爽文情节！微博百万大V，怒怼上海银行！服务太差，一气之下取现金500万，点钞就要两小时...网友：见世面了,中国基金报
210,2021-10-16,央行、银保监会重磅发布！我国系统重要性银行名单出炉，有何影响？,Wind
211,2021-10-15,30家参评，19家入选！首批国内系统重要性银行名单出炉,经济观察网
212,2021-10-15,央行、银保监会联合发文，系统重要性银行附加监管规定来了,Wind
213,2021-10-15,北向资金恢复交易后首日净买入近27亿，再度大手笔加仓新能源股,Wind
214,2021-10-15,杜娟辞任上海银行董事等职务 董监高成员变化,金融界
215,2021-10-15,重磅！央行、银保监会发布我国系统重要性银行名单,Wind
216,2021-10-15,杜娟辞任上海银行董事 已卸任TCL科技首席财务官 董监高成员变化,中国经济网
217,2021-10-14,上海银行：非执行董事杜娟辞职 董监高成员变化,乐居财经
218,2021-10-14,上海银行：杜娟因工作变动辞去公司非执行董事等职务 董监高成员变化,每日经济新闻
219,2021-10-14,上海银行：董事辞任 董监高成员变化,Wind
220,2021-10-14,A股融资融券日报：两融余额减少5.34亿元（10月13日）,Wind
221,2021-10-13,上海银行率先完成“南向通”业务首批交易 助推两地金融市场互联互通－国务院国有资产监督管理委员会,国资委
222,2021-10-13,明星基金经理“买账”，银行股或迎“暖冬”,Wind
223,2021-10-12,【银华基金】交易日报2021-10-12,新浪
224,2021-10-12,中国银行业App盘点：最多的一家13款 招行排名第二（附名单）,新浪
225,2021-10-12,中金固收中资美元债周报：房企再度违约，二级市场受挫,Wind
226,2021-10-11,上海银行(601229.SH)授予矽睿科技资产池融资额度不超2亿元,智通财经
227,2021-10-08,茂业国际(00848.HK):成都茂业置业提供一笔不超过人民币6000万元担保 大额借贷担保,财华社
228,2021-10-08,上海银行：“上银转债”第三季度转股约8.86万股，累计转股约8.86万股,每日经济新闻
229,2021-10-08,上海银行：公司充分重视服务非国有企业，2021年6月末对公贷款中非国有企业贷款占比超过一半,每日经济新闻
230,2021-10-05,什么信号？机构扎堆调研银行股，有这两大特征！,Wind
231,2021-09-30,上海银行业面向科技型中小微企业累计支持贷款118亿元,央视
232,2021-09-29,艾融软件：背靠银行营收连年增长，去年销售收入超六成来自工商银行,每日经济新闻
233,2021-09-29,雅运股份(603790.SH)为两全资子公司的银行贷款提供担保 大额借贷担保,智通财经
234,2021-09-28,56家上市银行房地产贷款全解析：谁放得最多？谁收得最快？谁占比最高？谁不良最多？|,和讯
235,2021-09-28,有方科技最新公告：以东莞有方的房产进行抵押 向上海银行申请不超1.8亿元综合授信,证券之星
236,2021-09-28,上海银行深圳分行在“深圳（罗湖区）科普月”活动中普及宣传金融消保知识,深圳新闻网
237,2021-09-28,上海银行深圳分行深度参与“深圳市居民金融素养提升工程”,深圳新闻网
238,2021-09-28,亚通股份(600692.SH)拟向上海银行申请不超1.5亿元贷款,智通财经
239,2021-09-28,恒大冲击波：56家银行房地产贷款全对比,零壹财经
240,2021-09-28,以金融活水滴灌科技企业,浦东时报
241,2021-09-27,银行行业研究周报：上市银行房地产贷款梳理,新浪
242,2021-09-26,因为懂得，所以精准：上海银行如何陪伴着这家科企穿越发展周期？,搜狐
243,2021-09-26,以智慧金融助力人工智能 上海银行科技支行精准滴灌张江科企,金融投资报
244,2021-09-26,以金融“软实力”服务科技“硬产业” 上海银行：科技型企业信贷客户增长超4成,中国网
245,2021-09-26,上市城商行分化加剧：三分之一营收两位数增速、三分之一营收同比下滑,Wind
246,2021-09-24,同业存单周报：同业存单发行利率普遍上行,新浪
247,2021-09-24,晚间公告｜9月24日这些公告有看头,第一财经
248,2021-09-23,房地产贷款风险来袭，多家银行撇清与恒大关联,Wind
249,2021-09-23,银行股是否反应过度了？多家撇清与恒大关联,Wind
250,2021-09-23,银行股是否反应过度了？,Wind
251,2021-09-21,恒大漩涡里的20家银行,Wind
252,2021-09-18,《关于银行业金融机构境外贷款业务有关事宜的规定（征求意见稿）》对外征求意见,Wind
253,2021-09-18,银行业对近期银行板块表现点评：不高估风险 不低估息差 强业绩与低估值的背离不可持续 看好银行,新浪
254,2021-09-17,上海银行：经营业绩稳步提升，资产质量持续改善2021上半年存款增量升至主要城商行首位,全景网
255,2021-09-17,恒大债务问题对银行影响几何？浦发银行、上海银行作出回应,和讯
256,2021-09-17,存款定价新机制落地近三月，利率降了银行揽储是否更难了？,Wind
257,2021-09-16,上海市金融学会召开小微金融创新专委会换届大会 上海银行当选新一届会长单位,上证报
258,2021-09-15,重磅！债券“南向通”将于9月24日上线,Wind
259,2021-09-15,上海银行参与建设“未来医院” 探索智慧医疗服务创新－国务院国有资产监督管理委员会,国资委
260,2021-09-14,上海银行副行长胡德斌一行莅临生意宝考察 就产业数字,纺织网
261,2021-09-13,银行四大打法浮出水面,Wind
262,2021-09-10,上海银行固收+代销新品，鹏华上华9月13日盛大首发,凤凰网
263,2021-09-09,上海银行持续创新绿色金融 绿色贷款客户增四成,经济日报
264,2021-09-08,半年报显示业绩增长强劲，城商行转型发展有喜有忧,Wind
265,2021-09-05,沸腾了！240万银行人涨工资了，加薪最猛竟是TA,Wind
266,2021-09-03,恒银科技：关于货币兑换机公司已完成研发，并已与中国银行、上海银行、甘肃农信等客户开展货币兑换机的销售,每日经济新闻
267,2021-09-03,银行涉房贷款半年考：11家个人住房贷款仍超标,Wind
268,2021-09-03,上海银行以金融赋能城市更新 助力区域发展－国务院国有资产监督管理委员会,国资委
269,2021-09-02,上海银行行长带头增持 七名高管合计买入60.5万股自家股票,和讯
270,2021-09-02,银行涉房类贷款半年考：超六成占比下降，招行兴业等7家双指标越线,Wind
271,2021-09-01,国信证券给予上海银行增持评级：手续费收入高增，资产质量改善,每日经济新闻
272,2021-09-01,上半年银行调整房地产贷款集中度进展如何：5家银行仍踩红线,Wind
273,2021-09-01,上海银行获部分高管人员增持,上证报
274,2021-09-01,上海银行：多名高管增持合计60.5万股,财联社
275,2021-09-01,上海银行(601229.SH)获多位高管合计增持60.5万股,智通财经
276,2021-09-01,上海银行(601229)2021年半年报点评：手续费收入高增 资产质量改善,新浪
277,2021-08-31,逾700家上市公司上半年炒493只A股：哪些亏损，哪些赚钱？,第一财经
278,2021-08-31,上海银行中期营利双收，地产不良率上升成拖累,搜狐
279,2021-08-31,上海银行股份有限公司公开发行A股可转公司债券跟踪评级报告,上清所
280,2021-08-31,上海银行持续发力绿色金融 上半年末绿色贷款余额增长75%,和讯
281,2021-08-31,上半年近九成银行不良率下降，房地产行业不良率骤增,Wind
282,2021-08-30,上海银行深圳分行深入开展“内控合规管理建设年”活动,深圳新闻网
283,2021-08-30,房贷集中度管理实施半年，上市银行涉房类贷款占比下降,Wind
284,2021-08-29,【浙商】上海银行21H1：盈利增速向好，不良迎来拐点,大话金融
285,2021-08-27,东方国信(300166)半年报点评：业绩快速增长 CIRRODATA和CLOUDIIP应用持续落地,新浪
286,2021-08-27,上海银行状告*ST德威等，因金融借款合同纠纷 诉讼纠纷,乐居财经
287,2021-08-25,金融报道｜上海银行半年报解读：房贷集中后遗症凸显 消费贷规模下降不良攀升,财经网
288,2021-08-25,上海银行上半年营收业绩双增长 资产质量迎来拐点,GPLP犀牛财经
289,2021-08-25,上海银行：新一轮三年发展规划开门红，盈利能力显着提升,面包财经
290,2021-08-24,浙商证券维持上海银行买入评级，上海银行2021年中报点评：盈利增速向好，不良迎来拐点,每日经济新闻
291,2021-08-24,10家上市银行9家中间业务收入高速增长 代理理财、基金收入贡献大,21世纪经济报道
292,2021-08-24,招行加了把火！继个人财富管理账户后 银行开始抢夺企业主结算账户,券商中国
293,2021-08-24,占比收缩、不良显现！为应对风险敞口 多家银行上半年压降对公房地产贷款,财联社
294,2021-08-24,招行房地产贷款占比超警戒线 4家银行因贷款违规流向房市被罚 金融监管处罚,新浪
295,2021-08-24,上市银行中报PK：招行房地产贷款占比超警戒线 锦州银行房地产业不良率7.7%,新浪
296,2021-08-24,东方臻善纯债债券型证券投资基金基金份额发售公告,证券时报
297,2021-08-23,上海银行：已发行2021年金融债券300亿元,乐居财经
298,2021-08-23,上海银行(601229.SH)完成发行300亿元2021年金融债券,智通财经
299,2021-08-23,深度*行业*银行业周报：7月经济数据低于预期 稳增长与防风险并重,新浪
300,2021-08-23,明令当做耳旁风 多家大行被央妈爆锤 数张大额罚单集中公示,证券之星
301,2021-08-23,二季度QFII青睐医药医疗器械行业公司,Wind
302,2021-08-23,央行再出重拳，5大行被罚1541万，所为何因？,Wind
303,2021-08-23,详解上海银行2021中报：中收增速靓丽，资产质量改善【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
304,2021-08-23,上市银行理财业务增收显着，理财产品转型提速,北京商报
305,2021-08-23,理财业务增收显着 理财子公司营收净利现增势,北京商报
306,2021-08-23,理财业务增收显着 上市银行业务经营情况良好,北京商报
307,2021-08-23,央行再度重拳出击 5家大行被罚1541万所为何因？,券商中国
