,2021-10-29,区块链的国资行动：过半央企涉足，地方国资参投区块链企业,财经网
105,2021-12-10,构筑算网新能力：中国联通发布CUBE-Net 3.0技术研发系列成果,中国通信网
106,2021-12-10,聚焦数字经济 中国联通启动全新战略升级,经济日报
107,2021-12-10,联通实施新战略，瞄准“大安全”赛道,凤凰网
108,2021-12-10,中国联通发布《中国联通自智网络白皮书2.0》,中国通信网
109,2021-12-10,中国联通发布《云时代量子通信技术白皮书》，展望全光底座上的量子通信,中国通信网
110,2021-12-10,中国联通联合合作伙伴倡议成立智能超表面（RIS）技术联盟,Wind
111,2021-12-10,六专家谈联通新政：在数字经济新航道高质量发展,通信产业网
112,2021-12-09,中国联通唐雄燕：新使命新担当 CUBE-Net 3.0构筑算网新能力,C114通信网
113,2021-12-09,5G扬帆，数智共赢，亚信科技深度参与中国联通合作伙伴大会,新浪
114,2021-12-09,公司有参加中国联通5G消息生态联盟了吗？直真科技：未参与,每日经济新闻
115,2021-12-09,中国联通重磅发布“基于5G和AI的智能车路协同系统”技术攻关成果,中国通信网
116,2021-12-09,亨通联合中国联通推出首个5G+量子加密安全解决方案,C114通信网
117,2021-12-09,港股异动 | 中兴通讯(00763)回升8% 运营商加速推进，5G消息商用落地在即,智通财经
118,2021-12-09,联通云云原生成技术升级亮点,经济日报
119,2021-12-09,中国联通赋能企业数字化转型全方位推进产业数字化进程,C114通信网
120,2021-12-09,联通云云原生技术引领（一） 自主创新 厚积薄发,凤凰网
121,2021-12-09,中国联通联合发布“5G、工业控制和智能制造”应用,通信产业网
122,2021-12-09,5G云化PLC应用重磅发布，如何赋能全球灯塔工厂？,OFweek
123,2021-12-09,成都航空与飞天联合合作，升级飞机基础数据设施；腾讯云与上海屹通合作，推动金融行业数字化 | 36氪大公司数字创新指南1208,36氪
124,2021-12-09,5G消息商用渐行渐近，产业链龙头受关注,Wind
125,2021-12-09,5G消息商用渐行渐近 产业链龙头受关注,经济参考报
126,2021-12-08,原贵州联通总经理陈扬帆升任中远海运集团副总经理,国际船舶
127,2021-12-08,【早知道】A股史上“最贵新股”出炉；欧美股市全线上涨纳指涨逾3％,腾讯网
128,2021-12-08,中兴通讯携手中国联通发布《中国联通cuLink全屋智联生态白皮书》,C114通信网
129,2021-12-08,全球灯塔工厂5G云化PLC应用重磅发布！中国联通、东土、三一强强联合,经济网
130,2021-12-08,黄河信产：创新计算 共建数智运营新体验,质量新闻网
131,2021-12-08,中国联通762｜上月5G套餐用户净增603.1万 | 头条金融网,头条日报
132,2021-12-08,联通云为数字经济打造“第一算力引擎”,经济日报
133,2021-12-08,对话中国联通马红兵：解码5G产业发展的下一个制高点,中国通信网
134,2021-12-08,华为王洪利：合作升维，助力中国联通“5G领航，扬帆未来”,C114通信网
135,2021-12-08,中国联通发布5G行业专网产品体系2.0,Wind
136,2021-12-08,想象空间巨大：联通、华为吹响“智慧超感知”产业化号角,C114通信网
137,2021-12-08,中国联通发布5G行业专网产品体系2.0,e公司
138,2021-12-08,中国联通大举布局云服务，升级联通云要打造“算力引擎”,新京报
139,2021-12-08,联通启动虚拟网络编排器NFVO迭代研发：预算4900万元,中国通信网
140,2021-12-08,中国联通与华为合作，共建智慧家庭新生态；中望与维宏股份合作，推动机床行业数字化 | 36氪大公司数字创新指南1207,36氪
141,2021-12-08,全球首例5G模组多切片方案推出 大幅降低终端侧开发和投入,经济网
142,2021-12-08,中国联通：5G消息是公司大应用战略中的重点工程 搭建了300余项示范应用,TechWeb
143,2021-12-08,新鲜早科技丨自动驾驶公司Mobileye将独立上市；世纪佳缘被曝后台可查看会员聊天记录；斗鱼联合创始人张文明辞职 关联方问题,21世纪经济报道
144,2021-12-08,股市动态 | 财经早资讯：A股现有史以来最高发行价；浙商证券被暂停私募资产管理产品备案6个月,财经网
145,2021-12-08,最前线 | 联通董事长刘烈宏发布新战略，将打造云网一体的“联通云”,36氪
146,2021-12-08,小K播早报|LG能源拟IPO募资百亿美元 禾迈股份发行价创A股记录,财联社
147,2021-12-08,中国联通将5G消息纳入投资重点领域，规划投资或超过10亿元,36氪
148,2021-12-08,"7000中签股民慌了，未开盘已破发，微博今日港股挂牌！6倍大牛股突遭调查，半年涨停52次！5G消息生态联盟成立，概念股曝光
其他违规处罚",微信
149,2021-12-08,中国联通将5G消息纳入投资重点领域,新浪
150,2021-12-07,中国联通上线5G消息冬奥应用,e公司
151,2021-12-07,中兴通讯获中国联通“卓越合作奖”,C114通信网
152,2021-12-07,祝贺中国联通合作伙伴大会召开，京东携手推动eSIM战略共建产业繁荣,砍柴网
153,2021-12-07,中国联通：5G消息是公司大应用战略重点工程,Wind
154,2021-12-07,中国联通：5G消息是公司大应用战略重点工程,e公司
155,2021-12-07,科大讯飞受邀参加中国联通合作伙伴大会三千兆智慧家庭创新合作论坛,凤凰网
156,2021-12-07,立足自主创新 联通云全面升级,经济日报
157,2021-12-07,中国联通召开网络创新论坛,中国联通
158,2021-12-07,中国联通发布cuLink 助力智慧家庭生态再升级,中国联通
159,2021-12-07,中国联通5G消息生态联盟启动 中国联通对5G消息投资额或超10亿,财联社
160,2021-12-07,中国联通：构建以算力为核心一体化算网融合生态体系,中国网
161,2021-12-07,启新聚势 云谱新篇——2021联通云高峰论坛圆满召开,金融界
162,2021-12-07,中国联通：今年上半年新增可用5G基站约8万个，总数超46万个,中华网
163,2021-12-07,齐家网(01739)和中国联通达成战略合作，推动“千兆智家”落地,智通财经
164,2021-12-07,每经15点|中国联通发布5G消息领域五大计划；同仁堂回应安宫牛黄丸涨价；创指收跌1%，北上资金净流入近80亿元,每日经济新闻
165,2021-12-07,中国联通5G消息生态联盟启动,Wind
166,2021-12-07,中国联通联合华为等启动5G消息生态联盟,e公司
167,2021-12-07,中国联通新增可用5G基站约8万个,财联社
168,2021-12-07,中国联通发布5G消息领域五大计划，包括5G消息应用促进计划等,Wind
169,2021-12-07,中国联通发布5G消息领域五大计划 包括5G消息应用促进计划等,e公司
170,2021-12-07,OPPO阮焕：携手联通深度合作，共创万物互融新时代,C114通信网
171,2021-12-07,新战略下联通终端“加速跑”：构建新运营体系，锻造四项核心能力,C114通信网
172,2021-12-07,山东联通携手爱立信、vivo完成基于5G SA商用网络的切片并发测试,美通社
173,2021-12-07,预测未来的最好方式就是创造未来：联通与华为推动5G向泛在千兆进阶,C114通信网
174,2021-12-07,中国联通发布“十四五”集团新定位、新战略,e公司
175,2021-12-07,中国联通全面升级联通云业务,e公司
176,2021-12-07,中国联通魏进武：攻克“卡脖子”技术 推动无线云网络产业发展,C114通信网
177,2021-12-06,中国联通集团与华为签署智慧家庭合作协议，共建智慧家庭新生态,凤凰网
178,2021-12-06,中国联通自智网络白皮书：AI将成为网络各层的原生能力,每日经济新闻
179,2021-12-06,宝武马钢5G助力钢铁料场旧貌换新颜,Ofweek
180,2021-12-06,中国联通刘烈宏：2022年销售泛终端超1.5亿部,财联社
181,2021-12-06,北向资金连续4日净买入累计加仓超150亿，大幅抢筹券商、银行股,Wind
182,2021-12-06,联通“九变”：新战略激活数字经济创新力，促生态合作再进阶,C114通信网
183,2021-12-06,【服务再升级系列解读】之三市场消费如何“明明白白”,C114通信网
184,2021-12-06,中国联通(0762.HK)发布“联通云”和“联通智慧大脑”,格隆汇
185,2021-12-06,聚焦数字经济主航道 中国联通战略升级,财经网
186,2021-12-06,科技行业周报：锐捷网络过会；“两化融合”规划发布,新浪
187,2021-12-06,中国联通新定位：数字信息基础设施运营服务国家队,经济观察报
188,2021-12-06,华为胡厚崑：将支撑联通“大联接、大计算、大数据、大安全和大应用”五大业务的全面落地,Wind
189,2021-12-06,中国联通构建多层次算力设施体系,中新网
190,2021-12-06,华为胡厚崑：为数字经济创新持续赋能 联接将驶向这5大航向,新浪
191,2021-12-06,刘烈宏：中国联通将进行“基础联接”到“万物智联”的跃升,新京报
192,2021-12-06,中国联通发布新战略 董事长刘烈宏：将聚焦五大主业,新浪
193,2021-12-06,启新聚势·云启新篇：联通云“四大升级”打造可信数智云,C114通信网
194,2021-12-06,齐向东：一中心两体系助力通信运营商实现网络安全能力“内外兼修”,金融界
195,2021-12-06,2021中国联通合作伙伴大会召开 刘烈宏董事长发布中国联通新战略,金融界
196,2021-12-06,中国联通发布新战略 聚焦“强基固本、守正创新、融合开放”,新浪
197,2021-12-06,护航新定位：联通发布“大联接、大计算、大数据、大应用、大安全”新战略,C114通信网
198,2021-12-06,超1.5亿部！中国联通披露2022年泛终端销量目标,C114通信网
199,2021-12-06,小小糯米蕉 “出山”不愁销,经济参考报
200,2021-12-05,通信设备及服务行业：宁静下的喧闹 2022年聚焦三条主线,新浪
201,2021-12-04,亮点抢先看！2021中国联通合作伙伴大会将于12月6日启幕,凤凰网
202,2021-12-03,中国联通合作伙伴大会-5G应用扬帆创新高峰论坛将于12月7日举办,盖世汽车
203,2021-12-03,中国联通：廖建文辞去公司董事及董事会发展战略委员会委员职务，提名王俊治、王培暖担任公司董事 董监高成员变化,每日经济新闻
204,2021-12-03,中国联通：公司董事廖建文辞任 董监高成员变化,Wind
205,2021-12-03,中国联通：王俊治获委任为本公司的执行董事,Wind
206,2021-12-03,速看，中国联通发布重要公告！,每日经济新闻
207,2021-12-02,通信：新能源+元宇宙 一体两翼下的通信行业新格局,新浪
208,2021-12-02,《中国消费金融行业可持续发展报告》①丨消费金融市场：需求广阔,21世纪经济报道
209,2021-12-02,《中国消费金融行业可持续发展报告》②丨消金生态和格局：三大门派 从跑马圈地到差异化竞争,新浪
210,2021-12-02,晚间重要公告2021年12月2日星期四,Wind
211,2021-12-02,要闻 | 山东省政府与中国联通集团公司签署战略合作协议,山东发布
212,2021-12-02,中国联通(600050.SH)：截至11月底已累计回购1.66%股份,格隆汇
213,2021-12-02,中国联通(600050.SH)11月未回购A股股份,智通财经
214,2021-12-02,中国联通A股：11月份未回购股份,Wind
215,2021-12-02,可信赖+三大能力：新华三实现运营商路由器市场的逆势飞扬,C114通信网
216,2021-12-02,数字政府建设引领全面数字化转型,Wind
217,2021-12-01,中国联通即将举办5G消息生态发展论坛，将启动5G消息生态联盟,Wind
218,2021-12-01,中国联通即将举办5G消息生态发展论坛 将启动5G消息生态联盟,e公司
219,2021-12-01,联通服务再升级 打造网络服务新格局,人民邮电报
220,2021-11-30,MSCI指数调整生效日，这些股票尾盘异动！外资11月调仓瞄准科技股,Wind
221,2021-11-30,北向资金今日净卖出超34亿元11月累计加仓185亿，贵州茅台连续3日遭抛售,Wind
222,2021-11-30,通信行业专题研究：5G用户持续开拓 云业务延续高增,新浪
223,2021-11-30,2021年全国优秀数据中心点亮计划｜中国联通中卫云数据中心,中国IDC圈
224,2021-11-30,三大发力点做实5G基站节能,中国电子报
225,2021-11-29,中国联通(00762.HK)：翁顺来拟辞任公司秘书 董监高成员变化,格隆汇
226,2021-11-29,中国联通：翁顺来辞任本公司公司秘书,Wind
227,2021-11-29,通信行业研究周报：运营商经营向好 5G渗透率提升,新浪
228,2021-11-29,海南：到2025年新增这7个数据中心 5万标准机架,中国IDC圈
229,2021-11-29,“5G＋工业互联网”20个典型应用场景公布！涉10个重点行业 @环保人，信息量巨大,环保在线
230,2021-11-29,通信行业周报：光模块迎估值修复 中天、拓邦锂电池高份额中标,新浪
231,2021-11-26,联通为何失败？它总是错估自己的实力,Ofweek
232,2021-11-25,北向资金连续5日净买入成交额创5个月新低，再度净买入贵州茅台超3亿元,Wind
233,2021-11-25,通信年度策略：数实融合与碳中和下通信新机遇,新浪
234,2021-11-25,招商通信周周谈(2021年第46周)：关注电网数字化智能化投资机会 重点推荐威胜信息,新浪
235,2021-11-24,智慧运营 赋能未来 2021中国联通政企数字化运营实践技能竞赛总决赛成功举办,C114通信网
236,2021-11-24,中国联通董事长刘烈宏：坚决做强做优做大国有资本,中新网
237,2021-11-24,通信行业：元宇宙核心基础设施 通信板块迎新机,新浪
238,2021-11-24,联通数科李广聚：5G对社会、对产业必将带来深远影响,中国网
239,2021-11-23,运营商行业5G专题报告：5G重构投资机遇 赋能千行百业,新浪
240,2021-11-23,iPhone13全系不再支持电信2G网络：这次不怪苹果,Ofweek
241,2021-11-22,iPhone 13 不再「全网通」？但这事不能全怪苹果,ZAKER
242,2021-11-22,中国联通10月份5G套餐用户总数为1.44亿,每日经济新闻
243,2021-11-22,中国联通10月5G套餐用户净增656.8万户，累计达1.435亿户,C114通信网
244,2021-11-22,中国联通 10 月新增 5G 套餐用户 656.8 万，中国电信增 1295 万,IT之家
245,2021-11-22,中国联通：5G套餐用户累计到达数约为1.44亿户,新浪
246,2021-11-22,“5G引领汽车数字化新发展专题会议暨智客荟”顺利召开,盖世汽车
247,2021-11-22,中国联通：10月5G套餐用户1.435亿 净新增656.8万,新浪
248,2021-11-22,中国联通：10月份5G套餐净新增用户656.8万,e公司
249,2021-11-22,中国联通：10月移动出账用户累计到达数约为3.17亿户,Wind
250,2021-11-22,中国联通(00762.HK)：10月5G套餐用户净增656.8万户,格隆汇
251,2021-11-22,中国联通：10月新增5G套餐用户656.8万,金十数据
252,2021-11-22,通信行业周报：通信业十四五规划发布 多板块迎新机,新浪
253,2021-11-22,全国5G+工业互联网在建项目超1800个,Wind
254,2021-11-22,【招商通信余俊团队】中美关系缓和利好通信板块估值复苏，元宇宙建设提速带动光模块需求——招商通信周周谈（2021年第47周）,俊Sir通信研究
255,2021-11-22,中国联通打造首个5G+AIoT全域智能建造新模式,中投网
256,2021-11-22,陆家嘴财经早餐2021年11月22日星期一,Wind
257,2021-11-22,“5G+工业互联网”建设加力，产业化规模化应用持续推进,Wind
258,2021-11-21,中国联通建了一所未来校园：全息异地同屏互动 二维码取代校园卡,快科技
259,2021-11-21,iPhone 13系列不支持中国电信2G/3G网络,Wind
260,2021-11-21,【报道】苹果支持官网显示，iPhone 13系列不支持中国电信2G/3G网络，而中国移动、中国联通不受影响,金十数据
261,2021-11-21,“5G+工业互联网”大会透露哪些领域最新进展？,Wind
262,2021-11-18,数码视讯：公司WIFI6家庭网关产品已入围中国联通,每日经济新闻
263,2021-11-18,通信行业2022年投资策略：反弹仍可期 分化终有时,光大证券
264,2021-11-18,通信行业事件点评：工信部印发信息通信“十四五”规划 看好板块反弹行情,光大证券
265,2021-11-18,又开始了！三大运营商新赛道布局,Ofweek
266,2021-11-18,“联通速度”为冬奥会通信网络保驾护航－国务院国有资产监督管理委员会,国资委
267,2021-11-17,倒计时！中国联通与您相约江城武汉“2021中国5G+工业互联网大会”！,C114通信网
268,2021-11-16,5G在钢铁中的应用到底有多惊艳？,人民邮电报
269,2021-11-16,中国电信向小米释放善意,Ofweek
270,2021-11-16,中国联通任命唐永博为副总经理，曾担任市场部总经理,Wind
271,2021-11-15,唐永博升任中国联通集团副总经理,C114通信网
272,2021-11-15,运营商推出百亿终端补贴“大蛋糕” 能否加快5G应用爆发？,第一财经
273,2021-11-15,平治信息：深圳兆能智能硬件产品的主要客户为中国移动、中国电信、中国联通等国内通信运营商,每日经济新闻
274,2021-11-15,联通集采总部大流量APP生态智能推荐应用系统应用软件：4企业入围,C114通信网
275,2021-11-15,三大运营商积极布局新业务增长点,经济参考报
276,2021-11-14,【上周回顾】华为鸿蒙之后再捐欧拉；中国电信2022年目标实现5G终端,C114通信网
277,2021-11-14,【招商通信余俊团队】关注电网数字化智能化投资机会，重点推荐威胜信息——招商通信周周谈（2021年第46周）,俊Sir通信研究
278,2021-11-12,中国联通：与中国银行在京签署5G消息测试协议,e公司
279,2021-11-12,智慧驱动，精准治理 中国联通助力南京南部新城打造智慧水务样板,砍柴网
280,2021-11-12,总投资超2.2亿元 中国联通“智·云”数据中心落地江西抚州,中国IDC圈
281,2021-11-12,解盘：百亿资金流入，特高压、军工、新能源略涨,Wind
282,2021-11-12,中国电信为争夺新客户将再推百亿补贴,Ofweek
283,2021-11-11,晚间要闻2021年11月11日星期四,Wind
284,2021-11-11,国内首家获批元宇宙行业协会揭牌，包括中国移动、中国联通等,IT之家
285,2021-11-11,国内首家获批元宇宙行业协会揭牌,Wind
286,2021-11-11,数码视讯：公司WIFI6家庭网关产品已入围中国联通,Wind
287,2021-11-11,数码视讯：公司WIFI6家庭网关产品已入围中国联通,每日经济新闻
288,2021-11-11,5G建设四季度加速推进，相关细分赛道投资机遇显现,第一财经
289,2021-11-10,中国联通：与G60科创走廊九城市以及沪西五区共同签订战略合作协议,e公司
290,2021-11-10,【要闻回顾】中国联通发布5G消息试商用 阿里正式入股哈啰出行,融资中国
291,2021-11-10,联通通信云创新业务域安全设备集采：启明星辰、天融信和新华三入围,C114通信网
292,2021-11-10,2021中国联通合作伙伴大会,凤凰网
293,2021-11-10,中国联通何飚：CULinux 操作系统支持多样性算力，夯实数字经济新基座,C114通信网
294,2021-11-10,[公司]中国联通派发2021半年度现金红利14.87亿元,全景网
295,2021-11-10,中国联通派发A股半年度现金红利：每股0.0488元,C114通信网
296,2021-11-10,910家公司今年以来回购股份逾千亿元,Wind
297,2021-11-09,【金财富决策参考】2021-11-10,赢家之星
298,2021-11-09,中国联通(600050.SH)A股拟每股派0.0488元 11月17日分红,智通财经
299,2021-11-09,车路协同绕不开5G+车联网，自动驾驶的积极探索与实践,Ofweek
300,2021-11-09,【华西通信|公司报告】天邑股份：受益于三千兆网络建设，业绩逐季改善,香农圆桌沙龙
301,2021-11-09,深度：通信之“痛”与去“内卷化”,维库电子市场
302,2021-11-09,中国联通发布自主知识产权操作系统：已适配X86和鲲鹏、飞腾等,快科技
303,2021-11-09,加速规模商用：英特尔携手中国联通引领5G边缘云未来,C114通信网
304,2021-11-08,杀手级5G应用 联通5G消息试商用：无需下载、流量免费,快科技
305,2021-11-08,中国联通 CULinux 自主知识产权操作系统发布,IT之家
306,2021-11-08,战风雪 抗疫情 中国联通寒潮天气下通信网络保障纪实,C114通信网
307,2021-11-08,第七届万向区块链峰会大讨论：区块链+城市数字化转型落地方案,凤凰网
308,2021-11-08,中国联通在全国启动5G消息试商用,C114通信网
309,2021-11-08,知料丨中国移动回归A股，近10年来最大一笔IPO来了,36氪
310,2021-11-08,5G“冰立方” 展现科技办赛新智慧,中国科技网
311,2021-11-07,【招商通信余俊团队】详解通信行业2021年三季报：运营商业绩持续向好，通信设备及物联网业绩亮眼，行业整体基本面改善显著,俊Sir通信研究
312,2021-11-06,中国联通全面升级高品质服务,经济日报
313,2021-11-06,中国联通5G赋能千行百业成果巡礼 | 郑州海尔 5G助力智能工厂打下第一桩,飞象网
314,2021-11-05,通信行业深度报告：数字经济时代 电信运营商价值有望重估,新浪
315,2021-11-05,揭秘20年前三大运营商港股上市融资史 越晚上市的油水越少,腾讯网
