,2021-12-31,保险行业关于《保险公司偿付能力监管规则(Ⅱ)》的点评：偿二代二期工程落地 预计对头部险企的影响相对有限,新浪
22,2021-12-28,新能源车险来了，特斯拉车主：我的车险怎么涨这么多！,时代周报
23,2021-12-28,保交所上线新能源车险交易平台，万亿市场引12家险企同台竞争,华夏时报网
24,2021-12-28,中国太保启动青岛养老社区投资建设 太保家园康养产品线再添一城,财经网
25,2021-12-28,新能源汽车专属保险上线，多家险企“开门红”,Wind
26,2021-12-28,根据实际情况制定费率备案标准,发布易
27,2021-12-28,大病保险承办险企调整，由原32家减少至26家,Wind
28,2021-12-27,新能源专属车险上市 “车型价格25万”或成保费浮动分水岭｜南财保险测评,21世纪经济报道
29,2021-12-27,保险服务质量指数超90财险4家、寿险8家 平安、太保财寿皆上榜,21世纪经济报道
30,2021-12-27,12.27丨前11月保险业保费负增长1.27%；上海保交所挂牌首批新能源车险产品,和讯
31,2021-12-27,五大险企市值蒸发超万亿！2022年风往何处吹？,Wind
32,2021-12-27,上海保险交易所上线新能源车险交易平台,Wind
33,2021-12-27,【中信建投 非银&金融科技】企业境外上市纳入监管，当前时点仍建议关注券商板块,中信建投非银金融研究
34,2021-12-27,资本市场巩固拓展脱贫攻坚成果系列报道 | 织就一张“保险网” 筑牢返贫“防火墙”,上证报
35,2021-12-27,陆家嘴财经早餐2021年12月27日星期一,Wind
36,2021-12-26,国元农险IPO现新进展，证监会已接收申请材料,Wind
37,2021-12-25,中国太保中青年知识分子联谊会揭牌成立,陆家嘴金融网
38,2021-12-24,中国银保信发布上半年保险服务质量指数 中国太保旗下产寿险公司均位列第一,上证报
39,2021-12-24,首个保险服务质量指数来了！银保信报告称12家公司得分超过90，太保产、寿险双第一,和讯
40,2021-12-24,中国结算修订形成境内外证券交易所互联互通存托凭证登记结算业务实施细则,Wind
41,2021-12-24,上交所：拟将参与中国存托凭证业务个人投资者门槛下调至50万元,Wind
42,2021-12-24,中国太保与浦东新区人民政府、临港新片区管委会签署战略合作协议,上证报
43,2021-12-24,太保集团和太保寿险拟向太平洋健康保险增资19亿元,和讯
44,2021-12-24,持续深耕ESG领域，中国太保签署联合国UNPSI和UNPRI两大原则,资本邦
45,2021-12-24,三亚试点省地方财政蔬菜收入保险 首单保额逾15万元,海南日报
46,2021-12-24,投资限制放宽，险资与股权投资机构强强联手,Wind
47,2021-12-24,11月养老运营发展报告·观点月度指数,新浪
48,2021-12-23,董事会领航高质量发展 中国太保再次斩获公司治理大奖,山西晚报
49,2021-12-23,北向资金加仓近25亿结束连续4日净卖出，宁德时代净买入4.74亿元,Wind
50,2021-12-23,中国太保“防贫保”助力受困户建起保障网,投资家
51,2021-12-23,保险股怎么了？2021年即将收官之际，仍在底部持续震荡,Wind
52,2021-12-23,险企加速转型谋“突围”，2022年料重拾增长态势,Wind
53,2021-12-22,十年来最大跌幅！今年以来板块已跌近四成，保险股怎么了？,中证报
54,2021-12-22,助力双碳战略 资产负债齐头并进 中国太保签署联合国可持续保险原则和负责任投资原则,中金在线
55,2021-12-21,穆迪：维持太保产险“A1”保险财务实力评级，展望“稳定”,Wind
56,2021-12-21,险企发力“开门红”：长期保障型产品占主角，多重压力下今年还能红吗？,华夏时报
57,2021-12-20,保险业基本面梳理系列一：保险资金运用政策调整 股权私募基金投资或将提升,新浪
58,2021-12-20,中国太保寿险发布“长相伴”终身寿险产品,上证报
59,2021-12-20,Schroders Plc减持中国太保(02601)340.78万股，每股作价约21.86港元 减持股份,智通财经
60,2021-12-20,中国太保寿险发布“金三角”产品服务体系暨全新产品“长相伴”,财经网
61,2021-12-20,可持续发展，激发“而立太保”新动能,第一财经
62,2021-12-19,太保寿险总经理：未来资产配置要更多关注风险，建防守型布局,Wind
63,2021-12-19,【国君非银金融刘欣琦团队】47号文利好资管业务，继续推荐四川双马/中信证券,新浪
64,2021-12-17,保险行业2021年11月保费点评：寿险小幅改善 产险加速回暖,新浪
65,2021-12-17,上市险企前11月保费收入2.3万亿，同比下降，但单月数据已回暖 盈利能力下降,深水财经社
66,2021-12-17,【权益变动】中国太保(02601.HK)被Schroders Plc减持340.78万股 减持股份,财华社
67,2021-12-17,四大金融机构共享服贸商机 共促合作发展,香港商报网
68,2021-12-17,A股五大险企前11月保费PK：寿险国寿夺冠 产险人保第一,中新经纬
69,2021-12-17,聚焦“共富”！上海普惠金融典型案例发布,陆家嘴金融网
70,2021-12-17,央行榜单刷屏！金融机构重金砸向硬科技，银行业霸屏,Wind
71,2021-12-17,港股科技股市值较高位蒸发10万亿？会是布局良机？,Wind
72,2021-12-17,财险回暖“撑门面”，上市险企保费表现分化,Wind
73,2021-12-17,2021：恒指表现全球最差，港股“失落”根源何在,Wind
74,2021-12-16,2022年保险业投资策略来了！车险增速有望修复 康养或为新增长点,国际金融报
75,2021-12-16,五大险企前11月保费收入2.3万亿微降0.6%，人保寿险单月保费大增89%,搜狐
76,2021-12-16,上市险企年末冲刺寿险保费改善 车险回暖财险保费小幅增长,21世纪经济报道
77,2021-12-16,百万代理人逃离 前9个月退保1200亿 保险为什么卖不动了？,和讯
78,2021-12-16,为上海人才软环境建设保驾护航! 太平洋健康险荣获金洽会重磅奖项,财经网
79,2021-12-16,【中信建投金融】保险：车险格局明朗、头部险企强者恒强逻辑延续——上市险企11月保费点评,大金融研究
80,2021-12-16,金融防贫 助力乡村振兴——中国太保“防贫保”守护湖湘百姓,和讯
81,2021-12-16,五大险企前11月保费收入2.3万亿：寿险仍低迷，车险回暖,澎湃新闻
82,2021-12-16,成绩单出来了！5大上市险企前11月保费2.3万亿，寿险亮了,Wind
83,2021-12-16,5大上市险企前11月保费收入2.3万亿，财险单月保费全部回暖,资本邦
84,2021-12-16,港股盘前必读：美联储将基准利率维持不变，美股全线收涨,Wind
85,2021-12-16,【非银*胡翔】上市险企11月保费数据点评：寿险持续承压，财险逐步回暖,新浪
86,2021-12-16,成绩单出来了！5大上市险企前11月保费2.3万亿，微降0.6%，寿险亮了！明年上半年是一场硬仗！,券商中国
87,2021-12-16,五大险企前11月保费收入微降，板块估值仍待修复,Wind
88,2021-12-16,五大险企前11月保费收入微降 板块估值仍待修复 盈利能力下降,全景网
89,2021-12-15,五大上市险企前11月揽保费2.31万亿！寿险持续承压，车险拐点已现,国际金融报
90,2021-12-15,上市保险公司11月保费收入数据点评：寿险保费依旧承压 转型惯性或压制险企1季度表现,新浪
91,2021-12-15,【东吴非银 | 上市险企11月保费数据点评】寿险持续承压，财险逐步回暖,微信
92,2021-12-15,1年4牌照150亿，险资做VC/PE救场还是来割韭菜？,36氪
93,2021-12-15,5上市险企前11月保费2.3万亿 人保车险保费同比降5.4%,中国经济网
94,2021-12-15,保险行业：2021年11月上市险企保费数据点评：重疾需求减弱开门红将承压 车险驱动财险回暖,新浪
95,2021-12-15,保险Ⅱ行业：“降费”支持国家战略 好于市场预期,广发证券
96,2021-12-14,基本面仍较弱，静待负债端拐点|保险行业11月跟踪报告,华创非银
97,2021-12-14,港股异动 | 中国太保(02601)午后跌超5% 1-11月原保险业务收入同比增长0.81%至3413.59亿元,智通财经
98,2021-12-14,太保寿险王光剑谈构建保险行业发展新生态：破茧新生 破壁前行,新浪
99,2021-12-14,【异动股】中国太保(02601.HK)跌3.5%,财华社
100,2021-12-14,中国太保(02601.HK):太平洋人寿11个月累计原保险业务收入2012.96亿元,财华社
101,2021-12-14,牛脸识别，厉害不,中国青年报
102,2021-12-14,四季度险资打新热情高涨,Wind
103,2021-12-13,险企打新热情高涨！瞄准专用设备、医药等行业，偏爱科创板,中证报
104,2021-12-13,中国太保：子公司前11月累计原保险业务收入合计3413.59亿元,中证网
105,2021-12-13,每经数读|1-10月九大险企保费出炉：车险综改届满一年，财险板块保费同比改善，单月保费转为正增长,每日经济新闻
106,2021-12-13,中国太保：太平洋人寿及太平洋财险前11月累计原保险业务合计收入3413.59亿元 同比增长0.8%,新浪
107,2021-12-13,中国太保前11月保费收入3413.59亿元 同比增长0.81%,中国经济网
108,2021-12-13,中国太保(601601.SH)：1-11月累计原保险业务收入3413.59亿元 同比增长0.81%,格隆汇
109,2021-12-13,中国太保(601601.SH)1-11月累计原保险业务收入共计为3413.59亿元,智通财经
110,2021-12-13,中国太保：旗下两子公司1-11月累计原保险业务收入超3400亿元,Wind
111,2021-12-13,非银金融行业周报：保险业对外开放进一步落实 场外衍生品业务新增规模下降,光大证券
112,2021-12-13,国联期货联合太保财险首创并落地全国首单鱼饲料成本险,期货日报网
113,2021-12-12,“保险资管版”ABS提速，年内注册登记规模首破千亿,Wind
114,2021-12-11,“沪惠保”打样，“惠民保”如何走得更远,上证报
115,2021-12-10,助力乡村振兴 “防贫保”湖北模式谱新篇,中国网
116,2021-12-10,中国太保投资成立私募投资基金 注册资本50亿,TechWeb
117,2021-12-09,保险经营缓慢修复,证券市场周刊
118,2021-12-08,中国太保寿险香港公司正式成立 大湾区将成公司发展新增长极,21世纪经济报道
119,2021-12-08,中国太保寿险香港公司正式成立,Wind
120,2021-12-08,积极布局大湾区，中国太保寿险香港公司正式成立,中金在线
121,2021-12-08,中国太保寿险香港公司正式成立 将积极布局大湾区,上证报
122,2021-12-08,面对开门红，产品不再是“全村唯一的希望”,和讯
123,2021-12-08,中国太保2601｜寿险攻港 明年一月开业 | 头条金融网,头条日报
124,2021-12-08,保险行业年度策略报告：不塞不流 不止不行,新浪
125,2021-12-07,北向资金今日净买入79.49亿元，继续抄底大金融板块,Wind
126,2021-12-07,中恒集团跨界投资输血关联方,新浪
127,2021-12-07,保险公司高管变动频繁，2021年超30位董事长新上任,资本邦
128,2021-12-07,【异动股】中国太保(02601.HK)涨3.74%,财华社
129,2021-12-07,保险股急拉，中国平安、中国人寿、中国太保涨幅靠前,Wind
130,2021-12-06,银河证券每日晨报,新浪
131,2021-12-06,险资，开始大举杀入VC/PE圈,投资界
132,2021-12-06,单季营收净利迎来双降！中国太保退保金大增86% 副总裁马欣仍享年薪380万 盈利能力下降,新浪
133,2021-12-06,非银金融行业周报：险资规范参与证券出借业务 继续关注券商板块行情,光大证券
134,2021-12-06,中国银河维持保险行业推荐评级：人身险销售渠道监管强化，产险保费改善,每日经济新闻
135,2021-12-06,非银金融行业周报：降准预期叠加险资券源放开 券商迎多重利好,新浪
136,2021-12-06,东吴证券：险资投资赛道扩宽，看好长期配置价值,财联社
137,2021-12-05,非银周报：账户管理优化助力财富管理 险资融券放开增厚投资收益,新浪
138,2021-12-05,《关于保险资金参与证券出借业务有关事项的通知》点评：盘活险资存量资产 增厚收益或超百亿,新浪
139,2021-12-03,非银行业2022年度策略：把握券商权益机构化主线 静待保险负债端转型成效,新浪
140,2021-12-03,中国太保寿险戴文浩：打造“三化五最”创业平台，让代理人获得稳定收入,和讯
141,2021-12-03,中国太保2601｜获发长期保险业务牌照 | 头条金融网,头条日报
142,2021-12-03,“一招鲜吃遍天”发展模式失灵，保险代理人渠道改革路在何方,Wind
143,2021-12-03,第三轮集中供地“棋至中局”,Wind
144,2021-12-02,保险行业10月跟踪报告：投资端风险有所释放 板块略有反弹,新浪
145,2021-12-02,保险行业2022年投资策略,广发证券
146,2021-12-02,一年流失率超20%！200万保险代理人离场后，路在何方？,搜狐
147,2021-12-02,长江养老蝉联第一财经金融价值榜“年度养老保险公司”,和讯
148,2021-12-02,【权益变动】中国太保(02601.HK)获摩根大通增持38.6971万股,财华社
149,2021-12-01,保险行业2022年度投资策略：不畏浮云遮望眼,新浪
150,2021-12-01,北向资金12月首个交易日加仓A股30亿，紫光国微净买入超6亿元,Wind
151,2021-12-01,保险行业2022年策略报告：估值底部 静待破局,西部证券
152,2021-11-30,董事会领航高质量发展 中国太保再次斩获公司治理大奖,金融界
153,2021-11-30,中国太保寿险召开2021年蓝鲸协会年度峰会,上证报
154,2021-11-30,保险业前10月保费“喜忧参半” 如何通过自我改革涅盘重生？,21世纪经济报道
155,2021-11-30,中国太保：完成注册资本变更登记手续 注册资本增至96.20亿元,北京商报网
156,2021-11-30,防贫救助达12亿元 中国太保“防贫保”为千县筑起防返贫保障网,中国金融新闻网
157,2021-11-30,海上扬帆立潮头 长航虎将启芯程 中国太保寿险隆重召开2021年蓝鲸协会年度峰会,财经网
158,2021-11-30,中国太保公布部分高管薪酬 4人税前年薪过300万元,和讯
159,2021-11-30,泰康VS太保：寿险新探花之争,和讯
160,2021-11-30,18家险企成立保险业大基金，意在何为？,Wind
161,2021-11-29,4人年薪超300万 中国太保公布2020年部分高管薪酬详情,21世纪经济报道
162,2021-11-29,保险2022年度策略：唯坚定改革者 首见曙光,新浪
163,2021-11-29,半年近百万人离职，五大险企总市值缩水近三成，保险行业怎么了？,钛媒体
164,2021-11-29,老龄社会匆匆而来 养老问题成社会关注,中国金融新闻网
165,2021-11-29,中国太保及太保寿险拟向太保健康险增资19亿元,上证报
166,2021-11-29,现象级保险席卷全国，惠民保可持续性问题引关注,Wind
167,2021-11-28,至少布局两个大湾区养老社区！太保养老项目下一站：广州番禺,南都报
168,2021-11-28,规范人身保险销售管理，第二批基金投顾获牌券商陆续开业,华创非银
169,2021-11-28,【国君非银刘欣琦团队】继续推荐机构业务具备竞争优势的券商,欣琦看金融
170,2021-11-28,非银金融行业周报：监管助推高质量发展 推荐关注非银板块,广发证券
171,2021-11-27,保险Ⅱ：行业渠道销售迎大变革-《征求意见稿》解读,新浪
172,2021-11-27,中国太保联合瑞金医院打造互联网闭环医疗服务：太医管家连线上 瑞金医院接线下,和讯
173,2021-11-27,CPIC&社科院：2021年居民养老规划与风险管理白皮书,199IT
174,2021-11-26,11.26丨保险业前10月保费负增长1.4%；国务院：加速发展健康保险业务,和讯
175,2021-11-26,非银金融行业2022年度策略：向新而生,新浪
176,2021-11-26,中国太保“防贫保”为千县筑起防返贫保障网,财经网
177,2021-11-26,【行情】港股内险股下挫，中国平安(02318.HK)跌3.14%，中国人寿(02628.HK)跌近3%，中国太保(02601.HK)跌2.69%，中国太平(00966.HK)跌1.41%,金十数据
178,2021-11-26,【异动股】中国太保(02601.HK)跌3.11%,财华社
179,2021-11-26,非银金融行业周报：本周周报地产预期改善提振非银情绪 北交所开市关注券商热度,新浪
180,2021-11-26,中国太保(02601.HK)获摩根大通增持38.7万股,格隆汇
181,2021-11-25,《中共中央国务院关于加强新时代老龄工作的意见》点评：再提第三支柱建设 保险公司大有可为,新浪
182,2021-11-25,中国太保：单季个险新单下滑41%，车险或迎拐点？,和讯
183,2021-11-25,行车陇原，无惧油货被盗！@货车司机，这份公众责任保险了解一下,搜狐
184,2021-11-25,浙商期货“走进乡村助振兴”系列之3：浙商期货再入黔，助农模式再升级,浙商期货
185,2021-11-25,港股公告精选：佳兆业集团正考虑措施以增加流动性今日复牌,Wind
186,2021-11-24,中国太保：公司及子公司拟向太保健康险增资19亿元,e公司
187,2021-11-24,太保集团聘任长江养老董事长苏罡为首席投资官（总经理助理）,21世纪经济报道
188,2021-11-24,中国太保：公布部分董事、监事和高级管理人员薪酬,Wind
189,2021-11-24,中国太保(601601.SH)聘任苏罡为首席投资官(总经理助理),智通财经
190,2021-11-24,保险行业系列互联网及人身险新规深度解读：重塑人身险渠道及产品竞争格局,新浪
191,2021-11-24,中国太保(601601.SH)拟携太保寿险向太平洋健康保险增资19亿元,智通财经
192,2021-11-24,中国太保联合太保寿险向太保安联增资19亿元,乐居财经
193,2021-11-24,中国太保拟聘任苏罡为首席投资官,乐居财经
194,2021-11-24,中国太保：董事会会议通过聘任苏罡为公司首席投资官的议案,Wind
195,2021-11-24,中国太保：董事会会议通过《关于向太平洋健康保险股份有限公司增资暨重大关联交易的议案》,Wind
196,2021-11-24,保险行业年度策略：保险业涅磐重生,新浪
197,2021-11-24,10月网络影响力榜单 | 建设银行跃居第二；中国太保跻身前五,中国银行保险报
198,2021-11-24,中国太保推出 “长航合伙人”全球招募计划，深化代理人队伍职业化转型,中国太保
199,2021-11-24,保险行业快报：10月寿险保费持续承压 产险增速由负转正,新浪
200,2021-11-24,前10月五家上市险企揽保费2.17万亿元,中国金融新闻网
201,2021-11-23,无聊的开门红,新浪
202,2021-11-23,保险行业：为什么中国没有联合健康模式专题1：什么是联合健康模式？,新浪
203,2021-11-23,非银金融行业：《关于调整保险资金投资债券信用评级要求等有关事项的通知》点评：险资运用范围扩大 适当信用下沉利好投资端,光大证券
204,2021-11-23,佛山首张政策性猪饲料成本保单落地,Wind
205,2021-11-22,A股五大上市险企前10月揽2.17万亿原保费 同比微降0.93%,中国网
206,2021-11-22,保险Ⅱ：提升核心偿付能力充足率 助力上市险企业务扩张,新浪
207,2021-11-22,非银金融周报：北交所正式开市 重点关注投行/直投业务占优的券商,新浪
208,2021-11-22,《关于调整保险资金投资债券信用评级要求等有关事项的通知》简评：低评级合并口径管理 永续认定强调一致性,新浪
209,2021-11-21,非银金融行业周报：规范基金投顾业务 拓宽险资投资范围,新浪
210,2021-11-21,非银金融行业：流动性预期边际改善 推荐关注非银板块,广发证券
211,2021-11-20,中国太保寿险成都中心支公司向成都市疫情防控青年志愿者提供保险保障服务,金融投资报
212,2021-11-19,沉浸式体验“太保服务”——中国太保寿险在宁举办首届“康养嘉年华”发布会,和讯
213,2021-11-19,保险行业2022年度投资策略：估值见底 低预期下寻找内外部边际超预期,新浪
214,2021-11-19,太保寿险香港公司获监管局批准 经营长期保险业务,资本邦
215,2021-11-19,太保寿险香港子公司获批，服务粤港澳大湾区再加速,资本邦
216,2021-11-18,中国太保将推出“长航合伙人”全球招募计划,上证报
217,2021-11-18,中国太保寿险宣布香港子公司获批,21世纪经济报道
218,2021-11-18,服务粤港澳大湾区迈出新步伐 中国太保寿险宣布中国香港子公司获批,财经网
219,2021-11-18,10月上市险企保费数据点评：低基数导致保费增速边际回暖,华福证券有限责任公司
220,2021-11-18,中国太保：创新健康服务模式深度赋能客户经营,财经网
221,2021-11-18,2021年10月保费点评报告：寿险压力不减 产险边际改善,新浪
222,2021-11-17,浙商期货太保贵州分公司生猪价格保险实现高额理赔，帮助养殖户渡过亏损难关,和讯
223,2021-11-17,北交所开市利好券商，保险10月负增长延续,华创非银
224,2021-11-17,人身险持续弱势，车险增速回正|上市险企10月保费数据点评【华创非银】,华创非银
225,2021-11-17,5大上市险企前10月保费收入2.17万亿元 车险触底反弹财险单月增速集体回暖,财经网
226,2021-11-17,华融获批发行不超过700亿元金融债；佳兆业长期外币发行人评级被下调；苏宁辟谣破产传言丨预警内参（第六十六期） 投资评级恶化,21世纪经济报道
227,2021-11-16,五上市险企前10月揽收保费2万亿！人保10月车险恢复正增长,国际金融报
228,2021-11-16,11.16丨太保寿省级老总轮换启幕；多家投资者尽调北大方正人寿,和讯
229,2021-11-16,五大上市险企前10月保费2.17万亿 同比下降0.93%,中国经济网
230,2021-11-16,中国太保2601｜澄清组织架构无大调整 | 头条金融网,头条日报
231,2021-11-16,预告！11月20日中国太保启幕 “长航合伙人”全球招募计划发布会,财经网
232,2021-11-16,上市险企前10月保费出炉：寿险新单压力延续全年、车险保费触底反弹,21世纪经济报道
233,2021-11-16,中国太保回应人事变动传闻：公司架构是根据转型发展要求进行微调 没有太大调整,财联社
234,2021-11-16,中国太保回应人事变动传闻：公司架构是根据转型发展要求进行微调 没有太大调整,Wind
235,2021-11-16,底部蛰伏，静待新一轮繁荣增长|保险行业2022年投资策略,华创非银
236,2021-11-16,保险业：基本面承压 监管进一步规范互联网人身险业务,金融投资网
237,2021-11-16,【东吴非银 | 上市险企10月保费数据点评】寿险弱势延续，财险承压渐解,微信
238,2021-11-16,【国君非银|上市险企10月保费点评】车险保费触底反弹，寿险边际改善预计为22Q2,欣琦看金融
239,2021-11-16,“A股三傻”谁最惨?还能买入吗?保险板块年内跌近四成居市场倒数第一,财富动力网
240,2021-11-15,中国太保产险“提放保”助小微企业或近千亿元融资资金,中国金融新闻网
241,2021-11-15,金融报道 | 代理人清虚、准备金增提A股五家上市险企净利普降 盈利能力下降,财经网
242,2021-11-15,港股盘前必读：KK集团日前向港交所递交上市申请正式启动上市流程,Wind
243,2021-11-15,120万一针的抗癌药无缘医保，共付机制暂难为“天价药”埋单,Wind
244,2021-11-15,4家上市险企10月份寿险保费环比骤降45% 业务重心转向2022年“开门红”,证券日报
245,2021-11-14,非银金融行业周报：券商盈利高景气延续 保险两端压力仍在,新浪
246,2021-11-13,四险企10月保费收入环比下降明显，或将大力布局“开门红” 盈利能力下降,AI财经社
247,2021-11-13,周报丨原央行副行长空降人保党委副书记；传阳光保险明年赴港IPO,和讯
248,2021-11-13,上市公司正负面新闻2021年11月13日星期六,Wind
249,2021-11-12,永安财险暂停陶光强董事长职务，代行董事长临危受命；友邦保险前三季度新业务价值增15% | 慧保日报 11.12,搜狐
250,2021-11-12,服务乡村振兴 上期所橡胶试点现成效,中证网
251,2021-11-12,中国太保：完成注册资本变更登记手续 注册资本增至96.20亿元,北京商报网
252,2021-11-12,中国太保：公司注册资本增至96.2亿元,中证网
253,2021-11-12,晚间重要公告2021年11月12日星期五,Wind
254,2021-11-12,【港股通】中国太保(02601)前10月累计原保险业务收入合计3203.76亿元,和讯
255,2021-11-12,中国太保：完成注册资本变更登记,Wind
256,2021-11-12,晚间公告｜11月12日这些公告有看头,第一财经
257,2021-11-12,中国太保(02601.HK)：1-10月原保险业务收入3203.76亿元 同比增长0.55%,格隆汇
258,2021-11-12,中国太保(02601)：太平洋人寿保险前10月累计原保险业务收入1918.37亿元,智通财经
259,2021-11-12,中国太保前10月保费收入3203.76亿 同比增长0.55%,中国经济网
260,2021-11-12,中国太保(601601.SH)累计原保险业务收入3203.76亿元,智通财经
261,2021-11-12,快讯 | 中国太保：前十月累计收入3203.76亿元,财经网
262,2021-11-12,“交强险”生意 保险公司为什么不爱做了？,AI财经社
263,2021-11-12,中国太保：1-10月累计原保险业务收入3203.76亿元,Wind
264,2021-11-12,北向资金再度加仓超36亿，东方财富本周净买入近28亿,Wind
265,2021-11-12,保险持续弱势，外资逆势增仓人保超9成，意欲何为？,Wind
266,2021-11-12,聚焦进博会｜未来科技如何赋能养老？带你探秘中国太保展馆黑科技,21世纪经济报道
267,2021-11-12,保险板块年内跌38%居A股市场倒数第一 外资逆势大幅加仓人保与太保,证券日报
268,2021-11-11,保险Ⅱ行业：从医疗保险体系看我国健康险市场的空间,广发证券
269,2021-11-11,太保产险董事长顾越：详解逾万亿保额的进博会“PLUS”保险方案,第一财经
270,2021-11-11,港股内险股走高：中国太保涨逾4% 中国平安涨近3%,财联社
271,2021-11-11,港股内险股走高，中国太保、中国平安涨逾4%,36氪
272,2021-11-11,【行情】港股内险股走高，中国太保涨逾4%，中国平安涨近3%，中国人寿涨超2%,金十数据
273,2021-11-11,港股异动 | 内险股普涨 中国太保(2601.HK)升超4%领涨,格隆汇
274,2021-11-11,中国太保(601601)：寿险改革持续推进 关注代理人质态改善趋势,新浪
275,2021-11-11,【异动股】中国太保(02601.HK)涨3.34%,财华社
276,2021-11-10,服务“双碳”目标 中国太保推出系列碳减排保险服务方案,中国经济网
277,2021-11-10,车险市场再酿变革：为新能源车市场提供创新保险 保费会降低吗？,华夏时报
278,2021-11-10,北向资金大举出货超百亿连续4日净卖出，房地产产业链持续遭抛售,Wind
279,2021-11-10,保险业支持“双碳”战略在行动,中国金融新闻网
280,2021-11-10,“双碳”目标下 绿色金融产品迎创新潮,中国金融新闻网
281,2021-11-09,新风天域集团联合中国太保深度布局康养板块,北京商报
282,2021-11-09,进博会上畅想5G时代美好养老生活,中国金融新闻网
283,2021-11-09,更智能、更人文、更绿色、更健康 进博会上大咖畅谈5G时代美好养老生活,中金在线
284,2021-11-09,爆发的“惠民保”：头部险企面临更大机遇,每日财报
285,2021-11-09,中国太保产险举办“科技金融服务双碳经济”国际高峰论坛,第一财经
286,2021-11-09,中国太保参展第四届进博会 关注“绿色保险”与“智慧服务”,第一财经
287,2021-11-09,险资去哪儿了？复苏行业有机会,Wind
288,2021-11-08,中国太保和新风天域集团签订股权合作协议,上证报
289,2021-11-08,非银金融行业周报：保险中介准入新规落地 北交所上市规则正式发布,光大证券
290,2021-11-08,拥抱科技创新 坚守人文初心 中国太保成功举办科技赋能暨养老服务高峰论坛,财经网
291,2021-11-08,中国太保(02601.HK)：中国银保监会核准陈巍任总经理助理任职资格,格隆汇
292,2021-11-08,中国太保：银保监会已核准了陈巍担任本公司总经理助理的任职资格,Wind
293,2021-11-08,北美精算师出任所托瑞安首席创新官 推动商用车UBI中国化落地,36氪
294,2021-11-08,资产端负债端明显承压、公募基金仓位水平处于近十年底部，保险股反复磨底,腾讯网
295,2021-11-08,九成基金清仓跑路，保险股的寒冬何时能过去？,证券之星
296,2021-11-08,保险业2021三季报综述：供需错配致增长压力 需求广阔、打破供给驱动型增长模式是关键,新浪
297,2021-11-08,【异动股】中国太保(02601.HK)涨3.17%,财华社
298,2021-11-08,保险行业深度研究：狂风不终朝，骤雨不终日,腾讯网
299,2021-11-08,上市险企前三季净利1855亿下降7.1% 增提准备金压降利润寿险新单仍承压 盈利能力下降,长江商报
300,2021-11-08,陆家嘴财经早餐2021年11月8日星期一,Wind
301,2021-11-08,陆股通周监控：创业板仓位续创新高,新浪
302,2021-11-08,机构罕见大逃离 九成基金“跑了” 截至三季度末仅有483只基金持有保险股,证券日报
303,2021-11-07,服务“双碳”经济，“碳配额+质押+保险”模式落地,第一财经
304,2021-11-07,中国太保与松下电器、三井住友海上签署新能源汽车三方合作协议,Wind
305,2021-11-07,送你一台时光留声机 中国太保开展“保单贴芯”服务活动,金融界
306,2021-11-07,中国太保、松下电器（中国）、三井住友海上（中国）签署新能源汽车三方合作协议,中金在线
