,2021-12-31,煤炭坐上“过山车”：价格疯涨后企稳回落,中国经营网
46,2021-12-16,【行情】煤炭股开盘拉升，靖远煤电触及涨停，兖矿能源、中煤能源、华阳股份、陕西煤业、冀中能源跟涨,金十数据
47,2021-12-16,煤炭股盘初走强，靖远煤电涨停,Wind
48,2021-12-15,【行情】港股煤炭股午后持续走强，兖州煤业股份(01171.HK)涨5.43%，中煤能源(01898.HK)涨3.2%，中国神华(01088.HK)涨2%,金十数据
49,2021-12-15,兖矿能源冲击涨停提振煤炭板块，山西焦煤、中煤能源、陕西煤业等普涨,Wind
50,2021-12-09,中国神华、陕西煤业、中煤能源，这三家煤炭开采企业，谁的成长能力最强？,Ofweek
51,2021-12-08,中煤能源1898｜11月商品煤销量按年跌17% | 头条金融网 盈利能力下降,头条日报
52,2021-12-07,【行情】煤炭板块拉升反弹，华阳股份涨停，平煤股份、电投能源、山西焦煤、中煤能源、开滦股份等涨幅居前,金十数据
53,2021-12-06,部分煤炭股逆市上扬 中煤能源(01898)涨2.91%,和讯
54,2021-12-06,【行情】煤炭股持续走高，晋控煤业涨超8%，电投能源、中煤能源、兰花科创、新集能源跟涨,金十数据
55,2021-12-06,中信证券：2022年或是煤价向中期均衡价格回归的一年,Wind
56,2021-12-06,中信证券：预计煤炭企业主流龙头上市公司Q4业绩环比或有15～20%的改善,e公司
57,2021-12-06,2022年煤炭中长期合同签订履约工作方案解读：基准价提升超市场预期 高比例长协动力煤企业首先受益,新浪
58,2021-12-06,煤炭开采行业2022年投资策略：煤价或高位波动 业绩稳健性增强提升估值,广发证券
59,2021-12-05,煤炭行业周观点：现货市场短暂波动 长协机制或强化板块行情,新浪
60,2021-12-04,A股市场领涨全球，监管同意开展账户管理功能优化试点工作,Wind
61,2021-12-03,A股市场领涨全球，北上资金已开始“按捺不住”？,Wind
62,2021-12-03,A股收盘综述：沪指大涨一举拿下3600点！绿色电力概念掀涨停潮,Wind
63,2021-12-03,恒指转涨，早盘一度跌1.4%,Wind
64,2021-12-03,【异动股】中煤能源(01898.HK)涨7.64%,财华社
65,2021-12-03,港股异动 | 中煤能源(01898)涨超7%领涨煤炭股 发改委就明年煤炭长协签订征求意见 下水煤基准价或上调约31%,智通财经
66,2021-12-03,解盘：人气持续回暖，电力、存储器、白酒、半导体领涨,Wind
67,2021-12-01,中煤能源：根据CCTD中国煤炭市场网的数据，12月份5500大卡下水煤年度长协价格为725元/吨,每日经济新闻
68,2021-12-01,部分煤炭股走强 中煤能源(01898)涨6.12%,和讯
69,2021-12-01,港股煤炭股持续走高 中煤能源(01898.HK)涨5.87%,钢企网
70,2021-12-01,港股异动 | 中煤能源(01898)涨超6%领涨煤炭股 机构称煤价探底后板块将迎估值提升,智通财经
71,2021-12-01,煤炭与消费用燃料深度报告：国内保供如火如荼 海外煤价可否独善其身？,新浪
72,2021-11-29,国泰君安：煤炭板块进入价值区间，资源优质企业具备长期价值,Wind
73,2021-11-25,【异动股】中煤能源(01898.HK)跌3.17%,财华社
74,2021-11-24,华泰证券：维持中煤能源(01898)“买入”评级 目标价降24.7%至6.4港元,智通财经
75,2021-11-23,【行情】港股煤炭股走高，兖州煤业股份(01171.HK)涨7.23%，中煤能源(01898.HK)涨3.42%，中国神华(01088.HK)涨近2%,金十数据
76,2021-11-21,煤炭开采行业周报：保供稳价取得阶段性成效 动煤企稳 双焦弱势运行,新浪
77,2021-11-18,【动力煤】日报-2021-11-17 长协价格不变推动动力煤价格高位震荡整理,英大期货
78,2021-11-17,中煤能源：目前所属中煤平朔集团的露天煤矿已获批准将产能由2000万吨/年核增至2500万吨/年,每日经济新闻
79,2021-11-17,中煤平朔集团东露天煤矿产能核增至2500万吨/年已获批,中国煤炭工业协会
80,2021-11-15,中煤能源(01898.HK)前10个月商品煤销量增14.3%至约2.47亿吨,财华社
81,2021-11-15,煤炭行业周报：煤价下调幅度放缓 关注旺季需求释放,新浪
82,2021-11-13,Wind风控日报2021年11月13日星期六,Wind
83,2021-11-13,上市公司正负面新闻2021年11月13日星期六,Wind
84,2021-11-13,MSCI“购物车”再添多只科创板股票，今年超三千亿北向资金流入A股,Wind
85,2021-11-12,晚间重要公告2021年11月12日星期五,Wind
86,2021-11-12,【港股通】中煤能源(01898)10月商品煤产量943万吨 同比减少2.6%,和讯
87,2021-11-12,中煤能源前10月累计商品煤销量2.47亿吨 同比增长14.3%,新浪
88,2021-11-12,中煤能源(601898.SH)10月商品煤产销量分别同比降2.6%及3% 盈利能力下降,智通财经
89,2021-11-12,中煤能源(01898.HK)10月商品煤销量2528万吨 同比下降3% 盈利能力下降,格隆汇
90,2021-11-12,中煤能源(601898.SH)10月商品煤销量2528万吨 同比下降3.0% 盈利能力下降,格隆汇
91,2021-11-12,【异动股】中煤能源(01898.HK)跌3.15%,财华社
92,2021-11-12,瑞信：大幅调低中煤能源(1898.HK)目标价至3.5港元 评级降至跑输大市,格隆汇
93,2021-11-12,【券商聚焦】瑞信狠削中煤能源(01898)目标价50% 料煤价下滑拖累盈利表现 机构下调估值,和讯
94,2021-11-12,*瑞信狠削中煤能源(01898)目标价50%至3.5港元 降至“跑输大市”评级 机构下调估值,和讯
95,2021-11-12,每日理财观察: MSCI公布半年度指数评审结果,Wind
96,2021-11-12,刚刚，50只个股新纳入MSCI中国指数！,Wind
97,2021-11-12,MSCI公布最新调整结果，北上动向将发生变化！,Wind
98,2021-11-12,MSCI中国全股票指数新纳入68个成分股，剔除52个成分股,Wind
99,2021-11-11,中泰周期·大宗指南：周期品周度运行变化,新浪
100,2021-11-10,中煤能源：1-9月，公司尿素产量153.2万吨，销量170.0万吨,每日经济新闻
101,2021-11-10,解盘：大盘继续调整，网游、摄像头、半导体封测、虚拟现实略涨,Wind
102,2021-11-06,高煤价下的煤电博弈：业绩“冰火两重天”何解,Wind
103,2021-11-05,煤炭动态点评：供应紧张或持续 聚焦后续政策,新浪
104,2021-11-05,恒指低开低走收跌1.41%，能源、地产等板块低迷,Wind
105,2021-11-05,港股异动 | 中煤能源(01898)跌超6%领跌煤炭股 保供限价政策加码 动力煤供需偏紧暂告一段落,智通财经
106,2021-11-05,【异动股】中煤能源(01898.HK)跌5.73%,财华社
107,2021-11-03,煤炭行业2021年三季度业绩及基金持仓综述：市场煤公司业绩大增 陕煤、兰花等受基金进一步增持,新浪
108,2021-11-01,中煤能源：1-9月5500大卡下水煤年度长协均价为616元/吨，同比增加76元/吨，上涨14.1%,每日经济新闻
109,2021-11-01,煤炭板块午后继续扩大升幅，华阳股份涨停,Wind
110,2021-10-30,煤炭“晴雨表”转好：秦皇岛港动力煤价高位跳水,Wind
111,2021-10-30,周期股三季报“惊艳”，高景气驱动业绩爆发,Wind
112,2021-10-29,【异动股】中煤能源(01898.HK)跌3.32%,财华社
113,2021-10-29,【行情】港股煤炭股短线下挫，首钢资源跌2%，中煤能源跌1.8%，兖州煤业跌1.7%，中国神华跌0.3%,金十数据
114,2021-10-29,港股盘前必读：李宁折价配股融资超百亿港元股价跌逾8%,Wind
115,2021-10-29,中煤能源2021年三季报点评：盈利环比提升，现金优势初显【国君煤炭翟堃】,煤市乾坤
116,2021-10-28,中煤能源前三财季净利润同比增长185.38%,资本邦
117,2021-10-28,安信证券维持中煤能源买入评级：业绩同比大增，资源储备或将进一步增加，目标价12.40元,每日经济新闻
118,2021-10-28,恒指收跌0.28%，有色、煤炭股延续跌势,Wind
119,2021-10-28,持续创新，为智能化矿山贡献力量,中国煤炭报
120,2021-10-28,安信证券：维持中煤能源(601898.SH)“买入”评级 目标价12.4元,智通财经
121,2021-10-28,恒指午盘跌0.08%，有色、能源股领跌,Wind
122,2021-10-28,煤炭股全线受挫 中煤能源(01898)跌8.07%,和讯
123,2021-10-28,【异动股】中煤能源(01898.HK)跌10.04%,财华社
124,2021-10-28,快讯：煤炭股走低 中煤能源跌近7%兖州煤业跌近6%,新浪
125,2021-10-28,上证指数低开0.38%，创业板指跌0.21%,Wind
126,2021-10-28,港股盘前必读：中国平安前三季度净利润816.38亿元同比下降20.8%,Wind
127,2021-10-27,格隆汇港股聚焦(10.27)︱中集集团前三季度净利同比暴增1161.42%；澳优获伊利股份溢价约13.67%提收购要约,格隆汇
128,2021-10-27,【港股通】中煤能源(01898)附属平朔集团拟14.09亿元收购平朔工业集团100%股权,和讯
129,2021-10-27,中煤能源(601898.SH)：第三季度净利增131.5%至42.7亿元,格隆汇
130,2021-10-27,中煤能源(01898.HK)拟14.1亿元收购平朔工业集团100%股权,格隆汇
131,2021-10-27,中煤能源：平朔集团将收购由中煤集团持有的平朔工业集团100%股权,Wind
132,2021-10-27,中煤能源(01898.HK)：聘任姜群为董事会秘书及公司秘书,格隆汇
133,2021-10-27,中煤能源：董事会秘书辞职及聘任新董事会秘书,Wind
134,2021-10-27,中煤能源：第三季度净利同比增长132% 商品煤价格大涨,财联社
135,2021-10-27,中煤能源：董事会审议通过《关于调整公司2021-2023年部分持续性关联交易年度上限的议案》,Wind
136,2021-10-27,中煤能源：第三季度净利同比增131.5% 因商品煤价格大涨,e公司
137,2021-10-27,中煤能源：中国中煤能源股份有限公司关于董事会秘书辞职及聘任新董事会秘书的公告 董监高成员变化,新浪
138,2021-10-27,图解中煤能源三季报：第三季度单季净利润同比增131.45%,证券之星
139,2021-10-27,中煤能源：所属子公司收购资产暨关联交易,每日经济新闻
140,2021-10-27,中煤能源(01898.HK)委任姜群为公司秘书,格隆汇
141,2021-10-27,中煤能源：义宝厚辞去董事会秘书和公司秘书职务 董监高成员变化,每日经济新闻
142,2021-10-27,中煤能源：收购西沙河煤业所属西沙河煤矿产能,Wind
143,2021-10-27,中煤能源：前三季度净利润同比增长185.38%,Wind
144,2021-10-27,中煤能源：前三季度净利润118.56亿元，同比增长185.4%,Wind
145,2021-10-27,中煤能源：董秘义宝厚辞职 董监高成员变化,Wind
146,2021-10-27,中煤能源1898｜首三季纯利118.6亿人币 增1.85倍 | 头条金融网,头条日报
147,2021-10-27,煤炭股再度走低 中煤能源(01898)跌逾4%,和讯
148,2021-10-27,【异动股】中煤能源(01898.HK)跌4.75%,财华社
149,2021-10-26,傅鹏博、赵诣、冯明远、林英睿、赵枫持仓思路各有不同,Wind
150,2021-10-26,【异动股】中煤能源(01898.HK)跌3.33%,财华社
151,2021-10-26,明星基金集体发力，刘格菘、傅鹏博、梁跃军动向曝光,Wind
152,2021-10-26,新能源板块齐发力，多位明星基金经理再加仓,Wind
153,2021-10-26,煤企和电企三季报业绩现“冰火两重天”,Wind
154,2021-10-25,科达自控：公司客户涵盖国投能源、中煤能源、晋能控股等大型煤炭企业,全景网
155,2021-10-23,350多个“李鬼”被揪出，央企掀起新一轮打假潮！（附名单）,Wind
156,2021-10-22,【异动股】中煤能源(01898.HK)跌3.07%,财华社
157,2021-10-21,中煤能源：中国中煤能源股份有限公司关于非执行董事辞职的公告,新浪
158,2021-10-21,中煤能源(601898.SH)：都基安辞任非执行董事职务,智通财经
159,2021-10-21,中煤能源：非执行董事都基安辞职 董监高成员变化,Wind
160,2021-10-21,港股异动 | 煤炭股有所回暖 兖州煤业股份(01171)、中煤能源(01898)均涨超4%,智通财经
161,2021-10-21,【异动股】中煤能源(01898.HK)涨3.27%,财华社
162,2021-10-21,A股早报2021年10月21日星期四,Wind
163,2021-10-21,每日理财观察：2021金融街论坛释放政策信号,Wind
164,2021-10-21,席位追踪：机构忍痛割肉中煤能源 华能国际反弹引游资抢筹,财富动力网
165,2021-10-20,每日点评第150期：两市震荡收跌 煤炭板块大幅下挫,新浪
166,2021-10-20,龙虎榜机构新动向：净买入14股 净卖出17股,证券时报网
167,2021-10-20,财华聚焦|“煤”“电”走势背离，火电股能否浴火重生？,财华社
168,2021-10-20,跌停板解密：煤炭板块重挫，13只个股遭资金抛售！（10月20日）,Wind
169,2021-10-20,一则通知引爆电力板块，多股涨停，机构和北向资金共同抢筹这些股（名单）,21世纪经济报道
170,2021-10-20,中煤能源跌停 安信证券一周前喊买入目标价12.4元,中国经济网
171,2021-10-20,机构今日买入这16股，抛售中煤能源1.42亿元丨龙虎榜,第一财经
172,2021-10-20,龙虎榜|中煤能源跌停 两机构合计卖出1.9亿元,财联社
173,2021-10-20,煤炭股大面积杀跌，两机构卖出中煤能源1.89亿元,Wind
174,2021-10-20,A股收盘综述：“煤超风”迎来强监管、兖煤等跌停，电力股逆市大面积涨停,Wind
175,2021-10-20,监管文件集结，商品市场一夜变天，煤炭及煤化工期货全线跌停,第一财经
176,2021-10-20,A股午盘综述：电力、锂、汽车板块携手护盘，限价引发煤炭板块大调整,Wind
177,2021-10-20,【异动股】中煤能源(01898.HK)跌6.15%,财华社
178,2021-10-20,【异动股】煤化工板块拉升，中煤能源(601898.CN)跌10.04%,财华社
179,2021-10-20,快讯：中煤能源跌停 报于8.15元,金融界
180,2021-10-20,快讯：港股煤炭股普跌 中煤能源跌8%领跌,新浪
181,2021-10-20,上证指数低开0.28%，创业板指涨0.22%,Wind
182,2021-10-20,【动力煤】日报-2021-10-19-“增产缓慢与需求稳增涨”动力煤连续冲击涨停,英大期货
183,2021-10-19,中煤能源：9月聚烯烃产量12.4万吨 销量13.4万吨,煤炭网
184,2021-10-19,【特约大V】邓声兴：新经济股带领下港股向好 可望反复挑战26000,凤凰网
185,2021-10-19,【异动股】中煤能源(01898.HK)涨3.02%,财华社
186,2021-10-19,国泰君安晨报,新浪
187,2021-10-19,每日理财观察：首批MSCI中国A50互联互通ETF获批,Wind
188,2021-10-18,中煤能源：公司各煤矿生产经营一切正常,第一财经
189,2021-10-18,中煤能源：今年1-9月，公司累计完成商品煤产量8298万吨,每日经济新闻
190,2021-10-18,金融街下午茶2021年10月18日星期一,Wind
191,2021-10-18,A股收盘综述：动力煤期货逼空行情再度激发煤炭板块，白酒板块重摔,Wind
192,2021-10-18,中泰周期·大宗指南：周期品周度运行变化,新浪
193,2021-10-18,【异动股】中煤能源(01898.HK)涨3.36%,财华社
194,2021-10-18,中煤能源9月份商品煤产量降17% 销量降10.4% 盈利能力下降,中国煤炭工业协会
195,2021-10-18,中煤能源：公司没有接收到在四季度和22年一季度停产停工相关通知 经营问题,每日经济新闻
196,2021-10-18,煤炭开采行业周报：供运需三旺 累库不及预期 煤价强势难改,新浪
197,2021-10-18,煤炭开采周报：简单探讨煤炭期货与股票的背离,新浪
198,2021-10-18,每日理财观察：央行和银保监会发布系统重要性银行名单,Wind
199,2021-10-18,中煤能源：公司目前并未开展、也未计划开展期货业务,每日经济新闻
200,2021-10-18,港股盘前必读：MSCI中国A50互联互通（美元）指数期货今日正式开始交易,Wind
201,2021-10-15,【安信能源 周泰团队】乌海发文要求全市露天开采企业采暖期夜间禁采,泰度煤炭
202,2021-10-15,中煤能源(01898)9月商品煤产量839万吨 同比减少17%,智通财经
203,2021-10-15,中煤能源(01898.HK)1-9月商品煤销量2.22亿吨 同比增长16.6%,格隆汇
204,2021-10-15,中煤能源(01898.HK)：9月煤炭销量2446万吨，同比下降10.4% 盈利能力下降,金十数据
205,2021-10-15,绝代双焦+涨不停的动力煤，机构喊话煤炭板块长期逻辑已切换、估值将修复,Wind
206,2021-10-15,中煤能源：9月商品煤销量2446万吨 同比减少10.4% 盈利能力下降,财联社
207,2021-10-15,中煤能源：9月份煤炭销量2446万吨，同比下降10.4% 盈利能力下降,Wind
208,2021-10-15,预喜股迎涨停潮，谁是下周业绩增长王？,Wind
209,2021-10-15,恒指收涨1.48%，教育、有色股表现强势,Wind
210,2021-10-15,【行情】港股煤炭股跌幅居前，中煤能源(01898.HK)跌14.86%，兖州煤业(01171.HK)跌6.45%，中国神华(01088.HK)跌3.38%，易大宗(01733.HK)涨跌2.25%,金十数据
211,2021-10-15,【异动股】中煤能源(01898.HK)跌10.38%,财华社
212,2021-10-15,港股异动 | 中煤能源(01898)早盘低开逾10% 前三季纯利同比预增1.89倍至2.2倍 大摩称盈利逊预期 盈利能力下降,智通财经
213,2021-10-15,57股获券商买入评级，正邦科技目标涨幅达133.99%,Wind
214,2021-10-14,中煤能源跌3.05% 安信证券前天刚喊买入目标价12.4元,中国经济网
215,2021-10-14,每日报告回放,新浪
216,2021-10-14,A股市场破净股一览（10月14日）,Wind
217,2021-10-14,煤炭板块扩大跌幅，兖州煤业、中煤能源均跌超5%,Wind
218,2021-10-14,每日理财观察：公募基金参与北交所投资蓄势待发,Wind
219,2021-10-14,56股今日获机构买入评级 12股上涨空间超20%,证券时报
220,2021-10-13,跌停板解密：资金高位出逃，两大类个股封上跌停！（10月13日）,Wind
221,2021-10-13,A股收盘综述：动力电池、汽车、白酒、光伏板块率先复苏，资金涌入低位价值股,Wind
222,2021-10-13,中煤能源(601898)：业绩环比微增 看好Q4业绩,新浪
223,2021-10-13,大摩：予中煤能源(1898.HK)减持评级 目标价4.01港元,证券之星
224,2021-10-13,黑色系闪崩，能源股批量跌停！汽车股突然大涨,Wind
225,2021-10-13,茅台大涨3%，新能车、半导体又火了！千亿巨头狂飙,Wind
226,2021-10-13,煤电不香改“喝酒”？一板块多股“20cm”涨停,Wind
227,2021-10-13,中煤能源：预计前三季度股东应占利润同比增189.8%到220.3%,资本邦
228,2021-10-13,A股午盘综述：汽车、白酒、教育、光伏复苏，期货剧烈震荡引发煤炭股一度批量跌停,Wind
229,2021-10-13,快讯：中煤能源跌停 报于8.19元,金融界
230,2021-10-13,中煤能源封住跌停，平煤股份、露天煤业、兖州煤业接近跌停,Wind
231,2021-10-13,煤炭板块跌势不止，恒源煤电、上海能源、昊华能源、靖远煤电跌停,Wind
232,2021-10-13,中煤能源下跌7.47% 前三季净利润增长171.00%-199.40%,证券时报网
233,2021-10-13,安信证券：维持中煤能源(601898.SH)“买入”评级 目标价12.4元,智通财经
234,2021-10-13,中煤能源：前三季度净利润同比预增171%-199.4%,北极星电力
235,2021-10-13,每日理财观察：IMF下调全球经济增长预期,Wind
236,2021-10-13,港股盘前必读：重阳节假期将至港股10月14日（星期四）休市一日,Wind
237,2021-10-13,上市公司正负面新闻2021年10月13日星期三,Wind
238,2021-10-13,中国中煤能源股份有限公司 2021年前三季度业绩预告,证券时报
239,2021-10-12,格隆汇港股聚焦(10.12)︱中煤能源前三季度净利预增189.8%-220.3%；中国平安前三季度原保费收入达5913.40亿元,格隆汇
240,2021-10-12,中煤能源前三季净利润预增171%-199.4%,上证报
241,2021-10-12,金融街下午茶2021年10月12日星期二,Wind
242,2021-10-12,中煤能源预期前三季股东应占利润大增189.8%-220.3%,新浪
243,2021-10-12,中煤能源(01898.HK)10月27日董事会审议及批准前三季度业绩,格隆汇
244,2021-10-12,中煤能源：10月27日举行董事会会议，审议三季度业绩,Wind
245,2021-10-12,中煤能源：将于10月27日（星期三）举行董事会会议,Wind
246,2021-10-12,中煤能源(01898.HK)预期前三季归母净利同比增长189.8%-220.3%,格隆汇
247,2021-10-12,前瞻！中煤能源：预计2021年前三季度净利润为112.6亿元至124.4亿元,每日经济新闻
248,2021-10-12,中煤能源：前三季度预计净利润同比增长171.0%~199.4%,Wind
249,2021-10-12,中煤能源(601898.SH)：前三季度净利预增171.0%-199.4%,格隆汇
250,2021-10-12,中煤能源：公司煤化工产品用煤主要来源于所属各企业自产煤，也有部分对外采购,每日经济新闻
251,2021-10-12,中煤能源：预计前三季度净利润同比增长171%-199.4%,Wind
252,2021-10-12,【异动股】中煤能源(01898.HK)涨3.69%,财华社
253,2021-10-12,港股异动 | 煤炭股早盘继续走高 中煤能源(01898)、兖州煤业股份(01171)均涨超6%,智通财经
254,2021-10-12,【行情】煤炭概念异动拉升，上海能源涨超8%，山煤国际、兖州煤业、粤宏远A、中煤能源跟涨,金十数据
255,2021-10-12,中煤能源(601898)：煤炭量价齐升 业绩弹性释放,新浪
256,2021-10-11,港股煤炭股走强，兖煤澳大利亚涨超14%,Wind
257,2021-10-11,【异动股】中煤能源(01898.HK)涨3.92%,财华社
258,2021-10-11,每日理财观察：投资者踊跃申请开通北交所交易权限,Wind
259,2021-10-11,港股盘前必读：部分基金经理欲修改产品投资范围增加港股通投资标的,Wind
260,2021-10-08,港股异动 | 中煤能源(01898)跌超12%领跌煤炭股 煤矿产能核增确有其事 增产部分可申请转为永久产能,智通财经
261,2021-10-08,翻倍牛股闪崩跌停！白酒股强势归来，华夏幸福涨停,Wind
262,2021-10-08,煤炭行业周思考：保供或降低冶金煤生产 保供煤定价机制以月度长协为主,新浪
263,2021-10-08,港股异动 | 网传内蒙古要求加快释放部门煤矿产能 中煤能源(01898)、兖州煤业(01171)均跌超8%,智通财经
264,2021-10-08,【异动股】中煤能源(01898.HK)跌10.4%,财华社
265,2021-10-08,内蒙古能源局文件刷屏 中煤能源跌超8%中国电力跌超7%,新浪
266,2021-10-07,外资巨头增持中国平安近6300万股，一批“中”字头H股亮眼,Wind
267,2021-10-07,国泰君安：全球能源紧缺加剧，煤炭强基本面维持,证券之星
268,2021-10-07,【异动股】中煤能源(01898.HK)涨3.68%,财华社
269,2021-10-05,“三桶油”嗨了，机构看好原油价格突破每桶100美元,Wind
270,2021-10-05,恒指触底反弹收涨0.28%，复星医药大涨13%,Wind
271,2021-10-05,煤炭股集体上涨 中煤能源(1898.HK)涨超5%,格隆汇
272,2021-10-05,【异动股】中煤能源(01898.HK)涨5.59%,财华社
273,2021-10-04,煤炭行业：紧供给格局延续 煤价上涨趋势不减,新浪
274,2021-10-04,【恒指半日跌超2%】截至午盘，恒生指数午盘跌2.25%，国企指数跌2.43%，红筹指数跌1.52%。盘面上，医药、电力、燃气股跌幅居前，康希诺生物跌近25%；地产、煤炭逆市走强，中煤能源涨超3%。(中新经纬APP),中新经纬
275,2021-10-04,恒指午盘跌2.25%，医药股领跌,Wind
276,2021-09-30,【异动股】中煤能源(01898.HK)涨3.68%,财华社
277,2021-09-30,煤炭板块冲高后急速回落转跌，中国神华、中煤能源、山西焦煤纷纷下滑,Wind
278,2021-09-29,【异动股】中煤能源(01898.HK)跌5.36%,财华社
279,2021-09-29,煤炭：如何看待限电限产下的煤炭走向,新浪
280,2021-09-29,煤炭板块强势拉升，平煤股份2连板,Wind
281,2021-09-28,香港恒生指数收涨1.20%，恒生科技指数涨2.09%，阿里巴巴涨超6%。地产股集体走强，融创中国涨近15%，万科企业涨近7%，中国恒大涨近5%。煤炭股、石油股涨幅居前，兖州煤业股份涨超15%，中煤能源,财联社
282,2021-09-28,【异动股】中煤能源(01898.HK)涨6.51%,财华社
283,2021-09-28,煤炭股集体走高 兖州煤业股份涨超12%中煤能源涨超7%,新浪
284,2021-09-28,A股午盘综述：地产、金融、电、煤助力两市缩量企稳，万科A涨超9%,Wind
285,2021-09-28,煤炭板块回暖，动力煤期货再创新高,Wind
286,2021-09-28,【行情】A股煤炭概念开盘拉升，平煤股份涨超6%，广汇能源、辽宁能源、中煤能源跟涨,金十数据
287,2021-09-27,煤炭开采行业周报：增产难、库存低 煤价仍是易涨难跌,新浪
288,2021-09-27,【异动股】中煤能源(01898.HK)跌3.14%,财华社
289,2021-09-26,煤炭行业周思考：大秦线即将检修 煤炭保供依然时间紧任务重,新浪
