,2021-12-21,华峰化学：目前公司聚氨酯原液产销平衡,Wind
94,2021-09-06,化工行业周报：万华拟建40万吨POCHP项目 玲珑新零售2.0上线,国海证券
95,2021-09-03,华峰化学(002064)中报点评：氨纶价格大涨 推动业绩高增,新浪
96,2021-09-02,华峰化学(002064)：非公开发行股票申请文件反馈意见回,生意社
97,2021-09-01,西部证券给予华峰化学买入评级：氨纶价格大涨，推动业绩高增,每日经济新闻
98,2021-09-01,德邦证券维持华峰化学买入评级：氨纶景气上行，单季度业绩持续攀升,每日经济新闻
99,2021-09-01,A股早报2021年9月1日星期三,Wind
100,2021-09-01,华峰化学(002064)：全资子公司获得土地使用权暨对外投,证券时报网
101,2021-08-31,晚间重要公告2021年8月31日星期二,Wind
102,2021-08-31,华峰化学：控股子公司氨纶项目二期进入调试阶段,格隆汇
103,2021-08-31,【华峰化学 | 2021年中报点评：氨纶景气度持续提升，单季业绩再创新高】-国信证券,化工林谈
104,2021-08-31,华峰化学今日大宗交易成交30万股，成交价13.96元溢价0.5%,Wind
105,2021-08-31,国信证券维持华峰化学买入评级，2021年中报点评：氨纶景气度持续提升，单季度业绩再创新高,每日经济新闻
106,2021-08-31,开源证券维持华峰化学买入评级，公司信息更新报告：氨纶龙头业绩超预期，看好未来氨纶需求增速超预期,每日经济新闻
107,2021-08-30,华峰化学2021年上半年实现净利润38.51亿元，同比大幅增长479.27%,经济观察网
108,2021-08-30,华峰化学(002064)：半年度净利润38.51亿元 同比增长47,格隆汇
109,2021-08-27,华峰化学：2021年半年度净利润约38.51亿元，同比增加479.01%,每日经济新闻
110,2021-08-27,华峰化学半年报：上半年净利润38.51亿元 同比增长479%,财联社
111,2021-08-27,华峰化学：上半年净利润同比增长479.01%,Wind
112,2021-08-26,化工行业周报：有机硅价格持续上行 看好行业景气延续,新浪
113,2021-08-26,华峰化学：半年度报告披露日为2021年8月28日,每日经济新闻
114,2021-08-25,华峰化学今日大宗交易成交48万股，成交价12.73元溢价3.83%,Wind
115,2021-08-24,化工行业：需求拉动下 电解液溶剂、工业硅价格强势,新浪
116,2021-08-21,【PVDF、有机硅宽幅上涨，继续看多EVA、三氯氢硅景气周期】-国信化工周观点,化工林谈
117,2021-08-19,开源证券：中国化纤迎来历史性拐点,证券之星
118,2021-08-19,中国化纤迎来历史性拐点 | 开源证券化工,开源证券研究所
119,2021-08-16,化工行业周报：新能源风起 化工龙头加速布局,新浪
120,2021-08-16,基础化工行业周报：金属硅突破1.7万 双碱景气度继续上行,新浪
121,2021-08-15,【开源化工】化工周报：关注化工企业电新布局，龙头有望迎来全面重估,新浪
122,2021-08-14,【PVDF、制冷剂大涨，看多纯碱、EVA、三氯氢硅长周期】-国信化工周观点,化工林谈
123,2021-08-13,涨价纷至沓来，业绩释放、股价爆发？,Wind
124,2021-08-12,深度*行业*化纤行业点评：服装出口持续好转 看好旺季化纤行情,新浪
125,2021-08-11,化工行业周报：DMC及电解液溶剂、纯碱、DMF、BDO、磷矿石、草铵膦等价格持续上涨 六氟磷酸锂、PO、双酚A、氯化钾、橡胶助剂等涨价,新浪
126,2021-08-09,华峰化学50亿定增获证监会反馈：关联金额占比较高，第一大客户为控股股东,和讯
127,2021-08-09,基础化工行业周报：金属硅价格突破1.6万 化肥涨价趋势不改,新浪
128,2021-08-08,“炼化-化纤”产业链周报：海利得业绩考核高目标 彰显公司发展信心十足,新浪
129,2021-08-07,【DMC、EVA宽幅上涨，纯碱、氨纶价格持续上涨】-国信化工周观点,化工林谈
130,2021-08-04,行情十分火热 价格连续上涨 多家氨纶上市公司上半年业绩抢眼,中国纺织报
131,2021-08-02,化工：草铵膦价格涨势不减 PTA价差持续扩大,新浪
132,2021-08-02,基础化工行业周报：7月PMI公布 万华上调8月MDI挂牌价 两碱、辛醇、BDO、磷产业链等继续走高 DMC、草铵膦、醋酸产业链、DMF等涨价,新浪
133,2021-08-02,华峰化学(002064)：子公司获得土地使用权暨对外投资进,证券时报网
134,2021-08-01,晚间重要公告2021年8月1日星期日,Wind
135,2021-08-01,华峰化学：子公司已成功竞得相关土地使用权,Wind
136,2021-07-27,上海证券化工行业周报：原油先跌后涨 继续关注优质赛道龙头,新浪
137,2021-07-27,化工行业周观点：PTA市场价格先抑后扬 黄磷价格高位盘整,新浪
138,2021-07-25,化工行业周报：硝酸“有价无市” PTV价差由跌转涨,新浪
139,2021-07-24,氨纶供不应求价格翻倍 化纤上市公司业绩飙涨,新浪
140,2021-07-22,恒力石化触及涨停提振化纤板块，荣盛石化、东方盛虹、华峰化学、恒逸石化跟涨,Wind
141,2021-07-21,华峰化学(002064.SZ)非公开发行股票申请获证监会受理,智通财经
142,2021-07-21,7月涨幅最大行业花落谁家？板块中个股业绩、债务2张图看清！,Wind
143,2021-07-21,化工行业周报：纯碱价格持续上行 看好纯碱高景气延续,新浪
144,2021-07-20,【异动股】化纤行业板块下挫，华峰化学(002064.CN)跌5.65%,财华社
145,2021-07-20,“炼化-化纤”产业链周报：东方盛虹投资超仿真功能性纤维 丰富高端纤维产品结构,新浪
146,2021-07-20,【异动股】化纤行业板块下挫，华峰化学(002064.CN)跌6.47%,财华社
147,2021-07-19,石油化工新材料行业北上资金周报,新浪
148,2021-07-18,华峰化学：本次30亿投资中心的具体研究项目为华峰化学的研发总部项目，实施主体为公司全资子公司,每日经济新闻
149,2021-07-17,氨纶行业研究报告：需求拉动氨纶进入长景气周期,新浪
150,2021-07-16,【氨纶行业 | 专题系列之二：需求拉动氨纶进入长景气周期】-国信证券,化工林谈
151,2021-07-15,基础化工周报：布油价格持平 三氯氢硅、氯化钾、草甘膦、纯碱等产品价格上涨,新浪
152,2021-07-14,公司的非公开发行推进到哪一步了?定增材料是否已递交证监会?华峰化学：相关工作正在积,每日经济新闻
153,2021-07-13,每日信息速递,新浪
154,2021-07-13,华峰化学：目前公司在土耳其、印度、荷兰、韩国、巴基斯坦设有子公司,每日经济新闻
155,2021-07-12,华峰化学：公司并无PBAT产品,每日经济新闻
156,2021-07-12,西南证券：华峰化学(002064.SZ)上半年业绩弹性显着释放 氨纶高景气度年内有望延续,智通财经
157,2021-07-12,西南证券：给予华峰化学买入评级,证券之星
158,2021-07-12,基础化工行业周报：MDI、氯化钾、己二酸、丁辛醇、PO价格继续上涨 DMF、DMC、电解液、草铵膦、磷矿石涨价,新浪
159,2021-07-12,西南证券维持华峰化学买入评级：氨纶持续景气，建设研发总部带来成长新动力,每日经济新闻
160,2021-07-12,华峰化学(002064)2021年半年度业绩预告点评：氨纶价格及价差创十年新高 上半年业绩同比大幅增长,光大证券
161,2021-07-12,龙头大厂把赚来的钱又投了进去！短期供应紧张依然难避免，氨纶价格或在第三季度再创新高！,全球纺织网
162,2021-07-12,光大证券：华峰化学(002064.SZ)氨纶价格及价差创十年新高，维持“买入”评级,智通财经
163,2021-07-12,【华峰化学（002064.SZ）】氨纶价格及价差创十年新高，上半年业绩同比大幅增长——21年半年度业绩预告点评（赵乃迪/吴裕）,光大证券
164,2021-07-12,上市公司正负面新闻2021年7月12日星期一,Wind
165,2021-07-11,【华峰化学 | 2021年上半年业绩预增报告点评：单季业绩再创新高，看好氨纶景气度持续提升】-国信证券,化工林谈
166,2021-07-11,【开源化工】华峰化学业绩预告点评：业绩超预期，拟建研发总部迈出奔向科技巨头第一步,新浪
167,2021-07-10,上市公司正负面新闻2021年7月10日星期六,Wind
168,2021-07-09,晚间重要公告2021年7月9日星期五,Wind
169,2021-07-09,华峰化学：上半年预计净利润同比增长441.31%~486.42%,Wind
170,2021-07-09,华峰化学(002064.SZ)拟投资30亿元在上海闵行建设研发总部,智通财经
171,2021-07-09,华峰化学：上半年净利预增441%至486%,财联社
172,2021-07-09,华峰化学(002064.SZ)预计上半年盈利36亿-39亿元 同比增长441%-486%,智通财经
173,2021-07-09,华峰化学(002064.SZ)：上半年净利预增441.31%至486.42%,格隆汇
174,2021-07-07,基础化工行业投资周报：MDI价格止跌 建议关注万华化学,新浪
175,2021-07-06,直播带火国内珍珠销售，OLED笔记本和平板市场增长有望加速丨明日主题前瞻,第一财经
176,2021-07-06,化工行业周报：氨纶库存创近十年新低 行业高景气有望持续,新浪
177,2021-07-06,化工行业：MDI有望触底反弹 成本支撑己二酸走强,新浪
178,2021-07-05,石油化工新材料行业北上资金周报,新浪
179,2021-07-05,化工行业周报：把握中报高增长标的 中长期继续看好优质成长,新浪
180,2021-07-04,化工行业周报：化纤、纯碱继续向好 旺季化工景气可期,新浪
181,2021-07-03,【化工行业 | 7月投资策略：持续看好氨纶、草甘膦的高景气度】-国信证券,化工林谈
182,2021-07-02,华峰化学：公司氨纶与己二酸目前产能释放比较充分，产能利用率高，新建项目也在积极推进中,每日经济新闻
183,2021-07-01,开源证券：6月金股组合盈利15.76% 7月荐股名单出炉,新浪
184,2021-06-30,开源金股，7月推荐,开源证券研究所
185,2021-06-30,开源晨会0630丨7月金股推荐；宁德时代、金辰股份,开源证券研究所
186,2021-06-28,这一领域未来5年需求量或增逾30倍！多家上市公司杀入,Wind
187,2021-06-27,华峰化学：本次非公开募集资金总额不超过50亿元，扣除发行费用后的募集资金净额拟全部投向年产30万吨差别化氨纶扩建项目和115万吨/年己二酸扩建项目（六期）。,每日经济新闻
188,2021-06-27,【开源化工】新材料周报：尼龙新材料系列（一）国产己二腈产业化在即，国内尼龙66行业将迎加速发展,新浪
189,2021-06-25,半年报前瞻|下游需求火热，氨纶价格“飞上天”，龙头企业中报可期,财联社
190,2021-06-24,国内钾肥市场供应端紧俏，氨纶价格再创新高丨明日主题前瞻,第一财经
191,2021-06-21,突然反转！外资大举减仓超50亿，终止连续9周抢筹！,Wind
192,2021-06-21,化工行业周报：关注二季度高增长标的 中长期继续看好优质成长股,新浪
193,2021-06-21,建议重视中报行情 | 中信建投晨会,中信建投证券研究
194,2021-06-21,磷矿石、电石领涨市场，MDI开启反弹之路,中信建投证券研究
195,2021-06-17,调研记录|华峰化学（002064.SZ）：目前在建氨纶5万吨，己二酸25.5万吨产能,智通财经
196,2021-06-17,华峰化学：固化道床项目尚未有实质性进展,Wind
197,2021-06-15,华峰化学(002064.SZ)2020年度权益分派10派1元 股权登记日为6月21日,格隆汇
198,2021-06-15,华峰化学(002064.SZ)拟每10股派1元 6月22日除权除息,智通财经
199,2021-06-15,华峰化学(002064)：氨纶盈利快速扩张 静待己二酸行业反转,新浪
200,2021-06-15,基础化工行业周报：化肥继续大涨 事件推动DMC再上行,新浪
201,2021-06-15,2021年下半年投资策略：周期景气有望持续 产业变革趋势孕育成长新机遇,新浪
202,2021-06-15,[公司]华峰化学：限塑令的实施将提升己二酸的市场需求,全景网
203,2021-06-15,基础化工行业周报：油价上涨 三聚氰胺、磷酸一铵、有机硅DMC等产品价格上涨,新浪
204,2021-06-11,A股共发生131宗大宗交易成交24.46亿元（6月11日）,Wind
205,2021-06-11,华峰化学现1笔大宗交易 共成交476.04万元,新浪
206,2021-06-11,华峰化学今日大宗交易成交37.22万股，成交价12.79元溢价0.0%,Wind
207,2021-06-11,恒力石化跌超5%再创年内新低，化纤板块承压,Wind
208,2021-06-10,化工行业：聚焦周期景气龙头 看好低估值优质成长,新浪
209,2021-06-09,化纤板块单边上扬，新乡化纤、南京化纤、皖维高新涨停,Wind
210,2021-06-07,牛人重仓｜桐昆股份有何亮点？广发基金孙迪第一大重仓股，北向资金今年大幅加仓！,每日经济新闻
211,2021-06-07,化工周期新征程系列三：化纤布局正当时,新浪
212,2021-06-07,化工行业周报：重点看好资本开支下实现跨越式增长的周期成长股,新浪
213,2021-06-03,开源证券：5月金股组合盈利14.13% 6月荐股名单出炉,新浪
214,2021-06-03,化纤板块跌幅加深，恒力、荣盛、东方盛虹、华峰化学、桐昆集体下挫,Wind
215,2021-06-02,券商判势｜6月关注“聪明钱”青睐板块,搜狐
216,2021-06-02,6月2日晚间重要行业研究汇总(附股),中金在线
217,2021-06-01,中金行业首选：2021年6月,新浪
218,2021-06-01,A股收盘综述：上证指数6月开门红，三胎板块走俏、周期股强力反弹,Wind
219,2021-06-01,化纤板块飙升，恒力石化、荣盛石化、华峰化学、恒逸石化强力反弹,Wind
220,2021-06-01,开源金股，6月推荐,开源证券研究所
221,2021-05-31,化工行业：黄磷-草甘膦继续引领化工涨幅 可降解塑料政策密集发布,新浪
222,2021-05-31,化纤板块扩大跌幅，恒力、荣盛、东方盛虹、华峰化学、恒逸石化集体下行,Wind
223,2021-05-31,全产业链价格价差研究：黄磷、磷酸价格上涨 重点关注细分龙头表现,新浪
224,2021-05-30,华峰化学(002064)深度报告：持续夯实成本护城河 铸就全球聚氨酯制品巨头,新浪
225,2021-05-26,牛人重仓｜机构合计持有4.4亿股，占流通股超两成，这只化纤股备受资金青睐！,每日经济新闻
226,2021-05-26,【银河化工任文坡/林相宜】行业周报丨全产业链价格价差研究：有机硅价格上涨，重点关注龙头企业表现,中国银河证券研究
227,2021-05-25,华峰化学：公司氨纶、己二酸、聚氨酯原液等产品均保持产销平衡,每日经济新闻
228,2021-05-25,基础化工债券&定增双周报：华峰化学拟定增50亿元,新浪
229,2021-05-24,石油石化、基础化工、新材料行业北上资金流向周报,新浪
230,2021-05-24,化工行业周报：看好周期低估值弹性标的及高增长成长股,新浪
231,2021-05-24,化工股大涨，多种化工品价格大涨，顺周期业绩将迎兑现期,第一财经
232,2021-05-24,外资连续6周爆买A股，扫货清单来了！近6000亿巨头火了,Wind
233,2021-05-24,化工行业周报：万华搭建生物降解塑料产业联盟 聚合MDI价差扩大,新浪
234,2021-05-21,华峰化学(002064)：氨纶+己二酸双轮驱动 拟定增助力成长,新浪
235,2021-05-20,化纤板块盘中调整，恒力、荣盛、东方盛虹、华峰化学、桐昆、恒逸普跌,Wind
236,2021-05-19,申港证券--从高景气二级行业出发选股：优化四维度连续景气综合打分系统找出最景气的申万二级行业【投资策略】,金融界股吧
237,2021-05-19,晨会聚焦210519重点关注华测导航、银行理财、汽车汽配、房地产、纺织服装、扬农化工、中兵红箭、华峰化学、中国移动,国信研究
238,2021-05-18,华峰化学(002064)：拟非公开募资投资新项目 助力公司十四五发展,新浪
239,2021-05-18,20股获券商买入评级，春光科技目标涨幅达70.80%,Wind
240,2021-05-17,【天风新材料20210517】华峰化学拟扩建30万吨/年氨纶、115万吨/年己二酸项目,煤炭鑫观点
241,2021-05-17,华峰化学(002064)重大事件快评：拟扩建30万吨氨纶、115万吨己二酸项目 稳固行业领先地位,新浪
242,2021-05-17,化工行业周报：丁辛醇、丙烯酸及酯价格持续上涨 重点关注龙头企业表现,新浪
243,2021-05-17,国信证券：华峰化学(002064.SZ)拟扩建氨纶及己二酸项目，维持“买入”评级,智通财经
244,2021-05-17,A股异动|华峰化学(002064.SZ)跌逾4%拟定增募资不超50亿元,格隆汇
245,2021-05-17,2021Q1化工行业总结：供需格局改善 盈利大幅提升 看好景气持续,新浪
246,2021-05-17,化工周报：万华宁波技改扩产 草甘膦强势领涨农药板块,新浪
247,2021-05-17,开源证券：华峰化学（002064.SZ）拟募资扩建氨纶、己二酸产能，成长加速，维持“买入”评级,智通财经
248,2021-05-17,【华峰化学 | 公司快评：拟扩建30万吨氨纶、115万吨己二酸项目，稳固行业领先地位】-国信证券,化工林谈
249,2021-05-17,【方正化工】华峰化学：己二酸继续扩产，拟募资助力新项目推进,靠谱化工股
250,2021-05-17,华峰化学(002064)：拟定增募集资金不超50亿元,证券时报网
251,2021-05-17,A股早报2021年5月17日星期一,Wind
252,2021-05-16,【开源化工】华峰化学点评报告：拟募资扩建氨纶、己二酸产能，双擎驱动成长不息,新浪
253,2021-05-16,华峰化学(002064)：战略布局 “氨纶己二酸”双龙头更上一层,新浪
254,2021-05-16,化工行业5月策略：从新产能周期再议化工投资机会,新浪
255,2021-05-16,化工行业：化工品价格涨多跌少 Q2北向资金化工股持仓变动分析,广发证券
256,2021-05-15,华峰化学拟定增募资50亿元提升产能,上证报
257,2021-05-14,华峰化学(002064.SZ)拟定增募资不超50亿元 建设“差别化氨纶扩建项目”等,格隆汇
258,2021-05-14,晚间重要公告2021年5月14日星期五,Wind
259,2021-05-14,华峰化学(002064.SZ)拟非公开发行股票募资不超50亿元,智通财经
260,2021-05-14,华峰化学(002064.SZ)拟投资建设115万吨/年己二酸扩建项目(六期),格隆汇
261,2021-05-14,华峰化学拟募资50亿元扩充产能 面临市场竞争加剧风险,每日经济新闻
262,2021-05-14,华峰化学：最近五年公司受处罚或监管及整改情况 其他违规处罚,每日经济新闻
263,2021-05-14,华峰化学：拟非公开增发募资不超过50亿元,每日经济新闻
264,2021-05-14,华峰化学：拟定增募资不超过50亿元,Wind
265,2021-05-13,化纤板块再度杀跌，恒力、荣盛、华峰化学、桐昆股份、恒逸石化集体走弱,Wind
266,2021-05-12,中国策略简评-MSCI中国半年度调整：新增60只、剔除21只,新浪
267,2021-05-11,基础化工行业2020年年报及2021年一季报总结：化工产品价格指数探底回升 橡塑制品、农化、化纤等板块表现亮眼,新浪
268,2021-05-11,石油天然气、化工行业2020&1Q21业绩回顾：行业高景气 盈利创新高,新浪
269,2021-05-11,化纤板块大幅调整，恒力、荣盛、华峰化学、桐昆股份、恒逸石化集体大跌,Wind
270,2021-05-10,化工行业：国际油价上行 六氟磷酸锂、草甘膦价格再创新高,新浪
271,2021-05-10,基础化工行业2020年报及2021年一季报综述：越过山丘 班行秀出,新浪
272,2021-05-10,通胀无牛市？这份通胀预期下的投资指南请查收,Wind
273,2021-05-10,中国银河--化工行业：丁辛醇、丙烯酸及酯价格上涨，重点关注龙头企业表现【行业研究】,金融界股吧
274,2021-05-10,石油石化、基础化工、新材料行业北上资金流向周报,新浪
275,2021-05-10,全产业链价格价差研究：丁辛醇、丙烯酸及酯价格上涨 重点关注龙头企业表现,新浪
276,2021-05-08,华峰化学：印度疫情爆发短期或将导致部分纺织订单转移回国,Wind
277,2021-05-07,“炼化-化纤”产业链周报：低成本优势助力 民营大炼化逆势交出亮眼答卷,新浪
278,2021-05-07,化工行业：从SASOL的努力看煤化工企业的减排,新浪
279,2021-05-06,5月6日晚间重要行业研究汇总(附股),中金在线
280,2021-04-30,牛人重仓｜成分股大调仓：入选的这只聚氨酯行业细分龙头一季度扣非净利同比暴增513%！,每日经济新闻
281,2021-04-30,西部证券维持华峰化学买入评级，年报和一季报点评：氨纶行业高景气助力一季度业绩超预期增长,每日经济新闻
282,2021-04-29,中信建投大周期团队最新研究观点,中信建投证券研究
283,2021-04-28,高毅资产错失有色龙头！这些绩优股被“错卖”？,Wind
284,2021-04-28,73家公司获海外机构调研,证券时报网
285,2021-04-27,化工行业周报：丙烯酸及酯价格继续上涨，重点关注龙头企业表现,每日经济新闻
286,2021-04-26,基础化工行业周报：钛白粉涨价势头不改 农药价格加速上行,新浪
