,2021-12-31,年终盘点｜券商今年整体跑输市场 板块中8家上涨 中银证券年内腰斩成最“熊”,金融界
65,2021-12-14,德赛西威：国泰基金、广发证券等4家机构于12月9日调研我司,证券之星
66,2021-12-14,30CM！北交所首个涨停来了,中国基金报
67,2021-12-13,证券行业周报：全面实施注册制 继续关注财富管理转型和头部券商,新浪
68,2021-12-13,北交所开市后首个“30cm”涨停达成！龙虎榜中现端倪，机构资金成大赢家？,财联社
69,2021-12-13,ETF联接基金年内成立数量破纪录 5只联接基金今日齐发,中金在线
70,2021-12-13,【异动股】广发证券(01776.HK)涨3.88%,财华社
71,2021-12-13,“全面注册制”表态超预期，外资疯狂涌入！四大机构火线解读：务必重视年末券商股的投资机会！,金融界
72,2021-12-13,港股异动 | 广发证券(01776)升7%领涨券商股 中央经济工作会议首次提及全面实行注册制,智通财经
73,2021-12-13,快讯：中资券商股集体上涨 广发证券涨近7%中金公司涨近6%,新浪
74,2021-12-13,非银金融行业周报：保险业对外开放进一步落实 场外衍生品业务新增规模下降,光大证券
75,2021-12-13,【行情】港股中资券商股走高，广发证券(01776.HK)涨超7%，中金(03908.HK)涨6.33%，东方证券(03958.HK)涨近5%，中信证券(06030.HK)涨3.61%,金十数据
76,2021-12-13,关于同意广发证券股份有限公司为易方达中证现代农业主题交易型开放式指数证券投资基金提供主做市服务的公告,上交所
77,2021-12-13,头部券商在北交所没优势？这家券商现身说法：必争之地，正全产业链布局！,券商中国
78,2021-12-12,【天风非银】证券行业周报：券商是全面注册制的核心受益载体！,新锐视角看金融
79,2021-12-12,【国君非银刘欣琦团队】注册制将全面实施，继续推荐头部券商,欣琦看金融
80,2021-12-11,华菱钢铁：广发证券、深圳市红筹投资等39家机构于12月8日调研我司,证券之星
81,2021-12-10,王府井(600859.SH)披露相关定增结果：广发证券、财通基金及国泰君安等参投,格隆汇
82,2021-12-10,2021中国证券业金牛奖揭晓 广发证券荣获“金牛证券公司”等五项大奖,中证网
83,2021-12-10,2021中国证券公司集合资管计划金牛奖揭晓 广发资管荣获“2021金牛券商集合资产管理人”多项大奖,中证网
84,2021-12-10,华茂股份：出售广发证券433.82万股，预计增加投资收益4400万元,Wind
85,2021-12-10,华茂股份(000850.SZ)减持广发证券股份433.82万股 减持股份,智通财经
86,2021-12-10,华茂股份：出售广发证券433.82万股 预计增加投资收益4400万元,财联社
87,2021-12-10,聚焦券业私域营销实践 券商企业微信专题论坛在深圳举行,证券日报之声
88,2021-12-10,A股收盘综述：沪指周线五连阳，北向资金本周疯狂吸筹；又见新股破发！,Wind
89,2021-12-10,国内投行哪家强？2021中国证券公司金牛奖榜单出炉！28家券商上榜,中证报
90,2021-12-10,A股午盘综述：沪指陷入横盘，北向资金再度跑步驰援,Wind
91,2021-12-10,【行情】券商股早盘低迷，东吴证券跌超6%，广发证券、浙商证券、东兴证券、湘财股份等跟跌,金十数据
92,2021-12-10,营业部老总私刻公章，骗客户300多万！更有员工代领奖金后消失,Wind
93,2021-12-10,券商奇葩事！营业部老总私刻公章，骗客户300多万！更有员工代领奖金后突然“消失”,中国基金报
94,2021-12-09,【异动股】广发证券(01776.HK)涨3.49%,财华社
95,2021-12-09,跨年行情来了？北上资金超100亿扫货，“牛市旗手”连续拉涨…A股加速上行，深证成指创4个月新高，能上车吗？,证券时报
96,2021-12-09,2022年货币政策展望：稳健但略偏宽松，不止有降准或还有降息,Wind
97,2021-12-09,跨年行情来了？牛市旗手6天有5天上涨，这些因素在发力？,Wind
98,2021-12-09,"跨年行情来了？""牛市旗手""6天有5天上涨，这家券商本月涨超16%！这些因素在发力？",券商中国
99,2021-12-09,华旺科技：广发证券、国盛证券等11家机构于11月17日调研我司,证券之星
100,2021-12-08,2022年券商策略：稳货币成共识 A股走势现分歧,搜狐
101,2021-12-08,证券行业2022年度策略报告：券业破茧，模式焕新,证券之星
102,2021-12-08,A股收盘综述：沪指创三个月最大单日涨幅，题材股多点开花；ST板块午后突然跳水！,Wind
103,2021-12-08,【行情】券商股异动，华林证券直线拉升封板，长城证券、中泰证券、中信建投、东兴证券、广发证券等涨超3%,金十数据
104,2021-12-08,广发证券入选首届“点数成金” 金融科技创新应用示范案例,中国网
105,2021-12-08,【异动股】广发证券(01776.HK)涨3.05%,财华社
106,2021-12-08,【行情】券商股异动拉升，中泰证券一度涨超7%，中信建投、长城证券、广发证券、中银证券等集体走高,金十数据
107,2021-12-07,广发期货 金融科技创新之路,期货日报
108,2021-12-07,北向资金今日净买入79.49亿元，继续抄底大金融板块,Wind
109,2021-12-07,浙江众成：原实控人陈大魁本次解除质押数量4961万股,Wind
110,2021-12-07,申万宏源：降准发力，看好券商岁末年初行情,财联社
111,2021-12-07,多重利好政策出台 继续看好头部券商机会,金融界
112,2021-12-07,关于同意广发证券股份有限公司为华安沪深300交易型开放式指数证券投资基金提供主做市服务的公告,上交所
113,2021-12-07,融资客青睐8股，雷柏科技买入占比高达38.52%,Wind
114,2021-12-07,证券行业周报：优化证券公司账户管理 打造以客户为中心体系,新浪
115,2021-12-07,【证券*胡翔】券商发展迎“新基建”，账户优化助推财富管理转型升级,东吴研究所
116,2021-12-07,政策优化护航证券业发展，券商股两大行情脉络日渐清晰,Wind
117,2021-12-07,可孚医疗：广发证券、长城基金等3家机构于11月30日调研我司,证券之星
118,2021-12-07,多重利好显现，机构看好券商板块跨年行情,Wind
119,2021-12-07,央行全面降准，A股咋走？八大券商连夜火速解读,Wind
120,2021-12-06,深度*行业*证券行业2022年度策略：成长性奠定投资价值 流动性催化行情,新浪
121,2021-12-06,券商收益互换业务新规落地，41家获资质券商竞跑“新赛道”,第一财经
122,2021-12-06,广发证券(01776)前11月累计新增借款超过上年末净资产40% 大额借贷担保,智通财经
123,2021-12-06,广发证券：当年累计新增借款超过上年末净资产40%,Wind
124,2021-12-06,券商行业周报(2021年第四十五期)：看好券商跨年行情 建议关注财富管理主线及龙头券商,新浪
125,2021-12-06,四大理由看今日券商股躁动，头部券商与“高含财率”券商各自领衔，后市还可持续吗,财联社
126,2021-12-06,非银金融行业周报：险资规范参与证券出借业务 继续关注券商板块行情,光大证券
127,2021-12-06,10家券商试点账户管理功能优化点评：综合账户试点落地 增强券商财富管理竞争力 看好板块,新浪
128,2021-12-06,A股收盘综述：锂电池、半导体双线回撤，创业板指跌超2%退守3400点！,Wind
129,2021-12-06,券商股集体起飞！多重政策利好叠加，估值修复空间充足,财联社
130,2021-12-06,“牛市旗手”发动！多只券商股盘中暴涨，这一指数创近3月最大涨幅…保险、银行也走强，啥情况？,证券时报
131,2021-12-06,非银金融行业周报：降准预期叠加险资券源放开 券商迎多重利好,新浪
132,2021-12-06,非银金融行业周报：2021年证券公司财务顾问业务执行能力评价结果解读,新浪
133,2021-12-06,“牛市旗手”集体异动，跨年行情稳了？,Wind
134,2021-12-06,A股午盘综述：券商、地产中路推进，绿色电力异军突起；沪指创出两个月新高！,Wind
135,2021-12-06,【异动股】广发证券(01776.HK)涨5.29%,财华社
136,2021-12-06,证券：适时降准叠加多项政策利好 看好券商板块行情,新浪
137,2021-12-06,兴业证券涨停券商股大幅走高，券商ETF（512000）放量涨超4%,Wind
138,2021-12-06,券商板块大幅走高，广发证券涨超8%突破前高，申万宏源：珍惜底部买入机会,资本邦
139,2021-12-06,快讯：中资券商股集体拉升 东方证券、广发证券涨超6%,新浪
140,2021-12-06,【东吴非银 | 行业政策点评】券商发展迎“新基建”，账户优化助推财富管理转型升级,微信
141,2021-12-06,天风证券：证券行业2022年度策略 把握券商权益机构化主线,e公司
142,2021-12-06,天风证券：证券行业2022年度策略，把握券商权益机构化主线,Wind
143,2021-12-06,本周股市三大猜想及应对策略,财富动力网
144,2021-12-05,非银周报：账户管理优化助力财富管理 险资融券放开增厚投资收益,新浪
145,2021-12-05,证券行业2022年年度策略：Α仍是主导因素 坚持大公募与交易业务双主线,新浪
146,2021-12-05,放开险资参与证券出借点评：可为融券市场带来翻倍增量 龙头享受较高业绩弹性,新浪
147,2021-12-05,最牛大赚超80%！大集合改造，“冲刺”！,Wind
148,2021-12-04,浩欧博：广发证券股份有限公司于11月9日调研我司,证券之星
149,2021-12-03,非银行业2022年度策略：把握券商权益机构化主线 静待保险负债端转型成效,新浪
150,2021-12-03,100亿+资金涌入！最牛份额涨667%，布局机会到了？,Wind
151,2021-12-03,永太科技：银华基金、广发证券等2家机构于12月2日调研我司,证券之星
152,2021-12-03,曼卡龙：广发证券、工银瑞信等4家机构于11月30日调研我司,证券之星
153,2021-12-02,A股收盘综述：大基建跃跃欲试，稀土午后崛起，元宇宙深度回调,Wind
154,2021-12-02,港股异动︱港股中资券商股今日集体上涨 东方证券(01776)涨超5%领涨板块 广发证券(01776)涨超4%,智通财经
155,2021-12-02,A股午盘综述：股指横盘，大基建跃跃欲试；翻两倍股又大涨！,Wind
156,2021-12-02,拯救券商股！这家券商斥资上亿回购股份，什么信号？,Wind
157,2021-12-02,券商股再度拉升，东方证券、广发证券、兴业证券涨幅靠前,Wind
158,2021-12-02,2021年11月期权合约市场回顾,广发期权淘金通
159,2021-12-02,广发证券股份有限公司 关于非公开发行公司债券发行结果的 公告,证券时报
160,2021-12-02,部分券商纾困资管资金流向走偏，有的已被深套,Wind
161,2021-12-02,航宇科技：申银万国证券研究所、广发证券资管等2家机构于11月3日调研我司,证券之星
162,2021-12-02,广发证券：华泰证券于11月26日调研我司,证券之星
163,2021-12-01,长城策略*月度金股‖十二月（汪毅，王小琳）,长城研究--宏观策略
164,2021-12-01,北向资金12月首个交易日加仓A股30亿，紫光国微净买入超6亿元,Wind
165,2021-12-01,广发证券(01776.HK)完成发行50亿元公司债券,格隆汇
166,2021-12-01,券商12月金股出炉，高景气成长方向仍是市场主线,Wind
167,2021-12-01,跨年行情开启，“高景气度”成券商推荐关键词,Wind
168,2021-12-01,伟创电气：广发证券股份有限公司、国华兴益保险资产管理有限公司等32家机构于11月23日调研我司,证券之星
169,2021-12-01,长海股份：南方基金、广发证券等2家机构于11月26日调研我司,证券之星
170,2021-11-30,第三届新浪财经金麒麟电子信息行业最佳分析师：第一名广发证券（附投资观点）,新浪
171,2021-11-30,“茅泸”重回视野！券商12月“金股”来了,Wind
172,2021-11-30,本月2板块获密集调研，“榨菜茅”被64家券商调研,Wind
173,2021-11-30,豪美新材：民生证券、广发证券等4家机构于11月24日调研我司,证券之星
174,2021-11-30,蕾奥规划：广发证券于11月10日调研我司,证券之星
175,2021-11-29,券商行业周报(2021年第四十四期)：公募基金再迎新产品线 把握创新优势促进业务转型,新浪
176,2021-11-29,12月买什么股票好？12月股票推荐最新,至诚财经
177,2021-11-29,人身险新规出炉 把握不确定性中的基本面优质标的配置机遇,中投网
178,2021-11-29,已超3000亿！券结基金井喷，券商、基金深度绑定,Wind
179,2021-11-29,牛市旗手风口来了？三大ETF份额大增77.55亿份,Wind
180,2021-11-29,2021年Wind“金牌分析师”权威揭榜,Wind
181,2021-11-29,监管鼓励券商积极布局，券结模式基金大井喷,Wind
182,2021-11-29,万顺新材：广发证券、德邦证券股份有限公司等2家机构于11月5日调研我司,证券之星
183,2021-11-28,【天风非银】证券行业周报：第二批试点券商陆续展业，基金投顾“量变”进行时,新锐视角看金融
184,2021-11-28,广发证券：于11月17日调研我司,证券之星
185,2021-11-26,茅台下跌谁的锅？中信证券向好业绩不敌“空弹”影响力，卖方格局渐变 盈利能力下降,腾讯网
186,2021-11-26,非银金融行业2022年度策略：向新而生,新浪
187,2021-11-26,非银金融行业周报：本周周报地产预期改善提振非银情绪 北交所开市关注券商热度,新浪
188,2021-11-26,岭南股份：广发证券、卓识资本等4家机构于11月24日调研我司,证券之星
189,2021-11-26,中旗新材：广发证券、广发基金等16家机构于11月24日调研我司,证券之星
190,2021-11-25,关于广发证券股份有限公司向专业投资者公开发行永续次级债券申请文件的反馈意见,证监会
191,2021-11-25,吉林敖东：公司目前未制定出售广发证券股票的计划,Wind
192,2021-11-25,【行情】证券板块短线拉升，中泰证券涨超4%，财通证券、中银证券、广发证券跟涨,金十数据
193,2021-11-25,卖方唱多券商股，“聪明钱”布局跨年行情胜负手,Wind
194,2021-11-24,广发证券：“20广发09”债券兑付兑息完成并摘牌,Wind
195,2021-11-24,广发证券(000776.SZ)：“20广发09”兑付完成并摘牌 退市,智通财经
196,2021-11-24,港股中资券商股多数造好 广发证券(01776.HK)涨约3%,钢企网
197,2021-11-24,券业总资产首破10万亿！券商前三季大赚1440亿,Wind
198,2021-11-24,券商股拉升，广发证券、东方证券、浙商证券涨幅靠前,Wind
199,2021-11-23,外资周报第104期：人民币韧性凸显 配置盘加速入场,新浪
200,2021-11-23,广发证券(01776.HK)完成发行37亿元公司债券,格隆汇
201,2021-11-23,散户大厅还能“谈股论经”吗？券商年内加快裁撤营业部,Wind
202,2021-11-23,券商板块再度活跃，长城证券涨停，中泰证券等走高,证券时报
203,2021-11-23,解盘：资金持续流入，铁矿石、光模块、稀土永磁、煤炭领涨,Wind
204,2021-11-23,【行情】证券板块异动拉升，长城证券涨近6%，中泰证券、广发证券、东方证券跟涨,金十数据
205,2021-11-23,拟4.8亿元底价挂牌转让17.28%股份 华茂集团启动二次混改,证券日报
206,2021-11-22,哪些公募是券商股持仓大户？哪些券商股被集中布局？公募调研增多，重仓的不仅是财富管理题材股,财联社
207,2021-11-22,辽宁成大：公司财务报告均经过具有证券业务资格的会计师事务所进行审计,每日经济新闻
208,2021-11-22,【港股通】广发证券(01776)第七期公司债券将于11月23日起挂牌交易,和讯
209,2021-11-22,北向资金今日净买入14.35亿元，宁德时代再获大幅净买入近17亿,Wind
210,2021-11-22,广发证券：21广发19”、“21广发20”和“21广发21”将于11月23日在深交所上市,Wind
211,2021-11-22,广发证券(01776)2021年公司债券(第七期)将于11月23日起在深交所挂牌交易,智通财经
212,2021-11-22,18股今日获机构买入评级 5股上涨空间超10%,证券时报网
213,2021-11-22,广发证券(000776.SZ)：“21广发19”于11月23日在深交所上市,智通财经
214,2021-11-22,非银金融周报：北交所正式开市 重点关注投行/直投业务占优的券商,新浪
215,2021-11-22,浙商证券：给予广发证券买入评级，目标价位26.16元,证券之星
216,2021-11-22,A股午盘综述：半导体、锂电池“两翼齐飞”，创业板指大涨2%,Wind
217,2021-11-22,【安信非银第35期周报】央行释放积极信号，非银板块有望受益,新角度新金融
218,2021-11-22,【浙商非银】广发证券：投行风险出清，资管驱动增长,大话金融
219,2021-11-22,券业总资产突破10万亿，财富管理转型扛起增收大旗,Wind
220,2021-11-21,开源证券：证券行业景气度延续 大财富管理业务线保持成长性,证券时报网
221,2021-11-21,非银金融行业周报：规范基金投顾业务 拓宽险资投资范围,新浪
222,2021-11-21,又有券商股遭减持！券商股权更迭频繁，产业资本为何买大卖小？ 减持股份,Wind
223,2021-11-20,"高管两年换新率达67%，中山证券资管和固收要打造""小一创""？",Wind
224,2021-11-20,北向资金本周加仓111亿，抄底交运物流、汽车零部件等超跌板块，扫货这些龙头股（名单）,21世纪经济报道
225,2021-11-20,房地产合理贷款得到满足！A股普涨，本周北上资金买入百亿,Wind
226,2021-11-20,玉马遮阳：广发证券、浙商证券等16家机构于11月17日调研我司,证券之星
227,2021-11-20,浩洋股份：广发证券、广发基金等26家机构于11月18日调研我司,证券之星
228,2021-11-20,【天风非银】券商深度2：券结基金的现状和潜力,新锐视角看金融
229,2021-11-19,2021上证报最佳分析师评选揭晓 广发证券荣获“最具社会责任机构”第一名,上证报
230,2021-11-19,港股券商股短线拉升 广发证券涨4.59%,钢企网
231,2021-11-19,又有券商申请托管资格！今年基金托管牌照尚待零的突破,Wind
232,2021-11-19,房地产飙升3%提振大盘，北上资金依旧宠爱新能源,Wind
233,2021-11-19,港股中资券商板块联动拉升 广发证券领涨,中证网
234,2021-11-19,A股收盘综述：券商、地产发力，沪指收复半年线；一板块掀涨停潮,Wind
235,2021-11-19,券商股异动飙涨 机构：财富管理转型加速 龙头券商优势凸显,第一财经
236,2021-11-19,券商板块全线爆发，湘财股份直线封板，10亿资金精准抄底券商ETF（512000）,Wind
237,2021-11-19,快讯：中资券商股直线拉升 广发证券涨近5%东方证券涨近4%,新浪
238,2021-11-19,广发证券涨超5%，证券ETF(512880)涨超2%,资本邦
239,2021-11-19,券商板块午后二度拉升，湘财股份直线封板，广发证券涨超8%,资本邦
240,2021-11-19,【行情】A股券商板块异动拉升，湘财股份直线冲板，广发证券、长城证券、东方证券、东兴证券、财达证券、中银证券等跟涨,金十数据
241,2021-11-19,【行情】港股券商股短线拉升，广发证券(01776.HK)涨4.59%，东方证券(03958.HK)涨2.58%，招商证券(06099.HK)、华泰证券(06886.HK)、申万宏源(06806.HK),金十数据
242,2021-11-19,券商股大幅异动，湘财股份直线涨停,Wind
243,2021-11-19,快讯：证券板块短线拉升 广发证券涨超4%,新浪
244,2021-11-19,【行情】 证券板块短线拉升，广发证券涨超4%，湘财股份、长城证券、东方证券跟涨,金十数据
245,2021-11-19,疑涉同业竞争未披露 百合股份IPO上会遭暂缓审核,中财网
246,2021-11-19,润邦股份：申万宏源证券、广发证券等11家机构于11月17日调研我司,证券之星
247,2021-11-18,证券行业2022年度投资策略：行业景气度延续 大财富管理业务线保持成长性,新浪
248,2021-11-18,70个涨停！这家公司10个月涨近10倍,Wind
249,2021-11-18,非银行金融行业财富管理行业基金保有量点评：凭借服务能力 市场份额继续向头部平台集中,新浪
250,2021-11-18,伟星股份：广发证券股份有限公司、国泰君安证券资产管理公司等2家机构于11月16日调研我司,证券之星
251,2021-11-17,同业竞争暗藏？客户关联魅影闪现！“二股东”广发证券保荐护航百合生物再闯IPO欲打翻身之战,和讯
252,2021-11-17,康美药业原董事长一审判了12年！最大财务造假案曾震惊A股，打破白马“神话”,新浪
253,2021-11-17,广发证券(01776)完成发行85亿元公司债,智通财经
254,2021-11-17,广发证券：2021年面向专业投资者公开发行公司债券（第七期）发行85亿元,Wind
255,2021-11-17,广发证券(000776.SZ)2021年面向专业投资者公开发行公司债券(第七期)发行85亿元,智通财经
256,2021-11-17,证券行业深度报告：财富管理新浪潮已至 掘金券商时不我待,新浪
257,2021-11-17,北向资金结束连续4日净买入，贵州茅台遭大幅抛售超11亿元,Wind
258,2021-11-17,金融行业动态：证券基金行业“大V”合作活动叫停 长期利好具备流量优势、组织架构创新的持牌机构,新浪
259,2021-11-17,北向资金动向盘点：重手净买白酒、医药,Wind
260,2021-11-17,北向资金连续四日买入近200亿元，再度“喝酒吃药买电子”，扫货这些龙头股（名单）,21世纪经济报道
261,2021-11-16,北向资金再度加仓近42亿连续4日净买入，批量扫货白酒医药股,Wind
262,2021-11-16,中国证券业协会2021年第三季度专业委员会工作动态,中证协发布
263,2021-11-16,证券业2022年度策略 | 坚守财富管理主线，寻找长期主义的践行者,中信建投非银金融研究
264,2021-11-16,2021年11月16日期权资讯,广发期权淘金通
265,2021-11-16,北向资金动向盘点：底部净买医药,Wind
266,2021-11-16,"打造航母券商！""一哥""280亿配股获批，重点发展这些业务",Wind
267,2021-11-16,唐人神：广发证券、财通基金等2家机构于11月11日调研我司,证券之星
268,2021-11-15,广发证券：发行第七期公司债券，发行规模不超过人民币85亿元,Wind
269,2021-11-15,广发证券(01776)：“21 广发 19”、“21 广发 20”及“21 广发 21”票面利率分别为3.15%、3.5%及3.85%,智通财经
270,2021-11-15,券商战略布局北交所：又到比拼项目时刻，广发投行推出IPO立项标准，研究层面设立 “专精特新”研究群组,财联社
271,2021-11-15,11月15日深市创业板活跃股公开信息,深交所
272,2021-11-15,广发证券：延长2021年面向专业投资者公开发行公司债券（第七期）簿记建档时间,Wind
273,2021-11-15,广发证券100亿元小公募项目状态更新为“已受理”,Wind
274,2021-11-15,券商行业周报(2021年第四十二期)：北交所明确“行业黑名单” 持续关注财富管理提振作用,新浪
275,2021-11-15,申港证券：券商板块将呈现震荡向上走势,Wind
276,2021-11-15,中信建投：北交所设立催化券商板块行情,Wind
277,2021-11-15,中信建投：北交所设立催化券商板块行情,第一财经
278,2021-11-15,逆回购铺垫足，“麻辣粉”到期无碍资金面,Wind
279,2021-11-14,非银金融行业周报：券商盈利高景气延续 保险两端压力仍在,新浪
280,2021-11-14,广发证券策略首席戴康：北交所“后备军”企业具有三大特征,每日经济新闻
281,2021-11-14,券商代销公募保有量普降，因监管收紧申报尺度,Wind
282,2021-11-13,北交所或为券商带来超百亿增收，全员备战！,Wind
283,2021-11-13,基金代销驶入黄金时代：银行仍是主力，多元格局助推理财大众化,Wind
284,2021-11-13,券商厉兵秣马备战北交所：全产业链条布局成重点,Wind
285,2021-11-12,【银华基金】交易日报 2021-11-12,新浪
286,2021-11-12,北向资金再度加仓超36亿，东方财富本周净买入近28亿,Wind
287,2021-11-12,非银一周观点：我们继续推荐机构型券商的投资机会,新浪
288,2021-11-12,中国债券市场金融债发行日程一览(11月12日),Wind
289,2021-11-12,【天风非银｜最前瞻】券结基金的现状和潜力,新锐视角看金融
290,2021-11-12,闯关周报｜审7过5，才府玻璃被否，宣泰医药暂缓；本周8只新股上市，首日平均涨幅111%；下周7只新股申购,财经网
291,2021-11-12,买入意愿回升 机构加仓东方雨虹,金融投资报
292,2021-11-12,A股早报2021年11月12日星期五,Wind
293,2021-11-12,每日理财观察: MSCI公布半年度指数评审结果,Wind
294,2021-11-12,北交所开市在即 券商板块大涨！这些机构多维“备战”抢先机,国际金融报
295,2021-11-12,新势力业绩不俗，基金代销江湖“变天”,Wind
296,2021-11-12,22家券商权益类公募基金保有规模超百亿,Wind
297,2021-11-12,鑫铂股份：广发证券、长江证券等4家机构于11月9日调研我司,证券之星
298,2021-11-12,招行股混保有规模稳居公募基金代销“销冠”，第三方机构正猛追,Wind
299,2021-11-12,金融地产爆发 多头行情看好？,重庆商报
300,2021-11-11,月度金股：十一月,新浪
301,2021-11-11,22家券商权益类公募基金保有规模超百亿！中信华泰广发稳居前三,中国证券网
302,2021-11-11,【银华基金】交易日报 2021-11-11,新浪
