,2021-12-28,龙虎榜机构抢筹股曝光，两大资金同时买入这些股,Wind
26,2021-11-09,[公司]科技创新成果丰富 京沪高铁合作申报项目荣获国家科学技术进步奖二等奖,全景网
27,2021-11-03,京沪高铁(601816.SH)：“高速铁路用高强高导接触网导线关键技术及应用”荣获国家科学技术进步奖二等奖,格隆汇
28,2021-11-03,北向资金连续5日净买入，隆基股份遭大幅抛售超16亿元,Wind
29,2021-11-03,华创证券：维持京沪高铁(601816.SH)“推荐”评级 目标价6.1元,智通财经
30,2021-11-02,京沪高铁披露三季报：业绩可圈可点，盈利能力有望加强,凤凰网
31,2021-11-01,京沪高铁(601816.SH)副总经理刘学文因退休离职,智通财经
32,2021-11-01,京沪高铁：刘学文因达到法定退休年龄辞去副总经理职务 董监高成员变化,每日经济新闻
33,2021-11-01,京沪高铁：副总经理刘学文退休离职 董监高成员变化,Wind
34,2021-11-01,图解京沪高铁三季报：第三季度单季净利润同比增21.68%,证券之星
35,2021-10-30,京沪高速铁路股份有限公司 2021年第三季度报告,证券日报
36,2021-10-29,京沪高铁前三季度净利润同比增长135.16%,上证报
37,2021-10-29,京沪高铁(601816.SH)前三季度归母净利润同比增长135.16%至43.47亿元,智通财经
38,2021-10-29,京沪高铁：第三季度净利16.04亿元，同比增21.68%,格隆汇
39,2021-10-29,京沪高铁：第三季度净利润16.04亿元，同比增长21.68%,Wind
40,2021-10-29,京沪高铁：前三季度净利润同比增长135.16%,Wind
41,2021-10-25,北向资金连续5日加仓累计扫货超300亿，阳光电源、天赐材料净买入额均超新高,Wind
42,2021-10-18,交通运输行业周报聚焦9月数据：航空环比修复 快递单价环比上涨 部分公司披露三季报预告,新浪
43,2021-10-17,“京沪计划”拟减持京沪高铁不超12.49亿股！平安资管回应,Wind
44,2021-10-17,"""京沪计划""拟减持京沪高铁不超12.49亿股！平安资管独家回应：平安目前无减持计划，看好公司前景 拟减持股份",券商中国
45,2021-10-14,晚间公告｜10月14日这些公告有看头,第一财经
46,2021-10-14,京沪高铁：股东拟减持不超过12.49亿股 拟减持股份,中证网
47,2021-10-14,平安人寿不减持 看上了京沪高铁哪一点？,凤凰网
48,2021-10-14,京沪高铁(601816.SH)股东平安资管拟减持不超过12.49亿股 拟减持股份,智通财经
49,2021-10-14,京沪高铁(601816.SH)：持股5%以上股东拟减持不超公司总股本2.55%股份 拟减持股份,格隆汇
50,2021-10-14,京沪高铁：平安资管拟减持不超2.55%公司股份 拟减持股份,财联社
51,2021-10-14,京沪高铁：京沪计划拟减持不超2.55% 拟减持股份,Wind
52,2021-10-11,京沪高铁(601816.SH)：胡彬华辞去总审计师职务,智通财经
53,2021-10-11,京沪高铁：总审计师胡彬华因退休离职,每日经济新闻
54,2021-10-08,交运物流行业周报：新冠药物研发取得突破 航空乐观情绪得到催化,新浪
55,2021-10-07,北上资金加速买买买！前三季度净买入3000亿,Wind
56,2021-09-27,交通运输行业周报：聚焦价格线索：10月有哪些投资机遇？,新浪
57,2021-09-16,京沪高铁：预计疫情后客流量恢复速度应该会非常快,e公司
58,2021-09-15,交通运输行业2021年四季度投资策略：成长的物流 复苏的客运,新浪
59,2021-09-14,交运中小盘行业周报：单价迎向上拐点 推荐龙头快递,新浪
60,2021-09-13,交运物流每周专题报告：中秋、国庆双节将至 静待航空触底反弹,新浪
61,2021-09-13,股改上市动作频频，铁路资产证券化加速,Wind
62,2021-09-09,京沪高铁(601816)：疫情扰动短期仍有影响 中长期不改量价空间,新浪
63,2021-09-06,京沪高铁：Fidelity International、浙商证券等35家机构于9月1日调研我司,证券之星
64,2021-09-04,疫情影响减退，客流逐步恢复，京沪高铁上半年净利增长逾四倍,华夏时报
65,2021-09-04,京沪高铁(601816)：疫情引起股价超调 眼光宜放长远,新浪
66,2021-09-01,京沪高铁上半年净利润增加逾四倍，营收150.98亿元,环球旅讯
67,2021-08-31,A股异动 | 京沪高铁(601816.SH)涨约4% 客流回升 上半年净利大增逾4倍,格隆汇
68,2021-08-31,机构二季度持股趋分散，增持蓝筹白马,Wind
69,2021-08-31,京沪高铁(601816)2021年中报点评：Q2业绩恢复至2019年82% 布局时机临近,新浪
70,2021-08-30,客流回升 京沪高铁上半年净利润大增4倍,中国经营网
71,2021-08-30,京沪高铁：上半年净利增长逾四倍，本线运送旅客增长96%,澎湃新闻
72,2021-08-30,京沪高铁：上半年净利润同比增长417.28%,Wind
73,2021-08-11,京沪高铁：目前没有货运业务的规划安排,每日经济新闻
74,2021-08-11,京沪高铁：去年以来公司经营业绩受新冠疫情影响严重，但目前公司各项经营活动均正常，不存在破产清算的情况,每日经济新闻
75,2021-08-11,京沪高铁：煤价上涨暂未对公司电力成本产生影响,Wind
76,2021-07-21,“千里京沪一日还”成高铁标杆,经济日报
77,2021-07-06,每天挣 1 个亿，全球最成功！京沪高铁的最大赢家不是北京上海,ZAKER
78,2021-06-30,25股获券商买入评级，恒力石化目标涨幅达66.60%,Wind
79,2021-06-29,38股获券商买入评级，深南电路目标涨幅达82.32%,Wind
80,2021-06-28,京沪高铁沿线五城调查：高铁速度跑出一条经济“金丝带”,证券日报
81,2021-06-24,“京沪高铁”运营十周年硕果满满“不简单”,中国经济网
82,2021-06-24,A股早报2021年6月24日星期四,Wind
83,2021-06-23,A股共发生135宗大宗交易成交29.14亿元（6月23日）,Wind
84,2021-06-23,"京沪高铁现1笔大宗交易 共成交24,255.06万元",新浪
85,2021-06-23,京沪高铁今日大宗交易成交4970.30万股，成交价4.88元折价8.96%,Wind
86,2021-06-23,京沪高铁十年：累计行程绕赤道4万圈，年净利润曾超百亿,第一财经
87,2021-06-22,京沪高铁10年大变身：实施“一日一图” 发车间隔最短4分钟,新浪
88,2021-06-22,京沪高铁十年运送旅客13.5亿人次 行程绕赤道近4万圈,光明网
89,2021-06-22,京沪高铁开通运营10周年 累计行程超15.8亿公里,中新网
90,2021-06-22,京沪高铁党委副书记：京沪高铁累计行程相当于绕赤道近4万圈,澎湃新闻
91,2021-06-22,京沪高铁开通运营十年，累计安全运送旅客13.5亿人次,Wind
92,2021-06-22,航空出行数据基本符合预期，年度关注三条主线,东北证券
93,2021-06-15,每日理财观察：7万亿理财市场重磅新规落地,Wind
94,2021-06-10,京沪高铁将开行66列时速350公里复兴号,Wind
95,2021-06-08,国内航空暑运进一步复苏 关注三条主线,东北证券
96,2021-06-07,北向资金净卖出额创近一个月新高，宁德时代遭大幅抛售超14亿元,Wind
97,2021-06-02,北向资金今日净卖出20.14亿元，恒瑞医药净卖出额创历史新高,Wind
98,2021-06-01,北向资金今年净买入额已超去年全年，东方雨虹再获净买入超7亿元,Wind
99,2021-05-31,北向资金再度大幅净买入超52亿元，东方雨虹净买入额创历史新高,Wind
100,2021-05-31,京沪高铁：总法律顾问杜五一辞职 董监高成员变化,每日经济新闻
101,2021-05-31,周报：疫苗加速接种，京东物流上市【国信交运中小盘】,微信
102,2021-05-31,上周北向资金涌入近470亿，人民币资产为何再受追捧,Wind
103,2021-05-28,上交所与中证指数公司调整上证50、上证180等指数样本,Wind
104,2021-05-28,北向资金本周净买入额创纪录，美的集团获大幅净买入逾11亿元,Wind
105,2021-05-28,北向资金动向盘点：净买146亿，电子拔得头筹,Wind
106,2021-05-27,沪港通十大成交活跃股排名（5月27日）,Wind
107,2021-05-27,北向资金四日抢筹A股近500亿，格力电器净买超7亿,Wind
108,2021-05-27,A股异动|京沪高铁(601816.SH)涨逾4%连续5日获得北上资金净买入,格隆汇
109,2021-05-26,周报：海航重组再添意向方，集运价格持续新高【国信交运中小盘】,微信
110,2021-05-25,北向资金爆买A股超200亿创历史纪录，白酒、金融、医药股遭“疯抢”,Wind
111,2021-05-24,文望青：跟着高铁勇闯建桥禁区,科技日报
112,2021-05-18,交通运输物流行业：航运维持高景气 京东物流上市在即,新浪
113,2021-05-16,周报：疫情不止集运不休，京东物流即将上市【国信交运中小盘】,微信
114,2021-05-13,北向资金连续3日净卖出逾百亿，万华化学遭大幅抛售8亿元,Wind
115,2021-05-12,A股早报2021年5月12日星期三,Wind
116,2021-05-11,A股共发生119宗大宗交易成交23.66亿元（5月11日）,Wind
117,2021-05-11,京沪高铁今日大宗交易成交5029.70万股，成交价5.05元折价10.46%,Wind
118,2021-05-10,航空业国内国际逐次复苏，关注航空跨年度投资机会,东北证券
119,2021-05-07,机会来了！这些公司有望调入沪深300、上证50指数,Wind
120,2021-05-07,[路演]京沪高铁：2020年公司仍然保持了较好的盈利水平,全景网
121,2021-05-07,中金：医药、新能源多只股票或将纳入沪深300指数,Wind
122,2021-05-07,京沪高铁总会计师：4月以来京沪高铁客流恢复速度加快,Wind
123,2021-05-07,29股获券商买入评级 奥园美谷目标涨幅达75.74%,Wind
124,2021-05-07,中金公司：医药、新能源行业多只股票或将纳入沪深300指数,Wind
125,2021-04-29,京沪高铁：一季度净利润同比减少0.55% 盈利能力下降,Wind
126,2021-04-29,京沪高铁：2020年净利润同比减少70.83% 盈利能力下降,Wind
127,2021-04-14,交运行业2021年一季报前瞻及投资策略,招商证券
128,2021-04-01,净利增速超70%！中金、中信建投如何“完虐”行业均值,Wind
129,2021-03-23,交通运输行业动态报告：民航客运需求回暖 油运景气度持续提升,新浪
130,2021-03-14,招商证券：航空需求迅速恢复，交运出行春天来临,Wind
131,2021-03-14,交通运输行业周报聚焦碳中和：交通运输行业投资线索解析,新浪
132,2021-03-10,新股1个板都没封住，牛年以来首例！,Wind
133,2021-03-10,【重发】京沪高铁：核心高铁资产，浮动票价或将催化盈利和估值上行,杨鑫交运观点
134,2021-03-09,【兴证交运】交通运输类债标的开启长期上行通道,兴业证券交通运输与物流研究
135,2021-03-09,答记者问｜山东今年全年将完成投资703.7亿元，加快这些高速公路重点项目的建设,山东发布
136,2021-03-09,全国人大代表史立军：加快规划建设淮泰高速铁路构建京沪高铁二通道,21世纪经济报道
137,2021-03-09,交通运输行业双周报148期：快递业务量修复强劲 灵便型散货船创11年新高,新浪
138,2021-03-05,半年血亏955亿，为什么中国高铁越亏越建，美国却从来不建呢？,搜狐
139,2021-03-01,交通运输行业动态报告：高铁客流快速修复 京沪高铁值得关注,新浪
140,2021-02-26,中泰证券--京沪高铁：资源禀赋优质，乘风破浪再上台阶【公司研究】,金融界股吧
141,2021-02-26,晨会聚焦：债市有没有两会行情？新冠疫苗未来几何？,新浪
142,2021-02-25,京沪高铁(601816)：资源禀赋优质 乘风破浪再上台阶,新浪
143,2021-02-24,京沪高铁(601816)深度跟踪报告：拐点或至 巨龙扬帆,新浪
144,2021-02-23,交通运输行业双周报147期：京东物流拟港股上市 外贸集运运价维持高位,新浪
145,2021-02-23,中信：顺周期板块调整后市场会重回均衡状态,中信证券研究
146,2021-02-21,交通运输行业行业周报：把握“物流走出去”战略机遇 坚持“出行内循环”复苏逻辑,新浪
147,2021-02-19,A股异动|京沪高铁(601816.SH)涨超5%北上资金持续净买入,格隆汇
148,2021-02-19,交运｜寒冰渐融，及时布局：从春运数据看出行板块配置时机,中信证券研究
149,2021-02-18,交通运输行业从春运数据看出行板块配置时机专题报告：寒冰渐融 及时布局,新浪
150,2021-02-18,调研重点曝光，机构牛年布局“抢先看”,Wind
151,2021-02-13,图解二十年来A股巨无霸的变迁之路,金融界
152,2021-02-12,每天亏5亿，专家高呼14亿人养不起，中国为何还要持续建高铁？,云掌财经
153,2021-02-09,京沪高铁：京福安徽公司受疫情影响程度小于京沪高铁,Wind
154,2021-02-05,京沪高铁(601816.SH)与中经社就智库运营等领域达成战略合作,智通财经
155,2021-02-05,京沪高铁(601816.SH)与中经社签订战略合作框架协议,格隆汇
156,2021-02-05,京沪高铁：与中国经济信息社有限公司签订战略合作框架协议,格隆汇
157,2021-02-05,东方周期优选元月跌14% 去年配置低估值板块业绩垫底,中国经济网
158,2021-02-04,京沪高铁股价盘中创历史新低：节前多趟列车停运，去年归母净利预减超67% 经营问题,搜狐
159,2021-02-04,京沪高铁今日大宗交易成交600万股，成交价5.18元溢价0.0%,Wind
160,2021-02-04,"京沪高铁现1笔大宗交易 共成交3,108.00万元",新浪
161,2021-02-01,双周报146期：春运前三日公路发送旅客同比下降75%，上机免税重新谈判落地,杨鑫交运观点
162,2021-02-01,晨会聚焦210201重点关注种业深度报告、中国中免、钢铁、轻工、中芯国际-U、远大医药、中国中药、快手科技、宇通客车、华测检测,国信研究
163,2021-01-29,京沪高铁：2020年预计净利润同比下降67.25%~74.33% 盈利能力下降,Wind
164,2021-01-29,京沪高铁(601816.SH)：2020年度净利预降67.25%-74.33%(重述数据) 盈利能力下降,格隆汇
165,2021-01-29,京沪高铁：预计2020年净利润30.7亿-33.9亿元，同比下降69.27%-76.56%,Wind
166,2021-01-29,晨会聚焦210129重点关注哔哩哔哩、拉卡拉、华测检测、泰格医药、连城数控,国信研究
167,2021-01-28,【2020新股专题报告】发行募资篇：超4700亿元！IPO募资额创近十年新高,证券时报网
168,2021-01-28,2020年发行新股399只：新股募资超4700亿元 创近十年新高,证券时报网
169,2021-01-28,注册制市场化定价成效显著，新股估值加速分化,Wind
170,2021-01-27,晨会聚焦210127重点关注中公教育、数字浪潮系列之钢铁行业数字化、苏农银行、奇安信、拓邦股份、视源股份,国信研究
171,2021-01-24,北向资金大调仓！狂买市值1.29万亿巨头,中证报
172,2021-01-23,中信建投IPO费率再创新低，投行员工“大锅饭”时代即将开启？,21财经
173,2021-01-22,A股早报2021年1月22日星期五,Wind
174,2021-01-21,京沪高铁现2笔大宗交易合计成交5272.95万股,证券时报网
175,2021-01-21,A股共发生151宗大宗交易成交31.94亿元（1月21日）,Wind
176,2021-01-21,"京沪高铁现2笔大宗交易 共成交26,242.34万元",新浪
177,2021-01-21,交通运输行业动态-继续配置集运双龙头：中远海控与海丰国际,新浪
178,2021-01-21,A股早报2021年1月21日星期四,Wind
179,2021-01-20,千亿市值白马股重回升势！5张图看清其内部分化,Wind
180,2021-01-20,用户所至，“5G”必达，京沪高铁徐州段全场景覆盖5G网络,C114通信网
181,2021-01-19,晨会聚焦210119重点关注半导体制造行业专题系列、亿联网络,国信研究
182,2021-01-18,交通运输行业双周报145期：跨境物流步入规模化成长 波罗的海干散货运价回升,新浪
183,2021-01-18,盛视早参：积极关注TMT和大金融,新浪
184,2021-01-18,2020年，VC/PE敲了386次钟，赚了8588亿,投中网
185,2021-01-18,晨会聚焦210118重点关注汽车行业、医药行业、德赛西威、中科创达、安踏体育、特步国际,国信研究
186,2021-01-18,周末影响一周市场的10大消息(新股+点评),券商中国
187,2021-01-18,本周2426亿市值限售股解禁，环比增加1254.32% 解禁,Wind
188,2021-01-17,京沪高铁上市周年考：疫情影响主业低迷，解禁或形成冲击，长期利好仍在 解禁,华夏时报
189,2021-01-17,下周操盘攻略：年报披露工作将拉开序幕，解禁市值升至2400亿元,Wind
190,2021-01-17,下周解禁：两市解禁市值飙升至2200亿元 京沪高铁迎首发解禁 解禁,金融界
191,2021-01-17,下周超2400亿市值解禁，京沪高铁、美凯龙等解禁市值超100亿元,Wind
192,2021-01-17,下周超2400亿市值解禁京沪高铁、美凯龙等解禁市值超100亿元 解禁,金十数据
193,2021-01-16,解禁市值飙升至2400亿元 沪深两市较本周环比增了468%、291% 解禁,新浪
194,2021-01-15,下周解禁：解禁市值飙升至2400亿元 解禁,大众证券报
195,2021-01-15,2021年交运行业投资策略：后疫情时代长期格局的变与不变,金融界
196,2021-01-14,京沪高铁(601816)：盈利触底回升 长期成长性凸显,新浪
197,2021-01-14,交通运输行业2021年投资策略：东海扬尘 春回大地,光大证券
198,2021-01-14,晨会聚焦210114重点关注社会服务行业、商贸零售、建筑行业、商业地产专题报告、高温合金专题,国信研究
199,2021-01-14,50股获券商买入评级 星期六目标涨幅达84.91%,Wind
200,2021-01-12,风向真的变了，涨到极致股东减持意愿也降低？,Wind
201,2021-01-08,晨会聚焦210122重点关注数字浪潮系列之产业数字化、阿里巴巴-SW、海优新材、福斯特、柏楚电子、中汇集团,国信研究
202,2021-01-08,晨会聚焦210121重点关注银行行业专题、轻工行业、家电行业,国信研究
203,2021-01-08,晨会聚焦210125重点关注风电、保险、数字浪潮系列之家电产业数字化、药明康德、中信建投、中信证券、东方财富、长电科技、鼎龙股份,国信研究
204,2021-01-08,晨会聚焦210120重点关注银行流动性月报、稀土行业快评、宝钢股份、冀东水泥,国信研究
205,2021-01-08,晨会聚焦210127重点关注中公教育、数字浪潮系列之钢铁行业数字化、苏农银行、奇安信、拓邦股份、视源股份,国信研究
206,2021-01-08,晨会聚焦210114重点关注社会服务行业、商贸零售、建筑行业、商业地产专题报告、高温合金专题,国信研究
207,2021-01-08,晨会聚焦210129重点关注哔哩哔哩、拉卡拉、华测检测、泰格医药、连城数控,国信研究
208,2021-01-08,晨会聚焦210201重点关注种业深度报告、中国中免、钢铁、轻工、中芯国际-U、远大医药、中国中药、快手科技、宇通客车、华测检测,国信研究
209,2021-01-08,晨会聚焦210119重点关注半导体制造行业专题系列、亿联网络,国信研究
210,2021-01-08,晨会聚焦210118重点关注汽车行业、医药行业、德赛西威、中科创达、安踏体育、特步国际,国信研究
211,2021-01-08,晨会聚焦210128重点关注宝钛股份、金山办公,国信研究
212,2021-01-08,晨会聚焦210112重点关注数字浪潮系列之电子科技硬件、泡泡玛特、纺织服装、电子,国信研究
213,2021-01-08,晨会聚焦210108重点关注风华高科,国信研究
214,2021-01-08,【银河晨报】1.8丨房地产：全年销售表现靓丽，长效机制逐步成形,中国银河证券研究
215,2021-01-07,晨会聚焦210107重点关注十部委《关于加强和改进住宅物业管理工作的通知》快评、中矿资源、水泥板块大涨快评,国信研究
216,2021-01-07,2020年59家券商分232亿保荐承销费 中信建投中信领先,中国经济网
217,2021-01-06,晨会聚焦210106重点关注波司登,国信研究
218,2021-01-05,交通运输行业双周报144期：集运欧线运价继续大涨,新浪
219,2021-01-05,铁路资产证券化率仅5.4%，还有哪些企业要上市？,第一财经
220,2021-01-05,晨会聚焦210105重点关注半导体行业专题、海底捞、信息安全深度剖析、银行行业快评、 成都银行,国信研究
221,2021-01-05,2021年逐步推广高铁票价浮动定价 京沪高铁浮动票价机制高低相差百元,中研网
222,2021-01-05,各地IPO大比拼：江浙粤均超60家，京沪募资额遥遥领先,Wind
223,2021-01-04,2020年国家铁路完成经营总收入1.13万亿 中国高铁行业发展前景预测,中研网
224,2021-01-04,2021铁路货车市场分析 铁路货车行业发展趋势预测,中研网
225,2021-01-04,晨会聚焦210104重点关注医药生物、玲珑轮胎,国信研究
226,2021-01-04,大盘横盘震荡，北向资金趁机大幅加仓这16只股票,上证报
227,2021-01-04,【银河交通王靖添】行业动态 2020.12丨推荐跨境电商物流赛道，关注出行复苏的时机,新浪
228,2021-01-02,A股打新人的2020：1600万人争夺战下的一签难求，最牛签盈利38万,腾讯网
229,2021-01-02,2020·IPO｜募资万亿！有人当半小时首富，有人19天过会,搜狐
230,2021-01-01,2021年券商看好的十大板块,Wind
231,2021-01-01,A股激荡2020年：总市值上涨20万亿,21世纪经济报道
232,2021-01-01,龙头地位稳固！2020年股权承销榜出炉,Wind
233,2020-12-31,新秀云集！2020年中国上市企业市值500强揭晓,Wind
234,2020-12-31,A股2020盘点｜IPO募资额4726亿创近十年新高，多只新股涨超10倍,证券时报
235,2020-12-31,2020年IPO募资额创近十年新高：399家公司IPO 平均募资近12亿,证券时报网
236,2020-12-31,【盘点2020年证券市场】之新股篇：399家公司IPO，平均募资近12亿，多只新股涨超10倍,证券时报网
237,2020-12-31,2020年12月交通运输行业动态报告：看好跨境电商物流赛道 关注出行复苏的时机,新浪
238,2020-12-31,晨会聚焦201231重点关注山石网科,国信研究
239,2020-12-31,【银河晨报】12.31丨策略：理解“新变化”，顺应“新趋势”，把握“新消费”发展机遇,中国银河证券研究
240,2020-12-30,京沪高铁(601816)：正式推出计次票和静音车厢服务 精细化运营有助于增强客户粘性,新浪
241,2020-12-30,春运首日火车票今起开售! 有航班价格仅为高铁三成,中新经纬
242,2020-12-30,全国铁路日均发送1018万人次 定价市场化改革进一步,中国报告大厅
243,2020-12-30,2021年春运要来啦,新华网
244,2020-12-29,晨会聚焦201229重点关注保险会计政策点评,国信研究
245,2020-12-29,春运火车票明起开抢 几个抢票时间点记得收藏,中新网
246,2020-12-29,春运首日火车票明起开抢！1月13日可买除夕火车票,澎湃新闻
247,2020-12-29,2021年春运火车票明起开抢 这个新服务已上线！,中新网
248,2020-12-28,晨会聚焦201228重点关注《关于证券公司主承销商独立开展主承销业务》点评,国信研究
249,2020-12-25,高铁计次票、定期票来咯！怎么用？在哪买,央视财经
250,2020-12-25,高铁月票、计次票推出 未来高铁行业发展前景预测,中研网
251,2020-12-25,福州至平潭铁路26日开通运营 中国高铁行业发展前景预测,中研网
252,2020-12-25,晨会聚焦201225重点关注汽车玻璃行业、华为汽车系列之八,国信研究
253,2020-12-25,上证报头版：A股IPO募资创十年新高，注册制功不可没,Wind
254,2020-12-25,京沪高铁试点“静音车厢”,中华工商时报
255,2020-12-24,高铁“静音车厢”来了，到底是种什么体验？,新华网
256,2020-12-24,马上评｜京沪高铁浮动票价，绕不过公众关心的这个问题,澎湃新闻
257,2020-12-24,乘客吵闹拟入黑名单！高铁静音车厢今天首发 违约失信,北京青年报
258,2020-12-24,高铁计次票上线啦！单次最多便宜36元,中新经纬
259,2020-12-24,高铁计次票上线：京沪高铁二等座20次票价11240元,澎湃新闻
260,2020-12-24,京沪高铁浮动票价正式实行 京沪间二等座初期最低票价498元,中研网
261,2020-12-24,京雄城际铁路雄安站收尾 中国高铁行业发展前景预测,中研网
262,2020-12-24,晨会聚焦201224重点关注京沪高铁,国信研究
263,2020-12-24,京沪高铁（601816）深度：行稳致远，把握核心资产,国信研究
264,2020-12-24,28股获券商买入评级，创世纪目标涨幅达64.11%,Wind
265,2020-12-24,高铁试点“静音车厢”乘客不静音拟入“黑名单” 违约失信,北京青年报
266,2020-12-24,京沪高铁启动浮动票价 “900公里”空铁肉搏,新浪
267,2020-12-23,注意！乘坐高铁有新变化！,中国经济网
268,2020-12-23,高铁“静音车厢”，终于来了！京沪高铁浮动票价也定了！,中国基金报
269,2020-12-23,再不用担心有人手机外放！今天起，这些高铁线路可选“静音车厢”,每日经济新闻
270,2020-12-23,京沪高铁今起对相关车次实行浮动票价,Wind
271,2020-12-23,23日起这些高铁车次可选“静音车厢”,中新经纬
272,2020-12-23,购京沪、成渝高铁票 今起可选“静音车厢”,北京青年报
273,2020-12-22,“十四五”铁路规划编制中，提到高铁、城轨、川藏……蕴藏哪些投资机会？,第一财经
274,2020-12-21,用奋斗铸就现代化铁路的动力之源——中国电气化铁路建设十万公里纪实,凤凰网
275,2020-12-21,今年打新最高一签赚24万！新股怎么卖才划算？,上证报
276,2020-12-20,时速160公里至350公里复兴号系列动车组全部投用,Wind
277,2020-12-20,狂收超200亿，IPO业务大爆发！头部券商强势占据第一方阵,中国基金报
278,2020-12-20,券业年内股债承销突破10万亿，创历史新高,券商中国
279,2020-12-19,交通运输行业2021年度策略：后疫情下 布局优质资产,新浪
280,2020-12-18,A股市场股票资金供给季度报告：中长期情绪指标筑底回升 2021Q1资金缺口或稳步修复,新浪
281,2020-12-18,年内IPO募资逾4400亿元，科创板占47%,Wind
282,2020-12-18,年内IPO募资逾4400亿元 科创板占47%,北京商报
283,2020-12-17,年终策划之A股首发募资：年内IPO募资逾4400亿元 科创板占比47%,北京商报
284,2020-12-16,2020全球IPO：纳斯达克重返榜首，A股新股大幅提速,第一财经
285,2020-12-14,【银河交运】2021年度策略：数智物流，复苏出行,中国银河证券研究
286,2020-12-12,490家中企IPO背后VC/PE成绩单曝光,投中网
287,2020-12-11,连镇高铁全线投运 900吨级高铁架桥机空中转体调头,中研网
288,2020-12-11,大秦转债：“西煤东运”的铁路核心资产，建议积极申购,睿哲固收研究
289,2020-12-11,29股获券商买入评级 中国神华目标涨幅达56.58%,Wind
290,2020-12-10,中证报头版：混改升级拓展经济发展新空间,Wind
291,2020-12-08,2021年交运建筑行业投资策略：顺势而为 全年打底低估值 逢低布局高成长,新浪
292,2020-12-08,交通运输行业：破局·出清·均衡,新浪
293,2020-12-04,把交通运输行业：握跨境电商物流产业链关键环节 识别出行复苏的内需型标的,新浪
294,2020-12-04,公用事业-电力电气设备行业：碳中和 离我们还有多远,新浪
295,2020-12-03,快递&机场航空2021年投资策略：柳暗花明又一村,新浪
296,2020-12-03,交通运输行业2021年投资策略：航空乘风、航运破浪、快递物流砥砺前行,新浪
297,2020-12-03,元旦火车票开抢，这些航班价格比高铁便宜近半,中新经纬
298,2020-12-01,交通运输周报第50期：民航推进市场化改革 票价天花板进一步打开,新浪
299,2020-11-30,京沪高铁也有浮动票价了！二等座最低7.52折，下月就开始,澎湃新闻
300,2020-11-30,新规：京沪高铁12月23日起将实行浮动票价,硅谷动力
301,2020-11-30,21股获券商买入评级 我爱我家目标涨幅达85.01%,Wind
302,2020-11-30,【公司深度】京沪高铁 (601816)丨票价改革增强公司盈利弹性， 路网协同与流量变现是未来发展空间,中国银河证券研究
303,2020-11-30,12月新规来了！事关购物、药品、落户、报税,Wind
304,2020-11-30,12月新规速览：落户、购房、出行、购物等统统有变化,澎湃新闻
305,2020-11-29,合肥至北京高铁将实施浮动票价 最高涨38元,民航资源网
306,2020-11-27,打7.5折！高铁浮动票价来了 下月就开始！来看看是你常坐的线路吗→,央视财经
307,2020-11-26,京沪高铁启用动态票价 全程列车二等座最低票价调整为498元,中研网
