,2021-12-31,行业动态|光伏玻璃价格Q4触底回升 明年下游组件放量或提振需求,财联社
144,2021-10-21,西部证券维持福莱特增持评级，2021年三季报点评：光玻出货量环比提升，大尺寸及薄玻璃占比持续提升,每日经济新闻
145,2021-10-21,东莞证券：维持福莱特(601865.SH)“推荐”评级 光伏玻璃涨价 产能持续释放,智通财经
146,2021-10-21,东莞证券维持福莱特推荐评级，2021年三季报业绩点评：产能逐步释放，全年业绩有望高增,每日经济新闻
147,2021-10-21,天风证券维持福莱特增持评级：Q3盈利能力不减，看好扩产后的业绩高增,每日经济新闻
148,2021-10-21,天风证券：给予福莱特增持评级,证券之星
149,2021-10-21,东吴证券：维持福莱特(601865.SH)“买入”评级 Q3玻璃盈利超市场预期,智通财经
150,2021-10-21,东吴证券：给予福莱特买入评级,证券之星
151,2021-10-21,福莱特(601865)：产能加速扩张 规模优势持续巩固,新浪
152,2021-10-21,中信证券：维持福莱特H股目标价57.12港元,Wind
153,2021-10-21,福莱特：2021年前三季度归母净利润17.2亿元 同比大增111.5%,北极星电力
154,2021-10-21,【国金晨讯】上调福莱特、万华化学盈利预测；下调恒瑞医药盈利预测,国金证券研究所
155,2021-10-21,福莱特(601865)2021年三季报点评：Q3业绩超预期 Q4将进入量价齐升阶段,国金证券股份有限公司
156,2021-10-21,福莱特(601865)：光玻出货量环比提升,新浪
157,2021-10-20,福莱特公布三季报 前三季净利增加111.5%,新浪
158,2021-10-20,千亿“公募一哥”出手，33亿狂买这家银行！,Wind
159,2021-10-20,福莱特三季报净利增长111%，广发刘格菘三季度新进十大流通股东,阿尔法工场
160,2021-10-20,"大动作！千亿""公募一哥""出手：33亿狂买这家银行！""顶流""傅鹏博、刘格菘、曲扬最新加仓股也来了",中国基金报
161,2021-10-20,晚间重要公告2021年10月20日星期三,Wind
162,2021-10-20,福莱特发布2021年三季报，净利润同比增长112%,索比光伏网
163,2021-10-20,一图读懂福莱特2021年三季报，第三季度单季净利润同比增29.89%,证券之星
164,2021-10-20,毛利率上升 福莱特(601865.SH)前三季度归母净利同比增111.5%至17.17亿元,智通财经
165,2021-10-20,福莱特：前三季度净利同比增长111.5%,财联社
166,2021-10-20,福莱特(601865.SH)：第三季度净利增29.89%至4.56亿元,格隆汇
167,2021-10-19,资金流向分析,新浪
168,2021-10-19,【银河电新周然】行业周报丨三季报前瞻：锂电维持高景气度，光伏关注硅料及辅材环节,中国银河证券研究
169,2021-10-18,浙江区域股市周报：252家机构调研永太科技 福莱特进入板块市值10强,每日经济新闻
170,2021-10-18,建筑材料行业周报：地产链条有望逐步迎来估值修复与基本面改善,新浪
171,2021-10-18,电气设备周报：光伏产业链价格上涨 需求逻辑全面兑现,新浪
172,2021-10-17,光伏10月景气研判：蓄势上扬,新浪
173,2021-10-15,摩根大通10月12日减持378万股福莱特玻璃股份，涉资1.31亿港元 减持股份,Wind
174,2021-10-13,能耗双控对光伏行业影响分析：双控政策下光伏短期或将承压 长期向好趋势不变,新浪
175,2021-10-12,福莱特玻璃：第六届监事会第六次会议审议通过一项议案,Wind
176,2021-10-11,风光行业点评报告：电价机制捋顺 风光迎来加速发展,新浪
177,2021-10-11,电气设备行业：9月新势力销量环比超预期 风光政策利好频出,广发证券
178,2021-10-08,电力设备行业第40周周报：全国已有8省调整电价 光伏供应链限电限产缺料加剧,新浪
179,2021-10-07,天风证券：光伏玻璃价格及企业成本分化展望,智通财经
180,2021-10-06,浙江千亿“玻璃大王”狂飙,网易
181,2021-09-28,碳中和系列点评之十七：深化能源领域“放管服”改革 加快以新能源为主体的新型电力系统建设,新浪
182,2021-09-27,建材周报：多省启动新一轮限电措施 避免一刀切、简单化,新浪
183,2021-09-27,福莱特大跌，新能源主题ETF（516580）持续溢价 连续下跌,资本邦
184,2021-09-27,周环比价格再度持平，光伏玻璃不“香”了吗？,索比光伏网
185,2021-09-27,建筑材料行业：装饰类建材目前的估值水平如何？,新浪
186,2021-09-27,电气设备行业周报：我国风电光伏8月装机分析,新浪
187,2021-09-27,电力设备行业第39周周报：1-8月全国光伏新增装机22GW 光伏供应链涨势未止,新浪
188,2021-09-26,电气设备行业周报：整县推进稳步进行 蔚来发布三元铁锂标准续航电池包,新浪
189,2021-09-26,电气设备新能源行业周报：二线电池价格探涨缓解成本压力 8月新能源装机超市场预期,新浪
190,2021-09-25,电气设备行业深度报告：人工合成淀粉！前驱反应制“净零”甲醇或助力能源革命进程,新浪
191,2021-09-24,福莱特玻璃：谨订于10月20日举行第三次H股临时股东大会,Wind
192,2021-09-23,电气设备行业周观点：电动车光伏产业链价格上行 风电性价比凸显,新浪
193,2021-09-22,电气设备行业周报：首批光伏整县试点申报规模超预期,新浪
194,2021-09-22,建筑材料周观点：8月水泥产量缩减5% 限产或将继续压减产量 价格上行仍有支撑,新浪
195,2021-09-17,福莱特：公司越南产线均已点火投产,Wind
196,2021-09-17,福莱特：目前公司主要生产的超薄光伏玻璃以2.0mm为主，大尺寸和常规尺寸均有生产,每日经济新闻
197,2021-09-17,国内光伏玻璃先驱，核心优势明显，福莱特加速扩产！,索比光伏网
198,2021-09-13,玻璃制造行业：光伏玻璃继续推涨 纯碱持续上涨压缩浮法利润,新浪
199,2021-09-13,电新行业周报：国家多举措保障新能源并网 预计Q4电车产业链延续产销两旺,新浪
200,2021-09-13,A股收盘综述：抛开指数做个股，“煤飞色舞”继续霸屏、磷化工股批量封板,Wind
201,2021-09-08,玻璃玻纤2021年中报总结：超预期的周期成长,广发证券
202,2021-09-07,电气设备行业2021年半年报业绩综述：行业保持高增长 风光板块景气延续,新浪
203,2021-09-07,建筑材料行业：8月地产销售景气度明显下行 顺周期品种性价比高,新浪
204,2021-09-07,电新行业周报：德国“碳中和”政策推动光伏装机 Q4电车需求有望较快提升,新浪
205,2021-09-06,电力设备与新能源行业周观察：欧洲五国电动车渗透率环比提升 风光储发展空间可期,新浪
206,2021-09-06,A股收盘综述：市场演绎高低切换，创业板指大涨4%、超跌龙头普遍回暖,Wind
207,2021-09-06,快讯：福莱特跌停 报于49.26元,金融界
208,2021-09-06,光伏2021中报总结：光伏营收高增 硅料表现亮眼,新浪
209,2021-09-06,光伏玻璃价格触底反弹，后市或迎装机高峰,Wind
210,2021-09-03,建材行业：涨价如期而至 玻璃玻纤高景气持续,新浪
211,2021-09-03,光伏屋顶指数跌近2%，福斯特、福莱特均下挫逾8%,Wind
212,2021-09-03,每日理财观察：北京证券交易所来了,Wind
213,2021-09-03,格力电器抄底回购，越抄越低；风电涨停潮，这只股被券商“强烈推荐”,Wind
214,2021-09-02,能源碳达峰，特高压助阵！后续行情一触即发,Wind
215,2021-09-02,A股收盘综述：沪指5连涨、创业板指6连阴，风电、煤炭、光伏、大基建央企飙升,Wind
216,2021-09-02,* 光伏玻璃价格上涨1-3元/㎡，福莱特股价历史新高,阿尔法工场
217,2021-09-02,光伏板块集体反弹，特变电工涨近6%,Wind
218,2021-09-01,富时罗素季度调整结果出炉，长城汽车、中远海控纳入富时中国A50指数,Wind
219,2021-09-01,机构加仓！“赛道”股哑火，后市或有第二春,Wind
220,2021-09-01,建筑材料行业报告：建议重视21H2玻纤行业景气边际向上动能,新浪
221,2021-09-01,光伏板块跌幅加深，隆基、通威、阳光电源、中环、福斯特等集体下挫,Wind
222,2021-08-31,150亿元到手火速建仓！刘格菘隐形重仓股曝光,Wind
223,2021-08-31,狂赚超100%！两只基金一起炸了，更有这3只也快翻倍了,Wind
224,2021-08-31,暴利“黑金”与受损的中下游：光伏产业链的悲喜并不相通,Wind
225,2021-08-31,新能源、环保领域碳中和动态追踪(二十八)：光伏政策有望超预期 需求提振利好全产业链,光大证券
226,2021-08-30,电力设备周报：下达补贴890亿支持光伏等可再生能源 成本上扬光伏组件酝酿涨价,新浪
227,2021-08-30,电气设备行业周报：光伏下游景气度提升 天赐材料再度加码产能扩张提速,新浪
228,2021-08-30,港股收评：恒指涨0.52% 物流、光伏股走强福莱特玻璃涨超12％,金融界
229,2021-08-30,恒指震荡收涨0.52%：周期板块造好，金融地产走弱,Wind
230,2021-08-30,港股异动 | 光伏股午后涨幅扩大 福莱特玻璃涨超12% 信义光能涨超9%,智通财经
231,2021-08-30,港股光伏太阳能、新能源板块持续拉升,Wind
232,2021-08-30,电力设备与新能源行业周观察：宁德时代储能业务快速成长 风电行业变化正当时,新浪
233,2021-08-30,【异动股】福莱特玻璃(06865.HK)涨4.57%,财华社
234,2021-08-30,光伏板块一改颓势股价大涨，晶澳科技、福莱特涨幅均超25%「光伏周评榜」,华夏时报
235,2021-08-28,硅料供需紧平衡，多家光伏公司盈利倍增,Wind
236,2021-08-27,A股午盘综述：权重股发力沪指涨0.5%，资源股持续活跃,Wind
237,2021-08-27,快讯：福莱特涨停 报于56.32元,金融界
238,2021-08-27,【异动股】福莱特玻璃(06865.HK)涨3.91%,财华社
239,2021-08-26,福莱特：股东蒋纬界及郑永拟合计减持不超36.4万股 拟减持股份,智通财经
240,2021-08-26,福莱特：高管及特定股东拟合计减持公司股份不超36.4万股,Wind
241,2021-08-26,【异动股】福莱特玻璃(06865.HK)涨3.56%,财华社
242,2021-08-25,港股收评｜光伏概念强势上涨！福莱特玻璃、洛阳玻璃股份均涨近12％,腾讯网
243,2021-08-25,【行情】光伏板块继续走强，多股涨停，天合光能拉升涨近11%，福莱特、芯能科技等此前涨停，通威股份等继续走高,金十数据
244,2021-08-25,【行情】光伏板块午后持续走高，金博股份、海优新材、恒星科技、清源股份、金辰股份、嘉泽新能、福莱特、鑫铂股份、意华股份、帝科股份、天合光能等十余股涨停或涨幅超10%,金十数据
245,2021-08-25,福莱特：公司四大板块的玻璃销量均比较稳定,每日经济新闻
246,2021-08-25,港股光伏板块快速走高，顺风清洁能源涨20%,Wind
247,2021-08-25,福莱特：金属原材料的上涨对公司主要产品的影响较小,Wind
248,2021-08-25,财联社8月25日电，港股光伏板块快速走高，顺风清洁能源涨20%，洛阳玻璃、福莱特玻璃涨7.8%，北控清洁能源涨5.9%，信义光能涨4.8%，信义玻璃涨4%。,财联社
249,2021-08-25,福莱特：公司目前光伏玻璃的市占率大概在25%-30%之间,Wind
250,2021-08-25,【异动股】福莱特玻璃(06865.HK)涨4.44%,财华社
251,2021-08-24,中国电信大跌900亿！上市3天2跌停，公司紧急回应,Wind
252,2021-08-23,电气设备行业周报：异质结技术再迎突破 宁德时代牵手上海政府,新浪
253,2021-08-23,中小公司研究：一周策略回顾与展望,新浪
254,2021-08-18,福莱特(601865)公司点评：股权激励收入目标高增长 继续看好中长期量价双击,新浪
255,2021-08-18,福莱特 股价涨5.8% 现报45.38元,乐居财经
256,2021-08-18,【中原电气设备】光伏行业周报：硅料价格再次上涨，鼓励企业自建或购买调峰能力,中原证券研究所
257,2021-08-17,福莱特(601865.SH)拟推出2021年A股股票期权激励计划,智通财经
258,2021-08-17,福莱特：拟推594.79万份A股股票期权激励计划,财联社
259,2021-08-17,福莱特(601865.SH)拟推594.79万份A股股票期权激励计划,格隆汇
260,2021-08-17,450亿扩产投资！2021年下半年光伏玻璃价格有望小幅回升,智通财经
261,2021-08-17,电气设备行业周观点：铁锂电池单月产量超过三元 光伏产业链价格上涨,新浪
262,2021-08-17,光伏产业链价格趋稳，上下游博弈将持续,Ofweek
263,2021-08-17,碳中和ETF(159790):助力经济转型升级，迈向碳中和,金融界
264,2021-08-16,宁德时代动力及储能电池大幅扩产，顺应全球电动化浪潮,Ofweek
265,2021-08-16,电新行业周报：光伏产业链价格有所上调 国内电车需求维持高景气,新浪
266,2021-08-16,【申港电新|周观点】宁德时代大幅扩产顺应全球电动化浪潮,新能源深度研究
267,2021-08-16,A股早报2021年8月16日星期一,Wind
268,2021-08-15,下周千亿解禁洪流来袭，多只热门概念股在列（附股）,Wind
269,2021-08-15,电气设备行业：磷酸铁锂装机首超三元 光伏需求回暖驱动产业链涨价,广发证券
270,2021-08-14,主力资金最钟情股来了！谁是新晋心动股，谁是主力“心头肉”，30只“长情股”名单出炉,证券时报网
271,2021-08-13,下周两市1300亿市值限售股解禁，环比增加8.89%,Wind
272,2021-08-13,福莱特上半年净利大增173%，2021年已签订三份大单共计252亿元,阿尔法工场
273,2021-08-13,太平洋维持福莱特买入评级，中报业绩点评：产能扩张加速，盈利水平优秀,每日经济新闻
274,2021-08-11,首创证券给予福莱特买入评级，公司简评报告：光伏玻璃扩产加速，规模优势奠定龙头地位,每日经济新闻
275,2021-08-11,134股获买入评级 最新:东方雨虹,中财网
276,2021-08-11,光伏中报大考②丨股价创新高的福莱特，业绩能否持续高速增长？,21世纪经济报道
277,2021-08-11,福莱特(601865)：Q2壁垒利润凸显 H2产能将持续释放,新浪
278,2021-08-11,万联证券维持福莱特买入评级：降价之后业绩仍强，持续签订长单未来可期,每日经济新闻
279,2021-08-11,中银证券维持福莱特增持评级：业绩高增长延续，优质产能稳步扩张,每日经济新闻
280,2021-08-11,福莱特(601865)：规模品类优势显现 期待需求加速,新浪
281,2021-08-11,券商首次关注6股并给予买入评级（8月11日）,Wind
282,2021-08-11,103股获券商买入评级，阳光城目标涨幅达117.56%,Wind
283,2021-08-11,【申港电新|半年报点评】福莱特(601865.SH):龙头盈利能力凸显 产能持续大幅扩张,新能源深度研究
284,2021-08-11,申港证券维持福莱特买入评级，2021半年报点评：龙头盈利能力凸显，产能持续大幅扩张,每日经济新闻
285,2021-08-11,【东吴晨报0811】【策略】【固收】【个股】长安汽车、天正电气、神马电力、国茂股份、福莱特、华东医药、通策医疗、中国电信,东吴研究所
286,2021-08-11,【天风Morning Call】晨会集萃20210811,天风研究
287,2021-08-10,西南证券首予福莱特买入评级：业绩略超预期，优质产能持续投放，目标价68.64元,每日经济新闻
288,2021-08-10,山西证券维持福莱特买入评级：长单合同储备充足，产能扩张龙头地位稳固,每日经济新闻
289,2021-08-10,浙江区域股市周报：双枪科技跌出板块市值10强 142家机构调研永兴材料,每日经济新闻
290,2021-08-10,彩虹新能源被严重低估，将在A股上市追赶龙头,Ofweek
291,2021-08-10,福莱特(601865)半年报点评：光伏玻璃龙头挺过压力测试 积极扩产未来成长可期,新浪
292,2021-08-10,国盛证券维持福莱特增持评级：光伏玻璃龙头挺过压力测试，积极扩产未来成长可期,每日经济新闻
293,2021-08-10,【东吴电新】福莱特21年中报点评：出货快速增长，扩产巩固龙头地位,新兴产业汇
294,2021-08-10,西部证券维持福莱特增持评级：大尺寸及双玻出货占比不断提升，产能持续扩张,每日经济新闻
295,2021-08-10,国金证券：维持福莱特(601865.SH)“买入”评级 光伏玻璃需求边际向好,智通财经
