,2021-12-31,上海莱士两股东被批评 被强平未提前15个交易日公告 股票质押异常,中国经济网
162,2021-07-23,首款国产「重组人凝血因子Ⅷ」获批上市 来自神州细胞工程,Insight数据库
163,2021-07-21,上海莱士：郑州莱士厂区未受暴雨较大影响,Wind
164,2021-07-21,华润医药入主 博雅生物股价一路上扬,新京报
165,2021-07-20,2021年中国人血白蛋白行业市场供需现状分析 供需规模均不断扩大,前瞻研究院
166,2021-07-20,解盘：上证50屡创新低，血液制品、储能、白酒、燃料电池领涨,Wind
167,2021-07-17,上海莱士血液制品股份有限公司,证券时报
168,2021-07-16,23亿！华润医药拿下知名药企,赛柏蓝
169,2021-07-16,上海莱士(002252.SZ)全资子公司获得药品注册证书,智通财经
170,2021-07-16,财华聚焦|风口将至之国产疫苗:华兰生物何时能够回归千亿市值？,财华社
171,2021-07-09,解密主力资金出逃股连续5日净流出543股,证券时报网
172,2021-07-09,上海莱士(002252.SZ)刘峥辞去财务负责人职务,智通财经
173,2021-07-09,上海莱士：财务负责人刘峥辞任,每日经济新闻
174,2021-07-08,重磅交易落地！一家困境反转的生物制品公司，拥有巨大上升空间！,瞪羚社
175,2021-07-08,华润收购博雅生物，国资委已原则同意,医药云端工作室
176,2021-07-08,血制品行业深度报告：国家生物安全战略物资，血制品行业迎来大机遇！【东吴医药朱国广团队】,国广有话说
177,2021-07-08,确认！华润医药收购博雅生物,赛柏蓝
178,2021-07-08,思享会｜7月新药研发行业盛宴，只差一个你,CPhI制药在线
179,2021-07-07,确认！华润医药收购知名药企,赛柏蓝
180,2021-07-07,医药生物行业资金流出榜：5股净流出资金超亿元,证券时报网
181,2021-07-05,“押注”家居赛道，黄炽恒给海伦堡做加法,乐居财经
182,2021-07-01,22只股即将分红抢权行情能否开启？,证券时报网
183,2021-06-29,6月29日上市公司晚间公告速递,新浪
184,2021-06-29,上海莱士：下属公司获得单采血浆许可证,财联社
185,2021-06-29,上海莱士：公司下属沂源县莱士单采血浆有限公司获得单采血浆许可证,Wind
186,2021-06-24,上海莱士(002252.SZ)2020年度权益分派10派0.25元 股权登记日为7月1日,格隆汇
187,2021-06-24,上海莱士(002252.SZ)每10股派0.25元,智通财经
188,2021-06-23,上海莱士：控股股东质押债务违约导致所持公司股份被动减持 违约失信,Wind
189,2021-06-23,上海莱士：目前，公司所处血液制品行业景气度较高,每日经济新闻
190,2021-06-23,上海莱士：目前拥有四个生产基地，单采血浆站41个（含1个分站）,每日经济新闻
191,2021-06-23,上海莱士：公司暂无相关股票回购或股权激励计划,Wind
192,2021-06-22,120家公司遭重要股东减持涉及金额70.06亿元（附股）,证券时报网
193,2021-06-21,上海莱士(002252.SZ)：莱士中国被动减持5197股 减持股份,格隆汇
194,2021-06-21,上海莱士(002252.SZ)：科瑞天诚被动减持5.0969万股 减持股份,格隆汇
195,2021-06-21,上海莱士(002252.SZ)：莱士中国原质押给湘财证券的1075万股公司股份因逾期未还款被法院强制执行 股票质押异常,格隆汇
196,2021-06-21,上海莱士：控股股东莱士中国与科瑞天诚被动减持公司股份，合计占总股本0.0009% 减持股份,财联社
197,2021-06-21,上海莱士：科瑞天诚被动减持公司0.0008%股份 减持股份,Wind
198,2021-06-21,上海莱士(002252.SZ)控股股东科瑞天诚被动减持5.10万股 减持股份,智通财经
199,2021-06-21,【重磅】粤开医药|2021年中期策略及下半年展望：长坡厚雪，后发先至,粤开崇利论市
200,2021-06-15,深交所向上海莱士发出问询函 问询,每日经济新闻
201,2021-06-11,国内外药企CEO薪酬哪家强？再生元1.35亿美元薪酬,中国网
202,2021-05-31,上海莱士(002252.SZ)：郑州莱士预计最快于2021年6月底前递交相关补充资料,格隆汇
203,2021-05-26,海南子公司获单采血浆许可 博雅生物有望“挤进”血制品龙头行列,贝壳财经
204,2021-05-25,解密主力资金出逃股连续5日净流出449股,证券时报网
205,2021-05-25,80家公司遭重要股东减持涉及金额56.92亿元（附股）,证券时报网
206,2021-05-24,行业集中度愈来愈高，血液制品市场的下一个争夺点在哪里？,火石创造
207,2021-05-21,上海莱士(002252.SZ)：今年4月21日以来科瑞天诚已被动减持2649.7092万股 减持股份,格隆汇
208,2021-05-21,上海莱士：科瑞天诚被动减持约2649.71万股 减持股份,每日经济新闻
209,2021-05-21,上海莱士：科瑞天诚被动减持0.39%股份 减持股份,Wind
210,2021-05-17,博雅生物回复问询函：公司血液制品业务毛利率高于可比上市公司平均水平，具有合理性 问询,Wind
211,2021-05-10,博雅生物年报遭遇十连问！易主华润正在推进 控制人变化,国际金融报
212,2021-05-10,2021上海制造品牌价值榜发布，上汽集团、金龙鱼、宝钢位居前三,21世纪经济报道
213,2021-05-08,2021年中国血液制品竞争格局及市场份额分析 细分产品企业表现良好(附批签发数据),前瞻研究院
214,2021-05-06,2021Q1血制品批签发数据跟踪报告：批签发同比下降 主要品种供给明显下滑,新浪
215,2021-05-05,知名药企，董事长薪酬公布（附名单）,赛柏蓝
216,2021-05-04,下一个“药明康德”来了？,36氪
217,2021-04-30,收入创十年新高！投行盛宴之下：人才换血，内卷加剧,Wind
218,2021-04-29,物业公司海悦生活递表上市：实控人是民间“股神” 能不能带来惊喜？,新浪
219,2021-04-28,国盛策略：基金发行回暖 交投情绪修复,新浪
220,2021-04-28,[路演]上海莱士：与基立福在生产质量规范、销售渠道等领域展开合作,全景网
221,2021-04-28,[路演]上海莱士：郑州莱士将于2021年6月复产,全景网
222,2021-04-28,新股前瞻|海伦堡“扶子上位”：海悦生活赴港背后，成色究竟如何?,智通财经
223,2021-04-26,投资人视角｜科创板指引细化专利要求，泡沫将至还是始见真金【报告期：0419-0425 2021】,E药经理人
224,2021-04-25,机构持仓清单来了！这些个股被重点加仓（附表）,Wind
225,2021-04-23,上海莱士去年净利13亿 商誉计提减值4.6亿净值52.6亿 资产异常,中国经济网
226,2021-04-22,上海莱士：股东科瑞天诚所持股份被动减持4960.9万股 减持股份,Wind
227,2021-04-22,上海莱士(002252.SZ)2020年净利升117.75%至13.24亿元拟10派0.25元,格隆汇
228,2021-04-22,上海莱士：2020年计提资产减值准备合计1.43亿元 资产异常,Wind
229,2021-04-22,上海莱士：控股股东莱士中国被动减持5082.56万股 减持股份,Wind
230,2021-04-22,上海莱士(002252.SZ)一季度归母净利同比增长37.14%至4.26亿元,智通财经
231,2021-04-22,上海莱士：2020年净利润13.24亿元 同比增长117.75%,中证网
232,2021-04-22,上海莱士：一季度净利润同比增长37.14%,Wind
233,2021-04-22,上海莱士：2020年净利润同比增长117.75%,Wind
234,2021-04-21,申万宏源：子公司对RAASCHINA及上海世联行提起诉讼仲裁 诉讼纠纷,资本邦
235,2021-04-20,申万宏源(06806.HK)子公司对RAASCHINA及上海世联行提起诉讼仲裁 诉讼纠纷,格隆汇
236,2021-04-20,又一巨头中概股私有化落定：309亿，超豪华PE天团出手,猎云网
237,2021-04-08,股票基金请远离这家千亿公司,新浪
238,2021-04-06,融资客青睐8股，中原传媒买入占比高达40.65%,Wind
239,2021-03-29,上海莱士： 郑州莱士管理层预计现有车间复产时间为2021年6月,每日经济新闻
240,2021-03-26,2021年1-2月血制品批签发数据跟踪报告：2月及1-2月同比明显下滑 主要品种供给减少,新浪
241,2021-03-23,2021年中国生物制药行业产业链现状及区域格局分析 整体市场集中度相对较低,前瞻研究院
242,2021-03-23,医药行业点评报告：2月血制品行业批签发数据点评,新浪
243,2021-03-22,科士达：并非计划在二级市场上进行买卖股票操作,每日经济新闻
244,2021-03-15,A股共发生106宗大宗交易成交20.64亿元（3月15日）,Wind
245,2021-03-15,2020年A股减持榜：雪浪环境遭减持比例最高，欣天科技高管套现52次 减持股份,时代周报
246,2021-03-15,上海莱士今日大宗交易成交50万股，成交价7.62元溢价0.0%,Wind
247,2021-03-13,医药行业月报：风格切换 关注一季报业绩预期改善的重点个股,新浪
248,2021-03-12,上海莱士：预计未来白蛋白产品供给呈现偏紧局面，市场预期部分产品价格可能有一定的上浮空间,每日经济新闻
249,2021-03-12,【中原晨会0312】市场分析、医药行业月报、机械行业点评报告,中原证券研究所
250,2021-03-11,【中原晨会0311】市场分析、医药行业月报、通信行业周报,中原证券研究所
251,2021-03-10,"上海莱士现1笔大宗交易 共成交2,476.80万元",新浪
252,2021-03-10,上海莱士今日大宗交易成交320万股，成交价7.74元溢价0.0%,Wind
253,2021-03-10,2020年血制品批签发数据跟踪报告：整体批签发同比增长 白蛋白、静丙全年实现增量,新浪
254,2021-03-10,国泰中证生物医药ETF净值下跌3.96%,新浪
255,2021-03-09,433亿主力资金近三日大量撤出中小创,证券时报网
256,2021-03-08,生物医药行业深度报告：2020年血液制品批签发数据梳理,新浪
257,2021-03-08,平安证券--医药生物行业：2020年血液制品批签发数据梳理【行业研究】,金融界股吧
258,2021-03-05,博雅生物或被“ST”，7个月股价已腰斩，私募大佬冯柳身影浮现 风险警示,搜狐
259,2021-03-05,2万股民懵了：一度飚涨超100%的博雅生物可能要被ST 风险警示,每日经济新闻
260,2021-03-05,私募大佬冯柳意外“躺枪”？博雅生物可能要被ST,证券时报网
261,2021-03-03,前公募大佬叶俊英执掌粤民投，半年内5次增持中国宝安，机构开始密集聚焦“双低”个股,每日经济新闻
262,2021-03-03,上海莱士：对GDS按持股比例45%计算享有的净损益,每日经济新闻
263,2021-03-02,上海莱士(002252.SZ)：控股股东及一致行动人被动减持6.781%股份 减持股份,格隆汇
264,2021-03-02,上海莱士：股东莱士中国累计被动减持4.57%股份 减持股份,Wind
265,2021-03-02,上海莱士：控股股东莱士中国及其一致行动人被动减持约3.08亿股 减持股份,每日经济新闻
266,2021-03-02,天坛生物33亿元定增争议,证券市场周刊
267,2021-02-26,医药生物行业：人纤维蛋白原十年回顾,华安证券
268,2021-02-26,医药行业点评报告：1月血制品行业批签发数据点评,新浪
269,2021-02-25,血制品龙头业绩增长乏力 背后原因为何？ 盈利能力下降,搜狐
270,2021-02-24,上海莱士：公司及相关当事人被通报批评 其他违规处罚,Wind
271,2021-02-20,血制品数据库月度跟踪(2021年1月),新浪
272,2021-01-29,上海莱士：预计2020年净利润同比增长110%-140%,Wind
273,2021-01-29,上海莱士控股股东被动减持公司股份达2.211% 减持股份,全景网
274,2021-01-28,减持公告汇总 | 这家公司股东拟减持不超4%股份,第一财经
275,2021-01-28,上海莱士(002252.SZ)控股股东莱士中国被动减持公司股份超过1% 减持股份,智通财经
276,2021-01-28,上海莱士(002252.SZ)：莱士中国累计被动减持2.211%股份 减持股份,格隆汇
277,2021-01-28,华安证券--医药生物行业：静注人免疫球蛋白十年回顾【行业研究】,金融界股吧
278,2021-01-25,"上海莱士现1笔大宗交易 共成交5,194.20万元",新浪
279,2021-01-25,上海莱士今日大宗交易成交660万股，成交价7.87元溢价3.28%,Wind
280,2021-01-22,疫情下的血制品板块——抓住供给下降带来的机会,36氪
281,2021-01-19,上海莱士与基立福国际新增日常关联交易 涉及金额2.83亿美元,GPLP犀牛财经
282,2021-01-16,七年大数据还原A股趋势，“逢并购必涨”时代落幕,Wind
283,2021-01-12,【山证医药】2020年1-11月血制品批签发数据跟踪报告：11月同比下降 1-11月仍维持增长,新浪
284,2021-01-12,风向真的变了，涨到极致股东减持意愿也降低？,Wind
285,2021-01-11,A股共发生97宗大宗交易成交36.51亿元（1月11日）,Wind
286,2021-01-11,"上海莱士现1笔大宗交易 共成交2,291.20万元",新浪
287,2021-01-05,上海莱士(002252.SZ)拟与基立福国际签署独家代理协议,格隆汇
288,2021-01-05,27亿元定增方案获受理 博雅生物拟转投华润,产业经济新闻网
289,2021-01-04,重组人血清白蛋白的研发进展,药渡
290,2021-01-02,"IPO月均33家！投行迎""大年"" 1.71万亿股权承销哪家强？""三中一华""夺得半壁江山 兴业平安浙商",券商中国
291,2020-12-30,上海莱士(002252.SZ)：莱士中国10月28日以来被动减持比例达1.11% 减持股份,格隆汇
292,2020-12-30,每经午时丨国产新冠疫苗最新数据：保护效力为79.34%；最高法：父母不得因子女变更姓氏而拒付抚养费；海南新增6家离岛免税店,每日经济新闻
293,2020-12-30,上海莱士：10月28日以来莱士中国合计被动减持持有的1.11%公司股份 减持股份,Wind
294,2020-12-25,医药生物行业简评报告：云南出台单采浆站设置规划 优先推荐天坛生物,新浪
295,2020-12-23,招商基金逆势加仓、“一拖多”状况引质疑，“踩雷”常客想喊冤？ 重仓股票异动,搜狐
296,2020-12-16,晚间重要公告2020年12月16日星期三,Wind
297,2020-12-16,上海莱士：控股股东科瑞天诚投资控股有限公司及一致行动人被动减持2%公司股份 减持股份,Wind
298,2020-12-16,上海莱士(002252.SZ)：科瑞天诚投资控股已被动减持13502.6333万股 减持股份,格隆汇
299,2020-12-16,【干货】生物制药产业链全景梳理及区域热力地图,前瞻研究院
300,2020-12-07,上海莱士：收到上海证监局警示函,Wind
