,2021-12-31,招商局置地(00978)与招商蛇口订立运营协议,智通财经
100,2021-12-10,民营房企融资也回暖！房地产信用债持续反弹、ABS提速、信托短暂升温,第一财经
101,2021-12-10,走过这一年，为新的起点鼓掌,上游新闻
102,2021-12-10,招商蛇口：前11个月销售2827.97亿元，同比增加15.21%,资本邦
103,2021-12-10,招商蛇口助力国家「百万减残工程」，获央视新闻报道,东方网
104,2021-12-10,交易商协会：优先支持企业注册发行债券用于房地产并购,Wind
105,2021-12-10,招商蛇口前11月签约销售金额2828亿元 同比增长15.21%,中国网
106,2021-12-10,招商蛇口前11个月销售2828亿元，花14.9亿获8项目,澎湃新闻
107,2021-12-10,Wind风控日报2021年12月10日星期五,Wind
108,2021-12-10,爆雷房企背后的神秘公司，隐现TCL李东生的地产野心,网易
109,2021-12-09,华润置地签27亿港元ESG贷款 融资回暖下房企分化加速,观点地产网
110,2021-12-09,招商蛇口前11个月签约额近2828亿元，近期新增8个项目,贝壳财经
111,2021-12-09,招商蛇口：11月签约销售金额252.91亿元，同比减少13.57% 盈利能力下降,Wind
112,2021-12-09,招商蛇口1-11月销售金额2828亿元 同比增加15.21%,观点地产网
113,2021-12-09,招商蛇口：前11月签约销售金额2827.97亿元 同比增加15.21%,中金在线
114,2021-12-09,招商蛇口2021年前11个月销售金额增15.21%至2827.97亿元,乐居财经
115,2021-12-09,招商蛇口(001979.SZ)1-11月销售额为2827.97亿元 同比增加15.21%,智通财经
116,2021-12-09,招商蛇口：1-11月实现签约销售金额2827.97亿元,每日经济新闻
117,2021-12-09,招商蛇口：11月实现签约销售金额252.91亿元 同比减少13.57% 盈利能力下降,财联社
118,2021-12-09,招商蛇口：11月销售金额同比减少13.57% 盈利能力下降,Wind
119,2021-12-09,合肥8宗涉宅地块超63亿成交，招商蛇口近17亿竞得其一,贝壳财经
120,2021-12-09,11月份招商蛇口融资额最高达60亿元 港龙中国成本最高13.5%,中华网
121,2021-12-09,首开股份首板,Wind
122,2021-12-09,地产股垂直拉升，财信发展、招商积余、首开股份、招商蛇口涨幅靠前,Wind
123,2021-12-09,沪市多家房企启动供应链ABS发行,证券时报
124,2021-12-09,招商蛇口联合体底价1.83亿元摘深圳南山教育用地 拟建高端国际学校,观点地产网
125,2021-12-09,盘前必读丨国产新冠中和抗体药来了，方大系正式入主海航航空主业,第一财经
126,2021-12-09,优质房企拟发行并购票据，地产瞄准“良性循环”,Wind
127,2021-12-08,信用债日报：地产债延续涨势，公司债承销规范再次修订,Wind
128,2021-12-08,全年揽金逾1700亿！上海“房地联动”下第三批土拍仍无一宗流拍「鏖战“两集中”」,华夏时报
129,2021-12-08,招商蛇口(001979)：逆境融资优势凸显 拿地毛利率显著回升,新浪
130,2021-12-08,房地产公司融资动作频频！政策释放“暖意”，机构评级“一边倒”,证券时报
131,2021-12-08,招商蛇口16.97亿元竞得合肥1宗商住用地 溢价率0.58%,中国网
132,2021-12-08,招商蛇口16.97亿元摘合肥新站区混合用地,观点地产网
133,2021-12-08,招商蛇口拟在银行间债市注册发行并购票据用于兼并收购,Wind
134,2021-12-08,房地产行业：政治局表态满足合理住房需求 行业进入政策友好期,新浪
135,2021-12-08,据证券时报：记者从知情人士处获悉，招商蛇口等企业计划近期在中国银行间市场交易商协会注册发行并购票据，募集资金用于房地产项目的兼并收购,金十数据
136,2021-12-08,招商蛇口拟在银行间债市注册发行并购票据用于兼并收购,e公司
137,2021-12-08,房地产行业2022年投资策略：岁寒 然后知松柏之韧也,广发证券
138,2021-12-08,招商积余(001914)：整合调整基本结束 有望迈入高质量成长通道,新浪
139,2021-12-08,信用债回暖，ABS预热，地产融资触底反弹,中指院
140,2021-12-08,政策促进房地产业健康发展，房企融资势头向好,Wind
141,2021-12-08,沪市多家房企启动供应链ABS发行,Wind
142,2021-12-08,沪市多家房企启动供应链ABS发行,证券时报
143,2021-12-07,房地产专题报告：边际维稳正在加码 重申阿尔法的大时代 贝塔的小时代,新浪
144,2021-12-07,对12月6日央行宣布全面降准的点评：全面降准对“杠杆稳健型”民企地产更为利好,光大证券
145,2021-12-07,首开股份出质北京毓锦置业4.5亿元股权予招商蛇口,乐居财经
146,2021-12-07,解盘：降准利好来袭，金融、基建、消费领涨，新能源走低,Wind
147,2021-12-07,地产全线拉升，金地集团劲升6%！地产ETF（159707）盘中再创新高！,资本邦
148,2021-12-07,房地产开发板块开盘走强，中交地产涨超7%，金地集团、招商蛇口、金科股份、万,新浪
149,2021-12-07,【行情】地产股开盘强势，中交地产2连板，金地集团、招商蛇口、金科股份、万科A、保利发展等悉数高开,金十数据
150,2021-12-07,房地产：政治局表态积极 地产股配置契机,新浪
151,2021-12-07,房地产周报#271：12月首周新房销售跌幅收窄,新浪
152,2021-12-06,房地产行业研究：央行银保监关注恒大事件 融资环境或将改善,新浪
153,2021-12-06,11月行业动态报告：销售同、环比均改善 一行两会释放积极信号,新浪
154,2021-12-06,房地产行业销售周报：11月八成房企单月业绩同比降低 信贷融资有所转暖 盈利能力下降,新浪
155,2021-12-06,A股收盘综述：锂电池、半导体双线回撤，创业板指跌超2%退守3400点！,Wind
156,2021-12-06,政策暖意明显！地产行业融资逐步恢复正常 地产股集体活跃反弹,财华社
157,2021-12-06,永远的赛道？一公司拟置出23家地产子公司，置入新能源资产,Wind
158,2021-12-06,解盘：人气回暖资金回流，纯碱、证券、电力、ST领涨,Wind
159,2021-12-06,A股午盘综述：券商、地产中路推进，绿色电力异军突起；沪指创出两个月新高！,Wind
160,2021-12-06,A股快报 | 招商蛇口上涨4.36% 广宇发展开盘涨停,观点地产网
161,2021-12-06,天风证券：长期挖掘房地产行业“住房场景价值”,财联社
162,2021-12-06,【行情】地产股开盘走强，新黄浦秒板，招商蛇口、保利发展、招商积余、金科股份、万科A等冲高,金十数据
163,2021-12-06,地产股拉升，济南高新、新黄浦涨停,Wind
164,2021-12-06,新房二手房周报：重点满足首套房、改善性住房按揭需求 合理发放房地产开发贷款、并购贷款,新浪
165,2021-12-06,港股盘前必读：滴滴启动在香港上市，多家房企启动固收产品发行,Wind
166,2021-12-06,陆家嘴财经早餐2021年12月6日星期一,Wind
167,2021-12-06,融资恢复，房地产配置价值渐显,Wind
168,2021-12-05,多家房企计划近期启动固收产品发行,Wind
169,2021-12-05,超三成地块溢价成交！上海第三轮集中土拍不“冷”，招商蛇口斥资超105亿成最大赢家,证券时报
170,2021-12-05,招商蛇口债券市场融资有序推进 深交所积极支持房企合理融资需求,证券时报
171,2021-12-05,招商蛇口债券市场融资有序推进，多项产品发行计划正在开展,观点地产网
172,2021-12-05,多只地产债于深交所发行 监管部门表态支持房地产正常融资,21世纪经济报道
173,2021-12-05,多家房企拟于近期启动发行计划 深交所债券市场融资渠道畅通有序,证券时报
174,2021-12-04,招商蛇口(001979)动态报告：开发与运营并举 提质增效正当时,新浪
175,2021-12-03,房地产行业简评报告：百强业绩放缓态势不改 单月销售同环比双降 盈利能力下降,新浪
176,2021-12-03,深圳免税与招商蛇口召开深化合作座谈会,格隆汇
177,2021-12-03,A股快报 | 21只重点房企8只上涨 招商蛇口现涨2.21%,观点地产网
178,2021-12-03,招商蛇口：“抢地”大户 | 闯关⑦,乐居财经
179,2021-12-03,第三轮集中供地“棋至中局”,Wind
180,2021-12-02,难言回温！上海第三次集中供地：国资成主流，招商蛇口不惧高溢价持续“抄底”,21世纪经济报道
181,2021-12-02,上海“两集中”供地第四日8宗地块揽金127.75亿元 招商蛇口、龙信等均有斩获,中金在线
182,2021-12-02,上海第三批集中供地：第4日收金127亿 招商蛇口联合体27亿再落子,观点地产网
183,2021-12-02,招商蛇口联合体27.05亿元底价摘得上海1宗住宅用地,中金在线
184,2021-12-02,11月金股组合亏损1.76% 12月荐股名单出炉 亏损,新浪
185,2021-12-02,上海第三批集中供地：招商蛇口联合体33.57亿斩获青浦区宅地,观点地产网
186,2021-12-02,中信证券：明年3月，房地产有望迎来新起点,财联社
187,2021-12-02,招商蛇口联合体33.57亿元竞得上海1宗住宅用地 溢价率9.08%,中金在线
188,2021-12-02,中信证券：明年3月地产行业有望迎来新起点,Wind
189,2021-12-02,上海土拍央企成主力，中小房企也频频“冒头”,Wind
190,2021-12-02,"楼市依旧""低温""！百强房企销售业绩大降",Wind
191,2021-12-01,房地产行业点评：11月单月量减价升 多数房企同比下降-11月百强房企销售点评,新浪
192,2021-12-01,4天减少210.61亿对外担保余额，招商蛇口隐形负债不容忽视 大额借贷担保,观察者网
193,2021-12-01,11月房地产ABS发行审核有何变化？,债券池
194,2021-12-01,“沟通传递价值，交流创造良好生态”——2021深圳辖区上市公司投资者网上集体接待日活动成功举办,全景网
195,2021-12-01,招商蛇口以45.29亿元竞得浦东新区7.9万平地块，溢价9.39%,乐居财经
196,2021-12-01,11月百强销售点评：基本面持续下行 需要刚需按揭加速变化,新浪
197,2021-12-01,招商蛇口超45亿竞得上海浦东新区一宗宅地，溢价率9.4%,贝壳财经
198,2021-12-01,上海三轮土拍|招商蛇口45.3亿得浦东宅地 溢价率9.39%,金融界
199,2021-12-01,招商蛇口45.29亿元竞得上海1宗住宅用地 溢价率9.39%,中国网
200,2021-12-01,房地产板块早盘拉升，招商蛇口、金地集团涨超4%,乐居财经
201,2021-12-01,【东北地产】行业周报：多城开启三批次集中供地，成都广州放松预售资金监管,东北证券研究所
202,2021-12-01,大湾区红利释放新趋向，链接长三角特大城市——南京，产业协同共迎新机遇,Wind
203,2021-11-30,房地产周报2021第47周：11 月重点城市成交降幅企稳、多地发布第三批土拍计划,新浪
204,2021-11-30,房地产开发2022年年度策略行业策略：静待行业出清 重塑竞争格局,新浪
205,2021-11-29,杭州首个国际化银龄养老社区云启幕!,中国贸易新闻网
206,2021-11-29,招商蛇口8.55亿元竞得合肥1宗住宅用地 溢价率8.43%,中国网
207,2021-11-29,招商蛇口挂牌转让深圳嘉城置地51%股权，底价1元,乐居财经
208,2021-11-27,"招商蛇口首家壹棠服务公寓大揭秘,限量房源面市!",中经导报
209,2021-11-27,11月以来房地产企业债券发行注册齐放量,Wind
210,2021-11-26,招商蛇口：公司伊敦号目前已通航深圳-三亚航线,Wind
211,2021-11-26,10月龙头月报|寻找长周期估值修复,微信
212,2021-11-26,房地产行业：国企“包场” “三限”继续,新浪
213,2021-11-26,结束三连降！11月房企融资环比大增近70%,Wind
214,2021-11-26,A股快报 | 21只重点房企全数下跌 招商蛇口下跌2.1%,观点地产网
215,2021-11-26,回暖？深圳土拍收官战胶着：为抢4宗地厮杀3.5小时 抢到后起立欢呼,时代财经
216,2021-11-26,养老产业迎来新机遇，54只个股排排坐,Wind
217,2021-11-25,深圳年内最后一场土拍：半数地块底价成交，专家称遇冷缘于楼市降温,时代周报
218,2021-11-25,前10月目标完成率不及预期，房企提前开启“年终冲刺模式”,Wind
219,2021-11-25,招商积余：截至2021年6月30日，公司受托管理控股股东招商蛇口自持项目24个,每日经济新闻
220,2021-11-25,美好康养 杭州招商观颐之家即将启幕,质量新闻网
221,2021-11-25,合计135.6亿元！金地、中交地产、滨江在银行间市场注册发行债务融资工具,乐居财经
222,2021-11-25,机构近五日首次青睐36只个股,第一财经
223,2021-11-25,成都住建局公告点评：预售资金监管改善 增加房地产贷款投放额度,新浪
224,2021-11-25,20万亿赛道出重磅政策，关乎近2亿人，养老概念股来了,Wind
225,2021-11-25,56倍！44倍！第二批公募REITs询价场面太火爆,Wind
226,2021-11-25,涉房融资回暖，发债主体现分化,Wind
227,2021-11-25,融资端回暖，机构关注房地产板块市场机会,Wind
228,2021-11-24,首开股份的融资“暗道”,乐居财经
229,2021-11-24,第二批公募REITs产品正式发行，平均有效认购倍数超50倍,Wind
230,2021-11-24,招商蛇口为合肥招盛提供11亿元担保 大额借贷担保,乐居财经
231,2021-11-24,多元业务优势显现 招商蛇口股价连续3周上涨三成,金融界
232,2021-11-24,A股快报 | 地产板块收涨0.41% 招商蛇口领涨5.87%,观点地产网
233,2021-11-24,市场降准预期渐浓,Wind
234,2021-11-24,A股快报 | 21只重点房企全部上涨 招商蛇口领涨5.42%,观点地产网
235,2021-11-23,招商蛇口(001979)：子公司为SA基金提供担保 大额借贷担保,资本邦
236,2021-11-23,招商蛇口子公司为SA基金提供29.93亿等值人民币港币担保 大额借贷担保,金融界
237,2021-11-23,招商蛇口：截至公告日，公司及控股子公司的对外担保余额为350.58亿元 大额借贷担保,每日经济新闻
238,2021-11-23,招商蛇口为SA基金提供29.93亿等值人民币港币担保 大额借贷担保,乐居财经
239,2021-11-23,招商蛇口：子公司为SA基金申请29.93亿等值人民币港币的银行贷款提供连带责任保证,Wind
240,2021-11-23,招商蛇口：为SA基金提供29.93亿等值人民币港币担保 大额借贷担保,北京商报
241,2021-11-23,招商蛇口：为控股子公司提供担保额度余额为310.38亿元 大额借贷担保,北京商报
242,2021-11-23,国盛证券首次给予招商蛇口买入评级：央企龙头受益集中度提升，毛利率即将走出至暗时刻,每日经济新闻
243,2021-11-23,国盛证券：给予招商蛇口买入评级,证券之星
244,2021-11-23,房地产周报：销售延续低迷 房贷利率下行,新浪
245,2021-11-22,招商蛇口综合运营拓新 招商积余牵手广投集团发力广西,搜狐
246,2021-11-22,房地产行业：银保监会披露信贷投放数据点评：房地产合理贷款需求得到满足 刚需按揭边际改善,新浪
247,2021-11-22,房地产土地周报：土地供应同环比降温 楼市因城施策,新浪
248,2021-11-22,房地产行业：三低地产,新浪
249,2021-11-22,信用风险监测：多家国有房企银行间融资加速 未来房企仍面临四方面压力,新浪
250,2021-11-22,招商蛇口：完成发行15亿元中期票据 票面利率3.23%,中金在线
251,2021-11-22,每日理财观察：央行发布三季度货币政策执行报告,Wind
252,2021-11-22,房企融资“解冻”？国企发债忙，民企待“开闸”,新浪
253,2021-11-21,11月房企银行间发债已近300亿，涉房融资回暖但分化加剧,Wind
254,2021-11-21,信用债回顾：一级发行回升 关注地产政策大方向和边际调整,新浪
255,2021-11-20,100亿元！这家知名房企获银行支持,中证报
256,2021-11-20,银行开出房企融资白名单？银行表示“没听说”,Wind
257,2021-11-20,招商蛇口：全资子公司拟出资1亿元参与投资私募基金,中证网
258,2021-11-20,金地集团：9月以来大家人寿减持6%，不涉及公司控制权变化 减持股份,澎湃新闻
259,2021-11-20,招商局蛇口工业区控股股份有限公司 2021年度第一期中期票据发行结果 公告,证券时报
260,2021-11-20,北交所公司吉林碳谷 中信证券研判还有逾八成上涨空间,投资快报
261,2021-11-19,夜读·房企融资｜绿城房地产、首开股份拟发行中期票据,新京报
262,2021-11-19,房地产行业：保障性租赁住房加快落地,新浪
263,2021-11-19,招商蛇口：成功发行2021年度第九期超短期融资券,Wind
264,2021-11-19,招商蛇口：成功发行2021年度第一期中期票据,Wind
265,2021-11-19,招商蛇口投资深圳产业创新私募股权基金 规模2.004亿元,观点地产网
266,2021-11-19,招商蛇口于深圳成立产业创新私募股权基金，认缴出资2.0004亿元,乐居财经
267,2021-11-19,地产股大涨背后：行业拐点将近，政策暖风频吹,21商评网
268,2021-11-19,招商蛇口：子公司拟与关联方共投设招商蛇口(深圳)产业创新私募股权投资基金合伙企业,财联社
269,2021-11-19,招商蛇口(001979.SZ)拟1亿元参设股权投资基金,智通财经
270,2021-11-19,智通A股机构动向参考(11.19) | 新的操盘模式？,智通财经
271,2021-11-19,爆发！地产龙头放量大涨创新高，政策暖风初现，北向资金大幅加仓股揭秘,微信
272,2021-11-19,招商蛇口公布30亿元中期票据发行结果,金融界
273,2021-11-19,金融街下午茶2021年11月19日星期五,Wind
274,2021-11-19,统计局10月数据点评行业点评：单月商品房销售量价延续负增长 新开工面积同比下滑,新浪
275,2021-11-19,招商蛇口：完成发行30亿元超短期融资券 票面利率2.84%,中金在线
276,2021-11-19,招商蛇口：完成发行30亿元中期票据 票面利率最高3.55%,中金在线
277,2021-11-19,债市综述：现券期货午后转弱，关注下周11月LPR报价,Wind
278,2021-11-19,招商蛇口(001979.SZ)完成发行30亿元2021年度第一期中期票据,智通财经
279,2021-11-19,地产股午后走强，11月债务融资工具发行已超200亿元,澎湃新闻
280,2021-11-19,房地产板块午后拉升 阳光城、招商蛇口一度触及涨停,金融界
281,2021-11-19,快讯：招商蛇口涨停 报于11.9元,金融界
282,2021-11-19,A股收盘综述：券商、地产发力，沪指收复半年线；一板块掀涨停潮,Wind
283,2021-11-19,中金-招商蛇口西南20亿元ABS购房尾款项目状态更新为“已反馈”,乐居财经
284,2021-11-19,地产板块午后单边上扬，阳光城封涨停板,Wind
285,2021-11-19,【行情】房地产开发板块持续走强，万通发展此前涨停，广宇发展、华联控股、阳光城、招商蛇口跟涨,金十数据
286,2021-11-19,A股地产股午后集体翻红，阳光城、招商蛇口涨近7%,乐居财经
287,2021-11-19,地产股持续发力，阳光城等大涨,Wind
288,2021-11-19,招商蛇口永续债居行业首位 或存“明股实债”,中金在线
289,2021-11-19,中金固收10月房地产债券月报：颓势继续，守望黎明,Wind
290,2021-11-18,招商局蛇口工业区控股股份有限公司2021年度第一期中期票据（品种一）流通要素公告,上清所
291,2021-11-18,招商蛇口：双鱼岛启动全岛开发，计划投资280亿,证券时报网
292,2021-11-18,综合发展锚定行业站位，招商蛇口获评“ 2021 年度最具稳健性公司”,ZAKER
293,2021-11-18,房地产行业周报：10月按揭发放加速 多家央企拟发行票据融资,国金证券股份有限公司
294,2021-11-18,2021中国地产时代百强榜发布 招商蛇口荣获房地产最具稳健性公司,新浪
295,2021-11-18,暖风频吹！11月房企银行间市场发债已达300亿,21世纪经济报道
296,2021-11-18,国内财经媒体头版2021年11月18日星期四,Wind
297,2021-11-18,涉房融资回暖，银行间市场发债先行反弹,Wind
298,2021-11-18,涉房融资回暖 银行间市场发债先行反弹,第一财经
299,2021-11-18,万科发文节衣缩食 多家国企甩卖资产,ZAKER
300,2021-11-17,信用债日报：中国奥园债券大跌，涉房融资回暖国字号房企一周发债额超10月全月,Wind
301,2021-11-17,房地产行业：寻找长周期估值修复,新浪
302,2021-11-17,招商蛇口20亿元购房尾款ABS状态更新为“已反馈”,观点地产网
303,2021-11-17,招商蛇口拟以136.94万元转让北京矿融城置业30%股权,中金在线
304,2021-11-17,中国短期融资券及中期票据信用分析周报,新浪
305,2021-11-17,10月一线城市商品住宅价格持续下降 销售规模进一步放缓 盈利能力下降,中国网
306,2021-11-17,房地产周报：多重利好消息下房地产板块强势反弹,新浪
307,2021-11-17,市相丨 “大而强”理论失效 金融机构青睐哪类房企？,财经网
308,2021-11-17,涉房融资回暖，国字号房企一周发债额已超10月全月,Wind
