,2021-12-31,红塔证券：肖淑英因个人原因、华士国因工作调整原因辞去公司董事职务 董监高成员变化,北京商报
24,2021-11-17,中信证券280亿元配股获批，17家券商年内再融资“补血”,Wind
25,2021-11-16,红塔证券：起诉追讨2.67亿元 代资管计划身陷多起诉讼 诉讼纠纷,面包财经
26,2021-11-16,"打造航母券商！""一哥""280亿配股获批，重点发展这些业务",Wind
27,2021-11-15,红塔证券(601236.SH)：余燕波自11月15日起履行监事职责,智通财经
28,2021-11-15,券商行业周报(2021年第四十二期)：北交所明确“行业黑名单” 持续关注财富管理提振作用,新浪
29,2021-11-13,北交所81家公司价值排序，机构提前布局这36家（附股）,新浪
30,2021-11-10,又见券商首席变动！黄文涛出任中信建投首席经济学家,Wind
31,2021-11-06,国内财经媒体头版2021年11月6日星期六,Wind
32,2021-11-06,机构“大跨步”调研精选层公司，公募险资不落人后,Wind
33,2021-11-06,券商积极布局精选层，现身多家公司十大流通股东名单,Wind
34,2021-11-04,红塔证券追讨2.6亿债务，游族网络林奇三名子女成被告 诉讼纠纷,第一财经
35,2021-11-04,追讨2.67亿融资债务 红塔证券起诉游族网络林奇三名未成年子女 诉讼纠纷,金融投资报
36,2021-11-04,三体预告上热搜，背后版权方又出事了！未成年子女被券商起诉要债 诉讼纠纷,深蓝财经
37,2021-11-04,游族网络：林小溪等暂未收到诉讼相关的法院材料文件,Wind
38,2021-11-04,2.67亿元！游族网络林奇子女遭红塔证券追债诉讼 诉讼纠纷,猎云网
39,2021-11-04,11月4日投资避雷针：大基金拟减持安集科技不超2% 红塔证券起诉原游族网络实控人林奇子女 拟减持股份,财联社
40,2021-11-03,红塔证券起诉林奇子女追讨融资款 游族网络控制权转让尚未明确 诉讼纠纷,每日经济新闻
41,2021-11-03,遗产大幅缩水！红塔证券起诉游族网络林奇三名子女偿还债务 诉讼纠纷,21世纪经济报道
42,2021-11-03,红塔证券前3季营收55亿增63% 净利增14%,中国经济网
43,2021-11-03,红塔证券：公司涉及诉讼 诉讼纠纷,Wind
44,2021-10-31,证券21Q3综述：经纪业务高增长净利润增速略有放缓,新浪
45,2021-10-30,赚翻了！38家上市券商三季度成绩单揭晓！中信证券再夺第一,Wind
46,2021-10-30,10家券商前三季度营收超200亿元，4家券商净利润超百亿元,Wind
47,2021-10-29,红塔证券：前三季度净利润10.55亿元，同比增长14.15%,资本邦
48,2021-10-29,红塔证券第三季度净利同比增长113.86%,凤凰网
49,2021-10-29,精选层公司备受青睐 公私募三季度大举加仓,上证报
50,2021-10-29,22家上市券商业绩出炉！中信第三季狂揽200亿营收,Wind
51,2021-10-28,红塔证券：第三季度净利润同比增长114%,上证报
52,2021-10-28,红塔证券：第三季度净利润3.08亿元 同比增长114%,财联社
53,2021-10-28,图解红塔证券三季报：第三季度单季净利润同比增113.86%,证券之星
54,2021-10-28,红塔证券：前三季度净利润同比增长14.15%,Wind
55,2021-10-28,红塔证券：第三季度净利润约3.08亿元，同比增长113.86%,每日经济新闻
56,2021-10-25,【行情】券商板块持续走低，华鑫股份接近跌停，华林证券、东北证券跌超5%，湘财股份、红塔证券、东兴证券、中原证券跟跌,金十数据
57,2021-10-22,红塔证券(601236.SH)：云投集团质押2460万股,格隆汇
58,2021-10-22,红塔证券(601236.SH)股东云投集团质押3950万股,智通财经
59,2021-10-22,红塔证券：云南省投资控股集团有限公司质押2460万股,每日经济新闻
60,2021-10-19,券商行业周报(2021年第三十八期)：声誉风险管理正式落地 市场交投热情回落,新浪
61,2021-10-18,非银金融行业：东财拉开Q3优异季报序幕 保险在投资端带动下继续反弹,新浪
62,2021-10-18,非银金融行业周报：券商结算模式基金规模突破1200亿,新浪
63,2021-10-17,“卖方研究”竞争白热化，金融开放下外资券商寻求破局,Wind
64,2021-10-13,A股共发生110宗大宗交易成交18.74亿元（10月13日）,Wind
65,2021-10-13,"红塔证券现2笔大宗交易 共成交7,734.20万元",新浪
66,2021-10-13,红塔证券今日大宗交易成交655.99万股，成交价11.79元折价1.75%,Wind
67,2021-09-29,归母净利下降，公允价值变动收益为负！红塔证券业绩难言乐观 盈利能力下降,投资时报
68,2021-09-28,李奇霖：“限电限产”下可以关注哪些投资机会？,中新经纬
69,2021-09-27,“组团”跳槽，安信证券研究所5名首席离职,Wind
70,2021-09-19,外资券商大动作！挖角知名研究大将，和“老同事”会师！,Wind
71,2021-09-17,方正证券研究所原所长杨仁文正式离职，下一站是这家？,Wind
72,2021-09-15,中证协召开2021年第三季度证券基金行业首席经济学家例会,Wind
73,2021-09-09,红塔证券：云投集团累计质押约3.86亿股,每日经济新闻
74,2021-09-08,上市券商中报：全部实现盈利 股权融资“补血”提速,面包财经
75,2021-09-07,红塔证券评级下降 上半年净利ROE双降员工总薪酬降19% 投资评级恶化,中国经济网
76,2021-09-07,李奇霖：2021年8月进出口数据点评,新浪
77,2021-09-07,一次进5位首席！又有券商发力卖方研究，今年分析师流动多而频,Wind
78,2021-09-06,红塔证券(601236.SH)聘任杨海燕为合规总监,智通财经
79,2021-09-06,李奇霖：理解中国宏观经济系列4,新浪
80,2021-09-06,兴业证券：上半年资管业务收入倍增 净资本下滑拟配股募资140亿元 盈利能力下降,面包财经
81,2021-09-06,上市券商营收净利双增长,经济日报
82,2021-09-04,券商扩张狂潮！,中国基金报
83,2021-09-03,北交所送利好，99家主办券商哪家强？申万宏源开源国融锁定前三,第一财经
84,2021-09-02,券商中报季收官：头部券商业绩向好 中小券商大起大落,经济观察网
85,2021-09-02,红塔证券：公司监事辞职,Wind
86,2021-09-02,红塔证券：张宇春先生申请辞去公司第七届监事会监事职务 董监高成员变化,每日经济新闻
87,2021-09-02,红塔证券(601236.SH)监事张宇春辞职 董监高成员变化,智通财经
88,2021-09-02,今年云南省证券市场累计交易额达20922亿元,昆明日报
89,2021-09-02,券商“中考”成绩出炉，马太效应失灵了？这项业务成为业绩逆袭点,新京报
90,2021-09-02,券商配股忙！财通证券、兴业证券大股东承诺全额认购，出资总额或近60亿,资本邦
91,2021-09-02,大增63%！券商分仓佣金创历史新高，中信广发长江夺得前三,Wind
92,2021-09-02,上半年券商分仓佣金增六成，明星分析师自带“吸金”属性,Wind
93,2021-09-02,上半年券商分仓佣金增六成 明星分析师自带“吸金”属性,全景网
94,2021-09-02,券商分仓佣金创历史新高，中信广发长江夺得前三,Wind
95,2021-09-02,"暴增63%！券商分仓佣金创历史新高，中信广发长江夺得前三！这匹""黑马""更飙升12倍",券商中国
96,2021-09-01,财通、兴业两券商大股东真金白银为配股保驾！承诺现金全额认购，出资总额或近60亿，10家券商已启动配股,财联社
97,2021-09-01,2021年上半年券商业绩榜揭晓,Wind
98,2021-09-01,券商财富管理转型大比拼：经纪业务收入贡献下滑，金融产品代销突飞猛进,Wind
99,2021-09-01,券商财富管理转型大比拼！经纪业务收入贡献下滑，金融产品代销突飞猛进，后市还将怎么打？ 盈利能力下降,中证报
100,2021-09-01,李奇霖：8月PMI数据释放的六大信号,中新经纬
101,2021-09-01,上市券商各业务条线收入“亮眼” 中信证券多项业务领先,和讯
102,2021-09-01,保代今年增员超七成，中原、长江等上半年爆发式提升,Wind
103,2021-09-01,迎接业务增量 投行保代“扩编”超七成,上证报
104,2021-09-01,41家上市券商半年报盘点： 13家营收超百亿， 3家营收净利双降 盈利能力下降,第一财经
105,2021-08-31,41家上市券商中报盘点：13家营收超百亿，3家营收净利双降 盈利能力下降,第一财经
106,2021-08-31,[云南局]2021年7月云南辖区资本市场概况,证监会
107,2021-08-31,“牛市旗手”41家上市券商上半年业绩全扫描：大赚近千亿元，7家净利超50亿元， 五大主营业务各有看点！,证券日报网
108,2021-08-31,A股上市券商半年报：全部实现盈利，百亿营收券商增至13家,澎湃新闻
109,2021-08-31,云南区域股市周报：1亿融资买入锡业股份 恩捷股份市值增长205亿,每日经济新闻
110,2021-08-31,券商投行业务全盘点：中信、中金、海通、建投、华泰收入居前五，平均增收近三成，14家收入不增反滑坡 盈利能力下降,财联社
111,2021-08-31,头部券商净利润大增 中信证券仍是业绩“一哥”,北京商报
112,2021-08-31,券商中报收官！“一哥”净赚122亿，多家券商净利不足5亿！券业马太效应凸显，各家有何打法？,中证报
113,2021-08-30,数说A股上市券商半年报：大赚3064.81亿元！中信证券仍是业绩“一哥”、中小机构却遭遇大分化，还有这家公司员工平均薪酬高达69万元,北京商报
114,2021-08-30,数说A股券商半年报：大赚3064.81亿元！中小机构却遭遇大分化,北京商报
115,2021-08-30,和讯曝财报|小康股份上半年亏损进一步扩大 股价暴涨近4倍毛利率史上最低 亏损,和讯
116,2021-08-30,数说A股上市券商半年报：大赚3064.81亿元 中信证券仍是业绩“一哥”、中小机构却遭遇大分化 头部机构员工平均薪酬超50万元,北京商报
117,2021-08-30,尚智逢源：中小基金公司上半年业绩分化明显 盈利能力下降,新浪
118,2021-08-30,亿玛在线业绩中高速增长 上半年净利润翻番,挖贝网
119,2021-08-30,云南多举措加快企业上市,昆明日报
120,2021-08-30,云南白药21年来首次半年净利下滑 百亿炒股半年亏8.62亿牙膏业务再撑半壁江山,长江商报
121,2021-08-30,超七成券商投行业务正增长 下半年“打法”现端倪,中国基金报
122,2021-08-29,37家券商成绩单出炉！12家营收超百亿，7家净利破50亿！这家盈利竟飙升6倍,券商中国
123,2021-08-29,大丰收！12家券商巨头营收超100亿，最狠净利激增超600%！,中国基金报
124,2021-08-28,45家上市券商半年报出炉：业绩首尾相差超万倍，前十业绩分化，自营仍为第一收入，头部券商普遍更高 盈利能力下降,财联社
125,2021-08-27,红塔红土基金上半年实现净利润794.96万元 同比增长-58.26％,金融界
126,2021-08-27,云锡控股：全力推进公司债券非公开发行工作,中国有色
127,2021-08-27,兴业证券分红前日公布配股方案 股东叹息“拿了分红丢了市值”,大众证券报
128,2021-08-27,宽信用预期升温 信贷投放将加力,中证网
129,2021-08-26,中小基金公司上半年业绩分化明显 盈利能力下降,中证网
130,2021-08-26,红塔证券(601236.SH)上半年归母净利润同比下降4.28%至7.47亿元 盈利能力下降,智通财经
131,2021-08-26,折价40%配股后市值蒸发100亿元：兴业证券140亿募资青睐两融业务,凤凰网
132,2021-08-26,红塔证券2021年上半年实现净利润7.52亿元，同比小幅下降4.35% 盈利能力下降,经济观察网
133,2021-08-26,红塔证券：2021年半年度净利润约7.47亿元,每日经济新闻
134,2021-08-26,红塔证券(601236.SH)半年度净利润7.47亿元 同比下降4.28% 盈利能力下降,格隆汇
135,2021-08-26,红塔证券：上半年净利润同比减少4.28% 盈利能力下降,Wind
136,2021-08-26,云南白药中报披露在即，对业绩影响巨大的证券投资表现如何？,红周刊
137,2021-08-26,红塔证券半年报：上半年净利7.47亿元 同比下降4.28% 盈利能力下降,财联社
138,2021-08-26,又见券商大“补血” 兴业证券推140亿元配股方案,大众证券报
139,2021-08-26,业绩翻倍+低估值+滞涨股出炉！北上资金扫货8股,Wind
140,2021-08-26,兴业证券配股公告缘何引发券商板块大跌,上证报
141,2021-08-25,高位募集140亿遭遇“估值杀”，制约兴业证券的仅仅是净资本短板么？,环球老虎财经
142,2021-08-25,有机硅龙头暴涨6倍！预增王是它 业绩翻倍+低估值+滞涨股名单出炉,中财网
143,2021-08-25,有机硅龙头暴涨6倍，市值突破2000亿！业绩预增王是它，业绩翻倍+低估值+滞涨股出炉，北上资金扫货8股,证券时报网
144,2021-08-25,光伏板块午后掀涨停潮：沪指涨0.74%，创指涨0.54%,澎湃新闻
145,2021-08-25,不是第一次了！券商一宣布配股就大跌，兴业证券会怎么样？,上证报
146,2021-08-25,快讯：证券板块下挫走弱 兴业证券跌近8%,新浪
147,2021-08-25,快讯：券商股走低,财联社
148,2021-08-25,【异动股】券商信托板块低开，XD兴业证(601377.CN)跌6.58%,财华社
149,2021-08-25,8月25日股市避雷针,财联社
150,2021-08-25,又见券商大“补血”！这家券商推出140亿配股方案 股价1个月大涨超30%,证券之星
151,2021-08-24,比批资本实力，兴业证券推140亿配股方案，为何选择此时配股融资？为何选择配股券商明显增多,财联社
152,2021-08-24,李奇霖：遥远的宽信用,新浪
153,2021-08-23,红塔证券(601236.SH)股东云投集团解除质押956.7万股,智通财经
154,2021-08-23,创指反弹升逾3%超预期 沪指收复5日均线机械制造业强势领涨,财华社
155,2021-08-23,个股普涨：沪指涨1.45%，创指涨逾3%，北向资金净流入,澎湃新闻
156,2021-08-23,万万没想到！800多万手封单，45亿资金排队出逃，通讯巨头开盘突然跌停！,中证报
157,2021-08-23,操盘攻略：成长制造和价值消费两手抓,ZAKER
158,2021-08-23,多路资金增持券商板块，华西证券：券商触发买入条件,资本邦
159,2021-08-23,北向资金单周净卖出额创一个半月新高,上证报
160,2021-08-23,【中证盘前】千万盈利变亏25亿，这家公司将被实施退市风险警示；格力电器上半年净利同比增48.64%；透景生命拟每10股转增8股,中证报
161,2021-08-22,一周前瞻丨一大批公司将发布上半年业绩；未来市场如何走？看机构怎么说,21世纪经济报道
162,2021-08-22,下周A股逾1000亿市值限售股解禁 解禁,格隆汇
163,2021-08-22,市场的风险释放已接近尾声 十大机构看后市,中财网
164,2021-08-22,这家券商10亿配股即将上市，下周这些股解禁压力加大（附名单） 解禁,财联社
165,2021-08-22,【重磅前瞻】A股超2000家披露中报；成品油价或下调；7月服务贸易差额将公布,中新经纬
166,2021-08-22,下周股市看点：富时罗素指数成分股迎调整 33股获“聪明钱”逆市加仓,新浪
167,2021-08-22,下周48.79亿股限售股解禁，解禁市值达1044.66亿元（附名单） 解禁,每日经济新闻
168,2021-08-22,下周影响市场重要资讯前瞻,新浪
169,2021-08-22,下周操盘攻略：调整是长期布局主线机会,Wind
170,2021-08-22,流通盘大增超3倍！这只跨境电商龙头限售股解禁超140亿元，还有这些股票解禁规模大（附名单） 解禁,中证报
171,2021-08-22,下周解禁规模超千亿元，两股解禁市值超百亿元（附股） 解禁,证券时报网
172,2021-08-22,医药巨头因断供受重罚，被列入违规名单！下周解禁规模超千亿元，两股超百亿元 其他违规处罚,和讯
173,2021-08-20,下周沪深两市1037亿市值限售股解禁,Wind
174,2021-08-20,下周解禁：红塔证券逾10亿股配股上市 解禁,大众证券报
175,2021-08-19,云南区域股市周报：2亿融资买入云铝股份 16家机构调研贝泰妮,每日经济新闻
176,2021-08-19,顶流机构争相认购！京东方A200亿定增结果出炉，加注OLED打开成长空间,21世纪经济报道
177,2021-08-19,沪指跌逾1% 氢能源、煤炭板块持续走弱,网易
178,2021-08-19,快讯：券商股早盘分化,财联社
179,2021-08-18,京东方A定增结果出炉：发行价格5.57元 多家明星机构参与认购,e公司
180,2021-08-18,红塔证券(601236.SH)10.83亿股配售新增股份将于8月25日上市流通,智通财经
181,2021-08-18,抄底的哭了！消费白马股一字跌停，贵州茅台逼近1600元！一批大牛股砸出深坑！大金融强势拉升，股民：券商股只会迟到，不会缺席！,雪球
182,2021-08-18,红塔证券收报14.30元涨7.8% 总市值674.5亿元,乐居财经
183,2021-08-18,热点淘金：市场呈现强势反弹 金融股受到追捧！,巨丰财经
184,2021-08-18,冲上热搜！恒大总裁套现过亿，恒大系股票下挫；A股“牛市旗手”突然暴涨5%，中报业绩下滑股有点凉 减持股份,证券时报
185,2021-08-18,午评：A股三大股指震荡上行沪指涨0.56%，券商板块崛起三股涨停,金融界
186,2021-08-18,券商股全线爆发，东方、兴业两股涨停，板块主力资金净流入70亿！,资本邦
187,2021-08-18,午间要闻 | 年内新增地方专项发行规模逾1.5万亿元；恒大总裁套现过亿港元；谷歌被俄罗斯法院罚款1400万卢布,经济观察报
188,2021-08-18,证券板块持续走强,经济观察报
189,2021-08-18,红塔证券股价涨5.6% 现报14.00元,乐居财经
190,2021-08-18,券商板块再度活跃，东方证券涨停，8月以来累计涨逾40%,证券时报网
191,2021-08-17,券商板块强势上扬，东方证券等大涨，关注财富管理转型标的,证券时报网
192,2021-08-17,红塔证券股价涨5.6% 现报14.12元,乐居财经
193,2021-08-16,李奇霖：7月经济减速之谜,新浪
194,2021-08-16,锂电、稀土等霸屏跌幅榜，宁德时代重挫6%,证券之星
195,2021-08-16,"锂电突然崩了！宁德时代重挫6%，最惨被砸20%跌停！私募大佬狂减持，千亿医药白马罕见跌停！最贵新股一签大赚15万，半导体又火了
减持股份",中国基金报
196,2021-08-16,市场情绪偏向谨慎，港股建材板块上涨,腾讯网
197,2021-08-16,板块异动 | 券商业绩预计向好 证券板块异动拉升,智通财经
198,2021-08-16,快讯：券商股早盘走强,财联社
199,2021-08-12,A股再融资月报｜7月共募资750亿：易方达又狂饮古井贡酒；锂电行情中，国泰转债上市首日刷新深市纪录,每日经济新闻
200,2021-08-12,7月新增社融季节性回落 人民币贷款增速保持平稳,上证报
201,2021-08-11,李奇霖：消失的融资需求,新浪
202,2021-08-11,红塔证券盘中快速上涨,新浪
203,2021-08-11,每日理财观察：银行业保险业上半年成绩单“张榜”,Wind
204,2021-08-11,沪指将遇本轮反弹最大阻力位,国盛证券
205,2021-08-11,金牌投顾说|饮料制造、国防军工和证券板块，后市如何走？,粤开证券微服务
206,2021-08-11,多重有利因素共振，券商股估值持续修复,Wind
207,2021-08-10,【收盘简评】2021-08-10,赢家之星
208,2021-08-10,沪指站上3500点 在风格轮换中均衡配置,证券之星
209,2021-08-10,环球股市全日总结：8月10日,农银国际
210,2021-08-10,金融街下午茶2021年8月10日星期二,Wind
211,2021-08-10,犀牛财经看市：沪指涨1.01% 美股涨跌互现,GPLP犀牛财经
212,2021-08-10,【SMM日评】有色收窄跌幅沪锡拉涨逾2% 金银弱势震荡钢材期价走高,金融界
213,2021-08-10,综述：大型科网股低位爆发，一股复盘飙升300%！,老虎证券
214,2021-08-10,多说无益，先看战绩！尾盘掘金提示个股今天表现亮眼！贵州茅台大涨超6%,新浪
215,2021-08-10,A股收评：沪指涨1%，盐湖股份大涨306%吸金近300亿,证券之星
216,2021-08-10,军工概念全天强势！军工ETF(512660)今日成交额21.22亿元,资本邦
217,2021-08-10,8月10日复盘：填平黄金坑释放何种信号 主力资金出击6股,新浪
218,2021-08-10,收评：A股震荡上行沪指涨1.01%，酿酒行业发力贵州茅台涨超6%，盐湖提锂板块大跌,金融界
219,2021-08-10,【股市收盘】A股三大股指全线收涨 锂电、芯片延续回调,上海有色
220,2021-08-10,红塔证券收报13.74元涨10.0% 总市值648.1亿元,乐居财经
221,2021-08-10,93只股涨停 最大封单资金4.55亿元,证券时报网
222,2021-08-10,涨停板复盘：沪指涨1.01% 权重股走强军工板块领涨,新浪
223,2021-08-10,8月10日股市复盘总结 沪指逐步上行涨1%,至诚财经
224,2021-08-10,收评：沪指涨1.01% 军工、白酒板块领涨,网易
225,2021-08-10,红塔证券股价涨停 现报13.74元,乐居财经
226,2021-08-10,券商板块盘中异动，红塔证券直线封板,资本邦
227,2021-08-10,券商板块异动拉升 红塔证券触及涨停,格隆汇
228,2021-08-10,板块异动丨券商板块当前估值与业绩背离 证券板块异动拉升,智通财经
229,2021-08-10,红塔证券股价涨5.2% 现报13.14元,乐居财经
230,2021-08-10,高位赛道股下挫 A股市场风格或迎切换,经济日报
231,2021-08-10,三板块强踩刹车洗盘后健康上行更值得期待,新浪
232,2021-08-10,76岁宗庆后拿到基金从业证书 网友：太励志了,央视
233,2021-08-09,热点淘金：市场震荡式反弹 大消费板块受热炒,巨丰财经
234,2021-08-09,刚刚！1400亿地产巨头罕见触及涨停，白马久违疯狂！央视发声，芯片突然暴跌！外资近40亿杀入，转换真来了？,e公司
235,2021-08-09,红塔证券股价涨5.1% 现报12.75元,乐居财经
236,2021-08-09,A股成交持续活跃，东方证券涨停，证券ETF(512880)涨超2%,资本邦
237,2021-08-06,红塔证券副总裁彭明生因年龄原因辞任 董监高成员变化,北京商报
238,2021-08-06,红塔证券副总裁彭明生辞职 券商从业已24年 董监高成员变化,和讯
239,2021-08-06,红塔证券：公司副总裁、合规总监辞职,Wind
240,2021-08-06,红塔证券(601236.SH)副总裁、合规总监彭明生辞职 董监高成员变化,智通财经
241,2021-08-06,9家券商年内抛再融资方案 拟募资额合计不超1083亿元,证券日报
242,2021-08-05,中小券商“上下翻飞”、头部券商“稳如泰山” 波动率看券商变化,新浪
243,2021-08-05,云南区域股市周报：市值前十公司大洗牌，恩捷股份稳居市值冠军,每日经济新闻
244,2021-08-04,连续11天！两市成交再超万亿，“券茅”东方财富直线拉升,资本邦
245,2021-08-04,红塔证券近1%配股被弃购，未开盘先吃跌停？填权走势难补窟窿，一季度净利大降50% 盈利能力下降,财联社
246,2021-08-04,【早间资讯】2021-08-04,大通证券投教基地
247,2021-08-03,上市券商股价与业绩背离：竟与再融资频率增加有关？,证基风云
248,2021-08-03,红塔证券配股完成 认配率高达99.39%,证券时报
249,2021-08-03,【2021美好生活新消费夏季论坛】圆桌论坛二：消费新动能：场景的重置,经济观察报
250,2021-08-03,财通证券配股获证监会受理 年内已有两家券商配股落地,和讯
251,2021-08-03,红塔证券(601236.SH)配股发行成功 认购金额达79.41亿元,智通财经
252,2021-08-03,红塔证券股份有限公司关于云南云投生态环境科技股份有限公司详式权益变动报告书之财务顾问核查意见,证券时报
253,2021-08-02,【配股提示】红塔证券配股缴款最后一天，逾期未缴款者视为自动放弃配股认购权,大通证券投教基地
254,2021-08-01,红塔证券(601236.SH)拟按10配3配售股份,格隆汇
255,2021-07-30,[云南局]2021年6月云南辖区资本市场概况,证监会
256,2021-07-30,券商业绩与估值何时不再背离？,证券市场周刊
257,2021-07-30,出走数员大将后，安信证券研究所所长落定，80后女首席接棒，年内多位卖方老将“改换门庭”,21世纪经济报道
258,2021-07-30,红塔证券80亿元配股：40亿元用于FICC业务 分类评级下调需注意 投资评级恶化,面包财经
259,2021-07-30,安信证券新所长落定，年内多家券商研究所换帅,Wind
260,2021-07-30,安信证券新所长落定 年内多家券商研究所换帅 董监高成员变化,全景网
261,2021-07-29,"9万股民注意了：当心吃""跌停！最后3天，需要做这件事",中国基金报
262,2021-07-29,增速最快的新能源方向！,网易
263,2021-07-29,时间已不多，9万股民需注意！错过这次配股将损失一个跌停板,证券之星
264,2021-07-29,当心吃“跌停”！9万股东请注意，这家公司正在配股,Wind
265,2021-07-29,当心吃“跌停”！9万股东请注意，这家公司正在配股，期限仅剩3天，操作不当将巨亏 重大损失,证券时报
266,2021-07-28,德邦证券14年IPO之路梦断？业绩经营惨淡 官司缠身高管离职 诉讼纠纷,时代周报
267,2021-07-28,这家上市公司的9万股东注意了！忽略这件事，最惨将吃一个跌停板,每日经济新闻
268,2021-07-27,红塔证券股票的投资者注意了 这件事忽略最惨将吃一个跌停板！,新浪
269,2021-07-27,每日提醒：ST加加停牌1天,财富动力网
270,2021-07-26,晚间公告｜7月26日这些公告有看头,第一财经
271,2021-07-26,红塔证券：明日起配股缴款,e公司
272,2021-07-26,红塔证券上市三年评级两度下降 80亿配股落地拟投五成加码FICC业务 投资评级恶化,长江商报
273,2021-07-23,证监会公布2021年证券公司分类结果,Wind
274,2021-07-22,配股方案获通过 红塔证券拟募集资金不超80亿,每日经济新闻
275,2021-07-22,“10配3”，配股价格为7.33元/股 红塔证券拟募集资金不超80亿,每日经济新闻
276,2021-07-22,北向资金连续4日“买买买”累计加仓超160亿，歌尔股份净买入额创逾7个月新高,Wind
277,2021-07-22,红塔证券配股募集资金不超过80亿元40亿元拟用于发展FICC业务,和讯
278,2021-07-22,一天暴涨180亿！东方财富市值突破3500亿，大幅领先中信证券，什么情况？,券商中国
279,2021-07-22,7月22日盘前重要市场新闻,上证报
280,2021-07-22,互联网龙头券商再创新高 分化或成板块走势常态,上证报
281,2021-07-22,一天涨180亿！券商市值一哥东方财富突破3500亿领先中信证券 什么情况？,券商中国
282,2021-07-21,【收盘简评】2021-07-21,赢家之星
283,2021-07-21,红塔证券正式启动80亿元配股，中信证券280亿元配股申请刚刚被证监会受理,每日经济新闻
284,2021-07-21,红塔证券启动配股 发力FICC业务和资本中介业务,上证报
285,2021-07-21,红塔证券配股启动 募集资金总额预计不超过80亿元,证券时报网
286,2021-07-21,红塔证券：按每10股配售3股的比例配售股份，7月27日开始停牌,每日经济新闻
287,2021-07-21,红塔证券：7月27日至8月3日停牌，8月4日开市起复牌,Wind
288,2021-07-21,红塔证券(601236.SH)：配股网上路演时间为7月23日10:00-12:00,格隆汇
289,2021-07-21,红塔证券(601236.SH)：因实施配股 将于7月27日至8月3日停牌,格隆汇
290,2021-07-21,151股每笔成交量增超50%,证券时报网
291,2021-07-21,犀牛财经看市：创业板指大涨盘中创年内新高 美股全线收涨,GPLP犀牛财经
292,2021-07-21,离翻越关键点仅差0.41，是上攻无力还是故意保留实力？,中金在线
293,2021-07-21,【SMM日评】有色普遍下滑沪铅高位震荡 铁矿跌近4%,金融界
294,2021-07-21,百瑞赢：赚钱效应爆棚超百股涨停 大盘依旧承压上方缺口,新浪
295,2021-07-21,恒润股份(603985.SH)控股股东承立新质押1705万股及解除质押2275万股,智通财经
296,2021-07-21,7月21日复盘：市场主线渐行渐明 主力重点出击15股,新浪
297,2021-07-21,110只股涨停最大封单资金3.69亿元,证券时报网
298,2021-07-21,涨停板复盘：创业板指涨2.78% 锂电池、半导体等热点再度爆发,新浪
299,2021-07-21,A股三大指数全线收涨：创业板指涨2.78%创近6年新高 半导体芯片爆发,凤凰网
300,2021-07-21,收评：创业板指大涨2.78%新能源产业链、半导体芯片集中爆发,财联社
301,2021-07-21,涨停雷达：证券板块异动拉升 红塔证券触及涨停,ZAKER
302,2021-07-21,A股冲高创业板指涨1.5%科创50涨超2%锂电股再掀涨停潮,证券之星
303,2021-07-21,A股高开高走创业板指涨1.5%券商股走强东方财富大涨6%,华尔街见闻
