,2021-12-31,湖北省、武汉市民营百强企业榜单相继出炉 苏泊尔荣耀登榜,凤凰网
58,2021-12-19,"如何寻找长期投资标的？这一指标很关键！两大维度检验""护城河""，哪些A股拥有这些特质？名单来了",券商中国
59,2021-12-19,陆家嘴财经早餐2021年12月19日星期日,Wind
60,2021-12-18,21深度｜重仓5年后张坤减持，苏泊尔能否凭“1元购”股权激励计划重拾信心有待考验,21世纪经济报道
61,2021-12-18,熬十年狂赚15倍，这只大白马下周解禁，投资者慌了吗？ 解禁,上证报
62,2021-12-18,熬十年狂赚15倍，这只大白马下周解禁！ 解禁,Wind
63,2021-12-18,吵翻了！“公募一哥”抛售5年爱股，“消费之王”却逆势加仓，该听谁的？,中证报
64,2021-12-18,隐形智能手机霸主 vivo 重兵突进系统内核技术,ZAKER
65,2021-12-18,苏泊尔巨额解禁倒计时！易方达张坤已大举减持，“1元股权激励计划”遭问询 解禁,新浪
66,2021-12-18,张坤抛售重仓五年的苏泊尔，顶流基金看淡个股还是行业？,Wind
67,2021-12-18,下周781亿市值限售股解禁，三家公司解禁超百亿 解禁,Wind
68,2021-12-17,张坤清仓！苏泊尔“卖锅”之余，还有什么想象空间？,搜狐
69,2021-12-17,华创家电·11月数据分析专题丨洗地机增势强劲，集成灶量价齐升,一超家电研究
70,2021-12-17,下周解禁：股权激励被质疑、限售股解禁 苏泊尔股价面临多重压力 股权激励异常,大众证券报
71,2021-12-17,1元股价惹得“祸”，苏泊尔搞激励被问询 问询,乐居财经
72,2021-12-17,张坤清仓苏泊尔，5年长跑说散就散,格隆汇
73,2021-12-17,36氪专访 | vivo副总裁周围：性能是消费者痛点，vivo从“内核”做文章,36氪
74,2021-12-17,公募产品大创新，明星基金经理提前“埋伏”消费股丨基金下午茶,证券之星
75,2021-12-17,消费股反弹有望延续，多位基金经理提前布局,资本邦
76,2021-12-17,苏泊尔拟以超低价进行股权激励 深交所下发关注函：是否存在利益输送 关注函,科技新闻网
77,2021-12-17,“公募一哥”张坤放大招！大举减持 500 亿白马股，“几乎清仓”！ 减持股份,ZAKER
78,2021-12-17,内部消息！京东五星电器周年庆推出爆品绝密清单,联商网
79,2021-12-17,行业景气低迷，张坤大举减持苏泊尔 减持股份,阿尔法工场
80,2021-12-17,苏泊尔293名员工1元买股票或秒赚7486万 考核净利润增速仅5%被疑利益输送,长江商报
81,2021-12-17,29股获券商买入评级，大族激光目标涨幅达48.43%,Wind
82,2021-12-17,重仓持股五年，张坤首次大举抛售这只家电股,Wind
83,2021-12-17,重仓持股五年 张坤首次大举抛售苏泊尔,财联社
84,2021-12-17,苏泊尔 这股权激励到底“激励”了谁,金融投资报
85,2021-12-16,消费股热点扩散 明星基金经理提前“埋伏”,每日经济新闻
86,2021-12-16,上市公司股权激励制度存在明显BUG,每日经济新闻
87,2021-12-16,是否涉嫌利益输送？苏泊尔1元股权激励计划遭监管关注 其他违规处罚,每日经济新闻
88,2021-12-16,苏泊尔(002032.SZ)：约2.0637亿股限售股将解禁 解禁,格隆汇
89,2021-12-16,苏泊尔：约2.06亿股限售股12月22日解禁，占比约25.52% 解禁,每日经济新闻
90,2021-12-16,苏泊尔(002032.SZ)2.06亿股限售股将于12月22日上市流通 解禁,智通财经
91,2021-12-16,苏泊尔股权激励“1元购”受深交所质疑利益输送 股权激励异常,阿尔法工场
92,2021-12-16,"苏泊尔股权激励被疑利益输送:67.68元回购1元授予,总经理张国华“躺”挣371万",搜狐
93,2021-12-16,苏泊尔：大规模解禁来临，1元进行股权激励，可能是另一种形式的等价交换 解禁,和讯
94,2021-12-16,每股67.68元回购再以1元授予，苏泊尔股票激励计划收关注函 关注函,中华网
95,2021-12-15,拟每股1元授予限制性股票 苏泊尔收交易所关注函 关注函,中证网
96,2021-12-15,晚间重要公告2021年12月15日星期三,Wind
97,2021-12-15,利益输送？苏泊尔最高67元回购股份，1元进行股权激励，深交所紧急发函 问询,财联社
98,2021-12-15,67元的股票1元卖，股权激励疑涉利益输送，苏泊尔收关注函 关注函,AI财经社
99,2021-12-15,苏泊尔斥资2005万元回购0.04%公司股份,乐居财经
100,2021-12-15,苏泊尔首次斥资2005.16万元回购31万股，占总股本0.04%,乐居财经
101,2021-12-15,苏泊尔(002032.SZ)首次回购31万股 耗资2005.16万元,智通财经
102,2021-12-15,苏泊尔(002032.SZ)：本轮回购于今日首次回购31万股,格隆汇
103,2021-12-15,苏泊尔：于2021年12月15日首次实施回购股份，回购股份数量为31万股,每日经济新闻
104,2021-12-15,苏泊尔：于2021年12月15日首次回购股份31万股,Wind
105,2021-12-15,苏泊尔收深交所关注函：要求说明以1元/股作为授予价格的合理性 关注函,新浪
106,2021-12-15,"【苏泊尔收关注函】15日，苏泊尔公告，深交所向公司下发关注函。针对公司拟向293名激励对象以每股1元的价格授予限制性股票120.95万股，回购股份最高价不超过67.68元/股一事，深交所要求说明本次方案以不超过67.68元/股进行回购再以1元/股作为授予价格的依据及合理性，说明是否存在向被激励对象进行利益输送的情形。（中新经纬APP）
关注函",中新经纬
107,2021-12-15,监管动态 | 67.68元/股进行回购再以1元/股股权激励，苏泊尔收关注函，深交所：搞利益输送？ 关注函,财经网
108,2021-12-15,苏泊尔收关注函：说明以不超过67.68元/股进行回购再以1元/股授予员工是否存在利益输送 关注函,财联社
109,2021-12-15,京东五星电器迎来23周年庆 线下门店全面开启司庆大促,联商网
110,2021-12-15,苏泊尔收关注函 要求说明是否存在向被激励对象进行利益输送的情形 关注函,e公司
111,2021-12-15,苏泊尔携手华为鸿蒙智联推出“小C”主厨料理机,21世纪经济报道
112,2021-12-15,深交所向苏泊尔下发关注函：说明是否存在向被激励对象进行利益输送的情形 关注函,Wind
113,2021-12-15,西南证券维持苏泊尔持有评级：股权激励范围广，长期增长动力足,每日经济新闻
114,2021-12-15,西南证券：给予苏泊尔增持评级,证券之星
115,2021-12-15,20款料理机测评：九阳样品糊锅，好太太、苏泊尔有烫伤隐患,奥一网
116,2021-12-15,2021年度中国家电行业“磐石奖”揭晓，苏泊尔股份斩获多项大奖！,凤凰网
117,2021-12-15,苏泊尔(002032)：股权激励落地 激励机制优化,新浪
118,2021-12-15,苏泊尔(002032)：推出股权激励 助力业务转型升级,新浪
119,2021-12-15,15股获券商买入评级，比音勒芬目标涨幅达46.70%,Wind
120,2021-12-15,12月14日14只个股获券商关注，牧高笛目标涨幅达22.24%,每经网
121,2021-12-14,消费股热点扩散，家用电器被顶流基金经理看上，萧楠、曲扬、袁维德加仓苏泊尔,每日经济新闻
122,2021-12-14,快讯 | 顶流基金经理萧楠、曲扬、袁维德加仓苏泊尔,每日经济新闻
123,2021-12-14,苏宁易购决战双十二，与头部家电品牌定下2022年战略合作目标,中访网
124,2021-12-14,苏泊尔(002032)：回购部分社会公众股份的回购报告书,资本邦
125,2021-12-14,苏泊尔：拟回购股份数量120.95万股,每日经济新闻
126,2021-12-14,20股获买入评级 最新:聚合顺,中财网
127,2021-12-14,2022年家电行业投资策略：改善趋势渐行渐近 修复空间充分打开,新浪
128,2021-12-14,天风证券维持苏泊尔买入评级：公司推出激励计划，明年成本修复可期,每日经济新闻
129,2021-12-14,天风证券：给予苏泊尔买入评级,证券之星
130,2021-12-14,国君家电|苏泊尔2021年股权激励计划点评：股权激励草案落地，新业务业绩增长可期,小蔡看家电
131,2021-12-14,苏泊尔(002032)：打造长效激励机制 彰显经营稳健底色,新浪
132,2021-12-14,苏泊尔(002032)：股权激励绑定骨干员工 渠道改革改善盈利空间,光大证券
133,2021-12-14,苏泊尔(002032)：回购开展股权激励 凝聚团队助力发展,新浪
134,2021-12-14,上市公司正负面新闻2021年12月14日星期二,Wind
135,2021-12-13,晚间重要公告2021年12月13日星期一,Wind
136,2021-12-13,苏泊尔(002032.SZ)拟推出2021年限制性股票激励计划 授予价为1元/股,智通财经
137,2021-12-13,苏泊尔(002032.SZ)：拟推120.95万股的2021年限制性股票激励计划,格隆汇
138,2021-12-13,苏泊尔(002032.SZ)：拟回购120.95万股 用以实施股权激励计划,格隆汇
139,2021-12-13,苏泊尔：拟向激励对象293人授予限制性股票约121万股,每日经济新闻
140,2021-12-09,“十四五”农村规划吹风会两大要点：消费更新+粮食安全，五大板块异动！,Wind
141,2021-12-08,热烈祝贺苏泊尔电炊具品类产量突破千万,凤凰网
142,2021-12-08,2022年轻工行业投资策略报告：把握中下游消费属性板块盈利修复行情,新浪
143,2021-12-07,南财研选丨家电板块“至暗时刻”或已过去，住房刚需+上下游环节改善驱动，家电板块有望迎来支撑,21世纪经济报道
144,2021-12-07,苏泊尔、老板电器涨超6%，家电ETF（159996）涨超1%,资本邦
145,2021-12-07,11股获券商买入评级，拓普集团目标涨幅达49.94%,Wind
146,2021-12-07,2021年12月央行降准与中央政治局会议点评：保障合理住房刚需 为家电长期内需托底,新浪
147,2021-12-07,家电上市公司独董薪酬普遍不高 年薪5万元以下逾四成,证券日报
148,2021-12-06,家用电器业行业：家电线上增速较高 创新品类表现亮眼,新浪
149,2021-12-06,家电业独董年薪四成低于5万元 多家任职是万金油还是打假斗士？,证券日报之声
150,2021-12-06,家电行业月报：国内线上渠道景气度持续 出口下跌趋势放缓,新浪
151,2021-12-06,国盛证券给予苏泊尔买入评级，当前阶段，如何看待成长性？（利润篇）,每日经济新闻
152,2021-12-06,国盛证券：给予苏泊尔买入评级,证券之星
153,2021-12-06,招商家电｜家电行业周度点评21W49-关注12月金股推荐,招商家电研究
154,2021-12-05,家用电器行业：11月清洁电器、投影仪线上销售高增长,广发证券
155,2021-12-05,家用电器研究周报：12月空调外销排产饱满,光大证券
156,2021-12-04,苏泊尔超2亿股即将解禁，控股股东SEB是坚守还是减持？ 解禁,华夏时报
157,2021-12-03,家电及相关：21年“黑五季”落幕 海外消费仍具韧性,新浪
158,2021-12-02,盘前有料丨又一调味品公司宣布提价；证监会否认禁止VIE企业境外上市…重要消息还有这些,证券时报
159,2021-12-02,天风Morning Call·晨会集萃·20211202,天风研究
160,2021-12-01,家电行业2022年上半年投资策略：边际改善初现 黎明将至,新浪
161,2021-12-01,京东携上千品牌开启家居日用超级品类日 “吃住用玩”海量好物燃爆暖冬,驱动中国
162,2021-12-01,家用电器业行业2022年度策略报告：回归内需市场 关注结构性机会,新浪
163,2021-12-01,家用电器行业周报：如何看待新能源汽车热管理行业前景,新浪
164,2021-11-30,家电行业2022年度投资策略：行至水穷处 坐看云起时,新浪
165,2021-11-30,“茅泸”重回视野！券商12月“金股”来了,Wind
166,2021-11-29,苏泊尔与玉环市政府签订培大育强“一企一策”企业培育协议,凤凰网
167,2021-11-29,家电行业周报：家电内销相对低迷 关注综合实力强劲的头部企业,新浪
168,2021-11-29,家用电器研究周报：10月空调内销回暖 海外需求维持旺盛,光大证券
169,2021-11-26,炉子锅子都涨价！电器铺老板叫苦不迭：撑不下去只能求房东降租了,时代周报
170,2021-11-25,家用电器业2021年双十一战报总结：创新品类持续高增 内销景气度有望恢复,新浪
171,2021-11-25,家电行业周报：双十一销售跟踪：家电行业需求强劲 新消费龙头表现靓丽,新浪
172,2021-11-25,看好明年A股机会，全球两大资管巨头齐唱多,Wind
173,2021-11-24,家用电器行业2021W47周度研究：盘点家电企业第二成长曲线,新浪
174,2021-11-24,苏泊尔：融资余额比上日降0.47%，融券余额比上日增9.02%,资本邦
175,2021-11-23,家用电器行业周报：10月家电零售数据向好 家空市场景气度上扬,新浪
176,2021-11-22,高端家电年末冲量，双线融合的苏宁易购还是那个最优解吗？,搜狐
177,2021-11-22,家用电器行业：本周年度策略发布 长期关注时代红利 短期布局边际改善机会,新浪
178,2021-11-22,瑞德智能：采销数据陷“罗生门” 新三板摘牌前后利润两幅面孔 退市,新浪
179,2021-11-22,家电板块发力走高 天际股份、德业股份等涨停,证券时报网
180,2021-11-22,大规模解禁即将来临，外企苏泊尔患大股东依赖症，未来成长性堪忧 解禁,和讯
181,2021-11-22,中信建投家用电器2022年投资策略报告：布局时代的企业，关注行业边际改善机会,Wind
182,2021-11-22,陆家嘴财经早餐2021年11月22日星期一,Wind
183,2021-11-22,家电周观点|| 继续看好家电成长股及白电反弹，新增推荐苏泊尔,吕明可选消费研究
184,2021-11-21,富佳股份成功登陆资本市场 募集3.92亿资金做强做精清洁小家电,每日经济新闻
185,2021-11-21,中信建投：家电行业仍系消费领域中的优质资产，建议关注修复反弹行情,Wind
186,2021-11-21,家用电器行业策略：利润弹性、业绩增速、供给能力三个维度看家电,新浪
187,2021-11-18,家电9月数据点评：需求平淡 关注盈利修复,新浪
188,2021-11-18,家电个股周三涨停！原材料价格企稳回落，内部板块分化， 机构预期或迎盈利上行拐点,ZAKER
189,2021-11-18,“数据会说话”之2021年10月数据解读：10月社零数据符合预期 看好中国消费韧性,新浪
190,2021-11-17,家用电器行业2021W45周观点：双十一专题(4)终数 家电居首 厨小拐点至 清洁投影集成灶引领,新浪
191,2021-11-17,每日理财观察：北交所次新股交投活跃，机构调研热情高涨,Wind
192,2021-11-17,从三季报看小家电行业的危与机,艾肯家电
193,2021-11-17,13股获券商买入评级，安恒信息目标涨幅达77.43%,Wind
194,2021-11-16,消费股热点扩散，张坤重仓股机会来了？,每日经济新闻
195,2021-11-16,A股收盘综述：锂电、军工施压股指，北向资金底部净买医药白酒,Wind
196,2021-11-16,华创家电·9-10月数据分析专题丨清洁电器维持增长，集成灶线下销售量价齐升,一超家电研究
197,2021-11-16,苏泊尔双十一总销售额16.8亿元,我的钢铁
198,2021-11-16,解盘：大盘持续回暖，白酒、疫苗、家电、医美领涨,Wind
199,2021-11-16,A股午盘综述：资金“喝酒吃药”，锂电池失色,Wind
200,2021-11-16,苏泊尔、莱克电气涨停，家电ETF（159996）涨超2%,资本邦
201,2021-11-16,苏泊尔：公司的实际控制人为法国SEB,Wind
202,2021-11-16,家电板块震荡走高，苏泊尔、莱克电气涨停，新宝股份等大涨,证券时报网
203,2021-11-16,快讯：苏泊尔涨停 报于60.93元,金融界
204,2021-11-16,家电及相关观点聚焦：第五次调整周期后 竞争力差异中找阿尔法,新浪
205,2021-11-16,家电股大涨，苏泊尔首板,Wind
206,2021-11-16,国盛证券：维持苏泊尔(002032.SZ)“买入”评级 原材料成本下行 业绩弹性大增,智通财经
207,2021-11-16,家电股持续造好，莱克电气冲击涨停,Wind
208,2021-11-16,国盛证券：给予苏泊尔买入评级,证券之星
209,2021-11-15,家用电器行业周报,新浪
210,2021-11-15,A股早报2021年11月15日星期一,Wind
211,2021-11-15,北交所今开市，上证主板迎千亿市值解禁,Wind
212,2021-11-14,国君家电|2021年双十一战报总结：创新品类持续高增，内销景气度有望恢复,小蔡看家电
213,2021-11-14,保险巨头下周解禁近1300亿元 解禁,Wind
214,2021-11-13,苏泊尔双11超然战报来袭，16.8亿销售额感谢您的选择,凤凰网
215,2021-11-12,下周1587亿市值限售股解禁，中国人保解禁市值近1300亿 解禁,Wind
216,2021-11-12,厨电赛道遭遇“利润拐点”?专业级选手难破天花板？,Ofweek
217,2021-11-10,亚洲飞人“私藏”好锅 苏泊尔全新有钛真不锈火爆上市,凤凰网
218,2021-11-10,家电行业三季报综述：三季度营收增速放缓 行业表现延续结构性分化 盈利能力下降,新浪
219,2021-11-09,苏泊尔(002032.SZ)：19.9万股限制性股票将解除限售上市流通,格隆汇
220,2021-11-09,苏泊尔：19.9万股限售股11月15日解禁 解禁,每日经济新闻
221,2021-11-09,家电行业10月月报及11月投资策略：拾级而上,新浪
222,2021-11-09,小家电企业营收、净利双降：原材料涨价潮持续，多数企业终端难提价,Wind
223,2021-11-08,小家电企业营收、净利双降：原材料涨价潮持续，多数企业终端难提价,21世纪经济报道
224,2021-11-07,国君家电|2021三季报总结：基本面反弹趋势渐现，配置性价比突出,小蔡看家电
225,2021-11-07,国君家电|2021双十一预售数据点评：双11预售表现出色，Q4内销有望恢复,小蔡看家电
226,2021-11-07,东兴证券维持苏泊尔推荐评级：拓品能力依旧，长期发展可期,每日经济新闻
227,2021-11-07,东兴证券：给予苏泊尔增持评级,证券之星
228,2021-11-05,家电行业11月投资策略：新消费双十一表现亮眼 空调稳中向好,新浪
229,2021-11-05,"“第十五届中国上市公司价值评选”榜单出炉,苏泊尔双榜题名",凤凰网
230,2021-11-04,苏泊尔：融资余额比上日降0.25%，融券余额比上日增4.53%,资本邦
231,2021-11-04,家用电器行业9月数据月报：家电社零增速回升,广发证券
232,2021-11-03,“懒人”家电双十一受青睐，直播带货、社交推广多管齐下,第一财经
233,2021-11-03,苏宁易购：经营困境下的业绩增长引擎,21世纪经济报道
234,2021-11-02,社保大举加仓！证金汇金频频减持，三季度这么“炒股”,Wind
235,2021-11-02,家用电器行业周报：双十一专题(2)高端消费亮眼 清洁、投影表现不俗,新浪
236,2021-10-30,爆款模式难复制，摩飞背后的新宝股份困于“代工”,华夏时报
237,2021-10-30,苏泊尔(002032)：内销线下增速承压 外销提升关联交易,新浪
238,2021-10-30,苏泊尔：中金公司、光大证券等14家机构于10月27日调研我司,证券之星
239,2021-10-29,从三季报看小家电行业的危与机,艾肯家电
240,2021-10-29,苏泊尔(002032)2021年三季报点评：内销企稳 毛利稳健,新浪
241,2021-10-29,苏泊尔：公司出口北美的业务占比较小，故中美加征关税如取消对公司的影响不大,Wind
242,2021-10-29,张坤、傅鹏博、刘格菘、冯明远等顶流隐形重仓股来了,Wind
243,2021-10-29,"大曝光！张坤、傅鹏博、刘格菘、冯明远等顶流基金经理""隐形重仓股""来了！",中国基金报
244,2021-10-29,首创证券给予苏泊尔买入评级，公司简评报告：经营表现符合预期，海外市场需求向好,每日经济新闻
245,2021-10-28,华创家电秦一超丨苏泊尔：需求回落，盈利能力短暂承压,一超家电研究
246,2021-10-28,家电板块午后反弹，苏泊尔涨停封板,证券之星
247,2021-10-28,苏泊尔龙虎榜数据（10月28日）,Wind
248,2021-10-28,A股收盘综述：煤炭、稀土、盐湖提锂、油气板块深幅调整，风电股逆市批量创新高,Wind
249,2021-10-28,快讯：苏泊尔涨停 报于49.94元,金融界
250,2021-10-28,家电板块走强 苏泊尔涨停,格隆汇
251,2021-10-28,小家电板块午后走高，苏泊尔触及涨停,36氪
252,2021-10-28,苏泊尔5天2板，消费股炒作,Wind
253,2021-10-28,苏泊尔午后涨停带动家电板块，小熊电器、惠而浦、九阳股份等快速跟进,Wind
254,2021-10-28,中金国货崛起系列研究 | 家电：时代变迁塑造国货新风貌,中金点睛
255,2021-10-28,零售业绩好转，四季度家电板块结构性机会犹存,Wind
256,2021-10-27,苏泊尔Q3净利润3.75亿元,亿邦动力
257,2021-10-27,每日报告回放,新浪
258,2021-10-27,国君家电|苏泊尔21Q3点评：外销持续提升，毛利率较为稳定,小蔡看家电
259,2021-10-27,中泰证券维持苏泊尔增持评级，苏泊尔2021三季报点评：Q3 经营稳健,每日经济新闻
260,2021-10-27,中泰证券：给予苏泊尔增持评级,证券之星
261,2021-10-27,招商家电｜苏泊尔（002032.SZ）-Q3业绩符合市场预期，持续回购彰显管理层信心,招商家电研究
262,2021-10-27,千亿半导体巨头跌11%！格力大跌，新能源掀涨停潮,Wind
263,2021-10-27,朝闻国盛：北上连续流入破百亿,新浪
264,2021-10-27,安信证券：给予苏泊尔买入评级，目标价位55.41元,证券之星
265,2021-10-27,华为鸿蒙智联赋能苏泊尔探索新一代智慧厨房,凤凰网
266,2021-10-27,格力电器跌超4%再创阶段新低，第三季度营收净利双双下降,Wind
267,2021-10-27,国盛证券：维持苏泊尔(002032.SZ)“买入”评级 Q3经营恢复 关联交易上调彰显信心,智通财经
268,2021-10-27,国盛证券：给予苏泊尔买入评级,证券之星
269,2021-10-27,张坤、刘彦春重磅发声！2大千亿顶流季报出炉,Wind
270,2021-10-26,苏泊尔：母婴系列已带来销售贡献但份额较小，未来将积极开拓和发展,我的钢铁
271,2021-10-26,苏泊尔、九阳股份三季业绩增速放缓 原材料涨价令现金流减少 盈利能力下降,第一财经
272,2021-10-26,苏泊尔增收不增利：第三季度净利3.75亿元降9.4%，年初至今股价已跌38.26% 盈利能力下降,搜狐
273,2021-10-26,财报解读|苏泊尔前三季营收净利润增速双降 第三季净利同比下滑9.4% 盈利能力下降,和讯
274,2021-10-26,苏泊尔：第三季度净利润3.75亿元，同比下降9.40% 盈利能力下降,我的钢铁
275,2021-10-26,苏泊尔(002032.SZ)：第三季度净利降9.40%至3.75亿元 盈利能力下降,格隆汇
276,2021-10-26,图解苏泊尔三季报：第三季度单季净利润同比减9.40% 盈利能力下降,证券之星
277,2021-10-26,苏泊尔第三季度净利降9.4%至3.75亿元 盈利能力下降,乐居财经
278,2021-10-26,苏泊尔：前三季度净利润同比增长14.82%,Wind
279,2021-10-26,家电行业点评报告：房地产边际宽松+双十一驱动 估值切换行情开启,新浪
280,2021-10-26,中金：房地产税试点对资产配置有何启示？,Wind
281,2021-10-25,南财脱水研报｜家电板块股票迎久违大涨，双十一叠加估值低位，防御价值凸显,21经济网
282,2021-10-25,苏泊尔：公司与SEB集团的业务主要以人民币结算,Wind
283,2021-10-25,苏泊尔：公司实控人SEB S.A.是一家在泛欧交易所上市的公司,Wind
284,2021-10-25,苏泊尔：苏泊尔生活馆主要布局在三四线城市，杭州市区内未有生活馆,Wind
285,2021-10-25,苏 泊 尔：苏泊尔生活馆主要布局在三四线城市，杭州市区内没有生活馆,每日经济新闻
286,2021-10-25,家电行业周报21W43：房地产税落地 关税豁免与双十一新品关注,新浪
287,2021-10-25,A股早报2021年10月25日星期一,Wind
288,2021-10-23,银行股地产股轮番发力，低估值板块资金关注度提升,Wind
289,2021-10-23,席位追踪：游资清仓爱康国际吃肉　苏泊尔榜上机构现分歧,财富动力网
290,2021-10-22,【热点零距离】“双十一”热情开启，点燃A股家电行情,财华社
291,2021-10-22,涨停复盘 | 近3000股下跌 低估值消费板块重回资金视野,第一财经
292,2021-10-22,家电股集体大涨 内外销边际改善预期促估值修复,第一财经
293,2021-10-22,苏泊尔龙虎榜数据（10月22日）,Wind
294,2021-10-22,合力备战双十一！苏泊尔为苏宁易购提供亿级货源、新品首发等战略支持,证券之星
295,2021-10-22,A股收盘综述：煤炭钢铁板块调整、动力煤连吃三跌停，资金转向芯片和消费股,Wind
