,2021-12-30,Gannett Peak退出爱美客持股5%以上股东名单,GPLP犀牛财经
163,2021-10-28,顶流基金经理白酒信仰现分歧：张坤重仓，刘彦春坚持，王宗合、焦巍目光投向科技,Wind
164,2021-10-27,六券商周四看好的六大板块,证券之星
165,2021-10-27,《2021胡润百富榜》：张一鸣3400亿元跃居第二超越马化腾,Wind
166,2021-10-26,曾发奇葩研报尬吹“王总真是人中龙凤”翻车，他的基金你买吗？,和讯
167,2021-10-26,爱美客药物临床试验获批研发实力构筑企业护城河,凤凰网
168,2021-10-26,爱美客现2笔大宗交易 共成交406.82万元,新浪
169,2021-10-26,爱美客今日大宗交易成交0.70万股，成交价581.16元折价7.0%,Wind
170,2021-10-26,最高涨幅超150%！券商最新调研，聚焦四季度最佳布局赛道,Wind
171,2021-10-26,“金句专业户”焦巍又反思：坦言自身投资模式现阶段或落后，也要减少噪音干扰，增加长期绝对回报,财联社
172,2021-10-26,医药生物行业双周报：行业估值合理 择优布局优质标的,新浪
173,2021-10-26,商业贸易周报：双11功效护肤预售强劲 9月社零数据环比回暖,新浪
174,2021-10-25,最高涨近七成！券商最新调研偏爱这些股,Wind
175,2021-10-25,关注低估值、低位置血制品、消费医疗板块，重点推荐博雅生物、鱼跃医疗等!【东吴医药朱国广团队】,国广有话说
176,2021-10-25,"爱美客现10笔大宗交易 共成交3,725.11万元",新浪
177,2021-10-25,爱美客今日大宗交易成交6.45万股，成交价577.53元折价8.12%,Wind
178,2021-10-25,爱美客：大股东拟减持 营收增速逐季下行或令估值承压 拟减持股份,面包财经
179,2021-10-25,爱美客的高估值陷阱,锦缎
180,2021-10-24,【开源零售|周视角】双十一预售战幕拉开，各大平台玩法多样,泽鹏商业观察
181,2021-10-24,近一周机构调研50多家，迈瑞医疗获600机构调研,Wind
182,2021-10-22,爱美客(300896.SZ)：增资暨收购韩国Huons BioPharma的部分股权已完成交割,格隆汇
183,2021-10-22,爱美客今日大宗交易成交2.10万股，成交价577.53元折价7.0%,Wind
184,2021-10-22,"爱美客现1笔大宗交易 共成交1,212.81万元",新浪
185,2021-10-22,CAGR超15%的医美赛道：上游毛利率稳超85%，中游机构看龙头！,第一财经
186,2021-10-21,30股获海外机构调研 爱美客最受关注,证券时报网
187,2021-10-21,10月A股大宗交易成交近200亿，机构大笔接盘这两类公司！,Wind
188,2021-10-21,海外机构调研股名单 爱美客最受关注,证券时报网
189,2021-10-21,"爱美客现3笔大宗交易 共成交14,773.68万元",新浪
190,2021-10-21,爱美客今日大宗交易成交24万股，成交价615.57元折价2.5%,Wind
191,2021-10-21,快讯：医美概念股继续活跃 金发拉比涨停,新浪
192,2021-10-21,A股早报2021年10月21日星期四,Wind
193,2021-10-21,机构密集调研 聚焦科技板块,中证报
194,2021-10-20,“医美茅”居机构调研C位！四季度这些板块受机构青睐,中证报
195,2021-10-20,天风证券：给予爱美客买入评级,证券之星
196,2021-10-20,今日两市共发生181宗大宗交易,第一财经
197,2021-10-20,透视大宗交易：10月20日共成交181笔，爱美客成交2.39亿元,每日经济新闻
198,2021-10-20,"爱美客现10笔大宗交易 共成交23,854.08万元",新浪
199,2021-10-20,爱美客利多卡因丁卡因乳膏获NMPA临床试验批准,新浪
200,2021-10-20,快讯：医美板块异动拉升 宜华健康涨停,新浪
201,2021-10-20,25股获20家以上机构调研 爱美客最受关注,证券时报网
202,2021-10-20,A股早报2021年10月20日星期三,Wind
203,2021-10-20,54股获券商买入评级，紫金矿业目标涨幅达72.88%,Wind
204,2021-10-20,爱美客10月19现22笔大宗交易,证券时报网
205,2021-10-19,晚间要闻2021年10月19日星期二,Wind
206,2021-10-19,纺织服装行业：全国大范围降温有利冬装旺季销售开启,新浪
207,2021-10-19,晚间重要公告2021年10月19日星期二,Wind
208,2021-10-19,爱美客(300896.SZ)子公司利多卡因丁卡因乳膏获得临床试验批准通知书,智通财经
209,2021-10-19,爱美客(300896.SZ)：利多卡因丁卡因乳膏开展用于成人浅层皮肤手术前对完整皮肤的局部麻醉的临床试验获批,格隆汇
210,2021-10-19,两市共发生97宗大宗交易 机构抢筹这些个股,第一财经
211,2021-10-19,爱美客：利多卡因丁卡因乳膏获得药物临床试验批准通知书,36氪
212,2021-10-19,爱美客：利多卡因丁卡因乳膏获得临床试验批准,财联社
213,2021-10-19,爱美客：利多卡因丁卡因乳膏获得药物临床试验批准通知书,Wind
214,2021-10-19,三季度社保、险资、公募持仓抢先看，这两家公司被联合抢筹,Wind
215,2021-10-19,"爱美客现22笔大宗交易 共成交19,370.52万元",新浪
216,2021-10-19,爱美客今日大宗交易成交16.25万股，成交价580.85元折价8.0%,Wind
217,2021-10-19,爱美客接受419家机构调研，肉毒素进入三期临床阶段,阿尔法工场
218,2021-10-19,爱美客(300896)：嗨体系列不断放量 业绩保持快速增长,新浪
219,2021-10-19,纺织服装行业10月第三周周报：9月纺织服装出口恢复增长 服装出口环比加速,新浪
220,2021-10-19,财信证券：维持爱美客(300896.SZ)“推荐”评级 合理价格区间为760—782元,智通财经
221,2021-10-19,爱美客接待机构调研 透露储备产品研发进展,e公司
222,2021-10-19,东方财富证券维持爱美客增持评级：主打产品销量大幅增长，“濡白天使”开始正式商业化,每日经济新闻
223,2021-10-19,A股成交重回万亿！基金经理：科技成长仍是确定主线,Wind
224,2021-10-19,东方财富证券：给予爱美客增持评级,证券之星
225,2021-10-19,精选行业个股，基金调研高景气赛道,Wind
226,2021-10-19,掘金上市公司三季报，公募基金“选优”有术,Wind
227,2021-10-18,爱美客接受295家机构调研！短期主力资金净流出，或存在资金分歧,每日经济新闻
228,2021-10-18,“牙茅”是买还是卖？张坤、葛兰现分歧,中证报
229,2021-10-18,财信证券：给予爱美客买入评级，目标价位782.0元,证券之星
230,2021-10-18,华熙生物营销“翻车” 润百颜推广被指侮辱女性,证券之星
231,2021-10-18,爱美客：Prime Capital Management Company Limited、Aberdeen Asset Management Asia Ltd等419家机构于10月15日调研我司,证券之星
232,2021-10-18,华熙生物营销“翻车”后，股价盘中跌超9%,环球老虎财经
233,2021-10-18,爱美客跌5.34% 中信证券长江证券高点唱多,中国经济网
234,2021-10-18,华熙生物出格营销“翻车”背后，玻尿酸行业内卷加剧,第一财经
235,2021-10-18,爱美客(300896)：净利率水平创新高 濡白天使放量可期,新浪
236,2021-10-18,润百颜“网红带货”变“网黑”华熙生物股价大跌,中国经济网
237,2021-10-18,发生了什么？5万亿赛道突然大跌：茅台跌6%！,Wind
238,2021-10-18,47股获机构买入型评级 爱美客关注度最高,证券时报网
239,2021-10-18,医药生物行业周报：国家将深入推广福建省三明市医改经验,新浪
240,2021-10-18,A股早报2021年10月18日星期一,Wind
241,2021-10-18,休闲服务行业深度报告：国货彩妆占据GMV前三甲 “双十一”预热升温,华安证券
242,2021-10-18,医药生物行业：创新药国谈价格前瞻分析,新浪
243,2021-10-18,个基分析之双创基金ETF(159783)：新能源车产销再创新高，行业景气持续上行,金融界
244,2021-10-18,陆家嘴财经早餐2021年10月18日星期一,Wind
245,2021-10-17,首批“茅”概念业绩出炉，“医药女神”大举加仓中药茅,Wind
246,2021-10-17,纺织服装与化妆品行业周报：9月纺织服装出口环比好转 双十一在即、期待服装和化妆品销售表现,光大证券
247,2021-10-17,爱美客(300896)：21Q1~3归母净利YOY+144.1% 濡白天使Q3上市入局再生值得期待,新浪
248,2021-10-17,爆了！8家“茅概念股”净利润均增超50%，“医药女神”大举加仓中药茅,Wind
249,2021-10-16,社服医美2021年三季报前瞻：疫情冲击三季度业绩 龙头韧性不改,新浪
250,2021-10-15,两市共发生98宗大宗交易 机构抢筹这些个股,第一财经
251,2021-10-15,爱美客(300896)：2021Q3营收净利继续高增 “好产品+好医生”模式有望助力公司行稳致远,华福证券有限责任公司
252,2021-10-15,46股今日获机构买入评级,证券时报网
253,2021-10-15,101股获买入评级 最新:爱 美 客,中财网
254,2021-10-15,"爱美客现16笔大宗交易 共成交24,378.31万元",新浪
255,2021-10-15,爱美客前三季度净利润增长144% 加权ROE同比下滑 盈利能力下降,中国经济网
256,2021-10-15,爱美客今日大宗交易成交16万股，成交价642.02元折价2.61%,Wind
257,2021-10-15,爱美客(300896)：Q3业绩超预期 嗨体持续高增,新浪
258,2021-10-15,开源证券：维持爱美客(300896.SZ)“买入”评级 明星产品保持高速增长,智通财经
259,2021-10-15,信达证券维持爱美客买入评级：Q3收入维持高增，净利率持续提升创新高,每日经济新闻
260,2021-10-15,牙茅医美茅：天使与魔鬼,证券之星
261,2021-10-15,东吴证券维持爱美客买入评级，2021三季报点评：业绩略超预期，新产品“濡白天使”上市推广顺利,每日经济新闻
262,2021-10-15,爱美客(300896)2021年三季报点评：盈利能力进一步提升 医美龙头价值凸显,新浪
263,2021-10-15,爱美客(300896)2021年三季报点评：三季报业绩超预期 天使针首发快速放量,新浪
264,2021-10-15,国金证券给予爱美客增持评级，嗨体系列持续高增长，濡白天使放量超预期,每日经济新闻
265,2021-10-15,国金证券：给予爱美客增持评级,证券之星
266,2021-10-15,爱美客披露2021年三季报，前三季度实现营收10.23亿元,资本邦
267,2021-10-15,朝闻国盛：PPI创新高、CPI继续弱 后续紧盯4大线索,新浪
268,2021-10-15,爱美客(300896)公司信息更新报告：单三季度业绩同比+98.0% 医美龙头持续高速增长,新浪
269,2021-10-15,爱美客(300896)：业绩超预期 濡白天使上市销售、多款明星产品共促持续增长,光大证券
270,2021-10-15,爱美客(300896)：嗨体亮眼 盈利质量再提升,新浪
271,2021-10-15,东莞证券维持爱美客推荐评级：业绩超预期，净利率超70%,每日经济新闻
272,2021-10-15,国盛证券维持爱美客买入评级：三季度持续高增长，天使针铺货再超预期,每日经济新闻
273,2021-10-15,【华创商社】爱美客（300896）2021年三季报点评：盈利能力继续提升，新品初露锋芒,华创悦享现代生活
274,2021-10-15,A股早报2021年10月15日星期五,Wind
275,2021-10-15,华西证券：给予爱美客买入评级,证券之星
276,2021-10-15,开源证券给予爱美客买入评级：单三季度业绩同比＋98%，医美龙头持续高速增长,每日经济新闻
277,2021-10-15,华西证券给维持爱美客买入评级：2021年Q3业绩超预期，濡白天使商业化销售顺利,每日经济新闻
278,2021-10-15,爱美客大宗交易成交1.99亿元,证券时报
279,2021-10-15,爱美客：前三财季盈利7.09亿人民币，同比增长144.09%,Wind
280,2021-10-14,爱美客前三季度营收、净利三位数增长 国内市场份额超14%,中证网
281,2021-10-14,爱美客三季报净利增长144%，新产品“濡白天使”贡献业绩增量,阿尔法工场
282,2021-10-14,【浙商医美】爱美客：业绩逐季攀升，扣非净利率环比稳定,纺服新消费马莉团队
283,2021-10-14,犀牛晚讯：自如CEO熊林接任董事长 爱美客前三季净利7.09亿,GPLP犀牛财经
284,2021-10-14,爱美客前三季度营收和净利润三位数增长 北上资金三季度大幅增仓,e公司
285,2021-10-14,"爱美客现1笔大宗交易 共成交19,871.68万元",新浪
286,2021-10-14,爱美客：前三季度归母净利润7.09亿元，同比增长144.09%,36氪
287,2021-10-14,爱美客今日大宗交易成交32万股，成交价620.99元折价3.0%,Wind
288,2021-10-14,爱美客：前三季度净利润同比预增144.09%,财联社
289,2021-10-14,公私募大腕“混战”“牙科茅”，张坤撤了，葛兰“加仓”，归凯焦巍孙庆瑞各自站队,华尔街见闻
290,2021-10-14,资金狂涌！首只百亿医疗ETF诞生，什么信号？,Wind
291,2021-10-14,A股早报2021年10月14日星期四,Wind
292,2021-10-13,医美股暴力反弹，朗姿股份熬过冬天了吗？,证券之星
293,2021-10-13,两市共发生110宗大宗交易 机构抢筹这些个股,第一财经
294,2021-10-13,透视大宗交易：10月13日共成交110笔，爱美客成交3.23亿元,每日经济新闻
295,2021-10-13,"爱美客现7笔大宗交易 共成交32,266.60万元",新浪
296,2021-10-13,资金回流大消费！茅台王者归来，后市如何走,Wind
297,2021-10-13,医美板块反弹引出两重逻辑：三季报高增长和品类扩张,财联社
298,2021-10-13,【热点零距离】颜值经济卷土重来！医美概念股异动，市场风格正切换？,财华社
299,2021-10-13,医美板块今日逆势大涨！行业快速发展，有望成为全球规模最大市场之一！机构关注度高，28股获北向资金加仓（附股）,证券时报
300,2021-10-13,美迪西、爱美客、国际医学涨超6%，医疗ETF（159828）涨超2%,资本邦
301,2021-10-13,新能源、医美板块齐发力 创业板指大涨逾2%,证券之星
302,2021-10-13,医美再度集体飙升，医疗ETF半日吸金超1.1亿元,Wind
303,2021-10-13,"医美产业链全景图：传统企业快速切入中游市场、互联网巨头布局""获客平台""",零壹财经
304,2021-10-13,医药生物行业双周报：行业估值处于历史平均以下 择优布局优质标的,新浪
305,2021-10-13,A股早报2021年10月13日星期三,Wind
306,2021-10-13,爱美客10月12日现1笔大宗交易,证券时报网
307,2021-10-13,A股三季报拉开帷幕，周期行业新能源领域亮眼,Wind
308,2021-10-12,2021年9月化妆品行业数据点评：淘系回落 新平台分流加速,新浪
309,2021-10-12,"爱美客现1笔大宗交易 共成交9,632.16万元",新浪
