,2021-12-31,化工行业2021年11月数据：国内化工行业运行指标跟踪,新浪
22,2021-12-23,华鲁恒升(600426)：拟实施股权激励 长期发展可期,新浪
23,2021-12-23,华鲁恒升(600426)：股票激励计划实施 彰显公司持续发展信心,国金证券股份有限公司
24,2021-12-23,华鲁恒升(600426)：股权激励草案推出 发展稳步向前,新浪
25,2021-12-23,华鲁恒升：推出限制性股票激励计划,中证网
26,2021-12-23,中泰证券：给予华鲁恒升买入评级,证券之星
27,2021-12-23,中泰证券给予华鲁恒升买入评级：股权激励彰显发展信心，煤基新材料公司成长可期,每日经济新闻
28,2021-12-22,【安信化工】华鲁恒升：拟实施股权激励，看好公司长期成长,安信化工研究
29,2021-12-22,华鲁恒升(600426.SH)拟推2021年限制性股票激励计划 授予价为17.93元/股,智通财经
30,2021-12-22,华鲁恒升(600426.SH)：拟推1320万股的2021年限制性股票激励计划,格隆汇
31,2021-12-22,生意社：12月22日山东华鲁恒升液氨报价持稳,生意社
32,2021-12-21,生意社：12月21日华鲁恒升异辛醇报价暂稳,生意社
33,2021-12-21,生意社：12月21日华鲁恒升尿素报价暂稳,生意社
34,2021-12-21,生意社：12月21日华鲁恒升硫酸铵价格动态,生意社
35,2021-12-20,基础化工行业周报：磷酸铁锂、三氯化磷、己内酰胺价格维持涨势 三元材料、己二酸、顺酐等价格上涨,新浪
36,2021-12-20,化工周报：原油价格继续下挫；周期龙头、折叠屏材料相关标的表现活跃,新浪
37,2021-12-19,招商化工行业周报2021年12月第3周：顺酐及磷酸价格涨幅居前，供给趋紧TDI市场大幅上行,微信
38,2021-12-17,生意社：12月17日华鲁恒升尿素报价上涨,生意社
39,2021-12-17,生意社：12月17日华鲁恒升异辛醇报价下跌,生意社
40,2021-12-17,生意社：12月17日山东华鲁恒升液氨报价持稳,生意社
41,2021-12-17,29股获券商买入评级，大族激光目标涨幅达48.43%,Wind
42,2021-12-16,生意社：12月16日华鲁恒升尿素报价暂稳,生意社
43,2021-12-16,生意社：12月16日华鲁恒升异辛醇报价暂稳,生意社
44,2021-12-16,生意社：12月16日山东华鲁恒升液氨报价持稳,生意社
45,2021-12-16,华鲁恒升：公司尿素产品无直接出口业务,Wind
46,2021-12-15,生意社：12月15日华鲁恒升异辛醇报价暂稳,生意社
47,2021-12-15,生意社：12月15日山东华鲁恒升醋酸产销动态,生意社
48,2021-12-15,生意社：12月15日华鲁恒升尿素报价上涨,生意社
49,2021-12-15,生意社：12月15日华鲁恒升硫酸铵价格动态,生意社
50,2021-12-14,北向资金再度扫货超60亿，连续7日抢筹东方财富累计加仓超近61亿元,Wind
51,2021-12-14,生意社：12月14日华鲁恒升异辛醇报价暂稳,生意社
52,2021-12-14,生意社：12月14日华鲁恒升尿素报价暂稳,生意社
53,2021-12-14,能源化工行业周观点：政策发力稳增长 碳排放双控催生长期机遇,新浪
54,2021-12-13,涨停板解密：资金追捧，传媒游戏股再度火爆上攻！（12月13日）,Wind
55,2021-12-13,基础材料／能源行业动态点评：能耗顶层政策明确化 利好行业龙头,新浪
56,2021-12-13,12月13日华鲁恒升涨停分析：乙二醇，丁辛醇，醋酸概念热股,证券之星
57,2021-12-13,A股收盘综述：沪指3700点得而复失，元宇宙概念掀涨停潮；北交所一股“30CM”涨停！,Wind
58,2021-12-13,华泰证券：能耗顶层政策明确化 利好行业龙头华鲁恒升(600426.SH)等,智通财经
59,2021-12-13,生意社：12月13日华鲁恒升硫酸铵价格动态,生意社
60,2021-12-13,A股午盘综述：沪指放量涨1%，时隔3个月重返3700点！元宇宙概念再度爆发,Wind
61,2021-12-13,生意社：12月13日山东华鲁恒升液氨报价上调,生意社
62,2021-12-13,快讯：华鲁恒升涨停 报于33.51元,金融界
63,2021-12-12,招商化工行业周报2021年12月第2周：黄磷价格继续大涨，三星明年MiniLED电视目标300万台,微信
64,2021-12-12,【安信化工】科学考核能耗双控，看好化工龙头,安信化工研究
65,2021-12-09,生意社：12月9日华鲁恒升异辛醇报价暂稳,生意社
66,2021-12-09,生意社：12月9日华鲁恒升尿素报价暂稳,生意社
67,2021-12-09,生意社：12月9日山东华鲁恒升液氨报价下调,生意社
68,2021-12-06,化工周报：周期品价格逐步企稳 静待春旺归来,新浪
69,2021-12-06,深度*行业*化工行业2022年策略：优秀龙头有望价值重估 新材料发展空间广阔,新浪
70,2021-12-06,基础化工行业周报：PVDF、磷酸铁锂等锂电材料价格维持涨势 环氧丙烷、海外磷酸二铵、三氯化磷等价格上涨,新浪
71,2021-12-06,石油化工新材料行业北上资金周报,新浪
72,2021-12-06,基础化工行业周报：政策陆续出台利好氢能行业发展 氟化工向高附加值产品延伸,光大证券
73,2021-12-05,招商化工行业周报2021年12月第1周：黄磷及三氯化磷价格涨幅居前，继续关注优质成长股,微信
74,2021-12-05,开源金股12月推荐；掘金直播电商黄金赛道丨一周重点研究报告,开源证券研究所
75,2021-12-05,化工行业2022年投资策略：一半是海水 一半是火焰,广发证券
76,2021-12-03,上海境业签约华鲁恒升百万吨级尿素高塔造粒尾气高效净化系统项目,国家煤化工网
77,2021-11-30,南财脱水研报丨供需错配天然气价格维持高位，中国格局向好，未来怎么看？,21经济网
78,2021-11-30,能源化工行业周观点：继续推荐高景气赛道和成长高确定性标的,新浪
79,2021-11-30,基础化工行业深度研究：供需错配天然气价格维持高位 中国格局向好,国金证券股份有限公司
80,2021-11-30,基础化工行业周报：甘氨酸、萤石等价格延续涨势 DMC、人造石墨负极、尿素、黄磷等价格上涨,新浪
81,2021-11-29,12月买什么股票好？12月股票推荐最新,至诚财经
82,2021-11-29,化工：海外尿素价格持续上涨 全球谷物产量面临氮肥紧缺压力,新浪
83,2021-11-29,开源金股，12月推荐,开源证券研究所
84,2021-11-29,化工周报：DMC、甘氨酸持续上涨 关注一线龙头及偏下游产品,新浪
85,2021-11-28,招商化工行业周报2021年11月第4周：维生素K3及碳酸二甲酯涨幅居前，进一步聚焦优质成长股,微信
86,2021-11-28,化工行业：原油价格大幅下跌 化工品价差收窄,广发证券
87,2021-11-26,基础化工行业2022年年度投资策略：坚守价值 聚焦成长,新浪
88,2021-11-25,凯盛新材采购数据频变脸 募投项目投资额及预期收益或“吹泡泡”,金融界
89,2021-11-25,化工行业：“液体黄金”大幅提升轮胎性能,广发证券
90,2021-11-24,石油化工新材料行业北上资金周报,新浪
91,2021-11-23,基础化工行业周报：农药、海外尿素、氯化钾等价格延续涨势 锂电材料、电石、PBAT、赖氨酸等涨价,新浪
92,2021-11-23,华鲁恒升现1笔大宗交易 共成交400.37万元,新浪
93,2021-11-23,华鲁恒升今日大宗交易成交13.35万股，成交价29.99元溢价0.0%,Wind
94,2021-11-23,华鲁恒升(600426.SH)拟与关联方新华制药续签化工原料供货协议,智通财经
95,2021-11-23,华鲁恒升：与新华制药续签日常关联交易,财联社
96,2021-11-23,化工行业周报：农药价格部分回归理性 多氟多与比亚迪签订战略协议,新浪
97,2021-11-23,基础化工行业：需求驱动仍是主旋律,新浪
98,2021-11-22,化工周报：北交所正式开盘；双碳系列政策持续落地、煤化工行业频出新动态,新浪
99,2021-11-22,化工行业周报：房地产融资环境改善 继续关注化工估值修复机会,新浪
100,2021-11-22,化工行业动态：金属硅触底反弹 甘氨酸支撑草甘膦高位,新浪
101,2021-11-22,5股获券商买入评级，华鲁恒升目标涨幅达41.21%,Wind
102,2021-11-21,基础化工行业周报：周期品价格分化 风电材料表现强势,国金证券股份有限公司
103,2021-11-21,化工行业：高端光刻胶相继突破 关注国产化进程,广发证券
104,2021-11-20,11月19日23只个股获券商关注，华鲁恒升目标涨幅达41.21%,每经网
105,2021-11-20,化工行业策略：新能源变革下的化工新材料大机会,新浪
106,2021-11-19,总投资460亿元 湖北新建煤化工项目开工,国家煤化工网
107,2021-11-19,华鲁恒升(600426)：关注公司在景气下滑阶段的盈利韧性,新浪
108,2021-11-18,申港证券维持华鲁恒升买入评级：Q3维持高景气新材料未来可期,每日经济新闻
109,2021-11-18,A股收盘综述：元宇宙回撤；锂矿炙手可热，天齐锂业巨量成交137亿元,Wind
110,2021-11-18,基础化工行业周报：全国性限电基本结束 产品价格逐渐回归常态,国金证券股份有限公司
111,2021-11-18,A股午盘综述：锂矿等高景气赛道依然火热，元宇宙深度回调,Wind
112,2021-11-18,中信建投2022年化工行业策略报告：“双碳”重塑行业，开启谋新求变新篇章,Wind
113,2021-11-17,化工2020年投资策略报告：“双碳”重塑行业 开启谋新求变新篇章,新浪
114,2021-11-15,化工行业周报：碳中和背景下 继续看好高景气新能源化工材料,新浪
115,2021-11-15,化工周报：维生素、磷化工价格上涨 周期品整体企稳 关注白马龙头和轮胎、农化产业链,新浪
116,2021-11-15,招商化工行业周报2021年11月第2周：磷化工产品价格涨幅居前，继续关注低估值高成长个股,微信
117,2021-11-12,化工行业周度观点21W43：碳达峰行动方案出台 “1+N”政策体系更加明确,新浪
118,2021-11-12,社保基金连续五年重仓三大行业，长期持有31股,Wind
119,2021-11-12,尿素溶液价格持续上涨，超六成概念股市盈率不足20倍,Wind
120,2021-11-12,社保基金连续五年重仓三大行业 长期持有31股,证券日报网
121,2021-11-11,中泰周期·大宗指南：周期品周度运行变化,新浪
122,2021-11-11,天赐材料：公司目前与华鲁恒升已有开展业务合作,Wind
123,2021-11-11,天赐材料：目前与华鲁恒升已有开展业务合作,每日经济新闻
124,2021-11-11,社保基金连续5年重仓三大行业，“心头肉”曝光,证券时报网
125,2021-11-11,社保基金：“心头肉”曝光，最长持仓达16年，8只绩优压箱底股已打折，偏爱医药等三大行业,证券时报
126,2021-11-10,“火红”的磷酸铁锂：上市公司疯狂跨界扩产，2023年产能或面临过剩节点？,Wind
127,2021-11-10,化工行业周报：轮胎景气度回升 石大胜华积极布局新能源,新浪
128,2021-11-09,基础化工行业周报：氟化工、农药、电池级EC、炭黑等价格延续涨势 醋酸、己二酸、钛白粉、间苯二酚等涨价,新浪
129,2021-11-09,华西证券维持华鲁恒升买入评级：核心产品量价齐升，新材料项目陆续投产,每日经济新闻
130,2021-11-09,华西证券：给予华鲁恒升买入评级,证券之星
131,2021-11-07,招商化工行业周报2021年11月第1周：维生素和农药价格涨幅居前，建议关注低估值高成长个股,微信
132,2021-11-06,华鲁恒升(600426)：Q3业绩符合预期 产品结构高端化,新浪
133,2021-11-03,基础化工行业周报：油价下跌 无水氢氟酸、除草剂、丁基橡胶等产品价格上涨,新浪
134,2021-11-03,基础化工行业2021年三季报总结：原材料价格持续提升 短期影响21Q3行业盈利能力,新浪
135,2021-11-02,基础化工行业2022年度投资策略：聚焦供需格局向好主线 关注低估值高成长细分龙头,新浪
136,2021-11-01,化工行业周报【20211031】,点化成金
137,2021-11-01,基础化工行业：把握需求确定的方向,新浪
138,2021-11-01,基础化工行业周报：制冷剂、农药、橡胶助剂价格延续上涨 三氯蔗糖、电池级EC、氯化钾、炭黑、六氟丙烯等涨价,新浪
139,2021-10-31,招商化工行业周报2021年10月第5周：三氯甲烷及百草枯涨幅居前，维生素价格总体上涨,微信
140,2021-10-31,【华安化工|周报】《2030年前碳达峰行动方案》发布，重点实施“十大行动”,化工阿尔法
141,2021-10-29,中银证券维持华鲁恒升买入评级：新材料项目陆续投产，未来发展可期,每日经济新闻
142,2021-10-29,华鲁恒升(600426)：Q3盈利保持高位 煤价上涨压力有望缓解,新浪
143,2021-10-29,东吴证券维持华鲁恒升买入评级，三季报点评：原材料成本压力有望缓解，未来新材料项目比例提升,每日经济新闻
144,2021-10-29,东兴证券维持华鲁恒升强烈推荐评级：盈利能力保持较高水平，新项目布局有望带来新增量,每日经济新闻
145,2021-10-28,西部证券维持华鲁恒升买入评级，2021年三季报点评：产品价格高位盘整，酰胺及 DMC 项目顺利投产,每日经济新闻
146,2021-10-28,开源证券维持华鲁恒升买入评级：检修致业绩环比回落，新材料项目不断加码成长可期,每日经济新闻
147,2021-10-28,国金证券：给予华鲁恒升买入评级,证券之星
148,2021-10-28,国金证券维持华鲁恒升买入评级：检修影响产量，煤价影响成本盈利略有调整,每日经济新闻
149,2021-10-28,华鲁恒升(600426)2021年三季报点评：煤价上涨压低利润率 看好新材料业绩增量,新浪
150,2021-10-28,【国海化工】华鲁恒升三季报点评：盈利同比保持高增，DMC投产将助力业绩提升,靠谱化工股
151,2021-10-28,【招商化工】华鲁恒升：三季度业绩符合预期，迎来快速发展新阶段,微信
152,2021-10-28,安信证券：维持华鲁恒升(600426.SH)“买入”评级 目标价43元,智通财经
153,2021-10-28,【安信化工】华鲁恒升：Q3景气持续，能效领跑+产业高端化再启征程,安信化工研究
154,2021-10-27,华鲁恒升第三季度净利同比增长368.49%,上证报
155,2021-10-27,图解华鲁恒升三季报：第三季度单季净利润同比增368.49%,证券之星
156,2021-10-27,华鲁恒升：2021年前三季度净利润约56.12亿元，同比增长334.84%,每日经济新闻
157,2021-10-27,华鲁恒升：第三季度净利同比增368% 险资新进前十股东名单,e公司
158,2021-10-27,华鲁恒升(600426.SH)：第三季度净利增368.49%至18.11亿元,格隆汇
159,2021-10-27,华鲁恒升：第三季度净利润18.1亿元 同比增长368%,财联社
160,2021-10-27,华鲁恒升：前三季度净利润同比增长334.84%,Wind
161,2021-10-27,化工行业动态：重点覆盖公司3季报业绩前瞻,新浪
162,2021-10-26,北向资金再度净买入超8亿，连续9日抢筹宁德时代累计加仓超55亿,Wind
163,2021-10-26,格林达(603931)：产品销量增长显著 Q3业绩持续增长,广发证券
164,2021-10-25,【广发化工|季报点评】卫星石化：C3高景气叠加C2一期贡献增量，21Q3业绩创新高,广发化工微平台
165,2021-10-25,招商化工行业周报2021年10月第4周：双氧水及烧碱价格持续大涨，PVA景气向上盈利大幅提升,微信
166,2021-10-24,【华安化工|周报】石化化工重点行业节能降碳行动方案发布,化工阿尔法
167,2021-10-24,基础化工行业周报：国家强调能源保供及大宗商品稳价 光刻胶仍旧短缺利好国产替代,光大证券
168,2021-10-22,碳中和深度报告(三)：低碳转型双控先行 深度梳理政策脉络与影响,新浪
169,2021-10-22,华鲁恒升(600426)事件点评：规划建设高端溶剂项目 继续加码电解液溶剂,国海证券
170,2021-10-21,行业动态｜行业开工率不足六成 DMF价格短期仍有望提涨,财联社
171,2021-10-18,化工周报：能源价格上行强化周期品景气 坚定看好泛碳中和板块 关注受益海运费下降的轮胎行业,新浪
172,2021-10-18,基础化工行业：把握确定性强的子赛道,新浪
173,2021-10-18,中泰周期·大宗指南：周期品周度运行变化,新浪
174,2021-10-18,化工行业周报【20211017】,点化成金
175,2021-10-18,招商化工行业周报2021年10月第3周：双氧水及PVC价格大幅上涨，化工行业景气度持续向上,微信
176,2021-10-17,中泰化工周度观点21W41：冬季供需偏紧支撑油价 22Q2步入累库价格承压,新浪
177,2021-10-16,基础化工行业周报：海运价格下调促轮胎企业盈利回升 限电背景下聚酯龙头长期受益,光大证券
178,2021-10-12,申万宏源：维持华鲁恒升(600426.SH)“买入”评级 DMC和己内酰胺项目投产 助力四季度增量,智通财经
179,2021-10-12,26股获券商买入评级，中远海控目标涨幅达113.90%,Wind
180,2021-10-11,48股获买入评级 最新:百隆东方,中财网
181,2021-10-11,华鲁恒升(600426)：DMC和己内酰胺项目投产 煤化工龙头持续加码新材料布局,新浪
182,2021-10-11,化工周报：受双控及国内外能源成本推动 化工品节前价格大幅上涨 Q4看好煤化工、农化以及氯碱板块,新浪
183,2021-10-11,23股今日获机构买入评级 8股上涨空间超20%,证券时报网
184,2021-10-11,开源证券：维持华鲁恒升(600426.SH)“买入”评级 新材料项目落地 打开成长空间,智通财经
185,2021-10-11,国金证券维持华鲁恒升买入评级：新项目投产运行，新材料布局构建良好基础,每日经济新闻
186,2021-10-11,国金证券：给予华鲁恒升买入评级,证券之星
187,2021-10-11,【华安化工|周报】电价浮动范围调整，高耗能行业不受20%上浮限制,化工阿尔法
188,2021-10-11,东吴证券：维持华鲁恒升(600426.SH)“买入”评级 化工新材料板块占比持续提升,智通财经
189,2021-10-11,华鲁恒升：目前公司尚未建立财务共享中心,每日经济新闻
190,2021-10-11,【华鲁恒升 | 公司快评：碳酸二甲酯、己内酰胺装置投产，加码新材料布局】-国信证券,化工林谈
191,2021-10-11,开源证券维持华鲁恒升买入评级：新材料项目落地，煤化工巨头大举进军高端溶剂领域,每日经济新闻
192,2021-10-11,22股获券商买入评级，江铃汽车目标涨幅达84.96%,Wind
193,2021-10-11,"【国金晨讯】一刀切限产叫停,市场化电价下投资机会渐显；如何把握新兴家电赛道机会？上调华鲁恒升盈利预测",国金证券研究所
194,2021-10-10,【招商化工】华鲁恒升：碳酸二甲酯及己内酰胺项目投产，发展再上新台阶,微信
195,2021-10-10,招商化工行业周报2021年10月第2周：农药价格总体上涨明显，烧碱价格继续大幅上行,微信
196,2021-10-10,安信证券维持华鲁恒升买入评级：DMC技改增量落地，本部高端化可期,每日经济新闻
197,2021-10-10,【安信化工】华鲁恒升：DMC技改增量落地，本部高端化可期,安信化工研究
198,2021-10-10,东吴证券维持华鲁恒升买入评级：碳酸二甲酯与己内酰胺项目投产，新材料转型加速推进,每日经济新闻
199,2021-10-09,23股获买入评级 最新:华鲁恒升,中财网
200,2021-10-09,华鲁恒升(600426)：新材料迎来收获期 传统产品景气延续,新浪
201,2021-10-08,基础化工行业：重视高盈利的持续性,新浪
202,2021-10-08,深度*行业*化工行业周报：原油、天然气大涨 草铵膦、草甘膦价格上调,新浪
203,2021-10-08,深度*行业*化工行业能耗政策追踪：有序用电措施升级 磷、硅开工率受限明显,新浪
204,2021-10-08,华鲁恒升DMC系列技改项目投产 新材料项目进入试生产阶段,e公司
205,2021-10-08,华鲁恒升(600426.SH)：酰胺及尼龙新材料项目(30万吨/年)己内酰胺及配套装置投产,格隆汇
206,2021-10-08,华鲁恒升：碳酸二甲酯增产提质系列技改项目投产,财联社
207,2021-10-06,长江大宗2021年10月金股推荐,新浪
208,2021-09-30,国海证券：予华鲁恒升(600426.SH)“买入”评级 下半年业绩有望超预期,智通财经
209,2021-09-30,【国海化工】华鲁恒升事件点评：规划建设高端溶剂项目，继续加码电解液溶剂,靠谱化工股
210,2021-09-30,【化工行业 | 10月投资策略：持续看多EVA、天然气、草甘膦和纯碱的中期供需错配】-国信证券,化工林谈
211,2021-09-28,化工行业周报：双控政策影响蔓延 硅产业链全线上涨,新浪
212,2021-09-28,股价波动不改化工板块景气，继续看好具有能耗优势的子行业龙头,金融界
213,2021-09-27,基础化工行业：供给预期扰动 板块波动加大,新浪
214,2021-09-27,化工行业：有机硅、纯碱及醋酸价格上涨,新浪
215,2021-09-27,化工行业周报：能耗双控进行时 继续看好受新能源拉动供需错配的化工子行业,新浪
216,2021-09-27,化工行业周报：万华荣获年度工业信息化领军奖 玲珑荣登亚洲品牌500强榜单,国海证券
217,2021-09-27,基础化工：油价上涨 制冷剂、工业硅、纯碱等产品价格继续上涨,新浪
218,2021-09-26,【华安化工|周报】停电限产有利于行业的长期健康发展,化工阿尔法
219,2021-09-26,招商化工行业周报2021年9月第4周：有机硅产业链价格全线大涨，烧碱价格大幅上行,微信
220,2021-09-26,化工行业：“能耗双控”政策趋严 化工品价格持续普涨,广发证券
221,2021-09-26,中泰化工周度观点21W39：川恒与富临精工签署战略合作协议 金属硅报价突破6万元,新浪
222,2021-09-25,基础化工行业周报：能耗双控限电限产背景下 化工龙头配置价值更为凸显,光大证券
223,2021-09-24,A股万亿常态成交，三季度以来逾千家公司获机构调研,Wind
224,2021-09-23,华鲁恒升跌5.46% 兴全谢治宇与百亿私募正心谷资本持股,中国经济网
225,2021-09-23,深度*行业*化工行业周报：能耗双控加码 磷、硅、氯碱产业链全线大涨,新浪
226,2021-09-23,热门公司调研机构云集，34家看涨逾100%,Wind
227,2021-09-22,华鲁恒升：公司目前尚无考虑在氢能源方面布局,每日经济新闻
228,2021-09-22,化工行业周报：能耗双控背景下关注高耗能产品价格弹性 继续看好新能源赛道上游材料核心标的,新浪
229,2021-09-22,化工行业周报：万华荣获中国质量奖提名 玲珑逆境中坚持扩张,国海证券
230,2021-09-22,华鲁恒升：目前公司醋酸产能为60万吨,Wind
231,2021-09-22,基础化工行业：油价上涨 工业硅、纯碱、R134A等产品价格持续上涨,新浪
232,2021-09-21,化工行业：能耗双控影响供给 化工品价格进一步走高,广发证券
233,2021-09-21,基础化工行业周报：PVDF、磷酸铁锂、金属硅等新能源材料继续向好 制冷剂、纯碱、磷化工延续涨势 氯碱、醋酸、己二酸等涨价,新浪
234,2021-09-21,中泰化工周度观点：完善能耗双控制度出台 产业结构优化有望提速,新浪
235,2021-09-19,谁将受益高煤价？37股预测业绩高增长，今后三年翻倍式增长仅3股,Wind
236,2021-09-18,化工行业周报：磷氟硅电石纯碱等泛“碳中和”板块持续景气 关注相关标的,新浪
237,2021-09-17,湖北宜化：公司内蒙气头尿素目前成本1400元/吨左右,Wind
238,2021-09-17,基础化工行业：坚决管控两高项目 两高产品周期属性持续弱化,国金证券股份有限公司
239,2021-09-15,基础化工行业2021半年报总结：景气回升带动业绩集体上涨 肥料、氟化工、化纤、聚氨酯、合成革等板块表现亮眼,新浪
240,2021-09-15,化工行业周报：磷化工产业链高位上行 双碱板块景气延续,新浪
241,2021-09-14,基础化工行业：MDI价格上行 PVDF涨势不减,新浪
242,2021-09-14,化工行业周报：烧碱货源紧张 有机硅价格节节攀升,新浪
243,2021-09-14,9月化工月度数据跟踪：PPI再创新高 持续性有望超预期,新浪
244,2021-09-14,煤飞色舞刷屏，低估值潜力股出炉，北上资金扫货6股,Wind
245,2021-09-14,化工行业动态：尿素市场面临考验 磷矿石价格继续上涨,新浪
246,2021-09-13,华鲁恒升大宗交易成交505.22万元,证券时报网
247,2021-09-13,基础化工行业周报：天然气与油服景气上行 新能源转型磷化工板块持续强势,光大证券
248,2021-09-13,华鲁恒升今日大宗交易成交12.49万股，成交价40.45元溢价0.0%,Wind
249,2021-09-13,化工行业：硅产业链景气度持续上行,广发证券
250,2021-09-10,华鲁恒升凯赛生物均跌4% 基金大佬兴全谢治宇调仓？,中国经济网
251,2021-09-10,【牛人重仓】华鲁恒升:前复权股价创新高，今日资金流入1512.26万元，北向资金持股6626.65万股，融资余额98854.31万元；前3个交易日，北向资金增持745.24万股，融资额增加6411.19万元，主力资金净流入36893.7万元,每日经济新闻
252,2021-09-09,华鲁恒升(600426)中报业绩点评：21H1业绩增长亮眼 步入成长窗口期,新浪
253,2021-09-07,华鲁恒升(600426)中报点评：半年度业绩创新高 持续加码新材料,国海证券
254,2021-09-07,化工行业周报：磷酸铁锂拉动锂电化工材料需求 继续推荐R142B-PVDF产业链,新浪
255,2021-09-06,山东区域股市周报：板块总市值涨383亿，华鲁恒升跌出前10强,每日经济新闻
256,2021-09-06,工信部“十四五”相关规划发布在即，生物降解塑料行业高增长启动,Wind
257,2021-09-06,化工行业周报：万华拟建40万吨POCHP项目 玲珑新零售2.0上线,国海证券
258,2021-09-06,化工周报：8月PMI、9月万华MDI挂牌价公布 制冷剂、金属硅、锂电材料继续大涨 MDI、钛白粉、橡胶助剂、磷产业链、农化产品等涨价,新浪
259,2021-09-05,专精特新还是核心资产？顶流私募最新投资思路曝光,Wind
260,2021-09-03,华鲁恒升(600426)：二季度再创佳绩 成长属性仍被低估,新浪
261,2021-09-03,【东北晨会0903】策略：近期的高成交额意味着什么？/英科再生（深）、潍柴动力、顾家家居、航天机电、华鲁恒升、孚能科技等,东北证券研究所
262,2021-09-02,天风证券：维持华鲁恒升(600426.SH)“买入”评级 目标价53.51元,智通财经
263,2021-09-02,天风证券维持华鲁恒升买入评级：二季度再创佳绩，成长属性仍被低估，目标价格为53.51元,每日经济新闻
264,2021-09-02,主力持续建仓股名单来了，机构扎堆推荐股揭秘（名单）,Wind
265,2021-09-02,华西证券：维持华鲁恒升(600426.SH)“买入”评级 产品价格高位 上半年业绩历史新高,智通财经
266,2021-09-02,华鲁恒升(600426)：业绩符合预期 盈利能力创历史新高,新浪
267,2021-09-02,中银证券维持华鲁恒升买入评级：化工化肥量价齐升，新材料布局蓄势待发,每日经济新闻
268,2021-09-02,狂买这些股！社保、QFII最新持仓大曝光！,Wind
269,2021-09-02,狂买这些股！社保、QFII最新持仓大曝光！抄作业机会来了？,Wind
270,2021-09-02,私募大佬最新持股曝光！冯柳、邓晓峰500亿重仓这些票,Wind
271,2021-09-01,山西证券维持华鲁恒升增持评级：行业景气度攀升，产品竞争优势明显,每日经济新闻
272,2021-09-01,每日报告回放,新浪
273,2021-09-01,机构加仓！“赛道”股哑火，后市或有第二春,Wind
274,2021-09-01,国海证券：予华鲁恒升(600426.SH)“买入”评级 主营产品量价齐升 业绩创新高,智通财经
275,2021-09-01,化工行业报告：制冷剂及有机硅价格上涨,新浪
276,2021-09-01,华鲁恒升(600426)：主营业务量价齐升 公司业绩持续超预期,新浪
277,2021-09-01,国海证券首予华鲁恒升买入评级，中报点评：半年度业绩创新高，持续加码新材料,每日经济新闻
278,2021-08-31,华鲁恒升今日大宗交易成交13.80万股，成交价33.6元折价7.74%,Wind
279,2021-08-31,【华鲁恒升2021年半年报点评】多产品共振盈利表现优异，新材料延伸发展,搜狐
280,2021-08-31,华鲁恒升(600426)：Q2业绩创单季度新高 看好煤化工产品景气持续 关注未来新能源材料布局,新浪
281,2021-08-31,华鲁恒升(600426)：新材料项目推进 第二基地建设启动 成长提速,广发证券
282,2021-08-31,华鲁恒升上半年实现净利润38亿元 同比增长3.2倍,证券日报网
283,2021-08-31,【招商化工】华鲁恒升：行业高景气助推业绩大幅增长，步入快速成长期,微信
284,2021-08-31,【安信化工】华鲁恒升：业绩超预期，走出去+高端化战略助力公司持续成长,安信化工研究
