,2021-12-31,电子行业研报：车规半导体空间足，国产替代提速【华西电子团队】,每经网
46,2021-12-09,A股存储芯片再迎“新锐势力”，东芯股份值得期待吗？,每日经济新闻
47,2021-12-09,【招商电子】兆易创新公司点评：公布2022年关联交易额度，自主品牌DRAM加速放量,招商电子
48,2021-12-09,兆易创新：公司MCU产品支持广泛的应用，在车用领域，除在汽车后装市场的已有应用外，正稳步进入车规市场,每日经济新闻
49,2021-12-09,兆易创新：公司SPI NOR Flash车规级产品2Mb~2Gb容量已全线铺齐,每日经济新闻
50,2021-12-09,12月北向资金增持大消费与信息技术板块,证券导报
51,2021-12-09,外资爆买A股！一天狂加仓近百亿！抄底宁德时代，重仓茅台、招行,Wind
52,2021-12-09,A股突然启动上涨，茅台收复2000元，人民币连创新高！,Wind
53,2021-12-09,6天买入超三百亿 北上资金为什么这么疯？(附热门榜单),华尔街见闻
54,2021-12-08,A股共发生220宗大宗交易成交40.56亿元（12月8日）,Wind
55,2021-12-08,【兴证策略 | 陆股通】配置盘与交易盘在哪些行业出现“分歧”？,尧望后势
56,2021-12-08,北向资金12月净流入超300亿，赛道切换剑指何处？,Wind
57,2021-12-08,"兆易创新现7笔大宗交易 共成交16,085.03万元",新浪
58,2021-12-08,BULL公牛2860W电动汽车移动式交流充电器拆解报告,Ofweek
59,2021-12-08,大基金持仓|大基金一、二期相继入股，东芯股份（688110.SH）有何来头？,财华社
60,2021-12-08,解盘：大盘震荡走高，白酒、军工、半导体、光刻胶领涨,Wind
61,2021-12-08,北京君正、兆易创新涨超7%，消电ETF（561310）涨超2%,资本邦
62,2021-12-08,【异动股】半导体板块高开，兆易创新(603986.CN)涨3.92%,财华社
63,2021-12-08,A股早报2021年12月8日星期三,Wind
64,2021-12-08,大基金二期频出手，这类芯片价格创六年新高，高增长概念股名单出炉,Wind
65,2021-12-08,降准落地，A股仍涨不动？这一顶级赛道却吵翻了,Wind
66,2021-12-08,华富基金陈奇：在景气赛道中寻找长期确定性——公募基金每周一基系列,华宝财富魔方
67,2021-12-07,市场温度计：东吴策略-内外资风格持续分化,新浪
68,2021-12-07,“宁王”不香了？北向资金连卖2日！12月爆买235亿，这些股才是“聪明钱”的心头好,财联社
69,2021-12-07,"兆易创新现7笔大宗交易 共成交12,229.92万元",新浪
70,2021-12-07,兆易创新今日大宗交易成交74.50万股，成交价164.16元折价4.0%,Wind
71,2021-12-07,大基金加速减持兆易创新，同行释放涨价信号，行业变局来了？,Wind
72,2021-12-07,市场资金面周观察：降准预期再起 股市流动性回暖,新浪
73,2021-12-07,每日财报|牧原股份增资全资子公司51.5亿元 兆易创新遭大基金减持 减持股份,搜狐
74,2021-12-06,【晚间公告抢先看】牧原股份11月份生猪销售收入67.67亿元、亿纬锂能实控人减持时误买入2万股 终止减持计划,金融界
75,2021-12-06,晚间重要公告2021年12月6日星期一,Wind
76,2021-12-06,晚间公告｜12月6日这些公告有看头,第一财经
77,2021-12-06,兆易创新股东大基金减持计划实施完毕,上证报
78,2021-12-06,兆易创新：大基金累计减持1%，股东朱一明减持113万股 减持股份,阿尔法工场
79,2021-12-06,北向资金连续4日净买入累计加仓超150亿，大幅抢筹券商、银行股,Wind
80,2021-12-06,兆易创新又被减持！国家大基金和董事长双双出手，合计套现逾12亿元,21世纪经济报道
81,2021-12-06,兆易创新：股东朱一明减持113万股公司股份 减持股份,每日经济新闻
82,2021-12-06,兆易创新(603986.SH)：大基金完成减持 累计减持665.72万股 减持股份,智通财经
83,2021-12-06,兆易创新(603986.SH)第一大股东朱一明累计减持113万股 减持股份,智通财经
84,2021-12-06,兆易创新：朱一明减持0.17%公司股份 减持股份,Wind
85,2021-12-06,兆易创新(603986.SH)：大基金完成减持1%股份 减持股份,格隆汇
86,2021-12-06,兆易创新：国家集成电路产业投资基金减持约1%公司股份，完成减持 减持股份,Wind
87,2021-12-06,兆易创新、片仔癀等42股获北向资金增持额超亿元,证券时报网
88,2021-12-06,A股融资融券日报：两融余额减少18.05亿元（12月3日）,Wind
89,2021-12-06,电子周报：车用芯片供给逐步升温；联电将启动新一轮长约涨价,新浪
90,2021-12-06,15股获券商买入评级，安恒信息目标涨幅达45.45%,Wind
91,2021-12-06,钛媒体科股早知道：第二批智能网联汽车试点城市出炉；园区开展工业绿色低碳微电网建设,钛媒体
92,2021-12-06,北上资金青睐建筑装饰行业,Wind
93,2021-12-05,【德邦金工|周报】资金密集流入医药，关注工业富联巨额解禁 20211205 解禁,微信
94,2021-12-05,尾盘突发跳水，特斯拉概念牛股摊上事，聪明资金逆市抢筹！芯片股被轮番买入，北上资金大举加仓半导体板块,证券时报
95,2021-12-05,本周北向资金重点增持环保行业，狂买“宁王”22亿元，减仓这些个股（名单）,21世纪经济报道
96,2021-12-04,12月3日19只个股获券商关注，报喜鸟目标涨幅达45.68%,每经网
97,2021-12-04,A股市场领涨全球，监管同意开展账户管理功能优化试点工作,Wind
98,2021-12-04,沪指重上3600点，北向资金净买入92亿元,Wind
99,2021-12-04,北上资金年度净买入刷新历史纪录,Wind
100,2021-12-03,陆股通净买入92.21亿元，连续3日净买入,证券时报网
101,2021-12-03,首创证券维持兆易创新买入评级：自研DRAM有望进入加速放量期,每日经济新闻
102,2021-12-03,北向资金豪买A股92亿元，买入兆易创新9.4亿元，加仓4只白酒股10亿元（名单）,21经济网
103,2021-12-03,北向资金今日净买入兆易创新9.44亿元,证券时报
104,2021-12-03,数据复盘｜食品饮料等行业获主力资金青睐 北向资金加仓兆易创新、泸州老窖等,证券时报网
105,2021-12-03,"兆易创新现4笔大宗交易 共成交19,145.59万元",新浪
106,2021-12-03,北向资金净买入92.21亿元 兆易创新净买入9.44亿元,新浪
107,2021-12-03,北向资金丨 兆易创新净买入9.44亿元,第一财经
108,2021-12-03,北上资金净买入兆易创新9.44亿元,格隆汇
109,2021-12-03,北向资金今日净买入超92亿元本周累计加仓超150亿，大幅抢筹芯片股,Wind
110,2021-12-03,曾经的白酒又回来了？叫板茅台江湖地位，五粮液放大招提价！“二锅头”甩掉包袱，狂飙2连板！,雪球
111,2021-12-03,A股市场领涨全球，北上资金已开始“按捺不住”？,Wind
112,2021-12-03,信达证券维持兆易创新买入评级：自研DRAM加速放量，存储龙头成长动力强劲,每日经济新闻
113,2021-12-03,兆易创新：股价上涨或出于市场对DRAM业务乐观解读丨公司问答,第一财经
114,2021-12-03,媒体报道“吓坏”半导体龙头，涨停后紧急澄清：我没有 别瞎说,证券之星
115,2021-12-03,信达证券：维持兆易创新(603986.SH)“买入”评级 自研DRAM加速放量 营利有望大幅提升,智通财经
116,2021-12-03,多应用领域创新发展 国产32位MCU前景可观,OFweek
117,2021-12-03,北向资金净买入逾30亿元，增持银行、医疗服务板块，最青睐这只锂电龙头股（名单）,21经济网
118,2021-12-03,圣邦股份、韦尔股份、兆易创新涨超5%，芯片ETF（512760）涨超2.5%,资本邦
119,2021-12-03,半导体指数全面上涨,Wind
120,2021-12-03,A股融资融券日报：两融余额减少72.45亿元（12月2日）,Wind
121,2021-12-03,盘前情报丨千亿市值芯片股“排队”涨停；硅片打响价格战,21世纪经济报道
122,2021-12-03,25股获券商买入评级，中孚信息目标涨幅达62.82%,Wind
123,2021-12-03,北上资金12月2日净买入30.21亿元，宁德时代（300750.SZ）成交额居首,智通财经
124,2021-12-03,三大指数弱势震荡，汽车整车板块表现强势,Wind
125,2021-12-02,芯片股“开盲盒”？千亿市值芯片股“排队”涨停，2500亿龙头股触板仅用38秒，下个会是谁,财联社
126,2021-12-02,北向资金净买入逾30亿元，宁德时代获加仓超8亿元,第一财经
127,2021-12-02,北向资金今日净买入30.21亿元，宁德时代连续6日净买入累计加仓超24亿,Wind
128,2021-12-02,国盛证券维持兆易创新买入评级：关联交易预计额度披露，自研DRAM进入放量式增长,每日经济新闻
129,2021-12-02,国盛证券：给予兆易创新买入评级,证券之星
130,2021-12-02,什么情况？大佬喊话后，千亿芯片龙头轮番涨停,财联社
131,2021-12-02,半导体概念股全线上攻,Wind
132,2021-12-02,半导体指数拉升，韦尔股份涨停,Wind
133,2021-12-02,A股早报2021年12月2日星期四,Wind
134,2021-12-02,A股融资融券日报：两融余额增加5.37亿元（12月1日）,Wind
135,2021-12-02,北向资金动向盘点：批量净卖新能源个股,Wind
136,2021-12-01,芯片存储龙头兆易创新涨停，明年自有品牌采购代工金额将大幅增加,金融界
137,2021-12-01,A股资金流向：主线不明题材股炒作继续，资金挖掘低位补涨,Wind
138,2021-12-01,12月1日兆易创新涨停分析：闪存，人工智能，DRAM（内存）概念热股,证券之星
139,2021-12-01,环旭电子、兆易创新涨停，5G50ETF（159811）三连阳,资本邦
140,2021-12-01,兆易创新放量涨停！智能制造概念再迎重磅政策支持,资本邦
141,2021-12-01,千亿存储芯片龙头涨停 关联交易公告暗藏玄机：自研产品有望爆发式放量,财联社
142,2021-12-01,解盘：资源回暖，纸业、煤炭、乡村振兴、网络安全领涨,Wind
143,2021-12-01,快讯：兆易创新涨停 报于165.66元,金融界
144,2021-12-01,公司自研DRAM或正式进入放量阶段 兆易创新盘中大涨封上涨停板,新浪
145,2021-12-01,快讯：半导体芯片股开盘走强 兆易创新涨超7%,新浪
146,2021-11-30,兆易创新(603986.SH)：部分募集资金投资项目延期 项目问题,格隆汇
147,2021-11-30,兆易创新(603986.SH)：向暂缓授予激励对象授予25.83万股限制性股票,格隆汇
148,2021-11-30,兆易创新：拟于12月16日召开2021年第五次临时股东大会,发布易
149,2021-11-30,兆易创新(603986.SH)签署《青岛海丝民溪投资中心(有限合伙)退伙协议》,智通财经
150,2021-11-30,兆易创新(603986.SH)：智能化人机交互研发中心建设项目延期 项目问题,智通财经
151,2021-11-30,兆易创新(603986.SH)向2名激励对象授予25.83万股限制性股票,智通财经
152,2021-11-29,科技硬件周报：功率半导体高景气度有望延续、关注5G+AIOT投资机遇,新浪
153,2021-11-28,电子行业周报：估值开始切换 乐观反映明年苹果、MINILED、半导体设备,新浪
154,2021-11-27,外资一周加仓超57亿元，大幅抄底白酒股！茅台又火了...,Wind
155,2021-11-26,兆易创新：公司GD25车规级存储全系列产品已在多家汽车企业批量采用,每日经济新闻
156,2021-11-26,兆易创新：NOR Flash供给紧张状况至少持续到明年上半年，MCU产品供不应求会持续到明年,每日经济新闻
157,2021-11-26,兆易创新：公司目前无分拆子公司上市计划,每日经济新闻
158,2021-11-26,高瓴重金押注新能源之王！外资最宠爱银行小白马(名单),Wind
159,2021-11-25,深度*行业*电子行业周报：TI宣布新厂建设计划 联发科发布4NM处理器,新浪
160,2021-11-25,兆易创新：发布首款GD32W515系列Wi-Fi微控制器 12月量产供货,e公司
161,2021-11-24,IPO专题：新股精要-国内存储芯片设计领先厂商东芯股份,新浪
162,2021-11-24,芯片小龙头4天涨56%、低位机构高关注股出炉,Wind
163,2021-11-23,兆易创新：大基金减持约333万股，减持数量过半 减持股份,每日经济新闻
164,2021-11-23,兆易创新：国家集成电路产业投资基金减持约0.5%公司股份 减持股份,Wind
165,2021-11-23,兆易创新(603986.SH)：大基金减持股数过半 累计减持332.95万股 减持股份,智通财经
166,2021-11-23,兆易创新(603986.SH)：大基金已通过集中竞价减持332.9515万股 减持股份,格隆汇
167,2021-11-23,深度*行业*半导体行业周报：思瑞浦发布数字隔离产品 FPGA安路科技上市,新浪
168,2021-11-23,兆易创新(603986)：利基存储仍大有可为，MCU加速国产替代,投资快报
169,2021-11-22,电子周报：手机厂商开拓汽车“下半场” 半导体处于健康的投资周期,新浪
170,2021-11-22,电子行业周报：折叠屏关注度继续升温 德仪宣布大额扩产计划,新浪
171,2021-11-22,电子行业周报：苹果公司重回全球第一的宝座,新浪
172,2021-11-22,科技硬件周报：AIOT产业加速 CMP材料与设备受关注,新浪
173,2021-11-19,兆易创新：公司17NM DDR3产品正在按计划进行中，预计2022年贡献营收,每日经济新闻
174,2021-11-18,北向资金今日净卖出44.53亿元，传统核心资产集体遭抛售,Wind
175,2021-11-18,19nm工艺 消息称国产DDR3内存已经量产：明年上市,快科技
176,2021-11-18,深度*行业*电子行业周报：代工双雄营收创新高 英伟达更新OMNIVERSE,新浪
177,2021-11-17,北向资金结束连续4日净买入，贵州茅台遭大幅抛售超11亿元,Wind
178,2021-11-17,兆易创新(603986)：利基存储仍大有可为 MCU加速国产替代,新浪
179,2021-11-17,北向资金动向盘点：重手净买白酒、医药,Wind
180,2021-11-17,北向资金连续四日买入近200亿元，再度“喝酒吃药买电子”，扫货这些龙头股（名单）,21世纪经济报道
181,2021-11-16,国家大基金又出手！3亿投向这只芯片股，瑞银、摩根大通也来了,Wind
182,2021-11-15,科技硬件周报：半导体板块高景气度延续、关注5G+AIOT新机遇,新浪
183,2021-11-15,全程高能 汽车芯片名师大讲堂助推产业高质量发展,和讯
184,2021-11-15,NOR Flash，也要走向3D？,36氪
185,2021-11-15,电子行业周报：杂音干扰的旺季VS乐观看待的明年,新浪
186,2021-11-12,兆易创新现1笔大宗交易 共成交602.25万元,新浪
187,2021-11-12,兆易创新：明年市场对MCU的需求仍会比较旺盛，需求包括各个领域，如工业、大家电、汽车、消费,每日经济新闻
188,2021-11-12,兆易创新：三季度公司业绩快速增长，首款DRAM产品市场开拓在顺利进行中，并在诸多客户端量产使用,每日经济新闻
189,2021-11-12,2300亿中芯国际突发“大地震”，国家大基金减持三只科技股,Wind
190,2021-11-12,北向资金动向盘点：房地产回暖，重手加仓却是非银,Wind
191,2021-11-12,国家大基金又减持！大基金二期风格有变？,Wind
192,2021-11-11,兆易创新大宗交易成交246.84万元,证券时报网
193,2021-11-11,兆易创新现1笔大宗交易 共成交246.84万元,新浪
194,2021-11-11,三季度代销机构非货公募保有规模放榜，基金积极布局跨年行情丨基金下午茶,证券之星
195,2021-11-11,【盘点】加速资本市场布局，这些存储厂商A股IPO进展情况如何？,搜狐
196,2021-11-11,大基金出手！千亿巨头又遭减持...,Wind
197,2021-11-11,大基金出手！千亿巨头又遭减持 减持股份,中国基金报
198,2021-11-10,【晚间公告抢先看】亿纬锂能称磷酸铁锂电池现已实现量产的产能、中伟股份拟在欧洲开展电池回收等合作,金融界
199,2021-11-10,晚间重要公告2021年11月10日星期三,Wind
200,2021-11-10,大基金又减持半导体股票，持有兆易创新股份比例降至5%,第一财经
201,2021-11-10,兆易创新(603986.SH)：大基金已通过集中竞价减持649.0426万股 减持股份,格隆汇
202,2021-11-10,兆易创新：大基金持有公司股份比例由6%下降至5%,36氪
203,2021-11-10,兆易创新：大基金持股比例下降至5.00%,e公司
204,2021-11-10,兆易创新：大基金持有公司股份比例下降至5%,财联社
205,2021-11-10,兆易创新：大基金持股比例降至5%,Wind
206,2021-11-10,电子行业周报：从美股大涨看中国半导体投资机遇,新浪
207,2021-11-10,【行业深度】洞察2021：中国MCU行业竞争格局及市场份额(附市场集中度、企业竞争力评价等),前瞻研究院
208,2021-11-10,缺芯/疫情“拦路”，社会数字化转型的变与不变,国际电子商情
209,2021-11-09,险资新动向：偏爱半导体、锂电和消费电子 看上天齐锂业、兆易创新、歌尔股份,财联社
210,2021-11-06,下周37股面临解禁，合计市值超300亿元，光伏牛股压力最大 解禁,和讯
211,2021-11-06,下周341亿市值限售股解禁，迈为股份解禁超百亿居首 解禁,Wind
212,2021-11-05,安路科技持续盈利能力遇窘境 董事在外任职涉嫌选择性披露,金融界
213,2021-11-05,兆易创新：公司为IC设计企业，采取Fabless模式，专注于集成电路设计及最终销售环节，自身不从事晶圆制造等业务，不会直接采购硅片等物料,每日经济新闻
214,2021-11-05,A股半导体公司前三季度业绩报告：136家公司合计盈利655亿元 60家公司翻倍增长,搜狐
215,2021-11-05,兆易创新：公司MCU产品销售额增长的原因包括：产品市场需求增加，产品销量增长；合理利用新增产能供应，优化产品结构；随市场供需紧张，产品售价有所提高,每日经济新闻
216,2021-11-05,险资调研热情空前高涨，对周期消费股特“来电”,Wind
217,2021-11-05,国家队大基金再出手，11亿狂买芯片龙头！,Wind
218,2021-11-04,兆易创新(603986.SH)：144.52万股行权股票将于11月10日上市流通,格隆汇
219,2021-11-04,SK海力士等保守增加DRAM供应量 客户库存较高市场遭谨慎看待,财联社
220,2021-11-04,光大证券：维持兆易创新(603986.SH)“买入”评级 Q3业绩大超预期 产品结构持续优化,智通财经
221,2021-11-04,大基金动向曝光：超8成持仓股遭减持、加码芯片龙头,Wind
222,2021-11-03,大基金又要减持了！安集科技再遭减持，股价年内跌近26% 减持股份,第一财经
223,2021-11-03,首创证券维持兆易创新买入评级：MCU和存储景气度不减，Q3继续高增长,每日经济新闻
224,2021-11-03,首创证券：给予兆易创新买入评级,证券之星
225,2021-11-03,国内芯片公司利润大增，半导体设备企业的新动态,Ofweek
226,2021-11-02,A股共发生220宗大宗交易成交35.45亿元（11月2日）,Wind
227,2021-11-02,"兆易创新现6笔大宗交易 共成交7,430.40万元",新浪
228,2021-11-02,兆易创新今日大宗交易成交43.20万股，成交价172.0元溢价0.0%,Wind
229,2021-11-02,兆易创新等160股获20家以上机构调研,证券时报网
230,2021-11-02,兆易创新(603986)：21Q3业绩大超预期 产品结构持续优化,光大证券
231,2021-11-02,电子行业每周市场动态追踪：三季报板块增速分化：消费电子环比改善 半导体国产替代持续,新浪
232,2021-11-01,兆易创新：三季度55NM产品占比在三成，未来几个季度会逐步提升,Wind
233,2021-11-01,兆易创新：公司最新的车规MCU已流片,Wind
234,2021-11-01,A股三季报交出优异答卷，营收净利增速创近五年新高,Wind
235,2021-11-01,兆易创新：明年MCU还是供不应求,中自网
236,2021-11-01,兆易创新(603986)：存储平台再启航 MCU龙头迎良机,新浪
237,2021-10-31,产品营收翻倍，元宇宙龙头被400多家机构重点关注（附33家超百家机构调研公司名单）,21世纪经济报道
238,2021-10-31,【天风电子】兆易创新：21Q3业绩超预期，高景气&国产化驱动快速成长,科技伊甸园
239,2021-10-30,降价阴影下的兆易创新,搜狐
240,2021-10-30,干货！如何读懂一份基金季报？,雪球
241,2021-10-30,信达证券给予兆易创新买入评级，MCU强势助推增长，三季度业绩大超预期,每日经济新闻
242,2021-10-30,巨头扩产缓解芯片荒，存储市场价格松动,Wind
243,2021-10-30,巨头扩产缓解芯片荒 存储市场价格松动,证券时报网
244,2021-10-29,国海证券给予兆易创新买入评级：2021Q3 业绩大超预期，充分受益行业高景气,每日经济新闻
245,2021-10-29,西部证券给予兆易创新买入评级：MCU、存储产品量价齐升，盈利水平超预期,每日经济新闻
246,2021-10-29,兆易创新接受154家机构调研！短期主力资金净流出，或存在资金分歧,每日经济新闻
247,2021-10-29,[公司]芯片产品产销两旺 兆易创新21Q3净利同比增近1.8倍至8.62亿元,全景网
248,2021-10-29,涨跌全靠三季报？这些板块正悄悄崛起……,Wind
249,2021-10-29,兆易创新推出GD32L233系列全新低功耗MCU,e公司
250,2021-10-29,安信证券：维持兆易创新(603986.SH)“买入”评级 目标价216.7元,智通财经
251,2021-10-29,安信证券给予兆易创新买入评级：MCU存储双轮驱动，Q3业绩高增长,每日经济新闻
252,2021-10-29,半导体股表现活跃，华微电子涨停,Wind
253,2021-10-29,A股融资融券日报：两融余额减少165.82亿元（10月28日）,Wind
254,2021-10-29,A股新股破发成常态，中证协、沪深交易所联手整治网下报价异常,Wind
255,2021-10-28,兆易创新：业绩超预期,半导体风向标
256,2021-10-28,顶级私募大佬，疯狂减持行业巨头！,新浪
257,2021-10-28,发力车规级芯片，兆易创新慢慢打开天花板,格隆汇
258,2021-10-28,一年狂赚20个亿！私募大佬葛卫东出手，继续加仓这两只股票！,Wind
259,2021-10-28,一年狂赚20个亿！私募大佬葛卫东出手，继续加仓这两只A股！,中国基金报
260,2021-10-28,北向资金逆市加仓超71亿，贵州茅台获大幅净买入13亿元,Wind
261,2021-10-28,国金证券给予兆易创新买入评级：Q3业绩大超预期，长期成长确定,每日经济新闻
262,2021-10-28,国盛证券：给予兆易创新买入评级,证券之星
263,2021-10-28,国盛证券给予兆易创新买入评级：Q3业绩大超预期，盈利能力持续提升,每日经济新闻
264,2021-10-28,兆易创新(603986)2021年三季报点评：行业景气下量价齐升 三季度业绩大超预期,新浪
265,2021-10-28,通信、电子继续发力，兆易创新涨超4%，5G50ETF（159811）上涨趋势延续,资本邦
266,2021-10-28,方正证券：维持兆易创新(603986.SH)“强烈推荐”评级 存储MCU传感齐增长 业绩超预期,智通财经
267,2021-10-28,三季度业绩超预期，芯朋微、兆易创新大涨,第一财经
268,2021-10-28,民生证券：维持兆易创新(603986.SH)“买入”评级 Q3业绩超预期 MCU营收增逾两倍,智通财经
269,2021-10-28,芯片产品量价齐升 兆易创新第三季度净利润增长178%,上证报
270,2021-10-28,韦尔股份、兆易创新涨超5%，芯片ETF（512760）涨超1%,资本邦
271,2021-10-28,兆易创新三季度净利8.62亿元，同比增长144.92%，环比增长78%,中电网
272,2021-10-28,【招商电子】兆易创新：业绩大超预期，21Q3 MCU环比量价齐升,招商电子
273,2021-10-28,A股异动丨兆易创新(603986.SH)大幅高开逾9% 第三季度净利增178.47% 远超预期！,格隆汇
274,2021-10-28,A股早报2021年10月28日星期四,Wind
275,2021-10-27,兆易创新前三季度净利润翻倍 大基金持续减持私募公募现分歧 减持股份,e公司
276,2021-10-27,科创板晚报|工信部规范电商平台“双十一”短信营销 宁德时代、兆易创新等披露三季报,财联社
277,2021-10-27,晚间重要公告2021年10月27日星期三,Wind
278,2021-10-27,蔡经理押对了？半导体龙头三季报超预期 MCU收入单季暴增两倍,财联社
279,2021-10-27,远超预期！兆易创新第三季度净利增178.47%，葛卫东会后悔吗？,证券之星
280,2021-10-27,兆易创新发布三季报：前三季度营收增长近一倍 净利润同比增长145%,金融界
281,2021-10-27,图解兆易创新三季报：第三季度单季净利润同比增178.47%,证券之星
282,2021-10-27,新鲜出炉！兆易创新：2021年第三季度净利润约8.62亿元，同比增长178.47%,每日经济新闻
283,2021-10-27,兆易创新(603986.SH)前三季度归母净利同比增长144.92%至16.48亿元,智通财经
284,2021-10-27,兆易创新(603986.SH)：第三季度净利增178.47%至8.62亿元,格隆汇
285,2021-10-27,兆易创新：第三季度归母净利润8.62亿元，同比增长178.47%,36氪
286,2021-10-27,兆易创新：第三季度净利同比增长178%,财联社
287,2021-10-27,兆易创新：第三季度净利同比增178% 芯片产品售价提高,e公司
288,2021-10-27,兆易创新：2021年第三季度净利8.62亿元 同比增长178.47%,新浪
289,2021-10-27,兆易创新：第三季度净利同比增长178.47%,财联社
290,2021-10-27,兆易创新：前三季度净利润同比增长144.92%,Wind
291,2021-10-27,电子周报：中芯国际积极扶持战略供应商 继续看好设备材料、功率和模拟,新浪
292,2021-10-26,刘格菘、黄兴亮、邹曦、陈一峰等知名基金经理三季报持仓大曝光！,Wind
293,2021-10-25,电子行业周报：鸿蒙生态蓬勃发展 IOT产业加速,新浪
294,2021-10-23,上海贝岭︱净利5亿！蓄势汽车“芯”，小鱼变大鱼？,星空财富
295,2021-10-22,寻找预期差！半导体持续高景气，35家公司净利增100%,Wind
296,2021-10-22,A股午盘综述：半导体产业链、地产、家电复苏，煤炭、钢铁板块调整,Wind
297,2021-10-22,2021年存储芯片行业上市公司全方位对比,Ofweek
298,2021-10-20,北向资金两日净买入80亿，连续五日加仓宁德时代,Wind
299,2021-10-20,北向资金动向盘点：人民币升值或引发大规模净流入,Wind
300,2021-10-20,北向资金回流！增持汽车、家电，加仓锂电龙头7亿元,21世纪经济报道
301,2021-10-19,深度*行业*半导体行业周报：三季报业绩普遍高增长 台积电表示产能紧张延续至2022全年,新浪
302,2021-10-19,半导体行情如何演绎？浙商证券：引领科创板 牛市已至,证券之星
303,2021-10-19,国家大基金年内减持14家公司超80亿 二期投资了这些公司 减持股份,华夏时报
304,2021-10-19,信息量太大！“国家队”又有新动作，机会？,证券之星
