,2021-12-31,A股2021完美收官！多项历史纪录被打破,Wind
216,2021-11-17,北向资金结束连续4日净买入，贵州茅台遭大幅抛售超11亿元,Wind
217,2021-11-17,2022年光伏行业投资策略：格局向好成长加速-光伏行业2022年投资策略,新浪
218,2021-11-17,中信建投新能源发电2022年策略：技术引领变革之春，新的篇章正徐徐展开,Wind
219,2021-11-17,新能源渗透率提高，光伏电站迎来技改爆发期！,索比光伏网
220,2021-11-16,新能源发电行业2022年投资策略报告：技术引领变革之春 新的篇章正徐徐展开,新浪
221,2021-11-16,北向资金再度加仓近42亿连续4日净买入，批量扫货白酒医药股,Wind
222,2021-11-16,电驱动赛道坡长雪厚，阳光电动力厚积薄发,凤凰网
223,2021-11-16,隆基股份氢能新动作：于西安再设一家新材料公司，自建电镀、化镀线项目,21世纪经济报道
224,2021-11-16,全球首例太阳能大规模制氢成功实现，超半数概念股市盈率不到30倍，5000亿龙头获高瓴资本重仓,e公司
225,2021-11-16,安徽区域股市周报：中公教育跌出板块市值6强 16家机构调研开润股份,每日经济新闻
226,2021-11-16,阳光电源为东南亚最大光储电站提供一体化解决方案,阿尔法工场
227,2021-11-15,一文看懂如何投资光伏行业,36氪
228,2021-11-15,隆基股份、上能电气、华为分列印度市占率第一，晶科和阳光电源在哪里？,Ofweek
229,2021-11-15,环保新能源事件点评：两大“双碳”指导性文件落地,新浪
230,2021-11-15,阳光电源：助力打造东南亚最大光储融合电站,证券时报网
231,2021-11-15,阳光电源：与东南亚新能源企业Super Energy达成战略合作,e公司
232,2021-11-15,东南亚最大光储融合电站！阳光电源引领储能发展新方向,索比光伏网
233,2021-11-15,A股资金流向：新能源遭资金集中抛售,Wind
234,2021-11-15,电新行业周报：碳减排支持工具助力新能源发展 三元和铁锂占比短期趋于平衡,新浪
235,2021-11-15,电力电气设备 公用事业行业动态：产业链现跌势 中美光伏贸易摩擦或缓和,新浪
236,2021-11-15,碳中和行业(电新+环保)周报：高镍三元一体化降本加速 南网发布“十四五”发展规划,光大证券
237,2021-11-14,鹏辉能源：今年以来储能业务营收占比大幅提升，达到28%,Wind
238,2021-11-14,电气设备行业周报：回归长期成长 关注后周期,新浪
239,2021-11-12,IPO观察|江苏华辰：恒大以车位抵债或仍不能解忧 实控人女婿“独享”百万年薪,财联社
240,2021-11-12,储能风口进行时|上能电气能否成为第二个“阳光电源”？,搜狐
241,2021-11-12,光伏板块继续活跃，爱旭股份、博威合金封住涨停,Wind
242,2021-11-12,中广核新能源党委书记张志武一行到访阳光电源,索比光伏网
243,2021-11-12,完美逆袭！中小基金富贵险中求？风格化持仓成关键,Wind
244,2021-11-11,A股收盘综述：地产股掀起涨停潮，半导体、元宇宙高空加油,Wind
245,2021-11-11,双碳下的逆变器，牛股的孵化池,YY港股圈
246,2021-11-11,光伏股走强，中来股份、中利集团涨停,Wind
247,2021-11-11,阳光电源：新型电力体系下，如何做好光伏电站资产保值？,索比光伏网
248,2021-11-11,年底业绩排名竞夺激烈，基金风格化操作愈发明显,Wind
249,2021-11-10,北向资金大举出货超百亿连续4日净卖出，房地产产业链持续遭抛售,Wind
250,2021-11-10,风格切换下A股资金去了哪里？,Wind
251,2021-11-10,储能政策驱动提速　储能概念站上风口,财富动力网
252,2021-11-09,【热点零距离】储能概念股持续火热，科华数据、奥海科技等纷纷大涨！,财华社
253,2021-11-09,北向资金成交低迷连续3日净卖出，中国平安遭大幅净卖出超10亿元,Wind
254,2021-11-09,11月以来7家银行理财子合计调研23次，电气设备行业最受关注,资本邦
255,2021-11-09,【国金晨讯】新能源：理性看待光伏贸易摩擦，4680电池放量催化；鱼跃医疗：聚焦三大成长赛道，平台型器械公司成长可期,国金证券研究所
256,2021-11-09,央行推出碳减排支持工具，中信建投最新解读来了！,Wind
257,2021-11-09,银行理财子调研热情高 均衡配置成共识,中证网
258,2021-11-08,理财子公司密集调研后，这些“明星股”大涨,Wind
259,2021-11-08,理财子公司密集调研后，这些“明星股”大涨,中证报
260,2021-11-08,电气设备行业周报：十月欧洲销量平稳 硅料供需转向紧平衡,新浪
261,2021-11-08,全球光伏逆变器的“扛把子”阳光电源，如何让世界认识中国造？,Ofweek
262,2021-11-08,中信建投新能源行业每周观察：供不应求 隔膜环节盈利持续提升,新浪
263,2021-11-08,燃料电池迎政策利好，多家上市公司布局相关业务,Wind
264,2021-11-08,燃料电池迎政策利好 多家上市公司布局相关业务,证券时报
265,2021-11-06,赛道为王！新能源、周期股催生出一批公募明星，有基金年内收益率已经超过100%,Wind
266,2021-11-06,1积分奖20万元！上海燃料电池新政曝光，目标直指1000亿！光伏巨头入局，聪明资金抢筹，低估值概念股亮相,证券时报网
267,2021-11-05,阳光电源：因原材料价格上涨，公司部分逆变器产品价格有适当调整，以保证合理盈利水平,每日经济新闻
268,2021-11-05,阳光电源：IGBT等元器件目前仍以英飞凌、安森美、富士等为主,每日经济新闻
269,2021-11-05,阳光电源：公司的光伏逆变器不使用真空灭弧室配件,每日经济新闻
270,2021-11-05,阳光电源：对于海上风电，公司已研发出多款三电平海上风电变流器，并且已经批量投产应用在海上风电场,每日经济新闻
271,2021-11-05,阳光电源：公司风电变流器规格涵盖1.5MW-16MW功率等级,每日经济新闻
272,2021-11-05,阳光电源：阳光氢能目前拥有制氢电源、制氢装置及系统应用等多个专项专利，具备大批量生产和交付的能力,每日经济新闻
273,2021-11-05,阳光电源：公司储能变流器以配套自身储能系统为主，部分对外销售,每日经济新闻
274,2021-11-05,阳光电源：2020年公司风电变流器出货16GW，在国内的市占率已处于领先地位,每日经济新闻
275,2021-11-05,阳光电源：公司电站投资开发业务以DBT为主,每日经济新闻
276,2021-11-05,北向资金结束连续6日净买入，隆基股份连续3日遭抛售累计净卖出超30亿,Wind
277,2021-11-05,英威腾：公司光伏业务目前占比较小，团队规模约一百多人,Wind
278,2021-11-05,万和证券维持阳光电源增持评级：储能业务高速增长，研发加大保障领先优势,每日经济新闻
279,2021-11-05,阳光电源：2021年光伏逆变器出货量预计达45GW 明年降价可能性不大,北极星电力
280,2021-11-05,三季度财报出炉：组件仍是最赚钱领域,国际能源网
281,2021-11-05,47亿主力资金大幅流入风电板块（附股）,Wind
282,2021-11-04,北向资金稳步加仓连续6日净买入，新能源、大消费集体获抢筹,Wind
283,2021-11-04,A股收盘综述：风电股、汽车零部件股批量封板，比亚迪、金龙鱼大涨超7%,Wind
284,2021-11-04,西部证券：维持阳光电源(300274.SZ)“增持”评级 海外收入占比持续提升,智通财经
285,2021-11-04,西部证券维持阳光电源增持评级，2021年三季报点评：光伏逆变器龙头，海外业务占比增长明显,每日经济新闻
286,2021-11-04,阳光电源储能系统业务爆发式增长 预计户用储能将成未来利润增长点,北极星电力
287,2021-11-04,从茅台到宁王，公募重仓股突变，一个新时代开启？,Wind
288,2021-11-04,风储深度融合，变亦是不变,中国能源网
289,2021-11-04,电气设备行业：特斯拉：崛起中的能源新势力,广发证券
290,2021-11-03,阳光电源接受10家机构调研！短期主力资金净流出，或存在资金分歧,每日经济新闻
291,2021-11-03,阳光电源判断明年逆变器售价稳定 户用储能业务将成未来利润增长点,e公司
292,2021-11-03,阳光电源：今年户用逆变器爆发式上量,e公司
293,2021-11-03,阳光电源：明年逆变器的售价应该比较稳定,e公司
294,2021-11-03,阳光电源跌5.59% 东北证券上周喊买入,中国经济网
295,2021-11-03,公募基金持股市值创新高，社保显著加仓周期股（附表）,Wind
296,2021-11-03,阳光电源曹仁贤一行拜会国家能源集团总经理刘国跃,索比光伏网
297,2021-11-03,农业拉升电新杀跌，强势板块回调市场见底？,Wind
298,2021-11-03,中银证券维持阳光电源增持评级：三季报业绩符合预期，全面加码逆变器产能,每日经济新闻
299,2021-11-03,光伏股走势分化，隆基股份、阳光电源跌超5%,Wind
300,2021-11-03,从三季报和高频探测模型看基金抱团最新变化,ZTQuant
301,2021-11-02,5只股获北向资金连续净卖出,证券时报网
302,2021-11-02,里程碑！阳光电源光伏逆变器印度出货量超10GW,Ofweek
303,2021-11-02,北向资金连续4日净买入累计扫货近150亿，新能源龙头股集体获抢筹,Wind
