,2021-12-31,通易航天股东减持148.1万股 权益变动后持股比例为4.14% 减持股份,同壁财经
45,2021-12-27,12月两融余额缩水超200亿，3股逆势获净买入超10亿！,Wind
46,2021-12-27,中信证券今日大宗交易成交100万股，成交价28.0元溢价7.69%,Wind
47,2021-12-27,"中信证券现1笔大宗交易 共成交2,800.00万元",新浪
48,2021-12-27,物产环能两跌停 募资15亿中信证券赚4602万元,中国经济网
49,2021-12-27,一文看懂证券公司所有业务动向！国泰基金艾小军、广发非银陈福：板块将迎春季躁动行情,新浪
50,2021-12-27,首席投顾风水算走势！盘点2021年奇葩研报,Wind
51,2021-12-27,千亿猪茅惊现10亿大宗交易，折价近14%遭贱卖,Wind
52,2021-12-27,陆家嘴财经早餐2021年12月27日星期一,Wind
53,2021-12-26,2021券商资管产品严选： 主动投资业绩支撑规模企稳 财通、五矿、天风等特色中小券商异军突起,每日经济新闻
54,2021-12-26,33家券商旗下144只大集合彻底变身公募基金 投资业绩大曝光 哪类产品能收获“稳稳幸福”？,每日经济新闻
55,2021-12-26,券商人手大比拼！两家头部券商扩张，年内增员均超2000,Wind
56,2021-12-26,知名首席投顾用“风水算命”：站在五年牛市的开端,Wind
57,2021-12-25,3000亿“猪茅”惊现10亿大宗交易，机构接盘超7亿,Wind
58,2021-12-25,消费电子龙头借力突围　宁德领跌 锂电池受挫,财富动力网
59,2021-12-25,上海证券报头版：三大“转向”透视2021中国经济高质量发展进阶之路,Wind
60,2021-12-25,宝通科技：国联证券、中信证券等16家机构于12月21日调研我司,证券之星
61,2021-12-24,信用债日报：本周信用债净融资额创7个月新低，地产债延续弱势,Wind
62,2021-12-24,3000亿“猪茅”惊现10亿大宗交易！折价近14%，啥情况？机构接盘超7亿，什么信号？,证券时报
63,2021-12-24,中证协召开2021年第四季度证券基金行业首席经济学家例会,Wind
64,2021-12-24,ST榕泰：榕泰瓷具转让1500万股,Wind
65,2021-12-24,回看2021｜A股打新十大“肉签”VS十大“霉签”：中一签最贵缴款近28万、最高可赚超23万,财经网
66,2021-12-24,12月资金动向追踪：中小市值受青睐，两大产业链流出严重！,--
67,2021-12-24,环球医疗(02666)以总代价16.32亿元向中信证券出售基础资产 资产异常,智通财经
68,2021-12-24,大行报告｜中信证券首次覆盖宝龙商业，目标价23港元,腾讯网
69,2021-12-24,环球医疗(02666.HK)拟出售基础资产 加快资产周转 资产异常,格隆汇
70,2021-12-24,环球医疗：出售基础资产，代价5.826亿元 资产异常,Wind
71,2021-12-24,洲宇设计冲击深主板，应收账款高企，分公司被指变相裁员 员工变动,新浪
72,2021-12-24,IPO观察|洲宇设计冲击深主板，应收账款高企，分公司被指变相裁员 员工变动,金融界
73,2021-12-24,折价大宗交易频频，资金博弈券商板块,Wind
74,2021-12-23,中信银行郑州分行、中信证券联合举办“信豫融合、创赢未来”2022年宏观经济及资本市场策略研讨会,和讯
75,2021-12-23,中证协召开2021年第四季度证券基金行业首席经济学家例会,Wind
76,2021-12-23,北向与百亿私募狂买券商股，大资金却在“大减价”,Wind
77,2021-12-23,多空交战！北向资金与百亿私募狂买券商股，大资金却在“大减价”交易,上证报
78,2021-12-23,关于同意中信证券股份有限公司为天弘中证沪港深云计算产业交易型开放式指数证券投资基金提供主做市服务的公告,上交所
79,2021-12-23,27单惩戒IPO业务违规行为，信披问题成管控重点 其他违规处罚,Wind
80,2021-12-23,头部地位难撼，投行业务“强者恒强”,Wind
81,2021-12-23,山石网科：中信证券、新华养老等3家机构于12月17日调研我司,证券之星
82,2021-12-23,年内券结新基规模超1800亿，基金公司、中小券商积极布局,Wind
83,2021-12-22,兴业银行北京分行与中信证券达成首单“碳中和”概念信用风险缓释合约交易,证券日报网
84,2021-12-22,多募集50亿元资金，够禾迈股份躺赢50年！,Ofweek
85,2021-12-22,最牛女保代保荐24个项目，超50%保代却没活干,Wind
86,2021-12-21,IPO超募10倍，禾迈股份50年不用努力了？,搜狐
87,2021-12-21,中信证券大宗交易成交103.37万股 成交额2408.52万元,中信证券
88,2021-12-21,"中信证券现1笔大宗交易 共成交2,408.52万元",新浪
89,2021-12-21,中信证券今日大宗交易成交103.37万股，成交价23.3元折价10.76%,Wind
90,2021-12-21,12月21日深市创业板活跃股公开信息,深交所
91,2021-12-21,募资54亿却用45亿买理财，禾迈股份的IPO“生意经”,环球老虎财经
92,2021-12-21,“最贵新股”被质疑券商标错小数点？超募45亿资金买理财引争议,中新经纬
93,2021-12-21,最贵新股刚上市，宣布45亿买理财，利息超去年利润,Wind
94,2021-12-21,证券板块春季行情能否开启？,资本邦
95,2021-12-21,中信证券马尧：中国移动是资本市场的优质蓝筹企业,C114通信网
96,2021-12-21,超募惹眼！今年六成IPO项目超募，两IPO项目合计超募近百亿，“闲钱”是否资源浪费？一波争议声起,财联社
97,2021-12-21,禾迈股份股价持续冲高 弃购股民“酸”了,北京商报
98,2021-12-21,私募FOF高光的另一面：明星“拼盘”业绩黯淡，有效供给依旧稀缺,Wind
99,2021-12-21,湘佳股份：中信证券、重阳投资等17家机构于12月16日调研我司,证券之星
100,2021-12-21,最贵新股禾迈股份上市首秀 盘中最高价824元/股,北京青年报
101,2021-12-21,居民收入稳步提升，券商财富管理“备战升级”,Wind
102,2021-12-21,六大首席经济学家把脉投资 2022,ZAKER
103,2021-12-21,年内155家公司登陆科创板 券商跟投浮盈87.8亿元,证券日报
104,2021-12-21,最贵新股禾迈股份上市首日大涨，279倍市盈率加剧估值分歧,Wind
105,2021-12-21,居民收入稳步提升 券商财富管理“备战升级”,经济参考报
106,2021-12-21,史上最贵新股大派“年终奖”！ 重庆股民中签“众筹”认购赚近10万,重庆商报
107,2021-12-21,刚募资上市就买理财！这只新股公告45亿理财计划，利息可超去年利润！超募问题何解？,证券时报网
108,2021-12-20,中一签能赚超13万！实控人身价破百亿 弃购者“肠子悔青”：说好的破发呢？,北京商报
109,2021-12-20,“最贵”新股首日暴涨！包销的中信证券“笑”了，弃购的散户“哭”了,新浪
110,2021-12-20,弃购者哭了！史上最贵新股“扬眉吐气”，一签最高赚13万！,国际金融报
111,2021-12-20,史上最贵新股光伏新秀逆袭：从弃购率6.5%到单签盈利13万,澎湃新闻
112,2021-12-20,含泪多收了十倍的钱！禾迈股份：拟不超45亿元募集资金理财,证券之星
113,2021-12-20,年内新高！首日浮盈超1亿元 中信证券包销新股“躺赢”,证券日报网
114,2021-12-20,最贵新股禾迈股份上市首日大涨牛气冲天，279倍市盈率加剧机构估值分歧,21世纪经济报道
115,2021-12-20,弃购的哭了：最贵新股上市暴涨近30%，中信证券“躺赢”1.4亿,证券之星
116,2021-12-20,"首日大涨近三成,千名投资者“哭弃”,史上最贵新股还是最贵妖股？",AI财经社
117,2021-12-20,弃购者“泣不成声”！最贵新股禾迈股份首日大涨，一签最多盈利13万,金融界
118,2021-12-20,北向资金今日再度净卖出9.71亿元，药明康德连续4日遭抛售累计出货超30亿,Wind
119,2021-12-20,侃财丨有的人在吃瓜，有的人吃面,证券时报
120,2021-12-20,弃购股“烫手”！邵氏兄妹持禾迈市值超百亿，中信证券跟投+包销浮盈1.4亿，戏剧的是承销费同赚1.4亿,财联社
121,2021-12-20,超3000家下跌，什么带崩了大盘？,证券之星
122,2021-12-20,每经IPO周报第41期｜周过会率不到七成，禾迈股份网上弃购率创科创板新高 超两成北交所IPO在审企业终止审核 IPO融资异常,每日经济新闻
123,2021-12-20,禾迈股份首日上市暴涨47%，弃购者一天少赚10W+,格隆汇
124,2021-12-20,今年A股上市公司突破500家！募资总额超过5200亿，各创历史纪录，百元发行价新股13只,财联社
125,2021-12-20,中信证券一单浮盈已超3亿元！“最贵新股”禾迈股份上市首日大涨,资本邦
126,2021-12-20,最贵新股牛了！N禾迈涨到临停，弃购一签少赚13万元,上证报
127,2021-12-20,1300个弃购者哭了，中一签大赚13万！最贵新股禾迈股份上市，和讯SGI评分80,和讯
128,2021-12-20,弃购的“哭了”！史上最贵新股上市大涨，一签最高赚13万！券商包销大赚1.7亿,证券时报
129,2021-12-20,早盘结束！史上最贵新股禾迈股份最多一签赚13万元,新民网
130,2021-12-20,“弃”不成声！A股最快800元股诞生，25分钟市值涨100亿,搜狐
131,2021-12-20,中一签赚10万，最贵新股扬眉吐气！中信赚1.8亿,Wind
132,2021-12-20,一签挣13万！1300个中签者“弃”哭，中信证券赚翻,中新经纬
133,2021-12-20,“弃”哭了！中一签大赚10.6万，最贵新股“扬眉吐气”！中信证券狂赚1.8亿，网友：凭实力拒收“奖金”,券商中国
134,2021-12-20,中信证券：跨年围绕“3个低位”持续布局,Wind
135,2021-12-20,保代人数两年近翻倍，保荐项目为零者尚过半,Wind
136,2021-12-20,保代人数两年近翻倍 保荐项目为零者尚过半,全景网
137,2021-12-19,【国君非银金融刘欣琦团队】47号文利好资管业务，继续推荐四川双马/中信证券,新浪
138,2021-12-19,高端财富管理市场百万亿，中信、中金、兴业等头部券商争相杀入，如何下好这盘棋？,每日经济新闻
139,2021-12-19,除了备战北交所，券业今年还有这些关键词,Wind
140,2021-12-19,除了备战北交所，券业今年还有这些关键词,中证报
141,2021-12-19,上市券商1年砍掉64家营业部，头部券商却很淡定,Wind
142,2021-12-19,买卖6.8亿整体亏损！又有券商员工炒股被罚！,Wind
143,2021-12-19,买卖6.8亿，整体亏损！又有券商员工炒股被罚！ 金融监管处罚,中国基金报
144,2021-12-18,2021年券商十大新闻盘点,Wind
145,2021-12-18,迈普医学：前海森大昌、中信证券等7家机构于12月15日调研我司,证券之星
146,2021-12-18,科士达：中信证券、鑫然投资等2家机构于12月15日调研我司,证券之星
147,2021-12-18,氢能源概念显著升温　白酒板块突然变盘,财富动力网
148,2021-12-18,富时中国指数成分股大调整，外资布局2022年,Wind
149,2021-12-17,中信证券：全资附属公司中信证券投资与中智集团及中智上海订立增资协议,Wind
150,2021-12-17,北向资金动向盘点：近两周加仓“非银”已超百亿,Wind
151,2021-12-17,洁美科技：安联投资、中信证券等2家机构于12月14日调研我司,证券之星
152,2021-12-17,汉威科技：中信证券资产管理业务部于12月16日调研我司,证券之星
153,2021-12-17,川环科技：中信证券、中融基金等2家机构于12月15日调研我司,证券之星
154,2021-12-17,净买入超820亿元，北上资金单月流入金额又创新高,Wind
155,2021-12-16,新股“破发潮”下中信证券接连包销，IPO承销成亏本生意了？ 亏损,环球老虎财经
156,2021-12-16,北向资金大买白马股，A股风格已然生变？金牛私募研判来了,Wind
157,2021-12-16,外资连续11天加仓，4000亿龙头被买爆！两大领域成扫货专区,Wind
158,2021-12-16,私募移仓大消费，市场可能重新洗牌？,Wind
159,2021-12-16,券商抢基金代销蛋糕，降费之外需亮新招,Wind
160,2021-12-16,券商并购为何总是，“干打雷不下雨”？,Wind
161,2021-12-16,三聚环保：国信证券、中信证券等5家机构于12月14日调研我司,证券之星
162,2021-12-15,财华洞察|包销最贵新股，中信证券有何底气？,财华社
163,2021-12-15,禾迈股份什么时候上市？禾迈股份弃购情况怎么样？,至诚财经
164,2021-12-15,美银证券：券商股最新投资评级及目标价(表) 首选中信证券(06030)及华泰证券(06886),智通财经
165,2021-12-15,新股频“中枪”：一签亏1.6万，吓得禾迈股份65万股被弃购 亏损,时代财经
166,2021-12-15,美银证券：料更大的券商将能够获得更多机构客户 首选中信证券及华泰证券,格隆汇
167,2021-12-15,没钱？担心破发？“最贵新股”遭弃购3.63亿，中信证券包圆,金融界
168,2021-12-15,最贵新股禾迈股份“吓”跑中签者！中信证券全部“拿下”，谁会后悔？,证券之星
169,2021-12-15,A股史上最贵新股吓跑打新者？禾迈股份遭网上弃购3.6亿元,资本邦
170,2021-12-15,【行情】证券板块短线拉升，浙商证券涨超5%，国联证券、中信建投、中信证券跟涨,金十数据
171,2021-12-15,28万一签的新股遭“嫌弃”！弃购资金竟达3.6亿，中信证券全部“拿下”，谁会后悔？,券商中国
172,2021-12-15,最贵新股“吓跑”打新族？1300个账户弃购禾迈股份，中信证券包销3.63亿元,上证报
173,2021-12-15,1302个打新者弃购3.63亿元！A股史上最贵新股，网上弃购刷新纪录,中证报
174,2021-12-15,历史罕见！史上最贵新股，弃购3.6亿,Wind
175,2021-12-15,酷特智能：中信证券股份有限公司于12月10日调研我司,证券之星
176,2021-12-15,中签后不缴款？史上最贵新股现罕见3.6亿元弃购,中国基金报
177,2021-12-14,包销3.63亿，跟投1.12亿，“券商一哥”果然大气！,证券日报
178,2021-12-14,股票全面注册制临近，哪些上市券商或将受益？|和讯睿见,和讯
179,2021-12-14,场内新“基”遇！华夏越秀高速REIT今日正式在深交所上市,华夏基金
180,2021-12-14,非银金融行业数据周报：注册制将全面实施 继续推荐头部券商,新浪
181,2021-12-14,元宇宙满屏涨停，北上资金爆买金融白酒,Wind
182,2021-12-14,加强查缺补漏，头部量化私募机构发力合规,Wind
183,2021-12-14,博济医药：中信证券、华盛盈富资管等12家机构于12月10日调研我司,证券之星
184,2021-12-14,中亚股份：中信证券股份有限公司于12月9日调研我司,证券之星
185,2021-12-14,海印股份：中信证券、广东华盛盈富资产等16家机构于12月10日调研我司,证券之星
186,2021-12-13,中信证券为何退位，让东方财富成为“券商一哥”？,搜狐
187,2021-12-13,国泰君安 | 信用债发行结果日报,国泰君安债券资本市场部
188,2021-12-13,传统蓝筹“王者归来”，市场风格切换在即？,Wind
189,2021-12-13,北向资金连续9日净买入累计加仓近700亿，爆买东方财富超17亿,Wind
190,2021-12-13,保隆科技：近一个多月来，公司接待了中信证券、东北证券、国信证券等累计三十多场次的机构投资者调研,每日经济新闻
191,2021-12-13,基金投顾上线40天，中信证券签约资产50亿，这门“更慢的生意”正考验券业定力，多家券商谈生意经,财联社
192,2021-12-13,雍禾医疗赴港上市：股价涨幅扩大至5% 中信证券为最大股东,新浪
193,2021-12-13,大行原处长疯狂套资2亿余，再揭债券丙类户尘封的面纱,Wind
194,2021-12-13,智能投顾业务迎整改，两银行按下“暂停键”,Wind
195,2021-12-12,基金投顾监管在路上，招行回应称正进行规范改造,Wind
196,2021-12-12,多数海外中国地区基金收益为负，重仓茅台的回撤20%,Wind
197,2021-12-11,医械独角兽沈德医疗完成亿元C轮融资，中信证券领投,猎云网
198,2021-12-11,芯碁微装：东北证券、中信证券等3家机构于11月24日调研我司,证券之星
199,2021-12-11,中泰证券易主 下海官员李峰改革向何方 控制人变化,中国经营报
200,2021-12-11,申万宏源屡踩红线频被罚 总经理杨玉成重上前线做资管,中国经营报
201,2021-12-11,"券商""优等生""再次放榜！公布5次仅新增1家",Wind
202,2021-12-10,中信证券：聘任史本良为CFO,财联社
203,2021-12-10,中信证券拟向专业投资者公开发行面值余额不超过300亿元公司债券,北京商报
204,2021-12-10,中信证券：聘任史本良接替李冏担任本公司财务负责人,Wind
205,2021-12-10,中信证券(06030)获中国证监会批准发行不超过300亿元公司债券,智通财经
206,2021-12-10,中信证券(06030)拟聘任史本良接替李冏担任公司财务负责人,智通财经
207,2021-12-10,中信证券(06030.HK)拟聘任史本良任公司财务负责人,格隆汇
208,2021-12-10,中信证券：向专业投资者公开发行短期公司债券获得中国证监会注册批复,格隆汇
209,2021-12-10,2021中国证券公司集合资管计划金牛奖放榜 中信证券斩获“2021金牛券商集合资产管理人”等六项大奖,中证网
210,2021-12-10,中信证券斩获券商“集合资管计划金牛奖”6项大奖,凤凰网
211,2021-12-10,国内投行哪家强？2021中国证券公司金牛奖榜单出炉！28家券商上榜,中证报
212,2021-12-10,又见券商大“补血”！券商板块遇冷，配股惹的祸？,证券之星
213,2021-12-10,江特电机遭证监会立案调查，三季度中信证券持股1700万股,阿尔法工场
214,2021-12-10,营业部老总私刻公章，骗客户300多万！更有员工代领奖金后消失,Wind
215,2021-12-10,融资客青睐7股，长江通信买入占比高达38.22%,Wind
216,2021-12-10,大曝光！外资216亿狂买这些股（名单）,Wind
217,2021-12-10,5倍锂电大牛股爆雷！涉嫌信披违规，证监会立案调查,Wind
218,2021-12-10,研究与管理双轮驱动 捕获超额收益,发布易
219,2021-12-10,“聪明钱”大手笔抢筹，跨年行情渐入佳境,Wind
220,2021-12-10,历史次高！ 北向资金单日净买入216亿元，人民币升值或是主要推手,Wind
221,2021-12-10,火速！超百名客户签约成功！中信、国君综合账户试点功能上线，业务空间打开？,券商中国
222,2021-12-09,央行出手降温了，人民币大跳水，A股要刹车了？,新浪
223,2021-12-09,0.02886891%！A股史上最贵新股中签率出炉，主承销商中信证券战略跟投,中证报
224,2021-12-09,账户管理功能优化试点点评：推进基础设施改革 关注财富转型与头部券商,新浪
225,2021-12-09,券商也“内卷”？中信证券95后员工替客户考研，被判管制一年并罚6000元！,每日经济新闻
226,2021-12-09,券商现在都如此卷了么？中信证券员工代客考研被抓 其他违规处罚,中华网
227,2021-12-09,太离奇！券商95后员工竟替客户考研，当场被抓获，什么情况？证券业新人考核压力有多大？,券商中国
228,2021-12-09,“FOF”投资成为新风口 中信证券公募FOF产品强势入局,凤凰网
229,2021-12-09,中信证券：延长“21中证21”簿记建档时间,Wind
230,2021-12-09,替客户考研遭当场抓获！中信证券25岁员工被检察院提起公诉,澎湃新闻
231,2021-12-09,【异动股】中信证券(06030.HK)涨3.39%,财华社
232,2021-12-09,密集发新品！百亿私募大佬挂帅出马，行情来了？,Wind
233,2021-12-09,客户许诺买证券，中信证券一新人员工为冲业绩替其考研当场被抓 关联方问题,澎湃新闻
234,2021-12-09,为冲业绩能多拼？中信证券一“90后”员工替客户考研,中新经纬
235,2021-12-09,券商板块再度活跃，华林证券两连板，财达证券等拉升,证券时报网
236,2021-12-09,太拼了！为了拉股票客户冲业绩，中信证券95后员工替客户考研，当场被抓！ 关联方问题,新浪
237,2021-12-09,太拼了！中信证券员工竟然替客户考研，惨被抓获并起诉 诉讼纠纷,凤凰网
238,2021-12-09,降准如期而至 板块迎多重利好 岁末年初的券商行情有望展开,大众证券报
239,2021-12-09,北上资金6天买入超三百亿，中信证券买入金额位列榜首,阿尔法工场
240,2021-12-09,外资爆买A股！一天狂加仓近百亿！抄底宁德时代，重仓茅台、招行,Wind
241,2021-12-09,A股突然启动上涨，茅台收复2000元，人民币连创新高！,Wind
242,2021-12-09,中信证券再度携手Wind，打造行业首家深度投研平台,Wind
243,2021-12-09,地产公司融资回暖ABS审核发行加速,Wind
244,2021-12-09,资管新规过渡期倒计时，8万亿券商资管三举措应变,Wind
245,2021-12-09,综合账户试点券商赶工忙 中信国君率先上线相关功能,全景网
246,2021-12-08,北向资金12月净流入超300亿，赛道切换剑指何处？,Wind
247,2021-12-08,投行业务蓬勃发展，8家券商IPO 承销收入过10亿元|和讯睿见,和讯
248,2021-12-08,证券行业2022年度策略报告：券业破茧，模式焕新,证券之星
249,2021-12-08,北向资金再度加仓近百亿，贵州茅台获大幅净买入超16亿元,Wind
250,2021-12-08,证券行业12月投资策略：宽信用叠加强改革 催化券商行情,新浪
251,2021-12-08,估值仅1.93倍PB，模式焕新，2022年券业将迎破茧？,智通财经
252,2021-12-08,中信证券的“毒奶”又来了？承销 A股史上最贵新股，中一签需缴28万,证券之星
253,2021-12-08,微信支付运营主体被罚278万元！罚单列10项违规，涉“反洗钱”“反恐融资”等义务 其他违规处罚,恒泰期货互联网投教基地
254,2021-12-08,北向资金动向盘点：狂买金融股，风格已变,Wind
255,2021-12-08,北向资金扫货A股近80亿元！大幅增持银行券商，减持有色金属（附股） 减持股份,21世纪经济报道
256,2021-12-08,降准落地，A股仍涨不动？这一顶级赛道却吵翻了,Wind
257,2021-12-08,发行价557.8元！中一签缴款近28万，中信证券跟投，啥来头？,券商中国
258,2021-12-08,“缴款日”突然暴跌13%，2000亿白马新股遭弃购1.99亿,Wind
259,2021-12-07,财华洞察|万亿降准，券商、银行和保险板块“隐现”投资机会？,财华社
260,2021-12-07,北向资金今日净流入79亿元 中国平安获加仓5亿元,第一财经
261,2021-12-07,北向资金今日净买入79.49亿元，继续抄底大金融板块,Wind
262,2021-12-07,大摩：券商股首选中金公司(03908)、中信证券(06030)及东方财富(300059.SZ),智通财经
263,2021-12-07,【异动股】中信证券(06030.HK)涨3%,财华社
264,2021-12-07,关于为“中信证券印力-印象4号资产支持专项计划”提供转让服务的公告,深交所
265,2021-12-07,中信证券等29股获北向资金增持额超亿元,证券时报网
266,2021-12-07,狐说商道 | “二代”李寒穷辞任总经理，雅戈尔 “赚钱就是主业”战略继续摇摆 董监高成员变化,搜狐
267,2021-12-07,申万宏源：降准发力，看好券商岁末年初行情,财联社
268,2021-12-07,多重利好政策出台 继续看好头部券商机会,金融界
269,2021-12-07,【券商聚焦】交银予中信证券(06030)买入评级 指监管规范将令市场进一步集中,和讯
270,2021-12-07,融资客青睐8股，雷柏科技买入占比高达38.52%,Wind
271,2021-12-07,A股早报2021年12月7日星期二,Wind
272,2021-12-07,北向资金动向盘点：重手净买金融股,Wind
273,2021-12-07,证券行业周报：优化证券公司账户管理 打造以客户为中心体系,新浪
274,2021-12-07,【证券*胡翔】券商发展迎“新基建”，账户优化助推财富管理转型升级,东吴研究所
275,2021-12-07,政策优化护航证券业发展，券商股两大行情脉络日渐清晰,Wind
276,2021-12-07,晨化股份：中信证券于12月2日调研我司,证券之星
277,2021-12-07,多重利好显现，机构看好券商板块跨年行情,Wind
278,2021-12-06,深度*行业*证券行业2022年度策略：成长性奠定投资价值 流动性催化行情,新浪
279,2021-12-06,券商收益互换业务新规落地，41家获资质券商竞跑“新赛道”,第一财经
280,2021-12-06,外资大举逆势买入大金融 降准落地后或开启跨年行情？,财联社
281,2021-12-06,17股特大单净流入资金超2亿元,证券时报网
282,2021-12-06,【6日资金线路图】避险需求提升？低估值金融股获主力资金青睐，中信证券等净买入金额居前,证券时报
283,2021-12-06,南财研选｜降准释放1.2万亿资金！估值10年低位+交易活跃+流动性驱动，券商板块主力净流入超29亿，牛市来了？,21世纪经济报道
284,2021-12-06,北向资金今日净流入3.95亿元 中信证券获加仓8.48亿元,第一财经
285,2021-12-06,北向资金净买入3.95亿元 中信证券净买入8.48亿元,新浪
286,2021-12-06,北向资金连续4日净买入累计加仓超150亿，大幅抢筹券商、银行股,Wind
287,2021-12-06,A股资金流向：新能源再遭集中抛售，大金融成“避风港”,Wind
288,2021-12-06,四大理由看今日券商股躁动，头部券商与“高含财率”券商各自领衔，后市还可持续吗,财联社
289,2021-12-06,10家券商试点账户管理功能优化点评：综合账户试点落地 增强券商财富管理竞争力 看好板块,新浪
290,2021-12-06,A股收盘综述：锂电池、半导体双线回撤，创业板指跌超2%退守3400点！,Wind
291,2021-12-06,多空PK台：数据揭秘！券商板块多空力量正发生变化,资本邦
292,2021-12-06,非银金融行业双周报：账户管理功能优化试点启动 险资参与证券出借业务开闸,华福证券有限责任公司
293,2021-12-06,券商股集体起飞！多重政策利好叠加，估值修复空间充足,财联社
294,2021-12-06,“牛市旗手”躁动！跨年行情来了？,中证报
295,2021-12-06,非银金融行业周报：降准预期叠加险资券源放开 券商迎多重利好,新浪
296,2021-12-06,非银金融行业周报：2021年证券公司财务顾问业务执行能力评价结果解读,新浪
297,2021-12-06,“牛市旗手”集体异动，跨年行情稳了？,Wind
298,2021-12-06,A股午盘综述：券商、地产中路推进，绿色电力异军突起；沪指创出两个月新高！,Wind
299,2021-12-06,证券：适时降准叠加多项政策利好 看好券商板块行情,新浪
300,2021-12-06,适时降准叠加多项政策利好，券商板块强势爆发，兴业证券涨停,证券时报网
301,2021-12-06,基金转型数量创历史新高，什么情况？,Wind
302,2021-12-06,兴业证券涨停券商股大幅走高，券商ETF（512000）放量涨超4%,Wind
303,2021-12-06,东吴证券：证券衍生品业务迎来新发展,财联社
