,2021-12-31,中国平安(02318)累计回购约7776.51万股A股 涉资约39亿元,智通财经
42,2021-12-27,A股融资融券日报：两融余额减少95.83亿元（12月24日）,Wind
43,2021-12-27,陆家嘴财经早餐2021年12月27日星期一,Wind
44,2021-12-26,国元农险IPO现新进展，证监会已接收申请材料,Wind
45,2021-12-25,4年5.3亿好处费，头部信托一从业人员被判15年,Wind
46,2021-12-25,一起算算，基金经理在重仓股上赚钱了吗？,雪球
47,2021-12-25,中国上市公司500强：银行包揽前四，85家利润超100亿元,腾讯网
48,2021-12-24,百度发布2021品牌数字资产榜 土巴兔与华为、中国平安等品牌共同上榜,凤凰网
49,2021-12-24,对标世界一流企业：国资委举办“走进平安”人力资源研讨班,凤凰网
50,2021-12-24,回眸2021，中国平安十大新闻发布,第一财经
51,2021-12-24,中国平安成立全国首只碳中和慈善信托,和讯
52,2021-12-24,A股融资融券日报：两融余额增加19.59亿元（12月23日）,Wind
53,2021-12-23,中国平安发布2020气候风险管理报告,大众证券报
54,2021-12-23,平安产险北京分公司总经理曹阳：护航绿色发展，丰富绿色保险产品供给,北京商报
55,2021-12-23,北向资金加仓近25亿结束连续4日净卖出，宁德时代净买入4.74亿元,Wind
56,2021-12-23,平安智慧城市独角兽的炼成：与趋势共舞，强内力驱动–哈评特别策划,北国网
57,2021-12-23,西部（重庆）科学城50个重点项目集中开工,Wind
58,2021-12-23,A股融资融券日报：两融余额增加24.04亿元（12月22日）,Wind
59,2021-12-22,"中国平安现1笔大宗交易 共成交2,706.25万元",新浪
60,2021-12-22,中国平安今日大宗交易成交59.14万股，成交价45.76元折价8.81%,Wind
61,2021-12-22,中国移动会复制 中国电信的走势吗,北京商报
62,2021-12-22,平安信托受贿案震惊业界！判15年、没收财产1500万及违法所得5.23亿元 金融监管处罚,新浪
63,2021-12-22,A股融资融券日报：两融余额减少7.19亿元（12月21日）,Wind
64,2021-12-22,北向资金连续三日出逃，增减持行业一览（附股） 减持股份,21经济网
65,2021-12-22,北向资金动向盘点：观望，厌恶高估值,Wind
66,2021-12-22,南粤热土上，书写出资本市场“春天的故事”,上证报
67,2021-12-21,中国平安前三季度归母营运利润稳健增长9.2%，集团总资产首次突破10万亿元,大众证券报
68,2021-12-21,中国平安发生2笔大宗交易 合计成交2135.28万元,证券时报网
69,2021-12-21,老周侃股：中国移动会否复制中国电信的走势,北京商报
70,2021-12-21,北向资金交投意愿转淡连续3日净卖出，白酒、新能源均遭出货,Wind
71,2021-12-21,中国平安：稳健布局新能源业务,每日经济新闻
72,2021-12-21,中国平安等13家企业支持博士后创新创业,新浪
73,2021-12-21,A股融资融券日报：两融余额减少40.23亿元（12月20日）,Wind
74,2021-12-21,逆周期下，2021年寿险上市公司答卷如何？,每日财报
75,2021-12-20,保险业基本面梳理系列一：保险资金运用政策调整 股权私募基金投资或将提升,新浪
76,2021-12-20,120亿华夏幸福信托产品违约，平安银行遭质疑不止是“代销”,第一财经
77,2021-12-20,护航顶尖人才！中国平安为第一届全国博士后创新创业大赛提供保险服务,财经网
78,2021-12-20,每日理财观察：理财产品流动性风险管理办法出台,Wind
79,2021-12-20,A股融资融券日报：两融余额减少80.19亿元（12月17日）,Wind
80,2021-12-20,【今日推荐】以股为鉴端详债市—利率市场周度观察,兴业研究
81,2021-12-19,除了备战北交所，券业今年还有这些关键词,Wind
82,2021-12-18,富时中国指数成分股大调整，外资布局2022年,Wind
83,2021-12-18,茅台，稳住！外资基金巨头在加仓了,Wind
84,2021-12-18,茅台，稳住！外资基金巨头在加仓了,中国基金报
85,2021-12-17,"中国平安现1笔大宗交易 共成交2,211.84万元",新浪
86,2021-12-17,北向资金结束连续12日净买入，药明康德遭大幅抛售超10亿元,Wind
87,2021-12-17,中国平安今日大宗交易成交48万股，成交价46.08元折价8.82%,Wind
88,2021-12-17,突然出手！这类基金火了：猛增240多亿！,Wind
89,2021-12-17,A股融资融券日报：两融余额增加5.56亿元（12月16日）,Wind
90,2021-12-17,北向资金动向盘点：近两周加仓“非银”已超百亿,Wind
91,2021-12-17,港股科技股市值较高位蒸发10万亿？会是布局良机？,Wind
92,2021-12-17,北向资金买入力度加大，抢筹钢铁行业（名单）,21世纪经济报道
93,2021-12-17,北上资金连续12天净买入，煤炭行业搭上氢能源快车,Wind
94,2021-12-17,财险回暖“撑门面”，上市险企保费表现分化,Wind
95,2021-12-17,净买入超820亿元，北上资金单月流入金额又创新高,Wind
96,2021-12-17,2021：恒指表现全球最差，港股“失落”根源何在,Wind
97,2021-12-16,2022年保险业投资策略来了！车险增速有望修复 康养或为新增长点,国际金融报
98,2021-12-16,保险周榜｜两金一银！这家机构也太能打了吧！,中国银行保险报
99,2021-12-16,平安普惠上海分公司：反诈进行时 平安守护你,凤凰网
100,2021-12-16,上市险企年末冲刺寿险保费改善 车险回暖财险保费小幅增长,21世纪经济报道
101,2021-12-16,百万代理人逃离 前9个月退保1200亿 保险为什么卖不动了？,和讯
102,2021-12-16,北向资金追平年内最长净买入纪录，山西汾酒净卖出额创历史新高,Wind
103,2021-12-16,成绩单出来了！5大上市险企前11月保费2.3万亿，寿险亮了,Wind
104,2021-12-16,A股融资融券日报：两融余额增加10.27亿元（12月15日）,Wind
105,2021-12-16,港股盘前必读：美联储将基准利率维持不变，美股全线收涨,Wind
106,2021-12-16,外资连续11天加仓，4000亿龙头被买爆！两大领域成扫货专区,Wind
107,2021-12-16,成绩单出来了！5大上市险企前11月保费2.3万亿，微降0.6%，寿险亮了！明年上半年是一场硬仗！,券商中国
108,2021-12-16,五大险企前11月保费收入微降，板块估值仍待修复,Wind
109,2021-12-16,五大险企前11月保费收入微降 板块估值仍待修复 盈利能力下降,全景网
110,2021-12-15,五大上市险企前11月揽保费2.31万亿！寿险持续承压，车险拐点已现,国际金融报
111,2021-12-15,平安为农产品贴上“身份证”，科技助农助力乡村振兴,质量新闻网
112,2021-12-15,【东吴非银 | 上市险企11月保费数据点评】寿险持续承压，财险逐步回暖,微信
113,2021-12-15,全面守护彰显保险温度，中国平安加码医疗生态布局,凤凰网
114,2021-12-15,平安为农产品贴上“身份证”，科技助农助力乡村振兴,凤凰网
115,2021-12-15,保险Ⅱ行业：“降费”支持国家战略 好于市场预期,广发证券
116,2021-12-15,A股融资融券日报：两融余额增加9.31亿元（12月14日）,Wind
117,2021-12-15,倒霉“外卖小哥”，两年被撞54次，真相让你想不到,搜狐
118,2021-12-14,晚间要闻2021年12月14日星期二,Wind
119,2021-12-14,中国平安成立全国首只碳中和慈善信托,上证报
120,2021-12-14,中国平安：4家子公司前11月原保险保费收入达6916.2亿元,中证网
121,2021-12-14,【港股通】中国平安(02318)首11月寿险保费收入4167亿元,和讯
122,2021-12-14,中国平安(02318)4家子公司前11个月保费收入同比减少约5.22%至6916.2亿元 盈利能力下降,智通财经
123,2021-12-14,中国平安：今年前11个月子公司原保险合同保费收入合计6916.20亿元,Wind
124,2021-12-14,中国平安现1笔大宗交易 共成交759.10万元,新浪
125,2021-12-14,中国平安前11月保费收入6916.2亿元,中国经济网
126,2021-12-14,北向资金再度扫货超60亿，连续7日抢筹东方财富累计加仓超近61亿元,Wind
127,2021-12-14,中国平安(601318.SH)1月—11月的保费收入合计6916.20亿元,智通财经
128,2021-12-14,中国平安(601318.SH)：1-11月原保险合同保费收入6916.20亿元,格隆汇
129,2021-12-14,基本面仍较弱，静待负债端拐点|保险行业11月跟踪报告,华创非银
130,2021-12-14,第一上海丨【公司研究】中国平安（2318，买入）：寿险改革仍在持续，期待转型成效,第一上海金融
131,2021-12-14,深圳保险业清廉金融文化职业培训示范课在中国平安首讲,中证网
132,2021-12-14,北向资金继续加仓A股逾53亿元，互联网服务行业获大幅增持，爆买东方财富超17亿元,21世纪经济报道
133,2021-12-14,东方财富、中国平安等40股获北向资金增持额超亿元,证券时报网
134,2021-12-14,北向资金动向盘点：重手净买非银，低估且弹性大,Wind
135,2021-12-13,传统蓝筹“王者归来”，市场风格切换在即？,Wind
136,2021-12-13,保险业半年离职128万人，过去5年平均月薪仅3500元，43家公司亏损,腾讯网
137,2021-12-13,北向资金连续9日净买入累计加仓近700亿，爆买东方财富超17亿,Wind
138,2021-12-13,创新公益的中国平安样本：“平安守护者行动”让公益更有温度,凤凰网
139,2021-12-13,平安守护者行动：构建可持续社区公益服务生态圈,凤凰网
140,2021-12-13,非银金融行业周报：保险业对外开放进一步落实 场外衍生品业务新增规模下降,光大证券
141,2021-12-13,A股融资融券日报：两融余额增加0.16亿元（12月10日）,Wind
142,2021-12-13,北上资金上周净买入金额创新高，重点加仓白酒与金融股,Wind
143,2021-12-12,中国平安前三季度绿色投资规模达2088.86亿元,上证报
144,2021-12-12,多数海外中国地区基金收益为负，重仓茅台的回撤20%,Wind
145,2021-12-11,财经连连看 | 股市周评：上证指数走强，一波跨年度行情正在形成？,新民网
146,2021-12-11,金融有温度，中国平安“是知也”,和讯
147,2021-12-10,荣获“最佳可持续发展奖”，中国平安 (601318.SH/2318.HK)锚定长期主义,格隆汇
148,2021-12-10,中国平安现2笔大宗交易 共成交765.60万元,新浪
149,2021-12-10,中国平安再发气候风险管理报告，前三季度绿色投资规模达2088亿,经济网
150,2021-12-10,中国平安今日大宗交易成交16.50万股，成交价46.4元折价9.41%,Wind
151,2021-12-10,中国平安前三季度绿色投资规模2088亿元、绿色保险保费收入251.09亿元,新浪
152,2021-12-10,A股融资融券日报：两融余额增加7.33亿元（12月9日）,Wind
153,2021-12-10,中国平安连续两日出现溢价大宗交易，跨年蓝筹行情开始了？,第一财经
154,2021-12-10,“聪明钱”大手笔抢筹，跨年行情渐入佳境,Wind
155,2021-12-09,保险经营缓慢修复,证券市场周刊
156,2021-12-09,大湾区第一高深圳平安金融中心，持续赋能“碳中和”战略,北京商报
157,2021-12-09,中国平安(02318.HK)建议委任蔡浔为非执行董事,格隆汇
158,2021-12-09,年金型保险的平安打法，兼具财富管理、传承养老多元功能,21商评网
159,2021-12-09,陆股通净买入216.56亿元，连续7日净买入,证券时报网
160,2021-12-09,中国平安(601318.SH)提名蔡浔为非执行董事候选人,智通财经
161,2021-12-09,中国平安：董事会决议推荐蔡浔出任公司第十二届董事会非执行董事,Wind
162,2021-12-09,中国平安“青少年科技素养提升计划”获评CSR中国教育榜“年度典范项目”,中证网
163,2021-12-09,中国平安：公司的保险资金坚持长期持有、逆周期、面向价值和基本面的投资策略，以价值为核心,每日经济新闻
164,2021-12-09,A股融资融券日报：两融余额增加42.4亿元（12月8日）,Wind
165,2021-12-09,外资爆买A股！一天狂加仓近百亿！抄底宁德时代，重仓茅台、招行,Wind
166,2021-12-08,中国平安2318｜今年首11个月保费收入跌逾半成 | 头条金融网 盈利能力下降,头条日报
167,2021-12-08,北向资金再度加仓近百亿，贵州茅台获大幅净买入超16亿元,Wind
168,2021-12-08,中国平安今日大宗交易成交17.60万股，成交价55.0元溢价9.26%,Wind
169,2021-12-08,中国平安高度重视核心技术研发 平安AskBob具备国际专科医生水平,经济日报
170,2021-12-08,国内五大保险企业首11月保费收入2.3万亿人币 | 头条金融网,头条日报
171,2021-12-08,中国平安、招商银行等43股获北向资金增持额超亿元,证券时报网
172,2021-12-08,A股融资融券日报：两融余额减少43.44亿元（12月7日）,Wind
173,2021-12-08,北向资金动向盘点：狂买金融股，风格已变,Wind
174,2021-12-08,北向资金扫货A股近80亿元！大幅增持银行券商，减持有色金属（附股） 减持股份,21世纪经济报道
175,2021-12-08,降准落地，A股仍涨不动？这一顶级赛道却吵翻了,Wind
176,2021-12-07,北向资金今日净买入中国平安5.34亿元,证券时报
177,2021-12-07,数据复盘｜主力资金撤离有色金属、电子等行业 北向资金抢筹中国平安、招商银行等,证券时报网
178,2021-12-07,北向资金今日净流入79亿元 中国平安获加仓5亿元,第一财经
179,2021-12-07,中国平安现1笔大宗交易 共成交240.85万元,新浪
180,2021-12-07,北上资金净买入中国平安5.34亿元 净卖出宁德时代6.62亿元,格隆汇
181,2021-12-07,北向资金净买入79.49亿元 中国平安净买入5.34亿元,新浪
182,2021-12-07,北向资金今日净买入79.49亿元，继续抄底大金融板块,Wind
183,2021-12-07,中国平安今日大宗交易成交5万股，成交价48.17元折价4.41%,Wind
184,2021-12-07,外资月报第26期：外围扰动加剧 配置盘稳步流入,新浪
185,2021-12-07,A股资金流向：赛道股再度下杀，资金进驻价值蓝筹,Wind
186,2021-12-07,【异动股】中国平安(02318.HK)涨3.05%,财华社
187,2021-12-07,"中国平安：平安寿险在国内共设有42家分公司，拥有超3,300个营业网点，网络遍布全国，向客户提供服务",每日经济新闻
188,2021-12-07,港A两地保险股集体上涨 中国平安AH股均涨超2%,格隆汇
189,2021-12-07,保险股急拉，中国平安、中国人寿、中国太保涨幅靠前,Wind
190,2021-12-07,A股融资融券日报：两融余额减少24.72亿元（12月6日）,Wind
191,2021-12-06,从提速到提质，中国平安的“育才”新概念,北京商报
192,2021-12-06,A股融资融券日报：两融余额减少18.05亿元（12月3日）,Wind
193,2021-12-05,发生了什么？海外最大中国股票基金大举减持宁德时代！,Wind
194,2021-12-05,炒股11年，从几万赚到1000万，网民自述今年败局：账户缩水到300万，买的是万科、融创等“便宜”股票,每日经济新闻
195,2021-12-05,非银周报：账户管理优化助力财富管理 险资融券放开增厚投资收益,新浪
196,2021-12-05,《关于保险资金参与证券出借业务有关事项的通知》点评：盘活险资存量资产 增厚收益或超百亿,新浪
197,2021-12-04,北上资金年度净买入刷新历史纪录,Wind
198,2021-12-03,掉队证券业融资潮方正证券“另类补血”：发债长期停滞转而抛售3机构股权变现,华尔街见闻
199,2021-12-03,“平安公益”入选民政部第三批互联网募捐信息平台,中金在线
200,2021-12-03,非银行业2022年度策略：把握券商权益机构化主线 静待保险负债端转型成效,新浪
201,2021-12-03,中国平安现1笔大宗交易 共成交821.60万元,新浪
202,2021-12-03,北向资金今日净买入超92亿元本周累计加仓超150亿，大幅抢筹芯片股,Wind
203,2021-12-03,"延续爱与责任,平安私人银行保险金信托温暖守护“来自星星的孩子”",钢企网
204,2021-12-03,对标联合健康，HMO模式赋予中国平安新想象,财经网
205,2021-12-03,中国平安股票通过大宗交易以每股55港元成交420万股,金十数据
206,2021-12-03,东方证券：首予中国平安(601318.SH)“买入”评级 目标价71.24元,智通财经
207,2021-12-03,A股融资融券日报：两融余额减少72.45亿元（12月2日）,Wind
208,2021-12-03,平安保险有猫腻，小心线上车险的销售陷阱,搜狐
209,2021-12-02,保险行业10月跟踪报告：投资端风险有所释放 板块略有反弹,新浪
210,2021-12-02,保险行业2022年投资策略,广发证券
211,2021-12-02,中国平安(601318)：改革深化推进 静待巨擘起航,新浪
212,2021-12-02,中国平安：截至11月底已累计回购38.99亿元A股股份,和讯
213,2021-12-02,A股融资融券日报：两融余额增加5.37亿元（12月1日）,Wind
214,2021-12-02,盘前必读丨三年来首次提价五粮液回应，*ST中天时隔近一个月再度停牌核查,第一财经
215,2021-12-02,富时A50调整成份股　12月适宜继续做多,财富动力网
216,2021-12-02,北大资源“失联”方正,乐居财经
217,2021-12-01,保险行业2022年度投资策略：不畏浮云遮望眼,新浪
218,2021-12-01,中国平安：截至11月底，已累计回购A股7776.51万股，回购金额38.99亿元,资本邦
219,2021-12-01,晚间重要公告2021年12月1日星期三,Wind
220,2021-12-01,【港股通】中国平安(02318)斥39亿元累计回购7776.51万股A股,和讯
221,2021-12-01,北上资金活跃股名单(12月1日),证券时报网
222,2021-12-01,北向资金12月首个交易日加仓A股30亿，紫光国微净买入超6亿元,Wind
223,2021-12-01,中国平安：累计回购7776.51万股A股 耗资近39亿元,e公司
224,2021-12-01,中国平安：累计回购7776.5万股公司A股股份，耗资38.99亿元,证券时报网
225,2021-12-01,中国平安(601318.SH)累计回购A股7776.51万股 耗资38.99亿元,智通财经
226,2021-12-01,中国平安：累计回购7776.51万股公司A股股份,财联社
227,2021-12-01,中国平安：累计回购7776.509万股公司A股股份，耗资38.99亿元,Wind
228,2021-12-01,上市公司回购热 彰显发展信心,中国商报
229,2021-12-01,保险行业2022年策略报告：估值底部 静待破局,西部证券
230,2021-12-01,A股融资融券日报：两融余额增加15.02亿元（11月30日）,Wind
231,2021-11-30,2021中国上市公司软实力巡礼：中国平安价值189.26亿元 排序第28名,搜狐
232,2021-11-30,中国平安的月K线6连阴，股价接近“腰斩”，现在是抄底好时机吗？,搜狐
233,2021-11-30,中国平安：11月30日耗资3552.98万元回购73.26万股A股股份,中证网
234,2021-11-30,MSCI指数调整生效日，这些股票尾盘异动！外资11月调仓瞄准科技股,Wind
235,2021-11-30,平安人寿金管家沈玮：数字化加码，构建全新保险生态体系,凤凰网
236,2021-11-30,北向资金今日净卖出超34亿元11月累计加仓185亿，贵州茅台连续3日遭抛售,Wind
237,2021-11-30,中国平安(02318)11月30日斥3552.98万港元回购73.26万股A股,智通财经
238,2021-11-30,中国平安(02318.HK)11月30日耗资3553万元回购73.26万股A股,格隆汇
239,2021-11-30,中国平安：斥资3552万元购回73.3万股A股公司,Wind
240,2021-11-30,【行情】上证50指数跌超1%，贵州茅台、招商银行、中国平安等权重集体走弱,金十数据
241,2021-11-30,【异动股】中国平安(02318.HK)跌3.06%,财华社
242,2021-11-30,陆股通月报：11月北上资金有何动向？,新浪
243,2021-11-30,快讯 | 中国平安回购A股股份82.35万股,财经网
244,2021-11-30,A股融资融券日报：两融余额增加18.95亿元（11月29日）,Wind
245,2021-11-29,保险2022年度策略：唯坚定改革者 首见曙光,新浪
246,2021-11-29,半年近百万人离职，五大险企总市值缩水近三成，保险行业怎么了？,钛媒体
247,2021-11-29,A股融资融券日报：两融余额减少44.66亿元（11月26日）,Wind
248,2021-11-29,每日理财观察：新版董监高持股变动规则公开征求意见,Wind
249,2021-11-27,保险Ⅱ：行业渠道销售迎大变革-《征求意见稿》解读,新浪
250,2021-11-27,平安不动产退出杭州安丰置业，中国平安财产保险接盘,乐居财经
251,2021-11-26,金融街下午茶2021年11月26日星期五,Wind
252,2021-11-26,中国平安(02318)11月26日斥约1.2亿元回购244.76万股A股股份,智通财经
253,2021-11-26,中国平安(02318.HK)：26日耗资1.2亿元回购244.76万股A股，累计回购38.25亿元,格隆汇
254,2021-11-26,北上资金今日净买入宁德时代2.58亿元、药明康德2.46亿元，净卖出招商银行6.54亿元、中国平安4.44亿元。,财联社
255,2021-11-26,中国平安：回购244.76万股股份，耗资人民币1.2亿元,Wind
256,2021-11-26,北向资金净卖出近45亿结束连续5日净买入，招商银行净卖出超6亿元,Wind
257,2021-11-26,A股资金流向：沪指“以缺补缺”，权重低迷题材脉冲回落,Wind
258,2021-11-26,【行情】港股内险股下挫，中国平安(02318.HK)跌3.14%，中国人寿(02628.HK)跌近3%，中国太保(02601.HK)跌2.69%，中国太平(00966.HK)跌1.41%,金十数据
259,2021-11-26,【异动股】中国平安(02318.HK)跌3.05%,财华社
260,2021-11-26,中国平安：为何腰斩不回头？,搜狐
261,2021-11-26,A股融资融券日报：两融余额增加16.32亿元（11月25日）,Wind
262,2021-11-25,《中共中央国务院关于加强新时代老龄工作的意见》点评：再提第三支柱建设 保险公司大有可为,新浪
263,2021-11-25,永义国际(01218.HK)：购入600万港元中国平安股票挂鈎票据,格隆汇
264,2021-11-25,太平洋保险公布年度薪酬：总精算师拿得最多 最少的高管为80多万,新浪
265,2021-11-25,银行保险驻点销售有望重启 市场格局如何演化,新浪
266,2021-11-25,保险简讯|中华联合保险被罚50万 中国平安回购104万股,搜狐
267,2021-11-25,A股融资融券日报：两融余额增加23.98亿元（11月24日）,Wind
268,2021-11-25,港股盘前必读：中国人寿举牌中国华融H股持股比例升至7.26%,Wind
269,2021-11-25,年内上市公司回购金额逾1100亿,Wind
270,2021-11-24,格隆汇港股聚焦(11.24)︱锦江资本获控股股东溢价33.62%吸收合并；小米集团授出合共约5978.86万股奖励股份,格隆汇
271,2021-11-24,保险行业系列互联网及人身险新规深度解读：重塑人身险渠道及产品竞争格局,新浪
272,2021-11-24,保险行业年度策略：保险业涅磐重生,新浪
273,2021-11-24,中国平安(02318)11月24日斥资2250.26万元回购45.52万股A股股份,智通财经
274,2021-11-24,中国平安：今日耗资2250.26万元回购45.52万股A股，累计回购37亿元,格隆汇
275,2021-11-24,中国平安(02318.HK)：于2021年11月24日赎回455247股A股股份，价格区间为49.38-49.55元，耗资2250万元,金十数据
276,2021-11-24,中国平安：今日耗资2250.26万元回购45.52万股,e公司
277,2021-11-24,中国平安(02318.HK)：24日耗资2250.26万元回购45.52万股A股，累计回购37.05亿元,格隆汇
278,2021-11-24,中国平安：回购45.52万股公司A股股份，耗资2250.26万元,Wind
279,2021-11-24,中国平安耗资0.51亿元回购104万股A股股份,和讯
280,2021-11-24,保险行业快报：10月寿险保费持续承压 产险增速由负转正,新浪
281,2021-11-24,A股融资融券日报：两融余额增加25.03亿元（11月23日）,Wind
282,2021-11-23,携手同行守护平安！“平安守护者进社区”在广州启动,21世纪经济报道
283,2021-11-23,保险行业：为什么中国没有联合健康模式专题1：什么是联合健康模式？,新浪
284,2021-11-23,中国平安大宗交易成交920.00万元,证券时报网
285,2021-11-23,中国平安23日耗资5150万元回购104万股A股，累计回购近37亿元,格隆汇
286,2021-11-23,中国平安(02318.HK)：今日耗资5150.51万元回购104.02万股A股，累计回购近37亿元,格隆汇
287,2021-11-23,中国平安现1笔大宗交易 共成交920.00万元,新浪
288,2021-11-23,中国平安发布公告，2021年11月23日回购104万股A股,金十数据
289,2021-11-23,中国平安(02318)11月23日5150.5万元回购104万股A股,智通财经
290,2021-11-23,中国平安：回购104.02万股A股，合计耗资约515万元,Wind
291,2021-11-23,市场温度计：东吴策略·外资大幅买入成长,新浪
292,2021-11-23,A股融资融券日报：两融余额增加111.29亿元（11月22日）,Wind
293,2021-11-22,【晚间公告抢先看】保利发展发行不超98亿元公司债、国轩高科与长城汽车零部件公司签订不低于10GWh采购协议,金融界
294,2021-11-22,黄伟辞任中国平安(601318.SH)非执行董事职务 董监高成员变化,智通财经
295,2021-11-22,北向资金今日净买入14.35亿元，宁德时代再获大幅净买入近17亿,Wind
296,2021-11-22,中国平安：非执行董事黄伟因个人工作变动辞任 董监高成员变化,Wind
297,2021-11-22,保险Ⅱ：提升核心偿付能力充足率 助力上市险企业务扩张,新浪
298,2021-11-22,《关于调整保险资金投资债券信用评级要求等有关事项的通知》简评：低评级合并口径管理 永续认定强调一致性,新浪
299,2021-11-22,A股融资融券日报：两融余额减少11.76亿元（11月19日）,Wind
300,2021-11-22,全力加仓“新能源之王”！北上资金1/4的钱都买了它,Wind
301,2021-11-21,央行货币执行及表述变化对A股意味着什么,招商策略研究
302,2021-11-21,中国平安集团：在新时代全方位推动公司高质量发展,光明网
303,2021-11-21,非银金融行业：流动性预期边际改善 推荐关注非银板块,广发证券
304,2021-11-20,北向资金本周加仓111亿，抄底交运物流、汽车零部件等超跌板块，扫货这些龙头股（名单）,21世纪经济报道
305,2021-11-20,房地产合理贷款得到满足！A股普涨，本周北上资金买入百亿,Wind
306,2021-11-19,中国平安现1笔大宗交易 共成交705.00万元,新浪
307,2021-11-19,北向资金今日大幅净买入近83亿，再度爆买宁德时代超14亿,Wind
308,2021-11-19,中国平安今日大宗交易成交15万股，成交价47.0元折价5.92%,Wind
309,2021-11-19,房地产飙升3%提振大盘，北上资金依旧宠爱新能源,Wind
310,2021-11-19,保险行业2022年度投资策略：估值见底 低预期下寻找内外部边际超预期,新浪
311,2021-11-19,A股融资融券日报：两融余额减少3.0亿元（11月18日）,Wind
312,2021-11-19,北向资金动向盘点：反手减持食品饮料、医药,Wind
313,2021-11-19,北向资金抛售医药白酒，买入元宇宙、锂电概念（附股）,21世纪经济报道
314,2021-11-19,北向资金进出波动加剧，机构看好外资流入前景,Wind
315,2021-11-18,北向资金今日净卖出44.53亿元，传统核心资产集体遭抛售,Wind
316,2021-11-18,中国平安今日大宗交易成交35万股，成交价48.0元折价3.05%,Wind
317,2021-11-18,中国平安前三季度归母营运利润稳健增长9.2% 集团总资产首次突破十万亿元,搜狐
