,2021-12-31,2021年A股年终盘点：十大“水逆”板块在哪里？,Wind
85,2021-12-09,关于同意华泰证券股份有限公司为浦银安盛中证高股息精选交易型开放式指数证券投资基金提供主做市服务的公告,上交所
86,2021-12-09,关于同意华泰证券股份有限公司为泰康中证500交易型开放式指数证券投资基金提供主做市服务的公告,上交所
87,2021-12-09,关于同意华泰证券股份有限公司为浦银安盛中证证券公司30交易型开放式指数证券投资基金提供主做市服务的公告,上交所
88,2021-12-09,国新健康：华泰证券、嘉实基金等27家机构于12月6日调研我司,证券之星
89,2021-12-09,华侨城A：华泰证券、国投瑞银基金等3家机构于12月3日调研我司,证券之星
90,2021-12-09,道通科技：华泰证券、致远资本等4家机构于11月25日调研我司,证券之星
91,2021-12-08,华泰证券发布 “融券通”3.0 开放共享新生态,中证网
92,2021-12-08,北向资金再度加仓近百亿，贵州茅台获大幅净买入超16亿元,Wind
93,2021-12-08,地金播报丨恒大宣布无法履约、佳兆业美元债寻求展期失败,搜狐
94,2021-12-08,证券行业12月投资策略：宽信用叠加强改革 催化券商行情,新浪
95,2021-12-08,低估值蓝筹能否引领跨年行情？,Wind
96,2021-12-08,中海达：华泰证券于12月6日调研我司,证券之星
97,2021-12-08,中自科技：华泰证券、紫欣私募等2家机构于11月30日调研我司,证券之星
98,2021-12-07,持续提升理财型客户体验，华泰证券获评“2020年度最佳基金销售券商”奖,新浪
99,2021-12-07,华泰证券(06886.HK)成功发行50亿元短期公司债,格隆汇
100,2021-12-07,华泰证券(06886)完成发行合共50亿元2021年短期公司债券(第七期),智通财经
101,2021-12-07,申万宏源：降准发力，看好券商岁末年初行情,财联社
102,2021-12-07,关于同意华泰证券股份有限公司为国泰中证影视主题交易型开放式指数证券投资基金提供主做市服务的公告,上交所
103,2021-12-07,融资客青睐8股，雷柏科技买入占比高达38.52%,Wind
104,2021-12-07,证券行业周报：优化证券公司账户管理 打造以客户为中心体系,新浪
105,2021-12-07,【证券*胡翔】券商发展迎“新基建”，账户优化助推财富管理转型升级,东吴研究所
106,2021-12-07,政策优化护航证券业发展，券商股两大行情脉络日渐清晰,Wind
107,2021-12-07,多重利好显现，机构看好券商板块跨年行情,Wind
108,2021-12-06,深度*行业*证券行业2022年度策略：成长性奠定投资价值 流动性催化行情,新浪
109,2021-12-06,券商收益互换业务新规落地，41家获资质券商竞跑“新赛道”,第一财经
110,2021-12-06,北向资金连续4日净买入累计加仓超150亿，大幅抢筹券商、银行股,Wind
111,2021-12-06,券商行业周报(2021年第四十五期)：看好券商跨年行情 建议关注财富管理主线及龙头券商,新浪
112,2021-12-06,四大理由看今日券商股躁动，头部券商与“高含财率”券商各自领衔，后市还可持续吗,财联社
113,2021-12-06,非银金融行业周报：险资规范参与证券出借业务 继续关注券商板块行情,光大证券
114,2021-12-06,10家券商试点账户管理功能优化点评：综合账户试点落地 增强券商财富管理竞争力 看好板块,新浪
115,2021-12-06,A股收盘综述：锂电池、半导体双线回撤，创业板指跌超2%退守3400点！,Wind
116,2021-12-06,多空PK台：数据揭秘！券商板块多空力量正发生变化,资本邦
117,2021-12-06,非银金融行业周报：降准预期叠加险资券源放开 券商迎多重利好,新浪
118,2021-12-06,非银金融行业周报：2021年证券公司财务顾问业务执行能力评价结果解读,新浪
119,2021-12-06,“牛市旗手”集体异动，跨年行情稳了？,Wind
120,2021-12-06,证券：适时降准叠加多项政策利好 看好券商板块行情,新浪
121,2021-12-06,兴业证券涨停券商股大幅走高，券商ETF（512000）放量涨超4%,Wind
122,2021-12-06,东吴证券：证券衍生品业务迎来新发展,财联社
123,2021-12-06,【东吴非银 | 行业政策点评】券商发展迎“新基建”，账户优化助推财富管理转型升级,微信
124,2021-12-06,本周股市三大猜想及应对策略,财富动力网
125,2021-12-05,证券业关于保险资金参与证券出借业务事项的点评：融券制度改革延续 险资纳入出借人行列,新浪
126,2021-12-05,非银周报：账户管理优化助力财富管理 险资融券放开增厚投资收益,新浪
127,2021-12-05,3家获批银行基金投顾试点进展缓慢，展业或分两步走,Wind
128,2021-12-05,放开险资参与证券出借点评：可为融券市场带来翻倍增量 龙头享受较高业绩弹性,新浪
129,2021-12-05,最牛大赚超80%！大集合改造，“冲刺”！,Wind
130,2021-12-04,证券业基本面梳理之一：优化证券公司账户管理功能 打造券商财富管理的主账户,新浪
131,2021-12-04,账户功能优化来了！10券商获准试点，新增综合账户，分账户分类管理，可同名划转,券商中国
132,2021-12-04,A股市场领涨全球，监管同意开展账户管理功能优化试点工作,Wind
133,2021-12-04,重磅试点名单出炉！中信、国泰君安等10家券商“拔头筹”,Wind
134,2021-12-04,明阳电路：华泰证券股份有限公司于11月30日调研我司,证券之星
135,2021-12-03,首批10家“账户管理功能优化试点”券商名单出炉！遵照六大要求，国君、中信、招商、安信等率先回应,财联社
136,2021-12-03,场外期权交易商扩容至45家，新增交易头部集中度下降， 衍生品业务成增厚业绩“利器”,财联社
137,2021-12-03,北向资金今日净买入超92亿元本周累计加仓超150亿，大幅抢筹芯片股,Wind
138,2021-12-03,证监会同意开展证券公司账户管理功能优化试点,Wind
139,2021-12-03,华泰证券(06886.HK)：2021年短期公司债券(第七期)票息定为品种一2.64%、品种二2.70%,格隆汇
140,2021-12-03,100亿+资金涌入！最牛份额涨667%，布局机会到了？,Wind
141,2021-12-03,中金财富管理行业展望：万亿级市场面临战略窗口期,Wind
142,2021-12-02,龙虎榜座次“大洗牌”！“黑马”都是量化营业部,Wind
143,2021-12-02,天风证券股份回购背后：券商股配置价值已显？,经济观察报
144,2021-12-02,华泰证券(06886)：“20华泰G8”每手派发利息36.7元,智通财经
145,2021-12-02,华泰证券(06886.HK)：“20华泰G8”将于12月9日开始付息,格隆汇
146,2021-12-02,ST雪莱：控股股东被强平1%公司股份 股票质押异常,Wind
147,2021-12-02,真豪！又有券商出手，买下上海核心区一栋办公楼,中国基金报
148,2021-12-02,华泰证券(06886)：2021年公司债券(第七期)品种一票面利率为2.64% 品种二票面利率为2.7%,智通财经
149,2021-12-02,拯救券商股！这家券商斥资上亿回购股份，什么信号？,Wind
150,2021-12-02,大行评级 | 大摩：相信华泰证券(6886.HK)股价45日内将升 评级与大市同步,格隆汇
151,2021-12-02,大摩：予华泰证券(06886)“与大市同步”评级 目标价14.51港元,智通财经
152,2021-12-02,华泰证券：购置上海保利广场C 栋楼房产用于日常办公,中证网
153,2021-12-02,"又见券商买楼！华泰证券将在陆家嘴购置办公楼，租金太贵？近两年券商扎堆购""买房""",券商中国
154,2021-12-02,拯救券商股！这家券商斥资上亿回购股份，什么信号？业绩亮眼为何股价萎靡？,券商中国
155,2021-12-02,广发证券：华泰证券于11月26日调研我司,证券之星
156,2021-12-01,“地表最强”营业部来了！东财、华鑫、华泰包揽龙虎榜前三，“碳中和”主题受追捧,中证报
157,2021-12-01,港股券商股拉升 华泰证券(06886.HK)涨2.86%,钢企网
158,2021-12-01,华泰证券(06886)拟捐资2000万元发起设立基金会,智通财经
159,2021-12-01,华泰证券(601688.SH)拟收购上海盛钜资产100%股权以实际购置相关房产,智通财经
160,2021-12-01,龙虎榜营业部大洗牌：50强中半数被挤出，6家排名提升超1000位，财通、财信、华鑫…背后都有“新故事”,财联社
161,2021-12-01,券商12月金股出炉，高景气成长方向仍是市场主线,Wind
162,2021-12-01,“牛市旗手”啥情况？板块在跌，ETF份额却大增25亿份,上证报
163,2021-12-01,南网能源：华泰证券、敦和资产等2家机构于11月26日调研我司,证券之星
164,2021-12-01,沪农商行：华泰证券、南方基金等2家机构于11月19日调研我司,证券之星
165,2021-11-30,汇隆新材：华泰证券于11月16日调研我司,证券之星
166,2021-11-29,券商行业周报(2021年第四十四期)：公募基金再迎新产品线 把握创新优势促进业务转型,新浪
167,2021-11-29,牛市旗手风口来了？三大ETF份额大增77.55亿份,Wind
168,2021-11-29,关于同意华泰证券股份有限公司为富国中证科技50策略交易型开放式指数证券投资基金提供主做市服务的公告,上交所
169,2021-11-29,关于同意华泰证券股份有限公司为富国中证医药50交易型开放式指数证券投资基金提供主做市服务的公告,上交所
170,2021-11-29,安达系蛰伏华泰保险20年或能拿下控股权 两年耗资百亿扫货,长江商报
171,2021-11-29,2021年Wind“金牌分析师”权威揭榜,Wind
172,2021-11-29,华立股份：华泰证券、海莎投资等2家机构于11月4日调研我司,证券之星
173,2021-11-29,优彩资源：华泰证券、兴业证券等2家机构于11月5日调研我司,证券之星
174,2021-11-28,规范人身保险销售管理，第二批基金投顾获牌券商陆续开业,华创非银
175,2021-11-28,【国君非银刘欣琦团队】继续推荐机构业务具备竞争优势的券商,欣琦看金融
176,2021-11-28,力诺特玻：华泰证券、德邦证券等3家机构于11月16日调研我司,证券之星
177,2021-11-28,锦盛新材：华泰证券、国联证券等3家机构于11月23日调研我司,证券之星
178,2021-11-27,基金投顾从小众跨越到蜂拥而至：三分投七分如何“顾”？万亿蓝海谁主沉浮？,每经头条
179,2021-11-27,金沃股份：博时基金、华泰证券等2家机构于11月25日调研我司,证券之星
180,2021-11-27,中集集团：华泰证券、申九资产等3家机构于11月18日调研我司,证券之星
181,2021-11-26,非银金融行业周报：本周周报地产预期改善提振非银情绪 北交所开市关注券商热度,新浪
182,2021-11-26,中国外运：国泰君安、华泰证券等5家机构于10月28日调研我司,证券之星
183,2021-11-25,国金证券CIO到位，头部券商IT老将担纲重任，2天2位CIO上任，全行业CIO数量已突破60位,财联社
184,2021-11-25,中国公司债及企业债信用分析周报,新浪
185,2021-11-25,募资超7000亿！A股迎定增大年，热门赛道引隐忧？,Wind
186,2021-11-25,中银证券：看好券商行业成长性 继续推荐重点受益的龙头券商和财富特色券商坚持看好资本市场供给侧持续改革叠加居民财富管理需求提升背景下券商板块的成长性，在和市场区间震荡的结构性行情中具备较高投资价值,金十数据
187,2021-11-25,中银证券：看好券商行业成长性 继续推荐重点受益的龙头券商和财富特色券商,证券时报网
188,2021-11-24,标准债券远期实物交割机制正式推出,Wind
189,2021-11-24,"华泰证券现1笔大宗交易 共成交2,916.00万元",新浪
190,2021-11-24,北向资金连续4日净买入累计加仓超170亿，批量扫货白酒股,Wind
191,2021-11-24,华泰证券今日大宗交易成交180万股，成交价16.2元溢价0.0%,Wind
192,2021-11-24,华泰证券达成银行间市场首单实物交割标准债券远期交易,新浪
193,2021-11-24,深度*行业*证券行业2021年三季报综述：财富业务驱动成长 自营资管主导分化,新浪
194,2021-11-24,券业总资产首破10万亿！券商前三季大赚1440亿,Wind
195,2021-11-24,国信证券：证券ROE呈现周期性特征，维持证券行业“超配”评级,Wind
196,2021-11-24,国信证券：证券ROE呈现周期性特征 维持证券行业“超配”评级,证券时报网
197,2021-11-24,首周成交额超200亿元，多只主题基金快速售罄——开市首周，北交所迎“开门红”,中证网
198,2021-11-24,美国三大股指收盘涨跌不一，纳指跌0.5%,Wind
199,2021-11-23,非银行金融行业2022年投资策略：在变革中寻找兼具品牌、规模和能力的好生意,新浪
200,2021-11-23,A股收盘综述：沪指三连阳冲击3600点未果,Wind
201,2021-11-23,券商板块再度活跃，长城证券涨停，中泰证券等走高,证券时报
202,2021-11-23,A股午盘综述：上证指数逼近3600点，深成指逼近15000点！,Wind
203,2021-11-23,首个元宇宙研究院成立、首个元宇宙首席分析师亮相，卖方研究正猛擦火花，路演与策略会也移到元宇宙里,财联社
204,2021-11-23,汉钟精机：华泰证券、金历投资等17家机构于11月18日调研我司,证券之星
205,2021-11-23,洋河股份现23亿大宗交易 一机构席位吃下过半份额,证券时报网
206,2021-11-22,【银华基金】交易日报 2021-11-22,新浪
207,2021-11-22,华泰证券(06886)获国信集团增持2424.82万股 增持计划实施完毕,智通财经
208,2021-11-22,洋河股份现23亿元大宗交易 同一席位月内合计抛售12笔套现逾38亿元 减持股份,e公司
209,2021-11-22,11月22日深市创业板活跃股公开信息,深交所
210,2021-11-22,北向资金今日净买入14.35亿元，宁德时代再获大幅净买入近17亿,Wind
211,2021-11-22,非银金融周报：北交所正式开市 重点关注投行/直投业务占优的券商,新浪
212,2021-11-22,华泰证券：2021年7月6日至2021年11月22日，国信集团通过港股通的方式增持公司H股股份约2425万股，增持计划已实施完毕,每日经济新闻
213,2021-11-22,华泰证券(601688.SH)大股东国信集团完成增持2424.82万股H股 耗资2.17亿元,智通财经
214,2021-11-22,华泰证券(601688.SH)：国信集团已增持H股股份2424.82万股,格隆汇
215,2021-11-22,头部证券公司人才如何规划职涯？华泰证券星空论坛最新预告,每日经济新闻
216,2021-11-22,围绕“十要素”推进文化建设工作，证券行业正展现出全新面貌,每日经济新闻
217,2021-11-22,公募、私募、产业资本、外资纷纷增持券商，资金押宝“跨年行情胜负手”？,资本邦
218,2021-11-22,券业总资产突破10万亿，财富管理转型扛起增收大旗,Wind
219,2021-11-21,华泰证券文化建设篇：当资本市场与长江大保护相遇,每日经济新闻
220,2021-11-21,非银金融行业周报：规范基金投顾业务 拓宽险资投资范围,新浪
221,2021-11-21,又有券商股遭减持！券商股权更迭频繁，产业资本为何买大卖小？ 减持股份,Wind
222,2021-11-21,又有券商股遭减持！券商股权更迭频繁，产业资本为何买大卖小？ 减持股份,券商中国
223,2021-11-20,【天风非银】券商深度3：详解券商第三轮扩表和场外衍生品业务,新锐视角看金融
224,2021-11-19,券业总资产突破10万亿，自营牢占第一收入，4家券商前三季度净利跨过百亿门槛，行业大年仍有一成亏损 亏损,财联社
225,2021-11-19,标普：上调华泰证券及华泰国际长期发行人信用评级至“BBB+”，展望“稳定”,Wind
226,2021-11-19,华泰证券(06886)完成发行20亿元次级债 票面利率为3.80%,智通财经
227,2021-11-19,华泰证券(06886.HK)完成发行20亿元永续次级债券,格隆汇
228,2021-11-19,华泰证券(06886)：每手“18华泰G2”将于11月26日派息41.7元,智通财经
229,2021-11-19,华泰证券(06886.HK)：“18华泰G1”将于11月26日开始付息,格隆汇
230,2021-11-19,华泰证券(06886)：“20华泰G7”将于11月24日付息,智通财经
231,2021-11-19,证券行业深度报告：政策松绑、市场扩容 场外衍生品空间广阔,新浪
232,2021-11-19,券商股异动飙涨 机构：财富管理转型加速 龙头券商优势凸显,第一财经
233,2021-11-19,【行情】港股券商股短线拉升，广发证券(01776.HK)涨4.59%，东方证券(03958.HK)涨2.58%，招商证券(06099.HK)、华泰证券(06886.HK)、申万宏源(06806.HK),金十数据
234,2021-11-19,张家港行：华泰证券、南方基金等8家机构于11月17日调研我司,证券之星
235,2021-11-19,攀钢钒钛：华泰证券、国君资管等6家机构于11月17日调研我司,证券之星
236,2021-11-18,华泰证券碳中和与绿色金融峰会成功举办,中证网
237,2021-11-18,华泰证券：电力周期有望替代地产周期，成为中长期A股行业轮动主线,21世纪经济报道
238,2021-11-18,华泰证券碳中和与绿色金融峰会：完善碳定价机制是推动碳中和的核心,新浪
239,2021-11-18,投资银行业与经纪业行业：投资券商股的下一个共识-机构业务,新浪
240,2021-11-18,华泰证券研究所联席负责人张光耀：碳中和或成为横跨未来几十年的投资主题,证券时报网
241,2021-11-18,非银行金融行业财富管理行业基金保有量点评：凭借服务能力 市场份额继续向头部平台集中,新浪
242,2021-11-18,海天水务集团股份公司 关于使用部分闲置募集资金进行现金管理到期赎回并继续进行现金管理的公告,证券时报
243,2021-11-18,华泰证券：元宇宙将成为2022年投资主线之一,智通财经
244,2021-11-18,广东雪莱特光电科技股份有限公司 关于控股股东部分质押股票被违约处置的进展公告 股票质押异常,证券时报
245,2021-11-18,金沃股份：博时基金、华泰证券等2家机构于11月13日调研我司,证券之星
246,2021-11-17,北向资金结束连续4日净买入，贵州茅台遭大幅抛售超11亿元,Wind
247,2021-11-17,华泰证券(06886)：2021年永续次级债券(第三期)票面利率为3.8%,智通财经
248,2021-11-17,碳中和与绿色金融峰会丨华泰证券邀您「碳」路经济风云,华泰证券研究所
249,2021-11-17,华泰证券：看多2022年A股，结构性行情有望延续,Wind
250,2021-11-17,华泰证券：看多2022年A股结构性行情有望延续,上证报
251,2021-11-16,华泰证券：看多2022年A股，主线为能源与芯片,澎湃新闻
252,2021-11-16,“城会玩”！我零距离触摸了元宇宙，在华泰证券的年度投资策略峰会上！,21世纪经济报道
253,2021-11-16,11月调研情况：网安赛道风起，机构最爱“榨菜茅”,Wind
254,2021-11-16,北向资金再度加仓近42亿连续4日净买入，批量扫货白酒医药股,Wind
255,2021-11-16,华泰证券(06886.HK)：2021年公开发行永续次级债(第三期)票面利率为3.80%,格隆汇
256,2021-11-16,证券业2022年度策略 | 坚守财富管理主线，寻找长期主义的践行者,中信建投非银金融研究
257,2021-11-16,国家大基金又出手！3亿投向这只芯片股，瑞银、摩根大通也来了,Wind
258,2021-11-16,国家大基金又出手！3亿投向这只芯片股，瑞银、摩根大通也来了,中国基金报
259,2021-11-15,斯达半导(603290.SH)披露定增结果：富国基金获配2.34亿元 UBS AG、华泰证券等在列,格隆汇
260,2021-11-15,诺唯赞上市首日涨55% 超募9亿华泰联合赚0.73亿,中国经济网
261,2021-11-15,【券商聚焦】华泰证券维持友邦保险(01299)买入评级 目标价续看120港元,和讯
262,2021-11-15,中信建投：北交所设立催化券商板块行情,Wind
263,2021-11-15,中信建投：北交所设立催化券商板块行情,第一财经
264,2021-11-14,券商代销公募保有量普降，因监管收紧申报尺度,Wind
265,2021-11-13,基金代销驶入黄金时代：银行仍是主力，多元格局助推理财大众化,Wind
266,2021-11-12,11月12日深市大宗交易信息,深交所
267,2021-11-12,把握券商行业配置时机 浦银安盛中证证券公司30ETF重磅上市,凤凰网
268,2021-11-12,新势力业绩不俗，基金代销江湖“变天”,Wind
269,2021-11-12,22家券商权益类公募基金保有规模超百亿,Wind
270,2021-11-12,中青宝“元宇宙”迷局： 机构、游资、散户混战，公司并无VR相关专利,Wind
271,2021-11-12,招行股混保有规模稳居公募基金代销“销冠”，第三方机构正猛追,Wind
272,2021-11-11,22家券商权益类公募基金保有规模超百亿！中信华泰广发稳居前三,中国证券网
273,2021-11-11,【银华基金】交易日报 2021-11-11,新浪
274,2021-11-11,证券Ⅱ行业：公募代销格局微变 渠道下沉态势延续,广发证券
275,2021-11-11,非银金融行业21Q3基金代销机构公募基金保有规模数据点评：Q3股票+混合公募基金保有量略有下降 非货基保有量实现增长,新浪
276,2021-11-11,华创证券：券商行业尚处转型期 关注具备差异特色的券商带来的结构性机会,证券时报网
277,2021-11-11,广发证券封住涨停，东方证券、长城证券、中信建投、华泰证券等纷纷拉升,Wind
278,2021-11-11,华泰证券孟庆林：私人银行业务转型加速，金融产品向净值化转型,中国经营报
279,2021-11-11,华泰证券孟庆林：新趋势下私人银行业务转型有四个着力点,新浪
280,2021-11-11,量化私募交易行为识别：龙虎榜营业部的新视角 | 开源证券金融工程,开源证券研究所
281,2021-11-11,券商公募代销保有三季度跌近10%，中信华泰广发稳居前三，22家券商保有规模超百亿,财联社
282,2021-11-11,公募代销保有规模百强争夺战：三匹黑马杀出各有何来头？3券商1银行跌出百强榜，蚂蚁持续超万亿,财联社
283,2021-11-10,华泰证券(06886.HK)：“20华泰C1”将于11月15日开始付息,格隆汇
284,2021-11-10,仕佳光子：华安证券、华泰证券等14家机构于11月5日调研我司,证券之星
285,2021-11-10,申万宏源：华泰证券、平安资产等10家机构于11月5日调研我司,证券之星
286,2021-11-09,疯狂“进补”！券商年内新增借款规模大增，为何密集补血？,中证报
287,2021-11-09,净赚350亿元！资管成券商“利润牛” 转型大背景下如何继续掘金,凤凰网
288,2021-11-09,ETF生态圈|4只MSCI中国A50互联互通ETF做市商一览（附名单）,金融界
289,2021-11-09,多家券商投行收入下滑 谋求“中介+投资”双轨转型 盈利能力下降,时代周报
290,2021-11-09,盘前必读丨央行推出碳减排支持工具，宁德时代携手哪吒汽车,第一财经
291,2021-11-09,"买买买！这家百亿私募持续""扫货""券商股，核心逻辑是什么？",Wind
292,2021-11-08,上市首日攻下百亿成交，4只A50 ETF首秀成交比涨跌更抢眼！近20家做市券商名单公布，两大属性撞出火花,财联社
293,2021-11-08,LPR互换来了！利率互换集中清算再添新品种,Wind
