,2021-12-31,全年收益率超过50%，这4家券商金股组合赢了！2022年1月部分热门标的个股已现身,每日经济新闻
119,2021-12-03,首批10家“账户管理功能优化试点”券商名单出炉！遵照六大要求，国君、中信、招商、安信等率先回应,财联社
120,2021-12-03,"招商证券现1笔大宗交易 共成交2,018.94万元",新浪
121,2021-12-03,牧原股份财务造假？官方回应：对不实言论保留追责权,中国经济网
122,2021-12-03,证监会同意开展证券公司账户管理功能优化试点,Wind
123,2021-12-03,牧原股份：生产经营和流动性都正常，对不实言论保留追责权,澎湃新闻
124,2021-12-03,运达股份：招商证券于12月1日调研我司,证券之星
125,2021-12-03,威唐工业：招商证券、交银施罗德基金等4家机构于11月30日调研我司,证券之星
126,2021-12-03,美力科技：招商证券、浦银安盛基金等28家机构于12月1日调研我司,证券之星
127,2021-12-02,龙虎榜座次“大洗牌”！“黑马”都是量化营业部,Wind
128,2021-12-02,【银华基金】交易日报 2021-12-2,新浪
129,2021-12-02,尚品宅配股价接近4年8个月低点 招商证券今年高点强推,中国经济网
130,2021-12-02,北向资金今日净买入30.21亿元，宁德时代连续6日净买入累计加仓超24亿,Wind
131,2021-12-02,这家券商迎新研究所所长，计划覆盖逾30个研究小组,Wind
132,2021-12-02,第二批试点券商基金投顾业务相继上线，包括中信证券、招商证券等,零壹财经
133,2021-12-02,两试点银行暂停基金投顾业务，发生了什么？,Wind
134,2021-12-02,部分券商纾困资管资金流向走偏，有的已被深套,Wind
135,2021-12-02,第二批试点券商，基金投顾业务相继上线,Wind
136,2021-12-01,龙虎榜营业部大洗牌：50强中半数被挤出，6家排名提升超1000位，财通、财信、华鑫…背后都有“新故事”,财联社
137,2021-12-01,关于同意招商证券股份有限公司为华泰柏瑞中证沪港深品牌消费50交易型开放式指数证券投资基金提供主做市服务的公告,上交所
138,2021-12-01,每日理财观察：11月制造业PMI重回扩张区间,Wind
139,2021-12-01,东珠生态：招商证券、国泰君安证券等17家机构于11月24日调研我司,证券之星
140,2021-12-01,多家券商公开招聘高管，券业管理迈向职业经理人化,Wind
141,2021-12-01,瑞纳智能：招商证券于11月12日调研我司,证券之星
142,2021-11-30,硅片降价来了，“光伏茅”隆基能否熬过多事之秋？,格隆汇
143,2021-11-30,招商证券(06099)为全资子公司提供担保 大额借贷担保,智通财经
144,2021-11-30,大数据拆解A股独董！博士占比超四成，最高年薪超540万！证监会也有新动作,券商中国
145,2021-11-30,基金投顾激战正酣，券商直面挑战百计千谋求破局,Wind
146,2021-11-30,豪美新材：招商证券、诺安基金等4家机构于11月23日调研我司,证券之星
147,2021-11-29,AI护航金融证券行稳致远，香侬科技与招商、平安等机构达成合作,凤凰网
148,2021-11-29,已超3000亿！券结基金井喷，券商、基金深度绑定,Wind
149,2021-11-29,招商证券资产管理公司违规被责令改正 产品运作不规范 金融监管处罚,中国经济网
150,2021-11-29,富国基金张子炎：FOF时代的组合投资创新——ETF-FOF-LOF探讨,招商定量任瞳团队
151,2021-11-29,关于同意招商证券股份有限公司为国泰CES半导体芯片行业交易型开放式指数证券投资基金提供主做市服务的公告,上交所
152,2021-11-29,2021年Wind“金牌分析师”权威揭榜,Wind
153,2021-11-29,监管鼓励券商积极布局，券结模式基金大井喷,Wind
154,2021-11-28,下周操盘攻略：奥密克戎毒株“突袭”全球金融市场,Wind
155,2021-11-28,非银金融行业周报：监管助推高质量发展 推荐关注非银板块,广发证券
156,2021-11-27,监管出手！三家券商及券商资管被罚，原因曝光,Wind
157,2021-11-27,监管出手！三家券商及券商资管被罚，原因曝光！ 金融监管处罚,中国基金报
158,2021-11-27,招商证券：独董辞职与公司股价及基本面变化无显著关系 董监高成员变化,中证网
159,2021-11-27,基金投顾从小众跨越到蜂拥而至：三分投七分如何“顾”？万亿蓝海谁主沉浮？,每经头条
160,2021-11-27,祥鑫科技：招商证券、国泰君安等3家机构于11月17日调研我司,证券之星
161,2021-11-26,证券Ⅱ行业：券商价值重塑：轻资产业务由周期走向成长,广发证券
162,2021-11-26,招商证券年内再度公开招聘，资管业务经历成任职重点要求,资本邦
163,2021-11-26,中信建投、招商证券首席“大打出手”，又是因为光伏？,证券之星
164,2021-11-26,【券商聚焦】招商证券首予东莞农村商业银行(09889)买入评级 目标价8.38港元,和讯
165,2021-11-26,大买家现身，ETF发行潮背后藏玄机,Wind
166,2021-11-26,太辰光：招商证券股份有限公司、融通基金管理有限公司等5家机构于11月11日调研我司,证券之星
167,2021-11-25,招商证券公开招聘副总裁 分管资管业务,中证网
168,2021-11-25,千亿券商放大招！公开招聘副总裁，前任年薪378万，竞聘需满足这些条件！,中国基金报
169,2021-11-25,旭杰科技接待招商证券现场调研：11个装配式建筑项目获国家“鲁班奖”,同壁财经
170,2021-11-25,【港股通】新高教集团(02001)涨5.28% 招商证券维持其“买入”评级,和讯
171,2021-11-25,招商证券再度公开招聘副总裁，将接棒分管资管业务，框定年龄，锚定“三大KPI”，报名时间仅一周,财联社
172,2021-11-25,道道全粮油股份有限公司非公开发行A股股票发行情况报告书暨上市公告书（摘要）,证券时报
173,2021-11-25,券商角力北交所“后备军团”：开源证券储备项目居首,Wind
174,2021-11-24,21家营收过亿，近半营业部亏损，深圳辖区分支机构晒成绩单，天风深分等黑马蹿升，产品销售收入提速 亏损,财联社
175,2021-11-24,券业总资产首破10万亿！券商前三季大赚1440亿,Wind
176,2021-11-24,亚太股份：招商证券、浦银安盛基金等7家机构于11月19日调研我司,证券之星
177,2021-11-24,久立特材：招商证券、中航证券等4家机构于11月22日调研我司,证券之星
178,2021-11-23,招商证券：董事会会议审议并通过关于延长公司部分高级管理人员任期的议案,Wind
179,2021-11-23,招商证券：参加2021深圳辖区上市公司投资者网上集体接待日活动,Wind
180,2021-11-23,“专业买手” 青睐哪些基金？,雪球
181,2021-11-23,券商板块再度活跃，长城证券涨停，中泰证券等走高,证券时报
182,2021-11-23,拓新药业6天暴涨186% 发布预警公告“妖股”原形毕露,金融投资报
183,2021-11-22,国泰君安 | 信用债发行结果日报,国泰君安债券资本市场部
184,2021-11-22,11月22日深市创业板活跃股公开信息,深交所
185,2021-11-22,非银金融周报：北交所正式开市 重点关注投行/直投业务占优的券商,新浪
186,2021-11-22,【安信非银第35期周报】央行释放积极信号，非银板块有望受益,新角度新金融
187,2021-11-22,谁在疯狂炒作？6天涨186%！拓新药业今日复牌，自曝四大预警,Wind
188,2021-11-22,券业总资产突破10万亿，财富管理转型扛起增收大旗,Wind
189,2021-11-22,"谁在疯狂炒作？6天暴涨186%！""抗新冠妖股""今日复牌，自曝四大""预警""，忐忑还是期待？",券商中国
190,2021-11-21,非银金融行业：流动性预期边际改善 推荐关注非银板块,广发证券
191,2021-11-21,陆家嘴财经早餐2021年11月21日星期日,Wind
192,2021-11-20,合规总监将提升为副总裁！安信证券高管开始补缺，券业高管变动频繁，需求也旺盛,Wind
193,2021-11-20,110亿！深圳券商网点前三季营收亮眼，12家利润过亿，中金财富和天风深分营收暴增,券商中国
194,2021-11-19,又有券商申请托管资格！今年基金托管牌照尚待零的突破,Wind
195,2021-11-19,【行情】港股券商股短线拉升，广发证券(01776.HK)涨4.59%，东方证券(03958.HK)涨2.58%，招商证券(06099.HK)、华泰证券(06886.HK)、申万宏源(06806.HK),金十数据
196,2021-11-19,招商深南东路、中信深分、国信泰然九路……这些深圳的知名营业部座次有变化！,上证报
197,2021-11-19,前三季度深圳券商网点近半告亏，两机构股基成交逾两万亿,Wind
198,2021-11-19,合规总监将晋升为副总裁 安信证券高管开始补缺,全景网
199,2021-11-18,招商证券(600999.SH)完成兑付30亿元短期融资券(债券通),智通财经
200,2021-11-18,招商证券(600999.SH)：完成兑付本息30.16亿元短期融资券(债券通),格隆汇
201,2021-11-18,招商证券：2021年度第十二期短期融资券（债券通）兑付完成,Wind
202,2021-11-18,A股午盘综述：锂矿等高景气赛道依然火热，元宇宙深度回调,Wind
203,2021-11-18,招商证券-江南华府20亿元ABS购房尾款项目状态更新为“通过”,乐居财经
204,2021-11-17,电动车渗透率加速带来的Alpha机会 全球能源转型的步伐或加快,和讯
205,2021-11-17,部分元宇宙、特斯拉概念股虚火过旺，低价ST股反弹或上演“死猫跳”，券商提示参与炒作者或被暂停交易 风险警示,新浪
206,2021-11-16,招商证券：子公司招证国际已完成增资23.5亿港元,Wind
207,2021-11-16,招商证券(600999.SH)子公司招证国际已完成增资23.5亿港元,智通财经
208,2021-11-16,证券业2022年度策略 | 坚守财富管理主线，寻找长期主义的践行者,中信建投非银金融研究
209,2021-11-16,证券公司：帆满图新志 奋楫正当时,上证报
210,2021-11-15,北交所开市首日实地探访营业部：投资者“闻风而动”，开户数量暴增,上证报
211,2021-11-15,11月15日深市创业板活跃股公开信息,深交所
212,2021-11-15,公募基金竞争力报告之：博时基金,网易
213,2021-11-15,关于同意招商证券股份有限公司为国泰中证500交易型开放式指数证券投资基金提供主做市服务的公告,上交所
214,2021-11-14,券商代销公募保有量普降，因监管收紧申报尺度,Wind
215,2021-11-13,北上资金加仓券商股，连续减持格力电器 减持股份,Wind
216,2021-11-12,【银华基金】交易日报 2021-11-12,新浪
217,2021-11-12,11月12日深市大宗交易信息,深交所
218,2021-11-12,拓新药业近6日暴涨近186%，中小投资者累计买入占比超4成,Wind
219,2021-11-12,新势力业绩不俗，基金代销江湖“变天”,Wind
220,2021-11-11,【银华基金】交易日报 2021-11-11,新浪
221,2021-11-11,证券Ⅱ行业：公募代销格局微变 渠道下沉态势延续,广发证券
222,2021-11-11,【港股通】招商证券(06099)完成第十一期短期融资券兑付,和讯
223,2021-11-11,招商证券(600999.SH)：完成兑付本息30.17亿元短期融资券(债券通),格隆汇
224,2021-11-11,招商证券：2021年度第十一期短期融资券（债券通）兑付完成,Wind
225,2021-11-11,券商公募代销保有三季度跌近10%，中信华泰广发稳居前三，22家券商保有规模超百亿,财联社
226,2021-11-11,气哭了！“弃购新股”首日涨88%，中签赚1.3万,Wind
227,2021-11-11,2022年A股有望“前稳后升”！招商证券资本市场年会聚焦这些投资机会,Wind
228,2021-11-11,“招商魔咒”又应验　先跌后升盘局未破,财富动力网
229,2021-11-10,【银华基金】交易日报 2021-11-10,新浪
230,2021-11-10,A 股走 V 字虚惊一场！“招商魔咒”差点背锅，券商又开始集体“占卜”,ZAKER
231,2021-11-10,招商证券：预计A股市场明年将呈现“前稳后升”态势,中证网
232,2021-11-10,A股惊险一跳，“招商魔咒”再度应验？最新研判来了,Wind
233,2021-11-10,突发！北向资金大面积卖出，发生了什么？,证券之星
234,2021-11-10,北向资金百亿出逃，招商策略会又背锅？勿被魔咒束缚！,证券之星
235,2021-11-10,A股再现魔咒？刚刚，锂电突发大跳水，2000亿白马重挫7%！爆雷房企闪崩腰斩！外资突然砸盘80亿，招商证券最新研判：前稳后升！,中国基金报
236,2021-11-10,连续3个涨停后股价巨震，大量资金撤离！换手率达37%,Wind
237,2021-11-09,招商证券财富管理部总经理姚俊：基金成主要理财工具，买基金最好做配置，基金投顾既要投也要顾,每日经济新闻
238,2021-11-09,ETF生态圈|4只MSCI中国A50互联互通ETF做市商一览（附名单）,金融界
239,2021-11-09,多家券商投行收入下滑 谋求“中介+投资”双轨转型 盈利能力下降,时代周报
240,2021-11-09,中亚股份：招商证券于11月5日调研我司,证券之星
241,2021-11-09,首批MSCI中国A50ETF上市火爆,Wind
242,2021-11-08,【银华基金】交易日报 2021-11-8,新浪
243,2021-11-08,上市首日攻下百亿成交，4只A50 ETF首秀成交比涨跌更抢眼！近20家做市券商名单公布，两大属性撞出火花,财联社
244,2021-11-08,中国债券市场金融债发行日程一览(11月8日),Wind
245,2021-11-08,多家券商投行收入下滑 谋求“中介 + 投资”双轨转型 盈利能力下降,ZAKER
246,2021-11-08,十大券商：跨年行情徐徐展开！继续关注业绩景气主线,Wind
247,2021-11-08,投资人都关心的“双11”集齐2大重磅事件,Wind
248,2021-11-07,硬核选基｜吸金266亿 首批MSCI中国A50ETF明天上市！ 4只产品大比拼 还能不能买？,21世纪经济报道
249,2021-11-07,券商在搅动基金托管江湖，银行独霸时代遭挑战？,Wind
250,2021-11-07,"出手了！3300亿""券茅""谋求这块牌照，券商在搅动基金托管江湖，银行独霸时代遭挑战？",券商中国
251,2021-11-06,“智商受到极大侮辱！”前首席分析师喊话天风证券：欠的奖金何时发？,凤凰网
252,2021-11-06,又见大瓜！招商证券首席分析师怒怼前东家天风证券：还我200万奖金！感觉智商受到侮辱.,中国基金报
253,2021-11-06,伟星股份：天风证券股份有限公司、招商证券股份有限公司等10家机构于11月3日调研我司,证券之星
254,2021-11-06,佳禾食品：招商证券、国华资产等24家机构于10月29日调研我司,证券之星
255,2021-11-06,富吉瑞：招商证券、华安财保等8家机构于10月26日调研我司,证券之星
256,2021-11-05,【券商聚焦】招商证券重申高教行业“推荐”评级 首选希望教育(01765)等三股,和讯
257,2021-11-05,最难时期已过去，券商资管迎新机遇,Wind
258,2021-11-05,注册制下中介角色生变，机构热议厘清责任边界,Wind
259,2021-11-05,日发精机：招商证券、深圳市红筹投资有限公司等2家机构于11月4日调研我司,证券之星
260,2021-11-05,欣锐科技：中信证券、招商证券等19家机构于11月2日调研我司,证券之星
261,2021-11-04,33万户认购，林园等私募大佬现身！首批MSCI中国A50ETF仓位差异巨大,Wind
262,2021-11-04,追讨2.67亿融资债务 红塔证券起诉游族网络林奇三名未成年子女 诉讼纠纷,金融投资报
263,2021-11-04,MSCI中国A50ETF上市在即，基金发行市场或将反弹,Wind
264,2021-11-04,招商证券荣获“2021中国证券业投资银行君鼎奖”评选多项大奖,微信
265,2021-11-04,投行观察第16期：10月券商承销规模同比下降近3成,时代周报
266,2021-11-04,万讯自控：招商证券股份有限公司、博时基金管理有限公司等6家机构于11月1日调研我司,证券之星
267,2021-11-03,三条马路撼动A股成交，量化巨头“大本营”曝光,华尔街见闻
268,2021-11-03,招证“双碳对话”论坛成功举办，投行携各方专家共话低碳未来,微信
269,2021-11-03,招商证券助力带式运输机行业领先企业运机集团成功在A股上市,微信
270,2021-11-03,招商证券助力消费锂电领域龙头企业珠海冠宇在科创板成功上市,微信
271,2021-11-03,国力股份：招商证券、中银证券等23家机构于10月18日调研我司,证券之星
272,2021-11-03,皮阿诺：招商证券、浙商证券等14家机构于10月28日调研我司,证券之星
273,2021-11-03,国力股份：招商证券、易方达基金等9家机构于10月13日调研我司,证券之星
274,2021-11-02,招商证券(06099)：邓晓力请辞副总裁职务 董监高成员变化,智通财经
275,2021-11-02,保险老将或任招商证券新总裁？总裁一职暂由董事长代行，副总裁邓晓力到龄辞任 董监高成员变化,财联社
276,2021-11-02,南山铝业跌4.59% 股价高位招商证券强推喊千亿市值,中国经济网
277,2021-11-02,又一高管离职！这家千亿级券商三季度业绩下滑，年内高层变动频繁 盈利能力下降,AI财经社
278,2021-11-02,招商证券：公司副总裁邓晓力因年龄原因辞任 董监高成员变化,每日经济新闻
279,2021-11-02,招商证券：副总裁邓晓力女士辞职 董监高成员变化,财联社
280,2021-11-02,招商证券：邓晓力因年龄原因，申请辞去公司副总裁职务 董监高成员变化,Wind
281,2021-11-02,恒指高开低走收跌0.22%，录得6连跌,Wind
282,2021-11-02,牛市旗手三季度狂揽近5000亿，却有券商股民亏钱求放过：跌一下也行，别耗着 亏损,证券之星
283,2021-11-02,上市券商佣金入账近2000亿，大财富管理贡献显著,Wind
284,2021-11-01,11.01丨原太保产险董事长掌舵招商证券；保险消费者更倾向选择女代理人,和讯
285,2021-11-01,连续两个月跑输大盘，各券商金股组合11月将如何翻盘？食品饮料行业仍被重点押宝，新能源推荐度依然较高,每日经济新闻
286,2021-11-01,吴宗敏或将接任招商证券总裁，曾有多年保险行业背景,第一财经
287,2021-11-01,赚翻了！4家券商净利超百亿，但6成券商投行收入下滑|财星球 盈利能力下降,新浪
288,2021-10-30,赚翻了！38家上市券商三季度成绩单揭晓！中信证券再夺第一,Wind
289,2021-10-30,券商代销江湖热战，异军突起各打什么牌？中信中金强在私募销售，广发东方兴业具资产端优势,财联社
290,2021-10-30,抢食万亿级大蛋糕！券商这项基金业务火了,Wind
291,2021-10-30,抢食万亿级大蛋糕！券商这项基金业务火了,中国基金报
292,2021-10-30,三季报交卷！10家券商营收超200亿元，4家净利润超百亿元,上证报
293,2021-10-30,47家上市券商三季报出齐：4家净利超百亿，上年同期仅1家，中信营收逼近600亿，详看五大业务全排名,财联社
294,2021-10-30,10家券商前三季度营收超200亿元，4家券商净利润超百亿元,Wind
295,2021-10-30,航亚科技：长江证券、中信证券等58家机构于10月28日调研我司,证券之星
296,2021-10-30,东瑞股份：招商证券、华安证券等19家机构于10月28日调研我司,证券之星
