,2021-12-31,“魔幻”2021：忆资本市场那些奇葩事,Wind
100,2021-10-27,【行情】猪肉板块拉升回暖，得利斯涨超7%，大北农、鹏都农牧、双汇发展跟涨,金十数据
101,2021-10-27,双汇发展谋局“十四五” 欲升级为世界领先肉类服务商,证券日报网
102,2021-10-27,双汇发展三季度净利润同比大幅下降51.73%，多只明星基金退出前十股东 盈利能力下降,搜狐
103,2021-10-27,双汇发展：第三季度营收同比下降17% 净利下降52% 盈利能力下降,中国经济网
104,2021-10-27,双汇发展拟开展最高2亿元商品期货套期保值业务,腾讯网
105,2021-10-27,第三季度净利腰斩！猪周期低谷拖累双汇发展，“贴秋膘”能否拉动猪肉消费？ 盈利能力下降,e公司
106,2021-10-26,三季报业绩同比下降，“顶流基金经理”谢治宇、傅友兴双双减持双汇发展 盈利能力下降,21世纪经济报道
107,2021-10-26,快讯 | 双汇发展前三季度净利同比下降30.08%至34.53亿元 盈利能力下降,财经网
108,2021-10-26,万洲国际(00288)：双汇发展前三季度归母净利下滑约30.08%至34.53亿元 盈利能力下降,智通财经
109,2021-10-26,万洲国际(00288.HK)：双汇发展前三季度净利降31.2%至34.67亿元 盈利能力下降,格隆汇
110,2021-10-26,万洲国际：间接子公司双汇发展前九个月净利润为34.53亿元,Wind
111,2021-10-26,双汇发展今年前三季度净利下滑30.08% 盈利能力下降,新京报
112,2021-10-26,10月26日三季报汇总：天顺风能、双汇发展等公司公告出现利空,证券之星
113,2021-10-26,慌不慌？900亿消费白马业绩腰斩，兴全基金大笔减持 盈利能力下降,搜狐
114,2021-10-26,晚间公告｜10月26日这些公告有看头,第一财经
115,2021-10-26,营利齐降！双汇发展今年前三季度净利润同比下滑超三成 盈利能力下降,资本邦
116,2021-10-26,双汇发展2021年前三季度净利润同比下降30.08% 盈利能力下降,北京商报
117,2021-10-26,肉价快速下降，双汇发展第三季度净利同比降51.73% 盈利能力下降,第一财经
118,2021-10-26,双汇发展公布三季报 前三季净利减少30.08% 盈利能力下降,新浪
119,2021-10-26,万隆的无妄之灾？双汇回应“向关联方利益输送、肥美损中”指控：高分红是传统，或为改制还债,新浪
120,2021-10-26,双汇发展第三季度净利腰斩！将开展期货套期保值业务 盈利能力下降,中新经纬
121,2021-10-26,双汇发展跌3.08% 海通证券中银证券高点唱多,中国经济网
122,2021-10-26,双汇发展三季度净利大降51.73%，再从关联公司罗特克斯采购84亿元 盈利能力下降,中华网
123,2021-10-26,图解双汇发展三季报：第三季度单季净利润同比减51.73% 盈利能力下降,证券之星
124,2021-10-26,双汇发展：第三季度净利同比降51.73% 多只明星基金退出前十股东名单 盈利能力下降,e公司
125,2021-10-26,双汇发展：三季度利润9.16亿元，同比下降51.73% 盈利能力下降,36氪
126,2021-10-26,双汇发展：前三季度净利同比下降30.08% 盈利能力下降,财联社
127,2021-10-26,双汇发展：第三季度净利润9.16亿元，同比下降51.73% 盈利能力下降,Wind
128,2021-10-21,川财研究大消费产业链核心数据跟踪,新浪
129,2021-10-21,多空互撕！刘彦春、谢治宇等基金经理重仓股频登龙虎榜,Wind
130,2021-10-20,A股早报2021年10月20日星期三,Wind
131,2021-10-20,每日理财观察：基金公司密集申报“北交所”基金,Wind
132,2021-10-20,席位追踪：双汇发展反弹机构出逃　游资高位接力爱康科技,财富动力网
133,2021-10-19,猪肉股又香了？多股涨停，资金抢筹新五丰、正邦，却卖出它（名单）,21世纪经济报道
134,2021-10-19,大盘反弹成色不足 机构观望氛围浓厚,金融投资报
135,2021-10-19,双汇发展涨停收盘 深股通买入2.47亿元并卖出3104.89万元,金融界
136,2021-10-19,双汇发展龙虎榜数据（10月19日）,Wind
137,2021-10-19,龙虎榜：双汇发展涨停 一机构卖出1.26亿元,e公司
138,2021-10-19,收储叠加消费旺季，猪周期迎反转,Wind
139,2021-10-19,双汇发展今日涨停，深股通买入2.47亿元并卖出3105万元，一机构卖出1.,新浪
140,2021-10-19,10月19日双汇发展涨停分析：养猪，人造肉，大农业概念热股,证券之星
141,2021-10-19,A股三大指数收盘集体上涨，双汇发展涨停,36氪
142,2021-10-19,A股收盘综述：养殖板块拔地而起，宁德时代、中国神华、兖州煤业小幅录跌,Wind
143,2021-10-19,快讯：双汇发展涨停 报于28.62元,金融界
144,2021-10-19,双汇发展封住涨停板，主力净流入近6亿元,Wind
145,2021-10-19,双汇发展、温氏股份双双接近涨停，猪肉板块继续拉升,Wind
146,2021-10-19,国家收储稳预期猪价有望季节性回暖 生猪期货大涨猪肉股持续走强,财华社
147,2021-10-18,干货！2021年中国肉制品行业龙头企业市场竞争格局分析 “双汇发展”成为行业之王,前瞻研究院
148,2021-10-18,食品行业周报：海天提价落地 关注食品板块环比改善,国海证券
149,2021-10-18,一周食品行业动态：澳优因收购事项短暂停牌众上市猪企第三季度均预亏 重大事项停牌,中国食品网
150,2021-10-18,双汇发展遭问询：关联交易激增背后的市场协同 问询,中国经营报
151,2021-10-18,食品饮料行业周报：海天产品提价落地 关注行业三季度业绩,新浪
152,2021-10-18,食品饮料行业周报：秋糖反馈积极 白酒业绩稳健建议加配 食品环比改善关注需求,新浪
153,2021-10-17,搜狐快消周报｜苏宁易购预计前三季度亏损超70亿；海天味业时隔四年再提价 预亏,搜狐
154,2021-10-15,万隆违背承诺：双汇发展的关联交易探秘,经济观察网
155,2021-10-15,双汇发展回应高价采购国外猪肉：为了平衡议价能力,中华网
156,2021-10-14,双汇发展：目前公司在京东、天猫、淘宝、拼多多等主流网站均开设有旗舰店,Wind
157,2021-10-14,双汇发展：公司天猫旗舰店上目前销售双汇甄骨鲜、火锅料、拌面酱等调味品,Wind
158,2021-10-13,双汇发展：目前公司京东官方旗舰店、天猫旗舰店等已开始相关宣传,每日经济新闻
159,2021-10-13,三年利润都被拿去分红，双汇发展为何这么大方？,第一财经
160,2021-10-13,双汇发展回复深交所问询函 否认存在关联交易 问询,证券日报网
161,2021-10-13,快讯 | 双汇发展：上半年源于史密斯菲尔德采购额占猪肉类采购额69.77%，关联交易未损害公司利益,财经网
162,2021-10-13,双汇发展：生猪为公司生产经营的主要原材料，其价格波动会对公司经营产生一定影响,每日经济新闻
163,2021-10-13,双汇发展：2021年第三季度报告将于10月27日披露,每日经济新闻
164,2021-10-13,双汇发展回复半年报问询函，涉及是否存在向关联方输送利益等问题 问询,资本邦
165,2021-10-13,双汇发展回复问询函：海外进口肉具有商业合理性 高比例分红符合中小股东利益 问询,大众证券报
166,2021-10-13,双汇发展回复深交所问询函 承认向关联方采购均价高于国外其他供应商 问询,上证报
167,2021-10-13,生猪收储助力期市价格反弹，北上资金增持13只个股,Wind
168,2021-10-13,生猪收储助力期市价格反弹 北上资金增持13只个股,证券时报
169,2021-10-12,双汇发展：进行国外进口肉采购具有必要性及合理性,Wind
170,2021-10-12,70亿募资80亿分红！双汇发展关联采购疑云重重遭问询 问询,投资时报
171,2021-10-12,企业观 | 双汇发展高管大面积调整，曾与“废太子”同任执行董事的马相杰连任双汇发展总裁,财经网
172,2021-10-11,食品饮料行业周报：次高端旺季表现超预期 预计秋糖反馈积极 建议加配白酒,新浪
173,2021-10-11,食品、饮料与烟草专题报告：食品饮料行业2021年三季报业绩前瞻,新浪
174,2021-10-11,老周侃股：双汇发展不能肥了大股东饿着小股民,北京商报
175,2021-10-11,快讯 | 双汇发展：聘任马相杰为公司总裁，刘松涛为常务副总裁兼财务总监,财经网
176,2021-10-11,一周食品行业动态：养猪行业进入“减产瘦身期” 因垄断行为美团处34亿元罚款,中国食品网
177,2021-10-11,双汇发展募资70亿后豪气分红80亿 国内肉价低位仍国外采购涉嫌利益输送,新浪
178,2021-10-09,“废太子”万洪建发难后，双汇发展首收深交所问询函，聚焦关联方采购是否涉嫌利益输送 问询,21世纪经济报道
179,2021-10-09,父子争斗狗血剧发酵！双汇遭深交所问询，内斗致转型压力加剧 问询,搜狐
180,2021-10-09,晚讯：碧水源拟减持武汉控股不超1％股份 美团将全面深入自查整改,腾讯网
181,2021-10-09,肉业龙头双汇发展涉及利益输送 深交所问询函要求说明从国外采购的必要性 问询,搜狐
182,2021-10-09,股市动态|财经早资讯：联想集团撤回科创板上市申请；双汇发展收半年报问询函,财经网
183,2021-10-09,公司快讯|联想集团终止科创板IPO，双汇发展收半年报问询函，字节跳动曲线布局房产代理赛道 IPO融资异常,财经网
184,2021-10-09,快讯 | 双汇发展收深交所问询函，要求披露国外采购定价的公允性 问询,财经网
185,2021-10-08,双汇发展收半年报问询函，被疑通过国外采购向关联方输送利益 问询,贝壳财经
186,2021-10-08,双汇发展高价进口肉引官方关注！深交所问询：国外采购价格是否公允？ 关注函,腾讯网
187,2021-10-08,双汇5000万只肉鸡全产业链项目开工奠基,金融界
188,2021-10-08,双汇“父子内斗”后续，监管发出问询函 问询,环球老虎财经
189,2021-10-08,30%国外采购！移资国外？双汇发展收问询函：要求说明从国外采购的必要性 问询,证券之星
190,2021-10-08,双汇发展父子内斗新进展！监管问询：大规模国外采购有必要？,中新经纬
191,2021-10-08,监管动态|高价进口冻猪肉是否向关联方输送利益？双汇发展收半年报问询函 关联方问题,财经网
192,2021-10-08,双汇发展收问询函：要求说明从国外采购的必要性、合理性 问询,e公司
193,2021-10-08,双汇发展：收到深交所半年报问询函 问询,Wind
194,2021-10-07,双汇发展：营业收入构成中的“其他”主要包括鸡牛等产品进口贸易,Wind
195,2021-10-07,双汇发展：公司目前拥有年屠宰生猪2300多万头、年加工肉制品200多万吨的生产产能,每日经济新闻
196,2021-10-07,双汇发展：营业收入构成中的“其他”主要包括鸡牛等产品进口贸易，养殖业、调味品及包装材料等的外销业务,每日经济新闻
197,2021-09-30,双汇发展：公司餐饮事业部目前主要推广预制切割、腌制调理、火锅食材、酱卤熟食等餐饮食材产品，专业化运作餐饮渠道,每日经济新闻
198,2021-09-30,双汇发展：公司生鲜产品主要通过特约店、商超、酒店餐饮和农贸批发等渠道销售,每日经济新闻
199,2021-09-30,双汇发展：目前公司产品销售以国内市场为主,Wind
200,2021-09-29,“猪茅”逆市上涨，布局时间窗口来了？,Wind
201,2021-09-29,双汇发展：目前公司生产经营正常,每日经济新闻
202,2021-09-27,双汇发展：生猪和猪肉分别为公司屠宰业和肉制品业的主要原材料，其价格波动会对公司经营产生一定影响,每日经济新闻
203,2021-09-27,A股午盘综述：热门赛道集体重摔，白酒板块崛起未能帮助大市,Wind
204,2021-09-27,食品饮料行业周报：茅台新董事长带来新气象 海天引领大众品反弹,新浪
205,2021-09-26,食饮周观点：蓄势待发 把握食饮三大投资主线,新浪
206,2021-09-26,双汇发展：公司目前已投产的生猪养殖规模不大,Wind
207,2021-09-24,【行情】猪肉板块短线拉升，新希望涨超7%，天康生物、双汇发展、牧原股份跟涨,金十数据
208,2021-09-24,解盘：大消费强势，食品加工、乳业、医美、白酒领涨,Wind
209,2021-09-23,双汇发展：公司将加强拓展销售渠道和市场网络，提升市场运作水平,每日经济新闻
210,2021-09-22,食品饮料行业周报：中秋动销平稳白酒具备长期配置价值,新浪
211,2021-09-22,食品行业周报：猪价低位运行 关注屠宰企业盈利能力的改善,国海证券
212,2021-09-18,本周85家A股公司购买95.17亿元理财产品，双汇发展买入最多,每日经济新闻
213,2021-09-17,双汇发展：公司将不断创新营销方式，加大新媒体营销，促进品牌年轻化,每日经济新闻
214,2021-09-17,双汇发展：2021年上半年公司调味制品表现出较好的增长势头,每日经济新闻
215,2021-09-16,A股收盘综述：锂、光伏、稀土等大幅调整，统筹保障动力电池资源供应消息引起波澜,Wind
216,2021-09-16,解盘：节前资金谨慎，鸡猪肉、饲料、乳业、煤炭略涨,Wind
217,2021-09-16,【行情】猪肉股集体上涨，新希望涨超7%，天康生物涨超5%，正邦科技、双汇发展、禾丰股份、益生股份、牧原股份等跟涨,金十数据
218,2021-09-16,【行情】鸡肉、猪肉板块联袂走强，晓鸣股份涨超10%，新希望拉升涨逾7%，天康生物、正邦科技、双汇发展、金字火腿等集体走高,金十数据
219,2021-09-15,双汇发展：公司目前推出有金品牛腱等熟食牛肉制品,每日经济新闻
220,2021-09-15,双汇发展：公司将积极开展素肉类产品的研发,每日经济新闻
221,2021-09-13,双汇发展完成了新一代董事会换届,钢企网
222,2021-09-12,双汇发展：公司进口产品包括分割肉、骨类、副产品等,每日经济新闻
223,2021-09-12,双汇发展：目前公司生产经营正常,每日经济新闻
224,2021-09-12,双汇发展：公司产品主要在国内销售，国外销售占比不大,每日经济新闻
225,2021-09-12,双汇发展：公司目前已投产的生猪养殖规模不大,每日经济新闻
226,2021-09-12,双汇发展：公司会密切关注生猪期货相关事宜,每日经济新闻
227,2021-09-12,双汇发展：截至2020年末，公司经销商数量对比年初增加17.52%,每日经济新闻
228,2021-09-12,双汇发展：公司与经销商的货款结算方式主要是先款后货，对部分符合条件的商场、超市类客户给予一定的应收账款额度内的账期授信,每日经济新闻
229,2021-09-12,双汇发展：生猪和猪肉分别为公司屠宰业和肉制品业的主要原材料，其价格波动会对公司经营产生一定影响,每日经济新闻
230,2021-09-12,双汇发展：公司生鲜产品的价格会随行就市，包装肉制品的价格相对稳定,每日经济新闻
231,2021-09-12,双汇发展：分行业和分产品营业收入中包括公司内部不同行业之间互相销售形成的营业收入,每日经济新闻
232,2021-09-12,双汇发展：公司直销毛利主要是商品贸易业务毛利，经销毛利包括产品加工及贸易毛利 ，因此两种销售毛利存在差异,每日经济新闻
233,2021-09-12,双汇发展：受生产、发船、航运及清关时间等的影响，公司进口下达订单的时间与实际到货结算时间一般情况下有数月的间隔,每日经济新闻
234,2021-09-11,食品饮料行业点评：专注阿尔法机会 看淡市场波动,华安证券
235,2021-09-07,至暗时刻！猪肉跌饲料涨，“二师兄”亏惨何时休？,Wind
236,2021-09-07,半年报描述“浓墨重彩”，多家公司“人造肉”业务快速增长,Wind
237,2021-09-05,食品饮料行业周报：白酒长期价值凸显 关注中秋旺季动销,新浪
238,2021-09-03,双汇发展：欲知真相心要静,证券市场周刊
239,2021-09-02,万隆在双汇发展股东大会上回应“高价进口猪肉”问题,广州日报
240,2021-09-01,双汇发展董事会换届 万隆对双汇未来发展充满信心,中新网
241,2021-09-01,连任双汇发展董事长，81岁万隆继续冲在一线,华夏时报
242,2021-09-01,午间要闻 | 逾700家上市公司上半年炒493只A股；巨人教育宣布倒闭；万隆再当选双汇发展董事长；宝马16.33亿购下华晨汽车制造,经济观察网
243,2021-09-01,万隆再当选双汇发展董事长 此前曾被长子万洪建指控,联商网
244,2021-09-01,直击双汇发展股东大会：万隆回应焦点问题,上证报
245,2021-09-01,GPLP早讯：基金上半年盈利6478亿 万隆再当选双汇发展董事长,GPLP犀牛财经
246,2021-09-01,顶流基金经理布局新赛道，看好消费、创新医药,Wind
247,2021-09-01,A股头条：中国有色金属工业协会喊话铝价投机者,金融界
248,2021-09-01,万隆再当选双汇发展董事长：此前儿子发文炮轰父亲不纳税等违规行为 其他违规处罚,快科技
249,2021-08-31,81岁万隆再次当选双汇发展董事长 次子当选副董事长：长子完全出局,快科技
250,2021-08-31,万隆四度连任双汇发展董事长，次子万宏伟为副董事长,中新经纬
251,2021-08-31,双汇发展召开股东大会，万隆回应进口猪肉损害上市公司利益等质疑,腾讯网
252,2021-08-31,舆论风暴中，双汇发展股东大会如期而至，焦点问题万隆一一回应,Wind
253,2021-08-31,双汇发展成立肉品技术公司，注册资本2000万元,乐居财经
254,2021-08-30,“聪明资金”连续11个月抢筹A股！各路资金潜伏千亿光伏龙头,Wind
255,2021-08-29,周末影响A股十大事件来了！,Wind
256,2021-08-28,张坤中报“内涵”三只新隐形重仓股：中国国贸、双汇发展和国投电力,腾讯网
257,2021-08-28,“千亿顶流”张坤隐形重仓股来了！,Wind
258,2021-08-26,顶流谢治宇罕见露面调研，2季度增配这些细分龙头,Wind
259,2021-08-24,一个小股东对双汇“收购事件”的观察,红周刊
260,2021-08-24,万隆父子内斗新焦点：双汇发展为何热衷进口美国冻肉？,搜狐
261,2021-08-24,“父子之争”新剧情：万洲国际回应长子指控称均不属实,资本邦
262,2021-08-24,每日理财观察：央行就人民币买卖及相关管理规定征求意见,Wind
263,2021-08-24,8点1氪丨阿里云回应“用户注册信息泄露”事件；微博回应“花钱撤热搜”传言；胖哥俩回应北京两门店售卖过期食材,36氪
264,2021-08-23,万洲国际7页通告反驳万洪建“五大指控” 漯河市税务局称尚未就举报进行调查,搜狐
265,2021-08-23,棱镜｜万洲国际回应万洪建对父指控：鼎晖与万隆均书面否认两亿美元交易,腾讯网
266,2021-08-23,"千亿巨头""父子反目""刷屏！万洲国际回应了",中国基金报
267,2021-08-23,万洲回应质疑，“父子之争”上演续集：一场只见口水战未见实锤的斗争,华夏时报
268,2021-08-23,双汇“内斗”新进展，万洲国际的回应来了,联商网
269,2021-08-23,万洲国际五点回应万洪建指控：未违规转移资金，万隆股份奖励合规 其他违规处罚,新京报
270,2021-08-23,双汇创始人万隆回应儿子举报：不存在“偷税”“洗钱”等“罪行”,搜狐
271,2021-08-23,双汇“父子之争”又有新剧情，万洲国际全盘推翻指控，究竟谁在说谎？,上证报
272,2021-08-23,连续剧更新！万洲国际称未在正常经营外转移资产,广州日报
273,2021-08-23,万洲国际再发公告否认“前太子”指控，称没有私吞2亿美元,Wind
274,2021-08-23,一周食品行业动态：双汇内斗升级 胖哥俩肉蟹煲被曝光食安问题,中国食品网
275,2021-08-23,万洲国际再发公告否认“前太子”指控，称没有私吞2亿美元,第一财经
276,2021-08-23,港股异动 | 万洲国际(00288)再涨超5% 午间发布澄清公告 反驳万洪建指控五大焦点问题,智通财经
277,2021-08-23,快讯 | 万洲国际澄清万洪建指控：未将资金转移境外市场,财经网
278,2021-08-23,遭万洪建“做空”？万洲国际：没有亏损8个亿，没有偷税漏税！,新浪
279,2021-08-23,万洲国际股价反弹涨近5% 公司午间回应万洪建指控,金融界
280,2021-08-23,万洲国际全面回应万洪建指控：否认转移资金到境外，进口肉价按市场惯例确定,搜狐
281,2021-08-23,父子内斗仍未落幕，千亿肉企发表澄清公告，说谎的是谁？,证券之星
