,2021-12-31,A股年度“涨停王”出炉，四成交易日均封板,Wind
42,2021-12-04,飞刀观点：沪市好转，跨年行情要来了吗?,财富动力网
43,2021-12-02,合盛硅业(603260.SH)：富达实业已减持1128.5849万股 减持股份,格隆汇
44,2021-12-02,合盛硅业(603260.SH)股东富达实业累计减持1.05%股份 减持股份,智通财经
45,2021-12-02,合盛硅业：富达实业减持1.05%公司股份 减持股份,Wind
46,2021-12-02,北向资金：光伏龙头是最爱，近期大幅加仓光伏设备企业,索比光伏网
47,2021-12-01,行业巨变！供求矛盾切换，光伏茅低下高昂的头,Wind
48,2021-12-01,合盛硅业跌6.3% 安信证券中金公司高点唱多,中国经济网
49,2021-11-30,能源化工行业周观点：继续推荐高景气赛道和成长高确定性标的,新浪
50,2021-11-30,化工行业周报：欧盟实行欧洲芯片法 目标2030年全球市占率增至20%,新浪
51,2021-11-29,A股资金面日报：重要股东增持排行榜！,中投网
52,2021-11-29,有色金属行业周报：锂电池盲目扩张受限 高效电机拉动稀土需求,新浪
53,2021-11-29,合盛硅业等24股获北向资金增持额超亿元,证券时报网
54,2021-11-29,化工：海外尿素价格持续上涨 全球谷物产量面临氮肥紧缺压力,新浪
55,2021-11-28,化工行业：原油价格大幅下跌 化工品价差收窄,广发证券
56,2021-11-26,基础化工行业2022年年度投资策略：坚守价值 聚焦成长,新浪
57,2021-11-25,化工行业：“液体黄金”大幅提升轮胎性能,广发证券
58,2021-11-25,两大事件聚集，基本金属再次开启反弹的金钥匙？,Wind
59,2021-11-25,募资超7000亿！A股迎定增大年，热门赛道引隐忧？,Wind
60,2021-11-25,合盛硅业：公司鄯善二期有机硅项目及二期工业硅项目目前在按照既定的建设进度计划在有序推进,每日经济新闻
61,2021-11-25,合盛硅业：目前主要从事工业硅及有机硅等硅基新材料产品的研发、生产及销售,每日经济新闻
62,2021-11-23,北向资金连续3日加仓累计扫货近150亿，宁德时代11月累计净买入超百亿,Wind
63,2021-11-23,基础化工行业：需求驱动仍是主旋律,新浪
64,2021-11-22,粤开策略：北上资金流入短期拐点初现，后市关注两条主线,粤开崇利论市
65,2021-11-22,化工周报：北交所正式开盘；双碳系列政策持续落地、煤化工行业频出新动态,新浪
66,2021-11-22,合盛硅业：控股股东合盛集团累计质押约7433万股，占其所持股份13.6%,每日经济新闻
67,2021-11-22,合盛硅业(603260.SH)：控股股东质押650万股,格隆汇
68,2021-11-22,合盛硅业(603260.SH)控股股东合盛集团质押650万股,智通财经
69,2021-11-22,化工行业周报：房地产融资环境改善 继续关注化工估值修复机会,新浪
70,2021-11-22,化工行业动态：金属硅触底反弹 甘氨酸支撑草甘膦高位,新浪
71,2021-11-21,化工行业：高端光刻胶相继突破 关注国产化进程,广发证券
72,2021-11-19,合盛硅业：股东富达实业减持公司股份约1040万股 减持股份,每日经济新闻
73,2021-11-19,合盛硅业(603260.SH)：减持期过半 富达实业累计减持0.97%股份 减持股份,格隆汇
74,2021-11-19,合盛硅业：富达实业减持0.97%公司股份 减持股份,Wind
75,2021-11-19,合盛硅业(603260.SH)股东富达实业累计减持1039.92万股 减持期过半 减持股份,智通财经
76,2021-11-19,硅宝科技(300019)重大事项点评：成本下降凸显业绩高弹性 布局硅碳负极助力长期成长,新浪
77,2021-11-19,北向资金动向盘点：反手减持食品饮料、医药,Wind
78,2021-11-18,机构扎堆定增“黄金坑”，60家公司收益已翻倍！,Wind
79,2021-11-18,北向资金今日净卖出44.53亿元，传统核心资产集体遭抛售,Wind
80,2021-11-18,有机硅价格高位跳水 高成本原材料或致企业Q4盈利收窄,财联社
81,2021-11-18,原材料行业动态点评：MSCI中国A股指数调整 周期能源股比例增大,新浪
82,2021-11-16,基础化工行业周报：草甘膦维持强势 高能耗产品有望企稳反弹,新浪
83,2021-11-14,下周操盘攻略：冬季躁动”渐入佳境,Wind
84,2021-11-14,万得财经周刊：北交所下周一开市,Wind
85,2021-11-13,董明珠培养“董明珠”，元宇宙龙头没有VR专利 | 财经日日评,吴晓波频道
86,2021-11-13,欧美股市多数收涨，美国三大指数全线上涨,Wind
87,2021-11-13,美国三大股指全线上涨，道指终结连续三天下跌走势,Wind
88,2021-11-13,MSCI“购物车”再添多只科创板股票，今年超三千亿北向资金流入A股,Wind
89,2021-11-12,美股小幅高开，中概新能源汽车股普涨,Wind
90,2021-11-12,MSCI“购物车”再添多只科创板股票，今年超三千亿北向资金流入A股,21世纪经济报道
91,2021-11-12,北向资金再度加仓超36亿，东方财富本周净买入近28亿,Wind
92,2021-11-12,煤炭日调度产量创新高，合盛硅业领涨有机硅，资源ETF(510410)阶段调整,资本邦
93,2021-11-12,起飞了！海外传来两则大消息,证券之星
94,2021-11-12,光伏概念盘中发力拉升，机构看好估值切换投资机会,第一财经
95,2021-11-12,MSCI大消息！50只A股新纳入，科创板股票批量进“购物车”,中新经纬
96,2021-11-12,50只新纳入！MSCI公布大消息，本次调整有何变化？,证券之星
97,2021-11-12,周期股数量增加！一文看清MSCI中国A股指数半年度变动,Wind
98,2021-11-12,MSCI半年检出炉!BOSS直聘(BZ.US)、中国中车(01766)等股获纳入，11只科创板股票又批量被纳入,智通财经
99,2021-11-12,2021胡润女企业家榜：碧桂园40岁的杨惠妍第九次成为中国女首富,Wind
100,2021-11-12,国泰君安：维持合盛硅业(603260.SH)“增持”评级 目标价186.15元,智通财经
101,2021-11-12,早知道·财讯热搜榜TOP10（11月12日）,新华网
102,2021-11-12,刚刚，50只个股新纳入MSCI中国指数！,上证报
103,2021-11-12,MSCI中国A股指数新增50只A股标的，11月30日生效,澎湃新闻
104,2021-11-12,北向资金动向盘点：房地产回暖，重手加仓却是非银,Wind
105,2021-11-12,50只新纳入！刚刚，MSCI公布大消息！1700亿翻倍大牛股又要火了？,中国基金报
106,2021-11-12,每日理财观察: MSCI公布半年度指数评审结果,Wind
107,2021-11-12,11.12粤开早餐荟|MSCI中国A股在岸指数新纳入53个成分股 市值前三大个股为合盛硅业、舍得酒业、藏格控股,粤开证券微服务
108,2021-11-12,刚刚，50只个股新纳入MSCI中国指数！,Wind
109,2021-11-12,基金早班车|元宇宙热度不减，外资扫货地产、金融、消费、医药等各板块,金融界
110,2021-11-12,港股盘前必读：中芯国际第三季度净利润20.77亿元同比增22.6%,Wind
111,2021-11-12,神华每日财经,神华期货
112,2021-11-12,MSCI公布最新调整结果，北上动向将发生变化！,Wind
113,2021-11-12,MSCI中国A股在岸指数新纳入53个成分股 市值前三大个股为合盛硅业、舍得酒业、藏格控股,金融界
114,2021-11-12,MSCI中国全股票指数新纳入68个成分股，剔除52个成分股,Wind
115,2021-11-12,MSCI中国A股在岸指数新纳入53个成分股，剔除30个成分股,Wind
116,2021-11-12,明晟公司（MSCI）：纳入MSCI新兴市场指数的市值前三大个股为合盛硅业，中国中车（CRRC），以及韩国《绝地求生》出品方魁匠团,金十数据
117,2021-11-12,MSCI公布半年度指数评审结果：MSCI ACWI新增111只成分股、剔除105只,Wind
118,2021-11-11,合盛硅业(603260)：工业硅景气或超预期 一体化龙头有望充分受益,新浪
119,2021-11-11,解盘：人气回暖百亿资金流入，水泥、半导体、元宇宙领涨,Wind
120,2021-11-06,近百家光伏企业三季报：85家企业业绩飘红，隆基、通威、特变“大丰收”,索比光伏网
121,2021-11-03,深度！2021年中国有机硅行业竞争格局及市场份额分析 市场集中度较高且竞争激烈,前瞻研究院
122,2021-11-02,身家一年暴增千亿，他为何总能踩准时代风口？,--
123,2021-11-01,64家光伏企业2021三季报出炉！,北极星电力
124,2021-11-01,定增有多赚？最高浮盈10倍多，哪些公司这么牛？,上证报
125,2021-11-01,定增有多赚？最高浮盈10倍多，哪些公司这么牛？,Wind
126,2021-11-01,基础化工行业：把握需求确定的方向,新浪
127,2021-10-31,招商化工行业周报2021年10月第5周：三氯甲烷及百草枯涨幅居前，维生素价格总体上涨,微信
128,2021-10-30,合盛硅业(603260)：Q3业绩再创新高 布局扩产保障成长,新浪
129,2021-10-29,合盛硅业跌7.05% 安信证券中金公司高点唱多,中国经济网
130,2021-10-29,千亿龙头冲击涨停！人气王十连板，主力抢筹12亿,Wind
131,2021-10-29,快讯：合盛硅业跌停 报于159.53元,金融界
132,2021-10-28,"合盛硅业现15笔大宗交易 共成交7,131.11万元",新浪
133,2021-10-28,合盛硅业今日大宗交易成交43.40万股，成交价164.31元折价7.31%,Wind
134,2021-10-28,合盛硅业(603260)：硅行业景气上行 龙头尽享业绩弹性,新浪
135,2021-10-28,西部证券维持合盛硅业买入评级：工业硅及有机硅高景气，产能扩张稳固优势,每日经济新闻
136,2021-10-28,券商首次关注4股并给予买入评级（10月28日）,Wind
137,2021-10-27,Q3净利飙增8倍，“硅业龙头”合盛硅业抛出史上最强业绩！,财华社
138,2021-10-27,合盛硅业：合盛集团累计质押股份约6783万股,每日经济新闻
139,2021-10-27,国海证券：首予合盛硅业“买入”评级 四季度工业硅、有机硅有望保持高位,智通财经
140,2021-10-27,化工行业动态：重点覆盖公司3季报业绩前瞻,新浪
141,2021-10-27,深度*行业*新能源发电行业动态点评：政策体系趋明 风光需求无忧,新浪
142,2021-10-27,合盛硅业(603260)：三季报业绩符合预期 限电导致工业硅价格大涨,新浪
143,2021-10-27,【招商化工】合盛硅业：三季度业绩大幅增长，持续扩产提高行业领先地位,微信
144,2021-10-27,合盛硅业三季度净利增875%，单季净利创新高,阿尔法工场
145,2021-10-27,国海证券：给予合盛硅业买入评级,证券之星
146,2021-10-27,国海证券首予合盛硅业买入评级，事件点评：盈利再创新高，四季度有望景气持续,每日经济新闻
147,2021-10-27,合盛硅业(603260)：工业硅-有机硅景气成就历史最佳单季业绩 Q4仍有望环比增长,新浪
148,2021-10-27,超预期！年内涨幅超4倍牛股三季报净利大增近6倍,Wind
149,2021-10-27,合盛硅业Q3净利26.3亿创新高 硅产品价格透支需求端待回暖,财联社
150,2021-10-27,中信证券晨会,新浪
151,2021-10-27,安信证券：维持合盛硅业(603260.SH)“买入”评级 目标价220元,智通财经
152,2021-10-27,安信证券：给予合盛硅业买入评级，目标价位220.0元,证券之星
153,2021-10-27,【华安化工|点评】合盛硅业：工业硅有机硅延续高景气，“煤电硅”一体化优势明显,化工阿尔法
154,2021-10-27,超预期！这只年内涨幅超4倍的牛股三季报净利大增近6倍,上证报
155,2021-10-26,晚间公告｜10月26日这些公告有看头,第一财经
156,2021-10-26,北向资金再度净买入超8亿，连续9日抢筹宁德时代累计加仓超55亿,Wind
157,2021-10-26,新能源一哥亮家底！赵诣减持资源股，施成大手笔买入合盛硅业，郑鸿泽卖出三一重工,金融界
158,2021-10-26,合盛硅业第三季度净利润同比增长875.66%,上证报
159,2021-10-26,合盛硅业：前三季度实现净利润50亿元，同比增长近600%,资本邦
160,2021-10-26,回购、增持潮频现，强护盘模式开启,Wind
161,2021-10-26,合盛硅业公布三季报 前三季净利增加596.08%,新浪
162,2021-10-26,硅业龙头三季报出炉 合盛硅业第三季度净利同比暴增876%,第一财经
163,2021-10-26,合盛硅业(603260.SH)第三季度工业硅销售金额为26.11亿元,智通财经
164,2021-10-26,量价齐升 合盛硅业(603260.SH)前三季度归母净利同比增596.08%至50.03亿元,智通财经
165,2021-10-26,合盛硅业：第三季度净利润26.3亿元 同比增876%,财联社
166,2021-10-26,合盛硅业(603260.SH)：第三季度净利升875.66%至26.30亿元,格隆汇
167,2021-10-26,合盛硅业：第三季度净利26.3亿元 同比增长875.66%,格隆汇
168,2021-10-26,合盛硅业：第三季度净利26.30亿元 同比增长876%,财联社
169,2021-10-26,合盛硅业：第三季度净利26.3亿元，同比增长875.66%,Wind
170,2021-10-26,合盛硅业：前三季度净利润同比增长596.08%,Wind
171,2021-10-25,招商化工行业周报2021年10月第4周：双氧水及烧碱价格持续大涨，PVA景气向上盈利大幅提升,微信
172,2021-10-25,基础化工行业周报：高景气度依赖供给约束 能源价格冲击情绪,新浪
173,2021-10-24,激增900%，这类基金彻底火了！,Wind
174,2021-10-24,基础化工行业周报：国家强调能源保供及大宗商品稳价 光刻胶仍旧短缺利好国产替代,光大证券
175,2021-10-23,新能源板块：9月逆变器出口额再创新高,光大证券
176,2021-10-22,碳中和深度报告(三)：低碳转型双控先行 深度梳理政策脉络与影响,新浪
177,2021-10-21,北上资金百亿扫货A股却上涨乏力？明日是关键,Wind
178,2021-10-18,化工行业周报：化工板块持续调整 轮胎企业基本面有望边际改善,新浪
179,2021-10-18,基础化工行业：把握确定性强的子赛道,新浪
180,2021-10-18,招商化工行业周报2021年10月第3周：双氧水及PVC价格大幅上涨，化工行业景气度持续向上,微信
181,2021-10-16,合盛硅业：公司主要产品工业硅包括化学级及冶金级，各类比例根据市场需求及生产经营计划调整,每日经济新闻
182,2021-10-16,基础化工行业周报：海运价格下调促轮胎企业盈利回升 限电背景下聚酯龙头长期受益,光大证券
183,2021-10-15,合盛硅业：工业硅生产过程中硅石品质及不同的生产工艺对物耗都有不同程度的影响，理论上生产1吨工业硅大约需要硅石2.4-2.6吨，电极消耗0.06-0.09吨左右,每日经济新闻
184,2021-10-14,券商营业部实力大比拼！中金成最强黑马，这家中小券商挤入前三,Wind
185,2021-10-14,股票交易龙虎榜百强营业部出炉，华泰、中信数量最多,Wind
186,2021-10-11,电子行业周报：三季度全球半导体销售额再创新高,新浪
187,2021-10-11,化工新材料板块双周观点：国务院纠正“一刀切”停产限产 湖南裕能向创业板发起冲击,新浪
188,2021-10-10,招商化工行业周报2021年10月第2周：农药价格总体上涨明显，烧碱价格继续大幅上行,微信
189,2021-10-08,基础化工行业：重视高盈利的持续性,新浪
190,2021-10-08,深度*行业*化工行业周报：原油、天然气大涨 草铵膦、草甘膦价格上调,新浪
191,2021-10-08,深度*行业*化工行业能耗政策追踪：有序用电措施升级 磷、硅开工率受限明显,新浪
192,2021-10-08,合盛硅业：截至目前公司暂无三季度业绩预告的披露计划，公司预约10月27日披露三季度报告,每日经济新闻
193,2021-10-08,合盛硅业：公司目前暂未有收购光伏电站的计划,每日经济新闻
194,2021-10-08,合盛硅业跌7% 安信证券中金公司高点唱多,中国经济网
195,2021-10-08,化工行业周报：板块内部表现将分化 继续关注新能源上游化工材料,新浪
196,2021-10-08,东岳硅材(300821)：母公司注资工业硅公司 保障公司原材料供应,新浪
197,2021-10-07,合盛硅业：合盛集团及其一致行动人处于质押状态的股份累计数约为2.99亿股,每日经济新闻
198,2021-10-04,电子行业周报：全球半导体资本支出2021将达1500亿美元,新浪
199,2021-10-03,超200股翻倍！前三季度，周期为王,Wind
200,2021-09-30,合盛硅业回撤27%，还会跌跌不休吗？,中泰证券
201,2021-09-30,合盛硅业(603260.SH)：控股股东及其一致行动人合计解质4200万股,格隆汇
202,2021-09-29,合盛硅业跌停 安信证券中金公司高点唱多,中国经济网
203,2021-09-29,市值蒸发超万亿，周期股被爆锤，北上资金抄底这些股！,Wind
204,2021-09-29,兖州煤业、合盛硅业一字跌停，资源ETF（510410）逢跌加仓,资本邦
205,2021-09-29,A股收盘综述：长假效应及海外因素引发调整，钢、煤、油气、稀土、电力领跌,Wind
206,2021-09-29,什么情况？中石油重挫8%！煤炭石油化工集体杀跌,Wind
207,2021-09-29,快讯：合盛硅业跌停 报于178.97元,金融界
208,2021-09-29,六大热点贯穿三季度 绿电油气等站上风口,财富动力网
209,2021-09-28,有色金属周报：双控双限扰动工业金属供需 小金属镁、硅价格飙升,新浪
210,2021-09-27,基础化工行业：供给预期扰动 板块波动加大,新浪
211,2021-09-27,合盛硅业：公司云南昭通工业硅项目目前按计划在推进建设，云南生产基地其他项目在全力推进相关项目建设前期工作,每日经济新闻
212,2021-09-27,基础化工行业周报：双控约束影响显性化 硅、双碱价格大幅上涨,新浪
213,2021-09-26,招商化工行业周报2021年9月第4周：有机硅产业链价格全线大涨，烧碱价格大幅上行,微信
214,2021-09-26,化工行业：“能耗双控”政策趋严 化工品价格持续普涨,广发证券
215,2021-09-25,基础化工行业周报：能耗双控限电限产背景下 化工龙头配置价值更为凸显,光大证券
216,2021-09-23,北向资金净卖出额创近一个月新高，银行股遭大幅抛售,Wind
217,2021-09-23,深度*行业*化工行业周报：能耗双控加码 磷、硅、氯碱产业链全线大涨,新浪
218,2021-09-22,化工行业周报：关注供需偏紧的高景气领域,新浪
219,2021-09-22,石油石化行业研究周报：高能耗化工品供需错配仍将延续,新浪
220,2021-09-22,化工行业周报：能耗控制继续趋严 黄磷、磷酸、工业硅、固体烧碱大涨,新浪
221,2021-09-22,化工新材料行业周报：云南削减工业硅产量 长阳科技布局锂离子电池隔膜和光学聚酯基膜产线,新浪
222,2021-09-22,有色金属板块业绩与股价齐飞，基金增持11股超10%,Wind
223,2021-09-21,化工行业：能耗双控影响供给 化工品价格进一步走高,广发证券
224,2021-09-17,一文看懂｜A股万亿成交43连击，追平历史纪录！买了什么？,Wind
225,2021-09-17,新材料行业硅基新材行业重大事项点评：“双控”完善 硅产业链头部企业迎持续利好,新浪
226,2021-09-17,合盛硅业：目前公司生产一吨有机硅单体约需要消耗0.24吨工业硅,每日经济新闻
227,2021-09-17,光伏茅获密集推荐，机构热评机械设备板块，22股看涨空间逾20%,Wind
228,2021-09-17,热点降温沪指退守3600点，资金转战低估值板块,Wind
229,2021-09-16,快讯：合盛硅业跌停 报于221.13元,金融界
230,2021-09-15,金三江：不可以生产硅产品，我们是无机硅，合盛硅业是有机硅,每日经济新闻
231,2021-09-15,北向资金今日净买入逾21亿元，批量扫货光伏股,Wind
232,2021-09-15,北向资金动向盘点：周期股下跌，净卖第一却是食品饮料,Wind
233,2021-09-14,基础化工行业：MDI价格上行 PVDF涨势不减,新浪
234,2021-09-14,北向资金今日净卖出超41亿元，中国平安、白酒股持续遭抛售,Wind
235,2021-09-14,新材料行业硅基新材行业观察3：下游企业纷纷入局 不改工业硅供需紧张格局,新浪
236,2021-09-14,化工行业重大事项点评：能耗双控源于“双碳” 高能耗的“过剩”行业有望景气度周期拉长+资产回报率抬升,新浪
237,2021-09-14,华为鸿蒙概念崛起！外资逆势流出，周期板块高位哑火,Wind
238,2021-09-14,9月化工月度数据跟踪：PPI再创新高 持续性有望超预期,新浪
239,2021-09-14,A股早报2021年9月14日星期二,Wind
240,2021-09-14,北向资金动向盘点：有色大涨，净卖了之,Wind
241,2021-09-14,周期股大涨，机构追高买买买！北上资金却抛售,Wind
242,2021-09-13,500亿大牛股突然就崩了！原因找到了,Wind
243,2021-09-13,沪港通十大成交活跃股排名（9月13日）,Wind
244,2021-09-13,周期股满屏涨停！部分热门股机构依旧追高买入,Wind
245,2021-09-13,龙虎榜丨逃顶时刻？合盛硅业再创历史新高，但机构和北向资金同时大幅出逃,21世纪经济报道
246,2021-09-13,化工行业周报：为资源再定价 关注资源化的化工品赛道,新浪
247,2021-09-13,基础化工行业周报：天然气与油服景气上行 新能源转型磷化工板块持续强势,光大证券
248,2021-09-13,合盛硅业一度涨停，机构北向资金合卖6.5亿元,证券之星
249,2021-09-13,合盛硅业今日午后触及涨停并创新高，沪股通卖出7.42亿元并买入3.17亿元,Wind
250,2021-09-13,化工行业：硅产业链景气度持续上行,广发证券
251,2021-09-13,快讯：合盛硅业涨停 报于247.59元,金融界
252,2021-09-13,合盛硅业新高背后：融资客和北向资金齐加仓,证券时报网
253,2021-09-13,合盛硅业首板,Wind
254,2021-09-13,合盛硅业午后冲击涨停，股价再创历史新高,Wind
255,2021-09-13,快讯：有机硅概念股午后大幅拉升 合盛硅业涨逾4%,财联社
256,2021-09-13,有机硅板块午后再度冲高，兴发集团涨停,Wind
257,2021-09-13,千亿芯片巨头闪崩，煤炭ETF狂飙99%，元宇宙又火了,Wind
258,2021-09-12,豪掷76亿再扩产，全球工业硅龙头合盛硅业“进击”的背后,环球老虎财经
259,2021-09-11,传统化工恋上新能源，转型需要还是炒作风口,Wind
260,2021-09-10,A股共发生174宗大宗交易成交42.74亿元（9月10日）,Wind
261,2021-09-10,合盛硅业今日大宗交易成交67.76万股，成交价198.34元折价11.88%,Wind
262,2021-09-10,有机硅概念继续走强 合盛硅业(603260.SH)触及涨停 年内累涨近6倍,格隆汇
263,2021-09-10,有机硅概念再度活跃 千亿龙头合盛硅业盘中一度涨停,证券时报网
264,2021-09-10,有机硅DMC价格创10年新高，两千亿龙头合盛硅业盘中一度涨停，今年已大涨近6倍,证券时报网
265,2021-09-10,有机硅板块异动 合盛硅业涨停,e公司
266,2021-09-10,快讯：有机硅概念板块拉升 合盛硅业涨超8%,新浪
267,2021-09-10,快讯：合盛硅业涨停 报于232.1元,金融界
268,2021-09-10,合盛硅业首板,Wind
269,2021-09-10,有机硅概念集体走强，宏达新材涨停,Wind
270,2021-09-10,19股获机构抱团推荐，14股机构看涨空间逾20%（名单）,Wind
271,2021-09-10,有机硅DMC价格创10年新高，相关上市公司业绩可期,Wind
272,2021-09-09,再扩产！净利大增4倍，“双料龙头”合盛硅业迎来发展黄金期？,财华社
273,2021-09-09,华泰证券：维持合盛硅业(603260.SH)“增持”评级 目标价上调68%至227.52元,智通财经
274,2021-09-09,安信证券：维持合盛硅业(603260.SH)“买入”评级 目标价250元,智通财经
275,2021-09-09,合盛硅业高开4%,Wind
276,2021-09-09,安信证券维持合盛硅业买入评级：拟建项目增强规模优势，龙头充分享受行业景气,每日经济新闻
277,2021-09-08,公告精选：合盛硅业拟超76亿投建煤电硅一体化二三期项目；亚威股份实控人将为中车集团,e公司
278,2021-09-08,合盛硅业拟超76亿元投建两项目,大众证券报
279,2021-09-08,晚间重要公告2021年9月8日星期三,Wind
280,2021-09-08,合盛硅业斥资76亿元扩产 在新疆投建有机硅及工业硅项目,e公司
281,2021-09-08,【安信化工】合盛硅业：拟建项目增强规模优势，龙头充分享受行业景气,安信化工研究
282,2021-09-08,合盛硅业拟合计76.15亿元投建煤电硅一体化二期与三期项目,上证报
283,2021-09-08,9月8日合盛硅业、中国电影等12家公司公告出现利好,证券之星
284,2021-09-08,合盛硅业(603260.SH)：拟投建年产20万吨硅氧烷及下游深加工项目 预估总投资逾35亿元,格隆汇
285,2021-09-08,合盛硅业(603260.SH)拟投建年产40万吨工业硅项目 预估总投资40.84亿元,智通财经
286,2021-09-08,合盛硅业：拟40.84亿元投建年产40万吨工业硅项目,财联社
287,2021-09-08,合盛硅业(603260.SH)拟投约35.32亿元新建年产20万吨硅氧烷及下游深加工生产线,智通财经
288,2021-09-08,合盛硅业：拟35.3亿元投建年产20万吨硅氧烷及下游深加工项目,财联社
289,2021-09-07,东岳硅材：上游原材料的涨价对公司采购成本造成了一定影响,Wind
290,2021-09-07,A股早报2021年9月7日星期二,Wind
291,2021-09-07,化工行业周报：磷酸铁锂拉动锂电化工材料需求 继续推荐R142B-PVDF产业链,新浪
292,2021-09-07,脑洞大开！网友想出“世博园总部概念股”，央企旗下上市公司股价走强,Wind
293,2021-09-07,“喝酒吃药”行情重起，高位题材股“退潮”,Wind
294,2021-09-06,精选层彻底火了，龙头4天翻倍！10倍周期股却突然跌停,Wind
295,2021-09-06,合盛硅业龙虎榜数据（9月6日）,Wind
296,2021-09-06,跌停板解密：高位出逃，10只前期强势股封跌停！（9月6日）,Wind
297,2021-09-06,合盛硅业闪崩跌停： 两机构合计抛售超2亿元，沪股通买入,第一财经
298,2021-09-06,龙虎榜|合盛硅业跌停 两机构合计卖出2.03亿元,财联社
299,2021-09-06,合盛硅业跌停，资金出现分歧，机构净卖2亿，北向资金却偷偷吸筹,证券之星
300,2021-09-06,6倍大牛股合盛硅业跌停，机构夺路而逃卖出超2亿,Wind
301,2021-09-06,最新高回撤绩优股名单来了，仅18只,Wind
302,2021-09-06,6倍牛股突然跌停！医药消费强势回暖，A股风格要变？,Wind
303,2021-09-06,4000亿巨头大涨10%，创业板狂飚，医疗白酒爆发,Wind
304,2021-09-06,多只精选层股票上演“30cm”涨停，创业板也反弹超3%,Wind
305,2021-09-06,创业板爆拉近4%，喝酒吃药归来？8天7涨停牛股闪崩,Wind
306,2021-09-06,有机硅板块大幅回落 合盛硅业、新安股份双双跌停,格隆汇
