,2021-12-31,科技驱动品牌突破 米蓓尔年终斩获三项大奖,美通社
24,2021-12-20,第六届中国糖酒食品行业精品展召开，华熙生物斩获两项大奖！,北国网
25,2021-12-20,金镒资本创始人和管理合伙人杨燚：投资三个结构性机会，坚定看好中国未来长期发展,21世纪经济报道
26,2021-12-20,A股资金流向：赛道股加速遭抛售，低价股成短线“避风港”,Wind
27,2021-12-20,以科技嘉奖霸屏2021，民族品牌华熙生物用科技创新来说话！,凤凰网
28,2021-12-20,蓄势合力 共谱华章 华熙生物·润致&重庆华美达成战略合作,凤凰网
29,2021-12-20,2020年度金牛企业领袖奖,中证网
30,2021-12-19,2021年A股年终盘点：十大超级牛股关键词,Wind
31,2021-12-18,《2021年拟建重点实验室公示》： 华熙生物申报的“山东省生物活性物重点实验室”入选,凤凰网
32,2021-12-17,7.38亿！腾讯成全球玻尿酸龙头第二大股东,器械之家
33,2021-12-17,政策推动格局转化，医药生物赛道投资迎新机遇,36氪
34,2021-12-16,华熙生物：公司暂未进军白酒行业，亦未开展有关白酒的研发项目,每日经济新闻
35,2021-12-16,A股资金流向：短线资金继续加码热门题材股,Wind
36,2021-12-16,盘点2021年度健康新势力十大领军人物：他们代表了中国医疗领域的创新方向和实践成果,新浪
37,2021-12-16,医美行业：一半火焰，一半海水 | 2021·年度大复盘,钛媒体
38,2021-12-15,合成生物学——引领未来的“生命科技”,36氪
39,2021-12-14,当生物科技遇上赛博朋克 华熙生物领跑科技“未来新战场”,北国网
40,2021-12-14,“口服美容”的故事还能讲多久？,36氪
41,2021-12-14,安慕希、热巴、华熙生物集大成者 AMX新一代玻尿酸酸奶嘭嘭嘭上线,凤凰网
42,2021-12-14,华熙生物12月13日现2笔大宗交易,证券时报网
43,2021-12-13,杭州君妍获得“未来医美共生联盟”赋能计划·先锋私董|领袖奖！,凤凰网
44,2021-12-13,华熙生物现2笔大宗交易 均为折价成交,证券时报网
45,2021-12-13,"华熙生物现2笔大宗交易 共成交11,867.86万元",新浪
46,2021-12-13,华熙生物今日大宗交易成交75.77万股，成交价156.63元折价11.19%,Wind
47,2021-12-13,腾讯出手！跨界医美，3.5亿入股玻尿酸龙头,Wind
48,2021-12-13,广州华美、曙光医美乱象：丝丽动能素水光针来源不明,中国经营报
49,2021-12-13,财信证券美容护理、社服零售行业2021年12月月度报告：围绕成长确定性强、修复能力强的优质龙头布局,财信证券研究
50,2021-12-13,茅指数与宁组合同台竞技，两大赛道谁技高一筹？,Wind
51,2021-12-12,国元证券：2022年消费预期向好，布局高景气和改善板块,智通财经
52,2021-12-11,最惨腰斩后，“茅指数”王者归来，股王重振雄风！,Wind
53,2021-12-11,"突发！一批蓝筹股尾盘""被砸""，宁王、医械茅全都在列，什么情况？茅台却突然拉升，又是套利盘捣鬼？",券商中国
54,2021-12-10,【国元商社】化妆品行业2021年11月数据跟踪：淘系受多渠道分流影响承压，抖音国货持续占优,典评文娱
55,2021-12-10,华熙生物推动玻尿酸入食，玻尿酸食品赛道潜力无限,凤凰网
56,2021-12-10,华熙生物拟新增研发中心场地,新京报
57,2021-12-10,电鳗快报|监管趋严谁能脱颖而出？真“医美”股结束颓势可期,电鳗快报
58,2021-12-09,医美概念表现活跃 主力、机构青睐这些个股,第一财经
59,2021-12-09,A股资金流向：金融、消费持续回暖，外资助推风格切换,Wind
60,2021-12-09,华熙生物CEO赵燕：企业的生命力来自两个能力,Bianews
61,2021-12-09,医美走强，华熙生物、爱美客涨超6％，医疗器械ETF（159883）放量涨近3％,资本邦
62,2021-12-09,医美、器械集体造好，医疗器械ETF放量大涨2.74％,Wind
63,2021-12-09,欧普康视、华熙生物、爱美客涨超7%，科创创业ETF（588360）涨超1.5%,资本邦
64,2021-12-09,解盘：人气持续回升，医美、餐饮旅游、家居、茅指数领涨,Wind
65,2021-12-09,兴业证券：看好功效性护肤品市场崛起与快速发展,财联社
66,2021-12-09,【开源零售｜医美化妆品11月月报：双十一国货龙头品牌表现亮眼，行业监管趋严利好龙头企业】,泽鹏商业观察
67,2021-12-08,华熙生物：拟增加山东产业技术研究院高科技创新园作为华熙生物研发中心募投项目实施地点,Wind
68,2021-12-08,华熙生物(688363.SH)：华熙天津透明质酸钠及相关项目拟延期 项目问题,格隆汇
69,2021-12-08,华熙生物(688363.SH)拟使用不超7亿元闲置募集资金进行现金管理,智通财经
70,2021-12-08,润致未来医美共生联盟闭门私董会| 百大行业领袖共探行业发展方向,凤凰网
71,2021-12-08,化妆品行业：双11大考下国货美妆品牌成绩斐然 淘系平台销售进一步被分割,新浪
72,2021-12-08,敷尔佳IPO前突击分红10亿 医美严监管下仅1项外观专利如何上市？,时代周报
73,2021-12-08,国货品牌掀起消费浪潮,Wind
74,2021-12-07,2021年11月化妆品行业数据点：双十一大促 淘系护肤高增,新浪
75,2021-12-07,医美行业深度报告：行业上游医美器械制造商门槛高 竞争格局好,新浪
76,2021-12-07,附音频|2022年传媒新消费策略|新秩序 新增量 再进化,拾珠传媒新消费
77,2021-12-07,风谲云诡的2021，华熙生物如何穿越“小周期”？,凤凰网
78,2021-12-06,纺织服装行业周报：重申制造强于品牌 深挖下游趋势的上游印证,新浪
79,2021-12-06,科思股份(300856)投资价值分析报告：疫情损伤后拐点已现 扩产能跨品类双驱增长,新浪
80,2021-12-06,2021年全球玻尿酸行业市场规模、竞争格局及发展前景分析 未来销量将继续增长,前瞻研究院
81,2021-12-06,美容护理月报(21年11月)：11月淘系美妆恢复增长黄金珠宝延续高增速,新浪
82,2021-12-06,公司风向标丨1张面膜，2个研发人员，敷尔佳想“敷”获A股？,上游新闻
83,2021-12-06,粤开策略深度 | 医药生物行业2022年展望：价值重鸣，创新为锋,粤开崇利论市
84,2021-12-06,商业贸易行业周报：儿童化妆品规范化加强 昊海生科管线持续丰富,华安证券
85,2021-12-06,商业贸易行业周报：植发养固发行业增速较快 雍禾医疗预期于12月13日上市,华福证券有限责任公司
86,2021-12-06,商贸零售周报：波司登签署合资协议 迪阿股份即将上市,新浪
87,2021-12-06,《科技赋能下功能性护肤品趋势洞察报告》：功效好的产品消费者就会买单？,凤凰网
88,2021-12-06,医药生物行业：医保谈判落地 释放积极信号,新浪
89,2021-12-06,商业贸易行业周报：投融资事件频繁 潮流零售行业蓬勃发展,新浪
90,2021-12-05,【轻工】化妆品医美行业2022年度策略—把握消费趋势，看好高景气赛道,中银证券研究
91,2021-12-03,敏感肌护肤需求高涨 皮肤学级护肤代表品牌米蓓尔持续深耕,美通社
92,2021-12-02,安信研究|晨会在线20211201,安信证券研究
93,2021-12-01,华熙生物水肌泉荣获“年度最佳新国货品牌”“年度人气品牌奖”两项大奖,凤凰网
94,2021-12-01,益生菌皮肤抗衰新战场 来自本土原料厂商的探索尝试,凤凰网
95,2021-12-01,5股获券商买入评级 恒生电子目标涨幅达47.51%,Wind
96,2021-11-30,华熙生物赵燕：润百颜三年时间销售收入突破十亿,中华网
97,2021-11-30,腾讯悄悄入股！转型已见曙光，这家业绩超预期的医美新势力要爆发？,瞪羚社
98,2021-11-30,华熙生物(688363)：对标欧莱雅 看华熙生物发展空间,新浪
99,2021-11-30,华熙生物赵燕：只要坚持长期主义，民族品牌能成长出一批国际品牌,千龙网
100,2021-11-29,华熙生物：双11期间公司功能性护肤品销量良好,每日经济新闻
101,2021-11-29,华熙生物：2021年双11期间，润百颜天猫旗舰店自播成交额同比增长超250%,每日经济新闻
102,2021-11-29,"华熙生物：全球客户超过2,000家",每日经济新闻
103,2021-11-29,北交所或将迎来化妆品第一股，为华熙生物、名创优品等多个品牌代工,财经网
104,2021-11-29,零售周观点：上海市生育假延长 政策环境利好母婴产业发展,新浪
105,2021-11-29,纺织服装行业周报：服装迎来冬装销售旺季 看好Q4高业绩弹性,新浪
106,2021-11-27,在医美赛道，寻找下一个12年40倍的机会,格隆汇
107,2021-11-27,华熙生物董事长赵燕，将在2021搜狐财经峰会详解“国货之光”的崛起秘诀,搜狐
108,2021-11-27,医疗美容行业医美专题报告：悦己消费市场空间广阔 颜值经济加持医美赛道,新浪
109,2021-11-26,华熙生物，科技为基的绿色制造和产业赋能之路,凤凰网
110,2021-11-26,要闻 | 山东科创板上市企业增至17家，分布在这7个市,山东发布
111,2021-11-25,医药行业2021年三季报总结报告：恢复高成长 医药进入估值切换长周期,新浪
112,2021-11-25,多维观察，解析华熙生物、爱美客、昊海生科的发展AB面,凤凰网
113,2021-11-25,医药健康行业年度策略：溯源而上 掘金创新,新浪
114,2021-11-25,腾讯达晨，去山东投了一位玻尿酸教授,猎云网
115,2021-11-25,调研马不停蹄，外资机构盯上“国潮”板块,Wind
116,2021-11-24,医药生物行业周报：CDE发布《以临床价值为导向的抗肿瘤药物临床研发指导原则》,新浪
117,2021-11-23,美容饮料俘获女性用户，是边喝边美还是鸡肋养颜？,钛媒体
118,2021-11-23,能喝的“玻尿酸”，是新蓝海还是伪需求？,金融界
119,2021-11-22,纺织服装行业：《医疗美容广告执法指南》正式落地 行业监管将持续趋紧,新浪
120,2021-11-22,商业贸易行业周报：十月社零数据发布 消费继续回暖,华福证券有限责任公司
121,2021-11-22,医美化妆品行业周报：超头依赖度提升 关注业绩边际向上国货化妆品,新浪
122,2021-11-22,华熙生物毛发医学转化研究院成立,凤凰网
123,2021-11-22,华熙生物：产品质量获权威机构背书，聚焦皮肤微生态未来可期,搜狐
124,2021-11-21,【开源零售|周视角】社会消费回暖，关注高景气珠宝和化妆品龙头公司,泽鹏商业观察
125,2021-11-20,年门诊量21万，这家医院，百万医药人都踏空了,赛柏蓝
126,2021-11-19,“高性价比”失色 国产美妆功效为王,中国商报
127,2021-11-19,银河证券每日晨报,新浪
128,2021-11-19,水光针、少女针、童颜针……专家称透明质酸类材料仍是医美注射产品主流,凤凰网
129,2021-11-19,国际化妆品集团21年三季度业绩跟踪点评：高端品牌业绩贡献突出 线上销售增长强劲,新浪
130,2021-11-19,润百颜、夸迪营收均同比大增160% 华熙生物前三季护肤品业务持续高增长,经济参考报
131,2021-11-18,“颜值板块”22个交易日累涨16%：美妆、医美再度起飞？,智通财经
132,2021-11-18,双11之后 国货化妆品来到分水岭,亿邦动力
133,2021-11-18,“数据会说话”之2021年10月数据解读：10月社零数据符合预期 看好中国消费韧性,新浪
134,2021-11-17,医美水光针行业迎来“大洗牌”？华熙生物率先占据发展优势,凤凰网
135,2021-11-17,中信建投社服商贸2022年策略：供给端内功优化，需求端蓄势待发,Wind
136,2021-11-17,有人两年融资7轮 有人IPO！这一千亿赛道如何取代彩妆？,创业邦
137,2021-11-16,华熙生物电商式大肆扩张遭质疑 销售费用偏高引发投资者不满,财联社
138,2021-11-16,异动频频，利空出尽！线上订单暴涨7倍，这个赛道将迎来大行情！,瞪羚社
139,2021-11-16,【国元商社】化妆品行业2021年双11点评之二：淘系双十一增速放缓，国货护肤与彩妆分化,典评文娱
140,2021-11-16,“颜经济”拉动 国产美妆个护企业成“双十一”大赢家,金融界
141,2021-11-16,零售、轻工日化行业动态：10月社零同比+4.9% 消费延续回暖态势,新浪
142,2021-11-15,贝泰妮、华熙生物、珀莱雅、丸美股份三季报PK，谁是最强美妆股？,36氪
143,2021-11-15,医美概念持续拉升，行业需求快速增长，主力看好这些股,第一财经
144,2021-11-15,商业贸易行业双十一深度点评报告：销量提升推动行业景气度持续 美容护肤行业集中度有望稳中有升,国海证券
145,2021-11-15,商贸零售行业：2021年美妆双十一洞察,新浪
146,2021-11-15,商业贸易行业2021年化妆品双十一点评：双十一销售放缓 国货护肤强者恒强,新浪
147,2021-11-15,社服零售行业周报：高基数下今年双11增速放缓 国货吸引力持续提升,新浪
148,2021-11-15,功能性护肤品牌米蓓尔双11全网销售额突破1个亿,联商网
149,2021-11-15,光明乳业创新乳品发力女性健康 华熙生物携手共创鲜活美味,格隆汇
150,2021-11-15,华熙生物(688363)：双十一销售表现亮眼 重申看好中长期发展,新浪
151,2021-11-15,国谈价格好于市场预期，有利于创新药板块估值修复！【东吴医药朱国广团队】,国广有话说
152,2021-11-15,财信证券美容护理、社服零售行业2021年11月月度报告：高景气赛道龙头优势显著，旅游复苏预期边际增强,财信证券研究
153,2021-11-15,纺织服装行业周报：双十一大促落幕 龙头战报彰显国货崛起大势,新浪
154,2021-11-14,【浙商大消费马莉】双十一数据解读：强者愈强，掘金消费拐点,纺服新消费马莉团队
155,2021-11-14,【纺织服装】每周策略20211115：双十一龙头品牌线上表现优异，四季度行业景气度有望环比改善,时尚消费志
156,2021-11-14,【开源零售|周视角】双十一战报：平台多元化，美妆珠宝龙头表现亮眼,泽鹏商业观察
157,2021-11-14,市值900亿 他引爆了一条护肤赛道,投资界
158,2021-11-13,哈佛大学研究肯定口服玻尿酸功效，华熙生物提前布局玻尿酸食品赛道,凤凰网
159,2021-11-12,米蓓尔探索品牌可持续发展之路 2021双11再创佳绩,美通社
160,2021-11-12,国家药监局：这一“补水神器”是三类医疗器械,器械之家
161,2021-11-12,2021胡润女企业家榜：碧桂园杨惠妍九度登顶，爱美客创始人首次上榜,搜狐
162,2021-11-12,2021胡润女企业家榜来了！华熙国际赵燕首次进入前十，董明珠未上榜,鲁网
163,2021-11-12,纺织服装行业：三季报制造强于品牌 双十一预售龙头表现突出,新浪
164,2021-11-12,2021胡润女企业家榜：碧桂园40岁的杨惠妍第九次成为中国女首富,Wind
165,2021-11-11,华熙生物：公司暂不知悉ESG评级情况,每日经济新闻
166,2021-11-11,华熙生物：目前润百颜BIOHYALUX已销往东南亚、美国、俄罗斯等多个国家或地区,每日经济新闻
167,2021-11-11,商贸零售2021三季报总结：Q3商贸整体偏弱 关注珠宝高景气与医美化妆品长期成长,新浪
168,2021-11-11,【国元商社】化妆品行业2021年10月数据跟踪：大促前虹吸效应明显，薇诺娜、珀莱雅双十一第一阶段表现亮眼,典评文娱
169,2021-11-11,如何对华熙生物估值？,中访网
170,2021-11-11,强强联手，轻苇轻医美联合华熙生物启动“时光守护节”,中国贸易新闻网
171,2021-11-10,深耕透明质酸逾廿载，蝉联“世界第一”十四年：华熙生物入围制造业单项冠军名单,凤凰网
172,2021-11-10,华熙生物：“双子针”总签约金额超过9000万,Wind
173,2021-11-10,华熙生物：“双子针”总签约金额超过9000万,e公司
174,2021-11-10,卖面膜的网红敷尔佳来抽“韭菜们”的智商税了,砍柴网
175,2021-11-09,华熙生物大宗交易成交11.00万股 成交额1465.20万元,证券时报网
176,2021-11-09,华熙生物：华熙生物关于监事辞职及提名监事候选人的公告 董监高成员变化,新浪
177,2021-11-09,华熙生物(688363.SH)提名于静为监事候选人,智通财经
178,2021-11-09,华熙生物今日大宗交易成交11万股，成交价133.2元折价20.55%,Wind
179,2021-11-09,"华熙生物现1笔大宗交易 共成交1,465.20万元",新浪
180,2021-11-09,华熙生物：监事金勇辞职，于静拟接任 董监高成员变化,Wind
181,2021-11-09,A股资金流向：“茅族”表现欠佳，成长股集体走强,Wind
182,2021-11-09,纺织服装行业纺服及时尚消费品2021年10月天猫数据分析：10月珠宝板块表现继续亮眼 期待双十一对各品类的销售推动,新浪
183,2021-11-09,敷尔佳要上市：医用敷料有多暴利？,网易
184,2021-11-09,化妆品医美行业2021 年三季报回顾：整体符合预期 马太效应凸显,新浪
185,2021-11-09,【银河消费品零售&化妆品甄唯萱】行业周报丨行业内多家公司出现股东增持或股份回购，维持推荐优质零售标的,中国银河证券研究
186,2021-11-08,新锐国货美妆崛起，京东如何与品牌共成长？,Bianews
187,2021-11-08,民生证券维持华熙生物推荐评级：产品矩阵构筑壁垒，盈利模型有望优化,每日经济新闻
188,2021-11-08,民生证券：给予华熙生物买入评级,证券之星
189,2021-11-08,2021年医药行业11月策略报告：战略布局特色原料药及高景气度子行业,新浪
190,2021-11-08,上市两周年，科创板×华熙生物创造了什么？,中国经济网
191,2021-11-08,电商行业双十一深度：消费竞技场品牌力为主导,国金证券股份有限公司
192,2021-11-08,纺织服装行业周报：双十一首批预售表现亮眼 寒潮来袭提振服装销售,新浪
193,2021-11-08,人良生物获近千万天使轮投资，打造膳食纤维领域的「华熙生物」,投资界
194,2021-11-08,投资人都关心的“双11”集齐2大重磅事件,Wind
195,2021-11-07,科创板、创业板多只高收益股解禁，10倍牛股迈为股份迎百亿解禁 解禁,第一财经
196,2021-11-07,【纺织服装】每周策略20211108：制造强品牌弱格局延续，降温叠加双十一有望继续助推冬装销售,时尚消费志
197,2021-11-06,下周341亿市值限售股解禁，迈为股份解禁超百亿居首 解禁,Wind
198,2021-11-03,A股资金流向：资金高位出逃新能源，隆基股份净卖出超18亿,Wind
199,2021-11-02,华安证券维持华熙生物买入评级：功能性护肤品增长强劲，巩固品牌+研发壁垒,每日经济新闻
200,2021-11-02,【银河消费品零售&化妆品甄唯萱】行业周报丨消费品零售行业21Q3同比增长3.64%，但仍未恢复至疫情前同期水平，维持推荐优质标的,中国银河证券研究
201,2021-11-02,纺织服装行业周报：三季报出炉 纺服普遍低预期 美妆整体符合预期,新浪
202,2021-11-01,华熙生物(688363.SH)：向133名激励对象授予96万股限制性股票,格隆汇
203,2021-11-01,财信证券：给予华熙生物买入评级，目标价位271.9元,证券之星
204,2021-11-01,财信证券维持华熙生物推荐评级：营收维持高增，利润短期承压，坚持长期看好,每日经济新闻
205,2021-11-01,华熙生物(688363.SH)向激励对象授予96万股限制性股票 授予价为116元/股,智通财经
206,2021-11-01,国货群星闪耀时，讲述者成为共创人,财经网
207,2021-11-01,A股早报2021年11月1日星期一,Wind
208,2021-11-01,私募大佬放大招！看邓晓峰、冯柳、裘国根等最新持仓,Wind
209,2021-11-01,Q3行情结束，医药板块进入估值切换长周【东吴医药朱国广团队】,国广有话说
210,2021-10-31,【纺织服装】每周策略20211101：三季报制造强于品牌，双十一预售龙头表现突出,时尚消费志
211,2021-10-30,181股获买入评级 最新:白云机场,中财网
212,2021-10-30,华熙生物(688363)：战略性前置投入影响利润 4Q电商旺季功能性护肤品有望持续高增长,新浪
213,2021-10-29,A股共发生170宗大宗交易成交31.21亿元（10月29日）,Wind
214,2021-10-29,"华熙生物现1笔大宗交易 共成交22,045.50万元",新浪
215,2021-10-29,一文看清大消费行业七大赛道龙头股,Wind
216,2021-10-29,华熙生物今日大宗交易成交150万股，成交价146.97元折价11.46%,Wind
217,2021-10-29,“神奇”的合成生物学与华熙生物的产学研实践,凤凰网
218,2021-10-29,QFII投资路径曝光：布局龙头，青睐科技+成长,Wind
219,2021-10-29,A股资金流向：主线和题材共振反弹，宁王、隆基联手爆发,Wind
220,2021-10-29,西部证券给予华熙生物买入评级：战略持续推进，多元化布局未来,每日经济新闻
221,2021-10-28,在李佳琦的直播间里，看不到华熙生物的未来,和讯
222,2021-10-28,最高预售量69万+，双十一国牌美妆大卖，背后受益公司是谁？,Wind
223,2021-10-28,A股资金流向：周期股下挫，新能源板块出现剧烈分歧,Wind
224,2021-10-28,受高额营销费拖累，华熙生物三季度净利增速放缓至14％ 盈利能力下降,36氪
225,2021-10-28,业绩快报 | 受高额营销费拖累，华熙生物三季度净利增速放缓至14%,36氪
226,2021-10-28,信达证券维持华熙生物买入评级：功能性化妆品持续高增，原料业务加速,每日经济新闻
227,2021-10-28,信达证券：给予华熙生物评级,证券之星
228,2021-10-28,国元证券维持华熙生物买入评级：收入持续高速增长，四大业务板块协同发展,每日经济新闻
229,2021-10-28,东吴证券维持华熙生物买入评级：营收保持高增，功能性护肤主要品牌费用率趋于改善,每日经济新闻
230,2021-10-28,华熙生物前三季度1.92亿元研发费用，传递出什么关键信息？,观察者网
231,2021-10-28,东方财富证券维持华熙生物增持评级，2021年三季报点评：功能护肤品收入大幅增长,每日经济新闻
232,2021-10-28,华熙生物（688363）：前端运营良好，费用侵蚀业绩，长逻辑不变,中信证券研究
233,2021-10-28,安信研究|晨会在线20211028,安信证券研究
234,2021-10-28,东方财富证券：给予华熙生物增持评级,证券之星
235,2021-10-28,华熙生物(688363)2021年三季报点评：收入稳健高增 前期建设投入影响短期利润表现,新浪
236,2021-10-27,华熙生物(688363)：业绩整体符合预期 功能性护肤品表现持续亮眼,新浪
237,2021-10-27,快讯 | 华熙生物Q3营收增长65.69%至10.76亿元,财经网
238,2021-10-27,国盛证券给予华熙生物买入评级，战略性投入持续加码，巩固医美护肤品牌力,每日经济新闻
239,2021-10-27,和讯SGI公司|华熙生物股价腰折，“玻尿酸之王”头衔正摇摇欲坠？,和讯
240,2021-10-27,熙选溯源华熙生物 成新消费领域商机,凤凰网
241,2021-10-27,安信证券：给予华熙生物买入评级，目标价位204.0元,证券之星
242,2021-10-27,华熙生物（688363）2021年三季报点评：C端占比提升，持续新品孵化,华创悦享现代生活
243,2021-10-27,安信证券维持华熙生物买入评级，华熙生物2021Q3点评：前三季度收入增长超88%，公司战略稳步推进,每日经济新闻
244,2021-10-27,联合丽格携手华熙生物开启“医美正品承诺”行动 ——不忘初心，健康变美,凤凰网
245,2021-10-27,国金证券维持华熙生物买入评级：功能性护肤品持续增长，医美业务战略升级,每日经济新闻
246,2021-10-27,华熙生物(688363)：加大研发投入夯实壁垒 功能护肤维持高增,新浪
247,2021-10-27,华熙生物前三季度净利同比增长26.91%，销售费率继续上升,阿尔法工场
248,2021-10-27,【开源零售|华熙生物：前三季度收入同比+89%，功能性护肤品高速增长】,泽鹏商业观察
249,2021-10-27,东莞证券给予华熙生物推荐评级：功能性护肤品发力，业绩保持快速增长,每日经济新闻
250,2021-10-27,东莞证券：给予华熙生物买入评级,证券之星
251,2021-10-27,中信证券晨会,新浪
252,2021-10-27,社保基金三季度新进5只科创板股 增持1股,证券时报网
253,2021-10-27,【浙商医美】华熙生物：坚持长期主义，前三季度收入高增,纺服新消费马莉团队
254,2021-10-27,私募最新持仓：高瓴动作频频，2大百亿私募加仓茅台,Wind
255,2021-10-26,华熙生物三季度净利同比增长14.22%,北京商报
256,2021-10-26,华熙生物有序推进多元化发展 前三季度净利5.55亿元同比增长26.91%,证券日报网
257,2021-10-26,华熙生物：前三季度营收同比增长88.68%,中证网
258,2021-10-26,曾发奇葩研报尬吹“王总真是人中龙凤”翻车，他的基金你买吗？,和讯
259,2021-10-26,华熙生物公布三季报 前三季净利增加26.91%,新浪
260,2021-10-26,华熙生物第三季度净利同比增长14.22%,上证报
261,2021-10-26,图解华熙生物三季报：第三季度单季净利润同比增14.22%,证券之星
262,2021-10-26,践行长期主义 华熙生物第三季报营收、利润实现不俗双增长,凤凰网
263,2021-10-26,华熙生物(688363.SH)：第三季度净利增14.22%至1.95亿元,格隆汇
264,2021-10-26,成绩单！华熙生物：2021年第三季度净利润约1.95亿元，同比增长14.22%,每日经济新闻
265,2021-10-26,华熙生物：第三季度净利1.95亿元 同比增长14%,财联社
266,2021-10-26,华熙生物：三季度净利润1.95亿元，同比增长14.22%,36氪
267,2021-10-26,华熙生物：第三季度净利润同比增长14.22%,Wind
268,2021-10-26,华熙生物：前三季度净利润同比增长26.91%,Wind
269,2021-10-25,关注低估值、低位置血制品、消费医疗板块，重点推荐博雅生物、鱼跃医疗等!【东吴医药朱国广团队】,国广有话说
270,2021-10-25,2021年双十一化妆品预售情况点评：美妆持续高景气 国货崛起正当时,新浪
271,2021-10-25,第三届生物活性物高峰论坛成功举办，华熙生物携手江南大学打造行业顶级交流平台,凤凰网
272,2021-10-25,营销翻车销售费用上涨！玻尿酸龙头华熙生物如何走出“内卷”？,投资时报
273,2021-10-25,第三届生物活性物高峰论坛成功举办,科技日报
274,2021-10-25,商业贸易行业跟踪周报：双11预售数据跟踪：大促重心前移 国产品牌表现亮眼,新浪
275,2021-10-24,加速大健康产业融合发展 第三届生物活性物-功能食品与肠道皮肤大健康高峰论坛在济南举行,中国经济网
276,2021-10-23,双11：怎么卷 琦／娅战况几何 品牌如何抉择？,新浪
277,2021-10-23,华熙生物：产学研合作 推动大健康产业融合发展,中证网
278,2021-10-23,丝丽动能素水光针来源不明 艺星医美等涉嫌违规 其他违规处罚,新浪
279,2021-10-22,华熙生物现2笔大宗交易 共成交931.56万元,新浪
280,2021-10-22,联合丽格携手华熙生物开启“医美正品承诺”：一键扫码 双重验真,中国网
281,2021-10-22,CAGR超15%的医美赛道：上游毛利率稳超85%，中游机构看龙头！,第一财经
282,2021-10-22,持续推ESG管理 结合公司日常运营,每日经济新闻
283,2021-10-21,化妆品行业双十一点评报告：双十一营销节奏再前置 薇诺娜预售表现亮眼,新浪
284,2021-10-21,润百颜是请了「劳斯莱斯」做营销吗？谁的锅？,36氪
285,2021-10-20,华熙生物大宗交易成交4653.00万元,证券时报网
286,2021-10-20,"华熙生物现1笔大宗交易 共成交4,653.00万元",新浪
287,2021-10-20,快讯：医美板块异动拉升 宜华健康涨停,新浪
288,2021-10-19,纺织服装行业：全国大范围降温有利冬装旺季销售开启,新浪
289,2021-10-19,纺织服装行业纺服及时尚消费品2021年9月天猫数据分析：珠宝板块表现亮眼 休闲服饰、童装等板块低迷,新浪
290,2021-10-19,解构华熙生物战略 步入发展快车道,钢企网
291,2021-10-19,华熙生物现1笔大宗交易 共成交900.94万元,新浪
292,2021-10-19,第三届生物活性物高峰论坛开幕在即 华熙生物携手江,凤凰网
293,2021-10-19,A股资金流向（10月19日）：消费、保险普反，新能源出现分化,Wind
294,2021-10-19,纺织服装行业10月第三周周报：9月纺织服装出口恢复增长 服装出口环比加速,新浪
295,2021-10-19,华熙生物双十一前夕营销“翻车” 半年销售费8.97亿同比增138.78%,长江商报
296,2021-10-18,华熙生物营销“翻车” 润百颜推广被指侮辱女性,证券之星
297,2021-10-18,华熙生物营销“翻车”后，股价盘中跌超9%,环球老虎财经
