,2021-12-31,中国CXO行业跟踪报告,周观宇论
64,2021-12-15,生物科技公司突然集体崩了，发生了什么？百济神州CFO火速澄清，药明康德紧急回应来了！,新浪
65,2021-12-15,生物科技公司集体大跌，药明生物跌超21%，康龙化成跌近17%,新浪
66,2021-12-15,港股异动 | 康龙化成(03759)尾盘大跌16% 北美地区业务收入占比达65% 盈利能力下降,智通财经
67,2021-12-15,A股收盘综述：药明康德闪崩跌停！百济神州首秀破发，中一签亏1.6万,Wind
68,2021-12-15,CXO概念暴跌，医疗ETF（512170）成交创新高，资金加速流入,Wind
69,2021-12-15,药明康德A股封住跌停板，主力净流出7亿元,Wind
70,2021-12-15,CXO概念尾盘放量跳水,Wind
71,2021-12-15,【行情】港股医药外包概念股集体走低，昭衍新药(06127.HK)跌8.4%，药明生物(02269.HK)跌超6%，泰格医药(03347.HK)跌超5%，康龙化成(03759.HK)跌3.36%,金十数据
72,2021-12-15,【异动股】康龙化成(03759.HK)跌3.22%,财华社
73,2021-12-14,FMR LLC减持康龙化成(03759)50.16万股，每股作价约145.37港元 减持股份,智通财经
74,2021-12-14,港股盘前必读：商汤集团延迟上市，中国移动发行不超过8.457亿股A股,Wind
75,2021-12-14,康龙化成遭FMR LLC减持50.16万股H股 减持股份,Wind
76,2021-12-13,【权益变动】康龙化成(03759.HK)被FMR LLC减持50.16万股 减持股份,财华社
77,2021-12-13,【异动股】康龙化成(03759.HK)跌3.39%,财华社
78,2021-12-11,制药板块吸“睛”不吸“金”，君实生物大涨，凯莱英H股上市首日破发「制药行业周榜」,华夏时报
79,2021-12-10,康龙化成(300759.SZ)：君联闻达及其一致行动人已累计减持3991.87万股 持股降至6.19% 减持股份,格隆汇
80,2021-12-10,康龙化成(03759)：君联闻达及君联茂林累计减持3991.87万股 减持股份,智通财经
81,2021-12-10,又见蓝筹尾盘异动！外资单周净买入488亿元创纪录，重拾“老白马”,Wind
82,2021-12-10,他是留美博士，今日，缔造近千亿市值IPO,36氪
83,2021-12-08,康龙化成：实控人质押16万股,Wind
84,2021-12-08,康龙化成(300759.SZ)实控人之一楼小强质押16万股,智通财经
85,2021-12-08,【港股通】康龙化成(03759)股东楼小强质押16万股股份,和讯
86,2021-12-08,康龙化成(03759.HK)实际控制人之一楼小强质押16万股公司股份,格隆汇
87,2021-12-08,康龙化成的管理水平和回报水平高吗？,搜狐
88,2021-12-08,"康龙化成现2笔大宗交易 共成交3,504.80万元",新浪
89,2021-12-08,康龙化成今日大宗交易成交20万股，成交价175.24元折价1.2%,Wind
90,2021-12-08,医药板块整体下行，相关主题基金密集发行,Wind
91,2021-12-07,医药行业2022年投资策略报告：政策扰动下分化加剧 战略性看好医药黄金赛道上的优质个股,新浪
92,2021-12-07,贝莱德减持康龙化成(03759)约38.81万股，每股作价约159.82港元 减持股份,智通财经
93,2021-12-07,【权益变动】康龙化成(03759.HK)被贝莱德减持38.8095万股 减持股份,财华社
94,2021-12-06,医药行业周报：医保谈判结果出炉 持续鼓励创新,新浪
95,2021-12-06,【异动股】康龙化成(03759.HK)跌5.63%,财华社
96,2021-12-06,2021年基金，买了个“寂寞”,Wind
97,2021-12-06,粤开策略深度 | 医药生物行业2022年展望：价值重鸣，创新为锋,粤开崇利论市
98,2021-12-05,医药行业周报：医保谈判尘埃落地 看好本土创新发力,新浪
99,2021-12-02,康龙化成(03759.HK)遭贝莱德减持38.81万股 减持股份,格隆汇
100,2021-12-02,九洲药业逾2亿元收购亏损药厂 转型CDMO需跟踪产能空间 亏损,投资者网
101,2021-12-01,"康龙化成现2笔大宗交易 共成交4,398.00万元",新浪
102,2021-12-01,康龙化成今日大宗交易成交25万股，成交价175.92元折价1.2%,Wind
103,2021-11-30,"康龙化成现2笔大宗交易 共成交4,485.75万元",新浪
104,2021-11-30,新股精要：国内领先的综合性CRO企业百诚医药,新浪
105,2021-11-29,医药行业周报：OMICRON成热议 CDMO和上游边际改善,新浪
106,2021-11-29,"康龙化成现2笔大宗交易 共成交4,589.00万元",新浪
107,2021-11-29,凯莱英赴港IPO：背后那起让高瓴资本很受伤的A股定增,中国经济网
108,2021-11-29,康龙化成今日大宗交易成交25万股，成交价183.56元折价1.2%,Wind
109,2021-11-29,医药生物行业2022年投资策略报告：返璞归真 迎接高质量发展,新浪
110,2021-11-29,医疗健康行业周报：政策密集出台 板块压力逐步释放,新浪
111,2021-11-26,康龙化成现2笔大宗交易 合计成交30.00万股,证券时报网
112,2021-11-26,"康龙化成现2笔大宗交易 共成交5,637.00万元",新浪
113,2021-11-26,康龙化成今日大宗交易成交30万股，成交价187.9元折价1.2%,Wind
114,2021-11-26,医疗健康：板块具备配置价值 关注创新国际化路线,新浪
115,2021-11-25,医药健康行业年度策略：溯源而上 掘金创新,新浪
116,2021-11-24,"康龙化成现2笔大宗交易 共成交3,623.60万元",新浪
117,2021-11-24,康龙化成今日大宗交易成交20万股，成交价181.18元折价1.2%,Wind
118,2021-11-24,CRO概念异动拉升 7只概念股获机构青睐,第一财经
119,2021-11-24,医药生物行业周报：CDE发布《以临床价值为导向的抗肿瘤药物临床研发指导原则》,新浪
120,2021-11-23,【热点报告——股指期货】2021年12月主要规模指数成分股调整预测及影响,东证衍生品研究院
121,2021-11-23,医药行业周报：持续看好优质创新与CXO龙头企业,新浪
122,2021-11-22,3年大涨7倍！遭高瓴减持后，千亿医药巨头赴港IPO 减持股份,深水财经社
123,2021-11-22,医疗健康：医保谈判结束 医药板块有所回暖,新浪
124,2021-11-21,医保谈判尘埃落定，布局医药蓝筹正当时！,红周刊
125,2021-11-19,【异动股】康龙化成(03759.HK)跌3.35%,财华社
126,2021-11-18,"康龙化成现2笔大宗交易 共成交2,741.55万元",新浪
127,2021-11-18,康龙化成今日大宗交易成交15万股，成交价182.77元折价1.2%,Wind
128,2021-11-17,"康龙化成现2笔大宗交易 共成交2,784.60万元",新浪
129,2021-11-17,CRO概念股集体走强 机构建议重点关注本土6龙头,和讯
130,2021-11-16,康龙化成今日大宗交易成交15万股，成交价188.22元折价1.2%,Wind
131,2021-11-16,"康龙化成现2笔大宗交易 共成交2,823.30万元",新浪
132,2021-11-16,医药生物行业：业绩确定性强 景气度可持续 持续看好CXO赛道,新浪
133,2021-11-16,千亿HPV龙头涨停！CXO全线大涨，医疗ETF（512170）放量劲升2.82%,Wind
134,2021-11-16,【异动股】康龙化成(03759.HK)涨3.41%,财华社
135,2021-11-16,CXO概念股集体飙涨 机构：赛道高景气度有望延续,第一财经
136,2021-11-15,医药生物行业跨市场周报：产业升级大幕升起 API板块性价比凸显,光大证券
137,2021-11-12,医药板块2021Q3分析暨11月月报：高基数下增速放缓 板块基本面仍旧强劲 把握配置窗口期,新浪
138,2021-11-12,【最全】2022年中国医药研发外包(CRO)行业上市公司全方位对比(附业务布局汇总、业绩对比、业务规划等),证券之星
139,2021-11-11,康龙化成（300759.SZ）：前端项目数超后端承接能力 根据车间投产情况补充生产人员,智通财经
140,2021-11-11,【异动股】康龙化成(03759.HK)跌3.19%,财华社
141,2021-11-11,【资金快报】165亿份，115亿元，两市规模最大医疗ETF（512170）续创规模新高！,资本邦
142,2021-11-11,中泰证券：CRO行业中长期高景气有望持续,第一财经
143,2021-11-10,每日理财观察: 盯紧北交所机遇，长线资金摩拳擦掌,Wind
144,2021-11-10,【干货】医药研发外包(CRO)行业产业链全景梳理及区域热力地图,证券之星
145,2021-11-10,原料药个股领涨医药板块，医保谈判集聚各方目光,Wind
146,2021-11-10,CXO不香了？医药板块突然爆发，昙花一现还是布局时机？,Wind
147,2021-11-09,金融街下午茶2021年11月9日星期二,Wind
148,2021-11-09,康龙化成(03759)：股东质押合计64万股,智通财经
149,2021-11-09,康龙化成(03759.HK)实控人及其一致行动人质押64万股,格隆汇
150,2021-11-09,康龍化成：实际控制人之一及其一致行动人质押64万股公司股份,Wind
151,2021-11-09,直击医保谈判首日：企业提前蹲点打听砍价幅度,Wind
152,2021-11-09,恒指收涨0.2%成交不足千亿，医药股强势反弹,Wind
153,2021-11-09,康龙化成：实际控制人之一楼小强及其一致行动人北京多泰合计质押64万股,每日经济新闻
154,2021-11-09,康龙化成、深信服涨超8%，科创创业ETF（588360）涨超1%,资本邦
155,2021-11-09,A股收盘综述：市场资金再度涌入半导体板块，碳中和题材强势依旧,Wind
156,2021-11-09,医药板块发力拉升，共同药业、拓新药业“20cm”涨停，康龙化成等走高,券商中国
157,2021-11-09,今日医药板块迎来反弹，多家药企涨超5%,制药网
158,2021-11-09,【异动股】康龙化成(03759.HK)涨6.85%,财华社
159,2021-11-09,康龙化成涨超9%CXO王者归来，医疗ETF（512170）量价齐升逼近0.7元整数关口,资本邦
160,2021-11-09,康龙化成上涨近8%，创新药ETF（159992）反弹上涨超1%,资本邦
161,2021-11-09,【干货】医药制造外包(CMO)行业产业链全景梳理及区域热力地图,前瞻研究院
162,2021-11-08,【异动股】康龙化成(03759.HK)跌5.61%,财华社
163,2021-11-06,预见2022：《2021年中国医药研发外包(CRO)行业全景图谱》(附市场现状、竞争格局和发展趋势等),证券之星
164,2021-11-05,【行情】港股医药外包板块再度下挫，康龙化成(03759.HK)跌5.3%，泰格医药(03347.HK)跌3.7%，药明生物(02269.HK)跌3.3%,金十数据
165,2021-11-05,创新药物和技术研发服务商佰翱得完成2亿人民币B轮融资,亿邦动力
166,2021-11-05,【异动股】康龙化成(03759.HK)跌3.36%,财华社
167,2021-11-05,【首发】冷冻电镜结构CRO平台“佰翱得”完成2亿元B轮融资，加速“千靶万苗”计划，赋能新药研发源头创新,动脉网
168,2021-11-05,医药行业：行业景气度延续,新浪
169,2021-11-04,【兴证医药】医药持仓比例历史低位，自下而上布局2022年-2021年11月投资月报,兴证医药健康
170,2021-11-03,康龙化成(300759)：业绩超预期 核心板块带动业绩增长,新浪
171,2021-11-02,国泰君安医药行业2021年11月投资策略暨三季报报总结：高基数和疫情反复影响增速放缓,新浪
172,2021-11-02,CXO景气度还在吗？,同写意
173,2021-11-02,创新公司评测室｜赛道空间巨大，国内CRO三家龙头企业技术发展简析,财联社
174,2021-11-02,【行情】港股药品股多数上扬，阿里健康(00241.HK)涨5.65%，和黄医药(00013.HK)涨5.32%，京东健康(06618.HK)涨3.6%，康龙化成(03759.HK)涨2.67%,金十数据
175,2021-11-01,康龙化成跌5.93% 海通证券昨刚给予优于大市评级,中国经济网
176,2021-11-01,恒指收跌0.88%录得5连跌，大市值医药保健龙头普跌,Wind
177,2021-11-01,【异动股】康龙化成(03759.HK)跌6.78%,财华社
178,2021-11-01,医疗ETF盘中“吸金”超2.2亿元，10月份额增长居股票ETF第一,Wind
179,2021-11-01,5000亿巨头闪崩，万亿宁王却创新高！极致行情上演,Wind
180,2021-10-31,东吴证券给予康龙化成买入评级：业绩符合我们预期，一体化平台下有望维持稳健高增长,每日经济新闻
181,2021-10-30,高瓴大规模抛售CXO：嗅到了什么危机？,格隆汇
182,2021-10-29,康龙化成(300759)：营收增长强劲 新业务成长空间大,西南证券
183,2021-10-29,港股异动 | 康龙化成(03759)再涨超5% 第三季度纯利同比增53.26% 环比增近49%,智通财经
184,2021-10-29,【异动股】康龙化成(03759.HK)涨5.2%,财华社
185,2021-10-28,浙商证券给予康龙化成买入评级：新业务投入加大，主业强劲，持续推荐！,每日经济新闻
186,2021-10-28,中泰证券给予康龙化成买入评级：主业增长提速，大分子及细胞基因治疗平台有望迎来高速成长期,每日经济新闻
187,2021-10-28,康龙化成(300759)：核心业务延续上半年增速 Q3表观业绩保持较快增长,新浪
188,2021-10-28,康龙化成2021财年前三财季净利10.40亿元，同比增长31.81%,资本邦
189,2021-10-28,[公司]经营稳健增长 康龙化成21Q3净利同比增逾五成至4.75亿元,全景网
190,2021-10-28,安信证券给予康龙化成买入评级：公司进入快速发展阶段，2021Q1-Q3业绩持续高增长,每日经济新闻
191,2021-10-28,康龙化成(300759)季报点评：三季报增长超预期 新业务成长可期,新浪
192,2021-10-28,信达证券发布康龙化成研报，公司点评报告：业绩超预期增长，新兴业务提供长期发展动能,每日经济新闻
193,2021-10-28,信达证券：给予康龙化成评级,证券之星
194,2021-10-28,港股异动 | 康龙化成(03759)AH股均涨超5% 第三季度纯利同比增53.26%至4.75亿元,智通财经
195,2021-10-28,【异动股】康龙化成(03759.HK)涨4.14%,财华社
196,2021-10-28,东莞证券：给予康龙化成买入评级,证券之星
197,2021-10-28,东莞证券维持康龙化成推荐评级，2021年三季报点评：各项业务均保持快增,每日经济新闻
198,2021-10-28,【AH互动】康龙化成(03759)AH齐上涨 三季度净利润同比增长53.26%,和讯
199,2021-10-28,康龙化成AH齐涨 第三季净利同比增53% 葛兰旗下基金加仓,格隆汇
200,2021-10-28,港股盘前必读：中国平安前三季度净利润816.38亿元同比下降20.8%,Wind
201,2021-10-27,康龙化成：前三财季盈利10.4亿人民币，同比增长31.81%,Wind
202,2021-10-27,康龙化成(300759.SZ)：第三季度净利升53.26%至4.75亿元,格隆汇
203,2021-10-27,康龙化成(03759)完成回购及注销约21.04万股限制性A股,智通财经
204,2021-10-27,康龙化成：订立经修订及经重述的有限合伙协议告,Wind
205,2021-10-27,康龙化成三季度净利增长53.26%，葛兰加仓995万股,阿尔法工场
206,2021-10-27,康龙化成：今日分别注销19.3万股、17340股,Wind
207,2021-10-27,图解康龙化成三季报：第三季度单季净利润同比增53.26%,证券之星
208,2021-10-27,康龙化成(03759.HK)完成回购及注销部分限制性A股股票,格隆汇
209,2021-10-27,康龙化成(03759.HK)：前三季净利10.4亿元 同比增长31.81%,格隆汇
210,2021-10-27,康龙化成：第三季净利同比增53% 葛兰旗下中欧医疗加仓,财联社
211,2021-10-27,康龙化成：前三季度净利同比增长31.81%,财联社
212,2021-10-27,康龙化成：第三季度净利润4.75亿元，同比增长53.26%,Wind
213,2021-10-27,康龙化成：前三季度净利润同比增长31.81%,Wind
214,2021-10-27,【异动股】康龙化成(03759.HK)跌3.33%,财华社
215,2021-10-27,依科赛生物完成B轮逾亿元人民币融资，倾力打造细胞培养中国芯,医麦客News
216,2021-10-26,干货！2021年中国医药研发外包(CRO)行业龙头企业分析——康龙化成：被低估的CRO龙头,证券之星
217,2021-10-25,干货！2021年中国医药研发外包(CRO)行业龙头企业对比：药明康德VS康龙化成 谁是中国CRO之王？,证券之星
218,2021-10-24,医药行业周报：基因测序在临床应用的瓶颈与未来,新浪
219,2021-10-22,药明康德、药明生物、泰格…中国CXO高增速的秘密,MedTrend医趋势
220,2021-10-22,干货！2021年中国医药制造外包(CMO)行业龙头企业对比：药明康德VS凯莱英 谁占据领先位置？,前瞻研究院
221,2021-10-22,融资客青睐6股，大秦铁路买入占比高达50.02%,Wind
222,2021-10-21,康龙化成：目前公司没有新冠疫苗业务，公司也没有参与新冠口服药的研发业务,每日经济新闻
223,2021-10-21,康龙化成：目前公司没有新冠疫苗业务,Wind
224,2021-10-21,干货！2021年中国医药研发外包(CRO)行业龙头企业分析——药明康德：行业中的“领军者”,前瞻研究院
225,2021-10-20,新药研发“一猴难求”？实验用猴身价暴涨至单价10万元,证券日报网
226,2021-10-20,【异动股】CRO板块下挫，阳光诺和(688621.CN)跌13.9%,财华社
227,2021-10-20,能源局发声：8万亿赛道飙升！煤炭股崩了：千亿巨头跌停,Wind
228,2021-10-20,CRO指数跌超4%，九洲药业跌停,Wind
229,2021-10-18,医药生物行业周报：疫苗加强针接种工作陆续开启 关注三季报业绩预期差投资机会,新浪
230,2021-10-18,医药行业周报：行业震荡回调 把握优质股配置机会,新浪
231,2021-10-18,医药生物行业周报：季度业绩波动该如何应对,新浪
232,2021-10-18,【异动股】康龙化成(03759.HK)涨4.02%,财华社
233,2021-10-18,医药生物行业周报：国家将深入推广福建省三明市医改经验,新浪
234,2021-10-18,医药生物行业跨市场周报：三季报业绩期来临 关注业绩与估值匹配的核心赛道,光大证券
235,2021-10-18,康龙化成产能迎来窗口期加速“一体化” 资本化介入大分子领域成果有待观察,投资者网
236,2021-10-16,医药行业周报：流通+中药反弹 重视“低估值+放量”逻辑,新浪
237,2021-10-15,康龙化成：10月27日召开董事会会议，审议三季度业绩,Wind
238,2021-10-15,康龙化成(03759.HK)10月27日举行董事会会议审批三季度业绩,格隆汇
239,2021-10-15,康龙化成：董事会会议将于10月27日举行，以审议第三季度业绩等事项,Wind
240,2021-10-12,【异动股】康龙化成(03759.HK)跌3.42%,财华社
241,2021-10-11,医美概念走弱抗疫板块坚挺，医疗ETF（512170）盘中净申购资金超3.1亿元,Wind
242,2021-10-11,【异动股】康龙化成(03759.HK)涨3.35%,财华社
243,2021-10-11,康龙化成：限电尚未对公司经营产生影响,每日经济新闻
244,2021-10-09,中金医药月度10+7组合：2021年10月组合,新浪
245,2021-10-08,【异动股】康龙化成(03759.HK)跌4.89%,财华社
246,2021-10-06,JPMorgan Chase & Co.增持康龙化成股份约19.33万股,每日经济新闻
247,2021-10-05,【权益变动】康龙化成(03759.HK)获摩根大通增持19.3259万股,财华社
248,2021-10-03,太震撼！一把狂赚1700倍！,中国基金报
249,2021-09-30,医药生物行业点评报告：《“十四五”全民医疗保障规划》发布 进一步推进医疗保障高质量发展,新浪
250,2021-09-29,北向资金结束连续3日净买入，宝钢股份净卖出额创新高,Wind
251,2021-09-29,【异动股】康龙化成(03759.HK)跌3.93%,财华社
252,2021-09-29,千倍回报神话出现，VC/PE在A股抛出超200亿套现计划,36氪
253,2021-09-29,35股受青睐，北向资金增持额超亿元,证券时报网
254,2021-09-28,【权益变动】康龙化成(03759.HK)获摩根大通增持52.3522万股,财华社
255,2021-09-28,创业板指涨超1%，迈瑞医疗、东方财富、泰格医药、康龙化成等走强,Wind
256,2021-09-27,医药生物行业周报：政策鼓励医疗器械国产替代 国产器械前景广阔,新浪
257,2021-09-27,中概股批量“回A”——这是最好的时代,Wind
258,2021-09-27,医药生物行业周报：确认政策底 行业迎来布局良机,新浪
259,2021-09-27,医药生物行业周报：从景气度、竞争力、外需逻辑看诺禾致源投资价值,新浪
260,2021-09-27,38股走势呈现慢牛特征，机构密集调研11股,Wind
261,2021-09-26,医药生物行业：绿色制药 遇上“限电”-“限电”政策对API及CDMO公司影响点评,新浪
262,2021-09-26,医药生物行业：海外新冠治疗药物有望Q4陆续获批 重点推荐相关CDMO标的,新浪
263,2021-09-26,临床CRO行业深度报告：中国临床CRO好时代来了？,新浪
264,2021-09-26,医药生物行业研究周报：从医疗服务价格调整看康复行业机会(第79篇),新浪
265,2021-09-26,医药行业周报：医保局回应种植牙问题 牙科集采会不会来？,新浪
266,2021-09-25,上市公司正负面新闻2021年9月25日星期六,Wind
267,2021-09-24,晚间重要公告2021年9月24日星期五,Wind
268,2021-09-24,康龙化成(03759)股东君联闻达及一致行动人君联茂林拟合计减持不超过2383.16万股 拟减持股份,智通财经
269,2021-09-24,康龙化成(03759.HK)：股东君联闻达及其一致行动人拟减持不超3.00%股份 拟减持股份,格隆汇
270,2021-09-24,康龙化成(300759.SZ)股东君联闻达及其一致行动人拟合计减持不超3%股份 拟减持股份,智通财经
271,2021-09-24,康龙化成：两股东拟合计减持不超3%公司股份 拟减持股份,财联社
272,2021-09-24,康龙化成：君联闻达、君联茂林拟合计减持不超3%股份 拟减持股份,Wind
273,2021-09-23,康龍化成：君联闻达及其一致行动人减持届满，合计减持1998.6万股 减持股份,Wind
274,2021-09-23,康龙化成(300759.SZ)股东君联闻达和君联茂林合计减持1998.64万股 减持期满 减持股份,智通财经
275,2021-09-23,康龙化成：股东君联闻达、君联茂林减持1999万股，减持计划完成,每日经济新闻
276,2021-09-23,康龙化成：君联闻达及一致行动人累计减持2.52%股份，减持计划届满 拟减持股份,Wind
277,2021-09-23,康龙化成(03759.HK)获摩根大通增持52.35万股,格隆汇
278,2021-09-22,医药生物行业周报：人工关节拟中选结果好于预期 市场紧张情绪得到缓解,新浪
279,2021-09-22,医药生物行业周报：把握景气度持续向上板块和个股估值修复机会,新浪
280,2021-09-21,小摩减持康龙化成(03759)约16.81万股，每股作价约177.49港元 减持股份,智通财经
281,2021-09-21,“科技型红筹”境内上市扩容，红筹回A迎来加速期,第一财经
282,2021-09-21,【权益变动】康龙化成(03759.HK)被摩根大通减持16.806万股 减持股份,财华社
283,2021-09-21,JPMorgan Chase & Co.减持康龙化成股份约16.81万股 减持股份,每日经济新闻
284,2021-09-21,JPMorgan Chase & Co.增持康龙化成股份约23.60万股,每日经济新闻
285,2021-09-20,【权益变动】康龙化成(03759.HK)获摩根大通增持23.6014万股,财华社
286,2021-09-17,康龙化成(03759)：宁波龙泰康投资管理质押8.5万股A股股份,智通财经
287,2021-09-17,康龙化成：股东股份质押,Wind
288,2021-09-17,康龙化成：实控人的一致行动人质押8.5万股公司股份,Wind
289,2021-09-17,康龙化成(300759.SZ)实控人的一致行动人龙泰康投资质押8.5万股,智通财经
290,2021-09-17,【异动股】康龙化成(03759.HK)涨3.72%,财华社
291,2021-09-16,医药生物行业研究周报：当前阶段医药行情的主要矛盾及化解,新浪
292,2021-09-16,干货！发改委发布会：保供稳价、粮食安全、猪肉收储,Wind
293,2021-09-15,医药生物2021H1分析：景气高涨 边际提速 未来仍是星辰大海,新浪
294,2021-09-14,海通证券：予康龙化成(300759.SZ)“优于大市”评级 目标价197.6-209.95元,智通财经
295,2021-09-14,【异动股】康龙化成(03759.HK)涨5.26%,财华社
296,2021-09-14,解盘：资源股强势，锂电池、华为、宁德时代、网络安全领涨,Wind
297,2021-09-14,CXO景气度提升，康龙化成涨超3%，恒生医疗ETF（513060）高开高走,资本邦
298,2021-09-13,医药生物行业中报透视CXO：板块增长强劲 边际变化持续向好,新浪
299,2021-09-10,康龙化成(300759.SZ)参投私募股权投资基金完成备案登记,智通财经
300,2021-09-10,信达证券：康龙化成(300759.SZ)主营业务强劲增长 规模优势拉升运营效率,智通财经
301,2021-09-10,医药生物行业：CXO板块2021中报业绩总结：边际加速 看好CDMO,新浪
302,2021-09-10,医药业周报：从“PB-ROE” 医药投资“性价比”已现,新浪
