,2021-12-29,北向资金年末交投持续低迷净买入逾6亿元，连续4日加仓宁德时代累计扫货超20亿,Wind
44,2021-10-15,君正集团：公司自有煤炭产量不能满足公司生产需求，部分需外购,每日经济新闻
45,2021-10-15,君正集团：2020年度公司生产一吨PVC约耗用220-300度电,每日经济新闻
46,2021-10-11,君正集团：公司自备电厂的电力生产平稳有序运行，可基本满足公司生产需求，煤炭价格的上涨对公司发电成本有较大影响,每日经济新闻
47,2021-10-11,君正集团：公司拥有的自备电厂装机容量为1160MW，目前公司自备电厂电力生产平稳有序运行，且可基本满足公司生产需求,每日经济新闻
48,2021-10-11,君正集团：公司生产电石所用的炭材有兰炭和焦粒，生产一吨电石平均消耗炭材为0.8吨左右,每日经济新闻
49,2021-10-11,君正集团：公司拥有的自备电厂装机容量为1160MW,Wind
50,2021-10-11,君正集团：2020年度公司硅铁产品能耗平均约为8400度/吨左右,Wind
51,2021-10-11,君正集团：公司目前拥有年产90万吨煤炭的生产规模,Wind
52,2021-10-11,君正集团：公司目前持有华泰保险股权7.05%,Wind
53,2021-10-11,君正集团：公司目前拥有年产90万吨煤炭的生产规模,财联社
54,2021-10-11,君正集团：公司目前拥有年产90万吨煤炭的生产规模,格隆汇
55,2021-10-11,君正集团：公司目前煤炭产能没有变化,Wind
56,2021-10-11,君正集团：公司目前煤炭产能没有变化,每日经济新闻
57,2021-10-07,邓晓峰、赵诣、冯明远调研这些公司,Wind
58,2021-09-27,君正集团两连阴 前十流通股东私募青骓投资占3席,中国经济网
59,2021-09-24,消费股登场，4000亿酱茅涨停！化工股却批量跌停,Wind
60,2021-09-24,君正集团：公司产品硅铁产能为30万吨/年,Wind
61,2021-09-24,君正集团：公司白音乌素煤矿目前停产，黑龙贵煤矿生产正常 经营问题,每日经济新闻
62,2021-09-24,君正集团：公司目前生产经营均正常，烧碱产品的产能为55万吨/年,每日经济新闻
63,2021-09-24,融资客青睐3股，捷强装备买入占比高达41.99%,Wind
64,2021-09-23,"君正集团：公司产品均符合国家单位产品能耗限额标准,不存在被压减的情况",每日经济新闻
65,2021-09-23,君正集团：公司全资子公司上海君正物流船运业务主要是为大型化工企业提供液体能源化工产品的船舶运输服务，今年上半年运价有所上涨但幅度不大,每日经济新闻
66,2021-09-23,君正集团：2021年上半年主要产品销售量同比略有上升,每日经济新闻
67,2021-09-23,君正集团：公司自备电厂的电力生产平稳有序运行，可基本满足公司生产需求,每日经济新闻
68,2021-09-23,君正集团：公司拥有电石产能115万吨/年、水泥熟料产能135万吨/年,Wind
69,2021-09-23,君正集团：公司产品硅铁产能为30万吨/年,Wind
70,2021-09-23,君正集团：上半年公司产品硅铁销售价格与去年同期相比有所上升,Wind
71,2021-09-23,君正集团：目前公司拥有年产300万吨石灰石生产规模和年产90万吨煤炭生产规模,Wind
72,2021-09-22,天然气价格或维持高位震荡，行业有望迎来量价齐升,第一财经
73,2021-09-18,君正集团百亿投资为绿色生态高质量发展付诸行动,质量新闻网
74,2021-09-16,可降解塑料板块爆发，华信新材、天元股份率先涨停,Wind
75,2021-09-14,君正集团三连阴 前十流通股东私募青骓投资占3席,中国经济网
76,2021-09-13,化工行业周报：为资源再定价 关注资源化的化工品赛道,新浪
77,2021-09-13,君正集团：控股股东杜江涛累计质押股份约13.22亿股,每日经济新闻
78,2021-09-11,2大政策发布！A股3700之后怎么走？3大数据值得注意,Wind
79,2021-09-10,君正集团：公司主要产品不涉及氢能,每日经济新闻
80,2021-09-10,君正集团：公司主营业务不涉及纯碱类产品,每日经济新闻
81,2021-09-10,沪指站上3700点！本周两融、北上资金流入500亿元,Wind
82,2021-09-09,涨停板解密：政策利好，钢铁股火爆上攻！（9月9日）,Wind
83,2021-09-09,A股资金流向（9月9日）：资源股炒作进入高潮期，铜、黄金挖掘补涨,Wind
84,2021-09-08,行业观察|PVC价格创历史新高 业内人士：头部企业满负荷生产，下半年利润可观,财联社
85,2021-09-08,65亿主力资金近三日杀入互联网金融概念股,证券时报网
86,2021-09-08,71股主力资金净流入超亿元,证券时报网
87,2021-09-08,中泰化学涨停，化工龙头ETF(516220)盘中涨超1.00%,资本邦
88,2021-09-08,中泰化学涨停嘉化能源涨近10% 化工龙头ETF盘中涨超1%,资本邦
89,2021-09-08,9月8日午盘主力巨资抢筹四大板块(附股),金融界
90,2021-09-08,9月8日午盘两市机构大单抢筹40股(名单),金融界
91,2021-09-08,9月8日早盘两市机构大单抢筹40股(名单),金融界
92,2021-09-08,9月8日早盘两市净流入前20股(名单),金融界
93,2021-09-08,【最全】2021年PVC行业上市公司全方位对比(附业务布局汇总、业绩对比、业务规划等),证券之星
94,2021-09-08,电石资源属性加强 迎来氯、碱双旺行情,财富动力网
95,2021-09-06,君正集团：公司电石产能为115万吨/年,Wind
96,2021-09-06,君正集团：公司电石产能为115万吨/年,每日经济新闻
97,2021-09-06,君正集团：公司拟投资建设绿色环保可降解塑料循环产业一期项目目前正在积极履行行政主管部门的审批程序,每日经济新闻
98,2021-09-06,君正集团(601216.SH)终止珠海奥森认购博晖创新非公开发行股份相关事项 并购重组异常,智通财经
99,2021-09-06,君正集团：子公司终止认购博晖创新股份事项 并购重组异常,财联社
100,2021-09-06,9月6日午盘主力巨资抢筹四大板块(附股),金融界
101,2021-09-06,9月6日午盘两市机构大单抛盘40股(名单),金融界
102,2021-09-06,9月6日早盘两市机构大单抛盘40股(名单),金融界
103,2021-09-03,君正集团：控股股东部分股份解除质押,每日经济新闻
104,2021-09-03,君正集团(601216.SH)控股股东杜江涛解除质押2.31亿股,智通财经
105,2021-09-03,隆道商城中标内蒙古君正集团超市商城项目,凤凰网
106,2021-09-02,天弘余额宝规模跌破8000亿元，6月刚刚新增2位基金经理,AI财经社
107,2021-09-01,【天风新材料20210901】华峰3万吨PBAT装置产出产品,煤炭鑫观点
108,2021-09-01,君正集团：控股股东杜江涛累计质押股份约15.53亿股,每日经济新闻
109,2021-09-01,君正集团：第二大股东君正科技质押1.6亿股,财联社
110,2021-09-01,化工行业周报：继续推荐氯碱行业 长周期景气电石+纯碱 中级别上行烧碱,新浪
111,2021-08-31,8月31日午盘两市机构大单抢筹40股(名单),金融界
112,2021-08-31,8月31日早盘两市机构大单抢筹40股(名单),金融界
113,2021-08-31,快讯：水泥板块全线走高,财联社
114,2021-08-31,最近5个交易日融资买入,投资快报
115,2021-08-30,君正集团：公司主要产品不涉及氢能,Wind
116,2021-08-30,高光时刻！8家公募半年净利超十亿，信达证券：券商估值与业绩、资产质量不匹配,资本邦
117,2021-08-29,基金公司盈利能力摸底：半年赚10亿成头部机构入围门槛,第一财经
118,2021-08-28,2只可降解塑料概念股创下历史新高 超七成业绩预喜,第一财经
119,2021-08-28,工信部力挺，可降解塑料迎大利好！概念龙头业绩暴增（附名单）,证券时报网
120,2021-08-28,天弘基金净利润暴跌25％：余额宝跌入5年来最低谷 盈利能力下降,快科技
121,2021-08-28,公募上半年成绩单出炉！易方达、汇添富等7家赚超10亿,Wind
122,2021-08-27,天弘基金、华夏基金2021年上半年净利润均超10亿元,金融界
123,2021-08-27,8月27日午盘两市机构大单抛盘40股(名单),金融界
124,2021-08-27,快讯｜乌海银行上半年净利润2360万元,财经网
125,2021-08-27,快讯｜天弘基金2021年上半年净利润10.21亿 同比下滑25.26% 盈利能力下降,财经网
126,2021-08-27,每日理财观察：银保监会进一步完善财产保险公司产品监管制度,Wind
127,2021-08-27,财闻点金：新《安全生产法》下月起正式施行,巨丰财经
128,2021-08-27,A股头条：国内期货夜盘黑色系领跌；美股结束五连涨；工信部组织召开座谈会支持新能源汽车加快发展,金融界
129,2021-08-26,公募基金半年报陆续出炉：富国基金上半年净利12亿暂列第一,澎湃新闻
130,2021-08-26,【天风新材料20210826】工信部：推动可降解塑料的广泛应用，支持降解国标制修订,煤炭鑫观点
131,2021-08-26,A股头条之上市公司（8.27）,金融界
132,2021-08-26,君正集团公布半年报 上半年净利增加68.62%,新浪
133,2021-08-26,天弘基金上半年实现净利10.21亿元,中证网
134,2021-08-26,君正集团：2021年半年度净利润约22.34亿元，同比增加68.62%,每日经济新闻
135,2021-08-26,君正集团半年报：半年度净利润22.34亿元 同比增长69%,财联社
136,2021-08-26,君正集团(601216.SH)半年度净利润22.34亿元 同比增长68.62%,格隆汇
137,2021-08-26,君正集团(601216.SH)上半年归母净利润同比增68.62%至22.34亿元,智通财经
138,2021-08-26,君正集团：上半年净利润同比增长68.62%,Wind
139,2021-08-26,天弘基金上半年实现净利润10.21亿元,Wind
140,2021-08-26,8月26日午盘两市机构大单抛盘40股(名单),金融界
141,2021-08-26,8月26日早盘两市机构大单抛盘40股(名单),金融界
142,2021-08-26,A股早报2021年8月26日星期四,Wind
143,2021-08-26,业绩翻倍+低估值+滞涨股出炉！北上资金扫货8股,Wind
144,2021-08-25,26股特大单净流入资金超2亿元,证券时报网
145,2021-08-25,有机硅龙头暴涨6倍！预增王是它 业绩翻倍+低估值+滞涨股名单出炉,中财网
146,2021-08-25,数据复盘｜隆基股份、五粮液获主力资金加仓 北向资金连续3日净流入,证券时报网
147,2021-08-25,有机硅龙头暴涨6倍，市值突破2000亿！业绩预增王是它，业绩翻倍+低估值+滞涨股出炉，北上资金扫货8股,证券时报网
148,2021-08-25,【主力资金】意外，主力紧急出逃工程机械龙头超20亿元,搜狐
149,2021-08-25,8月25日主力资金净流出196亿元,证券时报网
150,2021-08-25,【焦点复盘】中报行情接近尾声，风格转向题材，“专精特新”为市场暗线,财联社
151,2021-08-25,涨停板解密：资金青睐，有色、化工股连续爆发！（8月25日）,Wind
152,2021-08-25,A股资金流向（8月25日）：光伏龙头获青睐，三一重工遭大幅抛售,Wind
153,2021-08-25,涨停股复盘：13股封单超亿元,证券时报网
154,2021-08-25,8月25日复盘：中报行情接近尾声 主力资金出击10股,新浪
155,2021-08-25,巨丰资金流向：市场再现震荡反弹 白酒股继续受主力追捧！,巨丰财经
156,2021-08-25,8月25日午后主力巨资抢筹四大板块(附股),金融界
157,2021-08-25,可降解塑料概念股走高 君正集团、联泓新科涨停,e公司
158,2021-08-25,快讯：可降解塑料概念股午后大幅走高,财联社
159,2021-08-25,8月25日早盘两市机构大单抢筹40股(名单),金融界
160,2021-08-24,共同富裕在扶智，捐资助学不能光靠国家,钢企网
161,2021-08-23,君正集团杜江涛又捐3.5亿，助力共同富裕,凤凰网
162,2021-08-23,化工行业周报：纯碱价格继续走高 看好工业硅+电石+纯碱三大景气赛道,新浪
163,2021-08-23,8月23日午盘主力巨资抢筹四大板块(附股),金融界
164,2021-08-23,8月23日午盘两市机构大单抢筹40股(名单),金融界
165,2021-08-23,8月23日早盘主力巨资抢筹四大板块(附股),金融界
166,2021-08-23,8月23日早盘两市机构大单抢筹40股(名单),金融界
167,2021-08-17,君正集团：一季度现金流量同比减少主因系缴纳各项税费增加,Wind
168,2021-08-11,氢能源概念持续拉升，工信部将制定氢能发展战略丨牛熊眼,第一财经
169,2021-08-10,国家层面规划循环经济发展，A股多家公司着手布局,新浪
170,2021-08-09,华为提高年底鸿蒙目标用户数至4亿，硅铁价格持续上行丨明日主题前瞻,第一财经
171,2021-08-06,君正集团：公司目前生产经营一切正常，亦不存在应披露而未披露的信息,每日经济新闻
172,2021-08-05,君正集团：公司与北京君正没有任何关系,每日经济新闻
173,2021-08-05,君正集团：公司拟投资建设的绿色环保可降解塑料循环产业一期项目计划投资总额为207亿元,Wind
174,2021-08-05,博晖创新拟4.6亿元买实控人资产，标的公司净利润下滑 盈利能力下降,产业经济新闻网
175,2021-08-04,万亿级基金掌门人完成更迭，韩歆毅出任天弘基金董事长,奥一网
176,2021-08-04,[路演]君正集团：正研究探索引入清洁能源替代生产装置传统能源的可行性,全景网
177,2021-08-04,阿里系老将履新掌门人，天弘基金如何迈向“后余额宝时代”？,Wind
178,2021-08-04,"万亿基金巨头换帅！阿里系老将履新掌门人，天弘基金如何迈向""后余额宝时代""？ 董监高成员变化",券商中国
179,2021-08-01,【国君金工】预期扰动下，市场看到了什么?,微信
180,2021-07-23,A股资金流向（7月23日）：市场情绪低迷，白酒、医药股遭大幅抛售,Wind
181,2021-07-23,下游需求旺盛 烧碱价格走出底部区间,证券时报网
182,2021-07-23,烧碱价格走出底部区间，北上资金加仓7股,Wind
183,2021-07-23,烧碱价格走出底部区间 北上资金加仓7股,证券时报
184,2021-07-22,下游库存需求旺盛，超九成烧碱概念股业绩有望翻倍,证券之星
185,2021-07-22,烧碱价格走出低谷 超九成概念股业绩有望翻倍,网易
186,2021-07-22,龙头刚刚涨停！化工重要原料走出低谷，下游氧化铝需求旺盛，价格持续上涨，超九成概念股业绩有望翻倍,证券时报网
187,2021-07-19,看料炒股—看原材料涨跌，炒股票！（2021年7月19日）,生意社
188,2021-07-16,生物疫苗概念股近三日最受主力资金青睐,证券时报网
189,2021-07-11,内蒙古区域股市周报：露天煤业跌出板块市值9强 *ST西水股价涨幅最大,每日经济新闻
190,2021-07-10,本周97家A股公司购买143.46亿元理财产品，君正集团买入最多,每日经济新闻
191,2021-07-08,33+险企遭减持或清仓！保险被抛弃，还是保险抛弃了你？,和讯
192,2021-07-08,行业观察|“禁塑令”让可降解材料迎机遇，引上市公司纷纷布局，业内人士：行业规模或超800亿元,证券之星
193,2021-07-05,【最全】2021年干式变压器行业上市公司全方位对比(附业务布局、业绩对比、业务规划等),前瞻研究院
194,2021-06-30,解密主力资金出逃股连续5日净流出597股,证券时报网
195,2021-06-30,干式变压器产业产业链全景梳理及区域热力地图,ZAKER
196,2021-06-28,内蒙古区域股市周报：总市值全国排名被江西超越 北方稀土市值缩水最多 连续下跌,每日经济新闻
197,2021-06-26,47.74亿元主力资金本周撤离化工板块,证券时报网
198,2021-06-24,0625日报/恒力石化拟投111.25亿元建年产80万吨功能性聚酯薄膜、功能性塑料项目【东北基础化工】,东北基础化工
199,2021-06-24,【天风新材料20210624】君正集团拟投207亿押宝降解产业 一期100万吨降解项目签约,煤炭鑫观点
200,2021-06-23,广受认可，君正集团连获乌海市委、市政府三大奖项,国际能源网
201,2021-06-22,今日股市复盘总结 6月22日股市复盘行情,至诚财经
202,2021-06-22,【每日收评】三峡能源连续4日加速涨停，创造历史！近端次新表现抢眼N铁建重触及二次临停,财联社
203,2021-06-21,看料炒股—看原材料涨跌，炒股票！（2021年6月21日）,生意社
204,2021-06-14,【最全】2021年木塑复合材料产业上市公司全方位对比(附业务布局、业绩对比、业务规划等),前瞻研究院
205,2021-06-11,君正集团：控股股东杜江涛解除质押1.1亿股,每日经济新闻
206,2021-06-10,君正集团(601216.SH)：控股股东解质1.1亿股,格隆汇
207,2021-06-10,内蒙古区域股市周报：伊利股份市值缩水最多 君正集团迎三类“热钱”流入 连续下跌,每日经济新闻
208,2021-06-10,87只股即将实施分红（名单）,证券时报网
209,2021-06-09,君正集团：公司产品以国内销售为主，仅有很少量的产品出口,每日经济新闻
210,2021-06-08,天弘余额宝规模跌破万亿元,广州日报
211,2021-06-05,55.07亿资金本周流出化工股,证券时报网
212,2021-06-04,万亿天弘基金换帅，蚂蚁系胡晓明离任，总经理郭树强代任 董监高成员变化,21世纪经济报道
213,2021-06-04,内蒙古区域股市周报：总市值全国排名被江西超越 伊利股份市值增长最多,每日经济新闻
214,2021-06-03,君正集团(601216.SH)：2020年度拟10派3元6月10日股权登记,格隆汇
215,2021-06-03,君正集团(601216.SH)每股派0.3元 股权登记日为6月10日,智通财经
216,2021-06-02,【金工】2021年6月A股重点宽基指数样本股调整名单——权益事件点评,渤海证券研究
217,2021-05-31,华恒生物2020年度分配预案：拟10派3.37元,证券时报网
218,2021-05-29,内蒙古区域股市周报：大中矿业市值增长最多 东宝生物股价跌幅最大,每日经济新闻
219,2021-05-28,从“限塑令”到“禁塑令” 可降解塑料前景可期,证券日报网
220,2021-05-28,氢能源股票的龙头是什么股？氢能源上市公司有哪些？,至诚财经
221,2021-05-27,概念股盘点：可降解塑料政策利好频发金发科技强势拉升,时代周报
222,2021-05-26,万亿板块迎重磅利好 绩优滞涨+低市盈率概念股(名单),新浪
223,2021-05-26,24万股民踩雷，4家公司同日终止上市！万亿板块迎重磅利好，绩优滞涨+低市盈率概念股请收藏 退市,证券时报
224,2021-05-24,解密主力资金出逃股连续5日净流出466股,证券时报网
225,2021-05-22,可降解塑料投资“疯狂” 总规划产能远大于需求,新浪
226,2021-05-21,解密主力资金出逃股连续5日净流出535股,证券时报网
227,2021-05-20,解密主力资金出逃股连续5日净流出500股,证券时报网
228,2021-05-19,解密主力资金出逃股连续5日净流出477股,证券时报网
229,2021-05-19,申港证券--从高景气二级行业出发选股：优化四维度连续景气综合打分系统找出最景气的申万二级行业【投资策略】,金融界股吧
230,2021-05-19,首创证券--化工行业简评报告：PVC价格创历史新高，景气周期有望持续【行业研究】,金融界股吧
231,2021-05-17,看料炒股—看原材料涨跌，炒股票！（2021年5月17日）,生意社
232,2021-05-13,3-5月份再生塑料行业相关事件解析,新浪
233,2021-05-10,一纸“限塑令”引发疯狂的产能大跃进，造纸和塑料行业身陷诅咒,印刷包装网
234,2021-05-10,期货连涨三天带动现货走高，原材料上涨成价格强支撑，九成概念股一季报利润大增,证券时报网
235,2021-05-10,生物疫苗概念拉升走高 东方嘉盛、复星医药涨停,中国经济网
236,2021-05-09,又追风口！君正集团豪掷207亿建可降塑料项目，资金来源和盈利预期待解,国际金融报
237,2021-05-07,【天风新材料20210507】工信部公示2020年度重点新材料首批次应用保险补偿试点工作拟补助项目,煤炭鑫观点
238,2021-05-07,200亿！内蒙古首富杜江涛，突然盯上这个行业,搜狐
239,2021-05-07,2020年盈利不到50亿，君正集团却拟207亿押宝可降解行业,资本邦
240,2021-05-07,财闻点金： 生态环境部加强氢氟碳化物等非二氧化碳温室气体控制,巨丰财经
241,2021-05-07,A股异动丨君正集团(601216.SH)大涨8.45%子公司拟投资建设绿色环保可降解塑料循环产业一期项目,格隆汇
242,2021-05-07,多家巨头杀入，千亿风口蓄势待发？,Wind
243,2021-05-07,最新！8家公司公告迎利好可关注,中财网
244,2021-05-07,A股早报2021年5月7日星期五,Wind
245,2021-05-07,华创事件驱动早报5-7：我国将提高粮食安全保障能力；中澳无限期暂停战略经济对话,华创证券研究
246,2021-05-07,净利不到50亿的君正集团狂砸207亿押宝可降解塑料 盈利能力下降,新浪
247,2021-05-07,安纳达计划上调钛白粉销售价格 多公司解除风险警示,巨丰财经
248,2021-05-07,多地加快落实“禁塑令” 巨头逐鹿可降解塑料市场,证券时报网
249,2021-05-07,四大报精华摘要：上市银行一季度业绩回暖明显,证券日报网
250,2021-05-07,财经早茶∣“跨境理财通”试点征求意见，个人投资额度100万元；深圳楼市调控现新信号,证券时报网
251,2021-05-07,总投资207亿元 君正集团拟建可降解塑料项目,上证报
252,2021-05-07,巨头逐鹿可降解塑料市场 君正集团拟重资出击,全景网
253,2021-05-07,深夜炸锅！490亿上市公司大动作，拟投资200多亿押宝这个产业，38万股东不淡定了，网友：“已涨停板挂单”,每日经济新闻
254,2021-05-06,5月7日上市公司重要公告集锦：君正集团拟207亿元投建可降解塑料项目,证券日报之声
255,2021-05-06,公告精选：赣锋锂业拟要约收购海外锂项目公司；金浦钛业等上调钛白粉售价,e公司
256,2021-05-06,A股头条之上市公司5.7,金融界
257,2021-05-06,公告精选：赣锋锂业拟要约收购海外锂项目公司；君正集团拟投建可降解塑料项目,e公司
258,2021-05-06,君正集团狂砸207亿押宝这一市场、多家巨头杀入 千亿风口蓄势待发？,e公司
259,2021-05-06,大动作！去年净利不到50亿，这家公司狂砸207亿！要押宝这一超级市场；多家巨头杀入，千亿风口蓄势待发？,e公司
260,2021-05-06,君正集团(601216.SH)子公司拟投资建设绿色环保可降解塑料循环产业一期项目,格隆汇
261,2021-05-06,晚间重要公告2021年5月6日星期四,Wind
262,2021-05-06,5月6日晚间上市公司十大重磅公告,巨丰财经
263,2021-05-06,晚间公告｜5月6日这些公告有看头,第一财经
264,2021-05-06,5月6日上市公司晚间公告速递,新浪
265,2021-05-06,君正集团拟207亿元投建可降解塑料绿色环保循环产业一期项目,上证报
266,2021-05-06,【公告抢先看】晚间重要公告：君正集团拟207亿元投建可降解塑料项目、迈瑞医疗股东拟减持不超过796.41万股,金融界
267,2021-05-06,5月6日晚间上市公司利好消息一览(附名单),中金在线
268,2021-05-06,【公告抢先看】晚间重要公告：君正集团拟207亿元投建可降解塑料循环产业一期项目、金浦钛业上调钛白粉售价,金融界
269,2021-05-06,君正集团：子公司拟207亿元投资建设绿色环保可降解塑料循环产业一期项目,Wind
270,2021-05-06,君正集团：子公司拟207亿元投资建设绿色环保可降解塑料循环产业一期项目,格隆汇
271,2021-05-06,新基发行“冷清”金元顺安基金推新品 贾丽杰任职产品年内涨幅告负,网易
272,2021-04-30,新基发行“冷清”金元顺安基金推新品 贾丽杰任职产品年内涨幅告负,金融界
273,2021-04-30,牛人重仓｜成分股大调仓：入选的这只聚氨酯行业细分龙头一季度扣非净利同比暴增513%！,每日经济新闻
274,2021-04-30,A股主力资金流向（4月30日）：医药股获资金爆买,Wind
275,2021-04-30,利润环比连增+同比暴增75匹盈利白马现身,证券时报网
276,2021-04-30,君正集团：2021年第一季度净利润约11.04亿元，同比增长75.54%,每日经济新闻
277,2021-04-29,反垄断铁幕下 天弘基金丢了“利润王”桂冠,新浪
278,2021-04-29,君正集团：一季度净利润同比增长75.54%,Wind
279,2021-04-29,君正集团：一季度净利同比增长75.54%,格隆汇
280,2021-04-29,内蒙古区域股市周报：君正集团市值缩水最多2亿融资买入伊利股份 连续下跌,每日经济新闻
281,2021-04-29,509公司利润环比连增142家步入绩优股行列,证券时报网
282,2021-04-29,【牛人重仓】君正集团:牛人重仓绩优股今年以来融资余额增仓25%以上，今日资金流入-423.93万元，北向资金持股10890.77万股，融资余额120539.03万元；前3个交易日，北向资金增持25.65万股，融资额增加1495.34万元，主力资金净流入-10119.4万元,每日经济新闻
283,2021-04-28,零壹日报：余额宝管理规模4年以来首次跌破万亿；神州信息2021年一季度净利同比增33%,零壹财经
284,2021-04-28,505公司利润环比连增139家步入绩优股行列,证券时报网
285,2021-04-28,余额宝时隔4年规模跌破万亿 平台货币基金数量已经达到29只,中国基金网
286,2021-04-28,余额宝时隔4年规模跌破万亿,每日经济新闻
287,2021-04-28,26.44亿! 天弘基金净利增20% 余额宝贡献最大，而最新规模已跌破万亿元,每日经济新闻
288,2021-04-28,净利桂冠易主 天弘基金成败余额宝,北京商报
289,2021-04-27,净利润桂冠易主后“天弘余额宝时代”天弘基金出路何在 基金经理离任,北京商报
290,2021-04-27,头部基金公司大洗牌！第三方基金销售也大赚，天弘基金怎么输了,新京报
291,2021-04-27,快讯｜天弘基金2020年净利润逾26亿 同比增19.42%,财经网
292,2021-04-27,利润环比连增+同比暴增83匹盈利白马现身,证券时报网
293,2021-04-27,今日339公司公布年报65家业绩增幅翻倍,证券时报网
294,2021-04-27,蚂蚁基金去年猛收60亿，天天狂卖1.3万亿！天弘大赚26.44亿,Wind
295,2021-04-27,彻底炸了！蚂蚁基金去年猛收60亿 净利润接近1亿元,中国基金报
296,2021-04-27,蚂蚁基金营收60亿再创新高，天弘大赚26.44亿！,中国基金报
297,2021-04-27,天弘基金去年净利润 26.44 亿元：盈利王宝座被易方达基金夺得,IT之家
