,2021-12-31,A股年度“涨停王”出炉，四成交易日均封板,Wind
26,2021-12-28,疫情等多重因素致经营亏损 中公教育增长与盈利需再平衡 亏损,中新经纬
27,2021-12-28,中公教育回复问询函：三季度收款不及预期 需充足资金应对可能的退费 问询,北京商报
28,2021-12-28,中公教育回复深交所问询函：考试周期变化影响三季度业绩 行业领先地位核心要素不改 问询,中国网
29,2021-12-28,晚间重要公告2021年12月28日星期二,Wind
30,2021-12-28,中公教育回复关注函：前三季协议班整体退费率为65.81% 关注函,e公司
31,2021-12-28,中公教育回复关注函：2021年前三季协议班整体退费率为65.81% 关注函,财联社
32,2021-12-28,独家 中公教育下架公职类考试所有全退产品 产品问题,新京报
33,2021-12-28,中公教育：回复深交所关注函 关注函,Wind
34,2021-12-28,中公教育：公司有电商方面的培训课程，但是占比较小,每日经济新闻
35,2021-12-28,中公教育取消公职类协议班的“不过包退”课程,财联社
36,2021-12-28,中公教育：关注函回复已提交交易所审核中，公司将尽快予以披露 关注函,每日经济新闻
37,2021-12-28,2021基金投资四大坑之一：年度“坑王”？博时教育ETF成立半年价格腰斩,每日经济新闻
38,2021-12-27,中公教育被立案背后：高管接连质押股票 总经理王振东已套现7亿 董监高成员异常事件,搜狐
39,2021-12-25,美女基金经理接连触“雷”，基民吐槽“生不逢时”,Wind
40,2021-12-24,中公教育的迷雾丨价值三人行,第一财经
41,2021-12-23,2022年社服行业投资策略：复苏曙光渐进 曲折中孕育新变,新浪
42,2021-12-23,中公教育：没有氢能源概念,每日经济新闻
43,2021-12-23,中公教育：公司因涉嫌未按规定披露关联交易被证监会立案调查，目前尚未收到相关处罚通知,每日经济新闻
44,2021-12-23,请问公司独董的履职情况如何？中公教育：公司三位独董均正常履职,每日经济新闻
45,2021-12-23,中公教育：公司无柔性直流输电概念,Wind
46,2021-12-23,中公教育：截至目前公司三位独董均正常履职,Wind
47,2021-12-22,“考公热”难暖“中公心”,钛媒体
48,2021-12-22,中公教育涉嫌信披违法，公考第一股“陨落”，股民可登记索赔 其他违规处罚,深蓝财经
49,2021-12-22,中公教育遭证监会立案调查　业绩亏损股价大跌 受损投资者可报名索赔 亏损,财富动力网
50,2021-12-21,中公教育(002607.SZ)：股东王振东补充质押1390万股、质押担保800万股及解质100股、鲁忠芳补充质押1.5亿股 股票质押异常,格隆汇
51,2021-12-21,中公教育遭立案调查，三季报收深交所关注函称延期至27日回复 关注函,华夏时报
52,2021-12-21,王振东质押中公教育0.11%股份，市值8589万元,乐居财经
53,2021-12-21,中公教育成立职教事业部，能否成为业务转型的突破口？,21世纪经济报道
54,2021-12-21,中公教育被查 投资者可维权,金融投资报
55,2021-12-20,证券合规周报（第十八期）丨“金交所”现场检查开启，境内外证券交易所互联互通更进一步,21世纪经济报道
56,2021-12-20,中公教育：延期至12月27日回复关注函 关注函,e公司
57,2021-12-20,中公教育被查祸起理享学？神秘人浮现 究竟还有多少关联方,新浪
58,2021-12-20,股价跌81%市值蒸发2100亿，“考公第一股”老板仍稳坐吉林首富,AI财经社
59,2021-12-20,【早报12.20】中公教育被立案 安踏100亿成立“和敏基金会”,融资中国
60,2021-12-20,中公教育说明质押股份相关情况,搜狐
61,2021-12-20,浪人早报 |申通建议客户发顺丰、扫码点餐强制关注公众号将被整治、茶颜悦色工资问题引发热议,新浪
62,2021-12-20,中公教育大跌,新浪
63,2021-12-20,A股早报2021年12月20日星期一,Wind
64,2021-12-19,“考公第一股”中公教育被立案，年内市值蒸发2000亿 其他违规处罚,新浪
65,2021-12-19,“教育界首富”旗下公司遭立案调查！学员退费无门，年内市值已蒸发超2000亿 其他违规处罚,搜狐
66,2021-12-19,共建校企联动实践基地，中公教育持续提供专业培训体验,凤凰网
67,2021-12-19,揭秘牛股4大基因！18股或成下一个十倍牛股,Wind
68,2021-12-19,主营公务员考试培训，“教育界首富”旗下公司被调查！此前业绩巨亏，市值已蒸发2000亿 其他违规处罚,每日经济新闻
69,2021-12-18,如何挖掘基金隐藏的个股持仓？,雪球
70,2021-12-18,2分钟读财报 | 中公教育又遭证监会立案调查，今年以来股价跌逾70%,新浪
71,2021-12-18,“考公第一股”被立案　中公教育财务遭质疑，股民索赔报名启动 其他违规处罚,财富动力网
72,2021-12-18,教育白马波澜再起，遭立案调查会是困境的终点吗？ 其他违规处罚,格隆汇
73,2021-12-17,民间维权 | 中公教育被证监会立案调查,红周刊
74,2021-12-17,中公教育(002607.SZ)控股股东李永新质押5000万股,智通财经
75,2021-12-17,600亿教育龙头被立案调查，今年股价跌逾80%，发生了什么？ 其他违规处罚,新浪
76,2021-12-17,关联交易未披露遭立案，今日股价跌停！曾经的十倍大牛股市值已蒸发2000亿元,上证报
77,2021-12-17,中公教育暴跌75%，36份券商研报却无一“看空”，重仓基金从44家减至12家，股东人数创新高 投资评级恶化,财联社
78,2021-12-17,最新龙虎榜动向：1.56亿资金抢筹内蒙华电，机构和北向资金共同抛售2股（名单）,21世纪经济报道
79,2021-12-17,跌停板解密：机构资金出逃，两市共2只个股跌停！（12月17日）,Wind
80,2021-12-17,股价跌82％后，“考公第一股”断臂自救，明起下架“不过包退”课,腾讯网
81,2021-12-17,立案调查、股价跌停……中公教育市值据最高点已蒸发超2000亿 其他违规处罚,第一财经
82,2021-12-17,深交所警示之后，中公教育又遭证监会立案调查 金融监管处罚,观察者网
83,2021-12-17,中公教育遭证监会立案，公考培训机构的日子不好过,ZAKER
84,2021-12-17,中公教育龙虎榜数据（12月17日）,Wind
85,2021-12-17,中公教育跌停，四机构合计卖出8066万元,Wind
86,2021-12-17,市场综述：恒科指续刷新低！十倍大牛股爆雷,老虎证券
87,2021-12-17,“抄底抄到地下室，谁想还有大炸弹！”十倍大牛股遭立案，市值蒸发2000亿！年内股价狂跌80% ，股民由赚变赔，一路忐忑！,雪球
88,2021-12-17,中公教育午后封跌停,中证网
89,2021-12-17,茅台大跌800亿 具体是发生了什么？,至诚财经
90,2021-12-17,13万股东哭了！“考公第一股”被立案，市值已蒸发掉一个三一重工 其他违规处罚,AI财经社
91,2021-12-17,十倍大牛股爆雷！遭证监会立案调查，市值蒸发2000亿，盘中跌停,中证报
92,2021-12-17,发生了什么？刚刚，茅台大跌800亿，芯片股狂跌！基金上市，立马30CM涨停！还能涨吗？,中国基金报
93,2021-12-17,中公教育封住跌停板再创阶段新低，教育板块承压,Wind
94,2021-12-17,红杉中国入股中公教育，其独特业务模式获得头部机构青睐,凤凰网
95,2021-12-17,麻烦不断！中公教育又遭证监会立案调查，今年以来股价跌逾70%,发现网
96,2021-12-17,开盘：A股三大指数集体低开沪指跌0.13%，CRO板块反弹，中公教育大跌近7%,金融界
97,2021-12-17,职业教育巨头中公教育遭立案调查，年内市值蒸发超2000亿 其他违规处罚,资本邦
98,2021-12-17,快讯：教育板块持续走弱 中公教育跌超9%,新浪
99,2021-12-17,A股三大指数开盘下跌，半导体板块低开，中公教育跌近7%遭证监会立案调查,和讯
100,2021-12-17,涉嫌违法披露遭证监会立案 中公教育开盘跌近7% 金融监管处罚,新浪
101,2021-12-17,中公教育因信披违规被立案调查，早盘低开约7%,Wind
102,2021-12-17,A股异动丨中公教育(002607.SZ)低开近7% 遭证监会立案调查,格隆汇
103,2021-12-17,涉嫌信披违规，中公教育遭证监会立案调查,北京日报
104,2021-12-17,600亿龙头公司突被立案调查，4600亿巨头意外放大招,Wind
105,2021-12-17,盘前情报丨多家公司回应元宇宙相关业务；中公教育遭证监会立案调查,21世纪经济报道
106,2021-12-17,深夜惊雷！600亿龙头公司突被立案调查，发生了什么？4600亿巨头意外放大招，这国超预期加息，影响多大？ 其他违规处罚,券商中国
107,2021-12-17,12月17日投资避雷针：中公教育因涉嫌未按规定披露关联交易信息 遭证监会立案,财联社
108,2021-12-17,贝壳回应被做空：浑水缺乏对报表的正确解读；瑞幸 4.6 亿美元债务重组获美国法院批准；中公教育遭证监会立案 被出具沽空报告,ZAKER
109,2021-12-17,【中证盘前】中公教育遭证监会立案；隆基股份下调硅片价格；德赛电池拟开展储能电芯业务；观想科技称无意愿将现有产品延展至元宇宙,中证报
110,2021-12-17,中公教育：截至2021年6月30日，公司共有1859个直营机构，覆盖全国 300 多个地级市,每日经济新闻
111,2021-12-16,中公教育因信披违规被立案调查，新增债务原因及业务模式受质疑 其他违规处罚,阿尔法工场
112,2021-12-16,中公教育遭证监会立案调查 一年内市值蒸发逾2000亿,e公司
113,2021-12-16,中公教育遭证监会立案，近三个月连收两份关注函,第一财经
114,2021-12-16,中公教育：因涉嫌信息披露违法违规 中国证监会决定对公司立案,中证网
115,2021-12-16,每经21点 | 隆基股份再次下调硅片价格，最大降幅5.7%；中公教育收到证监会立案告知书；欧洲央行维持三大利率不变，符合预期,每日经济新闻
116,2021-12-16,公告精选丨中公教育遭证监会立案；信中利称截至目前尚未获得与董事长汪超涌相关的有效信息,21世纪经济报道
117,2021-12-16,中公教育：因定增已终止，公司跟相关各方就怀柔项目协商中 再融资异常,每日经济新闻
118,2021-12-16,中公教育：公司没有碳酸锂概念,每日经济新闻
119,2021-12-16,中公教育：公司不存在办公大楼抵押贷款情况,每日经济新闻
120,2021-12-16,涉嫌未按规定披露关联交易信息 中公教育被证监会立案调查,中华网
121,2021-12-16,公告精选：观想科技称无意愿将现有产品延展至元宇宙；中公教育被证监会立案,e公司
122,2021-12-16,中公教育(002607.SZ)：持股5%以上股东王振东质押1.26亿股,格隆汇
123,2021-12-16,中公教育(002607.SZ)股东王振东质押1.255亿股公司股份,智通财经
124,2021-12-16,中公教育：股东王振东累计质押股数约为4.09亿股,每日经济新闻
125,2021-12-16,中公教育(002607.SZ)因涉嫌信披违规遭中国证监会立案调查 金融监管处罚,智通财经
126,2021-12-16,中公教育：因涉嫌未按规定披露关联交易信息，遭证监会立案,Wind
127,2021-12-16,中公教育：公司遭证监会立案,e公司
128,2021-12-16,跌没2000亿，中公教育现财务疑云,虎嗅网
129,2021-12-15,2021十大悲催行业盘点，教培竟然没最惨？,搜狐
130,2021-12-15,一过承诺期业绩就“变脸”，中公教育两收关注函 盈利能力下降,搜狐
131,2021-12-15,中公教育：持续创新发展，走可持续发展道路,凤凰网
132,2021-12-15,教育股午后下挫，博瑞传播、开元教育、博通股份、中公教育回调明显,Wind
133,2021-12-15,业绩变脸后存贷双高被质疑 中公教育“学员贷款上课”模式收关注函 盈利能力下降,财联社
134,2021-12-15,每经热评丨信披如答题 中公教育不能让“考卷”留疑点,每经头条
135,2021-12-14,中公教育再收关注函，涉资金充裕却持续大幅新增债务等问题 关注函,新京报
136,2021-12-14,诱导学员贷款考公务员？中公教育被质问是否存在恶意贷款,新浪
137,2021-12-14,预收培训费遭深交所追问是否存在虚增，中公教育会惊雷吗？ 问询,中金在线
138,2021-12-14,中公教育再收关注函，被要求说明协议班、预收费、培训贷、退费等详细情况 关注函,搜狐
139,2021-12-14,中公教育回应被问询：省考提前一个月影响最大 问询,东方网
140,2021-12-14,中公教育再收关注函，“存贷双高”被质疑 关注函,北京日报
141,2021-12-14,业绩大变脸！公考培训第一股再收关注函，“存贷双高”被质疑,Wind
142,2021-12-14,业绩大变脸！公考培训第一股再收关注函，“存贷双高”被质疑！ 盈利能力下降,中国基金报
143,2021-12-14,Wind风控日报2021年12月14日星期二,Wind
144,2021-12-14,上市公司正负面新闻2021年12月14日星期二,Wind
145,2021-12-13,晚间重要公告2021年12月13日星期一,Wind
146,2021-12-13,中公教育：证监会决定终止对公司本次非公开发行A股股票行政许可申请的审查 再融资异常,Wind
147,2021-12-13,中公教育收关注函：要求说明公司市场占有率是否下降等 关注函,财联社
148,2021-12-13,中公教育：收深交所关注函 关注函,Wind
149,2021-12-13,A股异动丨中公教育(002607.SZ)跌约4% 证监会决定终止对公司非公开发行股票申请的审查 再融资异常,格隆汇
150,2021-12-10,中公教育大宗交易成交1000.00万股 成交额9170.00万元,证券时报网
151,2021-12-10,"中公教育现1笔大宗交易 共成交9,170.00万元",新浪
152,2021-12-10,中公教育今日大宗交易成交1000万股，成交价9.17元折价11.57%,Wind
153,2021-12-09,中公教育(002607.SZ)：实控人李永新质押1300万股,格隆汇
154,2021-12-09,12月9日中公教育涨停分析：IPO影子股，教育，职业教育概念热股,证券之星
155,2021-12-09,A股收盘综述：深证成指时隔4个月重回15000点；北向资金罕见买买买！,Wind
156,2021-12-09,在线教育学科类牌照即将下发，中公教育成交量快速放大,阿尔法工场
157,2021-12-09,【异动股】教育板块拉升，中公教育(002607.CN)涨10.05%,财华社
158,2021-12-09,快讯：中公教育涨停 报于10.18元,金融界
159,2021-12-09,教育板块午后大涨 中公教育涨停,上证报
160,2021-12-09,中公教育拉升涨停，医美、医疗板块全线走高，养老ETF(516560) 大涨1.97%,资本邦
161,2021-12-09,国盛证券：政策导向明晰，高教/职教前途明朗,财联社
162,2021-12-09,教育股午后大幅拉升，中公教育涨停,36氪
163,2021-12-09,【行情】教育股午后大幅拉升，中公教育涨停，开元教育涨超13%，豆神教育、传智教育、昂立教育、全通教育等跟涨,金十数据
164,2021-12-07,中公终止非公开发行A股股票事项，撤回不超过39亿元定增申请 再融资异常,搜狐
165,2021-12-07,中公教育终止39亿元定增，原计划募资建设怀柔学习基地并补充流动基金 再融资异常,新浪
166,2021-12-07,中公教育39亿定增夭折股价累跌80% 前三季转亏8.91亿曾遭交易所追问,长江商报
167,2021-12-06,晚间要闻2021年12月6日星期一,Wind
168,2021-12-06,晚间资讯∣赣州稀土确认将组建中国稀土集团；中公教育终止非公开发行股票事项,证券时报网
169,2021-12-06,躺枪律师事务所被查事件后 中公教育撤回近40亿元定增申请,每日经济新闻
170,2021-12-06,中公教育终止定增方案 曾两易其稿 再融资异常,e公司
171,2021-12-06,【晚间公告抢先看】牧原股份11月份生猪销售收入67.67亿元、亿纬锂能实控人减持时误买入2万股 终止减持计划,金融界
172,2021-12-06,晚间重要公告2021年12月6日星期一,Wind
173,2021-12-06,ESG周报（第16期）丨工信部印发“十四五”工业绿色发展规划，宁德时代向上海交大捐赠200万股,21世纪经济报道
174,2021-12-06,中公教育：终止非公开发行股票事项及撤回申请文件 再融资异常,Wind
175,2021-12-06,大宗交易揭秘：白马股筹码松动，6股获超溢价买入,Wind
176,2021-12-06,传媒行业月报：行业PPT报告元宇宙相关投资并购热度持续 积极关注行业拐点,国海证券
177,2021-12-06,中公教育新成立职教事业部 加速业务战略转型,中国网
178,2021-12-03,职业教育潜在市场6500亿，7股业绩受益将高增长,Wind
179,2021-12-02,中公教育(002607.SZ)：股东王振东解除质押合计约1.3436亿股,格隆汇
180,2021-12-02,“十四五”职业培训规划审议通过 教育板块异动拉升,智通财经
181,2021-12-02,公考红利不再？前三季度亏9亿，因信披违规中公教育再收警示函 亏损,AI财经社
182,2021-12-02,职教板块再迎政策“暖风”：板块估值修复可期 或迎戴维斯双击,财联社
183,2021-12-01,未履行信披义务，中公教育被安徽证监局出具警示函 金融监管处罚,新京报
184,2021-11-30,未按规定履行信披义务，中公教育收警示函 金融监管处罚,中新经纬
185,2021-11-30,中公教育：收到安徽证监局警示函 金融监管处罚,Wind
186,2021-11-30,安徽证监局对中公教育(002607.SZ)出具警示函，其未按规定履行审批程序及信息披露义务 金融监管处罚,智通财经
187,2021-11-30,MSCI指数调整生效日，这些股票尾盘异动！外资11月调仓瞄准科技股,Wind
188,2021-11-30,北向资金今日净卖出超34亿元11月累计加仓185亿，贵州茅台连续3日遭抛售,Wind
189,2021-11-30,2200亿锂电龙头跳水！北上资金逆向操作,Wind
190,2021-11-30,休闲服务行业周观点：新变异病毒OMICRON来势凶猛 旅游行业复苏再次迎来疫情考验,新浪
191,2021-11-30,中公教育11月29日现13笔大宗交易,证券时报网
192,2021-11-30,中公教育暗推公考贷却隐而不宣，贴息拉学员疑寅吃卯粮,Wind
193,2021-11-30,中公教育业绩变脸背后：五大谜团待解 盈利能力下降,证券时报
194,2021-11-29,中公教育(002607.SZ)股东王振东累计减持7410.60万股 减持比例超1% 减持股份,智通财经
195,2021-11-29,中公教育(002607.SZ)：王振东6月15日以来共减持1.2%股份 减持股份,格隆汇
196,2021-11-29,中公教育：股东王振东于2021年6月15日、2021年9月23日、2021年11月26日减持公司股份约7410.6万股 减持股份,每日经济新闻
197,2021-11-29,A股共发生193宗大宗交易成交47.05亿元（11月29日）,Wind
198,2021-11-29,中公教育：王振东累计减持比例达1.2% 减持股份,Wind
199,2021-11-29,"中公教育现13笔大宗交易 共成交22,932.00万元",新浪
200,2021-11-29,中公教育今日大宗交易成交2548万股，成交价9.0元折价9.64%,Wind
201,2021-11-29,高盛、桥水抄底，俞敏洪2500万增持，他们看重什么,Wind
202,2021-11-29,解盘：股指震荡走高，锂电、储能、肺炎检测领涨,Wind
203,2021-11-29,A股早报2021年11月29日星期一,Wind
204,2021-11-28,公考火爆，“考公第一股”股价却跌去7成，老板差点丢掉吉林首富,深水财经社
205,2021-11-27,教培上市公司陆续退出K9业务，转型尚在探索阶段,Wind
206,2021-11-26,中公教育(002607.SZ)：李永新补充质押2600万股、王振东解押3600万股及质押的2716.4011万股延期购回,格隆汇
207,2021-11-26,中公教育现3.5亿元大宗交易 机构买入,e公司
208,2021-11-26,"中公教育现7笔大宗交易 共成交34,977.60万元",新浪
209,2021-11-26,中公教育今日大宗交易成交3886.40万股，成交价9.0元折价8.35%,Wind
210,2021-11-25,半个月内股价翻倍！新东方“活”过来了？,智通财经
211,2021-11-25,解盘：资金继续流入，特高压、物联网、充电桩、医药领涨,Wind
212,2021-11-25,中公教育：公司定增尚在中止状态中 再融资异常,每日经济新闻
213,2021-11-25,中公教育：红杉中国未减持公司股票,每日经济新闻
214,2021-11-22,【国信社服|双周报19期】香港积极推进与内地通关，中国中免港股上市获批,光仔看消费
215,2021-11-20,A股独董吓坏，20多人宣布跑路！职业教育迎来黄金发展期，低估值概念股出炉 董监高成员异常事件,证券时报网
216,2021-11-16,北向资金再度加仓近42亿连续4日净买入，批量扫货白酒医药股,Wind
217,2021-11-16,安徽区域股市周报：中公教育跌出板块市值6强 16家机构调研开润股份,每日经济新闻
218,2021-11-16,中公教育：公司目前未涉及元宇宙相关业务,Wind
219,2021-11-16,顶流机构逆势抄底教育股，啥信号？,Wind
220,2021-11-16,中公教育：公司目前未涉及元宇宙相关业务,每日经济新闻
221,2021-11-15,商社行业：海南持续释放免税支持政策 美国开放边境推动国际客流复苏,新浪
222,2021-11-13,中公教育：目前大股东未向公司表达减持意向,每日经济新闻
223,2021-11-12,中公教育(002607)：多重偶发性因素叠加短期拖累业绩 产业回暖持续提升经营效率,新浪
224,2021-11-12,2021胡润女企业家榜：碧桂园40岁的杨惠妍第九次成为中国女首富,Wind
225,2021-11-10,中公教育(002607.SZ)：持股5%以上股东王振东补充质押6069万股 股票质押异常,格隆汇
226,2021-11-10,中公教育：暂无收购粉笔计划,每日经济新闻
227,2021-11-09,中公教育：公司非公开尚在中止状态中,每日经济新闻
228,2021-11-09,中公教育单季度亏损8亿 疫情面前教培业绩恢复难 亏损,新浪
229,2021-11-08,商社行业：双11第二轮促销开启 多平台多玩法充分激发消费需求,新浪
230,2021-11-08,社会服务行业2021年三季报综述：Q3以来行业整体承压 继续看好龙头中长期配置价值,广发证券
231,2021-11-07,A股传媒板块2021年三季报综述：政策和疫情影响下整体基本面稳步改善,微信
232,2021-11-07,国信证券：跟踪行业复苏节奏，跨年度配置优质龙头,智通财经
233,2021-11-05,考公第一股栽了！股价年内跌78%，老板身家缩水千亿仍是吉林首富,AI财经社
234,2021-11-05,中公教育：短期亏损与长期价值,金融界
235,2021-11-04,A股传媒三季报总结：游戏有回暖信号 梯媒体现韧性,新浪
236,2021-11-03,浙商证券维持中公教育买入评级，中公教育点评报告：多品类招生不及预期，刚性成本下业绩承压 盈利能力下降,每日经济新闻
237,2021-11-03,东方证券维持中公教育买入评级，中公教育2021三季报点评：行业波动与产品制约增长，职教龙头多赛道协同发展可期,每日经济新闻
238,2021-11-02,三季报不足和亮点并存，中公教育未来发展突破口仍聚焦职业教育,证券之星
239,2021-11-02,中公教育2021Q3点评：行业波动与产品制约增长，职教龙头多赛道协同发展可期 | 东方教育,万象塔
240,2021-11-01,中公教育：根据往年情况，四季度是国考、考研等培训业务高峰期，目前公司相应业务正常开展中,每日经济新闻
241,2021-11-01,信达证券给予中公教育增持评级，多因素致Q3亏损，国考计划招录人数高增 亏损,每日经济新闻
242,2021-11-01,图解中公教育三季报：第三季度单季净利润同比减151.08% 盈利能力下降,证券之星
243,2021-11-01,基金三季度调仓换股全扫描 明显加仓电力、能源、地产,每日经济新闻
244,2021-11-01,【国信社服|三季报点评】中公教育：内外部不利因素共振，期待寻找新的增长中枢,光仔看消费
245,2021-11-01,中公教育(002607)：Q3收入人数均承压 期待四季度业绩修复,新浪
246,2021-11-01,中公教育三季报业绩“触底”未来出路在哪里？,经济观察报
247,2021-10-31,部分“风格漂移”基金开始回归主题，但是...,Wind
248,2021-10-31,中公教育三季报：行业短期波动致业绩缩水 将迎职业教育培训时代风口 盈利能力下降,和讯
249,2021-10-30,遭遇“季风” ：中公教育业绩能否重新向好？,21世纪经济报道
250,2021-10-30,止盈转亏，中公教育2021年前三季度净亏损8.91亿元 亏损,资本邦
251,2021-10-30,基金三季度调仓换股全扫描，电力、能源、地产被明显加仓！,Wind
252,2021-10-30,基金三季度调仓换股全扫描，电力、能源、地产被明显加仓！明星基金经理：看好宁德时代市值超贵州茅台,每经头条
253,2021-10-30,Wind风控日报2021年10月30日星期六,Wind
254,2021-10-29,中公教育前三季度实现营收63.01亿元 人才招录板块景气度持续提升,证券日报网
255,2021-10-29,中公教育发布第三季度财报：业绩降至低点，黎明前最后的黑暗 盈利能力下降,金融界
256,2021-10-29,中公教育前三季度实现营收63亿 人才招录板块景气度持续提升,证券时报网
257,2021-10-29,中公教育三季报：业绩较同期缩水，但行业“拐点”信号明显 盈利能力下降,中国网
258,2021-10-29,中公教育：第三季度亏损7.94亿元 亏损,e公司
259,2021-10-29,中公教育：2021年第三季度亏损7.94亿元，同比转亏。 亏损,财联社
260,2021-10-29,中公教育：前三季度净亏损8.91亿元，由盈转亏 亏损,Wind
261,2021-10-29,偶然失手还是巅峰下滑，完成185亿业绩对赌中公教育后劲还足吗 盈利能力下降,投中网
262,2021-10-28,政策利好资本退潮，职业教育风口谁踩中？,华夏时报
263,2021-10-28,职业教育行业拐点向上职教企业迎来发展新契机,挖贝网
264,2021-10-27,职教培训需求旺盛 赛道龙头中公教育即将迎来“春天”？,中国网
265,2021-10-27,史上最惨基金：押注教育四个月，腰斩,网易
266,2021-10-26,广东省国考报名“落幕”：报录比约80:1，中山、梅州等地竞争最激烈,21世纪经济报道
267,2021-10-25,中公教育：根据往年情况，四季度是国考、考研等培训业务的高峰期,每日经济新闻
268,2021-10-25,中公教育：延期回复深圳证券交易所关注函 关注函,Wind
269,2021-10-25,影视传媒行业周报：广电总局发布“十四五”发展规划 山东集中力量建设职业教育,西南证券
270,2021-10-25,国信证券：中长期社服板块中推荐海底捞等龙头,Wind
271,2021-10-25,中公教育185亿借壳三年期满蹊跷变脸 三季净利预减超23亿市值缩水2000亿 盈利能力下降,长江商报
272,2021-10-25,传媒：谷歌拟下调基于订阅的应用抽成至15% 巨人拟收购淘米网络,国海证券
273,2021-10-22,解盘：百亿资金流入，光刻胶、半导体、磷化工领涨,Wind
274,2021-10-21,职业教育受政策提振，难耐业绩预亏，期待中公教育稳固龙头地位 预亏,腾讯网
275,2021-10-20,中公教育：公司目前主要从事面向成年人的非学历职业就业培训服务,Wind
276,2021-10-19,传媒行业周报：高规格政策发布推动职教板块估值修复 国考招录人数同增超20%,国海证券
277,2021-10-19,中公教育收关注函背后：今年前三季度预亏最高9亿，市值蒸发逾1900亿 关注函,财联社
278,2021-10-19,中公教育收到关注函 预计前三季亏损7亿元至9亿元 关注函,资本邦
279,2021-10-19,休闲服务行业周观点：两办印发《关于推动现代职业教育高质量发展的意见》 利好职教板块,新浪
280,2021-10-19,多家上市公司 调整前三季度业绩预测,中证报
281,2021-10-18,晚间重要公告2021年10月18日星期一,Wind
282,2021-10-18,万亿市场板块有望爆发！概念龙头已4连板，市场关注度居高不下，获外资悄悄加仓的概念股仅5只,证券时报网
283,2021-10-18,深交所向中公教育发出关注函 关注函,每日经济新闻
284,2021-10-18,中公教育收到关注函，要求说明三季度业绩同比减少21亿元至23亿元的具体原因 关注函,Wind
285,2021-10-18,中公教育收关注函 要求认定“业绩阶段性亏损”的原因及合理性 关注函,e公司
286,2021-10-18,每日理财观察：央行和银保监会发布系统重要性银行名单,Wind
287,2021-10-17,板块拾金丨职业教育获利好，3家机构都推了这只股；当主力资金涌入，汽车类个股如何布局？,第一财经
288,2021-10-17,巨亏！这些公司业绩大变脸 重大损失,证券之星
289,2021-10-16,有的巨亏近百亿元！这些上市公司三季报业绩变脸太突然 重大损失,上证报
290,2021-10-16,有的巨亏近百亿元！这些上市公司三季报业绩变脸太突然,Wind
291,2021-10-16,港股民办高职教公司集体上扬，希望教育股价大涨两成，K12 公司进入至暗时刻「教育周评榜」,华夏时报
292,2021-10-15,或刷新上市以来单季度亏损纪录，中公教育一度触及跌停 亏损,金融界
293,2021-10-15,重磅政策加持，风口上的职业教育怎么看,格隆汇
294,2021-10-15,A股收盘综述：煤炭股再度爆发因动力煤和双焦续创新高，半导体、锂电池齐头并进,Wind
