,2021-12-30,甘李药业：股东Vast Wintersweet Limited收到北京证监局警示函 金融监管处罚,Wind
74,2021-11-26,胰岛素首进国家集采：拟中选产品平均降价48%，280亿市场谋变,21世纪经济报道
75,2021-11-26,集采进行时｜胰岛素集采正式开标：甘李药业“大降价”全部产品中标，礼来贡献最大降幅超七成,财经网
76,2021-11-26,部分低于20元/支，胰岛素首次国采平均降价48%，将为千万患者节约近百亿,新浪
77,2021-11-26,胰岛素集采结果出炉：甘李药业全力降价，通化东宝贴线保量,36氪
78,2021-11-26,降价幅度普遍超50%！胰岛素国采拟中选结果出炉，这些药企股价大涨！,上证报
79,2021-11-26,300亿市场变局：胰岛素国家集采最高降74%，国产崛起冲击跨国企业垄断地位,21世纪经济报道
80,2021-11-26,第六批全国药品集采拟中选结果公示 最高降幅73.76%,中国医药报
81,2021-11-26,甘李药业杀“疯”了，外资巨头暴露两大集采策略,健识局
82,2021-11-26,胰岛素国采今日开标：甘李药业降幅显著大于通化东宝，资本市场反应不一,每日经济新闻
83,2021-11-26,甘李药业三款产品以第一顺位中选 降价幅度显著大于通化东宝,每日经济新闻
84,2021-11-26,剖析第六批国家集采结果！（附降幅、份额）,微信
85,2021-11-26,事关全国1000万患者！胰岛素国家集采公布结果，A股国产胰岛素企业中标后涨跌不一,每日经济新闻
86,2021-11-26,关注集采：200多亿元胰岛素市场重洗牌，几家欢喜几家忧愁,第一财经
87,2021-11-26,胰岛素集采价格最高降70%，通化东宝多批产品中标,阿尔法工场
88,2021-11-26,一线|胰岛素国采结果出炉：甘李药业“以量换价”策略起效 或成最大赢家,财联社
89,2021-11-26,“激动得手都抖了，价格打掉了70%以上！”这场灵魂砍价，造福1000万患者！百亿市场博弈成功，高瓴又躺赚了,雪球
90,2021-11-26,胰岛素集采现灵魂砍价，最高降幅超70%，有人当场买入通化东宝股票,时代周报
91,2021-11-26,第六批药品集采拟中选结果公布：胰岛素最高降幅超70%,制药网
92,2021-11-26,胰岛素集采拟中选结果：国产三巨头齐中标，降价最高超70%,澎湃新闻
93,2021-11-26,胰岛素集采结果出炉：外企受最大冲击，国产完胜进口,证券之星
94,2021-11-26,集采胰岛素专项拟中选结果出炉，400亿“胰茅”大涨，高瓴躺赚,AI财经社
95,2021-11-26,胰岛素国采结果官宣！最高降幅超70%，甘李药业、亿帆医药大涨,新浪医药
96,2021-11-26,最新！胰岛素国采结果出炉：甘李拼了；礼来报出超低价；诺和诺德专注最低价中标,MedTrend医趋势
97,2021-11-26,A股异动 | 甘李药业涨7% 专项国采中标 门冬胰岛素最低报价19.98元,格隆汇
98,2021-11-26,重磅！胰岛素集采结果出炉：国产完胜进口，瓜分外企超70%市场！,瞪羚社
99,2021-11-26,生物药首次进入国采，甘李药业6个产品全部中标,阿尔法工场
100,2021-11-26,关注集采：甘李药业盘中股价大涨逾7%，有三代胰岛素产品中标,第一财经
101,2021-11-26,胰岛素国采今日开标，甘李药业两产品已第一顺位中选，最高降幅72%,时代财经
102,2021-11-26,胰岛素专项国采：甘李药业、通化东宝产品全部中标,新浪
103,2021-11-26,胰岛素专项国采：甘李药业门冬胰岛素报出最低价19.98元,格隆汇
104,2021-11-26,胰岛素专项国采：甘李药业甘精胰岛素报价48.71元,金十数据
105,2021-11-26,影响超1亿糖尿病患者，胰岛素开启专项集采降价在即,财经网
106,2021-11-26,第六批药品集采，新进展来了！,制药网
107,2021-11-26,胰岛素首进全国药品集采！超1亿糖尿病患者受益：砍价50%你敢信,北京商报
108,2021-11-25,首进国采！糖尿病患者摆脱“甜蜜的负担”：胰岛素砍价50%你敢信？,北京商报
109,2021-11-25,胰岛素国采开标前夜！又一场“灵魂砍价”即将到来,药智网
110,2021-11-25,第六批集采明开标：胰岛素首进国采，1.2亿“糖友”有望受益,澎湃新闻
111,2021-11-24,胰岛素报量全分析，三家外企报量占比超70%,医药云端工作室
112,2021-11-20,即将开标，第六批国采报价预测,赛柏蓝
113,2021-11-19,甘李药业：股东宽街博华减持计划实施完毕，减持约562万股,每日经济新闻
114,2021-11-19,甘李药业(603087.SH)股东宽街博华累计减持561.54万股 减持已实施完毕 减持股份,智通财经
115,2021-11-19,甘李药业：宽街博华累计减持1%公司股份，减持完毕,Wind
116,2021-11-19,【经纬下午茶】3小时售罄！8只北交所主题基金将启动比例配售,中新经纬
117,2021-11-19,年内频遭减持 甘李药业近千亿市值已缩水过半 减持股份,中新经纬
118,2021-11-17,甘李药业(603087.SH)：宽街博华及一致行动人减持比例达1.09% 持股降至5.99% 减持股份,智通财经
119,2021-11-17,甘李药业(603087.SH)股东宽街博华已减持368.54万股 减持数过半 减持股份,智通财经
120,2021-11-17,甘李药业：股东宽街博华于2021年11月12日至2021年11月16日期间减持公司股份约369万股 减持股份,每日经济新闻
121,2021-11-17,甘李药业(603087.SH)：减持数过半 宽街博华累计减持368.54万股 减持股份,格隆汇
122,2021-11-17,甘李药业：宽街博华减持1.09%公司股份 减持股份,Wind
123,2021-11-16,甘李药业入股色谱技术龙头企业赛分科技 探索生物制药产业链布局,贝壳财经
124,2021-11-15,【首发】赛分科技完成超5亿元D轮融资，CPE源峰、高瓴领投,动脉网
125,2021-11-10,甘李药业(603087.SH)向595名首次授予激励对象授予1208.6237万份股票期权,智通财经
126,2021-11-10,甘李药业(603087.SH)：向激励对象首次授予1208.62万份股票期权,格隆汇
127,2021-11-08,甘李药业(603087.SH)：25.9358万股限售股将解禁 解禁,格隆汇
128,2021-11-08,甘李药业(603087.SH)25.94万股限售股将于11月12日上市流通 解禁,智通财经
129,2021-11-08,甘李药业：约25.94万股限售股11月12日解禁，占比0.046% 解禁,每日经济新闻
130,2021-11-08,"胰岛素集采开启,国产替代能否提速？",格隆汇
131,2021-11-08,甘李药业：25.9万股限售股11月12日上市流通,Wind
132,2021-11-08,胰岛素国家集采启动搅动近300亿市场格局，本土品牌能否逆袭？,新京报
133,2021-11-08,医药保健行业重大事件快评：胰岛素国采正式开启 关注相关公司中选情况,新浪
134,2021-11-06,第六批国采冲击300亿市场！6图分析,赛柏蓝
135,2021-11-04,21健谈丨 启明创投主管合伙人梁颕宇：医疗健康创投是有温度的，天然打着“责任烙印”,21世纪经济报道
136,2021-10-29,甘李药业现1笔大宗交易 共成交638.97万元,新浪
137,2021-10-29,甘李药业今日大宗交易成交10.60万股，成交价60.28元折价10.55%,Wind
138,2021-10-29,甘李药业：前三季度净利润8.71亿元，同比增长26.99%,资本邦
139,2021-10-29,甘李药业：核心业务国际化进程加快，高毛利促使盈利能力提升,中金在线
140,2021-10-28,甘李药业第三季度净利润增长32% 国际化进程加速,上证报
141,2021-10-28,纳微科技(688690)：业绩持续高增长 引进归国核心技术人才研发实力进一步增强,新浪
142,2021-10-28,"见证历史！刚刚，万亿宁王彻底火了！净利暴增130%，超越茅台成公募第一重仓股！高瓴却减持了，股吧吵翻了！一则大消息，特斯拉又狂飙
减持股份",中国基金报
143,2021-10-27,甘李药业：第三季度净利4.99亿元 同比增长32%,财联社
144,2021-10-27,甘李药业(603087.SH)：第三季度净利增31.72%至4.99亿元,格隆汇
145,2021-10-27,图解甘李药业三季报：第三季度单季净利润同比增31.72%,证券之星
146,2021-10-27,甘李药业：2021年第三季度净利润约4.99亿元，同比增长31.72%,每日经济新闻
147,2021-10-27,甘李药业：前三季度净利润同比增长26.99%,Wind
148,2021-10-27,高瓴资本概念股多数低迷，健帆生物、甘李药业、君实生物大跌并创阶段新低,Wind
149,2021-10-26,甘李药业创新型GLP-1RA(GZR18)周制剂临床获批,--
150,2021-10-25,股东减持股价遭腰斩 “胰岛茅”甘李药业破发在即 减持股份,第一财经
151,2021-10-24,这两家公司新项目带来新估值,红周刊
152,2021-10-23,股东减持股价遭腰斩，“胰岛茅”甘李药业未来竞争力在哪？ 减持股份,国际金融报
153,2021-10-22,“胰岛茅”不香了？年内股价跌掉70%，高瓴资本还赚了6亿多,AI财经社
154,2021-10-22,昔日千亿大药企，今9个月跌没620亿，经历了什么？,网易
155,2021-10-22,A股异动 | 甘李药业(603087.SH)跌逾4% 股东明华创新、宽街博华拟合计减持不超2%公司股份 拟减持股份,格隆汇
156,2021-10-21,甘李药业：股东明华创新、宽街博华拟分别减持不超过1%股份 拟减持股份,澎湃新闻
157,2021-10-21,甘李药业：股东拟合计减持不超2%公司股份 拟减持股份,中证网
158,2021-10-21,甘李药业(603087.SH)股东明华创新等拟减持不超1123.08万股 拟减持股份,智通财经
159,2021-10-21,注意！甘李药业：股东明华创新计划减持不超过562万股公司股份 拟减持股份,每日经济新闻
160,2021-10-21,甘李药业(603087.SH)：明华创新及宽街博华拟合计减持不超1123.08万股 拟减持股份,格隆汇
161,2021-10-21,甘李药业：明华创新等股东计划合计减持不超2%股份 拟减持股份,Wind
162,2021-10-21,甘李药业：股东明华创新、宽街博华拟减持不超2% 拟减持股份,财联社
163,2021-10-19,甘李药业：股东宽街博华和GS Direct减持计划披露的减持区间届满 拟减持股份,每日经济新闻
164,2021-10-19,甘李药业(603087.SH)：宽街博华和GS Direc共减持243.86万股 减持完毕 减持股份,智通财经
165,2021-10-19,甘李药业(603087.SH)：宽街博华和GS Direct已通过集中竞价减持243.86万股 减持股份,格隆汇
166,2021-10-19,甘李药业：宽街博华累计减持0.43%股份，减持计划届满 拟减持股份,Wind
167,2021-10-18,胰岛素集采靴子落地，甘李药业至暗已经过去？,搜狐
168,2021-10-18,情股跌落神坛 “黑天鹅”事件屡发 年初至今A股市场回顾,E药经理人
169,2021-10-18,前AZ高管加入罗氏；赛诺菲创新药多立维获批上市；BMS欲终止与百济神州授权合作,GBIHealth
170,2021-10-16,甘李药业：公司占据国内胰岛素16%的市场份额,每日经济新闻
171,2021-10-16,甘李药业：目前公司产品已完成在18个国家的注册工作，在14个国家形成商业销售，并且在全球12个国家进行临床试验,每日经济新闻
172,2021-10-15,甘李药业：目前管理层的变动对公司日常生产经营不会造成不利影,Wind
173,2021-10-14,甘李药业完成甘精胰岛素3期研究,美通社
174,2021-10-14,国产胰岛素进军欧美 甘李药业甘精胰岛素完成海外三期临床研究,中证网
175,2021-10-12,甘李药业：股东明华创新减持计划已实施完毕,每日经济新闻
176,2021-10-12,甘李药业：明华创新累计减持1%公司股份，减持完毕 减持股份,Wind
177,2021-10-12,甘李药业(603087.SH)：近日完成甘精胰岛素注射液糖尿病治疗研究的III期临床试验,格隆汇
178,2021-10-11,甘李药业：明华创新减持1.10%公司股份 减持股份,Wind
179,2021-10-04,胰岛素集采引市场重大“重塑”，国产企业如何抢占200亿市场,药智网
180,2021-10-01,次新宝典：本批孩子王值得跟踪(2021年9月第4周),新浪
181,2021-09-30,甘李药业今日大宗交易成交50万股，成交价69.03元折价12.8%,Wind
182,2021-09-30,"甘李药业现10笔大宗交易 共成交3,451.50万元",新浪
183,2021-09-30,甘李药业(603087.SH)：GZR18中国I期临床试验完成首例受试者入组,格隆汇
184,2021-09-29,小微球撑起纳微科技360亿元市值 下游客户集采影响有待观察,投资者网
185,2021-09-27,甘李药业(603087.SH)：拟推2021年股票期权激励计划,格隆汇
186,2021-09-26,次新宝典：本批凯盛新材及力量钻石值得跟踪(2021年9月第2、3周),新浪
187,2021-09-25,谁在把持着1.2亿中国人的“饭票”？,健识局
188,2021-09-22,纳微科技：甘李药业是公司的客户，2020年公司对甘李药业的产品销售收入金额为938.90万元,每日经济新闻
189,2021-09-17,医疗服务行业周报：创新药融资前景乐观 外包服务将持续受益,新浪
190,2021-09-16,甘李药业赖脯胰岛素在白俄罗斯获准上市,中证网
191,2021-09-16,甘李药业：赖脯胰岛素注射液获白俄药监局注册批件,36氪
192,2021-09-16,医药生物行业研究周报：当前阶段医药行情的主要矛盾及化解,新浪
193,2021-09-16,甘李药业：赖脯胰岛素注射液获得白俄罗斯注册批件,财联社
194,2021-09-10,甘李药业：副总经理辞职 董监高成员变化,Wind
195,2021-09-10,甘李药业(603087.SH)副总经理Lawrence Allan Hill辞职,智通财经
196,2021-09-09,甘李药业将在欧洲糖尿病研究协会年会上呈报数据,美通社
197,2021-09-09,次新宝典：本批振华新材值得跟踪(2021年9月第1周),新浪
198,2021-09-06,甘李药业(603087.SH)三名股东已累计减持712.66万股 减持时间过半 减持股份,智通财经
199,2021-09-06,甘李药业：三位股东减持约615万股，减持时间过半 减持股份,每日经济新闻
200,2021-09-06,甘李药业：3名股东减持期过半 合计减持614.66万股 减持股份,财联社
201,2021-09-06,甘李药业：明华创新减持0.66%公司股份、宽街博华减持0.43%公司股份,Wind
202,2021-09-06,主打产品纳入集采后主动求变 甘李药业解禁股东终止减持 解禁,投资者网
203,2021-09-03,医药行业：生物药内部分化 看好差异化需求龙头,新浪
204,2021-08-30,甘李药业：上半年净利润增长21.2% 国际化战略打开成长新空间,红周刊
205,2021-08-26,甘李药业(603087.SH)上半年归母净利润同比增21%至3.73亿元,智通财经
206,2021-08-26,甘李药业2021年上半年实现净利润3.73亿元，同比增长21.16%,经济观察网
207,2021-08-26,甘李药业(603087.SH)：上半年净利增21.17%至3.73亿元,格隆汇
208,2021-08-26,甘李药业半年报：上半年净利润3.73亿元 同比增长21%,财联社
209,2021-08-26,甘李药业：上半年净利润同比增长21.17%,Wind
210,2021-08-25,A股共发生163宗大宗交易成交52.2亿元（8月25日）,Wind
211,2021-08-25,甘李药业今日大宗交易成交18.63万股，成交价71.03元折价14.08%,Wind
212,2021-08-25,胰岛素国家集采真的要来了，百亿市场迎将来巨变！,证券之星
213,2021-08-25,A股异动丨甘李药业(603087.SH)涨5.68% 赖脯胰岛素注射液获黎巴嫩注册批件,格隆汇
214,2021-08-25,次新宝典：本批千味央厨值得跟踪(2021年8月第3周),新浪
215,2021-08-24,持续发力全球市场 甘李药业赖脯胰岛素在黎巴嫩获批,中证网
216,2021-08-24,甘李药业：赖脯胰岛素注射液获得黎巴嫩注册批件,Wind
217,2021-08-24,甘李药业：赖脯胰岛素注射液获得黎巴嫩注册批件,财联社
218,2021-08-24,高瓴资本概念股整体活跃，泰格、金域、凯莱英、恩捷、甘李药业均大涨,Wind
219,2021-08-23,再释生物药集采信号！270亿胰岛素市场先行试水,医药经济报
220,2021-08-21,胰岛素集采将至，甘李、通化东宝龙头能否稳住？诺和诺德、礼来、赛诺菲三大跨国巨头如何破局？谁将是集采“黑马”？国产替代能否实现？,E药经理人
221,2021-08-21,甘李药业甘精胰岛素在巴拉圭获批,贝壳财经
222,2021-08-20,我国胰岛素行业第一次集采，或于9月开始,蒲公英
223,2021-08-20,深度解读 | 国内胰岛素行业终局之战大猜想,新康界
224,2021-08-20,甘李药业：Wintersweet提前终止减持计划 已减持11.16万股,财联社
225,2021-08-20,甘李药业(603087.SH)：甘精胰岛素原料药和注射液获巴拉圭注册批件,格隆汇
226,2021-08-20,甘李药业：股东Wintersweet累计减持0.02%股份,Wind
227,2021-08-20,甘李药业(603087.SH)股东Wintersweet累计减持11.16万股 减持计划提前终止 拟减持股份,智通财经
228,2021-08-20,产经报道｜胰岛素国家集采“官宣”：是“尘埃落定”还是“刚刚开始”,财经网
229,2021-08-20,中国最会赚钱的5位女人,投资界
230,2021-08-20,降糖药胰岛素集采下月启动 近300亿市场格局生变,第一财经
231,2021-08-19,百亿胰岛素市场迎新变局：集采能否打破进口垄断局面？,21世纪经济报道
232,2021-08-19,胰岛素国家集采剧透，两龙头股价大涨 业内人士：有踩空先例,每日经济新闻
233,2021-08-19,胰岛素国采有望9月启动：外企份额或受冲击，国产渗透率提高,澎湃新闻
234,2021-08-19,近300亿市场将迎“巨变”，多家药企一夜间市值暴涨！,医药观察家网
235,2021-08-19,这只胰岛素概念股涨停后，还有冲高趋势,制药网
236,2021-08-19,胰岛素集采利好信号又来了 250亿元市场迎变局,金融界
237,2021-08-19,降糖药胰岛素集采欲下月启动，286亿市场格局将生变,第一财经
238,2021-08-19,胰岛素集采落地，相关概念股不跌反涨,环球老虎财经
239,2021-08-19,250亿市场爆炸消息！龙头股盘中涨停，国家酝酿集中带量采购,中证报
240,2021-08-19,胰岛素集采将至，甘李药业三代胰岛素进口替代将加速,阿尔法工场
241,2021-08-19,国家胰岛素集采计划9月启动 甘李药业：政策有利国产替代，对公司影响未知,每日经济新闻
242,2021-08-19,甘李药业涨停 胰岛素集采利空落地,格隆汇
243,2021-08-19,这只胰岛素概念股涨停，后市或有继续冲高动能,制药网
244,2021-08-19,胰岛素国家集采将至 甘李药业涨停,中证网
245,2021-08-19,胰岛素集采利空落地 相关概念股飙涨,第一财经
246,2021-08-17,甘李药业董事王大梅、监事杨劲辉辞职 陈伟、张涛为候选人 董监高成员变化,新浪
247,2021-08-16,甘李药业(603087.SH)提名陈伟为董事候选人,智通财经
248,2021-08-11,"甘李药业现2笔大宗交易 共成交2,079.00万元",新浪
249,2021-08-09,"甘李药业现10笔大宗交易 共成交5,860.80万元",新浪
250,2021-08-09,胰岛素入国家集采：多家外企或受降价影响 国产药企机会来了？,财经网
251,2021-08-09,高瓴资本概念股整体活跃，甘李药业、良品铺子、健帆生物、公牛集团大涨,Wind
252,2021-08-06,5进4，新一轮国产替代，从胰岛素集采开始,健识局
253,2021-08-04,千亿市值跌去大半，胰岛素行业的黄昏到了,凤凰网
254,2021-08-02,医药行业周报：政策担忧不改医药高景气 疫情爆发带来疫苗阶段性机会,新浪
255,2021-08-01,200亿胰岛素市场生变？国家或集采胰岛素，企业将如何应对？,和讯
256,2021-07-30,国家发集采“信号”：超200亿胰岛素市场迎变，企业如何应对？,21世纪经济报道
257,2021-07-30,医保局副局长组织座谈会，胰岛素集采来了！,医药观察家网
258,2021-07-30,医保局征集企业意见：胰岛素国采或再进一步 进口替代有戏？,新浪
259,2021-07-30,胰岛素集中带量采购改革 市场格局将迎来巨变,新浪
260,2021-07-30,胰岛素集采渐近 超200亿市场迎巨变,北京商报
261,2021-07-29,胰岛素集采将至！会按何种规则？甘李、通化东宝这些一品独大的公司如何应对？,E药经理人
262,2021-07-29,新政 | 国家医保局组织座谈，胰岛素集采即将启动,健识局
263,2021-07-29,没有侥幸，胰岛素集采来了！,蒲公英
264,2021-07-29,行业观｜胰岛素集中带量采购再传新消息，相关概念股今日市场表现平稳,财经网
265,2021-07-26,高瓴资本概念股纷纷下滑，甘李药业逼近跌停并再创阶段新低,Wind
266,2021-07-23,高瓴爱股甘李药业：为何半年雪崩50%？,格隆汇
267,2021-07-23,7家医药公司7月22日现大宗交易，累计成交2.37亿元,制药网
268,2021-07-22,"甘李药业现16笔大宗交易 共成交9,820.39万元",新浪
269,2021-07-22,甘李药业：股东明华创新减持数量已过半 减持股份,每日经济新闻
270,2021-07-22,甘李药业(603087.SH)：减持数过半明华创新已减持0.5%股份 减持股份,格隆汇
271,2021-07-22,甘李药业(603087.SH)股东明华创新减持280.8万股 减持数量过半 减持股份,智通财经
272,2021-07-22,甘李药业：股东明华创新累计减持0.50%股份 减持股份,Wind
273,2021-07-22,A股异动丨甘李药业(603087.SH)涨近5%精蛋白人胰岛素混合注射液通过GMP符合性检查,格隆汇
274,2021-07-21,甘李药业：交易性金融资产主要为公司持有的股票投资、结构性存款和保本浮动收益理财产品,每日经济新闻
275,2021-07-21,甘李药业：全球胰岛素市场一个显着的发展趋势是重组胰岛素类似物产品增速远高于其他品种，市场份额不断提高,每日经济新闻
276,2021-07-21,甘李药业：公司已通过国家高新技术企业认定，享受国家关于高新技术企业的税收优惠政策，即按15%的税率缴纳企业所得税,每日经济新闻
277,2021-07-21,甘李药业精蛋白人胰岛素混合注射液通过认证 患者医疗成本降低,新京报
278,2021-07-20,甘李药业：取得《药品GMP符合性检查结果的通知》,财联社
279,2021-07-20,甘李药业(603087.SH)取得《药品GMP符合性检查结果的通知》,智通财经
280,2021-07-20,甘李药业：公司产品暂未被纳入国家药品集采目录,每日经济新闻
281,2021-07-20,甘李药业：公司已拥有了长效甘精胰岛素等四个重组胰岛素类似物品种,每日经济新闻
282,2021-07-19,高瓴资本概念股甘李药业单边下挫态势仍未扭转，本月累跌超两成,Wind
283,2021-07-14,甘李药业：2020年净利润同比增长5.43%,Wind
284,2021-07-13,"甘李药业现1笔大宗交易 共成交20,064.00万元",新浪
285,2021-07-13,甘李药业今日大宗交易成交220万股，成交价91.2元折价5.0%,Wind
286,2021-07-08,上周39家公司股东拟套现，嘉元科技股价高点现大笔减持,界面
287,2021-07-07,甘李药业发生大宗交易成交折价率10.18%,证券时报网
288,2021-07-07,"甘李药业现1笔大宗交易 共成交1,794.40万元",新浪
289,2021-07-07,甘李药业今日大宗交易成交20万股，成交价89.72元折价10.18%,Wind
290,2021-07-07,微观流动性跟踪双周报：融资风格攻守兼备 北上加仓电气设备,新浪
291,2021-07-05,"甘李药业现1笔大宗交易 共成交12,196.80万元",新浪
