,2021-12-29,卓胜微：公司已逐步推出适用于5G通信标准中sub-6GHz频段的产品并实现量产出货,每日经济新闻
42,2021-11-26,【行情】半导体板块早盘走低，富瀚微跌超8%，国民技术、安路科技、卓胜微、赛微电子、北方华创等跌幅居前,金十数据
43,2021-11-26,A股早报2021年11月26日星期五,Wind
44,2021-11-26,每日理财观察：国务院部署在六城市开展营商环境创新试点,Wind
45,2021-11-26,热点快速轮动，资金分歧明显,Wind
46,2021-11-25,深度*行业*电子行业周报：TI宣布新厂建设计划 联发科发布4NM处理器,新浪
47,2021-11-25,金融街下午茶2021年11月25日星期四,Wind
48,2021-11-25,北向资金连续5日净买入成交额创5个月新低，再度净买入贵州茅台超3亿元,Wind
49,2021-11-25,A股收盘综述：元宇宙概念股重挫；芯片牛股20cm跌停！,Wind
50,2021-11-25,解盘：资金继续流入，特高压、物联网、充电桩、医药领涨,Wind
51,2021-11-25,A股午盘综述：题材股表现分化，大牛股20cm跌停,Wind
52,2021-11-25,半导体芯片股异动，创业板富瀚微涨停，敏芯股份、国民技术、友讯达、卓胜微、圣,新浪
53,2021-11-25,国产芯片概念股上攻，富瀚微涨停,Wind
54,2021-11-25,北向资金动向盘点：贵州茅台、宁德时代“分道扬镳”,Wind
55,2021-11-25,“喝酒行情”再现，北向资金近38亿增持酿酒板块，大幅抛售这只食品饮料股（名单）,21世纪经济报道
56,2021-11-24,芯片小龙头4天涨56%、低位机构高关注股出炉,Wind
57,2021-11-23,北向资金连续3日加仓累计扫货近150亿，宁德时代11月累计净买入超百亿,Wind
58,2021-11-23,【热点报告——股指期货】2021年12月主要规模指数成分股调整预测及影响,东证衍生品研究院
59,2021-11-23,深度*行业*半导体行业周报：思瑞浦发布数字隔离产品 FPGA安路科技上市,新浪
60,2021-11-23,北向资金减持钢铁、银行板块，买入电子元件！新能源汽车产业链发力，这些个股受青睐（名单） 减持股份,21世纪经济报道
61,2021-11-23,北向资金动向盘点：同时净买电新、食品饮料,Wind
62,2021-11-23,6万亿赛道突然狂飙！英美又出新能源刺激政策,Wind
63,2021-11-22,5G板块表现强劲 卓胜微今日获净流入超5亿元,第一财经
64,2021-11-22,深港通十大成交活跃股排名（11月22日）,Wind
65,2021-11-22,北向资金今日净买入14.35亿元，宁德时代再获大幅净买入近17亿,Wind
66,2021-11-22,电子行业周报：折叠屏关注度继续升温 德仪宣布大额扩产计划,新浪
67,2021-11-22,科技硬件周报：AIOT产业加速 CMP材料与设备受关注,新浪
68,2021-11-21,7000亿大市场！傅鹏博、朱少醒、谢治宇、刘格菘…顶流们都来了,Wind
69,2021-11-21,7000亿大市场！傅鹏博、朱少醒、谢治宇等顶流们都来了,Wind
70,2021-11-21,7000亿大市场！傅鹏博、朱少醒、谢治宇、刘格菘…顶流们都来了,中国基金报
71,2021-11-19,卓胜微：公司在产品研发的过程中根据产品设计和应用需求等方面选用业内知名EDA公司提供的相应EDA软件,每日经济新闻
72,2021-11-18,卓胜微：公司应用于物联网领域的产品包括低功耗蓝牙微控制器等,每日经济新闻
73,2021-11-18,卓胜微：公司射频前端产品当前主要应用于智能手机等移动智能终端,每日经济新闻
74,2021-11-18,卓胜微：公司生产经营一切正常,每日经济新闻
75,2021-11-18,卓胜微：公司射频前端产品当前主要应用于智能手机等移动智能终端，公司低功耗蓝牙产品主要应用于智能家居、可穿戴设备等移动智能终端设备和产品，同时公司正积极拓展通信基站、汽车电子、路由器等下游应用领域,每日经济新闻
76,2021-11-18,卓胜微(300782.SZ)向激励对象授予预留3.24万股限制性股票 授予价为149.67元/股,智通财经
77,2021-11-18,深度*行业*电子行业周报：代工双雄营收创新高 英伟达更新OMNIVERSE,新浪
78,2021-11-17,卓胜微：公司新推出的适用于5G NR频段的主集发射模组（L-PAMiF）产品处于推广送样阶段,每日经济新闻
79,2021-11-17,卓胜微：目前公司在建项目包括芯卓半导体项目和再融资项目,每日经济新闻
80,2021-11-17,卓胜微：芯卓半导体产业化建设项目主要针对SAW滤波器的晶圆制造和封装测试，提升公司在射频SAW滤波器领域的整体工艺技术能力和模组量产能力，实现射频SAW滤波器芯片和射频模组的全产业链布局,每日经济新闻
81,2021-11-17,先进制造大基金加码碳化硅赛道，构建新能源汽车朋友圈,Wind
82,2021-11-16,北向资金再度加仓近42亿连续4日净买入，批量扫货白酒医药股,Wind
83,2021-11-15,卓胜微：公司专注于射频集成电路领域的研究、开发与销售，目前主要采用Fabless经营模式,每日经济新闻
84,2021-11-15,卓胜微：已推出适用于5G NR频段的射频分立器件和模组产品,每日经济新闻
85,2021-11-15,卓胜微：目前暂无计划参加IC CHINA 2021中国（上海）国际半导体展览会,每日经济新闻
86,2021-11-15,科技硬件周报：半导体板块高景气度延续、关注5G+AIOT新机遇,新浪
87,2021-11-15,聚焦|射频前端滤波器格局改变 国内市场群雄并起,财联社
88,2021-11-15,电子行业周报：杂音干扰的旺季VS乐观看待的明年,新浪
89,2021-11-12,卓胜微：公司将持续夯实在射频领域的布局，在保持并深入拓展手机等移动智能终端领域的同时，深入挖掘通信基站、网通组网设备、物联网等应用领域的市场机会,每日经济新闻
90,2021-11-12,卓胜微：公司芯卓半导体产业化建设项目位于无锡市滨湖区胡埭东区，其各栋主体结构已于2021年6月底顺利封顶，主体建筑计划于年底前投入使用,每日经济新闻
91,2021-11-12,卓胜微：公司芯卓半导体产业化建设项目各栋主体结构已封顶，主体建筑计划于年底前投入使用,每日经济新闻
92,2021-11-12,电子行业周报：消费电子估值显现吸引力,新浪
93,2021-11-10,卓胜微：公司射频前端产品当前主要应用于智能手机等移动智能终端，同时公司正积极拓展通信基站、汽车电子、路由器等下游应用领域,每日经济新闻
94,2021-11-10,卓胜微：芯卓半导体产业化建设项目设备已根据项目规划逐步释放了订单，目前项目正按规划实施,每日经济新闻
95,2021-11-09,北向资金成交低迷连续3日净卖出，中国平安遭大幅净卖出超10亿元,Wind
96,2021-11-08,三季报回顾：核心龙头延续增长 半导体持续呈现高景气,新浪
97,2021-11-05,景气提升！三大运营商齐聚A股，5G浪潮开启,Wind
98,2021-11-05,电子行业专题研究：3Q持仓分析 北上持续加码半导体,新浪
99,2021-11-05,模拟芯片企业纷纷提价，概念股前三季度净利润普增,Wind
100,2021-11-04,北向资金稳步加仓连续6日净买入，新能源、大消费集体获抢筹,Wind
101,2021-11-04,卓胜微：芯卓半导体产业化建设项目建成后，将提升公司在射频SAW滤波器领域的整体工艺技术能力和模组量产能力,每日经济新闻
102,2021-11-04,超七成概念股业绩翻倍，昔日大牛股砸出深坑(名单),Wind
103,2021-11-04,【行情】半导体芯片股拉升走强，上声电子涨超9%，寒武纪、晶丰明源、卓胜微、力合微等跟涨,金十数据
104,2021-11-04,北向资金动向盘点：连续15日净买宁德时代,Wind
105,2021-11-04,连续5日净买入！北向资金最新增减持动向曝光，“光伏茅”遭大幅抛售（名单） 减持股份,21世纪经济报道
106,2021-11-03,卓胜微跌4.26% 东北证券东吴证券高位喊买入,中国经济网
107,2021-11-03,农业拉升电新杀跌，强势板块回调市场见底？,Wind
108,2021-11-02,卓胜微：公司已研发并推出适用于5G通信制式sub-6GHz的高频产品及射频模组产品,每日经济新闻
109,2021-11-01,卓胜微：芯卓半导体产业化建设项目主要针对SAW滤波器的晶圆制造和封装测试，即将完成具备工艺设备搬入条件,每日经济新闻
110,2021-11-01,卓胜微：公司目前未与神工半导体开展合作,每日经济新闻
111,2021-11-01,卓胜微：公司射频前端产品当前主要应用于智能手机等移动智能终端,每日经济新闻
112,2021-11-01,全球巨头大动作，元宇宙会带来哪些投资机会？,Wind
113,2021-11-01,天风国际郭明錤：预测10年内头戴显示器装置出货量将达数十亿,Wind
114,2021-11-01,【郭明錤电子研究】Wi-Fi 6/6E/7为元宇宙装置无线化关键；Wi-Fi供应链为10年内数十亿部头戴显装置潜在市场之主要赢家,天风国际
115,2021-10-30,翱捷科技子公司两名来自“阿里系”董事突击退出 昔日合作信披现疑云,中金在线
116,2021-10-27,卓胜微(300782)：21Q3业绩符合预期 FABLITE模式推进射频产业链布局,光大证券
117,2021-10-27,首创证券给予卓胜微买入评级：Q3增速放缓，射频前端全布局雏形已现,每日经济新闻
118,2021-10-27,麦捷科技(300319)深度报告：半导体先发优势明显 低渗透高壁垒有望带动全面景气周期,新浪
119,2021-10-27,电子周报：中芯国际积极扶持战略供应商 继续看好设备材料、功率和模拟,新浪
120,2021-10-27,半导体三季报隐现分化：集成电路IC持续高增，部分中游环节单季放缓,Wind
121,2021-10-26,卓胜微：公司2021年前三季度营业外支出较半年度增加530万，主要系对外捐赠所致,每日经济新闻
122,2021-10-26,又一波知名基金经理调仓了！赵诣大幅减持重仓股，邹曦增持三一重工潍柴动力，李化松坚守迈瑞医疗 减持股份,财联社
123,2021-10-26,业绩增速放缓遭机构下调目标价 卓胜微如何度过“阵痛期” 盈利能力下降,投资者网
124,2021-10-26,刘格菘、黄兴亮、邹曦、陈一峰等知名基金经理三季报持仓大曝光！,Wind
125,2021-10-25,卓胜微(300782)三季报点评：2021Q3业绩符合预期 关注公司新产品进度,国海证券
126,2021-10-25,利率堪比茅台！射频领域公司臻镭科技科创板IPO再进一步,财联社
127,2021-10-25,东吴证券维持卓胜微买入评级，2021年第三季度报点评：稳步推进产业链布局，射频模组构建全新增长引擎,每日经济新闻
128,2021-10-25,东吴证券：给予卓胜微买入评级,证券之星
129,2021-10-25,电子行业周报：鸿蒙生态蓬勃发展 IOT产业加速,新浪
130,2021-10-25,市场需求火爆，多家半导体公司三季报业绩大增,Wind
131,2021-10-24,天风证券维持卓胜微买入评级：保持高研发投入，自建产线与新品稳步推进,每日经济新闻
132,2021-10-24,卓胜微(300782)季报点评：Q3继续稳健增长 关注新品突破,新浪
133,2021-10-23,最高浮盈超450%！基金这一投资市场火了,Wind
134,2021-10-22,寻找预期差！半导体持续高景气，35家公司净利增100%,Wind
135,2021-10-22,卓胜微(300782)：3Q业绩符合预期 射频滤波器及模组项目建设稳步推进,新浪
136,2021-10-22,卓胜微前三季净利翻倍达15亿元 股价涨近8%,中国经济网
137,2021-10-22,【招商电子】卓胜微：Q3业绩受手机需求影响，期待新品打开成长空间,招商电子
138,2021-10-22,卓胜微前三季度实现营收34.84亿元 同比增长76.61%,C114通信网
139,2021-10-22,煤炭又崩了，芯片家电地产飙升：千亿龙头股大爆发,中国基金报
140,2021-10-22,中一签亏6000，新股一上市就破发！煤炭又崩了,Wind
141,2021-10-22,国科微前三季净利大增119倍，机构建议四主线关注半导体板块投资机会,第一财经
142,2021-10-22,A股异动 | 卓胜微涨5% 第三季度净利同比增40.65%,格隆汇
143,2021-10-22,卓胜微前三季度业绩稳增，蔡嵩松管理的诺安成长混合基金增持加仓,资本邦
144,2021-10-22,卓胜微（300782）2021年三季报点评：毛利率环比提升，SAW产线顺利推进,国信研究
145,2021-10-22,华西证券：给予卓胜微买入评级,证券之星
146,2021-10-21,【晚间公告抢先看】深南电A天然气发电上网电价调整、中国联通A股第三季度净利同比增长14%,金融界
147,2021-10-21,蔡嵩松回补卓胜微，冯明远猎新芳源股份，杨栋纠错中核钛白…明星基金经理最新操作露冰山一角,财联社
148,2021-10-21,卓胜微：公司滤波器产品现阶段主要采用SAW、IPD等工艺，市场策略以集成化为主要方向,每日经济新闻
149,2021-10-21,千亿射频龙头前三季净利大增112%，北上资金、诺安蔡嵩松都加仓了,AI财经社
150,2021-10-21,晚间重要公告2021年10月21日星期四,Wind
151,2021-10-21,卓胜微：前三季度净利润15.27亿元 同比增长112.84%,中证网
152,2021-10-21,蔡嵩松加仓卓胜微 上半年逢高减仓三季度增持似“高抛低吸”,财联社
153,2021-10-21,卓胜微公布三季报 前三季净利增加112.84%,新浪
154,2021-10-21,卓胜微三季报净利增长112%，单季环比增速下降 盈利能力下降,阿尔法工场
155,2021-10-21,卓胜微：公司产品均为自主研发,Wind
156,2021-10-21,卓胜微前三季度净利润同比增长112.84%,上证报
157,2021-10-21,卓胜微：第三季度净利润同比增长40.65%,格隆汇
158,2021-10-21,卓胜微：前三季度净利同比增长112.84%,财联社
159,2021-10-21,卓胜微：第三季度净利润5.13亿元，同比增长40.65%,Wind
160,2021-10-21,卓胜微三季度净利不及预期股价回调43% 四大股东密集减持已累计套现76亿 盈利能力下降,长江商报
161,2021-10-21,卓胜微3季度净利不及预期股价回调43% 4大股东密集减持已累计套现76亿 盈利能力下降,腾讯网
162,2021-10-19,深度*行业*半导体行业周报：三季报业绩普遍高增长 台积电表示产能紧张延续至2022全年,新浪
163,2021-10-19,电子行业周报：台积电2021Q3业绩解读及2021Q4展望,国海证券
164,2021-10-19,电子行业周报：关注3Q公司业绩预告,新浪
165,2021-10-19,深度*行业*电子行业周报：需求与产能共振 半导体产业持续增长可期,新浪
166,2021-10-19,大基金有新动作！二期布局有何玄机？,Wind
167,2021-10-18,创业板股最新股东户数降幅排行榜,证券时报网
168,2021-10-18,科技硬件周报：半导体景气周期延续,新浪
169,2021-10-18,电子行业周报：关注折叠屏创新、荣耀崛起以及苹果MINILED新品发布,新浪
170,2021-10-15,电子行业2021年四季度投资策略：消费电子环比改善 布局低估值龙头半导体持续关注国产替代,新浪
171,2021-10-14,卓胜微：“芯卓半导体产业化建设项目”各栋主体结构已于6月底顺利封顶，主体建筑计划于年底前投入使用,Wind
172,2021-10-14,卓胜微：芯卓半导体产业化建设项目各栋主体结构已于2021年6月底顺利封顶，主体建筑计划于年底前投入使用,每日经济新闻
173,2021-10-14,卓胜微：公司滤波器产品现阶段市场策略以集成化为主要方向,每日经济新闻
174,2021-10-14,又见业绩大增股价大跌！富满电子第三季度净利增速放缓，缺芯潮负面影响显现 盈利能力下降,21世纪经济报道
175,2021-10-14,29只创业板股最新筹码趋向集中,证券时报网
176,2021-10-14,走下万亿“神坛”，A股成交骤降藏何玄机,Wind
177,2021-10-13,卓胜微：公司目前生产经营一切正常,每日经济新闻
178,2021-10-13,卓胜微：在建项目包括35亿元芯卓项目和近30亿元再融资项目,C114通信网
179,2021-10-13,创业板最新筹码集中股名单（附股）,证券时报网
180,2021-10-13,千亿芯片龙头两天大跌17%，半导体景气度见顶了？,Wind
181,2021-10-13,晨会聚焦211013重点关注机械、电子、通富微电、卓胜微、风华高科,国信研究
182,2021-10-12,21硬核投研丨千亿芯片龙头卓胜微两天大跌17%，半导体景气度见顶了？,21世纪经济报道
183,2021-10-12,业绩预增翻倍，却两日暴跌17%，蔡嵩松“爱股”卓胜微怎么了？,证券之星
184,2021-10-12,通富微电(002156)：Q3业绩超预期 “旺盛需求+优质客户”带动公司业绩高增长,新浪
185,2021-10-12,葛兰等一众大佬定增抢筹的卓胜微接近腰斩，射频芯片龙头不香了？,证券之星
186,2021-10-12,研判国内企业创新实力与路径：2021年大国创新百强指数发布（附报告）,21世纪经济报道
187,2021-10-12,前三季净利润增长105.00%-115.00% 卓胜微下跌6.63%,证券时报
188,2021-10-12,午后芯片跌幅扩大，资金逆势加仓芯片ETF,Wind
189,2021-10-12,卓胜微、圣邦股份下跌6%，资金逆势加仓芯片ETF（159995）,资本邦
190,2021-10-12,卓胜微前三季度业绩预计实现净利润增长105%至115%,C114通信网
191,2021-10-12,电子行业周报：对当前半导体板块投资机会的深度思考,国海证券
192,2021-10-12,卓胜微前三季净利增约115% 自建生产线解决“缺芯潮”,长江商报
193,2021-10-12,【银河电子傅楚雄/王恺】行业周报丨8月半导体销售额再创新高，关注射频前端国产替代机遇,中国银河证券研究
194,2021-10-11,蔡嵩松“爱股”大跌11%！芯片巨头波及800多只基金，券商：买入,中证报
195,2021-10-11,卓胜微(300782)：射频芯片龙头 持续高增长,新浪
196,2021-10-11,刚刚，A股首份三季报亮相，业绩暴增5.8倍，横扫一大批科技股！芯片龙头突然大跌，背后原因是这个？,e公司
197,2021-10-11,卓胜微跌11.28% 华西证券今刚发研报喊买入,中国经济网
198,2021-10-11,A股资金流向（10月11日）：资金延续避高就低态势，大金融板块获青睐,Wind
199,2021-10-11,卓胜微：本次自建产线采用以销定产、以产定投模式,每日经济新闻
200,2021-10-11,卓胜微：公司新推出的L-PAMiF（主集发射模组，集成射频功率放大器、射频开关、IPD滤波器、低噪声放大器）产品处于推广送样阶段,每日经济新闻
201,2021-10-11,卓胜微(300782.SZ)大跌超11% 第三季度业绩增速明显放缓 盈利能力下降,格隆汇
202,2021-10-11,三季度业绩同比翻倍 卓胜微股价却大跌 什么原因？,证券之星
203,2021-10-11,卓胜微、金山办公、华熙生物跌超4%，科创创业ETF（588360）跌逾1%,资本邦
204,2021-10-11,预增公告披露后“20CM涨停”！三季报行情如何布局,Wind
205,2021-10-11,电子行业周报：台股营收透露曙光、先蹲后跳静待佳音,新浪
206,2021-10-11,华西证券维持卓胜微买入评级：全品类射频龙头，模组增长才刚开始,每日经济新闻
207,2021-10-11,上市公司正负面新闻2021年10月11日星期一,Wind
208,2021-10-11,三季报业绩十倍股名单出炉，这些股净利润三年连增（附股）,新浪
209,2021-10-11,思维独角兽 | 天然气价格飙升，英部分企业警告：不改变能源紧张现状或被迫停产；卓胜微：前三季度净利润同比预增长105%-115%,投资者网
210,2021-10-10,【华西电子孙远峰团队-持续推荐卓胜微】Q3全品类射频龙头，模组增长才刚开始,远峰电子
211,2021-10-10,卓胜微(300782.SZ)第三季度净利润预增33%-43%,格隆汇
212,2021-10-10,卓胜微发布三季度业绩预告：预计公司净利润为147089.6万元-154264.7万元，与上年同期相比增长105.00%-115.00%,全景网
213,2021-10-10,晚间重要公告2021年10月10日星期日,Wind
214,2021-10-10,卓胜微前三季度业绩预增105%-115%,上证报
215,2021-10-10,销售收入增长 卓胜微(300782.SZ)前三季度归母净利预增105%至115%,智通财经
216,2021-10-10,卓胜微：前三季度预计净利润同比增长105.0%~115.0%,Wind
217,2021-10-10,卓胜微：前三季净利同比预增105%-115%,e公司
218,2021-10-10,卓胜微：预计前三季度净利润同比增长105%-115%,Wind
219,2021-10-09,电子行业周报：关注美国货币政策影响,新浪
220,2021-10-08,深度*行业*电子行业周报：三季报拉开序幕 晶圆厂格芯赴美上市,新浪
221,2021-10-08,电子行业北上资金月报,新浪
222,2021-10-06,规模同比增长213%，公募掀起定增潮,Wind
223,2021-09-30,北向资金9月净买入超300亿连续12个月加仓A股，批量扫货新能源产业链股,Wind
224,2021-09-30,北向资金动向盘点：连续第四日净买食品饮料,Wind
225,2021-09-29,卓胜微：公司目前生产经营情况一切正常,每日经济新闻
226,2021-09-28,富满电子：公司5G射频芯片目前处于部分型号产品量产阶段，目前正在持续研发,Wind
227,2021-09-28,卓胜微：公司目前和华为没有芯片交易,每日经济新闻
228,2021-09-28,通富微电(002156)重大事项点评：国产封测领军企业 定增助力公司长远发展,新浪
229,2021-09-27,电子行业每周市场动态追踪：半导体产业自立是长期必然趋势,新浪
230,2021-09-27,电子周观点：创维发布Q72电视 MINILED商用进一步加速,新浪
231,2021-09-26,电子行业周报：杂音频传、信心受挫；先蹲后跳、静待佳音,新浪
232,2021-09-26,卓胜微：目前不涉及第三代半导体材料,每日经济新闻
233,2021-09-24,卓胜微：公司DiFEM产品适用于Sub-3GHz 频段，LNA BANK产品适用于Sub-3GHz和Sub-6GHz的4G及5G频段,每日经济新闻
234,2021-09-24,卓胜微：公司滤波器产品现阶段主要采用SAW、IPD等工艺，市场策略以集成化为主要方向,每日经济新闻
235,2021-09-24,卓胜微：公司LFEM产品适用于sub-6GHz的5G NR 频段，LDiFEM产品适用于Sub-3GHz频段,每日经济新闻
236,2021-09-23,深度*行业*半导体行业周报：全球晶圆厂设备支出预期持续增长 国产先进封装光刻机迎来新进展,新浪
237,2021-09-22,卓胜微：芯卓半导体产业化建设项目各栋主体结构已于6月底顺利封顶，主体建筑计划于年底前投入使用,Wind
238,2021-09-22,电子行业周报：留意消费放缓对物联网影响,新浪
239,2021-09-22,定增“淘金”收益颇丰，基金参与热情高涨,Wind
240,2021-09-18,科技硬件行业周报：继续看好通信板块,新浪
241,2021-09-17,卓胜微：公司推出的适用于5G NR频段的L-PAMiF产品（主集发射模组，集成射频功率放大器、射频开关、滤波器、低噪声放大器），正处于推广送样阶段,每日经济新闻
242,2021-09-17,用友网络(600588)深度系列之四：决胜大客户 智造正起航,新浪
243,2021-09-17,卓胜微：二季度销售费用有所降低主要是售后技术支持服务费、佣金费用减少所致,Wind
244,2021-09-17,卓胜微：公司已推出LFEM、DiFEM、LDiFEM产品，均已量产出货，新推出的L-PAMiF产品处于推广送样阶段,每日经济新闻
245,2021-09-16,卓胜微：公司射频前端产品当前主要应用于智能手机等移动智能终端，同时公司正积极拓展通信基站、汽车电子、路由器等下游应用领域,每日经济新闻
246,2021-09-16,卓胜微：公司通过前期立足于射频分立器件和接收端模组市场，进而再布局发射端射频模组产品,每日经济新闻
247,2021-09-16,卓胜微：公司射频前端产品可应用于智能手机及其他移动终端产品,每日经济新闻
248,2021-09-16,中秋假期前外资暂时离场净卖出超30亿，万科A净卖出额创近4年新高,Wind
249,2021-09-16,卓胜微：公司已推出满足WiFi 6连接标准的连接模组产品，该部分产品目前已在部分客户验证通过,每日经济新闻
250,2021-09-15,电子：半导体大厂安森美再次涨价 印证行业高景气,新浪
251,2021-09-15,卓胜微、康泰生物跌超5%，双创基金ETF（159783）跌幅扩大,资本邦
252,2021-09-15,江苏“前股王”卓胜微股价两月跌掉三成，大股东再质押46万股,深水财经社
253,2021-09-14,卓胜微：公司射频功率放大器主要采用GaAs材料及相应工艺实现,每日经济新闻
254,2021-09-14,卓胜微：公司产品均为自主研发,每日经济新闻
255,2021-09-14,卓胜微(300782.SZ)实控人许志翰质押46.35万股,智通财经
256,2021-09-14,卓胜微：实际控制人之一许志翰质押股数为46.35万股,每日经济新闻
257,2021-09-14,科技-射频系列报告二：滤波器核心资产 国产化率加速提升,新浪
258,2021-09-13,卓胜微：公司L-PAMiF产品（主集发射模组，集成射频功率放大器、射频开关、滤波器、低噪声放大器）主要应用于手机等移动智能终端,每日经济新闻
259,2021-09-13,卓胜微：公司对募投项目和芯卓项目进行了审慎的可行性论证,每日经济新闻
260,2021-09-13,卓胜微：芯卓半导体产业化建设项目设备已根据项目规划逐步释放了订单，目前项目正按规划实施,每日经济新闻
261,2021-09-12,基金圈炸锅！三年最牛暴赚537%，更有五倍大牛基（名单）,Wind
262,2021-09-11,芯片股大反弹，谢治宇、章晖等顶流基金经理出手！,Wind
263,2021-09-11,半导体行业双周报：多因素引发短期波动 行业长期发展向好具有确定性,新浪
264,2021-09-10,卓胜微：公司已推出应用于可穿戴设备的低功耗蓝牙微控制器产品，目前已实现量产出货，但其收入占比较小,每日经济新闻
265,2021-09-10,卓胜微：公司暂没有进入苹果供应链,每日经济新闻
266,2021-09-10,卓胜微：目前公司已推出适用于5G NR频段的L-PAMiF产品（主集发射模组，集成射频功率放大器、射频开关、滤波器、低噪声放大器），并已开始推广送样,每日经济新闻
267,2021-09-10,电子行业2021年中报总结：板块增速分化 自下而上关注细分龙头,新浪
268,2021-09-09,卓胜微：芯卓半导体产业化建设项目各栋主体结构已于2021年6月底顺利封顶，主体建筑计划于年底前投入使用,每日经济新闻
269,2021-09-09,卓胜微：目前L-PAMiF产品正处于推广送样阶段,每日经济新闻
270,2021-09-07,昔日10倍大牛股再融资告吹！价格太高投资人不愿接盘 ？中报持续亏损,Wind
271,2021-09-06,半导体周跟踪：产业趋势向上明确 短期波动不改高景气,新浪
272,2021-09-03,卓胜微：芯卓半导体产业化建设项目各栋主体结构已于2021年6月底顺利封顶，主体建筑计划于年底前投入使用,每日经济新闻
273,2021-09-02,医药、半导体重挫，东北药茅遭腰斩，顶流基金社保踩雷,Wind
274,2021-09-02,电子行业日报：碳化硅国产化企业山东天岳上半年业绩增长显着,新浪
