,2021-12-31,猪企的2021年：股价深蹲后触底反弹，下行周期下面临资金考验,华夏时报
97,2021-11-27,正邦科技：1-10月公司累计销售生猪1311.77万头,Wind
98,2021-11-27,正邦科技：正邦集团旗下的正邦食品已成功打造出山林大红、正味佳、正邦鲜肉等肉食品品牌,每日经济新闻
99,2021-11-27,正邦科技：公司首批海外引种猪目前生产的父母代即将陆续进入能繁体系内，该批次预计于明年下半年产出仔猪,每日经济新闻
100,2021-11-27,正邦科技：1-10月公司累计销售生猪1311.77万头，同比增长83.15%,每日经济新闻
101,2021-11-27,“跌跌不休”的猪价终于迎来了一波强势反弹,搜狐
102,2021-11-25,"泰国首富募150亿""养猪""，牧原的头号对手要来了？",阿尔法工场研究院
103,2021-11-24,正邦科技：控股股东正邦集团累计质押公司19.69%股份,中证网
104,2021-11-24,正邦科技(002157.SZ)控股股东质押1200万股并解除质押960万股,智通财经
105,2021-11-24,正邦科技：正邦集团有限公司质押250万股,每日经济新闻
106,2021-11-23,“跌跌不休”何时了：猪周期拐点判断及对CPI的影响,新浪
107,2021-11-22,农林牧渔行业周报：生猪产能持续去化 猪价震荡偏强,新浪
108,2021-11-22,每日报告回放,新浪
109,2021-11-22,农林牧渔2021年11月第3期周报：北方雨雪天气对猪价有何影响 兼谈近期黄羽鸡价格为何上涨？,新浪
110,2021-11-22,申万农林牧渔周观点：关注双十一国产宠物食品销售表现 继续重视生猪养殖左侧布局价值,新浪
111,2021-11-22,农林牧渔行业周报：重视黄鸡产能去化,国海证券
112,2021-11-22,农林牧渔行业周报第46期：能繁母猪产能去化趋势延续 种植板块高景气依旧,新浪
113,2021-11-22,猪肉价格5周涨近40%！市场拐点仍未到来？,Wind
114,2021-11-21,IPO观察｜正大股份拟A股上市，中国市场已进不了前五，产能利用率远未饱和,搜狐
115,2021-11-19,正邦科技(002157)：资金状况有望改善 长期出栏弹性可期,新浪
116,2021-11-19,希望转2：农业龙头 二代再临,新浪
117,2021-11-17,棱镜｜猪企9个月赔光三年利润，股价却暴涨50％，猪肉股可以抄底了？,腾讯网
118,2021-11-16,农林牧渔行业周报：转基因品种审定办法落地 种业板块迎来重大变革,新浪
119,2021-11-16,为何卖猪单价总比行业水平低1块多？正邦科技：一方面10月上旬生猪出栏数量较多；另一方面四季度清退部分租赁产能导致猪只的提前出栏，继而影响整体均价,每日经济新闻
120,2021-11-16,农业2022年年度策略：周期轮回 布局养殖,新浪
121,2021-11-15,正邦科技：公司目前的育肥完全成本在仔猪端还有较大下降空间,每日经济新闻
122,2021-11-15,正邦科技：公司三季度的养殖育肥完全成本为19.81元/kg,每日经济新闻
123,2021-11-15,申万农林牧渔周观点：转基因品种审定办法落地 商业化进入倒计时阶段,新浪
124,2021-11-14,农林牧渔行业点评报告：2021Q3农业板块营收同比增长 行业利润首现亏损 亏损,新浪
125,2021-11-14,40股获买入评级 最新:安克创新,中财网
126,2021-11-14,正邦科技(002157)公司信息更新报告：成本改善产能趋稳 经营拐点已至,新浪
127,2021-11-12,正邦科技：控股股东正邦集团及其一致行动人江西永联合计质押700万股,每日经济新闻
128,2021-11-12,正邦科技(002157.SZ)：控股股东及其一致行动人补充质押合计700万股 股票质押异常,格隆汇
129,2021-11-11,【国君农业】生猪：10月体重价格双低，产能出清力度加大——10月出栏月报总结,农业凯歌
130,2021-11-11,农林牧渔行业：龙头企业出栏增长迅速 销售均重环比下滑 盈利能力下降,广发证券
131,2021-11-11,金额同比翻番，914家公司年内回购超千亿,Wind
132,2021-11-10,每日报告回放,新浪
133,2021-11-10,猪价暴涨前“下车” 10月上市猪企集体大量甩卖或亏损加剧 亏损,财联社
134,2021-11-10,正邦科技(002157)：轻装上阵 长期成长向好,新浪
135,2021-11-10,猪粮比连续数日破6，能繁母猪存栏量决定猪周期趋势性拐点,Wind
136,2021-11-09,猪粮比连续数日破6，能繁母猪存栏量决定猪周期趋势性拐点,第一财经
137,2021-11-09,正邦科技10月生猪销售收入14.34亿，同比下降67.51% 盈利能力下降,阿尔法工场
138,2021-11-09,猪周期拐点渐行渐近？猪企10月销售均价现企稳迹象,Wind
139,2021-11-09,犀牛财经早讯：新研股份被证监会立案 昆仑万维回复关注函,GPLP犀牛财经
140,2021-11-09,Wind风控日报2021年11月9日星期二,Wind
141,2021-11-09,上市公司正负面新闻2021年11月9日星期二,Wind
142,2021-11-09,【山证早班车】山西证券：晨会纪要（20211109）,山西证券研究所
143,2021-11-09,重要信号！猪企10月销售均价现企稳迹象，猪周期拐点渐行渐近？,Wind
144,2021-11-08,晚间重要公告2021年11月8日星期一,Wind
145,2021-11-08,【晚间公告抢先看】祖名股份上调部分植物蛋白饮品出厂价、ST中天股票累计涨幅较大 停牌核查,金融界
146,2021-11-08,正邦科技(002157.SZ)：10月生猪销售收入环比降17.65%、同比降67.51% 盈利能力下降,格隆汇
147,2021-11-08,正邦科技：10月生猪销售收入环比下降18% 盈利能力下降,财联社
148,2021-11-08,正邦科技：10月生猪销售收入14.34亿元 环比下降17.65% 盈利能力下降,e公司
149,2021-11-08,正邦科技：10月生猪销售收入环比下降17.65% 盈利能力下降,Wind
150,2021-11-08,农林牧渔2021年11月第1期周报：当前如何看待养殖和种业板块的投资机会？,新浪
151,2021-11-08,农林牧渔周观点：关注拉尼娜“再临”主题 重视养殖板块左侧布局价值,新浪
152,2021-11-08,巨亏出清，温氏股份反转来临？ 重大损失,第一财经
153,2021-11-06,股价大涨意味着投资逻辑生变 “超级猪周期”拐点到来的信号?,投资界
154,2021-11-05,正邦科技：公司9月底能繁母猪为100万头，后备母猪为40万头,每日经济新闻
155,2021-11-05,正邦科技：公司三季度育肥存活率为90%,每日经济新闻
156,2021-11-05,正邦科技：截至三季度末，公司能繁母猪共计100万头，后备共计40万头,每日经济新闻
157,2021-11-05,正邦科技：预计到今年年底，公司+农户占公司总体产能比重为40%,每日经济新闻
158,2021-11-05,正邦科技：公司三季度的养殖育肥完全成本为19.81元/kg,每日经济新闻
159,2021-11-05,养猪、电力等行业何时迎拐点？机构预测15只业绩低潮股今年逆转,Wind
160,2021-11-04,近期机构频繁调研，这个板块正在悄然升温,上证报
161,2021-11-04,正邦科技接受20家机构调研！短期主力资金净流入，市场资金或早已察觉,每日经济新闻
162,2021-11-04,涟水正邦牧业违反动物防疫法被罚 为正邦科技子公司,中国经济网
163,2021-11-04,多家上市猪企透露价格反弹，供过于求局面短期或难改善,Wind
164,2021-11-03,开源证券维持正邦科技买入评级：成本改善产能趋稳，经营拐点已至,每日经济新闻
165,2021-11-03,猪肉价格短期震荡回升 周期底部配置价值凸显猪肉概念股反弹走高,财华社
166,2021-11-03,业绩低潮股名单出炉，18股机构预测今年盈利逆转,Wind
167,2021-11-03,调研中国生猪养殖业：且问拐点何时现？,上证报
168,2021-11-02,正邦科技(002157.SZ)：控股股东正邦集团补充质押1880万股 股票质押异常,格隆汇
169,2021-11-02,正邦科技(002157)：控股股东部分股权质押,资本邦
170,2021-11-02,正邦科技(002157.SZ)：董事程凡贵完成减持73.39万股 减持股份,格隆汇
171,2021-11-02,正邦科技：正邦集团累计质押公司股份约6.14亿股,每日经济新闻
172,2021-11-02,三季报总结|寒冬来临，猪企业绩惨淡，“拼家底”的时候到了！,财联社
173,2021-11-02,申万农林牧渔周观点：Q3基金农业持仓仍处底部 重视养殖板块左侧布局价值,新浪
174,2021-11-01,正邦集团质押正邦科技0.18%股份,乐居财经
175,2021-11-01,正邦科技(002157.SZ)控股股东质押566万股,智通财经
176,2021-11-01,正邦科技：正邦集团及其一致行动人累计质押公司股份约12.23亿股,每日经济新闻
177,2021-11-01,图解正邦科技三季报：第三季度单季净利润同比减305.49% 盈利能力下降,证券之星
178,2021-11-01,盘前必读丨北交所基本明确开市时间，海航集团重整计划获法院裁定批准,第一财经
179,2021-10-31,太魔幻！“无鸡可炸”却利润大涨，猪价下跌肉制品反亏,Wind
180,2021-10-31,国海证券维持正邦科技增持评级：生猪出栏翻倍，饲料业绩向好,每日经济新闻
181,2021-10-31,国海证券：给予正邦科技增持评级,证券之星
182,2021-10-31,中航证券给予正邦科技买入评级：卸下包袱上阵，静待产能发力,每日经济新闻
183,2021-10-31,中航证券：给予正邦科技买入评级,证券之星
184,2021-10-30,Wind风控日报2021年10月30日星期六,Wind
185,2021-10-29,【提前看】29日公告精选：美的集团第三季度净利84亿；正邦科技第三季度亏损62亿 亏损,e公司
186,2021-10-29,正邦科技(002157.SZ)1-9月合计计提各类资产减值准备13亿元 资产异常,智通财经
187,2021-10-29,每经19点丨68亿元！极兔速递收购百世集团国内快递业务；正邦科技第三季度亏损61.97亿元；邓小刚任农业农村部副部长,每日经济新闻
188,2021-10-29,新鲜出炉！正邦科技：2021年第三季度净利润亏损约61.97亿元 亏损,每日经济新闻
189,2021-10-29,正邦科技：第三季度净亏损61.97亿元，前三季度净亏损76.27亿元。 亏损,财联社
190,2021-10-29,正邦科技：第三季度亏损61.97亿元,财联社
191,2021-10-29,正邦科技：前三季度净亏损76.27亿元，由盈转亏 亏损,Wind
192,2021-10-29,解盘：百亿资金流入，网游、食品、医疗、三胎概念领涨,Wind
193,2021-10-28,棱镜｜刚换豪车的养猪户又在含泪甩卖：一头亏3000，附近村都没猪了！,腾讯网
194,2021-10-27,牧原股份，如何穿越猪周期？,品途商业评论
195,2021-10-27,大公：关注正邦科技2021年前三季度业绩预计亏损 预亏,Wind
196,2021-10-27,江西正邦科技股份有限公司 关于控股股东股票质押式回购交易股份提前购回的公告,证券时报
197,2021-10-26,猪价止跌，20天涨超50%！猪企忙着去产能，猪周期拐点到了？,时代周报
198,2021-10-25,南财脱水研报｜猪价强势反弹，本轮猪周期拐点或将提前？,21经济网
199,2021-10-25,【行情】猪肉股开盘拉升，新五丰一字涨停，正邦科技、唐人神、新希望、天邦股份跟涨,金十数据
200,2021-10-20,正邦科技：将“正邦转债”转股价格由14.76元/股上修至14.77元/股,Wind
201,2021-10-20,正邦科技(002157.SZ)股东江西永联质押290万股,智通财经
202,2021-10-20,正邦科技(002157.SZ)：江西永联补充质押290万股,格隆汇
203,2021-10-20,正邦科技：正邦集团及其一致行动人累计质押公司股份约12.5亿股,每日经济新闻
204,2021-10-20,A股早报2021年10月20日星期三,Wind
205,2021-10-20,每日理财观察：基金公司密集申报“北交所”基金,Wind
206,2021-10-20,“超级猪周期”拐点来了？十月猪价触底反弹，猪企四季度或迎转机,华夏时报
207,2021-10-20,120家公司前三季亏损超亿元 亏损,证券时报网
208,2021-10-19,第三季度巨亏后股价大涨 券商：“猪肉概念”Q4或迎反击 重大损失,搜狐
209,2021-10-19,猪肉股又香了？多股涨停，资金抢筹新五丰、正邦，却卖出它（名单）,21世纪经济报道
210,2021-10-19,10月19日龙虎榜解析：正邦科技单日净买入额最多，还有15只个股被机构扫货,每经网
211,2021-10-19,猪价悄然回升 猪企在第三季度“全面亏损”后或迎来转机 亏损,经济观察报
212,2021-10-19,涨停板解密：火爆受追捧，农业股引领市场！（10月19日）,Wind
213,2021-10-19,人民币飙升引发资金回流？上一轮升值北上资金单周扫货逾400亿,Wind
214,2021-10-19,正邦科技龙虎榜数据（10月19日）,Wind
215,2021-10-19,收储叠加消费旺季，猪周期迎反转,Wind
216,2021-10-19,A股收盘综述：养殖板块拔地而起，宁德时代、中国神华、兖州煤业小幅录跌,Wind
217,2021-10-19,猪肉板块大幅拉升！三季报普亏大背景，机构：关注成本优势养殖头部企业,财联社
218,2021-10-19,猪肉股大幅反弹 新五丰、正邦科技等涨停,证券之星
219,2021-10-19,沸腾！万亿“宁王”盘中再创新高！航发细分龙头跌11%,Wind
220,2021-10-19,华为出手：5万亿板块涨停潮！平安大涨、医药股大反攻,Wind
221,2021-10-19,解盘：百亿资金流入，猪产业、钠离子电池、磷化工领涨,Wind
222,2021-10-19,快讯：正邦科技涨停 报于10.35元,金融界
223,2021-10-19,猪肉板块继续扩大升幅，正邦科技、金新农、巨星农牧涨停,Wind
224,2021-10-19,新五丰涨停，金新农、正邦科技涨超7%，养殖ETF（159865）涨超3%,资本邦
225,2021-10-19,【行情】猪肉板块拉升走强，新五丰、牧原股份涨超5%，正邦科技、天邦股份、温氏股份、立华股份、唐人神等跟涨,金十数据
226,2021-10-19,3000亿“猪茅”大动作！大股东计划60亿定增，抄底还是支援？,Wind
227,2021-10-18,农林牧渔行业周报第41期：三季度猪企业绩承压 种业板块业绩出现分化 盈利能力下降,新浪
228,2021-10-18,9月猪价下降46.9%，居民实现吃肉自由，养猪大户业绩惨淡 盈利能力下降,和讯
229,2021-10-18,农林牧渔行业2021年第41周周报：Q3业绩预告已出 如何看待生猪板块投资机会？,新浪
230,2021-10-18,一周食品行业动态：澳优因收购事项短暂停牌众上市猪企第三季度均预亏 重大事项停牌,中国食品网
231,2021-10-18,【行业一线】业绩亏！股价跌，猪企何时渡过“寒冬期”？ 盈利能力下降,财华社
232,2021-10-18,【行情】猪肉板块持续回升，傲农生物涨超4%，正邦科技、天域生态、牧原股份跟涨,金十数据
233,2021-10-18,看多Q4行情，看好生猪和种业,金融界
234,2021-10-17,正邦科技：“正邦转债”（债券代码：128114）的发行总额为16亿元人民币，转股期为2020年12月23日至2026年6月16日,每日经济新闻
235,2021-10-17,正邦科技：公司在川渝地区的饲料价格有所上涨，这将对公司业绩产生一定积极影响,每日经济新闻
236,2021-10-17,正邦科技：仔猪端的成本下降主要会基于公司种群效能的不断提升从而优化生产养殖成绩,每日经济新闻
237,2021-10-17,正邦科技：公司未来的扩张发展目前并未受到政府的调控影响,每日经济新闻
238,2021-10-17,下周操盘攻略：低估板块回暖还是赛道股继续表演？,Wind
239,2021-10-17,太惨了！三季度巨亏200亿，养猪大户被“团灭”，一头猪亏500元！猪价、股价“双杀”，猪周期何时见底？ 重大损失,证券时报
240,2021-10-16,有的巨亏近百亿元！这些上市公司三季报业绩变脸太突然 重大损失,上证报
241,2021-10-16,有的巨亏近百亿元！这些上市公司三季报业绩变脸太突然,Wind
242,2021-10-16,猪周期“寒冬”未至，上市猪企却已集体“血亏” 亏损,Wind
243,2021-10-16,猪周期“寒冬”未至，上市猪企却已集体“血亏” 亏损,第一财经
244,2021-10-15,上市猪企“无一幸免”，同样巨额亏损，仍有公司举债逆势扩张？ 亏损,和讯
245,2021-10-15,惨惨惨！猪价、股价“双杀”，A股猪企业绩“全军覆没”，机构调研热情,时代周报
246,2021-10-15,农林牧渔2021年三季报业绩前瞻：生猪养殖迎来“至暗时刻” 关注宠物与养殖后周期,新浪
247,2021-10-15,五大上市猪企三季度全部预亏，3家前三季度亏光去年全年利润 预亏,澎湃新闻
248,2021-10-15,猪企“全军覆没”，四家公司合计亏超百亿！ 亏损,证券之星
249,2021-10-15,五大猪企前三季业绩近乎“团灭”，最多预亏近百亿 预亏,中新经纬
250,2021-10-15,养猪“大户”相继预亏，“猪茅”牧原股份近三年首次预计单季亏损 预亏,金融界
251,2021-10-15,最惨猪周期，A股猪企“团灭”！河南首富的“猪茅”今天却大涨161亿，生猪价格连涨9天，见底了？,每日经济新闻
252,2021-10-15,多家猪企三季度巨亏，猪周期处于下跌过程中的反弹状态 重大损失,第一财经
253,2021-10-15,每日期货投资观察,新浪
254,2021-10-15,【行情】猪肉板块午后持续走弱，大北农跌超6%，金新农、正邦科技、罗牛山跟跌,金十数据
255,2021-10-15,最惨猪周期到来？新希望、正邦科技等猪企三季度巨亏 重大损失,环球老虎财经
256,2021-10-15,农林牧渔行业点评报告：9月猪企出栏量环比增加 销售均价环比回落,新浪
257,2021-10-15,猪肉概念股低开 正邦科技跌近6%,e公司
258,2021-10-15,操盘必读｜正邦科技第三季度预亏55亿；新希望第三季度预亏25亿；苏宁易购前三季度预损73亿；美股集体大涨,上游新闻
259,2021-10-15,正邦科技低开5.7%，第三季度预亏55.2亿元-65.2亿元,Wind
260,2021-10-15,57股获券商买入评级，正邦科技目标涨幅达133.99%,第一财经
261,2021-10-15,57股获券商买入评级，正邦科技目标涨幅达133.99%,Wind
262,2021-10-15,港股盘前必读：欧美股市集体收涨，中证行业分类标准修订,Wind
263,2021-10-15,“猪茅”也扛不住了，近三年来季度首亏！机构：行业去产能速度将加快 亏损,中证网
264,2021-10-15,猪肉价格大跌65.9%！养猪股巨亏，牧原股份等4家公司第三季度预亏合计超106亿 重大损失,和讯
265,2021-10-15,多家猪企三季度严重亏损，猪价拐点何时能至？ 亏损,Wind
266,2021-10-15,史上最惨猪周期，猪肉股全军覆没,Wind
267,2021-10-14,养猪的有多难？三季度动辄亏几十亿！连2800亿“猪茅”都亏了，河南首富身家缩水超1100亿,每日经济新闻
268,2021-10-14,正邦科技：前三季度预计业绩出现亏损 预亏,Wind
269,2021-10-14,多家猪企披露业绩预告：牧原股份第三季度预亏，新希望单季亏损环比收窄 预亏,每日经济新闻
270,2021-10-14,正邦科技：预计前三季度净亏损69.5亿元-79.5亿元 预亏,财联社
271,2021-10-14,正邦科技：预计2021年前三季度净利润亏损约69.5亿元~79.5亿元 预亏,每日经济新闻
272,2021-10-14,正邦科技：三季度预亏55.2-65.2亿元，去年同期盈利30.2亿元 预亏,Wind
273,2021-10-14,正邦科技：预计第三季度亏损55.2亿元-65.2亿元 预亏,财联社
274,2021-10-14,牧原股份第三季度预亏5-10亿，猪肉板块四季度反攻行情还来吗？ 预亏,第一财经
275,2021-10-14,每日报告回放,新浪
276,2021-10-14,猪肉板块持续低迷，顺鑫农业跌超5%，新希望、牧原股份、正邦科技跟跌。,新浪
277,2021-10-14,9月CPI涨幅继续回落，与PPI“剪刀差”扩大至10个百分点,Wind
278,2021-10-13,畜牧业点评系列报告：猪周期有望提前反转 布局Q4生猪绝地反击,新浪
279,2021-10-13,农业周报：猪价再创年内新低 生猪产能去化进行时,新浪
280,2021-10-13,猪价反弹，相关企业加速布局,Wind
281,2021-10-13,生猪收储助力期市价格反弹，北上资金增持13只个股,Wind
282,2021-10-12,周期股什么时候新高？,雪球
283,2021-10-12,【财联社】猪企亏损、养殖户悲观：生猪期货却突发涨停，猪价真的见底了吗？ 亏损,财联社
284,2021-10-12,【行情】猪肉板块开盘走弱，傲农生物跌近5%，正邦科技、天邦股份、新希望跟跌,金十数据
285,2021-10-11,行业观察|猪企亏损、养殖户悲观：生猪期货却突发涨停，猪价真的见底了吗？ 亏损,财联社
286,2021-10-11,农林牧渔行业深度：养殖企业财务数据比较分析,新浪
287,2021-10-11,“二师兄”首次霸气涨停，多品种续迎高景气,Wind
288,2021-10-11,百亿牛股闪崩近50%！张坤出手，引爆十万亿板块,Wind
289,2021-10-11,【行情】A股猪肉板块快速拉升，鹏都农牧涨停，傲农生物、天邦股份、牧原股份、巨星农牧、正邦科技等涨幅居前,金十数据
290,2021-10-11,玉米市场降温为何难改饲料涨价势头,中国商报
291,2021-10-10,【国海农业】如何看待近期猪价进一步下探？,微信
