,2021-12-31,400余药企研发人员已超16.7万，研发速度不断提升,--
53,2021-11-18,上海医药：重组抗CD20人源化单克隆抗体注射液获得临床试验批准通知书,Wind
54,2021-11-18,上海医药(601607.SH)：“重组抗CD20人源化单克隆抗体注射液”将于近期启动Ib期临床试验,格隆汇
55,2021-11-18,上海医药：重组抗CD20人源化单克隆抗体注射液获临床试验批准通知书,财联社
56,2021-11-18,医药生物行业深度报告：创新药行业景气 医药新零售东风已起,新浪
57,2021-11-16,智通每日大行研报丨欧舒丹(00973)获里昂看高至36.6港元 大和首予微盟集团(02013)“买入”评级,智通财经
58,2021-11-16,瑞信：维持上海医药(02607)“中性”评级 目标价降至15港元 机构下调估值,智通财经
59,2021-11-16,上海医药变革：频频产生新交易、走近创新,药融圈
60,2021-11-15,【权益变动】上海医药(02607.HK)获SIIC INTERNATIONAL INVESTMENT COMPANY LIMITED增持40万股,财华社
61,2021-11-12,医械流通「冰火两重天」，瓜分还是重塑？,赛柏蓝器械
62,2021-11-11,上海医药(02607.HK)获Shanghai Industrial Investment增持40万股,格隆汇
63,2021-11-10,九州通是一家做什么的公司？,中访网
64,2021-11-08,大健康产业投资并购动态周报Vol.71,新康界
65,2021-11-08,新西兰BEGGI进博会签约上海医药 携手布局个护市场,质量新闻网
66,2021-11-08,上海医药离千亿美元市值，还差多少种神药？｜财报热评,钛媒体
67,2021-11-08,新西兰BEGGI鼻精灵进博会签约上海医药 携手布局个护市场,和讯
68,2021-11-08,【券商聚焦】大摩削上海医药(02607)目标价5.5%至20.8港元 评级“增持”,和讯
69,2021-11-08,大行评级 | 大摩：降上海医药(2607.HK)目标价至20.8港元 维持增持评级 机构下调估值,格隆汇
70,2021-11-08,上海医药取得抗细菌感染新药ClyO研发、生产、销售等权利,新京报
71,2021-11-08,AZ高管加入百济神州；达伯舒第7项适应证报上市；科伦药业ADC药物获批临试,GBIHealth
72,2021-11-07,杜邦与上海医药、美迪科在进博会上正式达成战略合作,凤凰网
73,2021-11-06,License in模式火热，上海医药、翰森制药月内达成两项合作,制药网
74,2021-11-06,盘点 | 上海医药、罗欣药业、烨辉医药、翰森制药等多家公司引进新药，它们有何亮点？,药明康德
75,2021-11-05,医疗健康产业2022年投资策略：医疗投资进入百花齐放时代 国产自主化进入新高潮,新浪
76,2021-11-04,上海医药：与Phagelux公司就抗细菌感染新药ClyO项目进行合作,Wind
77,2021-11-04,上海医药：与Phagelux公司就抗细菌感染新药ClyO项目进行合作,财联社
78,2021-11-03,九州通宣布重磅合作,赛柏蓝
79,2021-11-02,【券商聚焦】高盛削上海医药(02607)目标价至4.2% 下调未来三年盈测 机构下调估值,和讯
80,2021-11-02,6家药企前三季度研发投入超过10亿元，创新势头强劲,制药网
81,2021-11-02,上海医药Q3财报；AZ又一高管离职；微创医疗再次收购；艾力斯伏美替尼III期达主要终点 董监高成员变化,GBIHealth
82,2021-11-01,大健康产业投资并购动态周报Vol.70,新康界
83,2021-11-01,药企表现出强劲的研发投入意愿，让研发站上“C”位,制药网
84,2021-11-01,图解上海医药三季报：第三季度单季净利润同比减20.94% 盈利能力下降,证券之星
85,2021-11-01,为加速创新升级，药企正不断引进新药,制药网
86,2021-10-31,上海医药前三季度净利润44.84亿元 同比增超24%,证券日报网
87,2021-10-31,10月上海医药、罗欣药业等多家公司引进新药 它们有何亮点？,药明康德
88,2021-10-30,上海医药：前三季度赚45亿，密集落地多项重磅合作与海外License out,凤凰网
89,2021-10-30,上海医药披露2021年三季报 实现营收1609.73亿元,资本邦
90,2021-10-30,智通港股公告精选︱(10.29)中远海控第三季度归母净利同比增长约10.2倍至304.92亿元,智通财经
91,2021-10-29,上海医药：前三财季盈利44.84亿人民币，同比增长24.49%,Wind
92,2021-10-29,云南白药炒股亏 11 亿，背后的操盘手是谁？ 投资失误,ZAKER
93,2021-10-29,上海医药(02607.HK)：前三季净利44.84亿元 同比增长24.49%,格隆汇
94,2021-10-29,上海医药：订立採购框架协议,Wind
95,2021-10-29,上海医药(601607.SH)：第三季度净利降20.94%至9.16亿元 盈利能力下降,格隆汇
96,2021-10-29,上海医药：2021年第三季度净利润约9.16亿元，同比下降20.94% 盈利能力下降,每日经济新闻
97,2021-10-29,上海医药：前三季度净利润同比增长24.49%,Wind
98,2021-10-29,我国制药产业不断获国际市场关注，License-out交易活跃,制药网
99,2021-10-29,不超2.925亿美元！上海医药以将SPH6162海外权益许可给HUYABIO,新浪
100,2021-10-29,License out！超2.9亿美元上海医药SPH6162海外授权落地,发布易
101,2021-10-28,云南白药，医人不医己,搜狐
102,2021-10-28,21深度丨云南白药压力测试：炒股浮亏和激励费用“透支”业绩,21世纪经济报道
103,2021-10-28,云南白药(000538)2021年三季报点评：主营稳健增长 多元化模式开拓研发创新,光大证券
104,2021-10-28,炒股“炒”上热搜的云南白药回应了！,上证报
105,2021-10-28,亏损15亿 炒股上瘾的云南白药“牙膏”还能挤多久？,新浪
106,2021-10-28,上海医药(02607.HK)将SPH6162海外权益许可给HUYABIO,格隆汇
107,2021-10-28,财联社10月28日电，上海医药公告，以不超过2.925亿美元（除销售提成外）的交易金额将具有自主知识产权的SPH6162在中国区域（包括香港、澳门及台湾）以外的制造、使用、销售、进口、开发及商业化权利,财联社
108,2021-10-28,16万股东无眠！云南白药炒股巨亏11亿，股价应声大跌 投资失误,每日经济新闻
109,2021-10-28,License-in再下一城 上海医药拟不超1.07亿美元引进KoBioLabs两款益生菌新药,发布易
110,2021-10-28,16万股民今夜无眠！炒股浮亏超11亿 千亿大白马云南白药暴雷 投资失误,财联社
111,2021-10-27,上海医药子公司拿下两款益生菌新药独占许可权益,贝壳财经
112,2021-10-27,上海医药：子公司与KoBioLabs就益生菌项目达成合作,e公司
113,2021-10-27,行研 | 国药、华润、上药等流通商是医院心头好，原因在哪？,赛柏蓝器械
114,2021-10-27,上海医药：子公司与KoBioLabs公司就益生菌KBL697、KBL693项目进行合作,财联社
115,2021-10-26,上海医药：正大青春宝德清工厂一期已投入使用,每日经济新闻
116,2021-10-23,A股ESG评级整体偏低？MSCI专家独家解读：中国公司正展示出强劲的上升动能,Wind
117,2021-10-19,上海医药：前医药商业领域存在“龙头折价”现象，“四大家”国药、上药、华润、九州通平均市盈率低于地方龙头,每日经济新闻
118,2021-10-18,首只国货ETF上市 资本市场助力民族品牌崛起,中国证券网
119,2021-10-18,上海医药：董事会将于10月29日批准发布三季度财报,Wind
120,2021-10-18,上海医药(02607.HK)拟10月29日举行董事会会议审核三季度业绩,格隆汇
121,2021-10-16,贵州茅台ESG遭MSCI“减分”侧影：多公募责任主题基金重仓，折射价值理念仍有分歧,Wind
122,2021-10-15,上海医药与恒瑞医药联合成立“尚远爱心公益”专项基金,凤凰网
123,2021-10-14,上海医药左敏： 让“民族好药”惠及更多患者,长江商报
124,2021-10-13,大健康产业投资并购动态双周报Vol.67,新康界
125,2021-10-12,“共济未来 驱动新生” 2021上海国际生物医药产业周开幕,药智网
126,2021-10-12,阿斯利康创新园在沪启航，助力上海医药研发头雁影响力辐射全球,动脉网
127,2021-10-10,上海医药6.9亿元引进重磅新药抑酸剂X842,蒲公英
128,2021-10-09,切入中国百亿抑酸市场 上海医药6.9亿元引进重磅新药X842,证券日报网
129,2021-10-08,切入中国抑酸市场 上海医药6.9亿引进重磅新药,发布易
130,2021-10-08,上海医药：与贵州生诺就新型抑酸剂X842项目开展战略合作,财联社
131,2021-10-06,四分之一1类创新药来自上海 详解上海医药产业发展“密码”,中新网
132,2021-10-01,这些药企工业收入超百亿：恒瑞、石药、上药,赛柏蓝
133,2021-09-30,上海医药集团股份有限公司 2021年第三季度报告,证券日报
134,2021-09-29,上海医药：2021年度非公开发行A股股票控股股东承诺不减持股份,Wind
135,2021-09-29,中医药产业化路径日渐明晰，下半年业绩看好,Wind
136,2021-09-27,中成药集采来了！17类76款，涉多家公司（名单）,Wind
137,2021-09-24,【权益变动】上海医药(02607.HK)获SIIC INTERNATIONAL INVESTMENT增持20.2万股,财华社
138,2021-09-23,Shanghai Industrial Investment (Holdings) Company Limited增持上海医药股份约20.20万股,每日经济新闻
139,2021-09-20,上海医药(02607.HK)获Shanghai Industrial Investment增持20.2万股,格隆汇
140,2021-09-17,上海医药：与中福会签署战略合作协议,e公司
141,2021-09-16,上海医药拟向上海潭东、云南白药定增143.84亿元 “存贷双高”成监管关注重点,和讯
142,2021-09-16,神秘机构A股扫货！全球第三大主权基金加仓这些板块,Wind
143,2021-09-14,大摩：上调上海医药(2607.HK)目标价至22港元 评级“增持”,格隆汇
144,2021-09-14,上海医药发布公告 子公司上药禾丰收国家药监局药品注册证书,北京商报
145,2021-09-14,大摩：维持上海医药(02607)“增持”评级 目标价上调7%至22港元,智通财经
146,2021-09-13,上海医药(02607.HK)：盐酸多巴胺注射液及盐酸利多卡因注射液通过仿制药一致性评价,格隆汇
147,2021-09-13,上海医药：拟于9月17日下午举行中报业绩说明会,Wind
148,2021-09-13,上海医药：枸橼酸咖啡因注射液获得批准生产,财联社
149,2021-09-08,西南证券维持上海医药买入评级，2021年半年报点评：业绩增长超预期，创新药研发进程加速,每日经济新闻
150,2021-09-08,云南白药(000538)：聚焦主业 主营业绩大幅增长,西南证券
151,2021-09-08,西南证券：维持上海医药(601607.SH)“买入”评级 业绩增长超预期 创新药研发进程加速,智通财经
152,2021-09-08,港股盘前必读：打击无牌加密货币，贝壳计划筹资20亿美元赴港上市,Wind
153,2021-09-08,瑞信：下调上海医药(02607.HK)目标价至18港元 评级降至中性 机构下调估值,格隆汇
154,2021-09-07,上海医药：收到《中国证监会行政许可项目审查一次反馈意见通知书》,Wind
155,2021-09-07,高盛：予上海医药沽售评级 目标价微升至16.7港元,新浪
156,2021-09-06,云南白药：“白药生活+”已开店18家，公司正在为全国推广做全面筹备工作,Wind
157,2021-09-04,上市公司正负面新闻2021年9月4日星期六,Wind
158,2021-09-03,上海医药控股股东方面拟增持公司H股股份,上证报
159,2021-09-03,晚间重要公告2021年9月3日星期五,Wind
160,2021-09-03,上海医药(02607)获上实集团增持21.28万股,智通财经
161,2021-09-03,上海医药：控股股东增持21.28万股H股,财联社
162,2021-09-03,上海医药(601607.SH)获控股股东增持21.28万股H股,智通财经
163,2021-09-02,上海医药中报:是被云南白药吃下了，还是强强联合？,钛媒体
164,2021-09-02,A股97家创新药企业上半年研发投入逾180亿元,Wind
165,2021-09-01,上实集团：持有及控制上海医药约10.65亿股,乐居财经
166,2021-09-01,上海医药(02607.HK)：上实集团增持5257.07万股H股 增持计划实施完毕,格隆汇
167,2021-09-01,上海医药(02607)：上实集团增持公司H股股份计划实施完毕 合共增持5257.07万股,智通财经
168,2021-09-01,上海医药(601607.SH)控股股东完成增持H股股份5257万股 占比达1.857%,智通财经
169,2021-09-01,上海医药：上实集团累计增持1.857%股份 增持实施完毕,财联社
170,2021-09-01,上海医药(601607)2021年中报点评：业绩超出预期 创新药管线加速扩张,新浪
171,2021-09-01,上海医药：摩根士丹利、富达国际投资等38家机构于8月30日调研我司,证券之星
172,2021-09-01,A股头条：中国有色金属工业协会喊话铝价投机者,金融界
173,2021-08-31,上海医药1类新药来袭 剑指千亿市场,米内网
174,2021-08-31,上海医药(02607.HK)：抗肿瘤药SPH6516片获临试批准通知书,格隆汇
175,2021-08-31,上海医药(601607.SH)：SPH6516片开展晚期恶性实体瘤的临床试验获批,格隆汇
176,2021-08-31,上海医药：SPH6516片获得临床试验批准通知书，药物拟用于晚期实体瘤的治疗,Wind
177,2021-08-31,一图读懂上海医药2021年中报,证券之星
178,2021-08-30,和讯曝财报|上半年营收超千亿同比增长20.73% 上海医药10款在研创新药取得阶段性进展,和讯
179,2021-08-30,上海医药：中期盈利35.68亿人民币，同比增长46.05%,Wind
180,2021-08-30,上海医药：上半年净利润同比增长46.05%,Wind
181,2021-08-30,上海医药(601607.SH)半年度净利润35.68亿元 同比增长46.05%,格隆汇
182,2021-08-30,创新药管线加速扩张 上海医药(601607.SH)上半年归母净利同比增46.05%至35.68亿元,智通财经
183,2021-08-26,开发AI新药，阿尔法分子与上海医药达成合作,医药魔方Info
184,2021-08-25,上海医药：定增申请获证监会受理,Wind
185,2021-08-25,中国证监会受理上海医药(02607)建议非公开发行 A股,智通财经
186,2021-08-25,上海医药(02607.HK)：中国证监会受理公司建议非公开发行A股,格隆汇
187,2021-08-24,上海生物医药创新转化基金启动，瞄准“从0到1”早期投资,第一财经
188,2021-08-20,上海医药：加速推进在甘肃生物医药产业做大做强,证券时报网
189,2021-08-19,打造“制胜长项”，上药物流携手万科物流开启医药物流供应链服务新篇章,上海医药
190,2021-08-18,智通每日大行研报丨中远海控(01919)获美银证券看高至19.25港元 花旗重申吉利汽车(00175)为行业首选,智通财经
191,2021-08-18,大摩：予上海医药(02607)“增持”评级 目标价20.5港元,智通财经
192,2021-08-18,九洲药业(603456)2021年中报点评：客户储备拐点期、供给能力升级期,新浪
193,2021-08-14,上海医药：战投方案获股东大会高票通过 合作共赢再启新征程,发布易
194,2021-08-13,上海医药(02607.HK)将于8月30日举行董事会会议以审批中期业绩,格隆汇
195,2021-08-13,小股东质疑定增价格过低？上海医药执董现场回应：这个价格不便宜,和讯
196,2021-08-13,战略合作达成！德琪医药和上药控股强强联合，全面提速商业化布局,医药魔方
197,2021-08-13,德琪医药和上药控股达成战略合作 | 新闻稿,研发客
198,2021-08-11,《传染病与人类历史》在沪发布,经济日报
199,2021-08-06,上海医药(02607):广东天普请求判令宝天生物偿还到期借款的案件仍未有判决结果 违约失信,智通财经
200,2021-08-06,上海医药集团：公司涉及两起重大诉讼（仲裁） 诉讼纠纷,Wind
201,2021-08-05,AZ又一女高管离职；中国首个盐酸氨溴索喷雾剂获批；百济神州将于美国建设生产和研发中心 董监高成员变化,GBIHealth
202,2021-08-03,上海医药(02607)：SPH3127片新适应症获II期临床试验批准通知书,智通财经
203,2021-08-03,上海医药(02607.HK)：SPH3127片新适应症获得II期临试批准通知书,格隆汇
204,2021-08-03,上海医药：SPH3127片新适应症获临床试验批准通知书,财联社
205,2021-08-03,上海医药(601607.SH)获得SPH3127片临床试验批准通知书,智通财经
206,2021-08-03,上海医药(601607.SH)：SPH3127片新适应症获II期临床试验批准通知书,格隆汇
207,2021-08-03,上海医药参设私募股权基金，规模近3亿,投资界
208,2021-08-03,上海医药再登《财富》世界500强榜单 排名上升36位,上证报
209,2021-08-02,两知名药企宣布合作,赛柏蓝
210,2021-08-02,排名上升36位 上海医药再登《财富》世界500强榜单,证券日报网
211,2021-08-02,上海医药(02607.HK)获Shanghai Industrial Investment增持200.83万股,格隆汇
212,2021-07-31,医药行业周报：散点疫情偶发 寻找“脱敏”品种,西南证券
213,2021-07-29,普洛斯REIT(508056)投资价值分析报告：资产优质、稳定 向上弹性可见度高,新浪
214,2021-07-26,上海医药：8月12日举行股东大会审议非公开发行A股股票相关议案,Wind
215,2021-07-26,上海医药(02607.HK)更换联席公司秘书及法律程序代理人 董监高成员变化,财华社
216,2021-07-26,【权益变动】上海医药(02607.HK)获SIICINTERNATIONALINVESTMENT增持77.82万股,财华社
217,2021-07-23,上海医药：拟9000万元参与设立生物医药创新转化私募基金,中证网
218,2021-07-23,智通港股研报精读(07.23) | 看好电气设备板块龙头公司、医药板块龙头股和银行板块重点品种,智通财经
219,2021-07-23,上海医药：委任梁瑞冰为联席公司秘书,Wind
220,2021-07-23,上海医药(02607)拟出资9000万元参与私募投资基金 实现生物医药领先创新科技及应用更广泛布局,智通财经
221,2021-07-23,上海医药(02607.HK)：梁瑞冰获委任为联席公司秘书,格隆汇
222,2021-07-23,上海医药：变更联席公司秘书,Wind
223,2021-07-23,上海医药(601607.SH)：拟出资9000万元参设生物医药产业专项基金,格隆汇
224,2021-07-23,上海医药(601607.SH)拟参设上海上实生物医药创新转化私募投资基金合伙企业,智通财经
225,2021-07-22,18家药企入选中国500强！恒瑞、石药、华润,汇聚南药
226,2021-07-22,17家药企上榜！最新500强名单公布,思齐俱乐部
227,2021-07-22,上海医药(601607.SH)：SPH5030片获临床试验批准通知书,格隆汇
228,2021-07-22,上海医药：SPH5030片获临床试验批准,财联社
229,2021-07-22,上海医药(02607.HK)获ShanghaiIndustrialInvestment增持77.82万股,格隆汇
230,2021-07-20,上海医药普瑞巴林胶囊美国ANDA获批！,药通社
231,2021-07-20,A股早报2021年7月20日星期二,Wind
232,2021-07-20,上市公司正负面新闻2021年7月20日星期二,Wind
233,2021-07-19,上海医药普瑞巴林胶囊在美获批 用于带状疱疹后神经痛等治疗,新京报
234,2021-07-19,晚间重要公告2021年7月19日星期一,Wind
235,2021-07-19,上海医药(02607.HK)：普瑞巴林胶囊获得美国FDA批准文号,格隆汇
236,2021-07-19,上海医药(601607.SH)：普瑞巴林胶囊获得美国FDA批准文号,格隆汇
237,2021-07-19,上海医药：普瑞巴林胶囊获得美国FDA批准文号,Wind
238,2021-07-18,医药行业周报：中报预告落地 个股表现持续分化,西南证券
239,2021-07-16,康希诺生物-B(06185.HK)附属上药康希诺与上海医药订立服务协议,格隆汇
240,2021-07-16,康希诺生物-B(06185)：上海医药同意向上药康希诺提供人员借调服务,智通财经
241,2021-07-16,康希诺(688185.SH)：上药康希诺拟向上海医药方面借调部分人员为其提供技术咨询、综合管理等服务,格隆汇
242,2021-07-15,上海医药术后镇痛药注射用帕瑞昔布钠获批 竞争对手达25家,新京报
243,2021-07-15,Wind医药：每日行业动态（2021-07-15）,Wind
244,2021-07-14,上海医药：注射用帕瑞昔布钠获得批准生产,财联社
245,2021-07-13,上海医药(601607.SH)2020年度A股权益分派10派4.8元 股权登记日为7月16日,格隆汇
246,2021-07-12,上海医药(02607.HK)将派发A股每股现金红利0.48元,格隆汇
247,2021-07-12,上海医药(02607)A股将于7月19日派现金红利每股0.48元,智通财经
248,2021-07-12,上海医药(601607.SH)于7月19日A股每股派发现金红利0.48元,智通财经
249,2021-07-12,华润医药风波不断：湖南公司涉嫌行贿 收购标的频生动荡,投资者网
250,2021-07-12,华润医药违规风波不断：湖南公司涉嫌行贿、山东销售平台虚开发票,投资者网
251,2021-07-07,上海医药：全资子子公司参股的上海上药康希诺生物制药有限公司目前进展顺利，已获得相应生物制品生产许可证,每日经济新闻
252,2021-07-07,未来十年，由创新驱动迈入全球制药20强——上交所投资者服务周走进上海医药,中国证券网
253,2021-07-06,上海医药：相关传闻系部分媒体数据抓取错误所导致,Wind
254,2021-07-06,A股早报2021年7月6日星期二,Wind
255,2021-07-05,上海医药(601607.SH)：2020年度权益分派10派0.2元 股权登记日7月9日,格隆汇
256,2021-07-05,2021年，医药行业并购重组活跃持续升温！,制药网
257,2021-07-05,上海医药：艾司唑仑片通过仿制药一致性评价,财联社
258,2021-07-05,医药行业每周医览药闻：关注结构性机会 把握高确定性,新浪
259,2021-07-05,医药生物行业并购重组活跃 年内已有100多次,制药网
260,2021-07-01,万亿旋风来袭！中药迎最猛刺激，想象空间彻底打开？,Wind
261,2021-06-30,74只港股获南向资金大比例持有,证券之星
262,2021-06-29,上海医药(02607)将于8月27日派发现金红利每10股4.8元,智通财经
263,2021-06-29,2021上半年医药融资复盘：海内外各阶段融资金额TOP1,药智网
264,2021-06-28,晚间重要公告2021年6月28日星期一,Wind
265,2021-06-28,上海医药：公司开发的“SPH6516片”临床试验申请获受理,Wind
266,2021-06-28,上海医药(02607.HK)：SPH6516片临床试验申请获得受理,格隆汇
267,2021-06-26,药品审评检查长三角分中心调研罕见病用药研发、管理情况,中国医药报
268,2021-06-25,晚间重要公告2021年6月25日星期五,Wind
269,2021-06-25,上海医药：甲硝唑片通过仿制药一致性评价,财联社
270,2021-06-25,上海医药：引入战投云南白药加速体制机制创新 有望进一步激发企业活力与增长潜力,发布易
271,2021-06-25,南向资金高比例持有港股名单,证券之星
272,2021-06-23,晚间重要公告2021年6月23日星期三,Wind
273,2021-06-23,上海医药(02607.HK)注射用头孢曲松钠及注射用兰索拉唑通过仿制药一致性评价,格隆汇
274,2021-06-23,上海医药(601607.SH)：注射用头孢曲松钠及注射用兰索拉唑通过仿制药一致性评价,智通财经
275,2021-06-23,2021年全球医药产品市场规模及竞争格局分析 中国药企竞争能力逐渐增强【组图】,前瞻研究院
276,2021-06-22,恒瑞、上药、石药、扬子江冲击全球制药20强，最大增量是什么？怎么补？谁想象空间最大？,E药经理人
277,2021-06-22,医药行业2021年半年报业绩前瞻：CXO、生物制品、创新器械、医疗服务有望持续高增长,西南证券
278,2021-06-21,中证报头版：公募REITs迎交易时刻，探访“准买家”出手之道,Wind
279,2021-06-18,生物医药行业：战“疫”追踪：新冠疫情下 我国生物医药产业能否迎来突破性发展？,新浪
280,2021-06-16,上海医药(02607.HK)：瑞舒伐他汀钙片获得批准生产,格隆汇
281,2021-06-16,上海医药(601607.SH)：瑞舒伐他汀钙片获得批准生产,智通财经
282,2021-06-16,上海医药：A股定增方案获上实集团批复,财联社
283,2021-06-16,上海医药(601607.SH)：A股定增方案获上实集团批复,格隆汇
284,2021-06-15,医药行业2021年6月投资月报：6月仍然是较好的窗口期 两条思路配置医药,西南证券
285,2021-06-14,排名上升6位！上海医药再登“全球制药企业50强”榜单,新浪
286,2021-06-14,2021全球药企50强出炉！云南白药、中生制药、恒瑞、上药、石药入列,医药云端工作室
287,2021-06-12,石药首次入榜，与恒瑞、中生，上药同台，全球制药50强中国药企增至5家，2021榜单有何变化？,E药经理人
288,2021-06-11,上海医药非公开发行引入战投云南白药 发力医药工业与医药商业双赛道,发布易
289,2021-06-11,上海医药：公司收购的是芬兰口腔医疗公司菲曼特100%股权，收购完成后合资公司上海菲曼特也将成为公司子公司,每日经济新闻
290,2021-06-11,评级机构警告：有些制药企业 在大流行机会前 有点丢制药业的脸,腾讯网
291,2021-06-10,上海浦东生物医药迅猛发展，诞生全国15%原创新药,制药网
292,2021-06-08,上市公司正负面新闻2021年6月8日星期二,Wind
293,2021-06-07,晚间重要公告2021年6月7日星期一,Wind
294,2021-06-07,2021券商医药行业动态（第23周）,Wind
295,2021-06-07,上海医药：子公司盐酸度洛西汀肠溶片通过仿制药一致性评价,Wind
296,2021-06-07,上海医药(601607.SH)：盐酸度洛西汀肠溶片通过一致性评价,格隆汇
297,2021-06-07,云南白药(000538)公司跟踪报告：白药上药强强联手 战略合作蓄势待发,新浪
298,2021-06-03,【权益变动】上海医药(02607.HK)被贝莱德减持282.56万股 减持股份,财华社
299,2021-06-01,回眸大健康——2021年5月医药大事记,中国经济网
300,2021-06-01,财经药点丨从云南白药看医药企业的投资选择,中国医药报
301,2021-05-31,医疗健康产业2021年下半年投资策略：百花齐放 关注疫情后时代的医药强势复苏,新浪
302,2021-05-31,云南白药“奇葩”故事：巨资炒股一季度浮亏近8亿，主赛道失速，牙膏“一支独大” 投资失误,华夏时报
303,2021-05-31,调研记录|云南白药（000538.SZ）：云南白药牙膏2021年Q1末市占率攀升至23.8%,智通财经
304,2021-05-31,中信证券：医药投资进入了百花齐放的新时期,第一财经
