,2021-12-31,北向资金年内加仓超4300亿元创历史新高，宁德时代全年净买入超300亿,Wind
86,2021-12-13,交运业绿色转型蕴藏巨大商机,Wind
87,2021-12-12,中远海控深度研究｜中信建投交运,中信建投证券研究
88,2021-12-10,【异动股】中远海控(01919.HK)涨3.23%,财华社
89,2021-12-10,A股融资融券日报：两融余额增加7.33亿元（12月9日）,Wind
90,2021-12-10,港口提价潮涌现，机构密集关注概念股,Wind
91,2021-12-09,"中远海控现1笔大宗交易 共成交2,034.00万元",新浪
92,2021-12-09,中远海控今日大宗交易成交100万股，成交价20.34元溢价8.48%,Wind
93,2021-12-09,杠杆资金大手笔加仓14股,证券时报网
94,2021-12-09,A股融资融券日报：两融余额增加42.4亿元（12月8日）,Wind
95,2021-12-08,新周期在路上，造船业能扬眉吐气了么？,星空财富
96,2021-12-08,中远海控：12月29日召开2021年第二次临时股东大会,Wind
97,2021-12-08,【异动股】中远海控(01919.HK)涨3.21%,财华社
98,2021-12-08,【特约大V】邓声兴：市场氛围趋于正面，恒指有望进一步向上,凤凰网
99,2021-12-08,A股融资融券日报：两融余额减少43.44亿元（12月7日）,Wind
100,2021-12-08,港股盘前必读：支农、支小再贷款利率下调，美股连续两日上涨,Wind
101,2021-12-07,授权回购不超10% 中小股东发声后提案终落地？中远海控：是长期讨论的结果,每日经济新闻
102,2021-12-07,一线|港口涨价释放行业景气度 海运费上涨或延续到明年春季,财联社
103,2021-12-07,"中远海控现3笔大宗交易 共成交1,639.10万元",新浪
104,2021-12-07,北向资金今日净买入79.49亿元，继续抄底大金融板块,Wind
105,2021-12-07,中远海控今日大宗交易成交40万股，成交价16.4元折价11.49%,Wind
106,2021-12-07,智通每日大行研报丨大摩予中远海控(01919)目标价21.2港元 吉利汽车(00175)获多家机构看好,智通财经
107,2021-12-07,中远海控中小股东“喊话”董事会事件又有新进展！,雪球
108,2021-12-07,市场资金面周观察：降准预期再起 股市流动性回暖,新浪
109,2021-12-07,大摩：予中远海控(01919)“增持”评级 目标价21.2港元,智通财经
110,2021-12-07,大摩：对中远海控(1919.HK)潜在回购持正面看法 评级增持,格隆汇
111,2021-12-07,港股海运板块走高，中远海控涨超6%，中远海发涨近3%，东方海外国际涨超2%,新浪
112,2021-12-07,【AH互动】中远海控(01919)AH股齐上涨 拟回购A股及H股股份各不超过10%,和讯
113,2021-12-07,【异动股】中远海控(01919.HK)涨6.15%,财华社
114,2021-12-07,港股异动 | 中远海控(01919)高开逾4% 拟回购A股及H股股份各不超10%,智通财经
115,2021-12-07,融资客青睐8股，雷柏科技买入占比高达38.52%,Wind
116,2021-12-07,A股融资融券日报：两融余额减少24.72亿元（12月6日）,Wind
117,2021-12-07,港股盘前必读：央行降准0.5个百分点，美国三大股指集体收涨,Wind
118,2021-12-07,中远海控(601919.SH)拟回购A股及H股股份各不超10%,智通财经
119,2021-12-07,中远海控(01919)建议授予A股回购授权及H股回购授权,智通财经
120,2021-12-06,集运行业复盘展望：景气度持续 拐点仍需等待,新浪
121,2021-12-06,中远海控(01919)拟选举万敏为执行董事、董事长候选人,智通财经
122,2021-12-06,中远海控：接受许立荣辞呈，53岁万敏担任董事长候选人,澎湃新闻
123,2021-12-06,中远海控(601919.SH)：许立荣辞任董事长等职、选举万敏为新任董事长 董监高成员变化,格隆汇
124,2021-12-06,中远海控：拟提请股东大会特别决议批准给予公司董事会回购公司A股及/或H股份的一般性授权,Wind
125,2021-12-06,中远海控：万敏担任董事长候选人,财联社
126,2021-12-06,中远海控：董事会同意选举万敏为公司董事长,Wind
127,2021-12-06,北向资金连续4日净买入累计加仓超150亿，大幅抢筹券商、银行股,Wind
128,2021-12-06,奥密克戎推升运价预期 “周期之王”中远海控一周反弹超20%,第一财经
129,2021-12-06,部分航运及港口股逆市走强 中远海控(01919)涨3.24%,和讯
130,2021-12-06,【异动股】中远海控(01919.HK)涨3.53%,财华社
131,2021-12-06,恒生指数跌势或接近尾声,中证网
132,2021-12-06,A股融资融券日报：两融余额减少18.05亿元（12月3日）,Wind
133,2021-12-06,12月3日A股融资买入额824.32亿元，北方稀土（600111.SH）居首,智通财经
134,2021-12-06,【银河交通王靖添】行业周报丨“客改货”政策调整叠加奥密克戎影响，国际航空货运价格再创新高,中国银河证券研究
135,2021-12-04,港股航运股走强，中远海控涨超5%,36氪
136,2021-12-03,供需错配，运费上涨何时休？,Wind
137,2021-12-03,疯涨的海运：比欧美航线更疯的是东南亚航线，价格暴涨50%，多家航运公司何以却减仓？,21世纪经济报道
138,2021-12-03,中远海控1919｜董事长变更 | 头条金融网 董监高成员变化,头条日报
139,2021-12-03,最新增持计划来了，11股滞涨还获北上资金加仓,Wind
140,2021-12-03,A股融资融券日报：两融余额减少72.45亿元（12月2日）,Wind
141,2021-12-02,航运费重回涨势！欧美航线大面积停航，航运龙头率先反弹,证券时报网
142,2021-12-02,北向资金今日净买入30.21亿元，宁德时代连续6日净买入累计加仓超24亿,Wind
143,2021-12-02,毒株推升海运运价预期，美国港口世纪大堵塞雪上加霜？,Wind
144,2021-12-02,视点｜军工明年景气度将持续，中远海控小股东提案之际，谈谈公司治理,中邮证券
145,2021-12-02,港股海运板块走高，中远海控涨近5%，海丰国际涨2%，东方海外国际、中远海发,新浪
146,2021-12-02,【异动股】中远海控(01919.HK)涨4.12%,财华社
147,2021-12-02,海运股再度拉升，中远海控、中远海发涨幅靠前,Wind
148,2021-12-02,A股融资融券日报：两融余额增加5.37亿元（12月1日）,Wind
149,2021-12-01,A股股东意识觉醒！中远海控中小股东分红提案引关注！央视评论：投资者不再单纯盯着K线，而是懂得利用股东权利，发出了自己的声音！,雪球
150,2021-12-01,华龙内参2021年第221期 总第1052期(电子版)：市场反复 但个股大面积反弹,新浪
151,2021-12-01,A股融资融券日报：两融余额增加15.02亿元（11月30日）,Wind
152,2021-12-01,盘前情报丨工信部一天连发三大规划；电子烟国标状态变更为“征求意见”,21经济网
153,2021-12-01,北向资金甩卖白酒股逾24亿，增持医疗服务，这些个股受青睐（名单）,21世纪经济报道
154,2021-12-01,"早报 (12.01) | 鲍威尔：放弃通胀“暂时”说法，可能提前数月完成taper；夫妻俩继续搞事业！刘强东章泽天夫妇携手设立私募！""机场茅""重磅重组定了",格隆汇
155,2021-12-01,中证1000指数创逾4年新高，MSCI指数调整生效日多股异动,Wind
156,2021-11-30,港股港口运输股持续走高 中远海控(01919.HK)涨9.08%,钢企网
157,2021-11-30,公司遭超600位股东联合喊话！什么情况？,中新经纬
158,2021-11-30,“毒王”席卷全球，中远海控的好日子又要来了？,格隆汇
159,2021-11-30,后疫情时代下，资金暴力抢筹，中远海控能否重现辉煌？,证券之星
160,2021-11-30,北向资金今日净卖出超34亿元11月累计加仓185亿，贵州茅台连续3日遭抛售,Wind
161,2021-11-30,港股异动 | 海运股午后走高 中远海控(01919)涨超5% 奥密克戎毒株或致防疫政策加码,智通财经
162,2021-11-30,【异动股】中远海控(01919.HK)涨3.11%,财华社
163,2021-11-30,【券商聚焦】交银维持中远海控(01919)买入评级 指美港口拥堵恶化令短期运费走高,和讯
164,2021-11-30,北向资金动向盘点：再次转向电力设备新能源,Wind
165,2021-11-30,A股融资融券日报：两融余额增加18.95亿元（11月29日）,Wind
166,2021-11-30,A股早报2021年11月30日星期二,Wind
167,2021-11-30,锂电池继续活跃，北向资金加仓电池行业8.88亿元，大幅减持这只白酒股（名单） 减持股份,21世纪经济报道
168,2021-11-30,“奥密克戎”或加剧航运紧张局面,发布易
169,2021-11-30,快速响应、动态清零防疫政策，打造A股安全护城河,Wind
170,2021-11-29,北上资金净买入32.84亿元 宁德时代净买入居首,证券时报网
171,2021-11-29,医药生物高开低走，主力净流出额居首，海运股成“香饽饽”,新浪
172,2021-11-29,数据复盘｜61股获主力加仓超亿元 北向资金抢筹宁德时代、中远海控等,证券时报网
173,2021-11-29,2600亿海运巨头强势涨停，市值一日飙升239亿 反弹还是反转？,凤凰网
174,2021-11-29,A股资金流向：赛道股再度大涨“吸金”,Wind
175,2021-11-29,11月29日中远海控涨停分析：航运，央企改革，中欧班列概念热股,证券之星
176,2021-11-29,快讯：中远海控涨停 报于16.39元,金融界
177,2021-11-29,中远海控(601919.SH)涨停,格隆汇
178,2021-11-29,大摩：维持对中远海控(1919.HK)“增持”评级 目标价21.2港元,格隆汇
179,2021-11-29,【行情】中远海控(01919.HK)AH股双双走强，H股涨超10%,金十数据
180,2021-11-29,中远海控首板，航运股拉升回暖,Wind
181,2021-11-29,中远海发：中远海发与中远海控同属于中远海运集团，专注的业务板块不同,每日经济新闻
182,2021-11-29,解盘：股指震荡走高，锂电、储能、肺炎检测领涨,Wind
183,2021-11-29,港股扫描 | 泡泡玛特涨近5%，中远海控涨超9%,富途证券
184,2021-11-29,交通运输行业周报：南非新冠变种病毒来袭 关注低估值高确定性优质公司,新浪
185,2021-11-29,航运股多数走强 中远海控(01919)涨6.51% 奥密克戎毒株或令运价再度上涨,和讯
186,2021-11-29,港股异动 | 中远海控(01919)涨超6% 奥密克戎或加剧航运紧张局面 运费或再度上涨,智通财经
187,2021-11-29,【异动股】中远海控(01919.HK)涨4.79%,财华社
188,2021-11-29,交运&中小盘12月投资策略：看好快递四季度表现 聚焦中小市值高成长,新浪
189,2021-11-29,多个指数迎重磅调整！科创板公司大幅增加，这些股票即将调入！,Wind
190,2021-11-27,外贸等船来：库存积压,Wind
191,2021-11-27,涉及超5500亿规模基金！新一轮指数样本大调整出炉,Wind
192,2021-11-26,晚间要闻2021年11月26日星期五,Wind
193,2021-11-26,上证50定期调样：调入中国电信、中远海控、长城汽车等,澎湃新闻
194,2021-11-26,上证50等系列指数进行定期调样，新经济和先进制造业样本增多,Wind
195,2021-11-26,【异动股】中远海控(01919.HK)跌3.14%,财华社
196,2021-11-26,航运股拉升回暖，中远海控涨超7%,36氪
197,2021-11-25,【异动股】中远海控(01919.HK)涨3.6%,财华社
198,2021-11-24,市值反弹700亿！双料支撑在手，海运龙头驶出周期困局？,财联社
199,2021-11-24,中远海控：希望股东耐心等待，慎重考虑在此阶段就年度分红事项提出股东临时提案的适当性，理性做出决策,每日经济新闻
200,2021-11-23,10家公司获股东增持超亿元，A股缘何再掀增持潮？,Wind
201,2021-11-22,中远海控：公司高度重视股东的诉求，一切有利于公司未来发展及价值提升的举措，公司都将认真考虑,每日经济新闻
202,2021-11-22,宁德时代跃居A股市值第二，新能源成大市值公司进阶秘籍,Wind
203,2021-11-22,国君固收天津泰达控股债券投资价值深度分析：稳如“泰”山，收益必“达”,Wind
204,2021-11-22,中小股东喊话回购 中远海控：目前未有相关计划,财联社
205,2021-11-22,交运中小盘行业周报：快递持续边际改善 疫情消退利好出行复苏,新浪
206,2021-11-22,【异动股】中远海控(01919.HK)涨4.36%,财华社
207,2021-11-19,运输“十四五”规划印发，谁是行业“最强王者”？,Wind
208,2021-11-19,中远海控：从目前的形势看，欧美主要港口装卸能力、内陆集疏运能力短期难有提升，全球拥堵状况仍将延续一段时间。 对此，公司已制定船舶调度计划，安排多艘船舶于近期挂靠长滩、洛杉矶港，尽最大努力带走滞留在港区的空集装箱，降低码头盘存，便于客户提柜,每日经济新闻
209,2021-11-19,中远海控：目前公司生产经营形势良好，公司管理层也坚定看好公司未来业务发展，仍然持有大部分股份,每日经济新闻
210,2021-11-19,中信建投研究港股10月金股,中信建投证券研究
211,2021-11-19,综合运输服务“十四五”规划印发 16只概念股机构最关注,证券时报网
212,2021-11-18,A股融资融券日报：两融余额增加35.43亿元（11月17日）,Wind
213,2021-11-17,北向资金结束连续4日净买入，贵州茅台遭大幅抛售超11亿元,Wind
214,2021-11-17,北向资金动向盘点：重手净买白酒、医药,Wind
215,2021-11-17,A股早报2021年11月17日星期三,Wind
216,2021-11-17,A股融资融券日报：两融余额减少48.12亿元（11月16日）,Wind
217,2021-11-17,北向资金连续四日买入近200亿元，再度“喝酒吃药买电子”，扫货这些龙头股（名单）,21世纪经济报道
218,2021-11-17,风格转向？200亿元资金净流出，新能源又遭跷跷板,Wind
219,2021-11-16,陆股通净买入41.99亿元，连续4日净买入,证券时报网
220,2021-11-16,A股资金流向：新能源连跌资金持续流出，大消费力扛指数,Wind
221,2021-11-16,“喝酒吃药”行情再现，A50ETF（159601）成交再超30亿元,Wind
222,2021-11-16,振华重工：公司将择机减持持有的中远海控股票 减持股份,每日经济新闻
223,2021-11-16,【异动股】中远海控(01919.HK)涨3.06%,财华社
224,2021-11-16,A股融资融券日报：两融余额减少2.07亿元（11月15日）,Wind
225,2021-11-15,【异动股】中远海控(01919.HK)跌4.02%,财华社
226,2021-11-15,A股融资融券日报：两融余额减少22.02亿元（11月12日）,Wind
227,2021-11-15,双十一期间快递量增超两成，中小市值公司表现亮眼【国信交运中小盘周观点】,微信
228,2021-11-12,中远海控(01919.HK)：“18中远海控MTN001”将于11月22日到期兑付,格隆汇
229,2021-11-12,中远海控：高级管理人员叶建平等四人拟合计减持不超过0.0034%公司股份 拟减持股份,Wind
230,2021-11-12,北向资金动向盘点：房地产回暖，重手加仓却是非银,Wind
231,2021-11-12,A股融资融券日报：两融余额增加26.26亿元（11月11日）,Wind
232,2021-11-11,A股融资融券日报：两融余额增加15.9亿元（11月10日）,Wind
233,2021-11-10,【行情】港股海运板块午后走低，中国外运跌超4%，太平洋航运跌超3%，东方海外国际跌近3%，中远海控跌超2%,金十数据
234,2021-11-10,中远海控：部分客户向公司表达希望达成长期合作的意向,阿尔法工场
235,2021-11-10,A股融资融券日报：两融余额增加23.63亿元（11月9日）,Wind
236,2021-11-10,供应链失稳 海运业寻变,上证报
237,2021-11-09,A股融资融券日报：两融余额增加39.23亿元（11月8日）,Wind
238,2021-11-09,沪深上市公司前三季度净利润同比增长26%,Wind
239,2021-11-08,沪深上市公司前三季度净利润同比增长26% 实体公司“平稳致远” 两创板块亮点突出,Wind
240,2021-11-08,中远海控：截至9月末，母公司报表累计未分配利润已归正，预计年末公司将具备现金分红的条件,每日经济新闻
241,2021-11-08,中远海控：就目前与客户的谈判情况来看，客户签约意愿强烈，部分客户陆续向公司表达了希望达成长期（2-3年）合作的意向,每日经济新闻
242,2021-11-08,中远海控：公司海运价格依然平稳未有下跌，市场订单需求依旧强劲,每日经济新闻
243,2021-11-08,【异动股】中远海控(01919.HK)涨3.17%,财华社
244,2021-11-08,中远海控：美国长滩、洛杉矶港务局宣布对港内滞留的集装箱采取阶梯式收费标准，收费面向船公司,每日经济新闻
245,2021-11-08,A股融资融券日报：两融余额减少121.85亿元（11月5日）,Wind
246,2021-11-08,中远海控赚675亿市值蒸发2800亿 累募518亿分红57亿分红率6.48%,长江商报
247,2021-11-08,实探义乌：海运费下降为时尚早，更严峻考验来袭,Wind
248,2021-11-05,港股异动 | 海运股集体走低 中远海控(01919)跌超4% BDI指数跌至近五个月最低点,智通财经
249,2021-11-05,透视三季报：“专精特新”高成长性引人注目（名单）,Wind
250,2021-11-05,【异动股】中远海控(01919.HK)跌3.15%,财华社
251,2021-11-05,A股融资融券日报：两融余额增加33.85亿元（11月4日）,Wind
252,2021-11-04,【异动股】中远海控(01919.HK)涨3.04%,财华社
253,2021-11-04,A股融资融券日报：两融余额减少44.29亿元（11月3日）,Wind
254,2021-11-03,【预见】业绩大幅低于预期的亚马逊，为何仍被机构看好？,财华社
255,2021-11-03,主力动向｜资金围猎87股，中天科技、京东方Ａ、中远海控、东方财富、大北农位居前五！,上游新闻
256,2021-11-03,热点聚焦：招商港口净利润增长90%、中远否认市场拐点已至、闽江千年“黄金水道”再通航,海事服务网
257,2021-11-03,农业拉升电新杀跌，强势板块回调市场见底？,Wind
258,2021-11-03,港股异动 | 中远海控(01919)涨超5% 供应链中断未见缓解 四季度运价或将维持高水平,智通财经
259,2021-11-03,港股海运板块上涨 中远海控涨超4%,第一财经
260,2021-11-03,【异动股】中远海控(01919.HK)涨4.39%,财华社
261,2021-11-03,【券商聚焦】交银削中远海控(01919)目标价15.1%至15.7港元 维持“买入”评级,和讯
262,2021-11-03,A股融资融券日报：两融余额减少75.11亿元（11月2日）,Wind
263,2021-11-03,招商轮船国际油运低迷前三季净利降60% 拟20亿关联收购延伸集装箱运输业务 盈利能力下降,长江商报
264,2021-11-02,北向资金连续4日净买入累计扫货近150亿，新能源龙头股集体获抢筹,Wind
265,2021-11-02,华创证券：维持中远海控(601919.SH)“强推”评级 目标价27.98元,智通财经
266,2021-11-02,【异动股】中远海控(01919.HK)涨3.54%,财华社
267,2021-11-02,A股融资融券日报：两融余额增加47.83亿元（11月1日）,Wind
268,2021-11-01,北向资金今日净买入7.11亿元，连续13日抢筹宁德时代累计加仓超76亿元,Wind
269,2021-11-01,机构强烈推荐51只个股-更新中,中财网
270,2021-11-01,【国金交运】中远海控三季报点评：运价高景气，三季度盈利创新高,搜狐
271,2021-11-01,图解中远海控三季报：第三季度单季净利润同比增1019.81%,证券之星
272,2021-11-01,海运股普跌 中远海控(01919)跌6.95%,和讯
273,2021-11-01,【AH互动】中远海控(01919)三季度业绩强劲 惟AH股反向下挫,和讯
274,2021-11-01,20股获重要股东增持 中远海控获增持金额最多,证券时报网
275,2021-11-01,【异动股】中远海控(01919.HK)跌5.13%,财华社
276,2021-11-01,重要股东增持排行榜：10股增持金额超千万元,证券时报网
277,2021-11-01,A股融资融券日报：两融余额减少52.62亿元（10月29日）,Wind
278,2021-11-01,A股早报2021年11月1日星期一,Wind
279,2021-11-01,港股盘前必读：中国移动11月4日上会，标普500、纳指创历史新高,Wind
280,2021-11-01,陆家嘴财经早餐2021年11月1日星期一,Wind
281,2021-11-01,三季报收官，A股“硬科技”板块表现抢眼,Wind
282,2021-10-31,中信建投公布11月海外金股,Wind
283,2021-10-30,中信建投公布11月金股名单，共有23只股票,Wind
284,2021-10-30,两大行业亮眼！A股三季报大数据榜单揭晓,Wind
285,2021-10-30,周期股三季报“惊艳” 高景气驱动业绩爆发,上证报
286,2021-10-30,周期股三季报“惊艳”，高景气驱动业绩爆发,Wind
287,2021-10-30,七成公司净利同比增长，三季报成绩亮眼,Wind
288,2021-10-30,智通港股公告精选︱(10.29)中远海控第三季度归母净利同比增长约10.2倍至304.92亿元,智通财经
289,2021-10-30,洛杉矶港加征集装箱滞留费 中远海控独家回应：持续关注,中证报
290,2021-10-29,格隆汇港股聚焦(10.29)︱中远海控前三季度实现净利润675.9亿元；吉利汽车拟进一步收购极氪股份持股升至54.47%,格隆汇
291,2021-10-29,货物堆积成山，港口排起长队！美国港口加征滞留费，中远海控回应了,中证报
292,2021-10-29,净利润暴增16倍！中远海控公布前三季度业绩,国际船舶
293,2021-10-29,中远海控：前三季度净利润同比增长1650.97%,中证网
294,2021-10-29,中远海控(01919)三季度归母净利同比增长约10.2倍至304.92亿元,智通财经
295,2021-10-29,中远海控：前三季度净利润675.9亿元 同比增长1650.97%,中证网
296,2021-10-29,中远海控：2021年前三季度净利润大增16倍,证券时报网
297,2021-10-29,中远海控：第三季度净利304.92亿元，同比增1020%,上游新闻
298,2021-10-29,中远海控前三季净利润675.9亿元，同比增长超16倍,资本邦
299,2021-10-29,中远海控：2021年第三季度净利润约304.92亿元，同比增长1019.81%,每日经济新闻
300,2021-10-29,中远海控：第三季度净利305亿元 同比增长1020%,财联社
301,2021-10-29,中远海控：第三季度净利润304.9亿元，同比增长1019.81%,Wind
302,2021-10-29,中远海控：前三季度净利润同比增长1650.97%,Wind
303,2021-10-29,中远海控总经理杨志坚：2022年集运市场仍将处于运力供给短缺状态,中证网
304,2021-10-29,日赚3亿如印钞股价却低迷，“中国海王”有茅台实力没“好命”？,搜狐
305,2021-10-29,A股资金流向：主线和题材共振反弹，宁王、隆基联手爆发,Wind
306,2021-10-29,大摩：维持中远海控增持评级 目标价21.2港元,新浪
307,2021-10-29,大行评级 | 大摩：料集装箱费率维持高位 维持中远海控(1919.HK)增持评级,格隆汇
308,2021-10-29,中远海控：年末具备现金分红条件，不认同市场拐点来临,Wind
309,2021-10-29,中远海控：年末具备现金分红条件 不认同市场拐点来临,财联社
310,2021-10-29,【异动股】中远海控(01919.HK)涨3.63%,财华社
311,2021-10-29,A股融资融券日报：两融余额减少165.82亿元（10月28日）,Wind
312,2021-10-29,“海王”怎么不行了,搜狐
