,2021-12-31,港股盘前必读：热门中概股大幅上涨，阿里巴巴涨9.72%京东涨7.27%,Wind
42,2021-10-31,中国通号最新公告：控股股东累计增持3430.2万股H股,证券之星
43,2021-10-31,中国通号：控股股东年内累计增持H股约3430.2万股,Wind
44,2021-10-29,中国通号(03969.HK)获通号集团累计增持公司H股共计3430.2万股,格隆汇
45,2021-10-29,中国通号(688009)：自愿披露控股股东增持公司H股股份。,资本邦
46,2021-10-28,【港股通】中国通号(03969)下挫4.93% 前三季度净利同比减少9.16% 盈利能力下降,和讯
47,2021-10-28,大行评级 | 瑞信：维持中国通号(3969.HK)跑赢大市评级 目标价3.8港元,格隆汇
48,2021-10-28,港股异动 | 中国通号(03969)绩后跌超4% 三季度纯利同比下降35%至5.69亿元 盈利能力下降,智通财经
49,2021-10-28,港股盘前必读：中国平安前三季度净利润816.38亿元同比下降20.8%,Wind
50,2021-10-27,【港股通】中国通号(03969)前三季度净利润24.09亿元 同比减少9.16% 盈利能力下降,和讯
51,2021-10-27,中国通号：第三季度净利5.69亿元 同比下降35% 盈利能力下降,财联社
52,2021-10-27,中国通号(688009.SH)：第三季度净利降35.17%至5.69亿元 盈利能力下降,格隆汇
53,2021-10-27,中国通号(03969.HK)第三季度净利5.69亿元 同比下降35.17% 盈利能力下降,格隆汇
54,2021-10-27,中国通号：第三季度归属于股东的净利润5.69亿元，同比减少35.17% 盈利能力下降,Wind
55,2021-10-27,图解中国通号三季报：第三季度单季净利润同比减35.17% 盈利能力下降,证券之星
56,2021-10-27,中国通号：2021年第三季度净利润约5.69亿元，同比下降35.17% 盈利能力下降,每日经济新闻
57,2021-10-27,中国通号：前三季度净利润同比减少9.16% 盈利能力下降,Wind
58,2021-10-22,通号建设底价1598万元挂牌转让贺州通号装配式建筑31%股权,乐居财经
59,2021-10-21,中国通号研究设计院集团入选全国“两业”融合发展试点名单,e公司
60,2021-10-21,沪股通昨日减持14只科创板股 减持股份,证券时报
61,2021-10-20,沪股通昨日加仓16只科创板股,证券时报
62,2021-10-20,新时代证券股权抢夺战生变！西部证券突然宣告退出，所为何因？,Wind
63,2021-10-19,13只科创板股获北向资金加仓,证券时报
64,2021-10-15,中国通号：董事会会议将于十月二十七日举行,Wind
65,2021-10-15,中国通号：董事会会议将于2021年10月27日（星期三）举行,Wind
66,2021-10-13,2只科创板股获北向资金减持超千万元 减持股份,证券时报
67,2021-10-08,北交所精选层首批打新！就在今日，最新攻略来了,Wind
68,2021-09-30,中国铁路通信信号股份有限公司 2021年第三季度报告,证券日报
69,2021-09-27,中国通号：条件成熟时将积极寻找并购机会,金融界
70,2021-09-22,A股融资融券日报：两融余额减少203.49亿（9月17日）,Wind
71,2021-09-18,中国通号7-8月中标7个项目 总金额达22.31亿,金融界
72,2021-09-17,中国通号：中标轨道交通市场重要项目,Wind
73,2021-09-17,中国通号(688009.SH)7至8月在轨道交通市场中标七个重要项目 金额约22.31亿元,智通财经
74,2021-09-14,数据|科创板主力资金净流出222股 中国通号流出率最高,财联社
75,2021-09-08,中国通号：公司管理层一直高度重视市场状况，相关工作也一直在有条不紊的进行,每日经济新闻
76,2021-09-03,科创板公司上半年研发费率均值达14% 合计盈利433亿科创50成分股贡献近半,长江商报
77,2021-09-02,A股资金流向（9月2日）：新能源风云再起，风电板块抢得“C位”,Wind
78,2021-09-01,A股资金流向（9月1日）：天量巨震下资金大幅调仓，周期与消费金融两级反转,Wind
79,2021-08-31,上交所：科创板公司机构持股比例上升明显，国际投资者持仓规模持续增长,Wind
80,2021-08-27,A股资金流向（8月27日）：新能源板块出现分歧，宁德时代遭资金减仓,Wind
81,2021-08-27,光大证券：维持中国通号(688009.SH)“买入”评级 铁路与工程板块实现较好增长,智通财经
82,2021-08-26,中国通号(688009)2021年中报点评：铁路与工程板块实现较好增长 订单饱满 业绩将维持稳健成长,光大证券
83,2021-08-26,中国通号今年上半年营收178.65亿元，净利润18.41亿元,资本邦
84,2021-08-25,【港股通】中国通号(03969)中期股东应占净利润18.41亿元 同比增加3.69%,和讯
85,2021-08-25,晚间重要公告2021年8月25日星期三,Wind
86,2021-08-25,中国通号(03969)中期归属股东净利润同比增加3.69%至18.41亿元,智通财经
87,2021-08-25,中国通号(688009.SH)：上半年净利增3.69%至18.41亿元,格隆汇
88,2021-08-25,中国通号2021年上半年实现净利润20.37亿元，同比小幅增长3.92%,经济观察网
89,2021-08-25,中国通号：2021年半年度净利润约18.41亿元，同比增加3.69%,每日经济新闻
90,2021-08-25,中国通号(688009.SH)半年度净利润为18.41亿元,智通财经
91,2021-08-25,中国通号：上半年净利18.41亿元 同比增长3.69%,财联社
92,2021-08-25,中国通号：上半年净利润同比增长3.69%,Wind
93,2021-08-20,碧桂园?美好中国ESG100指数完成2021年度调仓,新浪
94,2021-08-19,科创板半年报陆续出炉：半导体、新能源火热，北向资金大举加仓,Wind
95,2021-08-05,券商另类“好生意”：科创板跟投业务浮盈超250亿元,Wind
96,2021-07-25,金融5年风云榜?科创板50强：中芯国际市值超4千亿，圣湘业绩暴增65倍,时代财经
97,2021-07-24,科创板“试验田”两周年：收成与不足,Wind
98,2021-07-23,晚间重要公告2021年7月23日星期五,Wind
99,2021-07-23,中国通号(688009.SH)：5-6月在轨道交通市场共中标33.35亿元的重要项目,格隆汇
100,2021-07-23,中国通号(688009.SH)中标铁路市场及城市轨道交通市场合计十二个重要项目,智通财经
101,2021-07-23,中国通号：中标共计十二个重要项目金额总计约33.35亿元,财联社
102,2021-07-23,中国通号(03969.HK)：5月至6月中标33.35亿元轨道交通市场重要项目,格隆汇
103,2021-07-22,科创板两周年：首批上市科创板的公司 现在都怎么样了？,新浪
104,2021-07-22,科创板两周年：过半公司股价翻倍，七股市值破千亿,澎湃新闻
105,2021-07-22,A股融资融券日报：两融余额增加100.15亿元（7月21日）,Wind
106,2021-07-22,“数”描科创板：历时726天 总市值逼近5万亿元,证券日报
107,2021-07-21,2021科创板全景扫描：八大指标透视“硬科技”,新浪
108,2021-07-21,A股融资融券日报：两融余额增加20.89亿元（7月20日）,Wind
109,2021-07-17,下周1549亿市值限售股解禁，环比增加51.33% 解禁,Wind
110,2021-07-16,A股融资融券日报：两融余额增加9.91亿元（7月15日）,Wind
111,2021-07-15,A股融资融券日报：两融余额减少21.14亿元（7月14日）,Wind
112,2021-07-15,10只科创板股获北向资金减仓,证券时报网
113,2021-07-14,中国通号(03969)7月22日解禁3600万股A股 解禁,智通财经
114,2021-07-14,中国通号(03969.HK)：3600万股A股限售股将解禁 解禁,格隆汇
115,2021-07-14,中国通号：3600万股限售股将于7月22日解禁并上市流通 解禁,每日经济新闻
116,2021-07-14,8只科创板股获北向资金加仓,证券时报网
117,2021-07-13,【权益变动】中国通号(03969.HK)获FILLimited增持630.3万股,财华社
118,2021-07-08,A股融资融券日报：两融余额增加101.08亿元（7月7日）,Wind
119,2021-07-07,中国通号(03969.HK)将派发A股每股现金红利0.2元,格隆汇
120,2021-07-07,中国通号(688009.SH)于7月15日每股派发现金红利0.2元,智通财经
121,2021-07-07,A股融资融券日报：两融余额减少3.13亿元（7月6日）,Wind
122,2021-07-06,锐思华创5G+高铁辅助驾驶系统入围第三届央企熠星大赛总决赛,美通社
123,2021-07-06,中国通号：没有直接参与航天军工相关产品的工作,财联社
124,2021-07-04,科创板迎来巨无霸，先正达拟募资650亿元,财经网
125,2021-06-30,74只港股获南向资金大比例持有,证券之星
126,2021-06-25,南向资金高比例持有港股名单,证券之星
127,2021-06-25,5只科创板股获北向资金增持超3000万元,证券时报网
128,2021-06-22,2只科创板股获北向资金减持超千万元 减持股份,证券时报网
129,2021-06-11,中国通号(03969.HK)将于7月15日派付现金股利,格隆汇
130,2021-06-11,中国通号(03969)将于7月15日派2020年度现金股利每股0.242769港元,智通财经
131,2021-06-10,中国银河维持机械行业推荐评级：PMI持续处于扩张期间，高端制造景气发展,每日经济新闻
132,2021-06-10,A股资金流向（6月10日）：资金撤离白酒股，转投新能源龙头,Wind
133,2021-06-10,【银河晨报】6.10丨建筑：大国基石，行稳致远—2021年中期策略,新浪
134,2021-06-10,10只科创板股获北向资金加仓,证券时报网
135,2021-06-08,中国国际金融股份有限公司、中信证券股份有限公司关于中国铁建重工集团股份有限公司 首次公开发行股票并在科创板上市之战略投资者的专项核查报告,证券时报
136,2021-06-07,中金：高质量发展大潮中的科创板,中金点睛
137,2021-06-03,注册制观察：注册制下A股首发战略配售现状分析,新浪
138,2021-06-02,机械行业2021年半年度投资策略报告：基本面持续复苏 行业景气度继续提升,渤海证券
139,2021-06-01,A股融资融券日报：两融余额增加114.99亿元（5月31日）,Wind
140,2021-05-28,高盛：维持对中车时代电气(3898.HK)及中国通号(3969.HK)的“买入”评级,格隆汇
141,2021-05-28,高盛：有望缩小与国外龙头差距 看好中车时代电气(03898)及中国通号(03969),智通财经
142,2021-05-27,大盘站上3600点！国君高呼：蓝筹空间打开,Wind
143,2021-05-27,北向资金四日抢筹A股近500亿，格力电器净买超7亿,Wind
144,2021-05-27,什么信号？茅台1笔被砸4.35亿！外资猛灌470亿,Wind
145,2021-05-27,抢抢抢！百亿北向资金尾盘卡秒流入，一批个股应声异动,Wind
146,2021-05-27,今日MSCI再迎重要时间点,Wind
147,2021-05-27,抢滩科技创新领域，第二批“双创指数”ETF上报,Wind
148,2021-05-26,北向资金连续三日抢筹A股超300亿，贵州茅台再获净买入超11亿元,Wind
149,2021-05-26,外资天量抢筹，买了哪些股票？,Wind
150,2021-05-24,中国通号：中标25.26亿元轨道交通市场重要项目,Wind
151,2021-05-24,中国通号(03969.HK)中标25.26亿元轨道交通市场重要项目,格隆汇
152,2021-05-24,中国通号：中标九项目 金额共计25.26亿元,中证网
153,2021-05-24,中国通号(688009.SH)近期中标九个重要项目 合计金额25.26亿元,智通财经
154,2021-05-24,中国通号(688009.SH)近日合计中标9个轨道交通市场项目,格隆汇
155,2021-05-24,北向资金加仓7只科创板股,证券时报
156,2021-05-20,刚刚上报！又有重磅指数产品来了，首批这10家(名单),Wind
157,2021-05-16,下周打新又有肉签！今年最容易中签的科创板新股来了？,Wind
158,2021-05-16,"广发策略：科创板北向资金""再扩容"" 今年净流入1557.76亿元",新浪
159,2021-05-16,【广发策略|科创板】科创板北向资金“再扩容”,戴康的策略世界
160,2021-05-12,中国策略简评-MSCI中国半年度调整：新增60只、剔除21只,新浪
161,2021-05-12,康希诺-U、中国通号等5只科创板股票新纳入MSCI旗舰指数,中证网
162,2021-05-12,2只科创板股获北向资金增持超千万元,证券时报网
163,2021-05-12,刚刚，MSCI公布最新调整！5只科创板股票进入旗舰指数系列,Wind
164,2021-05-11,2020年科创板创业板上市公司业绩优于市场整体,Wind
165,2021-05-11,北向资金持有科创板股全名单，加仓这5股,证券时报
166,2021-05-11,【银河机械李良/范想想/周义】行业动态 2021.4丨高端制造景气发展，投资加快托底全年,中国银河证券研究
167,2021-05-08,机械行业：高端制造景气发展 投资加快托底全年,新浪
168,2021-05-06,2020年科创板经营业绩概览：近七成公司归母净利润实现增长,资本邦
169,2021-05-05,【权益变动】中国通号(03969.HK)被瑞银减持451.6万股 减持股份,财华社
170,2021-05-03,2020年科创板“硬核”成绩单出炉 这些亮点抢先看,上交所
171,2021-05-01,2020年科创板交出“硬核答卷” 净利润同比增长59.13%,上证报
172,2021-04-30,科创板公司2020年盈利质量稳步提升 展现科技创新企业潜能,证券时报网
173,2021-04-30,科创板去年净利润同比增长59.13%至500.86亿元 科研队伍超7.5万人,中证网
174,2021-04-30,科创板公司整体业绩稳定增长 改革“试验田”功能有效发挥,中国金融新闻网
175,2021-04-30,港股盘前必读：消息称京东物流香港IPO获批计划募资30亿至40亿美元,Wind
176,2021-04-30,中国通号：2021年第一季度净利润约5.86亿元，同比增加16.16%,每日经济新闻
177,2021-04-29,中国通号(03969.HK)2021年第一季净利5.86亿元 同比增长16.16%,格隆汇
178,2021-04-29,中国通号(688009.SH)一季度净利润升16.16%至5.86亿元,格隆汇
179,2021-04-29,中国通号：一季度净利润同比增长16.16%,Wind
180,2021-04-29,A股融资融券日报：两融余额增加19.61亿元（4月28日）,Wind
181,2021-04-27,A股融资融券日报：两融余额增加17.69亿元（4月26日）,Wind
182,2021-04-23,中国通号海外业务连续5年萎缩 轨交高端装备走出去“过大关”,中国经营网
183,2021-04-21,中国银河--机械行业：高端制造景气发展，静待未来业绩释放【行业研究】,金融界股吧
184,2021-04-21,A股融资融券日报：两融余额增加26.01亿元（4月20日）,Wind
185,2021-04-21,两市融券余额首超1500亿元，上市公司股东出借意愿增强,Wind
186,2021-04-19,中国通号(03969.HK)4月29日董事会审议及批准第一季度业绩,格隆汇
187,2021-04-19,A股融资融券日报：两融余额减少12.05亿元（4月16日）,Wind
188,2021-04-13,A股资金流向（4月13日）：短线热门题材熄火，中国中免遭抛售,Wind
189,2021-04-13,股东福利来了！近80家科创板企业拟分红派现,资本邦
190,2021-04-12,中国通号率先完成欧洲列车运行控制系统相关产品匈牙利质量认证,Wind
191,2021-04-08,南向资金高比例持有港股名单,证券之星
192,2021-04-08,A股融资融券日报：两融余额增加55.88亿元（4月7日）,Wind
193,2021-04-08,科创板2020年机构增持路线图 公募热捧头部大公司,21世纪经济报道
194,2021-04-07,科创板机构持股路线图：大部头公司受热捧、朱雀 “霸榜”金达莱,Wind
195,2021-04-07,科创板机构持股路线图：大部头公司受热捧、朱雀 “霸榜”金达莱,21世纪经济报道
196,2021-04-01,中国通号：目前在手订单1200多亿,Wind
197,2021-04-01,中国通号：目前在手订单1200多亿,e公司
198,2021-04-01,银河证券：继续看好工程机械、工业机器人以及轨交板块,证券时报网
199,2021-04-01,【银河晨报】4.1丨机械：减税促进制造业研发创新，驱动高端制造景气发展,中国银河证券研究
200,2021-04-01,【银河机械李良/范想想/周义】行业动态 2021.3丨减税促进制造业研发创新，驱动高端制造景气发展,中国银河证券研究
201,2021-03-31,A股万亿“红包雨”来袭！分红、股息哪家强？（名单）,Wind
202,2021-03-31,中国银河--机械行业月度动态报告：减税促进制造业研发创新，驱动高端制造景气发展【行业研究】,金融界股吧
203,2021-03-31,引人才活水灌研发之木 科创板核心技术“抽枝开花”,上证报
204,2021-03-30,瑞银：维持中国通号(03969)“买入”评级 目标价降至4.55港元,智通财经
205,2021-03-30,交银国际：中国通号维持中性评级 目标价3.6港元,新浪
206,2021-03-29,中国通号：2020年归母净利同比微增 在手订单达1252.84亿元,金融界
207,2021-03-29,中国通号去年赚42.39亿元派现比例超过五成,资本邦
208,2021-03-29,67只港股获南向资金大比例持有,证券之星
209,2021-03-28,晚间重要公告2021年3月28日星期日,Wind
210,2021-03-28,中国通号2020年实现净利38.19亿元 同比微增0.08%,北京商报
211,2021-03-28,中国通号：2020年净利润38.19亿元 拟10派2元,中证网
212,2021-03-28,中国通号(688009.SH)年度归母净利同比增0.08%至38.19亿元 拟10股派2元,智通财经
213,2021-03-28,中国通号：2020年净利润38.19亿元 同比增0.08%,e公司
214,2021-03-28,中国通号(688009.SH)2020年度归母净利润升0.08%至38.19亿元拟10派2元,格隆汇
215,2021-03-28,中国通号：2020年净利润同比增长0.08%,Wind
216,2021-03-26,中国通号(03969)年度归母净利同比增长0.08%至38.19亿元 拟10股派2元,智通财经
217,2021-03-26,中国通号：2020年盈利38.19亿人民币，同比增长0.08%,Wind
218,2021-03-23,交大思诺：截止目前，中国通号未向我司采购地铁信号产品,每日经济新闻
219,2021-03-22,南向资金高比例持有港股名单,证券之星
220,2021-03-20,上市公司正负面新闻2021年3月20日星期六,Wind
221,2021-03-19,晚间重要公告2021年3月19日星期五,Wind
222,2021-03-19,一批A股尾盘突然放量异动！发生了什么？,Wind
223,2021-03-19,A股主力资金流向（3月19日）：机构抱团股再遭抛售,Wind
224,2021-03-19,中国通号：中标天津地铁11号线一期工程信号系统集成采购项目,Wind
225,2021-03-19,中国通号(688009.SH)中标2.18亿元天津地铁11号线一期工程信号系统集成采购项目,格隆汇
226,2021-03-16,中国通号(03969.HK)3月26日董事会审议及批准年度业绩,格隆汇
227,2021-03-16,A股主力资金流向（3月16日）：白酒地产及碳中和概念股获抢筹,Wind
228,2021-03-16,【异动股】中国通号(03969-HK)涨7.21%,财华社
229,2021-03-16,67只港股获南向资金大比例持有,证券之星
230,2021-03-15,科创板一年半回头看：践行“四个面向”助力科技自力自强,科创板日报
231,2021-03-11,A股主力资金流向（3月11日）：抱团股、周期股重获青睐,Wind
232,2021-03-11,南向资金高比例持有港股名单,证券之星
233,2021-03-10,A股主力资金流向（3月10日）：24个二级行业无一获净流入,Wind
234,2021-03-09,69只港股获南向资金大比例持有,证券之星
235,2021-03-08,科创板双周报(2021年第3期)：市场大幅波动 科创50受挫,国海证券
236,2021-03-08,70只港股获南向资金大比例持有,证券之星
237,2021-03-05,郭永宏获任为中国通号(03969)非执行董事,智通财经
238,2021-03-05,中国通号(03969.HK)委任郭永宏为非执行董事,格隆汇
239,2021-03-04,为何是它们？A股三大“茅”纳入富时中国A50指数,Wind
240,2021-03-04,南向资金高比例持有港股名单,证券之星
241,2021-03-04,银河证券：稳基建、扩内需持续驱动机械高质量发展 看好工程机械、工业机器人及轨交板块,证券时报网
242,2021-03-03,中国银河--机械行业月度动态报告：两会召开在即，稳基建、扩内需持续驱动机械高质量发展【行业研究】,金融界股吧
243,2021-03-02,科创板2020年业绩抢先看，净利润增速60%,Wind
244,2021-02-26,【权益变动】中国通号(03969-HK)获FILLimited增持268.8万股,财华社
245,2021-02-26,中国通号：2020年净利超38亿元 同比增长0.08%,金融界
246,2021-02-26,69只港股获南向资金大比例持有,证券之星
247,2021-02-26,A股融资融券日报：两融余额增加2.95亿元（2月25日）,Wind
248,2021-02-25,中国通号(03969)年度归母净利润微增0.08%至38.19亿元,智通财经
249,2021-02-25,中国通号(03969.HK)业绩快报：2020年实现归母净利38.19亿元,格隆汇
250,2021-02-25,中国通号业绩快报：2020年度净利润38.2亿元同比增长0.08%,科创板日报
251,2021-02-25,中国通号：2020年净利润同比增长0.08%（业绩快报）,Wind
252,2021-02-25,中国通号(688009.SH)2020年归母净利达38.19亿元 同比基本持平,智通财经
253,2021-02-25,中国通号(688009.SH)业绩快报：2020年度净利润升0.08%至38.19亿元,格隆汇
254,2021-02-25,中国通号业绩快报：2020年净利润38.19亿元 同比增0.08%,e公司
255,2021-02-25,A股主力资金流向（2月25日）：房地产获逾50亿元资金抢筹,Wind
256,2021-02-25,低估值基建股再起波澜 机构：从五个角度把握板块春季行情丨牛熊眼,第一财经
257,2021-02-24,A股”抄底”资金来了！又有多只爆款基金狂卖300亿,中国基金报
258,2021-02-23,南向资金高比例持有港股名单,证券之星
259,2021-02-22,富时罗素：将科创板股票纳入富时中国A股指数系列和富时GEIS,Wind
260,2021-02-22,2021年建设项目陆续出炉，大基建再起波澜,Wind
261,2021-02-22,每日理财观察：科创板公司首次纳入国际指数，将带来超6亿增量资金,Wind
262,2021-02-22,北上资金罕见同时悄悄重仓，业绩高增长股仅10只,证券时报网
263,2021-02-22,港股盘前必读：携程已于春节前正式向港交所提交了第二上市的申请,Wind
264,2021-02-20,粤开策略：富时罗素纳入科创板影响几何,新浪
265,2021-02-20,首次！11只科创板股票“入富”，更大调整5月开始,证券时报网
266,2021-02-20,科创板公司首次纳入国际指数，将带来超6亿增量资金,Wind
267,2021-02-20,富时罗素解答下一步“纳A”安排,中证网
268,2021-02-20,富时罗素季度调整结果公布，速看新增A股标的全名单！,上证报
269,2021-02-19,68只港股获南向资金大比例持有,证券之星
270,2021-02-14,下周操盘攻略：春节档票房已破40亿，牛基再次被“限购”,Wind
271,2021-02-10,工大高科科创板IPO过会：现阶段市场空间有限 应收账款占比较高,中华网
272,2021-02-10,上交所：自2月18日起，将康希诺、君实生物等纳入上证沪股通指数样本,Wind
273,2021-02-08,南向资金高比例持有港股名单,证券之星
274,2021-02-07,广发科创板一周全景(2月第1期)：北上资金进场首周复盘,广发证券
275,2021-02-05,【银河晨报】2.5丨2021年制造业持续向好，高端制造引领业绩增长,中国银河证券研究
276,2021-02-05,银河证券：继续看好工程机械、工业机器人以及轨交板块,Wind
277,2021-02-04,机械行业月度动态报告：2021年制造业持续向好 高端制造引领业绩增长,新浪
278,2021-02-03,数据|科创板主力资金净流出179股中国通号流出率最高,科创板日报
279,2021-02-03,68只港股获南向资金大比例持有,证券之星
280,2021-02-01,古稀之年！中国通号独立非执行董事王嘉杰辞职 董监高成员变化,资本邦
281,2021-02-01,南向资金高比例持有港股名单,证券之星
282,2021-02-01,中国通号(03969-HK)建议委任非执行董事,财华社
283,2021-01-31,中国通号(03969.HK)提名郭永宏为非执行董事候选人,格隆汇
284,2021-01-31,中国通号(688009.SH)：王嘉杰辞任董事等职务 董监高成员变化,智通财经
285,2021-01-28,【权益变动】中国通号(03969-HK)获瑞银增持8087.45万股,财华社
286,2021-01-28,A股融资融券日报：两融余额减少3.98亿元（1月27日）,Wind
287,2021-01-27,南向资金高比例持有港股名单,证券之星
288,2021-01-25,中国通号(03969.HK)获UBSGroupAG增持8087.45万股,格隆汇
289,2021-01-24,科创板13只股票将纳入沪股通，北上南下资金怎么投？,第一财经
290,2021-01-22,12只科创板个股将于2月1日纳入沪股通,Wind
291,2021-01-20,中国通号2020年11至12月中标8个重要项目，中标金额约38.73亿元,资本邦
292,2021-01-19,中国通号中标八个轨道交通市场重要项目,上证报
293,2021-01-19,中国通号(03969)2020年11月至12月累计中标金额总计38.73亿元,智通财经
294,2021-01-19,中国通号(03969.HK)11月-12月共中标八个重要项目,格隆汇
295,2021-01-19,中国通号(688009.SH)在轨道交通市场共中标八个重要项目,智通财经
296,2021-01-18,联想集团巨头转身：携千亿市值回A股 估值上涨空间在PC之外，“最好时刻”何时到来？,每日经济新闻
297,2021-01-18,联想集团巨头转身：携千亿市值回A股 “最好的时刻”仍需等待,每日经济新闻
298,2021-01-18,市场增速下滑 基建央企加速进入彼此传统市场,中国经营报
299,2021-01-15,建银国际：维持中国通号(3969.HK)优于大市评级 目标价下调至4.6港元 机构下调估值,格隆汇
300,2021-01-14,【异动股】中国通号(03969-HK)涨7.56%,财华社
301,2021-01-14,A股融资融券日报：两融余额增加15.74亿元（1月13日）,Wind
302,2021-01-12,基建增速下滑 基建央企加速进入彼此传统市场,新浪
303,2021-01-11,南向资金高比例持有港股名单,证券之星
304,2021-01-08,【银河机械李良/范想想】行业动态 2020.12丨制造业恢复势头继续巩固，中欧协定推动全球化进程,新浪
305,2021-01-07,60只港股获南向资金大比例持有,证券之星
306,2021-01-06,机械行业：制造业恢复势头继续巩固 中欧协定推动全球化进程,新浪
307,2021-01-06,南向资金高比例持有港股名单,证券之星
308,2021-01-04,68只科创板股融资余额环比增加,证券之星
309,2020-12-31,中国通号(688009)：新基建叠加逆周期 轨交控制龙头领跑,新浪
310,2020-12-30,【银河机械李良/范想想】行业动态 2020.12丨制造业恢复势头继续巩固，中欧协定推动全球化进程,中国银河证券研究
311,2020-12-29,南向资金高比例持有港股名单,证券之星
312,2020-12-29,A股公司研发费用增长势头明显，提升科技创新能力,Wind
313,2020-12-24,南向资金高比例持有港股名单,证券之星
314,2020-12-22,129只科创板股融资余额环比增加,证券时报网
315,2020-12-18,南向资金高比例持有港股名单,证券之星
316,2020-12-17,【权益变动】中国通号(03969-HK)获FILLimited增持215.9万股,财华社
317,2020-12-16,谁是“科创之星”？12家科创板公司三年研发投入占比超30% 生物产业突出丨科创之星,新浪
318,2020-12-16,中资电信股多数上涨，中国电信涨2.3%,Wind
319,2020-12-15,【银河机械】2021年度策略：确定的“制造”&成长的“智造”,中国银河证券研究
320,2020-12-15,2021年机械行业策略报告：确定的“制造”&成长的“智造”,新浪
321,2020-12-10,南向资金高比例持有港股名单,证券之星
322,2020-12-08,科创板迎来第200家公司 创新助推器持续发力,第一财经
323,2020-12-07,上市公司数量增至200家，科创板持续发挥创新助推器作用,第一财经
324,2020-12-07,中金料九只科创板股纳入沪股通，中微被动资金流入最多,Wind
