,2021-12-31,全球新冠“疫苗+特效药”拼图完成：国产疫苗2021年供应近50亿剂,Wind
81,2021-11-12,医药板块2021Q3分析暨11月月报：高基数下增速放缓 板块基本面仍旧强劲 把握配置窗口期,新浪
82,2021-11-11,人民金融·创新药指数涨1.03% | 首个1.1类中药创新药获批上市，康泰生物狂犬疫苗报产,证券时报网
83,2021-11-09,11月8日58只个股获券商关注，京东方A目标涨幅达110.42%,每经网
84,2021-11-09,上市公司正负面新闻2021年11月9日星期二,Wind
85,2021-11-08,晚间重要公告2021年11月8日星期一,Wind
86,2021-11-08,2021年医药行业11月策略报告：战略布局特色原料药及高景气度子行业,新浪
87,2021-11-08,【晚间公告抢先看】祖名股份上调部分植物蛋白饮品出厂价、ST中天股票累计涨幅较大 停牌核查,金融界
88,2021-11-08,沃森生物：业绩遇冷 股东抢跑,证券市场周刊
89,2021-11-08,康泰生物：冻干人用狂犬病疫苗（人二倍体细胞）申请生产注册获得受理,财联社
90,2021-11-08,中泰证券维持康泰生物买入评级：腺病毒疫苗获印尼紧急使用，新冠疫苗海外出口有望加速,每日经济新闻
91,2021-11-08,中泰证券：给予康泰生物买入评级,证券之星
92,2021-11-08,“兜底增持”也玩不转 利空频出下疫苗股被看衰 后续业绩谁来撑？,Wind
93,2021-11-08,康泰生物冻干人用狂犬病疫苗上市申请正式获受理,Wind
94,2021-11-08,康泰生物冻干人用狂犬病疫苗上市申请正式获受理,e公司
95,2021-11-05,医疗健康产业2022年投资策略：医疗投资进入百花齐放时代 国产自主化进入新高潮,新浪
96,2021-11-05,国产13价肺炎疫苗，能否复制万泰生物钟睒睒HPV疫苗的造富故事？,药渡
97,2021-11-04,康泰生物疫苗获印尼紧急使用 业内：海外同样存在竞争，新冠疫苗增长期或已过去,每日经济新闻
98,2021-11-04,康泰生物重组腺病毒载体新冠疫苗在印尼获批紧急使用,上证报
99,2021-11-03,第二款国产腺病毒新冠疫苗走向海外 康泰生物“KCONECAVAC”获批印尼紧急使用,证券时报网
100,2021-11-03,杜伟民与康泰生物一起进步一起成长,中经导报
101,2021-11-03,医药行业：疫苗板块高景气有望延续,新浪
102,2021-11-02,疫苗上市公司三季度扫描：新冠疫苗概念股扣非净利均翻倍，板块市值蒸发超千亿,每日经济新闻
103,2021-11-02,康泰生物(300601.SZ)：共126位员工增持公司股票 增持金额4205.78万元,智通财经
104,2021-11-02,康泰生物披露控股股东、实控人向公司员工发出增持公司股票倡议书的进展：9月2,新浪
105,2021-11-02,午间公告2021年11月2日星期二,Wind
106,2021-11-02,康泰生物(300601.SZ)：兜底增持号召已获126名员工响应 累计增持37.37万股,格隆汇
107,2021-11-02,康泰生物：126位员工响应实控人倡议，合计增持37.37万股,每日经济新闻
108,2021-10-29,国产新冠疫苗迎“收获期”，龙头企业三季度业绩暴涨,21世纪经济报道
109,2021-10-29,康泰生物：吸附无细胞百白破（组分）联合疫苗，适用于2月龄及以上的婴幼儿，用于预防百日咳、白喉、破伤风,每日经济新闻
110,2021-10-29,康泰生物：冻干人用狂犬病疫苗（人二倍体细胞）按照新的《药品注册管理办法（2020年）》在申请药品注册批件中,每日经济新闻
111,2021-10-29,康泰生物：公司三季度存货较年初增加，主要是公司经营规模扩大，本报告期产成品、原材料增加所致,每日经济新闻
112,2021-10-29,康泰生物：新冠灭活疫苗III期临床试验6月下旬在海外进行第一针接种，目前在有序推进中,Wind
113,2021-10-29,新疫苗获批叠加业绩增长130% 康泰生物股价为何开启“下跌模式”,投资者网
114,2021-10-27,第三针开打！新冠疫苗公司有的赚了500亿，有的汤都没喝到,健识局
115,2021-10-26,刘格菘、黄兴亮、邹曦、陈一峰等知名基金经理三季报持仓大曝光！,Wind
116,2021-10-25,康泰生物：全球首款双载体13价肺炎疫苗获批上市,美通社
117,2021-10-25,山西证券：给予康泰生物增持评级,证券之星
118,2021-10-25,山西证券维持康泰生物增持评级：新冠疫苗带动三季度业绩，13价肺炎疫苗获批上市,每日经济新闻
119,2021-10-25,太平洋维持康泰生物买入评级：Q3业绩高速增长，重磅品种13价肺炎疫苗获批，放量可期,每日经济新闻
120,2021-10-25,德邦证券：给予康泰生物买入评级，目标价位158.2元,证券之星
121,2021-10-25,康泰生物前三季净利润大增139% 研发投入“节节攀升”,电鳗快报
122,2021-10-25,钛媒体科股早知道：“双11”预售正式开启，头部网红单日销售额超100亿元；全国累计接种新冠疫苗超22亿剂次,钛媒体
123,2021-10-23,康泰生物(300601)：业绩符合预期 新冠贡献明显增量,新浪
124,2021-10-23,康泰生物(300601)：主业平稳 新冠疫苗贡献业绩增量,新浪
125,2021-10-23,西南证券给予康泰生物买入评级：新冠疫苗驱动业绩增长，13价获批值得期待,每日经济新闻
126,2021-10-22,康泰生物(300601)：新冠疫苗驱动业绩增长 13价获批值得期待,西南证券
127,2021-10-22,康泰生物Q3营收同比增141%：乙肝疫苗恢复供应 后期关注13价肺炎疫苗上市进展,财联社
128,2021-10-22,康泰生物(300601.SZ)子公司获得乌兹别克斯坦药品再注册证书,智通财经
129,2021-10-22,康泰生物(300601.SZ)：无细胞百白破b型流感嗜血杆菌联合疫苗获乌兹别克斯坦药品再注册证书,格隆汇
130,2021-10-22,康泰生物(300601.SZ)：13价肺炎球菌多糖结合疫苗首批产品获得批签发证明,格隆汇
131,2021-10-22,康泰生物：子公司13价肺炎球菌多糖结合疫苗可正式上市销售,e公司
132,2021-10-22,康泰生物最新公告：13价肺炎球菌多糖结合疫苗获得批签发证明,证券之星
133,2021-10-22,康泰生物(300601)2021年三季报点评：Q3业绩高增长 研发进入收获期,光大证券
134,2021-10-22,天风证券：维持康泰生物(300601.SZ)“买入”评级 新冠疫苗带来业绩弹性,智通财经
135,2021-10-22,天风证券维持康泰生物买入评级：PCV13获批上市，新冠疫苗重点关注海外出口,每日经济新闻
136,2021-10-22,天风证券：给予康泰生物买入评级,证券之星
137,2021-10-22,国泰君安：新冠疫苗进入业绩兑现期，港股部分标的将受益,Wind
138,2021-10-21,康泰生物三季报净利增长139%，北上资金三季度增持817万股,阿尔法工场
139,2021-10-21,晚间重要公告2021年10月21日星期四,Wind
140,2021-10-21,康泰生物第三季度净利大增三倍 新品种逐渐步入收获期,证券时报网
141,2021-10-21,康泰生物：前三季度净利润10.36亿元 同比增长139.13%,中证网
142,2021-10-21,康泰生物公布三季报 前三季净利增加139.13%,新浪
143,2021-10-21,康泰生物前三季度净利润同比增长139.13%,上证报
144,2021-10-21,康泰生物：第三季度归母净利润7亿元，同比增长303.21%,36氪
145,2021-10-21,图解康泰生物三季报：第三季度单季净利润同比增303.21%,证券之星
146,2021-10-21,康泰生物最新公告：第三季度净利升303.21%至7.00亿元,证券之星
147,2021-10-21,康泰生物(300601.SZ)：第三季度净利升303.21%至7.00亿元,格隆汇
148,2021-10-21,康泰生物：第三季度净利同比增长303.21%,新浪
149,2021-10-21,康泰生物：第三季度净利7亿元 同比增长303.21%,e公司
150,2021-10-18,北向资金净卖出额创近2个月新高，贵州茅台遭大幅抛售逾14亿元,Wind
151,2021-10-18,加强针疫苗应该打吗？来看看康泰生物对此的看法,凤凰网
152,2021-10-18,医药生物行业：创新药国谈价格前瞻分析,新浪
153,2021-10-13,康泰生物：公司目前预约第三季度报告的披露时间为2021年10月22日,每日经济新闻
154,2021-10-13,康泰生物：公司已积极安排13价肺炎球菌多糖结合疫苗的生产、销售工作,每日经济新闻
155,2021-10-13,康泰生物：新冠灭活疫苗III期临床试验在今年6月已开始接种首针,每日经济新闻
156,2021-10-13,康泰生物：公司生产经营正常，生产基地所在区域不受限电措施影响,每日经济新闻
157,2021-10-13,康泰生物：公司民海生物新型疫苗国际化产业基地建设项目（一期）尚处于建设期,Wind
158,2021-10-13,康泰生物：公司研发人员占公司总人数的比例在20%左右,Wind
159,2021-10-12,INE原油小幅上涨，创三年新高！需求增幅料高见75万桶/日,汇通网
160,2021-10-12,北向资金动向盘点：反手净卖食品饮料,Wind
161,2021-10-11,医药行业周报：不对称有机催化研究,新浪
162,2021-10-11,医药行业周报：本周医药板块上涨0.27 建议关注双限政策及新冠药物板块,新浪
163,2021-10-08,2021年三季度A股上市公司舆情榜,大众证券报
164,2021-10-08,医药行业周报：国庆期间海外抗疫板块出现波动 建议理性看待新冠口服药影响,新浪
165,2021-09-30,医药生物行业点评报告：《“十四五”全民医疗保障规划》发布 进一步推进医疗保障高质量发展,新浪
166,2021-09-30,增持倡议遭交易所问询后 康泰生物二股东减持计划提前“刹车” 问询,大众证券报
167,2021-09-30,关注高端医疗技术国产替代加速、精选三季报有望超预期高增长个股,金融界
168,2021-09-28,康泰生物(300601.SZ)：股东YUAN LI PING承诺6个月内不减持,格隆汇
169,2021-09-28,康泰生物(300601.SZ)股东YUAN LI PING提前终止减持计划,智通财经
170,2021-09-28,医药生物行业简评报告：国内后疫情时代 疫苗企业价值几何？,新浪
171,2021-09-28,首席周观点：限电考验定力,新浪
172,2021-09-27,医药生物行业周报：政策鼓励医疗器械国产替代 国产器械前景广阔,新浪
173,2021-09-27,医药生物行业周报：从景气度、竞争力、外需逻辑看诺禾致源投资价值,新浪
174,2021-09-26,康泰生物大股东倡议员工增持自身减持套现近1亿元，回复问询称未配合减持 问询,搜狐
175,2021-09-26,医药生物行业：海外新冠治疗药物有望Q4陆续获批 重点推荐相关CDMO标的,新浪
176,2021-09-24,一边自己减持，一边倡议员工增持，康泰生物大股东想割谁的韭菜？ 减持股份,搜狐
177,2021-09-24,康泰生物倡议员工兜底增持 杜伟民与前妻10个月密集套现22亿 减持股份,长江商报
178,2021-09-23,康泰生物(300601.SZ)半年度权益分派10派3元 股权登记日为9月28日,格隆汇
179,2021-09-23,控股股东减持后呼吁员工兜底增持，康泰生物“葫芦里卖什么药”？ 减持股份,新京报
180,2021-09-23,康泰生物(300601.SZ)拟10股派3元 9月29日除权除息,智通财经
181,2021-09-23,康泰生物：对关注函的回复正在准备中丨公司问答 关注函,第一财经
182,2021-09-23,实控人发“兜底”增持倡议，康泰生物收深交所发函追问 问询,南方网
183,2021-09-23,康泰生物收函：实控人鼓励员工增持，自己却先套现逾9千万？ 减持股份,资本邦
184,2021-09-22,喊话员工增持，实控人却套现逾9千万！康泰生物关注函来了 减持股份,中新经纬
185,2021-09-22,晚间重要公告2021年9月22日星期三,Wind
186,2021-09-22,康泰生物收关注函 关注函,Wind
187,2021-09-22,医药生物行业周报：把握景气度持续向上板块和个股估值修复机会,新浪
188,2021-09-22,医药行业周报：本周医药板块涨幅居前 看好医药行业景气回归,新浪
189,2021-09-18,康泰生物：新冠灭活疫苗III期临床试验目前在马来西亚、菲律宾等国家按计划有序推进,每日经济新闻
190,2021-09-18,双抗药物爆发，40多家药企布局,Wind
191,2021-09-17,一边减持一边号召员工增持 康泰生物实控人遭投资者质疑 减持股份,大众证券报
192,2021-09-17,医药白酒大反攻，煤炭崩了！分析师激动：浪子回头,Wind
193,2021-09-17,午间公告：洽洽宣布两利好股价异动 康泰生物实控人倡议增持为2043名员工兜底,产业经济新闻网
194,2021-09-17,实控人喊话员工“兜底增持” 康泰生物午后直线拉涨,证券之星
195,2021-09-17,康泰生物股价异动拉升冲击涨停，公司实控人倡议员工增持并承诺兜底,金融界
196,2021-09-17,康泰生物实控人杜伟民发“兜底”增持倡议,北京商报
197,2021-09-17,康泰生物实控人鼓励公司员工购入股票，承诺兜底,阿尔法工场
198,2021-09-17,医药医疗股大幅走高，康泰生物等涨超14%,36氪
199,2021-09-17,康泰生物(300601.SZ)实控人杜伟民倡议员工增持公司股票,智通财经
200,2021-09-17,康泰生物：控股股东、实控人向公司员工发出增持倡议书,上证报
201,2021-09-17,康泰生物：控股股东、实控人向公司员工发出增持公司股票倡议书 承诺兜底,财联社
202,2021-09-17,午间公告：康泰生物实控人倡议员工增持，承诺兜底,e公司
203,2021-09-17,康泰生物：实控人向全体员工发出增持公司股票倡议书，承诺兜底,Wind
204,2021-09-17,康泰生物(300601.SZ)：控股股东、实控人发“兜底”增持倡议,格隆汇
205,2021-09-17,光伏茅获密集推荐，机构热评机械设备板块，22股看涨空间逾20%,Wind
206,2021-09-17,康泰生物收函：实控人鼓励员工增持，自己却先套现逾9千万？ 减持股份,资本邦
207,2021-09-16,干货！发改委发布会：保供稳价、粮食安全、猪肉收储,Wind
208,2021-09-15,医药生物行业简评报告：康泰13价肺炎疫苗获批 长期看好疫苗龙头,新浪
209,2021-09-15,卓胜微、康泰生物跌超5%，双创基金ETF（159783）跌幅扩大,资本邦
210,2021-09-15,康泰生物、沃森生物、乐普医疗跌超4%，科创创业ETF（588360）跌超1%,资本邦
211,2021-09-14,康泰生物：灭活新冠疫苗尚未有境外收入,每日经济新闻
212,2021-09-14,康泰生物：公司已建成13价肺炎球菌结合疫苗车间且13价肺炎球菌多糖结合疫苗已获得药品注册证书，将积极安排生产、供应,每日经济新闻
213,2021-09-14,康泰生物：冻干人用狂犬病疫苗（人二倍体细胞）按照新的《药品注册管理办法（2020年）》在申请药品注册批件中,每日经济新闻
214,2021-09-14,康泰生物：公司当前在进一步加强产品在海外的注册工作，积极开拓国际市场,每日经济新闻
215,2021-09-14,"康泰生物：股东YUAN LIPING女士已将700万股股份转让给其持有100%份额的私募基金产品，该部分股份仍由其间接控制，不涉及二级市场减持
减持股份",每日经济新闻
216,2021-09-14,医药生物行业周观点：医药生物板块回暖 逐步进入合理配置区间,新浪
217,2021-09-13,每日报告回放,新浪
218,2021-09-13,康泰生物：股东减持公司股份计划到期 拟减持股份,每日经济新闻
219,2021-09-13,医药生物行业中报透视CXO：板块增长强劲 边际变化持续向好,新浪
220,2021-09-13,医药生物行业点评：本周板块企稳 建议关注胰岛素和人工关节集采,新浪
221,2021-09-13,华西证券：维持康泰生物(300601.SZ)“买入”评级13价肺炎疫苗获批 有助于增厚业绩,智通财经
222,2021-09-13,康泰生物13价肺炎球菌疫苗获批；国内首家心磁设备厂商完成超亿元融资,GBIHealth
223,2021-09-12,第二款国产13价肺炎疫苗获批上市 康泰生物要和辉瑞、沃森“争地盘”,蒲公英
224,2021-09-11,全球第三款！康泰生物13价肺炎球菌疫苗获批！,汇聚南药
225,2021-09-11,康泰生物(300601)：业绩符合预期 13价肺炎产品待获批,西南证券
226,2021-09-10,康泰生物：杜伟民合计减持0.08%公司股份 减持股份,Wind
227,2021-09-10,康泰生物：控股股东减持51.6万股，占总股本0.08% 减持股份,乐居财经
228,2021-09-10,康泰生物13价肺炎疫苗获批，黄金疫苗市场争夺“三国杀”,21世纪经济报道
229,2021-09-10,康泰生物(300601.SZ)实控人杜伟民减持期满 累计减持51.6万股 减持股份,智通财经
230,2021-09-10,康泰生物跌7.24% 申银万国东吴证券高点喊买入,中国经济网
231,2021-09-10,康泰生物子公司获药品注册证书,中证网
232,2021-09-10,康泰生物：收到13价肺炎球菌多糖结合疫苗药品注册证书,36氪
233,2021-09-10,康泰生物(300601.SZ)：13价肺炎球菌多糖结合疫苗获批上市,格隆汇
234,2021-09-10,第二款国产13价肺炎疫苗！康泰生物“维民菲宝”获批上市,证券时报网
235,2021-09-09,参与康美药业重组？康泰生物：不存在！,贝壳财经
236,2021-09-09,康泰生物：不存在康美药业与公司洽谈重组的情形,Wind
237,2021-09-09,康泰生物(300601)2021年半年报点评：业绩实现增长 13价肺炎疫苗即将上市,新浪
238,2021-09-09,疫苗板块2021H1总结：新冠疫苗商业化价值初现 在研管线亮点颇多,新浪
239,2021-09-08,医药生物行业2021年中报总结：创新投入力度持续增强 CXO、消费医疗和生物制品增长更快,广发证券
240,2021-09-07,每日报告回放,新浪
241,2021-09-07,康泰生物：公司腺病毒载体新冠疫苗生产车间已完成建设并已有试生产，未进行WHO认证,Wind
242,2021-09-07,康泰生物腺病毒载体新冠疫苗获生产许可 阿斯利康增加授权,美通社
243,2021-09-06,最新高回撤绩优股名单来了，仅18只,Wind
244,2021-09-05,晚间重要公告2021年9月5日星期日,Wind
245,2021-09-05,康泰生物：与阿斯利康签署《许可协议第一修正案》,Wind
246,2021-09-02,康泰生物：腺病毒载体新冠疫苗已完成临床前研究并提交了临床试验申请,每日经济新闻
247,2021-09-02,康泰生物：13价肺炎球菌结合疫苗申请的药品注册批件在审批中,每日经济新闻
248,2021-09-02,康泰生物：实控人杜伟民质押139万股及解押400万股,财联社
249,2021-09-02,医药行业2021年9月投资策略暨中报总结：政策预期基线变化中消化估值,新浪
250,2021-09-02,天风证券维持康泰生物买入评级：乙肝疫苗恢复生产，新冠疫苗带来业绩弹性,每日经济新闻
251,2021-09-01,东吴证券维持康泰生物买入评级，2021半年报点评：业绩符合我们预期，下半年看核心产品放量,每日经济新闻
252,2021-09-01,医药行业：国内建议部分重点人群接种加强针,新浪
253,2021-09-01,医药与健康护理行业月报：智飞生物新冠疫苗III期数据优异 对变异株仍然有效,新浪
254,2021-08-31,中泰证券维持康泰生物买入评级：业绩基本符合预期，期待PCV13+HDCV,每日经济新闻
255,2021-08-31,康泰生物(300601)：核心产品恢复放量 13价肺炎疫苗兑现在即,新浪
256,2021-08-31,康泰生物(300601)：业绩略超预期 关注新冠放量及PCV13获批进展,新浪
257,2021-08-31,康泰生物(300601)2021年中报点评：灭活新冠疫苗有望带来业绩增量 PCV13+二倍体狂苗值得期待,新浪
258,2021-08-31,康泰生物(300601)：业绩符合预期 新冠疫苗贡献增量,新浪
259,2021-08-30,康泰生物(300601)：业绩基本符合预期 研发管线步入收获期,广发证券
260,2021-08-30,康泰生物：上半年净利3.37亿元同比增超29%，刘格菘旗下基金齐减持,21世纪经济报道
261,2021-08-30,康泰生物2021年上半年实现净利润3.37亿元，同比增长29.53%,经济观察网
262,2021-08-30,康泰生物于2021年8月30日发布分红转增方案，10派3.00元(含税),全景网
263,2021-08-29,康泰生物公布半年报 上半年净利增加29.54%,新浪
264,2021-08-29,康泰生物：2021年半年度净利润约3.37亿元，同比增加29.54%,每日经济新闻
265,2021-08-29,晚间公告｜8月29日这些公告有看头,第一财经
266,2021-08-29,康泰生物(300601.SZ)：上半年净利增29.54%至3.37亿元,格隆汇
267,2021-08-29,康泰生物：上半年净利润3.37亿元 同比增长30%,财联社
268,2021-08-29,康泰生物：上半年净利润同比增长29.54%,Wind
269,2021-08-26,康泰生物：口服五价重配轮状病毒减毒活疫苗临床试验申请获受理,财联社
270,2021-08-26,干货！2021年中国人用疫苗行业龙头企业分析——康泰生物：新冠疫苗“多管齐下”,前瞻研究院
271,2021-08-23,医药生物行业：药明康德、迈瑞医疗等市值底部已现 无需恐慌,新浪
272,2021-08-21,康泰生物全球首款双载体13价肺炎疫苗即将上市,证券时报网
273,2021-08-20,杜伟民助力家乡回报家乡 助力医疗自主产业研究,凤凰网
274,2021-08-20,百克生物(688276)：国内领先疫苗企业 带状疱疹疫苗值得期待,西南证券
275,2021-08-19,中泰证券维持康泰生物买入评级：老牌疫苗企业厚积薄发，在研产品陆续进入收获期,每日经济新闻
276,2021-08-18,【东北绝对收益王凤华】康泰生物（300601）深度报告：新冠疫苗快速放量，常规疫苗管线丰富,东北证券研究所
277,2021-08-17,成功分离德尔塔毒株！康泰生物能否率先破局？,前瞻研究院
278,2021-08-17,干货！2021年中国人用疫苗行业龙头企业分析——沃森生物：致力于中国第一mRNA疫苗,证券之星
279,2021-08-17,73股获券商买入评级 康泰生物目标涨幅达65.65%,Wind
280,2021-08-17,A股分化加剧，4大类外资在持续行动，长远布局正当时,Wind
281,2021-08-16,康泰生物：董事会、监事会延期换届选举,Wind
282,2021-08-16,减持公告砸盘，9股出逃超10亿，42家大额解禁即将来袭,Wind
