,2021-12-31,华夏银行携手北大荒集团成功发行全国首单农业企业结构调整型资产支持票据,21世纪经济报道
89,2021-12-03,金融报道｜基金代销渠道战：第三方机构强势崛起 银行费率低至“一折” 应战,财经网
90,2021-12-02,估值低到“全球罕见”？ 上市银行被投资者灵魂拷问 8只银行股破净超50%,和讯
91,2021-12-02,"三福重工发行1亿美元票据,息票率1.9%,华夏银行南京分行提供SBLC",久期财经
92,2021-12-02,华夏银行(600015.SH)：董事曾北川任职资格获银保监会核准,格隆汇
93,2021-12-02,授权清单先行先试 深圳气候投融资改革首批试点落地,经济日报
94,2021-12-02,多款银行理财产品加速清退，大步迈入“真净值”时代,Wind
95,2021-12-01,银行行业周报：稳信贷 以普惠小微和绿色金融为支点,新浪
96,2021-12-01,深圳气候投融资改革首批试点业务合作签约仪式在华夏银行深圳分行成功举办,奥一网
97,2021-12-01,*ST华资：年度内恒泰证券暂无出售计划，华夏银行已按照公告出售近800万股,每日经济新闻
98,2021-12-01,华资实业：年度内恒泰证券暂无出售计划,Wind
99,2021-11-30,主角是谁？11月银行发债单月顶十个月，规模超2840亿元,Wind
100,2021-11-30,因同业投资业务严重违反审慎经营规则，华夏银行北京分行被罚50万 金融监管处罚,中华网
101,2021-11-30,银行业周观点：11月LPR保持不变,新浪
102,2021-11-30,逐浪低碳时代：银行业持续加码绿色金融,金融时报
103,2021-11-30,深耕中小微 打造“中小企业金融服务商”品牌,经济日报
104,2021-11-29,银行财眼丨华夏银行北京分行被罚50万 因同业投资业务严重违反审慎经营规则 金融监管处罚,凤凰网
105,2021-11-26,站上新起点 服务温州高质量发展 华夏银行温州分行成立25周年,经济日报
106,2021-11-26,捷成股份：公司申请银行贷款展期,Wind
107,2021-11-26,*ST华资：公司有部分生产用地不足600亩，目前持有华夏银行6150.41万股,每日经济新闻
108,2021-11-26,于丰星：持续发力数字普惠金融，破局小微企业融资困境,搜狐
109,2021-11-26,每日理财观察：国务院部署在六城市开展营商环境创新试点,Wind
110,2021-11-25,募资超7000亿！A股迎定增大年，热门赛道引隐忧？,Wind
111,2021-11-25,以“可持续.更美好”为品牌新理念 华夏银行开启“五年征程”,证券日报网
112,2021-11-25,华夏银行高波：零售业务数字化转型要做到三个“解放”,和讯
113,2021-11-25,申购费率“一折起” 多银行开启基金代销价格战,中投网
114,2021-11-25,权益类ETF规模“突飞猛进” 超百亿元产品近乎花落头部公司,和讯
115,2021-11-25,每日理财观察：债券回购交易火爆，期限错配惹关注,Wind
116,2021-11-24,银行行业周观点：增强信贷增长稳定性,新浪
117,2021-11-24,每日理财观察：权益类ETF规模突破万亿元大关,Wind
118,2021-11-24,基金代销江湖硝烟起，银行渠道竞相推出优惠费率,Wind
119,2021-11-24,"华夏银行惊现""乌龙指"" 拉升　敲错代码?网友：或股价承压提人气",投资快报
120,2021-11-23,风险教育！监管重拳出击，一大批公司被立案调查,Wind
121,2021-11-23,统统打1折！银行代销基金烽烟起，更有银行推出“0费率”,Wind
122,2021-11-23,银行发力财富管理，基金代销费率战“白热化”,Wind
123,2021-11-23,"规模大降！新基发行遇""寒流""，银行也卖不动了",Wind
124,2021-11-22,深圳人工智能国际合作座谈会在华夏银行深圳分行顺利举行,深圳新闻网
125,2021-11-22,深信服桌面云在金融行业的那些千点规模部署,凤凰网
126,2021-11-22,华夏银行股价异动逼近涨停被疑是“乌龙指” 前三季度共罚款1.08亿元,新浪
127,2021-11-22,基金发行提前入冬，银行代销“画风突变”,Wind
128,2021-11-22,易方达悦融一年持有期混合型证券投资 基金增加华夏银行为销售机构的公告,证券日报
129,2021-11-22,超八成银行股破净，机构称四季度或迎来机会,Wind
130,2021-11-21,又有银行放大招！基金申购狂打“1折”，渠道革命真的来了,Wind
131,2021-11-21,"又有银行放大招！基金申购狂打""1折""，渠道革命真的来了",中国基金报
132,2021-11-21,注意！这类银行卡正在被加速清理,Wind
133,2021-11-20,财富管理争抢客源：银行仍居基金代销C位,Wind
134,2021-11-19,"30CM的北交所开市，16年的僵尸股""复活""，800亿股份行惊现“乌龙指”？A股一信号值得关注",和讯
135,2021-11-19,券商银行集体暴拉，什么情况？,证券之星
136,2021-11-19,难言“乌龙” 或是机构资金布局银行股的信号,新浪
137,2021-11-19,800亿股份行惊现乌龙指，2800万打了水漂？银行股近9成破净,Wind
138,2021-11-19,净值化转型再提速，银行理财轻装上阵启新程,Wind
139,2021-11-19,银行股近9成破净，多家高管出手增持,Wind
140,2021-11-19,"逼近涨停！800亿股份行惊现""乌龙指""，2800万打了水漂？银行股近9成破净，多家高管出手增持",券商中国
141,2021-11-18,渠道争夺“白热化”？银行代销基金激战正酣：优惠持续2年，上千只产品申购费率低至1折，更有银行推出“0费率”,每日经济新闻
142,2021-11-18,800亿银行股惊现“乌龙指”，敲错代码还是营造话题？,腾讯网
143,2021-11-18,2800万就敢打板？这家银行股盘中惊现涨停,新浪
144,2021-11-18,“乌龙指”事件上演？2800万元可能打水漂！氢能产业利好即将发布（附股）,证券时报网
145,2021-11-18,社保减持保险龙头3亿股，超千亿解禁洪流雪上加霜，氢能产业利好即将发布（附股） 减持股份,新浪
146,2021-11-18,又现乌龙指？这只银行股盘中忽然直拉涨停，输错了一位代码？,中证报
147,2021-11-18,华夏银行提出全新品牌口号“可持续 更美好”,质量新闻网
148,2021-11-18,华夏银行杭州分行创新绿色金融 助力浙江绿色产业高质量发展,中国网
149,2021-11-18,华夏银行：可持续·更美好“焕新”品牌理念 开启新五年征程,财经杂志
150,2021-11-18,光伏融资系列（1）—我国光伏产业银行信贷现状研究,我的煤炭网
151,2021-11-18,华夏银行午前一度逼近涨停 是行情启动信号还是输错一位代码？,财联社
152,2021-11-18,华夏银行早盘一度接近涨停,财联社
153,2021-11-18,华夏银行早盘一度触及涨停 随后股价快速回落现涨1.6%,新浪
154,2021-11-18,华夏银行：可持续 更美好“焕新”品牌理念,中投网
155,2021-11-17,金融合规观察之存单质押：因风控瑕疵 华夏银行天津分行3亿存单质押落空,21世纪经济报道
156,2021-11-17,北交所主题基金主代销渠道覆盖工农交招和华夏银行，基金经理分别为：郑希、马翔、叶勇等,金融界
157,2021-11-17,商业银行行业：商业银行业日报,新浪
158,2021-11-16,华夏银行兰州分行：全力保障金融服务不停步,中国金融新闻网
159,2021-11-16,8家全来了，首批北交所基金开卖！10问10答最全攻略,Wind
160,2021-11-16,又见银行打折促销卖基金，最高降费90%！银行代销基金逻辑生变,Wind
161,2021-11-16,"什么信号？又见银行""打折促销""卖基金，最高降费90%！银行代销基金逻辑生变",券商中国
162,2021-11-15,策略专题研究报告：如何看待近期低估值板块的反弹？,国海证券
163,2021-11-15,“关爱一老一少 守护百姓财富” 华夏银行深圳分行送金融知识进东门商圈党服中心,深圳新闻网
164,2021-11-13,首批8只北交所基金正式获批，最快有望在下周二启动发行,Wind
165,2021-11-12,初心不变 全新启航——华夏银行提出全新品牌口号“可持续 更美好”,环球老虎财经
166,2021-11-12,华夏银行：可持续 更美好 “焕新”品牌理念 开启新五年征程,证券时报网
167,2021-11-12,华夏银行深圳分行携手英大证券 以金融创新服务实体经济,经济日报
168,2021-11-12,震动基金圈！一天大卖超百亿，提前结束募集！为何这么牛？,Wind
169,2021-11-12,新势力业绩不俗，基金代销江湖“变天”,Wind
170,2021-11-12,震动基金圈！一天大卖超百亿，提前结束募集,Wind
171,2021-11-11,百亿级新基金再现！提前结束募集，震荡市中这类基金站上C位,Wind
172,2021-11-11,久违百亿新基！广发恒享一年持有期单日募集逾百亿，21年老将曾刚执掌，“固收+”何以受捧？,财联社
173,2021-11-11,华夏银行2021第二期金融债券发行完毕 共计400亿元,和讯
174,2021-11-11,华夏银行：2021年第二期金融债券发行完毕 发行规模400亿元,中证网
175,2021-11-11,华夏银行(600015.SH)：成功发行400亿元金融债券,格隆汇
176,2021-11-11,破净率超8成，“打骨折”的银行股还能翻身吗？,Wind
177,2021-11-11,华夏银行深圳分行：贷动小生意 服务大民生,经济日报
178,2021-11-09,中国外汇交易中心支持华夏银行金融债发行及分销全流程,中国金融新闻网
179,2021-11-04,华夏银行：华夏银行职工监事辞职公告 董监高成员变化,新浪
180,2021-11-04,华夏银行：孙彤军因年龄原因，辞去职工监事职务 董监高成员变化,Wind
181,2021-11-04,华夏银行郑州分行： 支农惠农，金融活水助力乡村振兴,搜狐
182,2021-11-03,华夏银行将发行2021年第二期金融债券,Wind
183,2021-11-03,上市银行不良率普降，部分涉房业务风险暴露,Wind
184,2021-11-03,华夏银行实现净利润161.95亿元,金融时报
185,2021-11-02,华夏银行呼和浩特分行掩盖资产质量 行长邱险峰被警告,中国经济网
186,2021-11-01,华夏银行前三季度净利润增长14.7%营收仅增2.6%，不良率小幅下降 盈利能力下降,中华网
187,2021-11-01,图解华夏银行三季报：第三季度单季净利润同比增9.03%,证券之星
188,2021-11-01,瞄准时间窗口，上市银行加快股权融资“补血”,Wind
189,2021-10-29,华夏银行前三季度净利润同比增长14.70%,上证报
190,2021-10-29,华夏银行前三季净利162亿增14.7%，不良率1.78%,澎湃新闻
191,2021-10-29,华夏银行公布三季报 前三季净利增加14.7%,新浪
192,2021-10-29,华夏银行前三季度归母净利润161.95亿元，不良贷款率降至1.78%,北京商报
193,2021-10-29,华夏银行前三季度归母净利润增长14.7% 董事会“有进有出”,和讯
194,2021-10-29,持续推进经营转型 经营发展取得积极成效,中国网
195,2021-10-29,快讯｜华夏银行：前三季度实现归母净利润161.95亿元，同比增长14.7%,财经网
196,2021-10-29,华夏银行：前三季度净利润同比增长14.7%,Wind
197,2021-10-29,华夏银行前三季度实现净利润161.95亿元，同比增长14.70%,资本邦
198,2021-10-29,华夏银行：2021年第三季度净利润52.15亿元，同比增长9.03%,每日经济新闻
199,2021-10-29,华夏银行：董事辞职 董监高成员变化,Wind
200,2021-10-28,华夏银行呼和浩特分行违法两责任人领罚单 均被警告,中国经济网
201,2021-10-28,华夏银行700亿元人民币金融债券获监管部门批准,资本邦
202,2021-10-28,公募抢筹定增谁最强？最高浮盈已超5倍,Wind
203,2021-10-28,"顶流基金经理大手笔""捧场""，公募抢筹定增谁最强？",Wind
204,2021-10-27,华夏银行：获准发行不超过700亿元金融债券,中证网
205,2021-10-27,华夏银行：公开发行不超过700亿元人民币金融债券获监管部门批准,Wind
206,2021-10-26,首支科创基金发布！2021华夏理财科创投资盛会绽放青岛,凤凰网
207,2021-10-26,2021“银华基金杯”新浪银行理财师大赛十强团队诞生,新浪
208,2021-10-26,玻色量子与华夏银行、人民银行丹东支行、龙盈智达联合发表量子金融应用研究成果,凤凰网
209,2021-10-26,私人银行客户个性化需求增加：财富管理市场机遇与挑战并存,中国金融新闻网
210,2021-10-25,打造“商行+投行”科技金融服务新旗舰：华夏银行亮相全国大众创业万众创新活动周,中国金融新闻网
211,2021-10-22,华夏银行上半年在天津每十营业网点投诉量居股份行首位,中国经济网
212,2021-10-22,华夏银行上半年在天津每百万个人客户投诉量居股份行首位,中国经济网
213,2021-10-21,藏书上万！这家银行网点堪比图书馆！,丁丁创e
214,2021-10-21,2021银华基金杯新浪银行理财师大赛最具人气奖出炉,新浪
215,2021-10-21,华夏银行深圳分行2021年网络安全宣传周活动收官,奥一网
216,2021-10-21,又一公司爆雷！实控人为前辽宁首富，现资金链岌岌可危,Wind
217,2021-10-19,华夏银行：我行实行一级法人体制，财务和资金均实行统一管理,每日经济新闻
218,2021-10-19,华夏银行：我行资本补充工作正在有序推进中,每日经济新闻
219,2021-10-19,华夏银行：将进一步健全资本管理体系，优化资本使用结构，加大资本差异化、精细化管理力度,每日经济新闻
220,2021-10-19,情系小微，精准滴灌 华夏银行深圳分行创新服务稳企业保就业,深圳新闻网
221,2021-10-18,首次认定19家全国系统重要性银行，江苏只有江苏银行入选,深水财经社
222,2021-10-17,把脉市场新动向 华夏银行深圳分行举办“工银卓越 瑞盈华夏”季度投资策略会,深圳新闻网
223,2021-10-16,央行、银保监会重磅发布！我国系统重要性银行名单出炉，有何影响？,Wind
224,2021-10-15,华夏银行全新发布财富管理与私人银行双品牌,经济观察报
225,2021-10-15,央行、银保监会联合发文，系统重要性银行附加监管规定来了,Wind
226,2021-10-15,重磅！央行、银保监会发布我国系统重要性银行名单,Wind
227,2021-10-14,捷成股份：申请银行贷款展期,Wind
228,2021-10-11,注意啦！多家银行出手调整这项业务,新浪
229,2021-10-11,福田汽车单季营收160亿扣非仅49万 销量三月连跌30%或难超去年水平,新浪
230,2021-10-11,打通金融服务最后一公里 华夏银行深圳分行创新产品精准服务小微企业,深圳新闻网
231,2021-10-10,捷成股份(300182.SZ)：拟向华夏银行北京上地支行申请3.2亿元综合授信,格隆汇
232,2021-10-09,华夏银行首笔“医保贷”产品在大连落地,中国金融新闻网
233,2021-10-09,上市股份行效能哪家强？华夏银行人均创造营收和利润均垫底,和讯
234,2021-10-09,工行突然暂停外汇新客户开户 这些业务也有调整！多家银行也在部署,券商中国
235,2021-10-08,21金融研究丨金融区域集中度进一步提升，资产质量多有好转,21世纪经济报道
236,2021-10-08,3000亿跨境理财开闸，银行竞逐最富城市群,新浪
237,2021-09-30,瑞鹄汽车模具股份有限公司 2021年第三季度报告,证券日报
238,2021-09-29,大型银行优化人才结构：左手紧握科技，右手推向基层,Wind
239,2021-09-29,固定收益专题：危中蕴机-中资美元债4季度投资策略,新浪
240,2021-09-29,引“活水”助“低碳” 华夏银行南京分行：深耕绿色金融 服务美丽江苏建设,大众证券报
241,2021-09-29,【绿色金融】碳中和目标下银行业绿色金融发展的六大趋势,兴业研究宏观
242,2021-09-28,拨备前利润缩水，投诉攀升！华夏银行直面多重压力 盈利能力下降,投资时报
243,2021-09-28,中贵金库与银行强强联合 共探保管箱租赁服务新生态,证券日报网
244,2021-09-28,推进绿色银行建设 华夏银行深圳分行发出节约用电倡议,深圳新闻网
245,2021-09-28,银行行业周报：银行监管评级办法升级；行业整体信用风险不必悲观,新浪
246,2021-09-28,银行行业周观点：《商业银行监管评级办法》发布,新浪
247,2021-09-28,2021全球金融科技应用场景大赛分榜单路演在京举办,中国财富网
248,2021-09-27,银行行业研究周报：上市银行房地产贷款梳理,新浪
249,2021-09-27,华夏银行与中关村发展集团战略合作，以金融活水赋能,北青网
250,2021-09-27,重磅：华夏理财发布国内首只专项投资北交所拟上市企业接力基金,中国网
251,2021-09-27,华夏银行张健华行长华夏理财周年庆寄语,新浪
252,2021-09-27,商业银行行业：商业银行业日报(2021.09.26),新浪
253,2021-09-26,华夏银行与中关村发展战略合作 助推首都科技全生态建设,证券日报网
254,2021-09-26,中贵金库与银行强强联合 共探保管箱租赁服务新生态,证券日报网
255,2021-09-26,华夏银行：以金融活水赋能北京国际科技创新中心建设,光明网
256,2021-09-26,华夏银行股份有限公司北京分行与中国信达资产管理股份有限公司 北京市分公司债权转让暨债务催收联合公告,经济日报
257,2021-09-25,8月央行及银保监行政处罚报告 金融监管处罚,零壹财经
258,2021-09-24,积极开展金融“云普及” 华夏银行深圳分行获“金融明白人大讲堂”直播基地授牌,奥一网
259,2021-09-23,华夏银行回应恒大影响：业务规模较小，不会影响正常经营,和讯
260,2021-09-23,银行股是否反应过度了？多家撇清与恒大关联,Wind
261,2021-09-23,银行股是否反应过度了？,Wind
262,2021-09-22,人银中贵金库与华夏银行强强联合，共探保管箱租赁服务新生态,凤凰网
263,2021-09-19,14家银行披露境外贷款余额数据，哪几家有可能超标？,Wind
264,2021-09-18,《关于银行业金融机构境外贷款业务有关事宜的规定（征求意见稿）》对外征求意见,Wind
265,2021-09-17,银行网点进退两难，大幅收缩趋势尚不明显,Wind
266,2021-09-16,多家银行收紧外汇、贵金属业务,Wind
267,2021-09-15,3.5万亿华夏银行内外交困？信用贷“变脸”购房首付 投诉增长137.8%,新浪
268,2021-09-14,中天国际：全资附属公司中天软件园遭华夏银行起诉 诉讼纠纷,Wind
269,2021-09-14,中天国际(02379.HK)：华夏银行与中天软件园并无达成和解,格隆汇
270,2021-09-14,金融街下午茶2021年9月14日星期二,Wind
271,2021-09-13,华夏银行亮相第九届中国中小企业投融资交易会：“科技+普惠”双核打造中小企业“金牌”服务商,中国金融新闻网
272,2021-09-13,华夏银行开展“金融知识大讲堂”志愿服务活动,奥一网
273,2021-09-13,华夏银行多项投诉量翻番暴露内控问题？董事长李民吉能力被质疑？,中访网
274,2021-09-11,内蒙古银保监局：对华夏银行呼和浩特分行作出行政处罚，罚款30万元 金融监管处罚,Wind
275,2021-09-10,贷后管理不到位致信贷资金改变原有用途 华夏银行呼和浩特分行被罚款30万 金融监管处罚,中华网
276,2021-09-10,华夏银行呼和浩特分行违法被罚 贷后管理不到位 金融监管处罚,中国经济网
277,2021-09-09,华夏银行南昌分行违法被罚 向资本金不足的项目放贷 金融监管处罚,中国经济网
278,2021-09-09,天风证券：维持华夏银行(600015.SH)“增持”评级 目标价6.86元,智通财经
279,2021-09-09,向资本金不足的项目发放贷款 华夏银行南昌分行被罚款30万 金融监管处罚,中华网
280,2021-09-09,银保监会：二季度共接收并转送银行业消费投诉84424件，同比增长25.5%,Wind
281,2021-09-08,新基金发行规模超2.1万亿，顶流公募都在布局这两大赛道,Wind
282,2021-09-07,携绿色“名片”亮相服贸会 华夏银行“擦亮”绿色金融特色品牌,中国网
283,2021-09-07,华夏银行一天连领2张罚单 两分、支行合计被罚款80万元 金融监管处罚,凤凰网
284,2021-09-07,华夏银行北京十里堡支行违法被罚 贷款违反审慎原则 金融监管处罚,中国经济网
285,2021-09-07,11家上市银行按揭贷款“踩红线”，涉房贷款继续“瘦身”,Wind
286,2021-09-06,北京银保监局：对华夏银行北京十里堡支行作出行政处罚，罚款50万元,Wind
287,2021-09-06,内蒙古银保监局：对华夏银行呼和浩特分行作出行政处罚，罚款30万元,Wind
288,2021-09-06,多家银行涉房贷款仍踩红线,Wind
289,2021-09-06,流动资金贷款业务严重违反审慎经营规则 华夏银行北京十里堡支行被罚款50万 金融监管处罚,中华网
290,2021-09-06,感恩一路有你！华夏银行芜湖分行5周年行庆暨家庭财富管理讲坛圆满召开,经济观察网
291,2021-09-06,因信贷资金违规回流本行 华夏银行呼和浩特分行被罚30万 金融监管处罚,和讯
292,2021-09-06,华夏银行呼市分行违法被罚 信贷资金回流本行缴保证金 金融监管处罚,中国经济网
293,2021-09-06,信贷资金回流本行缴存银行承兑汇票保证金 华夏银行呼和浩特分行被罚30万 金融监管处罚,中华网
294,2021-09-06,融资客青睐1股，京粮控股买入占比高达30.17%,Wind
295,2021-09-03,华夏银行亮相2021年服贸会，“可持续·更美好”品牌理念焕新再出发,中国网
296,2021-09-03,华夏银行发布上半年财报：净利润109.8亿元,光明网
297,2021-09-01,华夏银行暂停的不是人民币汇兑，而是“外汇兑外汇”，为何暂停外汇买卖？,搜狐
298,2021-09-01,海外信用评级汇总2021年9月1日星期三,Wind
299,2021-09-01,华夏银行自停个人外汇买卖，多家银行态度趋谨慎,财经杂志
