,2021-12-31,又一家机器人公司被分拆筹备上市，今年营收或突破20亿,Ofweek
44,2021-12-17,又一批龙头企业被列入美国“实体清单”！公司紧急回应,中证报
45,2021-12-17,海康威视孕育8年，萤石网络冲刺科创板：年营收30亿,猎云网
46,2021-12-17,海康威视分拆萤石网络科创板IPO：资产负债率高于同行，拟募资37.39亿元,格隆汇
47,2021-12-17,【看新股】凯旺科技IPO：营收依赖海康、大华 发行市盈率较高或存破发风险,面包财经
48,2021-12-17,海康威视子公司海康微影：被列入“实体清单”毫无根据,格隆汇
49,2021-12-17,和讯SGI公司|净现比水平低，现金流短缺是隐忧 小盘股奥普特却独得外资宠爱 运营能力下降,和讯
50,2021-12-16,聪投TOP30基金经理4季度最爱调研个股，竟然还是它,新浪
51,2021-12-16,泰晶科技：服务中兴通讯、海康威视、大华、联想等,每日经济新闻
52,2021-12-16,商汤上市遇阻，AI困局无解,新浪
53,2021-12-16,资本潮涌兴钱塘 A股浙江板块迈入“600+”时代,上证报
54,2021-12-15,萤石网络：海康威视(002415.SZ)2.0版?,智通财经
55,2021-12-15,负债率高达80％，海康威视子公司萤石网络冲击A股 偿债能力下降,腾讯网
56,2021-12-15,海康威视分拆萤石网络冲刺科创板，行业竞争压力明显引市场担忧,阿尔法工场
57,2021-12-15,海康威视跌3.67% 申银万国中国银河高点唱多,中国经济网
58,2021-12-15,萤石网络冲刺科创板，毛利率低于同行平均数 盈利能力下降,乐居财经
59,2021-12-15,萤石网络科创板IPO，研发投入占比呈下降趋势,乐居财经
60,2021-12-15,海康威视：逆势加仓“安防茅”，张坤在押注什么？,Ofweek
61,2021-12-15,“网信国家队”突然放大招，旗下7家A股公司股权划转,Wind
62,2021-12-15,"深夜重磅！""网信国家队""突然放大招，旗下7家A股公司股权划转！刚召开改革推进会，想象空间打开？",券商中国
63,2021-12-14,刚辞任中源协和董事长、又携妻子成其实控人 龚虹嘉一通操作，意图何在？ 董监高成员变化,每日经济新闻
64,2021-12-14,海康威视分拆萤石网络“闯关”科创板 拟募资37.39亿元加码智能家居,证券日报网
65,2021-12-14,海康威视子公司萤石网络科创板IPO获受理，拟募集37.39亿，大额关联交易受关注,21世纪经济报道
66,2021-12-14,海康威视：子公司萤石网络科创板上市申请获受理｜公司问答,第一财经
67,2021-12-14,海康威视分拆萤石网络科创板上市，关联交易规模较大风险如何破？,资本邦
68,2021-12-14,A股融资融券日报：两融余额增加51.19亿元（12月13日）,Wind
69,2021-12-14,上市公司正负面新闻2021年12月14日星期二,Wind
70,2021-12-14,商汤科技港股上市按暂停键，承销商启动退钱程序,Wind
71,2021-12-13,中证路演回放丨凯旺科技（301182）首次公开发行股票并在创业板上市网上路演,中证报
72,2021-12-13,海康威视分拆子公司亮相科创板“考场” 萤石网络拟募资37.39亿元,上证报
73,2021-12-13,晚间重要公告2021年12月13日星期一,Wind
74,2021-12-13,海康威视(002415.SZ)：萤石网络于科创板IPO的申请获上交所受理,格隆汇
75,2021-12-13,海康威视：子公司萤石网络科创板上市申请获受理,Wind
76,2021-12-13,海康威视：子公司萤石网络首次公开发行股票并在科创板上市申请获受理,财联社
77,2021-12-13,海外机构调研股名单，汇川技术最受关注,Wind
78,2021-12-13,海康威视现1笔大宗交易 共成交267.15万元,新浪
79,2021-12-13,海康威视今日大宗交易成交5万股，成交价53.43元溢价0.0%,Wind
80,2021-12-13,AI独角兽暂停港股IPO，承销商紧急退钱，什么情况？,Wind
81,2021-12-13,25股获券商买入评级，中远海控目标涨幅达101.13%,Wind
82,2021-12-12,【民生计算机】中央经济工作会议强调数字化,计算机司令部
83,2021-12-11,欲扩产解除产能瓶颈 如何看待凯旺科技（301182.SZ）的成长性？,智通财经
84,2021-12-10,海康威视：部分国有股份无偿划转,e公司
85,2021-12-10,海康威视：实控人拟将2.45%股份无偿划转至电科投资 减持股份,财联社
86,2021-12-10,新奥达战略合作海康威视(002415.SZ) 共拓智慧物联网赛道,智通财经
87,2021-12-10,A股融资融券日报：两融余额增加7.33亿元（12月9日）,Wind
88,2021-12-10,海康威视等13股获融资净买入超亿元,证券时报网
89,2021-12-10,融资客青睐7股，长江通信买入占比高达38.22%,Wind
90,2021-12-09,毛利率逐年下滑，云天励飞的差异化竞争故事能否持续奏效？ 盈利能力下降,智通财经
91,2021-12-09,海康威视大宗交易成交1014.85万元,证券时报网
92,2021-12-09,"海康威视现1笔大宗交易 共成交1,014.85万元",新浪
93,2021-12-09,各种茅集体大涨，外资狂买超200亿！后市如何走？,Wind
94,2021-12-09,海康威视今日大宗交易成交18.70万股，成交价54.27元溢价0.0%,Wind
95,2021-12-09,管理费降至0%，基民却开心不起来，发生了什么？,Wind
96,2021-12-08,电子行业2022年投资策略：半导体创新与国产化并重 汽车、VR／AR空间广阔,新浪
97,2021-12-08,海康威视参股成立创业投资合伙企业，注册资本6亿元,乐居财经
98,2021-12-08,和讯SGI公司| 睿创微纳 SGI指数最新评分88分，利润常年跑赢营收，但严重依赖政策，未来存不确定性,和讯
99,2021-12-08,奥普特：公司为客户提供包含机器视觉产品在内的成套解决方案,每日经济新闻
100,2021-12-07,“25位年度影响力企业领袖”榜单公布,中国企业家网
101,2021-12-07,计算机2022年度策略报告：边际变化里藏金子,新浪
102,2021-12-07,连接器新军凯旺科技：拟募资2.99亿元加码核心业务以提升竞争力,证券日报网
103,2021-12-07,大钲资本创业说对话掌通家园叶荏芊：校园信息化赛道的布局与打法,凤凰网
104,2021-12-06,“少量多样”优势锁定龙头订单 需求爆发凯旺科技有望持续受益,证券日报网
105,2021-12-06,大宗交易揭秘：白马股筹码松动，6股获超溢价买入,Wind
106,2021-12-06,视频监控行业龙头重要供应商凯旺科技高增长可期,上证报
107,2021-12-06,A股异动 | 海康威视涨逾3% 超430家机构涌入调研 三巨头罕见同框,格隆汇
108,2021-12-06,海康威视迎来三巨头“组团调研”,e公司
109,2021-12-06,单家公募频现“组团调研” 海康威视迎来三巨头,全景网
110,2021-12-06,组团调研年底频现，这些公司受青睐,Wind
111,2021-12-06,A股头条：房企融资监管释放积极政策信号；海外最大中国股票基金大举减持宁德时代；430多家机构调研海康威视 减持股份,金融界
112,2021-12-06,罕见！4000亿龙头迎公募重点关注，睿远三大巨头一同现身！组团调研年底频现，这些公司受青睐,券商中国
113,2021-12-05,海康威视：增加的存货会动态消耗，根据生产能力、交期、需求再做合理调节,Bianews
114,2021-12-05,430多家机构涌入海康威视调研 陈光明、傅鹏博和赵枫三巨头罕见同框,e公司
115,2021-12-05,10月份以来超430家机构调研海康威视 陈光明、傅鹏博和赵枫三巨头罕见同框,财联社
116,2021-12-05,430多家机构涌入海康威视调研,Wind
117,2021-12-05,430多家机构涌入海康威视调研,e公司
118,2021-12-05,计算机行业周报：投资机会更多吗？软件“十四五”规划对照与详解！,新浪
119,2021-12-05,430多家机构涌入这家公司调研，睿远三巨头罕见同框，陈光明曾大赚一笔,上证报
120,2021-12-03,海康威视接受22家机构调研！短期主力资金净流入，市场资金或早已察觉,每日经济新闻
121,2021-12-03,"海康威视现2笔大宗交易 共成交10,551.20万元",新浪
122,2021-12-03,海康威视今日大宗交易成交218万股，成交价48.4元溢价0.0%,Wind
123,2021-12-03,海康威视荣获2021“金责奖”最佳社会（S）责任奖,新浪
124,2021-12-03,海康威视：公司会在保障供应链安全的前提下，使用各类合适元器件，目前公司元器件供应稳定,每日经济新闻
125,2021-12-03,海康威视：公司暂未涉及元宇宙相关业务,Wind
126,2021-12-03,海康威视：重庆科技园主要用作公司的生产厂房、仓库及相关配套设施等,Wind
127,2021-12-01,计算机行业2022上半年投资策略：把握数字化发展机遇 关注高景气、具备成长确定性领域,新浪
128,2021-12-01,"海康威视现4笔大宗交易 共成交5,836.79万元",新浪
129,2021-12-01,海康威视今日大宗交易成交90万股，成交价48.22元溢价0.0%,Wind
130,2021-12-01,计算机行业事件点评：工信部同时发布两大重磅政策 软件行业黄金十年开启,新浪
131,2021-12-01,A股融资融券日报：两融余额增加15.02亿元（11月30日）,Wind
132,2021-11-30,A股早报2021年11月30日星期二,Wind
133,2021-11-30,海康威视11月29日现2笔大宗交易,证券时报网
134,2021-11-29,2021中国上市公司软实力巡礼：海康威视价值331.35亿元 排序第13名,搜狐
135,2021-11-29,透视大宗交易：11月29日共成交193笔，海康威视成交6.99亿元,每经网
136,2021-11-29,海康威视今日大宗交易成交1470万股，成交价47.57元溢价0.0%,Wind
137,2021-11-29,海康威视现6.99亿元大宗交易 系机构买入,e公司
138,2021-11-29,跌近30%的安防龙头，冯柳、张坤浮盈缩水或超九成,格隆汇
139,2021-11-29,【共筑生态圈】成都华迈成为海康威视注册级生态伙伴,凤凰网
140,2021-11-29,“喝酒”的张坤、刘彦春、萧楠、王宗合能翻身吗？,Wind
141,2021-11-29,海康威视智能“体检员”上岗 助力地铁运维智能化－国务院国有资产监督管理委员会,国资委
142,2021-11-29,“A拆A”大戏不断，创业板科创板成上市地首选,Wind
143,2021-11-29,银行理财资金发力权益市场：调研新能源产业链，新关注银行、养殖板块,Wind
144,2021-11-28,银行理财资金调研路线图揭晓，数十家公司股价翻倍,Wind
145,2021-11-27,万物云赴港上市获股东支持，万科将拓展经营和服务赛道,Wind
146,2021-11-26,商汤科技借元宇宙东风当“AI第一股”：估值120亿美元，三年半亏了240亿 亏损,证券之星
147,2021-11-26,A股资金流向：沪指“以缺补缺”，权重低迷题材脉冲回落,Wind
148,2021-11-26,35股收盘价创年内最低，回撤最高70%以上,Wind
149,2021-11-26,35股收盘价创年内最低，回撤最高70%以上,证券时报网
150,2021-11-26,本周6家公司估值创年内最低 均获机构预测业绩增长,第一财经
151,2021-11-26,6万股民不要误断，妖股九连板后重要提示！交易所灵魂拷问，是否故意拉股价？,新浪
152,2021-11-25,股价与业绩“齐飞” 国企上市公司股权激励成效显著,上证报
153,2021-11-24,海康威视(002415)点评：三大BG明年应更乐观 估值中枢上行可期！,新浪
154,2021-11-24,浙江区域股市周报：新增2家上市公司 107家机构调研永太科技,每日经济新闻
155,2021-11-24,部分VR概念股走强 海康威视(002415.SZ)涨超3%,格隆汇
156,2021-11-24,海康威视、欧菲光、晶方科技上涨，VRETF（159786）连续多个交易日创新高,资本邦
157,2021-11-24,年内A股近800份股权激励计划发布,Wind
158,2021-11-23,41股主力资金净流入超亿元,证券时报网
159,2021-11-23,A股资金流向：板块分化明显，“锂风光”休整储能接棒,Wind
160,2021-11-23,“安防茅”大跌5%创年内新低，三个月市值蒸发2000亿，张坤又踩雷,AI财经社
161,2021-11-22,电子行业周报：折叠屏关注度继续升温 德仪宣布大额扩产计划,新浪
162,2021-11-22,计算机行业周报：阿里云首次季度营收超过200亿元,新浪
163,2021-11-22,中国铁塔2021年度可见光球型摄像机（01、02标包）集采：海康威视领衔,C114通信网
164,2021-11-22,专题｜智能制造板块业绩大增 “灯塔工厂”数字化变革的喜与忧,投资者网
165,2021-11-19,盘后公告集锦|11天8板大牛股业绩翻倍！子公司数字货币业务迎来爆发,财联社
166,2021-11-19,计算机应用行业：国企改革乘风破浪 中国电科直挂云帆,新浪
167,2021-11-19,IPO沸点｜连接器厂商凯旺科技注册获批，近半收入靠海康威视，外协模式引关注,财经网
168,2021-11-19,【机会挖掘】交通运输部强调加快自动驾驶技术使用 机构建议关注三条投资主线,证券时报网
169,2021-11-18,国常会传来利好！海外机构扎堆调研这些公司，榨菜龙头最受关注,Wind
170,2021-11-16,海康威视大宗交易成交999.79万元,证券时报网
171,2021-11-16,海康威视今日大宗交易成交19.08万股，成交价52.4元溢价1.45%,Wind
172,2021-11-16,海康威视现1笔大宗交易 共成交999.79万元,新浪
173,2021-11-16,浙江区域股市周报：新增1家上市公司 220家机构调研海亮股份,每日经济新闻
174,2021-11-16,石家庄市新一代电子信息产业的聚集效应日渐凸显,中投网
175,2021-11-16,【计算机*王紫敬】中国电科国企改革大幕拉开,东吴研究所
176,2021-11-15,计算机行业周报：虚拟与现实的交织 元宇宙背后的ICT技术,华安证券
177,2021-11-14,微创光电董事长陈军：我们正处在大变局前夜 跟踪趋势做好充分准备,每日经济新闻
178,2021-11-13,【最全】2022年中国智能安防行业上市公司全方位对比(附业务布局汇总、业绩对比、业务规划等),前瞻研究院
179,2021-11-12,商汤科技的隐忧,极客网
180,2021-11-12,海外信用评级汇总2021年11月12日星期五,Wind
181,2021-11-12,海康威视接受23家机构调研！短期主力资金净流出，或存在资金分歧,每日经济新闻
182,2021-11-12,标普：应海康威视要求，撤销其“A-”长期发行人信用评级,Wind
183,2021-11-12,券商新进19只　精选层个股,财富动力网
184,2021-11-11,北向资金大幅加仓股名单,证券时报网
185,2021-11-11,券商：安防龙头被相中，新进建仓超9000万股，4股持仓破10亿元,微信
186,2021-11-09,海康威视现2笔大宗交易 总成交金额2.59亿元,证券时报网
187,2021-11-09,"海康威视现2笔大宗交易 共成交25,891.20万元",新浪
188,2021-11-09,海康威视今日大宗交易成交496万股，成交价52.2元溢价0.0%,Wind
189,2021-11-09,浙江区域股市周报：新增1家上市公司 82家机构调研珀莱雅,每日经济新闻
190,2021-11-09,海康威视：公司于2021年3月完成换届选举，目前管理层稳定,每日经济新闻
191,2021-11-09,海康威视：公司前三季度的毛利率保持基本稳定,每日经济新闻
192,2021-11-09,海康威视：控股子公司萤石网络有智能手表、运动相机等相关产品,每日经济新闻
193,2021-11-09,海康威视：重庆科技园二期项目按项目规划正常建设完毕,每日经济新闻
194,2021-11-09,海康威视：公司创新业务控股子公司杭州海康汽车技术有限公司聚焦于智能驾驶领域,每日经济新闻
195,2021-11-09,海康威视：公司目前应收账款风险可控,每日经济新闻
196,2021-11-09,海康威视：公司供应链保障能力在行业内有比较优势，自有资金充足，现金流稳定,每日经济新闻
197,2021-11-09,海康威视：武汉智慧产业园项目建设正在有序进行中,每日经济新闻
198,2021-11-09,海康威视：公司2018-2020年研发费用占营业收入比重分别为8.99%、9.51%、10.04%,每日经济新闻
199,2021-11-09,海康威视：公司新业务的开拓未涉及新能源汽车整车领域,每日经济新闻
200,2021-11-09,海康威视：海康微影已经自建一条8寸MEMS生产线及封装线，具备年产晶圆一万片，探测器百万颗的生产能力,每日经济新闻
201,2021-11-08,财信证券基金深度报告：影响基金组合收益率的几点思考及重点品种2021年3季报调换仓情况,财信证券研究
202,2021-11-07,缺货涨价致安防设备商Q3业绩集体下滑，芯片企业却受益翻倍增长 盈利能力下降,C114通信网
203,2021-11-05,海康威视发布“黑科技” 用“光”就能秒级监测水质,经济日报
204,2021-11-05,商汤科技没沾上汽车智能化的光,36氪
205,2021-11-05,电子行业专题研究：3Q持仓分析 北上持续加码半导体,新浪
206,2021-11-05,智能安防行业产业链全景梳理及区域热力地图,ZAKER
207,2021-11-04,从茅台到宁王，公募重仓股突变，一个新时代开启？,Wind
208,2021-11-04,海外机构争相调研机器人龙头，机械设备行业备受关注,Wind
209,2021-11-03,海康威视今日大宗交易成交142.43万股，成交价50.95元溢价0.0%,Wind
210,2021-11-03,另眼看季报系列之三：固收+基金都在配什么？,新浪
211,2021-11-03,公募基金持股市值创新高，社保显著加仓周期股（附表）,Wind
212,2021-11-03,新能源和煤炭三季度催生“翻倍基”，“宁王”有望超茅台成公募最爱,ZAKER
213,2021-11-03,"海康威视现3笔大宗交易 共成交7,256.81万元",新浪
214,2021-11-02,海康威视大宗交易成交719.18万元，买卖双方均为机构专用席位,证券时报网
215,2021-11-02,海康威视今日大宗交易成交14万股，成交价51.37元溢价0.0%,Wind
216,2021-11-02,通信行业跟踪周报：本周专题 通信第三季度基金持仓环比持平 持续关注物联网及能源信息化赛道投资机会,新浪
217,2021-11-02,浙江区域股市周报：新增2家上市公司 227家机构调研容百科技,每日经济新闻
218,2021-11-02,又创新高！万亿宁王市值逼近宇宙行，行情还能走多久,Wind
219,2021-11-02,ESG基金继续重仓新能源，百亿级产品三季度表现更优,Wind
220,2021-11-01,跟第一大供应商海康威视“抢生意”？微创光电董事长陈军：我们正处在大变局前夜,每日经济新闻
221,2021-11-01,海康威视躺赚的日子过去了,ZAKER
222,2021-11-01,公募三季度全景图绘出， “百亿俱乐部”规模缩水,Wind
223,2021-11-01,珍品拍卖成交额同比增长达9倍 京东生活服务11.11开门红火爆开场,驱动中国
224,2021-11-01,基金三季度调仓换股全扫描 明显加仓电力、能源、地产,每日经济新闻
225,2021-11-01,公募：新能源上下游增配明显,国际金融报
226,2021-11-01,私募大佬放大招！看邓晓峰、冯柳、裘国根等最新持仓,Wind
227,2021-11-01,公募三季度全景图绘出“百亿俱乐部”规模缩水,Wind
228,2021-10-31,基金周报：消费下跌 公募基金规模稳定上涨,新浪
229,2021-10-31,中信证券：Q3盈利修复显著放缓,Wind
230,2021-10-30,爆棚了！元宇宙概念龙头获超400家机构调研,Wind
231,2021-10-30,基金三季度调仓换股全扫描，电力、能源、地产被明显加仓！,Wind
232,2021-10-30,基金三季度调仓换股全扫描，电力、能源、地产被明显加仓！明星基金经理：看好宁德时代市值超贵州茅台,每经头条
233,2021-10-30,两大行业亮眼！A股三季报大数据榜单揭晓,Wind
234,2021-10-29,狂买“小而美”，抛售“大白马”！百亿基金新增重仓股曝光,Wind
235,2021-10-29,富瀚微(300613)：新产能释放 Q3维持高增态势,新浪
236,2021-10-29,狂买这些股！私募大咖冯柳330亿A股持仓大曝光,中国基金报
237,2021-10-29,茅台失宠？宁德时代成基金第一重仓，部分“抱团股”遭疯狂减持，新能源受青睐！,新浪
238,2021-10-29,海康威视等80股获20家以上机构调研,证券时报网
239,2021-10-29,149家公司获机构调研（附名单）,证券时报网
240,2021-10-29,私募大佬隐形重仓股曝光！冯柳挖到翻倍股，邓晓峰狂买紫金矿业,Wind
241,2021-10-28,【专题报告】2021年三季报公募基金十大重仓股持仓分析,华创金工
242,2021-10-28,超越茅台，“宁王”成三季度偏股型基金头号重仓，新能源赛道仍受公募追捧,经济观察报
243,2021-10-28,全球开发者节，科大讯飞带来1024种AI生活,搜狐
244,2021-10-28,21Q3基金持仓结构分析：“宁王”上位 多数基金Q3 选择“躺平”,新浪
245,2021-10-28,三季度明星基金持仓变动②：张坤降低医药配置，大幅买入海康威视,搜狐
246,2021-10-28,“顶流”管理规模缩水超百亿！但是他们更有信心了,Wind
247,2021-10-28,基金经理规模和重仓50股榜单来了！,Wind
248,2021-10-28,港股盘前必读：中国平安前三季度净利润816.38亿元同比下降20.8%,Wind
249,2021-10-28,基金A股持仓创历史新高，“顶流”投资路线曝光,Wind
250,2021-10-27,基金最新“十大抱团股”名单出炉！,Wind
251,2021-10-27,私募持仓去向曝光：增持87股，8只已翻番,Wind
252,2021-10-27,冯柳前两大重仓股曝光！紫光国微下游需求旺盛，海康威视获张坤加仓,红周刊
253,2021-10-27,张坤减持洋河股份，谢治宇、傅友兴减持双汇发展,Wind
254,2021-10-27,“公募一哥”张坤险守千亿规模 三季度增仓食品饮料及银行,证券之星
255,2021-10-27,董承非“封笔之作”、谢治宇仓位提升……,Wind
256,2021-10-27,海康威视(002415)：EBG等发力对冲宏观放缓影响,新浪
257,2021-10-27,海康威视(002415)：受创新业务、EBG和SMBG拉动 业绩稳健增长,新浪
258,2021-10-27,“公募一哥”张坤在管规模三季度险守千亿，增持泸州老窖(000568.SZ)、海康威视(002415.SZ)等股票,智通财经
259,2021-10-27,张坤、刘彦春重磅发声！2大千亿顶流季报出炉,Wind
260,2021-10-27,私募最新持仓：高瓴动作频频，2大百亿私募加仓茅台,Wind
261,2021-10-27,“公募一哥”张坤在管规模三季度险守千亿，增持食品饮料银行,澎湃新闻
262,2021-10-27,顶流来了！谢治宇、朱少醒、周蔚文、刘彦春等最新持股大曝光,Wind
263,2021-10-27,顶流来了！谢治宇、朱少醒、周蔚文、刘彦春、雷鸣等最新持股大曝光,中国基金报
264,2021-10-26,机构正在抛弃民营医院？张坤、高瓴撤离爱尔眼科（300015）、通策医疗（600763）,智通财经
265,2021-10-26,风暴眼 | 营收不高、芯片研发失利 科创板“AI第一股”坐立难安,凤凰网
266,2021-10-26,王培旗下中欧行业成长最新持仓：通策医疗、招商银行、东方雨虹、海康威视退出前十大重仓,财联社
267,2021-10-26,周应波旗下中欧远见两年定开最新持仓：海康威视、赣锋锂业、腾讯控股被减持 减持股份,财联社
268,2021-10-26,海康威视躺赚的日子过去了,和讯
269,2021-10-26,最高涨幅超150%！券商最新调研，聚焦四季度最佳布局赛道,Wind
270,2021-10-26,裘国根、葛卫东、冯柳、邓晓峰、林利军调仓换股曝光,Wind
271,2021-10-26,私募大佬裘国根、葛卫东继续加仓这只股！冯柳、邓晓峰、林利军、杨东调仓换股曝光！,中国基金报
272,2021-10-26,这些LED相关企业，Q3全员大增,Ofweek
273,2021-10-26,海康威视等27股获20家以上机构调研,证券时报网
274,2021-10-26,中科创达居10月险资调研榜首 业内称消费成长赛道或接近调整尾声,财联社
275,2021-10-26,85股获券商买入评级，海康威视目标涨幅达59.32%,Wind
276,2021-10-26,海康威视创新驱动前三季净利首破百亿 明星基金经理张坤加仓3400万股,长江商报
277,2021-10-26,东证资管前三季11只基金跌超10% 总经理业绩同样欠佳,中国经济网
278,2021-10-25,最高涨近七成！券商最新调研偏爱这些股,Wind
279,2021-10-25,市场情绪回暖 三季报考验来临,每日经济新闻
280,2021-10-25,“千亿顶流”张坤最新调仓出炉：抛弃两大医药爱股，近70亿重仓海康威视,格隆汇
281,2021-10-25,海康威视(002415)2021年三季报点评：三季报符合预期 创新业务带动新增长,光大证券
282,2021-10-25,高毅资产最新持仓曝光！邱国鹭捕获暴涨股，冯柳坚守海康威视，邓晓峰抄底科思股份过举牌线,财联社
283,2021-10-25,“顶流”基金经理最新动向：张坤热衷优质银行，傅鹏博、刘格菘看好新能源,搜狐
284,2021-10-25,简评：海康威视、贵州茅台、招商银行,证券之星
285,2021-10-25,告别粉笔时代，读书郎、希沃、海康威视教学一体机测评,凤凰网
286,2021-10-25,海康威视股价跌2% 前3季经营现金净额降单季ROE降,中国经济网
287,2021-10-25,明星基金经理三季度持仓动向曝光！张坤、傅鹏博、谢治宇、葛兰等加减仓了这些个股,每日经济新闻
288,2021-10-25,国元证券：给予海康威视买入评级，目标价位82.35元,证券之星
289,2021-10-25,国元证券维持海康威视买入评级，2021年三季报点评：三季度稳健增长，创新业务延续高增态势,每日经济新闻
290,2021-10-25,科达自控：已与华为、海康威视以及西门子等企业达成战略合作,全景网
291,2021-10-25,招财日报2021.10.25｜海康威视第三季度业绩符合预期,招银国际
292,2021-10-25,平安证券维持海康威视推荐评级：AI引领安防智能化变革，继续推进创新业务发展,每日经济新闻
293,2021-10-25,跟第一大供应商海康威视“抢生意”？ 微创光电董事长陈军谈行业趋势：我们正处在大变局前夜,每经头条
294,2021-10-25,西部证券维持海康威视买入评级，2021三季报点评：三季度业绩符合预期，创新业务表现突出,每日经济新闻
295,2021-10-25,思维独角兽 | 谷歌Play Store应用费率将降至15%；“蓝湖”完成10亿元C+轮融资,中金在线
296,2021-10-25,计算机行业周报：逻辑“双杀”公司开始出现 均衡配置头部与低估值,新浪
297,2021-10-25,电子行业周报：鸿蒙生态蓬勃发展 IOT产业加速,新浪
298,2021-10-25,海康威视：对于运费的问题，目前似乎还没有看到实质上好转的信号,Wind
299,2021-10-25,大曝光！邓晓峰抄底这只股，冯柳“新宠”来了！,Wind
300,2021-10-25,最新动向！张坤逆市加仓5200亿巨头，傅鹏博、谢治宇双双增持“化学茅”…这些顶流都在逆市布局,券商中国
301,2021-10-25,最新动向！张坤逆市加仓5200亿巨头 傅鹏博、谢治宇双双增持“化学茅”,券商中国
302,2021-10-24,房地产税改革试点来了，地产股将跌出价值？,每日经济新闻
303,2021-10-24,芯片短缺、能源紧张，海康威视称将提高库存,第一财经
304,2021-10-24,百亿级私募最新持仓曝光！景林、聚鸣罕见“碰头”,Wind
