,2021-12-31,电子行业研报：车规半导体空间足，国产替代提速【华西电子团队】,每经网
30,2021-12-27,【华西电子孙远峰团队-紫光国微点评】特种业务维持高速增长，安全业务明年全线开花,远峰电子
31,2021-12-27,国防军工行业研究周报：航空主机厂批产试飞完美收官 “十四五”高质量开局已奠定,新浪
32,2021-12-27,紫光国微：公司主要业务板块目前总体仍然处于供不应求的状态,财联社
33,2021-12-27,紫光国微：目前没有涉及DPU方面产品,Wind
34,2021-12-24,紫光国微荣获“金智奖”中国ICT行业科技创新优秀奖,金融界
35,2021-12-21,A股共发生254宗大宗交易成交48.09亿元（12月21日）,Wind
36,2021-12-21,紫光国微大宗交易成交205.00万元,证券时报网
37,2021-12-21,紫光国微安全芯荣膺2021“中国芯”优秀技术创新产品奖,和讯
38,2021-12-21,紫光国微今日大宗交易成交1万股，成交价205.0元溢价0.11%,Wind
39,2021-12-20,“越跌越买”！机构建议扫入这些半导体概念、最高可涨69%,第一财经
40,2021-12-20,紫光国微今日大宗交易成交2.50万股，成交价206.64元溢价0.9%,Wind
41,2021-12-20,校企改革加速清华大学无偿划转股权 清华系9家A股公司6家完成易主 控制人变化,长江商报
42,2021-12-17,赵伟国长文控诉，管理人连夜发声，紫光“734亿资产流失”因何而起？,Wind
43,2021-12-17,赵伟国回应紫光重组国有资产流失，管理人回击称干扰重整,Wind
44,2021-12-16,紫光国微今日大宗交易成交3.80万股，成交价215.95元溢价0.0%,Wind
45,2021-12-16,质疑700亿巨额国资流失？紫光集团千亿重整遭董事长赵伟国反对,21经济网
46,2021-12-16,董事长赵伟国实名举报！紫光集团破产重整涉嫌734.19亿国有资产流失？ 减资破产,快科技
47,2021-12-15,“击败”阿里巴巴，拿下紫光重组案的“接盘侠”是何方神圣？,国际电子商情
48,2021-12-15,紫光集团重整计划出炉，司法重整已进入最后阶段,国际金融报
49,2021-12-15,紫光集团600亿重整方案揭晓，战投升级产业布局,Wind
50,2021-12-14,紫光国微：“国微转债”12月17日起开始转股,Wind
51,2021-12-14,中诚信国际：关注紫光国微间接控股股东重整等事项进展 关联方问题,Wind
52,2021-12-14,紫光国微(002049.SZ)：“国微转债”自12月17日起开始转股,格隆汇
53,2021-12-14,紫气东来：智路建广联合体接盘紫光集团重组背后的原因,Ofweek
54,2021-12-14,19股获券商买入评级，中天科技目标涨幅达58.20%,Wind
55,2021-12-14,上市公司正负面新闻2021年12月14日星期二,Wind
56,2021-12-14,元宇宙满屏涨停，北上资金爆买金融白酒,Wind
57,2021-12-14,紫光集团更多债务重整细节“曝光” 智路建广或将实现95%至100%高质量清偿,证券日报
58,2021-12-13,晚间重要公告2021年12月13日星期一,Wind
59,2021-12-13,出资600亿，紫光集团重整细节曝光！,Wind
60,2021-12-13,传统蓝筹“王者归来”，市场风格切换在即？,Wind
61,2021-12-13,紫光国微(002049.SZ)：确定北京智路资产和北京建广资产作为牵头方组成的联合体为紫光集团等七家企业实质合并重整战略投资者,格隆汇
62,2021-12-13,紫光国微：管理人已与相关战略投资者签署《重整投资协议》,Wind
63,2021-12-13,20股今日获机构买入评级,证券时报网
64,2021-12-13,北向资金连续9日净买入累计加仓近700亿，爆买东方财富超17亿,Wind
65,2021-12-13,阿里紫光，失之交臂,前瞻研究院
66,2021-12-13,【太平洋通信|点评】紫光国微:紫光集团重整战投落地，特种芯片龙头扬帆启航,永不消失的电磁波
67,2021-12-13,半导体产业链异动拉升,Wind
68,2021-12-13,A股早报2021年12月13日星期一,Wind
69,2021-12-13,清华控股被无偿划给这个地方国资！涉及8家上市公司,Wind
70,2021-12-13,紫光集团：已与战略投资者签署《重整投资协议》并制定重整计划草案,C114通信网
71,2021-12-13,清华系校企改革提速 清华控股被无偿划转给四川能投,上证报
72,2021-12-12,清华校企全部股权拟无偿划转，受让方国企四川能投,Wind
73,2021-12-12,清华千亿校企被无偿划转的背后,Ofweek
74,2021-12-11,不要钱，清华校企被无偿划转！资产从5000多亿缩水至600亿，它究竟发生了什么？,每日经济新闻
75,2021-12-11,重磅！紫光集团重整方案初步敲定，涉多家上市公司,中证报
76,2021-12-11,紫光集团重组战略投资者确定 智路建广联合体最终入围,全景网
77,2021-12-10,紫光破产重组方案定了！智路建广联合体接盘 减资破产,第一财经
78,2021-12-10,公告精选：紫光集团重整确定战略投资者；长江电力拟并购云川公司，水电装机规模将大幅提升,e公司
79,2021-12-10,3000亿芯片巨头紫光集团重组：智路资产、建广资产等七企业参与,快科技
80,2021-12-10,紫光国微：清华大学拟将清华控股100%股权划转给四川能源投资集团,Wind
81,2021-12-10,【晚间公告抢先看】顶固集创应收恒大集团及其成员已逾期未兑付商票约2573万元、受疫情影响多家公司临时停产,金融界
82,2021-12-10,紫光国微(002049.SZ)：北京智路资管等成为紫光集团等七家企业实质合并重整战略投资者,智通财经
83,2021-12-10,紫光国微：紫光集团重整确定战略投资者,e公司
84,2021-12-10,紫光国微：北京智路资产管理等组成的联合体成为紫光集团实质合并重整战略投资者,格隆汇
85,2021-12-10,紫光集团重组确定投资者：北京智路资管、建广资管等组成的联合体中选,Wind
86,2021-12-10,紫光国微：与优机库达成战略合作,e公司
87,2021-12-10,北向资金本周净买入额创历史新高，连续6日抢筹贵州茅台累计加仓超47亿,Wind
88,2021-12-10,12月9日北上资金动向：这些股获大幅加仓！,搜狐
89,2021-12-10,北向资金动向盘点：216亿不是重点，进攻宽度才是玄机,Wind
90,2021-12-10,豪气！北向资金扫货A股超216亿元，增持白酒银行，减持汽车配件（附股） 减持股份,21世纪经济报道
91,2021-12-09,外资爆买A股！一天狂加仓近百亿！抄底宁德时代，重仓茅台、招行,Wind
92,2021-12-09,A股突然启动上涨，茅台收复2000元，人民币连创新高！,Wind
93,2021-12-08,【兴证策略 | 陆股通】配置盘与交易盘在哪些行业出现“分歧”？,尧望后势
94,2021-12-08,【电子】电子行业2022年度策略—产业向新常态回归，聚焦高成长赛道,中银证券研究
95,2021-12-08,降准落地，A股仍涨不动？这一顶级赛道却吵翻了,Wind
96,2021-12-07,市场温度计：东吴策略-内外资风格持续分化,新浪
97,2021-12-07,600万手封盘，“汉阳兵工厂”来A股了，抢筹资金两倍市值，北上资金扫货的军工股出炉！央行下调这两类再贷款利率,中国基金报
98,2021-12-06,最大256GB！紫光超级SIM卡首次登陆澳门：一卡走遍大湾区,快科技
99,2021-12-06,北向资金连续4日净买入累计加仓超150亿，大幅抢筹券商、银行股,Wind
100,2021-12-06,电子行业周报：关注中概股政策风险,新浪
101,2021-12-06,北上资金青睐建筑装饰行业,Wind
102,2021-12-05,【德邦金工|周报】资金密集流入医药，关注工业富联巨额解禁 20211205 解禁,微信
103,2021-12-05,尾盘突发跳水，特斯拉概念牛股摊上事，聪明资金逆市抢筹！芯片股被轮番买入，北上资金大举加仓半导体板块,证券时报
104,2021-12-05,本周北向资金重点增持环保行业，狂买“宁王”22亿元，减仓这些个股（名单）,21世纪经济报道
105,2021-12-04,A股市场领涨全球，监管同意开展账户管理功能优化试点工作,Wind
106,2021-12-04,北上资金年度净买入刷新历史纪录,Wind
107,2021-12-04,多空博弈：千亿芯片股排队涨停　资金提前出逃物产中大,财富动力网
108,2021-12-03,中国电信（澳门）与紫光国微达成战略合作,e公司
109,2021-12-03,A股市场领涨全球，北上资金已开始“按捺不住”？,Wind
110,2021-12-03,媒体报道“吓坏”半导体龙头，涨停后紧急澄清：我没有 别瞎说,证券之星
111,2021-12-02,芯片股“开盲盒”？千亿市值芯片股“排队”涨停，2500亿龙头股触板仅用38秒，下个会是谁,财联社
112,2021-12-02,“芯片巨头”韦尔股份（603501.SH）涨停！汽车CIS即将爆发？,财华社
113,2021-12-02,北向资金今日净买入30.21亿元，宁德时代连续6日净买入累计加仓超24亿,Wind
114,2021-12-02,什么情况？大佬喊话后，千亿芯片龙头轮番涨停,财联社
115,2021-12-02,北向资金动向盘点：批量净卖新能源个股,Wind
116,2021-12-02,北向资金加仓A股30亿元，增持医疗服务业逾8亿元，抢筹这些龙头股（名单）,21世纪经济报道
117,2021-12-01,数据复盘｜56股获主力加仓超亿元 北向资金抢筹紫光国微、药明康德等,证券时报网
118,2021-12-01,12月开局北向资金扫货30亿元 净买入紫光国微6.5亿元（名单）,21世纪经济报道
119,2021-12-01,北水加仓快手超4亿港元，卖出腾讯超3亿港元；南水加仓紫光国微,富途证券
120,2021-12-01,北向资金净买入30.01亿元 紫光国微净买入6.5亿元,新浪
121,2021-12-01,北上资金净买入紫光国微6.5亿元，净卖出赣锋锂业5.33亿元,格隆汇
122,2021-12-01,北向资金12月首个交易日加仓A股30亿，紫光国微净买入超6亿元,Wind
123,2021-12-01,华泰研究所12月金股推荐,新浪
124,2021-12-01,A股资金流向：主线不明题材股炒作继续，资金挖掘低位补涨,Wind
125,2021-12-01,财报发不出却连续48个涨停、机构最新建仓股曝光,Wind
126,2021-12-01,大资金建仓有望跑赢大盘，机构资金最新建仓股曝光,证券时报网
127,2021-12-01,紫光国微等36股获北向资金增持额超亿元,证券时报网
128,2021-12-01,融资客青睐6股，宋都股份买入占比高达39.16%,Wind
129,2021-12-01,A股早报2021年12月1日星期三,Wind
130,2021-12-01,A股融资融券日报：两融余额增加15.02亿元（11月30日）,Wind
131,2021-12-01,每日理财观察：11月制造业PMI重回扩张区间,Wind
132,2021-12-01,北向资金甩卖白酒股逾24亿，增持医疗服务，这些个股受青睐（名单）,21世纪经济报道
133,2021-12-01,券商12月金股出炉，高景气成长方向仍是市场主线,Wind
134,2021-12-01,【中证盘前】上海机场拟191亿元购买控股股东资产；世纪华通子公司与腾讯签署联运合作框架协议；美股三大指数下跌,中证报
135,2021-12-01,跨年行情开启，“高景气度”成券商推荐关键词,Wind
136,2021-11-30,数字货币走强，紫光国微涨停获5.36亿资金抢筹（名单）,21世纪经济报道
137,2021-11-30,金融街下午茶2021年11月30日星期二,Wind
138,2021-11-30,数据复盘｜主力资金撤离有色金属、电气设备等行业 龙虎榜机构抢筹13股,证券时报网
139,2021-11-30,紫光国微涨幅超9.99%，芯片ETF（512760）涨超2.02%,资本邦
140,2021-11-30,【数据看盘】揭秘轮动行情机构操作手法 汽车零部件分歧中多股获加仓,财联社
141,2021-11-30,机构今日买入这21股，抛售中远海能3115万元丨龙虎榜,第一财经
142,2021-11-30,“数字货币”概念掀涨停潮，科技巨头强势封板一日飙升127亿,凤凰网
143,2021-11-30,北向资金今日净卖出超34亿元11月累计加仓185亿，贵州茅台连续3日遭抛售,Wind
144,2021-11-30,大盘震荡分化 机构买入小幅回升,金融投资报
145,2021-11-30,紫光国微龙虎榜数据（11月30日）,Wind
146,2021-11-30,紫光国微涨停 深股通净买入4.32亿元,e公司
147,2021-11-30,紫光国微放量涨停，外资净买入超4.3亿元,Wind
148,2021-11-30,11月30日热点题材概念分析：二维码识别、中船系领涨,搜狐
149,2021-11-30,A股资金流向：新能源分歧加大，外资尾盘被动配置加剧波动,Wind
150,2021-11-30,算力专题报告之一：“第三颗主力芯片”DPU的投资机会崛起,新浪
151,2021-11-30,11月30日紫光国微涨停分析：数字货币，eSIM，移动支付概念热股,证券之星
152,2021-11-30,异动快报：紫光国微（002049）11月30日14点4分封涨停板,中金在线
153,2021-11-30,A股收盘综述：有惊无险，沪指午后探底回升；北向资金加速撤离,Wind
154,2021-11-30,异动快报：紫光国微（002049）11月30日13点44分封涨停板,中金在线
155,2021-11-30,紫光国微：紫光同芯已经搭建了数字人民币支付场景，正在积极配合运营机构推动数字人民币在多个试点城市进行试运行,每日经济新闻
156,2021-11-30,异动快报：紫光国微（002049）11月30日13点54分封涨停板,证券之星
157,2021-11-30,紫光国微：公司与比亚迪目前尚未开展合作,Wind
158,2021-11-30,紫光国微：公司是相关汽车电子供应商的供应商,每日经济新闻
159,2021-11-30,解盘：人气回暖，数字货币、网络安全、军工、大数据领涨,Wind
160,2021-11-30,快讯：紫光国微涨停 报于230.89元,金融界
161,2021-11-30,A股午盘综述：股指横盘整理，数字货币、网络安全两翼齐飞,Wind
162,2021-11-30,涨停雷达：半导体个股异动 紫光国微触及涨停,ZAKER
163,2021-11-30,快讯：半导体及元件板块短线拉升 紫光国微涨停,新浪
164,2021-11-30,半导体产业链集体上攻，紫光国微涨停,Wind
165,2021-11-30,紫光国微首板，数字货币板块持续走强,Wind
166,2021-11-29,国防军工行业周报：跨年估值切换行情有望持续 军工主流标的蓝筹化大势所趋,新浪
167,2021-11-28,国防军工行业周报：景气供需共振 关注军工电子、航发,广发证券
168,2021-11-28,国防军工行业周报：上游订货周期有望呈现 元器件最为直接,新浪
169,2021-11-24,共建智慧教育服务新生态 爱而福德与紫光国微达成战略合作,证券时报网
170,2021-11-24,公司有应用于新能源汽车的IGBT器件吗？紫光国微：暂时没有相关产品,每日经济新闻
171,2021-11-24,紫光国微：数字人民币应用目前还处于试用推广阶段，公司正在积极配合各种应用场景的需求，提供相关产品及解决方案,每日经济新闻
172,2021-11-24,紫光国微：募投项目正在按照预计进度实施,每日经济新闻
173,2021-11-24,2021Q3公募基金军工股持仓分析： 业绩兑现带动配置提升，景气如期增配空间显著,国防军工参考
174,2021-11-21,国防军工行业：“供需共振”、“产能”、“空间” 景气稳增,广发证券
175,2021-11-19,国防军工行业周报：成长下的军工中枢向上 不断的布局机会,新浪
176,2021-11-19,紫光集团新确认债权345亿元，累计确认1426亿元,Wind
177,2021-11-17,北向资金结束连续4日净买入，贵州茅台遭大幅抛售超11亿元,Wind
178,2021-11-16,军工行业2022年年度策略：“十四五”需求里程碑式兑现 聚焦基本面把握结构性机会,新浪
179,2021-11-16,【行情】数字货币板块短线拉升，东信和平涨超5%，神思电子、紫光国微、卫士通跟涨,金十数据
180,2021-11-16,国君军工 | 军工持仓创新高，航空航天最受关注,国泰君安证券研究
181,2021-11-15,国防军工行业周报：航空产业链景气度持续高增 电科系资产证券化提速,新浪
182,2021-11-15,305家公司公布最新股东户数,证券之星
183,2021-11-14,公司是否会在元宇宙芯片安全方面进行相关合作或者布局？紫光国微：目前不涉及相关业务,每日经济新闻
184,2021-11-12,军工板块上中下游全面开花，多家券商认为有望保持高景气,Wind
185,2021-11-12,天翼云卡一体服务首次亮相！紫光国微携手中国电信共拓智慧未来,凤凰网
186,2021-11-11,紫光国微：联合中国电信推出的天翼云卡一体服务首次亮相,e公司
187,2021-11-10,军工行业：基本面趋势不改 盈利持续高增长,新浪
188,2021-11-09,中信证券发布2022年海外中资股展望：价值崛起,Wind
189,2021-11-08,财信证券基金深度报告：影响基金组合收益率的几点思考及重点品种2021年3季报调换仓情况,财信证券研究
190,2021-11-07,阿里出局，紫光集团由智路建广联合体“接盘”,亿欧网
191,2021-11-06,军工基金持仓占比大幅提升　景气向好驱动配置走高,财富动力网
192,2021-11-05,安路科技持续盈利能力遇窘境 董事在外任职涉嫌选择性披露,金融界
193,2021-11-05,银河证券：三季报表现靓丽，产能瓶颈破除助力军工行业景气度持续提升,智通财经
194,2021-11-04,143股获买入评级 最新:TCL 科技,中财网
195,2021-11-04,中航证券：给予紫光国微买入评级，目标价位280.0元,中金在线
196,2021-11-04,国防军工2021三季报综述：军工三季报增速40% 重点关注航发、导弹领域,新浪
197,2021-11-03,科技制造行业11月月报：新能源仍是焦点 继续布局估值和增长匹配的制造业专精特新标的,新浪
198,2021-11-03,国内芯片公司利润大增，半导体设备企业的新动态,Ofweek
199,2021-11-03,A股早报2021年11月3日星期三,Wind
200,2021-11-02,军工股集体爆发！大批公募提前布局：朱少醒、冯明远、赵诣、谢治宇等,中国基金报
201,2021-11-02,A股资金流向：主要行业主力资金悉数出逃，光伏股遭大幅抛售,Wind
202,2021-11-02,双剑合璧，超级SIM卡与和彩云云卡一体，共筑数智化新生态,和讯
203,2021-11-02,半导体板块集体爆发：紫光国微、北方华创涨超5%,格隆汇
204,2021-11-01,国防军工行业：基本面与关注度双升 格局、空间为要,广发证券
205,2021-11-01,国防军工行业周报：下游主机厂业绩释放如期而至,新浪
206,2021-11-01,【行情】数字货币板块午后拉升，星网锐捷涨超4%，翠微股份、紫光国微、赢时胜跟涨,金十数据
207,2021-11-01,私募大佬放大招！看邓晓峰、冯柳、裘国根等最新持仓,Wind
208,2021-11-01,紫光国微：公司在安全芯片领域已经处于国内龙头地位，在国际市场也逐步占据了重要地位,每日经济新闻
209,2021-11-01,紫光国微：公司主营业务为集成电路芯片设计,每日经济新闻
210,2021-10-31,紫光国微：公司原控股子公司紫光同创2019年、2020年及2021年1-6月份的收入分别为1.20亿元、3.16亿元和2.35亿元,每日经济新闻
211,2021-10-31,紫光国微：公司的车规级安全芯片已经开始小批量试用,每日经济新闻
212,2021-10-31,紫光国微：与神工半导体等材料制造企业没有直接合作关系,每日经济新闻
213,2021-10-31,紫光国微：今年芯片产品供不应求，公司积极交付订单，四季度的销售情况预计将好于往年,每日经济新闻
214,2021-10-30,基金三季度调仓换股全扫描，电力、能源、地产被明显加仓！,Wind
215,2021-10-29,[公司]下游需求旺盛 紫光国微2021年前三季度净利增逾一倍至14.57亿元,全景网
216,2021-10-29,紫光破产重组迎来关键期，谁会接盘？ 减资破产,第一财经
217,2021-10-28,港股盘前必读：中国平安前三季度净利润816.38亿元同比下降20.8%,Wind
218,2021-10-27,基金最新“十大抱团股”名单出炉！,Wind
219,2021-10-27,冯柳前两大重仓股曝光！紫光国微下游需求旺盛，海康威视获张坤加仓,红周刊
220,2021-10-27,太平洋维持紫光国微买入评级：盈利接近预告上限，毛利率提升明显，目标价296元,每日经济新闻
221,2021-10-27,太平洋：给予紫光国微买入评级，目标价位296.0元,证券之星
222,2021-10-27,德邦证券维持紫光国微买入评级：下游需求持续景气，三季报业绩符合预期,每日经济新闻
223,2021-10-27,国海证券：维持紫光国微(002049.SZ)“买入”评级 特种IC业务持续发力,智通财经
224,2021-10-27,市场需求旺盛研发投入力度大 紫光国微前三季延续高增长,产业经济新闻网
225,2021-10-27,146股获券商买入评级，品茗股份目标涨幅达105.53%,Wind
226,2021-10-27,私募最新持仓：高瓴动作频频，2大百亿私募加仓茅台,Wind
227,2021-10-27,国海证券维持紫光国微买入评级：2021Q3 单季度业绩创新高，特种 IC 业务持续发力,每日经济新闻
228,2021-10-27,私募最新持仓出炉！高瓴动作频频，两大百亿私募加仓茅台！冯柳、邓晓峰布局这些股,券商中国
229,2021-10-26,紫光国微三季度报告：净利润14．57亿，同比增长112．90％,Ofweek
230,2021-10-26,国金证券维持紫光国微买入评级：Q3业绩增长106%，特种IC高景气持续,每日经济新闻
231,2021-10-26,A股异动 | 紫光国微(002049.SZ)跌逾4% Q3净利同比增105.87% 高毅资产却大幅减持 减持股份,格隆汇
232,2021-10-26,裘国根、葛卫东、冯柳、邓晓峰、林利军调仓换股曝光,Wind
233,2021-10-26,紫光国微(002049)：三季度业绩高速增长 下游需求旺盛,新浪
234,2021-10-26,国防军工行业周报：电科系上市公司表现亮眼 板块业绩增长确定性高,新浪
235,2021-10-26,私募大佬裘国根、葛卫东继续加仓这只股！冯柳、邓晓峰、林利军、杨东调仓换股曝光！,中国基金报
236,2021-10-26,紫光国微前三季度实现营收37.90亿元 同比增长63.33%,C114通信网
237,2021-10-26,紫光国微(002049)季报点评：下游需求旺盛延续 再次上调盈利预测,广发证券
238,2021-10-26,紫光国微发布 2021 年三季度报告，净利润增长 112.90%,中电网
239,2021-10-26,国盛证券：给予紫光国微买入评级,证券之星
240,2021-10-26,平安证券维持紫光国微推荐评级：业绩高增，特种IC平台优势显著,每日经济新闻
241,2021-10-26,国盛证券维持紫光国微买入评级：2021年前三季度归母净利润同比+112.90%，保持高增长,每日经济新闻
242,2021-10-26,平安证券：给予紫光国微增持评级,证券之星
243,2021-10-26,10月26日三季报汇总：紫光国微、雅化集团等公司公告出现利好,证券之星
244,2021-10-26,【中证盘前】高瓴、张坤退出“眼茅”前十大流通股股东；高毅减持紫光国微；双良节能签144亿元大单,中证报
245,2021-10-25,2021年前三季度净利润增长112.90%，紫光国微超级智慧芯版图全面打开,凤凰网
246,2021-10-25,紫光国微第三季度净利润翻倍 高毅减持1080万股 减持股份,e公司
247,2021-10-25,公告精选：蓝思科技拟3亿至5亿元回购股份；紫光国微第三季度遭高毅减持,e公司
248,2021-10-25,紫光国微公布三季报 前三季净利增加112.9%,新浪
249,2021-10-25,【晚间公告抢先看】双良节能子公司签订144.27亿元硅片采购合同、紫光国微第三季度净利润同比增105.87%,金融界
250,2021-10-25,紫光国微：第三季度净利润同比增106% 高毅减持 减持股份,科创板日报
251,2021-10-25,紫光国微第三季度净利同比增105.87% 高毅资产却在大幅减持 减持股份,第一财经
252,2021-10-25,图解紫光国微三季报：第三季度单季净利润同比增105.87%,证券之星
253,2021-10-25,紫光国微：前三季度净利润14.57亿元 同比增长112.9%,中证网
254,2021-10-25,紫光国微前三季度净利润同比增长112.9%,上证报
255,2021-10-25,紫光国微：第三季度净利润同比增105.87% 高毅减持 减持股份,e公司
256,2021-10-25,紫光国微：第三季度净利润5.8亿元 同比增长106%,财联社
257,2021-10-25,紫光国微：第三季度净利润5.82亿元，同比增长105.87%,Wind
258,2021-10-25,紫光国微：前三季度净利润同比增长112.9%,Wind
259,2021-10-25,电子行业周报：景气度分化 重点看好半导体(设备/汽车/特种)+汽车电子+新硬件龙头,新浪
260,2021-10-25,“缺芯”至暗时刻已过，构建汽车芯片产业生态是大趋势,Wind
261,2021-10-24,中汽中心与紫光国微达成合作，共同推进汽车安全芯片认证,Ofweek
262,2021-10-23,每经10点丨家乐福会员店开业首日遭品牌商“断货”：系竞争对手施压“二选一”；昨日新增本土病例38例；17省市开启新冠疫苗加强针,每日经济新闻
263,2021-10-23,中汽中心软件测评中心与紫光国微达成芯片认证合作,e公司
264,2021-10-23,汽车芯片“黑市”：自供出路何在,Wind
265,2021-10-22,季报行情打响 这三大行业稳增长势头不改,金融投资报
266,2021-10-22,寻找预期差！半导体持续高景气，35家公司净利增100%,Wind
267,2021-10-19,电子行业周报：关注3Q公司业绩预告,新浪
268,2021-10-19,大基金有新动作！二期布局有何玄机？,Wind
269,2021-10-18,紫光集团重组获重要进展：七家意向投资人报名战投，已确权债务规模上千亿,Wind
270,2021-10-18,北向资金净卖出额创近2个月新高，贵州茅台遭大幅抛售逾14亿元,Wind
271,2021-10-18,国防军工行业周报：行业景气度长期向好 短期回调迎来布局机会,新浪
272,2021-10-18,国防军工行业周报：把握业绩确定性高及中下游抬升方向,新浪
273,2021-10-17,电子行业周报：景气度分化 重点看好半导体(设备/汽车/特种)+汽车电子+新硬件龙头,新浪
274,2021-10-15,北向资金恢复交易后首日净买入近27亿，再度大手笔加仓新能源股,Wind
275,2021-10-15,57股获券商买入评级，正邦科技目标涨幅达133.99%,Wind
276,2021-10-14,73股获买入评级 最新:和 而 泰,中财网
277,2021-10-14,紫光国微(002049)下游需求旺盛 Q3业绩保持高速增长,新浪
278,2021-10-14,太平洋维持紫光国微买入评级：下游需求旺盛，Q3业绩保持高速增长，目标价296元,每日经济新闻
279,2021-10-14,朝闻国盛：从需求端看9月缺电原因,新浪
280,2021-10-14,21股获券商买入评级 容百科技目标涨幅达53.99%,Wind
281,2021-10-13,【华西电子孙远峰团队—持续坚定推荐紫光国微】Q3环比继续增长，特种和安全行业持续保持景气,远峰电子
282,2021-10-13,53股获买入评级 最新:博腾股份,中财网
283,2021-10-13,华西证券维持紫光国微买入评级：Q3环比继续增长，特种和安全行业持续保持景气,每日经济新闻
284,2021-10-13,聪明资金大手笔增持低位价值股（名单）,Wind
285,2021-10-13,[公司]两大主业营收高增 紫光国微预计2021年前三季度净利润13.3亿元-15.4亿元,全景网
286,2021-10-13,紫光国微(002049)：前三季度指引积极 特种IC打造高增态势,新浪
287,2021-10-13,国盛证券：维持紫光国微(002049.SZ)“买入”评级 军工产业高景气度 业绩同比大幅增长,智通财经
288,2021-10-13,紫光国微前三季度净利润或翻倍，布局汽车芯片有望打开成长空间,21经济网
289,2021-10-13,信达证券维持紫光国微买入评级：Q3业绩大幅增长，特种芯片龙头再超预期,每日经济新闻
290,2021-10-13,信达证券：给予紫光国微买入评级,证券之星
291,2021-10-13,紫光国微下跌5.44% 前三季净利润增长95.00%-125.00%,证券时报网
292,2021-10-13,每日财报|紫光国微前三季净利大增95% 华测检测净利三季超5亿,搜狐
293,2021-10-13,上市公司正负面新闻2021年10月13日星期三,Wind
294,2021-10-12,需求旺盛订单饱满，紫光国微 Q3 净利最高预增 125%,IT之家
295,2021-10-12,晚间重要公告2021年10月12日星期二,Wind
296,2021-10-12,下游需求旺盛 紫光国微(002049.SZ)预计前三季度归母净利同比增95%至125%,智通财经
297,2021-10-12,紫光国微：前三季度预计净利润同比增长95.0%~125.0%,Wind
298,2021-10-12,紫光国微三季报净利预增125%，智能安全芯片收入快速增长,阿尔法工场
299,2021-10-12,紫光国微最新公告：前三季度净利润同比预增95%-125%,证券之星
300,2021-10-12,紫光国微：前三季度净利润同比预增95%-125%,财联社
301,2021-10-12,紫光国微：预计前三季度净利润同比增长95%-125%,Wind
302,2021-10-11,电子行业周报：三季度全球半导体销售额再创新高,新浪
