,2021-12-31,“申万宏源十大金股组合”：2022年第1期,新浪
33,2021-12-22,申万宏源秦泰：经济需求结构优化的“虎变过程”值得期待,中证网
34,2021-12-22,申万宏源：2022年A股新能源投资快马加鞭 或将呈现“两头高，中间低”走势,证券日报网
35,2021-12-22,申万宏源解读2022资本市场：“双循环”、“双碳”目标及共同富裕三重战略导向下，有望走出一条“大国虎变”之路,21世纪经济报道
36,2021-12-22,申万宏源召开2022投资中国战略年会,中国经济网
37,2021-12-22,申万宏源正式发布“碳中和指数”、“专精特新指数”,中证网
38,2021-12-22,申万宏源：公司结合发展战略制定经营计划,Wind
39,2021-12-22,申万宏源杨玉成：向国际一流投行全面迈进,上证报
40,2021-12-22,申万宏源证券总裁杨玉成：向现代化、专业化、市场化、国际化一流投行全面迈进,中证网
41,2021-12-22,申万宏源证券总裁杨玉成：改革发展新起点上 公司正向一流投行全面迈进,证券日报网
42,2021-12-22,申万宏源证券12月22日发布碳中和、专精特新指数,Wind
43,2021-12-22,徐家汇：申万宏源、德邦证券等3家机构于12月17日调研我司,证券之星
44,2021-12-21,申万宏源：公司成立有四个董事会专门委员会,Wind
45,2021-12-21,申万宏源：公司所属期货子公司稳步推进含权贸易,Wind
46,2021-12-21,申万宏源：公司大力加强私募基金投资能力建设,每日经济新闻
47,2021-12-21,投资的信托产品延期，申万宏源将中粮信托告上法庭要求解除合同 诉讼纠纷,用益信托网
48,2021-12-20,子公司频遭监管点名！营收净利双增的申万宏源还有哪些隐忧？ 其他违规处罚,投资时报
49,2021-12-20,纳思达披露50亿元定增结果，高毅邓晓峰等顶流都出手了,Wind
50,2021-12-18,2021年券商十大新闻盘点,Wind
51,2021-12-18,健麾信息：申万宏源、瀚川投资等5家机构于11月25日调研我司,证券之星
52,2021-12-17,券业2021年度罚单①丨28张罚单揭示经纪业务“花样违规” 23家券商被罚申万宏源“独中三元” 金融监管处罚,21世纪经济报道
53,2021-12-17,申万宏源(06806)为宏源恒利办理综合授信业务签署相关担保合同 大额借贷担保,智通财经
54,2021-12-17,申万宏源(06806.HK)拟为全资子公司宏源恒利提供1亿元担保 大额借贷担保,格隆汇
55,2021-12-16,压力大全靠怼来发泄？光伏、半导体等行业频现卖方分析师互怼,Wind
56,2021-12-16,万丰奥威：申万宏源(新加坡)、台湾群益证券投资信托等2家机构于12月13日调研我司,证券之星
57,2021-12-15,晚间重要公告2021年12月15日星期三,Wind
58,2021-12-15,申万宏源：子公司发行不超500亿元公司债注册申请获通过,中证网
59,2021-12-15,海外信用评级汇总2021年12月15日星期三,Wind
60,2021-12-15,经观谈案 | 投资信托计划出现违约 申万宏源起诉中粮信托缘何败诉 诉讼纠纷,经济观察网
61,2021-12-15,申万宏源(06806)：申万宏源证券发行不超500亿元公司债券获中国证监会注册批复,智通财经
62,2021-12-15,标普：予申万宏源香港“BBB”长期发行人信用评级，展望“稳定”,久期财经
63,2021-12-15,申万宏源：鹏扬基金、西部证券等4家机构于12月9日调研我司,证券之星
64,2021-12-15,开市以来26家公司获调研，知名机构频现身,Wind
65,2021-12-14,正式条款落地囊括“三电”，新能源车步入专属车险时代,第一财经
66,2021-12-14,申万宏源证券认购信托现逾期 起诉信托公司遭败诉 诉讼纠纷,中国经济网
67,2021-12-14,申万宏源认购信托现逾期 起诉信托公司遭败诉 诉讼纠纷,中国经济网
68,2021-12-14,申万宏源引入阿里云数据仓库AnalyticDB 打造数据驱动新引擎,证券日报网
69,2021-12-14,鉴于公司战略规划，华信永道“分手”申万宏源并终止北交所辅导进程,资本邦
70,2021-12-13,金昌股份进北交所上市辅导期：特种纸生产商 今年前三季度净利2796万元,同壁财经
71,2021-12-12,基金投顾监管在路上，招行回应称正进行规范改造,Wind
72,2021-12-11,申万宏源屡踩红线频被罚 总经理杨玉成重上前线做资管,中国经营报
73,2021-12-11,"券商""优等生""再次放榜！公布5次仅新增1家",Wind
74,2021-12-10,基康仪器报送北交所上市申报材料：12月13日起停牌 保荐机构为申万宏源,同壁财经
75,2021-12-10,申万宏源双12丨爆款精品尽在其中，年终大促机不可失！,申万宏源证券
76,2021-12-09,申万宏源(06806)：申万宏源证券完成发行80亿元短期公司债券,智通财经
77,2021-12-09,申万宏源：将于12月30日举行今年第二次临时股东大会,Wind
78,2021-12-09,申万宏源(000166.SZ)：申万宏源证券完成发行80亿元2021年面向专业投资者公开发行短期公司债券(第三期),智通财经
79,2021-12-09,财信证券：适时降准+春季躁动行情催化 券商行情可期,证券时报网
80,2021-12-08,资管违规被罚 浙商证券下跌逾4% 近一个月8家资管被罚,深圳商报
81,2021-12-08,申万宏源再牵手网易数帆打造技术中台，深化证券多元化业务布局,凤凰网
82,2021-12-08,大跌眼镜！这家券商资管遭重罚，被暂停私募备案6个月,Wind
83,2021-12-07,证券行业周报：优化证券公司账户管理 打造以客户为中心体系,新浪
84,2021-12-07,多重利好显现，机构看好券商板块跨年行情,Wind
85,2021-12-06,申万宏源(06806.HK)：申万宏源证券及申万宏源西部申请开展账户管理功能优化试点业务获得中国证监会监管意见书,格隆汇
86,2021-12-06,申万宏源获卖方分析师水晶球奖“本土金牌研究团队”前三,申万宏源研究
87,2021-12-06,申万宏源(06806.HK)：调整董事会专门委员会成员组成,格隆汇
88,2021-12-06,券商收益互换业务新规落地，41家获资质券商竞跑“新赛道”,第一财经
89,2021-12-06,北向资金连续4日净买入累计加仓超150亿，大幅抢筹券商、银行股,Wind
90,2021-12-06,申万宏源(000166.SZ)：申万宏源证券公开发行不超500亿元公司债券获中证监注册批复,格隆汇
91,2021-12-06,申万宏源(000166.SZ)向专业投资者公开发行公司债券获得中国证监会注册批复,智通财经
92,2021-12-06,非银金融行业周报：2021年证券公司财务顾问业务执行能力评价结果解读,新浪
93,2021-12-06,证券：适时降准叠加多项政策利好 看好券商板块行情,新浪
94,2021-12-05,监管出手！又一家大券商被警示 金融监管处罚,中国基金报
95,2021-12-05,3家获批银行基金投顾试点进展缓慢，展业或分两步走,Wind
96,2021-12-04,证券业基本面梳理之一：优化证券公司账户管理功能 打造券商财富管理的主账户,新浪
97,2021-12-04,A股市场领涨全球，监管同意开展账户管理功能优化试点工作,Wind
98,2021-12-04,重磅试点名单出炉！中信、国泰君安等10家券商“拔头筹”,Wind
99,2021-12-03,首批10家“账户管理功能优化试点”券商名单出炉！遵照六大要求，国君、中信、招商、安信等率先回应,财联社
100,2021-12-03,场外期权交易商扩容至45家，新增交易头部集中度下降， 衍生品业务成增厚业绩“利器”,财联社
101,2021-12-03,证监会同意开展证券公司账户管理功能优化试点,Wind
102,2021-12-03,申万宏源：政策边际改善 对港口航运重启关注,财联社
103,2021-12-03,科博达：申万宏源、鹏华基金等5家机构于11月11日调研我司,证券之星
104,2021-12-02,私募资管业务三宗违规，申万宏源证券及时任分管副总朱敏杰收警示函 金融监管处罚,智通财经
105,2021-11-30,基金投顾激战正酣，券商直面挑战百计千谋求破局,Wind
106,2021-11-30,玉马遮阳：申万宏源研究、工银瑞信基金等5家机构于11月24日调研我司,证券之星
107,2021-11-30,基金投顾激战正酣 券商直面挑战百计千谋求破局,证券时报
108,2021-11-29,券商行业周报(2021年第四十四期)：公募基金再迎新产品线 把握创新优势促进业务转型,新浪
109,2021-11-29,2021年Wind“金牌分析师”权威揭榜,Wind
110,2021-11-28,第十三届申万宏源·衍生品论坛成功举办,期货日报网
111,2021-11-28,北交所股票热度飙升，券商研究所正全力覆盖，但研究换佣金模式暂行不通,Wind
112,2021-11-28,说翻倍真的快翻倍了！北交所股票热度飙升，券商研究所正全力覆盖，但研究换佣金模式暂行不通,券商中国
113,2021-11-28,浙江永强：申万宏源、中庚基金等2家机构于11月9日调研我司,证券之星
114,2021-11-28,珠海港：申万宏源、浙商证券等3家机构于11月25日调研我司,证券之星
115,2021-11-27,申万宏源西部证券和田营业部正式运营,中证网
116,2021-11-27,南网能源：申万宏源于11月4日调研我司,证券之星
117,2021-11-26,申万宏源荣获21世纪分析师评选“最具影响力研究机构”前三,申万宏源研究
118,2021-11-26,申万宏源：所属子公司涉及重大仲裁进展 关联方问题,Wind
119,2021-11-26,三夫户外：申万宏源、常瑜资本等15家机构于11月23日调研我司,证券之星
120,2021-11-25,多尔晋泽进入北交所上市辅导期，辅导机构为申万宏源,同壁财经
121,2021-11-25,募资超7000亿！A股迎定增大年，热门赛道引隐忧？,Wind
122,2021-11-25,券商角力北交所“后备军团”：开源证券储备项目居首,Wind
123,2021-11-24,上海莱士：科瑞金鼎所持48.32万股拟被动减持 拟减持股份,Wind
124,2021-11-24,券商角力北交所“后备军团”：开源证券储备项目居首,21世纪经济报道
125,2021-11-24,申万宏源西部证券新疆和田营业部正式运营,上证报
126,2021-11-24,券业总资产首破10万亿！券商前三季大赚1440亿,Wind
127,2021-11-23,一纸研报引发暴涨？中信证券认为这家北交所公司还有84%上涨空间,新浪
128,2021-11-23,申万宏源(06806.HK)：“18申证02”完成本息兑付并摘牌 退市,格隆汇
129,2021-11-23,申万宏源：申万宏源证券有限公司2018年非公开发行公司债券(第一期)(品种二)兑付兑息及摘牌,Wind
130,2021-11-23,“中国版纳斯达克”呼声再起 北交所前景广阔券商迎来新机遇,投资时报
131,2021-11-22,券业总资产突破10万亿，财富管理转型扛起增收大旗,Wind
132,2021-11-20,"高管两年换新率达67%，中山证券资管和固收要打造""小一创""？",Wind
133,2021-11-20,合规总监将提升为副总裁！安信证券高管开始补缺，券业高管变动频繁，需求也旺盛,Wind
134,2021-11-20,浙富控股：申万宏源、敦和投资等9家机构于11月16日调研我司,证券之星
135,2021-11-19,申万宏源(000166.SZ)：“21申证Y3”于11月19日起在深交所上市,智通财经
136,2021-11-19,又有券商申请托管资格！今年基金托管牌照尚待零的突破,Wind
137,2021-11-19,【行情】港股券商股短线拉升，广发证券(01776.HK)涨4.59%，东方证券(03958.HK)涨2.58%，招商证券(06099.HK)、华泰证券(06886.HK)、申万宏源(06806.HK),金十数据
138,2021-11-18,机构扎堆定增“黄金坑”，60家公司收益已翻倍！,Wind
139,2021-11-18,市场表现合理 机构积极布局,中国金融新闻网
140,2021-11-18,北交所开辟增量市场，券商展业迎来新机遇,Wind
141,2021-11-18,沪深上市公司年内定增募资已超7800亿元 申万宏源等众机构积极入场挖掘定增“金矿”|认购,新浪
142,2021-11-17,资本动态 | 顺丰控股200亿定增落地！重阳投资突击进场“扫货”33.6亿，定增报价最高至66.33元／股,财经网
143,2021-11-17,申万宏源：所属子公司申万宏源证券涉及重大诉讼进展 诉讼纠纷,Wind
144,2021-11-17,私募大佬、外资巨头抢购！200亿定增落地，22万股民嗨了,Wind
145,2021-11-16,新华保险董事长徐志斌任职资格获批 曾任申万宏源总经理,中新经纬
146,2021-11-16,证券业2022年度策略 | 坚守财富管理主线，寻找长期主义的践行者,中信建投非银金融研究
147,2021-11-16,申万宏源集团股份有限公司关于申万宏源证券有限公司公开发行2021年永续次级债券（第三期）发行结果的公告,中证报
148,2021-11-15,申万宏源：拟为宏源恒利提供最高1.2亿元债权额担保 大额借贷担保,中证网
149,2021-11-15,北交所券商“保荐实力”首秀！中信建投领跑，安信、申万宏源紧随，多家券商表态将加大北交所布局,财联社
150,2021-11-15,申万宏源(06806)拟为宏源恒利最高债权额1.2亿元提供担保 大额借贷担保,智通财经
151,2021-11-15,申万宏源(06806.HK)完成发行47亿元永续次级债,格隆汇
152,2021-11-15,申万宏源(000166.SZ)：申万宏源证券完成发行47亿元永续次级债券,智通财经
153,2021-11-15,申万宏源：公司涉及质押式证券回购合同纠纷案 诉讼纠纷,Wind
154,2021-11-15,申万宏源：全面构建中小企业服务全产业链,每日经济新闻
155,2021-11-15,北交所来了！券商全面布局，多家开户率超50%,Wind
156,2021-11-15,申万宏源党委副书记、申万宏源证券总经理杨玉成：北交所开市是资本市场新的里程,证券日报
157,2021-11-15,券商厉兵秣马，竞逐北交所发展新赛道,Wind
158,2021-11-15,券商厉兵秣马 竞逐北交所发展新赛道,经济参考报
159,2021-11-15,北交所来了！券商全面布局，多家开户率超50%，首批保荐项目建投安信申万暂时领先,券商中国
160,2021-11-15,加大战略投入 全面构建中小企业服务产业链,中证报
161,2021-11-14,申万宏源：全面构建从“研究+投行+投资+基金+做市+财富管理+衍生品”的中小企业服务全产业链,每日经济新闻
162,2021-11-14,北交所开市倒计时！每经记者兵分多路，全景扫描各家券商备战情况,每日经济新闻
163,2021-11-14,下周操盘攻略：冬季躁动”渐入佳境,Wind
164,2021-11-14,陆家嘴财经早餐2021年11月14日星期日,Wind
165,2021-11-13,一文读懂北京证券交易所81家首批上市公司,Wind
166,2021-11-13,一切正常！北交所开市前最后一次通关测试结束,Wind
167,2021-11-13,北交所或为券商带来超百亿增收，全员备战！,Wind
168,2021-11-13,北交所引爆！豪华团队回归,Wind
169,2021-11-13,券商厉兵秣马备战北交所：全产业链条布局成重点,Wind
170,2021-11-12,74天备战北交所！券商基金竞跑，81家公司、400万投资者尝鲜,经济观察报
171,2021-11-12,"申万宏源(06806.HK)：法院对申万宏源证券诉RAAS CHINA LIMITED、深圳莱士凯吉投资、科瑞天诚投资控股质押式证券回购合同纠纷案做出一审判决
诉讼纠纷",格隆汇
172,2021-11-12,申万宏源接受5家机构调研！短期主力资金净流入，市场资金或早已察觉,每日经济新闻
173,2021-11-12,天诚通信终止精选层辅导：由于辅导计划发生调整 今年上半年净利增59%,同壁财经
174,2021-11-12,北交所开市在即 券商板块大涨！这些机构多维“备战”抢先机,国际金融报
175,2021-11-12,安科瑞：申万宏源、创金合信基金等5家机构于11月10日调研我司,证券之星
176,2021-11-11,申万宏源(06806)：附属申万宏源证券2021年第六期短期融资券兑付完成,智通财经
177,2021-11-11,申万宏源(06806.HK)：申万宏源证券完成兑付40亿元短期融资券(债券通),格隆汇
178,2021-11-11,申万宏源：申万宏源证券有限公司2021年第六期短期融资券（债券通）兑付完成,Wind
179,2021-11-11,申万宏源(000166.SZ)2021年第六期短期融资券(债券通)兑付完成,智通财经
180,2021-11-10,申万宏源：华泰证券、平安资产等10家机构于11月5日调研我司,证券之星
181,2021-11-10,申万宏源：中国国际金融股份有限公司于11月4日调研我司,证券之星
182,2021-11-10,申万宏源：开源证券、泰康基金等7家机构于11月5日调研我司,证券之星
183,2021-11-10,朗特智能：申万宏源通信、申万菱信基金等6家机构于11月4日调研我司,证券之星
184,2021-11-09,【银华基金】交易日报 2021-11-9,新浪
185,2021-11-09,多条线苦练内功，券商布局北交所马不停蹄,Wind
186,2021-11-08,申万宏源：“20申证09”完成本息兑付并摘牌 退市,智通财经
187,2021-11-08,非银金融行业周报：保险中介准入新规落地 北交所上市规则正式发布,光大证券
188,2021-11-08,申万宏源(06806.HK)：“20申证09”拟11月5日付息及摘牌,格隆汇
189,2021-11-08,券商ETF（512000）直线拉升涨超1%，申万宏源：券商全年利润增速继续向上,资本邦
190,2021-11-08,股民跑步入场，券商拼了，狂砸百亿！又一重大历史机遇来了,Wind
191,2021-11-08,【安信非银第33期周报】北交所临近开市，沪惠保赔付压力引关注,新角度新金融
192,2021-11-07,前三季度IPO募资超3700亿创历史新高，中小券商异军突起,Wind
193,2021-11-07,前三季度IPO募资超3700亿创历史新高！Top10券商承销金额占比7成，中小券商异军突起，北交所将成竞争新赛道,每日经济新闻
194,2021-11-05,两周内10只新股破发，破发背后保荐收入却大增，背后保荐机构都有谁？,和讯
195,2021-11-05,北向资金结束连续6日净买入，隆基股份连续3日遭抛售累计净卖出超30亿,Wind
196,2021-11-05,【行情】证券板块异动拉升，中国银河涨近4%，广发证券、锦龙股份、申万宏源跟涨,金十数据
197,2021-11-05,财信证券证券行业2021年11月月度报告：三季报业绩整体稳中向好，北交所开市在即,财信证券研究
198,2021-11-05,东风股份：申万宏源、易方达基金管理有限公司等8家机构于10月31日调研我司,证券之星
199,2021-11-04,申万宏源(06806)：“21申证D2”及“21申证D3”于11月3日在深交所上市,智通财经
200,2021-11-04,申万宏源：2021年面向专业投资者公开发行短期公司债券（第二期）上市,Wind
201,2021-11-04,投行观察第16期：10月券商承销规模同比下降近3成,时代周报
202,2021-11-04,“掘金”北交所攻略出炉,Wind
203,2021-11-03,北交所开市倒计时，券商都在忙什么？交易系统改造是基建，投行、投资、研究全业务链已集结，深挖北交所业务机会,财联社
204,2021-11-03,中泰化学：申万宏源、申万宏源等22家机构于10月29日调研我司,证券之星
205,2021-11-02,申万宏源(06806)拟为宏源恒利提供1亿元担保 大额借贷担保,智通财经
206,2021-11-02,申万宏源(06806)：申万宏源证券完成发行30亿元2021年度第八期短期融资券,智通财经
207,2021-11-02,申万宏源：拟为全资子公司提供1亿元担保,Wind
208,2021-11-02,申万宏源：完成第八期短期融资券发行，实际认购量30亿元,Wind
209,2021-11-02,申万宏源前三季净利增13% 第三季股东增加4.3万人,中国经济网
210,2021-11-02,牛市旗手三季度狂揽近5000亿，却有券商股民亏钱求放过：跌一下也行，别耗着 亏损,证券之星
211,2021-11-02,非银金融行业周报：财富管理核心标的业绩高增长 险企改革成效显现尚待时日,新浪
212,2021-11-02,增速亮眼，多券商资管业务收入超越经纪,Wind
213,2021-11-02,上市券商佣金入账近2000亿，大财富管理贡献显著,Wind
214,2021-11-02,券商资管前三季大赚350亿！中信广发抢占半壁江山,Wind
215,2021-11-01,最牛“黑马”20cm涨停，杠杆资金加仓这些概念股,Wind
216,2021-11-01,北交所开市两类股有望率先受益，对A股“虹吸效应”可忽略不计,澎湃新闻
217,2021-11-01,赚翻了！4家券商净利超百亿，但6成券商投行收入下滑|财星球 盈利能力下降,新浪
218,2021-11-01,解盘：人气回升，新能源、充电桩、网络游戏、苹果领涨,Wind
219,2021-11-01,北交所开市在即，券商股异动，新三板业务能力哪家强？,第一财经
220,2021-11-01,券商板块异动拉升，申万宏源、中国银河、湘财股份涨超5％,金融界
221,2021-11-01,快讯：券商板块异动拉升 中国银河涨超8%,新浪
222,2021-11-01,【行情】券商板块异动拉升，申万宏源、中国银河、湘财股份涨超5%，长城证券、中原证券、第一创业、东兴证券、浙商证券跟涨,金十数据
223,2021-11-01,国盛证券：券商三季度净利润维持增长态势但增速有所放缓 盈利能力下降,证券时报网
224,2021-11-01,超七成同比正增长 头部券商持续甩出差距,证券时报网
225,2021-10-31,【中信建投 非银&金融科技】周报：北交所开业在即，券商业绩持续向好,中信建投非银金融研究
226,2021-10-31,证券21Q3综述：经纪业务高增长净利润增速略有放缓,新浪
227,2021-10-31,新三板策略报告：北交所开市在即 从最新做市商排名看券商未来发展方向,新浪
228,2021-10-31,赚翻了！上市券商业绩排名正式出炉，超七成正增长，这4家券商狂赚过百亿,券商中国
229,2021-10-30,券商代销江湖热战，异军突起各打什么牌？中信中金强在私募销售，广发东方兴业具资产端优势,财联社
230,2021-10-30,券商定增，同业参投交叉持股用意何在,经济观察报
231,2021-10-30,申万宏源公布2021年三季度业绩 保持稳健发展态势,金融界
232,2021-10-30,47家上市券商三季报出齐：4家净利超百亿，上年同期仅1家，中信营收逼近600亿，详看五大业务全排名,财联社
233,2021-10-30,10家券商前三季度营收超200亿元，4家券商净利润超百亿元,Wind
234,2021-10-30,两大榜单展示券商三季度新三板业绩，北交所为中小券商提供“超车”机遇,Wind
235,2021-10-30,两大榜单展示券商三季度新三板业绩 北交所为中小券商 提供“超车”机遇,上证报
236,2021-10-29,申万宏源：前三季度实现净利润28.89亿元，同比增长15.81%,资本邦
237,2021-10-29,申万宏源第三季度净利润同比增长15.81%,上证报
238,2021-10-29,申万宏源(06806)前三季度归母净利同比增长13.48%至74.09亿元,智通财经
239,2021-10-29,申万宏源(06806)：申万宏源证券完成兑付2021 年第五期短期融资券(债券通),智通财经
240,2021-10-29,申万宏源(06806.HK)：陈淳辞任公司联席公司秘书 董监高成员变化,格隆汇
241,2021-10-29,申万宏源：联席公司秘书及公司授权代理人变更,Wind
242,2021-10-29,申万宏源(000166.SZ)：申万宏源证券完成发行30亿元短期融资券,格隆汇
243,2021-10-29,申万宏源公布三季报 前三季净利增加13.48%,新浪
244,2021-10-29,申万宏源：前三季净利74亿元 投行收入及投资收益增幅明显,e公司
245,2021-10-29,申万宏源：前三季度净利润同比增长13.48%,Wind
246,2021-10-29,申万宏源(000166.SZ)：第三季度净利升15.81%至28.89亿元,格隆汇
247,2021-10-29,申万宏源：2021年第三季度营业收入约88.12亿元，同比增长8.88%,每日经济新闻
248,2021-10-29,千亿头部券商高管变动！申万宏源一老将已赴任中金,Wind
249,2021-10-29,千亿头部券商高管变动！银河证券将迎新副总裁，申万宏源另一老将已赴任中金,券商中国
250,2021-10-29,中金公司再任命两高管，原申万宏源老将张克均出任管委会成员，聘任程龙为CIO，科技与财富强兵布阵,财联社
251,2021-10-29,双汇发展：申万宏源、中金公司等11家机构于10月26日调研我司,证券之星
252,2021-10-29,欣贺股份：申万宏源、浙商证券等4家机构于10月22日调研我司,证券之星
253,2021-10-28,精选层撤单密度突然加大，不足俩月10个项目主动撤材料，北交所关键节点企业为何“临阵逃脱”？,财联社
254,2021-10-27,新三板主办券商执业评价排名生变！开源证券蝉联榜首，长江、中信、东吴等排名大幅提升，却有券商逆势下滑,财联社
255,2021-10-27,申万宏源(06806.HK)：申万宏源证券完成兑付50亿元短期融资券,格隆汇
256,2021-10-27,缺人！券商秋招大门敞开，重点需要这几方面人才,Wind
257,2021-10-27,申万宏源(06806.HK)：申万宏源证券完成发行80亿元债券,格隆汇
258,2021-10-27,股转公司发布第三季度主办券商执业质量评价结果,Wind
259,2021-10-27,申万宏源退出东富宝隆投资管理中心50%股份,乐居财经
260,2021-10-27,湖北宜化：申万宏源、申万宏源等33家机构于10月22日调研我司,证券之星
261,2021-10-27,劲嘉股份：申万宏源、申万宏源等54家机构于10月22日调研我司,证券之星
262,2021-10-26,不止华夏基金捧场，银河、中信、申万宏源、光大同加持，东兴证券45亿定增落地，银河与中信列前十股东,财联社
263,2021-10-25,券商集中挖掘创新型中小企业“排头兵”,Wind
264,2021-10-24,张坤逆势加仓3400万股，冯柳坚守2.15亿股,Wind
265,2021-10-23,计算机行业周报：详解智能制造/机械能否穿越PMI周期？,新浪
266,2021-10-22,四天之内处罚三份研报！涉国信、兴业与国元，知情人士：医美研报近期遭重点查处，多维治理制造容貌焦虑 其他违规处罚,财联社
267,2021-10-22,申万宏源(06806.HK)委任张英为非执行董事,格隆汇
268,2021-10-22,科创板新股上市即破发！定价问题出在哪？投行定价再迎一轮拷问,财联社
269,2021-10-22,北向资金一年来首次连续两日加仓超百亿，七天爆买宁德时代近50亿,Wind
270,2021-10-22,中自科技业绩大跌首日破发 募资15亿申万宏源赚0.94亿 盈利能力下降,中国经济网
271,2021-10-21,申万宏源(06806)：每张“19 申宏 04”将于10月25日派息3.94元,智通财经
272,2021-10-21,申万宏源：2019年非公开发行公司债券（第三期）2021年付息公告,Wind
273,2021-10-21,申万宏源(06806.HK)2019年公司债券第三期将于10月25日付息,格隆汇
274,2021-10-21,申万宏源(000166.SZ)：“19申宏04”将于10月25日付息,智通财经
275,2021-10-21,新三板做市商评价结果出炉，三季度减免经手费600余万元,Wind
276,2021-10-21,北交所开市渐近，机构全方位备战,Wind
277,2021-10-20,申万宏源：所属子公司涉及重大诉讼进展,Wind
278,2021-10-20,申万宏源：所属子公司涉及重大诉讼进展 诉讼纠纷,Wind
279,2021-10-20,申万宏源推出复盘系列丛书,申万宏源研究
280,2021-10-20,0.2%！北交所新股获配率创新低，内卷已经到来？,搜狐
281,2021-10-19,申万宏源：2021年度第七期短期融资券发行工作已完成,Wind
282,2021-10-19,申万宏源(06806)：徐宜阳辞任监事会主席和监事职务 董监高成员变化,智通财经
283,2021-10-19,申万宏源(06806.HK)：监事会主席徐宜阳辞任 董监高成员变化,格隆汇
284,2021-10-19,申万宏源(000166.SZ)子公司完成发行2021年度第七期短期融资券,智通财经
285,2021-10-19,申万宏源：监事会主席、监事徐宜阳辞任 董监高成员变化,每日经济新闻
286,2021-10-19,申万宏源：监事会主席辞任 董监高成员变化,Wind
287,2021-10-19,申万宏源(000166.SZ)：徐宜阳辞去监事会主席等职务 董监高成员变化,智通财经
288,2021-10-19,立昂微(605358.SH)披露定增结果：申万宏源、南方基金、UBS AG等参投,格隆汇
289,2021-10-18,业内首家！申万宏源研究所招聘“专精特新”分析师，已深耕新三板十余年,中证报
290,2021-10-18,申万宏源(06806.HK)完成发行20亿元短期融资券,格隆汇
291,2021-10-18,申万宏源(000166.SZ)：申万宏源证券完成发行20亿元短期融资券,格隆汇
