,2021-12-31,农业银行诉宁波银行9.86亿汇票合同纠纷案败诉 诉讼纠纷,券商中国
73,2021-12-10,宁波银行为防疫一线捐赠2000余个保温箱,中国金融新闻网
74,2021-12-10,国信证券：明年银行业基本面将保持稳定 推荐宁波银行(002142.SZ)、常熟银行(601128.SH)等,智通财经
75,2021-12-10,银行业2022年度策略：实业兴邦：银行回归制造业,国信研究
76,2021-12-10,年底补涨行情来了，这个板块连涨7日，明年投资主线是它？,Wind
77,2021-12-09,52股获买入评级 最新:保 龄 宝,中财网
78,2021-12-09,宁波银行业抗疫在行动 宁波银行火速驰援2000保温箱,证券日报网
79,2021-12-09,宁波银行(002142)：看好中长期业绩增长和估值提升,广发证券
80,2021-12-09,解盘：人气持续回升，医美、餐饮旅游、家居、茅指数领涨,Wind
81,2021-12-09,银行板块异动拉升，瑞丰银行触及涨停,Wind
82,2021-12-09,中原银行吸收合并三家银行方案出炉，中小银行兼并重组渐成趋势,Wind
83,2021-12-09,机构可能相中哪只股 哪个赛道被“偏爱”？,新浪
84,2021-12-09,两家公司QDII业务获新进展，11家排队申请资格,Wind
85,2021-12-09,基金密集调研442家A股上市公司 多位百亿元量级经理齐露面,证券日报
86,2021-12-08,明星基金经理这波操作，错过招商银行六连涨,Wind
87,2021-12-08,争分夺秒！宁波银行火速驰援疫情防控,新浪
88,2021-12-08,商业银行行业：商业银行业日报(2021.12.7),新浪
89,2021-12-08,手握数十万亿元，险资巨头正在挖掘这个机会！,Wind
90,2021-12-08,财信证券银行业2021年12月月报：政策边际宽松，估值修复可期,财信证券研究
91,2021-12-08,专精特新“小巨人”获险资关注,Wind
92,2021-12-08,条码互扫推进超预期，支付生态开放提速,Wind
93,2021-12-07,2022年银行年度策略：分化与变革,新浪
94,2021-12-07,银行行业周观点：稳增长预期明确,新浪
95,2021-12-07,银行业：央行全面降准点评：全面降准影响几何？,新浪
96,2021-12-07,狐说商道 | “二代”李寒穷辞任总经理，雅戈尔 “赚钱就是主业”战略继续摇摆 董监高成员变化,搜狐
97,2021-12-06,降准表态、恒大事件点评暨银行1Q22投资策略：适时降准凸显稳增长意图 把握温和修复中的优胜者,新浪
98,2021-12-06,商业银行行业：商业银行业日报,新浪
99,2021-12-06,非银金融行业财富管理周报：券商账户管理功能优化试点开启 推动财富管理业务发展,新浪
100,2021-12-06,ATFX港股：城市商业银行，规模越小发展动力越强,金融界
101,2021-12-06,基金收益跑不过银行定期，易方达付浩选择直接“躺下”？,新浪
102,2021-12-06,百亿基金经理饶晓鹏失意2021，华安聚优精选业绩不佳排名倒数 盈利能力下降,金融界
103,2021-12-06,银行业投资观察：“稳增长”预期明确,新浪
104,2021-12-06,国泰君安晨报,新浪
105,2021-12-06,坚守普惠初心 推动银行实现高质量发展——专访宁波银行行长罗孟波,中国网
106,2021-12-06,每日理财观察：银行保险机构关联交易管理办法有望近期出台,Wind
107,2021-12-06,"券商12月金股出炉！热门金股竟成""反向指标""？",Wind
108,2021-12-05,下周操盘攻略：均衡配置成长与价值,Wind
109,2021-12-05,降准与测算：缓释银行负债成本预计0.5BP,新浪
110,2021-12-04,银行A股将达42只！这家城商行IPO领文，6年上市冲关路进入倒计时，金融科技有亮点,Wind
111,2021-12-04,恒大再爆债务违约风险，专家称属于个别现象 违约失信,Wind
112,2021-12-04,宁波银行大涨近7％，它绝对衬得上这么高的涨幅，看看业绩就知道了,腾讯网
113,2021-12-03,晚间重要公告2021年12月3日星期五,Wind
114,2021-12-03,宁波银行(002142.SZ)：拟发行不超225亿元二级资本债券,格隆汇
115,2021-12-03,宁波银行：获准发行不超300亿元金融债券,财联社
116,2021-12-03,商业银行行业：唇齿相依 不破不立-银行配置房地产贷款的逻辑、风险和转型方向,新浪
117,2021-12-03,金融周报｜银保监会加快建设中国金融人才库；我国养老理财试点正式开启； 中国人寿80.25亿增资广发银行···,财经网
118,2021-12-03,宁波银行:融资余额比上日增3.05%，在两融标的中排515名,资本邦
119,2021-12-03,配股融资持续升温，上市银行积极“补血”,Wind
120,2021-12-03,配股融资持续升温 上市银行积极“补血”,发布易
121,2021-12-02,ATFX港股：银行股短期机会不多，但长线价值较大,金融界
122,2021-12-02,跨年行情如何布局？机构普遍看好这三大赛道,Wind
123,2021-12-02,宁波银行配股发行成功 今日起复牌,证券日报网
124,2021-12-02,【中原银行】银行行业年度策略：淡化宏观扰动，重视“内功”提升,中原证券研究所
125,2021-12-02,A股早报2021年12月2日星期四,Wind
126,2021-12-02,12月银行策略：关注年底估值切换-招证|银行,志明看金融
127,2021-12-02,港股盘前必读：腾讯控股拟向不少于25700位奖励人士授予441万股奖励,Wind
128,2021-12-02,每日财报|宁波银行配股发行成功 禾味央厨价格上调,搜狐
129,2021-12-02,上市银行配股热卷土重来 多重优势助4家银行“补血”,证券日报
130,2021-12-01,公告精选：千味央厨上调部分产品价格；*ST中天将停牌核查股价异动,e公司
131,2021-12-01,宁波银行配股发行成功认购金额118.93亿元，2日起复牌,中华网
132,2021-12-01,晚间重要公告2021年12月1日星期三,Wind
133,2021-12-01,快讯｜宁波银行：配股发行成功 认购金额达118.94亿元,财经网
134,2021-12-01,宁波银行：配股发行成功 12月2日起复牌,e公司
135,2021-12-01,富时罗素：亿纬锂能等三股获纳入富时中国A50指数,Wind
136,2021-12-01,银行业：社融增速与贷款利率回升 政策边际持续改善,新浪
137,2021-11-30,险资11月调研图谱：组团调研“榨菜茅” 看好消费建材龙头 关注VR业务中的“元宇宙”,财联社
138,2021-11-30,中泰证券12 月各行业观点及重点推荐标的,新浪
139,2021-11-30,北斗星通(002151.SZ)：获宁波银行审批1亿元综合授信额度,格隆汇
140,2021-11-30,助力地方经济发展再升级 宁波银行跑出南京南部新城加速度,大众证券报
141,2021-11-30,“茅泸”重回视野！券商12月“金股”来了,Wind
142,2021-11-30,商业银行行业：商业银行业日报,新浪
143,2021-11-30,银行业周观点：11月LPR保持不变,新浪
144,2021-11-30,写在宁波银行配股缴款最后一日：来吧，上车，驶向高质量发展,搜狐
145,2021-11-30,【配股提示】宁波银行配股缴款最后一天，逾期未缴款者视为自动放弃配股认购权,大通证券投教基地
146,2021-11-30,持续高质量发展构筑护城河 宁波银行120亿配股打开增长空间,投资者网
147,2021-11-29,银行行业研究周报：2021Q3货币政策执行报告点评,新浪
148,2021-11-29,宁波银行超百亿“补血”资金到账，今年已有4家银行配股方案顺利落地,资本邦
149,2021-11-29,中小银行积极补充资本更好支持实体经济,新浪
150,2021-11-29,银行理财资金发力权益市场：调研新能源产业链，新关注银行、养殖板块,Wind
151,2021-11-28,宁波银行配股缴款仅剩2天，错过缴款或将有除权损失,挖贝网
152,2021-11-28,银行理财资金调研路线图揭晓，数十家公司股价翻倍,Wind
153,2021-11-28,年底公募基金调研动向大曝光！这些股要火？,Wind
154,2021-11-26,120亿补充资本“弹药” 宁波银行高质量成长前景可期,投资时报
155,2021-11-26,财富管理深度系列一：大财富追光路 星河满目,新浪
156,2021-11-26,宁波银行配股跟不跟？,搜狐
157,2021-11-26,宁波银行三季报：高质量发展贯穿全生命周期,环球老虎财经
158,2021-11-26,高瓴重金押注新能源之王！外资最宠爱银行小白马(名单),Wind
159,2021-11-26,打新红利不在，固收+升级的4大趋势,微信
160,2021-11-26,上线财富开放平台 宁波银行个人银行App 2022版全新亮相,北京商报
161,2021-11-25,银行行业周报：基金代销规模披露 社融筑底按揭回暖,新浪
162,2021-11-25,面向平台融合 宁波银行推出金融“淘宝”,上证报
163,2021-11-25,宁波银行配股进行时，中小银行资本补充加速,第一财经
164,2021-11-25,年底机构纷纷调研释放什么信号？董承非现身2家公司,Wind
165,2021-11-25,董承非新动向！11月现身两家公司调研，与宁泉资产等私募一同前往，真要奔私？,证券时报
166,2021-11-25,权益类ETF规模“突飞猛进” 超百亿元产品近乎花落头部公司,和讯
167,2021-11-25,宁波银行APP改版升级赋能财富管理 业绩持续优异获多家机构青睐,投资者网
168,2021-11-25,FOF基金规模有望超2000亿，98%实现正收益,Wind
169,2021-11-24,标准债券远期实物交割机制正式推出,Wind
170,2021-11-24,银行业2022年投资策略：资产配置为王,e公司
171,2021-11-24,用专业创造价值！宁波银行APP个人银行2022版焕新,投资时报
172,2021-11-24,金融报道｜银行股破净率超八成 又一家上市银行折价配股 年内已有3家银行拟配股募资,财经网
173,2021-11-24,基金公司密集展开年底调研，跨年配置以均衡为主,资本邦
174,2021-11-24,基本面与股价缘何背离？银行股明年怎么走？,Wind
175,2021-11-24,银行行业周观点：增强信贷增长稳定性,新浪
176,2021-11-24,银行行业周报：2021年三季度银行业监管指标点评：净息差边际改善 银行间呈现分化格局,新浪
177,2021-11-24,【信息公告】配股（宁波银行）、可转债赎回（博彦转债、清水转债、东缆转债、精研转债）,大通证券投教基地
178,2021-11-24,11月24日沪深两市最新交易提示,金融界
179,2021-11-24,密集调研精挑细选，基金“备货”有的放矢,Wind
180,2021-11-24,基本面与股价缘何背离？业绩稳步增长，资产质量向好，银行股明年怎么走？,券商中国
181,2021-11-23,宁波银行(002142.SZ)：配股发行成功 明起复牌,格隆汇
182,2021-11-23,个人银行APP焕新上线 宁波银行发力财富管理,GPLP犀牛财经
183,2021-11-23,24股遭北向资金减持超亿元 减持股份,证券时报网
184,2021-11-23,中金固收中资美元债周报：一级新发增加，二级市场继续反弹,Wind
185,2021-11-23,商业银行行业：商业银行业日报,新浪
186,2021-11-23,统统打1折！银行代销基金烽烟起，更有银行推出“0费率”,Wind
187,2021-11-23,银行发力财富管理，基金代销费率战“白热化”,Wind
188,2021-11-22,中小银行年末“补血”忙！普通投资者能获取什么信号？,新浪
189,2021-11-22,20天7银行发声：满足房地产客户合理资金需求,21世纪经济报道
190,2021-11-22,宁波银行“半价”配股 已有四家银行开动新一轮配股“马达”,21世纪经济报道
191,2021-11-22,银行行业：重申银行ETF投资价值,新浪
192,2021-11-22,18股今日获机构买入评级 5股上涨空间超10%,证券时报网
193,2021-11-22,打造大生态格局，宁波银行推出财富开放平台,环球老虎财经
194,2021-11-22,[预告]宁波银行配股发行网上路演周一下午在全景网举办,全景网
195,2021-11-22,上周14家北交所上市公司获机构调研，公募、券商等最积极,资本邦
196,2021-11-22,A股融资融券日报：两融余额减少11.76亿元（11月19日）,Wind
197,2021-11-22,宁波银行个人银行APP上新，首个城商行财富开放平台不简单,搜狐
198,2021-11-22,“顶流”齐出动！机构调研热情高涨,证券时报
199,2021-11-22,超八成银行股破净，机构称四季度或迎来机会,Wind
200,2021-11-21,A股城商行三季报扫描：非息收入大幅提升，“包邮区”业绩全方位碾压,资本邦
201,2021-11-21,下周操盘攻略：波动将明显加剧,Wind
202,2021-11-21,银行行业2021Q3货币政策执行报告点评：宏观政策、银行利差出现积极的变化,新浪
203,2021-11-21,商业银行行业2021年三季度货币政策执行报告点评：贷款利率上行 稳信用力度加大,新浪
204,2021-11-21,陆家嘴财经早餐2021年11月21日星期日,Wind
205,2021-11-20,11月19日23只个股获券商关注，华鲁恒升目标涨幅达41.21%,每经网
206,2021-11-20,"深耕特区十三载，宁波银行绽放金融动能演绎""与宁同行""之歌",奥一网
207,2021-11-20,"中小银行""补血""急！这家银行折价配股，募资不超过120亿，影响多大？",Wind
208,2021-11-20,"中小银行""补血""急！这家银行折价配股，募资不超过120亿，影响多大？",券商中国
209,2021-11-19,时隔不到一周，张坤为何两次现身宁波银行调研会？70多家公募持股，多只银行股成公募“基本仓”,财联社
210,2021-11-19,基金经理调研忙，张坤月内两次调研宁波银行,资本邦
211,2021-11-19,宁波银行(002142)：配股落地打开资产扩张空间,新浪
212,2021-11-19,“全方位感受宁波银行的好”宁波银行APP推出2022版,发现网
213,2021-11-19,天风证券维持宁波银行买入评级：配股落地打开资产扩张空间，目标价49.45元,每日经济新闻
214,2021-11-19,17股获买入评级 最新:捷佳伟创,中财网
215,2021-11-19,银行业2021年三季报综述：行业低速增长 精选中小行,新浪
216,2021-11-19,罕见！张坤月内两次调研宁波银行，董承非和杨东一起出现在这家公司现场,新浪
217,2021-11-19,宁波银行(002142)：配股落地夯实资本 盈利增长动能继续增强,广发证券
218,2021-11-19,2800万元“乌龙指”送银行股上热门！宁波银行配股方案落地，银行ETF（512800）早盘吸金超千万元,资本邦
219,2021-11-19,中小银行“补血”热潮：定增、配股、发债轮番上阵，资本承压仍待破解,21世纪经济报道
220,2021-11-19,中小银行“补血”热潮：定增、配股、发债轮番上阵，资本承压仍待破解,Wind
221,2021-11-19,宁波银行上线城商行首个财富开放平台,中证网
222,2021-11-19,朝闻国盛：向无风险化迈进？,新浪
223,2021-11-19,宁波银行配股方案落地，券商看好配股落地后带来的投资机会,资本邦
224,2021-11-19,国盛证券维持宁波银行买入评级：120亿配股正式落地，高质量成长可持续,每日经济新闻
225,2021-11-19,国盛证券：给予宁波银行买入评级,证券之星
226,2021-11-19,快讯｜宁波银行即将启动配股 配股价格为19.97元/股 募集资金不超过120亿元,财经网
227,2021-11-19,尚无公募重仓的这家公司，最近被杨东、董承非现场调研了,Wind
228,2021-11-19,尚无公募基金重仓的这家上市公司，最近被杨东、董承非携手现场调研了,上证报
229,2021-11-19,800亿股份行惊现乌龙指，2800万打了水漂？银行股近9成破净,Wind
230,2021-11-19,宁波银行即将启动配股 配股价格为19.97元/股,新浪
231,2021-11-19,净值化转型再提速，银行理财轻装上阵启新程,Wind
232,2021-11-19,宁波银行：国信证券、易方达基金等2家机构于11月16日调研我司,证券之星
233,2021-11-19,中小银行资本补充热情升温，更多渠道加速打通,Wind
234,2021-11-19,银行股近9成破净，多家高管出手增持,Wind
235,2021-11-18,分析丨去年底以来4家A股银行启动配股融资，对股价有何影响,澎湃新闻
236,2021-11-18,宁波银行即将启动配股,上证报
237,2021-11-18,宁波银行：个人银行App2022版上线 推出城商行首个财富开放平台,上证报
238,2021-11-18,宁波银行(002142.SZ)配股价为19.97元/股 缴款时间为11月24日至30日,智通财经
239,2021-11-18,宁波银行：积极应对房企债券融资 构筑四大业务护城河,和讯
240,2021-11-18,9万亿明星股份行基层员工收到“救心丸套餐”？往事并不如烟，银行员工有何辛酸秘史,新浪
241,2021-11-18,永赢基金入驻宁波银行财富开放平台，开启财富管理新篇章,新浪
242,2021-11-18,宁波银行个人银行APP2022版全新亮相 上线城商行首个财富开放平台,中国网
243,2021-11-18,解密宁波银行高质量发展的背后：加快构筑四大业务护城河 收入结构持续优化,经济观察网
244,2021-11-18,来了！宁波银行上线首个城商行财富开放平台，探索财富经营新模式…有这些王牌基金战队！,券商中国
245,2021-11-18,宁波银行接受2家机构调研！短期主力资金净流入，市场资金或早已察觉,每日经济新闻
246,2021-11-18,年末密集调研，海外资管巨头盯上A股“便宜货”,Wind
247,2021-11-17,关注！超200家机构扎堆调研这家中小银行,潇湘晨报
248,2021-11-17,商业银行行业：商业银行业日报,新浪
249,2021-11-17,银行股三季度机构持仓大幅下降 招商银行获最多机构持股,大众证券报
250,2021-11-16,公募扎堆调研银行股，有望迎估值修复行情,Wind
251,2021-11-16,11月调研情况：网安赛道风起，机构最爱“榨菜茅”,Wind
252,2021-11-16,拨备释放驱动银行业绩,证券市场周刊
253,2021-11-16,浙江区域股市周报：新增1家上市公司 220家机构调研海亮股份,每日经济新闻
254,2021-11-15,银行业周报：社融触底带动银行股反弹,中投网
255,2021-11-15,超200家机构扎堆调研宁波银行，“公募一哥”张坤、百亿私募都在内，化工行业最受青睐（附名单）,21世纪经济报道
256,2021-11-15,机构接连“踩点”，布局银行股思路曝光,Wind
257,2021-11-12,【银华基金】交易日报 2021-11-12,新浪
258,2021-11-12,“公募一哥”张坤现身宁波银行调研名单，刘彦春、谢治宇、赵诣等持续关注新能源赛道个股,财联社
259,2021-11-12,宁波银行接受181家机构调研！短期主力资金净流出,每日经济新闻
260,2021-11-12,行业深度三季报业绩解读：业绩延续高增 财富管理布局持续增厚盈利空间,新浪
261,2021-11-12,移卡科技和宁波银行签署战略合作协议,凤凰网
262,2021-11-11,银行行业：10月社融增速企稳 信贷新增结构较优,新浪
263,2021-11-11,再破纪录，A50ETF（159601）今日成交高达36.31亿元再创新高,Wind
264,2021-11-11,破净率超8成，“打骨折”的银行股还能翻身吗？,Wind
265,2021-11-11,公募基金代销保有量2021Q3数据点评：头部排名总体稳定 环比增速分化加大,新浪
266,2021-11-11,连续4天成交超30亿元，A50ETF（159601）上涨1.42%,Wind
267,2021-11-11,保利地产涨停，A50ETF（159601）成交超20亿元,Wind
268,2021-11-11,银行股走高 宁波银行涨近5%,上证报
269,2021-11-11,引金融活水，入实业良田——宁波银行上海分行积极推广应收账款融资服务平台,陆家嘴金融网
270,2021-11-11,宁波银行涨超3%！邱冠华深夜发声：房贷政策执行纠偏印证，更加坚定看好银行！,资本邦
271,2021-11-10,【银华基金】交易日报 2021-11-10,新浪
272,2021-11-10,固收优选！成立以来规模增长三十四倍的固收基，它来了！,新浪
273,2021-11-10,近九成银行股“破净”，市场错杀给机会？,证券之星
274,2021-11-10,上周权益基金仓位上升，后续市场仍有结构性机会,资本邦
275,2021-11-10,10家银行不良贷款比率低于1% 宁波银行延续全行业最低,大众证券报
276,2021-11-10,（13）王剑：ROE分解,新浪
277,2021-11-10,商业银行行业：商业银行业日报,新浪
278,2021-11-10,北京长久物流股份有限公司 关于使用部分可转换公司债券闲置 募集资金进行委托理财的实施公告,中证报
279,2021-11-09,人民银行推出碳减排支持工具点评：精准滴灌、精确引导 利好银行降负债成本,新浪
280,2021-11-09,宁波银行(002142.SZ)拟发放优先股股息2.27亿元,格隆汇
281,2021-11-09,A股上市中小银行扫描：利润增速强劲，规模扩张是主因,华夏时报
282,2021-11-09,银行业研究周报：上市城商行三季报点评,新浪
283,2021-11-09,天风问答系列：银行三问三答,新浪
284,2021-11-08,理财子公司密集调研后，这些“明星股”大涨,Wind
285,2021-11-08,多项资产收益权转让落地 银行不良资产包加速出清,北京商报
286,2021-11-08,银行行业周报：社融有望迎来增速拐点 关注银行板块配置价值,新浪
287,2021-11-07,长三角银行继续领跑全国：助力金融一体化，数据共享互通成关键,华夏时报
288,2021-11-07,中小银行积极申请设立理财公司,Wind
289,2021-11-06,宁波银行(002142)点评报告：手续费收入增速回升,新浪
290,2021-11-05,财信证券银行业2021年11月月报：三季报落地，板块上行有动力,财信证券研究
291,2021-11-04,宁波银行：召开“20余杭交通MTN001”、“21余杭交通MTN002”持有人会议,Wind
292,2021-11-04,2021年11月银行业投资策略：继续看好中小银行,新浪
293,2021-11-04,银行股近2年经营成绩变化的量化排名,雪球
294,2021-11-04,渤海证券：继续看好银行板块的投资机会,第一财经
295,2021-11-04,申能股份：下调“21申能股SCP005”申购区间上限,Wind
296,2021-11-04,各家上市银行手机银行APP普遍重视月度活跃用户规模,36氪
297,2021-11-04,商业银行行业：商业银行业日报(2021.11.3),新浪
298,2021-11-03,宁波银行今日大宗交易成交22万股，成交价38.2元折价0.42%,Wind
299,2021-11-03,市界早知道｜广药集团等拟65亿重整康美；恒顺醋业提价,Wind
300,2021-11-03,上市银行最新业绩一览 9家银行拨备超过400%,新浪
301,2021-11-03,公募基金持股市值创新高，社保显著加仓周期股（附表）,Wind
302,2021-11-03,宁波银行现1笔大宗交易 共成交840.40万元,新浪
303,2021-11-03,银行业：区域位置突出的农商行获基金逆势增持,新浪
304,2021-11-03,深耕实体经济，宁波银行走出“小而美”高质量之路,零壹财经
305,2021-11-03,江苏银行净利润增幅居首 近八成银行前三季净利润增逾10%,大众证券报
306,2021-11-03,上市银行不良率普降，部分涉房业务风险暴露,Wind
307,2021-11-03,中小银行三季报显示 净利和营收“双升” 资本补充需求旺盛,金融时报
308,2021-11-03,日禾戎美股份有限公司 关于签署募集资金三方监管协议的公告,中证报
309,2021-11-02,2021年A股上市银行三季报业绩综述：业绩持续高增 优质区域中小行继续领跑,新浪
310,2021-11-02,机构低配银行股有望逆转，资金押注11月“经济小阳春”,第一财经
311,2021-11-02,深度｜上市银行3季报总结: 稳健与分化；息差企稳回升，优质银行持续强【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
312,2021-11-02,大金融走弱，银行板块跌逾3%，券商股持续跳水,Wind
313,2021-11-02,商业银行行业：商业银行业日报,新浪
314,2021-11-01,前三季净利增长26.94%，宁波银行有哪些做法值得借鉴？,每日财报
315,2021-11-01,宁波银行(002142.SZ)将于11月8日派发第二期优先股股息,智通财经
316,2021-11-01,花旗：内银股第三季盈利稳固 首选邮储(1658.HK)及招行(3968.HK),格隆汇
317,2021-11-01,上市银行前三季业绩两极分化，中收扛大旗，房地产风险暴露 盈利能力下降,第一财经
318,2021-11-01,7家A股城商行前三季度净利润增幅超20%，江苏银行领跑,澎湃新闻
319,2021-11-01,定增配股双双来袭！银行业三季报收官，股权融资快马加鞭，发生了什么？两大原因,券商中国
320,2021-11-01,11月均衡配置成券商共识：最看好化工行业 聚焦细分景气方向,中证网
321,2021-11-01,11月均衡配置成券商共识，难言趋势性机会,Wind
322,2021-11-01,瞄准时间窗口，上市银行加快股权融资“补血”,Wind
323,2021-11-01,8家上市城商行前三季 营收净利增速均超10%,第一财经
324,2021-11-01,瞄准时间窗口 上市银行加快股权融资“补血”,全景网
325,2021-10-31,8家上市城商行前三季营收净利增速均超10%，四季度银行股估值有望修复,第一财经
326,2021-10-31,券商11月“金股”来了！“光伏茅”“奶茅”被看好,Wind
