,2021-12-31,罚没720万元，半年负债增29%！粤开证券定增前路如何？ 偿债能力下降,投资时报
26,2021-12-08,净息差有望提升，优质银行股投资机会显现,Wind
27,2021-12-08,条码互扫推进超预期，支付生态开放提速,Wind
28,2021-12-07,中信建投：央行宣布全面降准释放资金约1.2万亿,Wind
29,2021-12-06,商业银行行业：商业银行业日报,新浪
30,2021-12-03,杭州银行(600926.SH)将于12月15日派发优先股股息每股5.2元,智通财经
31,2021-12-02,杭州银行:融资余额比上日增3.53%，目前股票质押共有15笔,资本邦
32,2021-12-01,银行业：社融增速与贷款利率回升 政策边际持续改善,新浪
33,2021-11-30,"杭州银行现1笔大宗交易 共成交6,778.76万元",新浪
34,2021-11-30,杭州银行今日大宗交易成交548万股，成交价12.37元折价10.1%,Wind
35,2021-11-30,商业银行行业：商业银行业日报,新浪
36,2021-11-30,杭州先锋电子技术股份有限公司 关于终止2020年度非公开发行A股 股票事项的公告 再融资异常,证券时报
37,2021-11-26,多只银行ETF获资金持续流入,Wind
38,2021-11-25,银行行业周报：基金代销规模披露 社融筑底按揭回暖,新浪
39,2021-11-25,无锡银行资本充足率承压，股东抛售、高管离职引关注 偿债能力下降,搜狐
40,2021-11-24,杭州银行增持杭银消费金融股份，最新持股约42.95%,资本邦
41,2021-11-24,业绩增速趋缓，杭银消费金融拟发首单10亿元ABS，底层资产瞄准公务员群体，平均利率11.79%,中国经济网
42,2021-11-24,基本面与股价缘何背离？银行股明年怎么走？,Wind
43,2021-11-24,杭州银行所持杭银消费金融股份增至42.95%,乐居财经
44,2021-11-22,晚间重要公告2021年11月22日星期一,Wind
45,2021-11-22,超八成银行股破净，机构称四季度或迎来机会,Wind
46,2021-11-21,A股城商行三季报扫描：非息收入大幅提升，“包邮区”业绩全方位碾压,资本邦
47,2021-11-21,注意！这类银行卡正在被加速清理,Wind
48,2021-11-20,财富管理争抢客源：银行仍居基金代销C位,Wind
49,2021-11-20,"中小银行""补血""急！这家银行折价配股，募资不超过120亿，影响多大？",Wind
50,2021-11-20,上市公司正负面新闻2021年11月20日星期六,Wind
51,2021-11-20,财富管理争抢客源：银行仍居基金代销C位,新浪
52,2021-11-19,中国人寿减持杭州银行0.94%股份，减持计划实施完成 拟减持股份,乐居财经
53,2021-11-19,杭州银行(600926.SH)：中国人寿以集中竞价共减持5589.427万股 减持股份,格隆汇
54,2021-11-19,杭州银行(600926.SH)股东中国人寿完成减持 累计减持5589.43万股 减持股份,智通财经
55,2021-11-19,杭州银行：股东中国人寿累计减持0.94%公司股份，减持实施完毕 减持股份,Wind
56,2021-11-19,800亿股份行惊现乌龙指，2800万打了水漂？银行股近9成破净,Wind
57,2021-11-19,银行股近9成破净，多家高管出手增持,Wind
58,2021-11-18,杭州银行股份有限公司2021年第一期21南浔交投MTN001信用风险缓释凭证创设书更正说明,银行间市场协会
59,2021-11-18,年末密集调研，海外资管巨头盯上A股“便宜货”,Wind
60,2021-11-17,中国短期融资券及中期票据信用分析周报,新浪
61,2021-11-16,【银华基金】交易日报 2021-11-16,新浪
62,2021-11-16,公募扎堆调研银行股，有望迎估值修复行情,Wind
63,2021-11-16,银行2022年投资策略报告：分化的大时代 紧握穿越周期的优秀银行,新浪
64,2021-11-16,你的银行卡还好么？清卡行动升级，单位结算账户也纳入清理范围,时代周报
65,2021-11-16,服务科技文创企业高质量发展,经济日报
66,2021-11-15,【银华基金】交易日报 2021-11-15,新浪
67,2021-11-15,杭州银行外部监事陈显明辞职 现年已70岁 董监高成员变化,中国经济网
68,2021-11-15,杭州银行：杭州银行关于外部监事辞职的公告,新浪
69,2021-11-15,杭州银行：陈显明外部监事因个人原因决定辞去公司第七届监事会外部监事、第七届监事会提名委员会主任委员职务 董监高成员变化,每日经济新闻
70,2021-11-15,杭州银行(600926.SH)：陈显明申请辞任外部监事等职务 董监高成员变化,智通财经
71,2021-11-15,杭州银行：外部监事陈显明辞职 董监高成员变化,Wind
72,2021-11-15,十月以来600多家机构调研银行股，9家银行备受青睐,资本邦
73,2021-11-15,机构接连“踩点”，布局银行股思路曝光,Wind
74,2021-11-14,半月3家逾千亿，系统重要性银行密集发行二级资本债,Wind
75,2021-11-13,浙江捷昌线性驱动科技股份有限公司 关于使用2020年度非公开发行股票 闲置募集资金进行现金管理 到期赎回的公告,证券时报
76,2021-11-12,又来踩点了！600多家机构调研银行股，谁是“最爱的仔”？,中证报
77,2021-11-12,行业深度三季报业绩解读：业绩延续高增 财富管理布局持续增厚盈利空间,新浪
78,2021-11-11,破净率超8成，“打骨折”的银行股还能翻身吗？,Wind
79,2021-11-11,非银金融行业2021Q3销售机构公募基金保有数据点评：独立三方市占率进一步提升 机构业务扩容加快,新浪
80,2021-11-11,野风药业“富二代”实控人曾折戟互金，控股股东持股杭州银行,中访网
81,2021-11-11,杭州银行(600926)：下个五年 更高阶的转型升级之路,新浪
82,2021-11-10,10家银行不良贷款比率低于1% 宁波银行延续全行业最低,大众证券报
83,2021-11-10,商业银行行业：商业银行业日报,新浪
84,2021-11-09,大比例超配地产股埋下祸端，景顺长城韩文强年内业绩全面失守,金融界
85,2021-11-09,银行业研究周报：上市城商行三季报点评,新浪
86,2021-11-09,天风问答系列：银行三问三答,新浪
87,2021-11-09,险资去哪儿了？复苏行业有机会,Wind
88,2021-11-09,国泰中证新材料主题交易型开放式指数证券投资基金基金份额发售公告,中证报
89,2021-11-08,杭州银行：公司当前未发现存在涉及阳光城集团的授信和贷款业务,Wind
90,2021-11-08,银行行业周报：社融有望迎来增速拐点 关注银行板块配置价值,新浪
91,2021-11-07,长三角银行继续领跑全国：助力金融一体化，数据共享互通成关键,华夏时报
92,2021-11-06,粤开证券IPO或将启航 历史遗留问题待解,中国经营网
93,2021-11-06,净值化加速，银行理财聚焦新兴业务,Wind
94,2021-11-05,杭州银行(600926.SH)：太平洋人寿以集中竞价累计减持1206.5446万股 减持股份,格隆汇
95,2021-11-05,"中国人寿“适时兑现收益”:减持工行H股套现3.3亿港元,三季度退出茅台前十股东 减持股份",搜狐
96,2021-11-05,杭州银行股东太平洋人寿累计减持1206.54万股 减持股份,新浪
97,2021-11-05,杭州银行：太平洋人寿减持0.2%公司股份 减持股份,Wind
98,2021-11-04,【银华基金】交易日报 2021-11-4,新浪
99,2021-11-04,银行股近2年经营成绩变化的量化排名,雪球
100,2021-11-03,上市银行最新业绩一览 9家银行拨备超过400%,新浪
101,2021-11-03,企业观｜杭州银行三季报：营收、净利超两位数增长 拨备覆盖率创新高破550%,财经网
102,2021-11-01,杭州银行北京朝阳文创支行开业 以科技文创金融为发展方向,北京商报
103,2021-11-01,杭州银行今日大宗交易成交116.32万股，成交价12.85元折价13.18%,Wind
104,2021-11-01,"杭州银行现1笔大宗交易 共成交1,494.71万元",新浪
105,2021-11-01,上市银行前三季业绩两极分化，中收扛大旗，房地产风险暴露 盈利能力下降,第一财经
106,2021-11-01,大比例超配地产股埋下祸端，景顺长城韩文强年内业绩全面失守,和讯
107,2021-11-01,7家A股城商行前三季度净利润增幅超20%，江苏银行领跑,澎湃新闻
108,2021-11-01,瞄准时间窗口，上市银行加快股权融资“补血”,Wind
109,2021-11-01,8家上市城商行前三季 营收净利增速均超10%,第一财经
110,2021-10-31,8家上市城商行前三季营收净利增速均超10%，四季度银行股估值有望修复,第一财经
111,2021-10-31,主力究竟爱谁？这些个股筹码正在快速集中,Wind
112,2021-10-30,【三季报观察】江浙沪城商行表现亮眼 优质银行获基金加仓,经济观察报
113,2021-10-29,“聪明钱”单月狂买近60亿！万亿“宁王”彻底火了,Wind
114,2021-10-29,多家上市银行前三季度业绩高增长，银粉的“春天”何时来,时代周报
115,2021-10-29,业绩持续低迷：紫金银行增长乏力？ 盈利能力下降,腾讯网
116,2021-10-28,银行21Q3金融板块持仓：银行保险均减配、“财富管理”类券商获得增配,新浪
117,2021-10-28,银行行业点评2021Q3公募基金持仓数据点评：银行公募持仓占比回落 政策边际改善利好基本面平稳和估值修复,新浪
118,2021-10-28,商业银行行业：仓位继续降低 绩优中小行获逆势增持,新浪
119,2021-10-28,银行行业：景气度预期有望改善 关注板块配置机会,广发证券
120,2021-10-27,上市五周年：杭州银行坚定战略转型 走高质量发展之路,每日经济新闻
121,2021-10-27,【银华基金】交易日报 2021-10-27,新浪
122,2021-10-27,【行情】银行板块持续走弱，常熟银行跌超4%，瑞丰银行、长沙银行、杭州银行跟跌,金十数据
123,2021-10-27,加仓PK减持 机构激辩银行股后市走势 减持股份,大众证券报
124,2021-10-27,险资持仓盘点：茅台不香了？国寿减持跌出前十大股东！银行、地产成减持重点 减持股份,新浪
125,2021-10-26,险资三季报持仓线路曝光：进入85家公司前十大流通股股东,Wind
126,2021-10-26,险资三季报持仓线路曝光：进入85家公司前十大流通股股东 合计持仓市值达3308.5亿,21世纪经济报道
127,2021-10-26,银行周报：三季报超预期 看好银行估值修复,新浪
128,2021-10-26,转型方向逐渐明晰，银行理财瞄准新蓝海,Wind
129,2021-10-26,银行行业周报：三季报业绩亮眼 估值修复行情有望持续,新浪
130,2021-10-25,华创固收可转债周报：银行转债小幅慢涨，新能源个券反弹,Wind
131,2021-10-25,金融行业周报：关注金融板块三季报超预期行情,新浪
132,2021-10-25,成绩优异！4家上市银行披露三季报，3家净利同比增速超20%，券商看好季报行情,中证报
133,2021-10-25,4家A股上市银行首秀三季报 净息差仍承压,北京商报
134,2021-10-25,基本面呈向好态势 银行股四季度表现可期,中证报
135,2021-10-24,银行行业周报：龙头银行业绩优异 催化行情,新浪
136,2021-10-23,明星基金经理加仓的平安银行、杭州银行等，实际没那么香？,AI财经社
137,2021-10-22,下周783亿市值限售股解禁，长城证券解禁市值近160亿元 解禁,Wind
138,2021-10-22,“近30%涨幅可以了”，招行披露三季报，北向资金连续4季度加仓5亿股，股民：下周起飞,证券之星
139,2021-10-22,杭州银行(600926)：业绩靓丽 资产质量优异,新浪
140,2021-10-22,杭州银行股东中国人寿累计减持3257.42万股 减持数量已过半 减持股份,新浪
141,2021-10-22,快讯｜杭州银行：中国人寿已减持约3257万股 减持股份,财经网
142,2021-10-22,资管新规倒计时 银行加速迁移理财产品,北京商报
143,2021-10-22,杭州银行(600926.SH)：减持数过半 中国人寿已累计减持3257.417万股 减持股份,格隆汇
144,2021-10-22,杭州银行：股东中国人寿减持约3257万股 减持股份,每日经济新闻
145,2021-10-22,杭州银行：中国人寿累计减持公司0.55%股份，减持数量过半 减持股份,Wind
146,2021-10-22,深度*公司*杭州银行(600926)：业绩持续向好 拨备覆盖率领先,新浪
147,2021-10-22,【银行】杭州银行—业绩持续向好，拨备覆盖率领先,中银证券研究
148,2021-10-22,天风证券维持杭州银行买入评级：Q3再创佳绩，增长有望延续，目标价19.71元,每日经济新闻
149,2021-10-22,每日理财观察：证监会正评估完善试点注册制各项安排,Wind
150,2021-10-22,大金融强势崛起，“公募一哥”张坤三季度大举增持平安银行,资本邦
151,2021-10-22,天风Morning Call·晨会集萃·20211022,天风研究
152,2021-10-22,平安银行前三季度净利增30%领跑同业 不良率降至1.05%张坤大幅加仓持股1.35%,长江商报
153,2021-10-22,周期反复活跃，北上单日流入超百亿，聪明钱买了什么？,Wind
154,2021-10-22,市场人士称部分资产注入概念股股价或将面临短期剧烈波动,Wind
155,2021-10-22,险资三季度首批重仓股曝光 险资三季度减持银行地产股加仓新能源与“专精特新” 减持股份,证券日报
156,2021-10-22,献礼上市五周年 杭州银行再交优质成绩单,每日经济新闻
157,2021-10-21,这3家银行净利润增幅超过20%！,金融时报
158,2021-10-21,杭州银行(600926)：Q3再创佳绩 增长有望延续,新浪
159,2021-10-21,杭州银行股份有限公司2021年第二期21宁国建投SCP004信用风险缓释凭证流通要素公告,上清所
160,2021-10-21,杭州银行1903.72万股限售股于10月27日上市流通 解禁,新浪
161,2021-10-21,31股今日获机构买入评级,证券时报网
162,2021-10-21,杭州银行：1903.72万股限售股将解禁 解禁,财联社
163,2021-10-21,杭州银行(600926.SH)：1903.7173万股限售股将解禁 解禁,格隆汇
164,2021-10-21,杭州银行：1903万股限售股10月27日上市流通 解禁,Wind
165,2021-10-21,银行板块大幅走高，首批三季报显头彩，机构：关注核心资产及低估值指标,财联社
166,2021-10-21,天风证券：给予杭州银行买入评级，目标价位19.71元,证券之星
167,2021-10-21,“坤坤”们出手，大金融崛起！李佳琦薇娅一天卖货200亿,Wind
168,2021-10-21,突然大涨！万亿龙头盘中暴拉6%，最惨板块迎来反转？业绩亮眼，12倍牛股却闪崩跌停！一键打包中国优质资产，A50ETF重磅首发!,雪球
169,2021-10-21,仅剩两月余！资管新规过渡期进入倒数，理财整改还有哪些未了事？,北京商报
170,2021-10-21,外资单日净买入超百亿！大金融走强，“聪明钱”正加仓A股核心资产,Wind
171,2021-10-21,A股收盘综述：煤炭板块回弹无惧动力煤期货再跌停，资金回流保险、银行板块,Wind
172,2021-10-21,杭州银行(600926)：营收利润双高 资产质量改善,新浪
173,2021-10-21,银行板块走势强劲，常熟银行一度涨停，平安银行等涨超3%,证券时报网
174,2021-10-21,杭州银行三季度净利超20亿元同比增长34.47%，拨备覆盖率创新高,中华网
175,2021-10-21,大金融强势崛起，万亿保险龙头大涨6%！沪指重返3600点,Wind
176,2021-10-21,中泰证券：给予杭州银行增持评级,证券之星
177,2021-10-21,浙商证券维持杭州银行买入评级，杭州银行2021年三季报点评：盈利超预期，不良仍双降，目标价19.89元,每日经济新闻
178,2021-10-21,浙商证券：给予杭州银行买入评级，目标价位19.89元,证券之星
179,2021-10-21,行业观 | 上市银行三季报序幕开启 三家银行净利润同比增超两位数,财经网
180,2021-10-21,解盘：百亿资金流入，煤炭、磷化工、纯碱、稀土领涨,Wind
181,2021-10-21,银行股进一步拉升 常熟银行逼近涨停,格隆汇
182,2021-10-21,中国平安、杭州银行涨超4%，金融ETF（510230）涨超2%,资本邦
183,2021-10-21,银行股好学生准时交作业！私行业务爆发，非息收入增速超5成，三家银行各有看头,资本邦
184,2021-10-21,银行景气持续验证！平安银行三季度净利环比增长55%，张坤大举增持1.08亿股,资本邦
185,2021-10-21,上市银行首批三季报“开门红” 银行板块集体飙涨,第一财经
186,2021-10-21,华西证券维持杭州银行买入评级：Q3存款改善、业绩表现靓丽，拨覆率超550%,每日经济新闻
187,2021-10-21,银行股走强，常熟银行(601128.SH)涨7%,证券之星
188,2021-10-21,【行情】银行股开盘拉升，杭州银行、常熟银行、成都银行、平安银行、宁波银行等涨幅居前,金十数据
189,2021-10-21,A股异动丨杭州银行(600926.SH)高开近4% 第三季度净利润同比增长34.47%,格隆汇
190,2021-10-21,杭州银行3Q21点评：业绩靓丽，拨备水平持续提高,志明看金融
191,2021-10-21,营收净利双位数增长！2家银行率先披露三季报，成绩亮眼,Wind
192,2021-10-21,每日财报|中国海外发展前三季净利增长27.7% 杭州银行Q3净利大增34.47%,每日财报
193,2021-10-21,业绩抢眼！平安银行单季净利增逾三成，杭州银行拨备覆盖率超550%,上证报
194,2021-10-21,每日财报|中国海外发展前三季净利增27.7% 杭州银行Q3净利增34.4%,每日财报
195,2021-10-21,上市银行首批三季报“开门红”第三季度净利增幅均超20%,证券日报
196,2021-10-21,营收净利双位数增长！这一指标也创下近年新低，2家银行率先披露三季报，成绩亮眼！,券商中国
197,2021-10-20,【中信建投金融】杭州银行三季报点评：业绩提速不良持续下降，优势突出维持高速增长,大金融研究
198,2021-10-20,杭州银行公布三季报 前三季净利增加26.16%,新浪
199,2021-10-20,杭州银行：截至9月底符合“资管新规”要求的净值型理财产品比例达96.68%,北京商报
200,2021-10-20,杭州银行前三季度净利润增长26% 拨备覆盖率调高至559%,和讯
201,2021-10-20,晚间重要公告2021年10月20日星期三,Wind
202,2021-10-20,杭州银行三季度净利增逾34%，净值型理财产品比例超96%,澎湃新闻
203,2021-10-20,首份上市城商行三季报亮眼！杭州银行保持营收净利双位数增长,证券时报
204,2021-10-20,杭州银行：截至9月末符合“资管新规”要求的净值型理财产品比例达96.68%,北京商报
205,2021-10-20,杭州银行：第三季度营收同比增长29.36%至75.01亿元,乐居财经
206,2021-10-20,快讯｜杭州银行：前三季度净利润70.36亿元 同比增26.16%,财经网
207,2021-10-20,一图读懂杭州银行2021年三季报，第三季度单季净利润同比增34.47%,证券之星
208,2021-10-20,杭州银行(600926.SH)董事周建华任职资格获浙江银保监局核准,智通财经
209,2021-10-20,杭州银行(600926.SH)前三季度归母净利同比增长26.16%至70.36亿元,智通财经
210,2021-10-20,杭州银行：前三季度净利同比增长26.16%,财联社
211,2021-10-20,杭州银行：第三季度净利20.29亿元，同比增长34.47%,Wind
212,2021-10-20,“货币金融圆桌会议•2021秋”在贵阳举行，专家热议“数字金融与商业银行管理”,Wind
213,2021-10-19,银行三季报本周开始披露，多路资金提前抢筹,Wind
214,2021-10-18,财信证券银行业2021年10月月报：基本面向好，四季度行情可期,财信证券研究
215,2021-10-18,三季报倒计时，机构“大赏”银行板块配置价值,Wind
216,2021-10-17,银行行业周报：社融回升可期 D-SIBS名单发布,新浪
217,2021-10-17,银行行业研究周报：系统重要性银行名单出炉 看好银行三季报表现,新浪
218,2021-10-17,银行行业点评：系统重要性银行名单出炉 资本监管靴子落地,新浪
219,2021-10-15,银行业三季报前瞻：基本面继续改善 延续高增长,新浪
220,2021-10-15,近一月358家上市公司被公募调研，迈瑞医疗备受基金公司关注,资本邦
221,2021-10-15,基金公司调研忙！这家公司最受关注 有何特别之处？,国际金融报
222,2021-10-15,A股融资融券日报：两融余额增加24.67亿元（10月14日）,Wind
223,2021-10-14,A股收盘综述：光伏、工业母机、储能板块飙升，沪锌涨停刺激有色ETF创新高,Wind
224,2021-10-13,中科希望：拟向杭州银行申请授信额度不超过3500万元,同壁财经
225,2021-10-13,上市银行“涉房”贷款盘点：占比普遍下降，仍有14家踩线,面包财经
226,2021-10-12,杭州银行：公司当前未发现存在涉及恒大集团的授信或其他相关业务,每日经济新闻
227,2021-10-12,“魔幻”的银行板块：主要股东翻倍退场，顶流基金经理逆势加仓,21世纪经济报道
228,2021-10-12,知名基金经理加仓招商银行 机构认为银行布局正当时,投资快报
229,2021-10-12,148家公司获机构调研（附名单）,证券之星
230,2021-10-12,刚解禁就准备套现！这家银行将遭股东抛售，入股6年浮盈超10亿…年内多家银行被减持 解禁,券商中国
231,2021-10-11,虎视传媒(01163)附属订立认购1650万杭州银行理财产品协议,智通财经
232,2021-10-11,虎视传媒：虎视科技认购1650万理财产品,Wind
233,2021-10-11,杭州银行、招商银行、中国人寿涨超4%，金融ETF（510230）涨超1.5%,资本邦
234,2021-10-11,【行情】银行股开盘走强，平安银行拉升涨超5%，杭州银行、招商银行、兴业银行、宁波银行等集体涨超3%,金十数据
235,2021-10-11,决战四季度，明星基金经理新打法浮出水面,Wind
236,2021-10-10,决战四季度！明星基金经理或已调仓，张坤等杀入这个方向,Wind
237,2021-10-09,杭州银行股份有限公司21蚌埠高新SCP002信用风险缓释凭证预配售情况公告(更正),银行间市场协会
238,2021-10-08,银行行业点评：征信业务管理办法出台 助贷业务面临洗牌,新浪
239,2021-09-30,策略跟踪：海外风险传递叠加节前避险需求 市场整体回落,新浪
240,2021-09-30,A股收盘综述：两市万亿成交额记录终止，锂电激活题材炒作、煤钢电卷土重来,Wind
241,2021-09-30,周期股节后能否再起？机构观点出现分歧,Wind
242,2021-09-30,A股避险情绪浓厚，周期股集体重挫，持股还是持币过节？,Wind
243,2021-09-30,杭州鸿泉物联网技术股份有限公司 2021年第三季度报告,证券日报
244,2021-09-29,A股近4000只下跌，牛股跌20%！周期股满屏跌停,Wind
245,2021-09-29,银行股持续拉升，上证指数趁势收窄跌幅,Wind
246,2021-09-28,二十五载创新追梦 杭州银行谱写时代芳华,每日经济新闻
247,2021-09-28,科技创新驱动高质量发展 杭州银行运用金融科技提升金融服务质效,环球老虎财经
248,2021-09-28,A股收盘综述：气、电、煤、油四大热点主导炒作，地产金融同步复苏,Wind
249,2021-09-28,银行板块异动 杭州银行涨超4%,中国证券网
250,2021-09-28,A股午盘综述：地产、金融、电、煤助力两市缩量企稳，万科A涨超9%,Wind
251,2021-09-28,商业银行行业：商业银行业日报,新浪
252,2021-09-27,连续9个月未曾举牌！险资迎最长“熄火期”，近期减持该板块 减持股份,环球老虎财经
253,2021-09-27,杭州银行(600926.SH)：“杭银转债”将于10月8日起开始转股,格隆汇
254,2021-09-27,银行行业研究周报：上市银行房地产贷款梳理,新浪
255,2021-09-26,金融行业周报：估值仍处于低位 看好券商长期配置价值,新浪
256,2021-09-26,上市城商行分化加剧：三分之一营收两位数增速、三分之一营收同比下滑,Wind
257,2021-09-25,北京IP与杭州银行开展“智融宝”产品合作,中国金融新闻网
258,2021-09-25,科技中小微凭知识产权可申请最高4000万融资,北京日报
259,2021-09-24,杭州银行参加中关村论坛并与北京IP签约 ——“智融宝”为企业知识产权融资赋能,北京商报
260,2021-09-24,杭银消费金融外资股东撤出 杭州银行持股增至42.95%,华夏时报
261,2021-09-24,银行业专题：房地产风险对银行的冲击几何？,新浪
262,2021-09-23,银行业月报：8月社融增速继续回落 实体融资需求偏弱,渤海证券
263,2021-09-23,房地产贷款风险来袭，多家银行撇清与恒大关联,Wind
264,2021-09-23,银行股是否反应过度了？多家撇清与恒大关联,Wind
265,2021-09-21,银行行业周报：债券“南向通”在即 OMO平稳操作,新浪
266,2021-09-17,银行行业深度报告：房地产不良突增 会冲击资产质量吗？,新浪
267,2021-09-16,杭州银行：公司当前未发现存在涉及恒大集团的授信或其他相关业务,每日经济新闻
268,2021-09-16,杭州银行(600926)：ROE稳步提升 新五年渐入佳境,广发证券
269,2021-09-15,重磅！债券“南向通”将于9月24日上线,Wind
270,2021-09-13,银行业：银行指数继续回升 银行间利率上行,华安证券
271,2021-09-13,银行行业周报：8月金融数据仍较弱 理财流动性风险监管强化,新浪
272,2021-09-13,商业银行行业：商业银行业日报,新浪
273,2021-09-11,银行业1H2021报告综述：信用风险预期改善 净利润释放加速,新浪
274,2021-09-10,8月金融数据点评：8月金融数据怎么看？,新浪
275,2021-09-10,杭州银行：中国人寿减持300万股，占总股本0.05% 减持股份,乐居财经
276,2021-09-10,中国人寿减持300万股杭州银行股份 减持股份,上证报
277,2021-09-10,杭州银行(600926.SH)股东中国人寿持股比例降至4.75%,智通财经
278,2021-09-10,杭银消费金融股权再生变：外资股东退出，大股东杭州银行持股增至近43% 控制人变化,和讯
279,2021-09-10,杭州银行所持杭银消金1.5亿股股权获批转让,银保监会
280,2021-09-10,杭州银行(600926)：盈利提升 不良双降,新浪
281,2021-09-09,房地产贷款增速创8年新低，经营贷违规流入楼市排查基本完成,Wind
282,2021-09-08,中国短期融资券及中期票据信用分析周报,新浪
283,2021-09-08,中金固收中资美元债周报：地产高收益主体遭降级,Wind
284,2021-09-08,半年报显示业绩增长强劲，城商行转型发展有喜有忧,Wind
285,2021-09-07,银行股尾盘锦上添花，杭州银行涨近5%,Wind
286,2021-09-07,帮扶中小微融资 同盾&杭州银行监管沙盒项目正式提供服务,中新经纬
287,2021-09-07,11家上市银行按揭贷款“踩红线”，涉房贷款继续“瘦身”,Wind
288,2021-09-06,多家银行涉房贷款仍踩红线,Wind
289,2021-09-05,沸腾了！240万银行人涨工资了，加薪最猛竟是TA,Wind
290,2021-09-03,杭州银行(600926)半年报点评：业绩高增有望持续 打造零售小微增长极,新浪
291,2021-09-02,企业观｜杭州银行：营收、净利润双增背后 拨备覆盖率高达530%,财经网
292,2021-09-02,天风证券：维持杭州银行(600926.SH)“买入”评级 目标价19.06元,智通财经
293,2021-09-02,天风证券维持杭州银行买入评级：业绩高增有望持续，打造零售小微增长极，目标价19.06元,每日经济新闻
294,2021-09-01,山西证券给予杭州银行增持评级：深耕区域成长性突出，拨备较高资产质量向好,每日经济新闻
295,2021-09-01,银行板块受中期业绩提振，杭州银行涨幅达8.36%,21世纪经济报道
296,2021-09-01,数智赋能未来 杭州银行创新推动数字化转型,中新网
297,2021-09-01,杭州银行涨超7% 领涨银行股,格隆汇
298,2021-09-01,银行股午前再度发力，杭州银行大涨6%,Wind
299,2021-09-01,【银行】杭州银行—业绩表现靓丽，资产质量优异,中银证券研究
300,2021-09-01,转型成效凸显，银行理财公司发展料多点开花,Wind
301,2021-08-31,杭州银行(600926)：业绩增长23.1% 新五年规划渐入佳境,广发证券
302,2021-08-31,金融板块午后拉涨、上证指数收窄跌幅，北向资金净买入超10亿元,Wind
303,2021-08-31,【行情】银行板块午后拉升，杭州银行涨超4%，南京银行、宁波银行、邮储银行跟涨,金十数据
304,2021-08-31,杭州银行(600926)：发挥区位优势、高成长可持续；高拨备下的优异资产质量,新浪
305,2021-08-31,详解杭州银行2021年半年报：发挥区位优势、高成长可持续；高拨备下的优异资产质量【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
306,2021-08-30,【中信建投金融】杭州银行1H21点评：优质区域城商行，高成长性突出，资产质量优异,大金融研究
307,2021-08-30,杭州银行披露2021半年报：经营业绩持续向好 战略规划开局良好,每日经济新闻
308,2021-08-30,杭州银行：上半年净利润同比增长23.07%,Wind
309,2021-08-30,杭州银行半年报：金融创新助力实体经济高质量发展,中国经济网
310,2021-08-30,杭州银行公布半年报 上半年净利增加23.07%,新浪
311,2021-08-30,杭州银行2021年半年报：专业化驱动增长 数字化赋能转型,中国金融新闻网
312,2021-08-30,杭州银行：上半年实现归母净利润50.07亿元 同比增长23.07%,中证网
