,2021-12-31,制药行业火热收官，中药板块领涨，龙头片仔癀遇冷「制药行业周榜」,华夏时报
24,2021-12-29,片仔癀龙虎榜数据（12月29日）,Wind
25,2021-12-29,“药茅”跌停，一日蒸发287亿，白马大变天？,凤凰网
26,2021-12-29,“神药”片仔癀罕见跌停：提价预期落空、市场反应过度,第一财经
27,2021-12-29,沪指失守3600，宁王茅王相遇杀跌区，年末行情何去何从？,证券之星
28,2021-12-29,数据复盘｜主力资金撤离食品饮料、银行等行业 龙虎榜机构净卖出片仔癀等,证券时报网
29,2021-12-29,机构今日买入这8股，抛售片仔癀4.01亿元丨龙虎榜,第一财经
30,2021-12-29,龙虎榜丨机构今日买入这8股，抛售片仔癀4.01亿元,第一财经
31,2021-12-29,跌停板解密：市场情绪冰点已过，两市仅6只个股跌停！（12月29日）,Wind
32,2021-12-29,片仔癀跌停 西部证券高位喊买入,中国经济网
33,2021-12-29,大跌原因找到了！利空突袭，茅台蒸发千亿，“药茅”跌停带崩板块，说好的跨年行情呢？,中证报
34,2021-12-29,瞬间炸锅！11万股东“中招”，2500亿超级大牛股闪崩跌停，市值一天蒸发280亿，到底发生了什么？,每日经济新闻
35,2021-12-29,3大利空传闻突袭！茅台跌去近千亿，跨年行情还在？,Wind
36,2021-12-29,中药大白马片仔癀放量跌停，机构资金博弈激励,第一财经
37,2021-12-29,片仔癀放量跌停，三机构合计卖出5.04亿元,Wind
38,2021-12-29,药茅片仔癀惨跌停！网友：葛大妈加仓了“骗子黄”？,证券之星
39,2021-12-29,"三大利空传闻突袭！茅台跌去近千亿，2500亿中药茅跌停！冲击多大？""宁茅""翘翘板效应失效，A股咋了？",券商中国
40,2021-12-29,龙虎榜|片仔癀今日跌停 三机构合计净卖出超5亿元,财联社
41,2021-12-29,毫无征兆！2900亿大白马闪崩跌停，抛盘汹涌而出！超级牛散坚守12年，成百亿富翁，今日浮亏超12亿！,--
42,2021-12-29,A股资金流向：权重股遭抛售，短线资金继续抱团热门股,Wind
43,2021-12-29,巨丰投顾：片仔癀跌停茅台下挫 “喝酒吃药”行情也黄了？,新浪
44,2021-12-29,12月29日复盘：白酒回调释放重要信号 主力资金出击6股,新浪
45,2021-12-29,十大博客看后市：谁是今天砸盘的真凶？,新浪
46,2021-12-29,988亿资金争夺20股：主力资金重点出击6股(名单),新浪
47,2021-12-29,A股收评：沪指跌近1%失守3600点，白酒股重挫，片仔癀跌停,格隆汇
48,2021-12-29,收评：上证50缩量杀跌近2% 片仔癀封死跌停板,证券之星
49,2021-12-29,白马又崩一只！2800亿药茅跌停，280亿没了,搜狐
50,2021-12-29,A股收盘综述：白酒股塌陷，茅台、五粮液遭主力净抛售30亿元！中药茅放量跌停,Wind
51,2021-12-29,券商研报中药大年后，药茅片仔癀惨跌停，“超级牛散”日亏近13亿 亏损,AI财经社
52,2021-12-29,年末基金调仓，片仔癀盘中跌停,阿尔法工场
53,2021-12-29,片仔癀股价盘中触及跌停 成交额超35亿元,新浪
54,2021-12-29,快讯：中药龙头片仔癀午后封住跌停,财联社
55,2021-12-29,片仔癀午后跌停,e公司
56,2021-12-29,片仔癀封跌停板 带动中药股集体下跌,格隆汇
57,2021-12-29,片仔癀触及跌停,格隆汇
58,2021-12-29,片仔癀放量跌停，成交金额超33亿元,Wind
59,2021-12-29,片仔癀接近跌停，主力净流出4亿元,Wind
60,2021-12-29,西南证券医药2022年度策略：未来医药估值有望均衡，“穿越医保”和“疫情脱敏”是两条核心主线,Wind
61,2021-12-29,A股午盘综述：白酒板块熄火，贵州茅台、五粮液、泸州老窖大步回撤,Wind
62,2021-12-29,【中药专题】“穿越医保”主线之—-中药消费品迎来三大机遇,Wind
63,2021-12-29,800%增长，又一个老年高频刚需蓝海市场待开发,36氪
64,2021-12-29,沪指跌近1%失守3600点，白酒股持续走低,中新经纬
65,2021-12-29,行业动态|中药股集体起飞背后 市场逻辑发生了哪些变化?,财联社
66,2021-12-29,中药股走势分化，精华制药、龙津药业继续涨停,Wind
67,2021-12-29,中成药集采撬动投资，产业化进程提速,Wind
68,2021-12-28,华研精机：子公司广州华研制药设备有限公司暂未向片仔癀提供产品,每日经济新闻
69,2021-12-28,太极藿香正气口服液出厂价上调，中药原材料成本上涨到底有多猛？,贝壳财经
70,2021-12-28,藿香正气口服液、安宫牛黄丸等价格上调背后——近八成中药材价格上涨,中国经济网
71,2021-12-28,片仔癀现1笔大宗交易 共成交399.97万元,新浪
72,2021-12-28,片仔癀今日大宗交易成交0.84万股，成交价476.15元溢价0.0%,Wind
73,2021-12-28,李浩德：近期中药板块事件及龙头梳理,凤凰网
74,2021-12-28,近期多款药物提价，业内正多措并举来突围,制药网
75,2021-12-28,政策推动中药行业发展 估值性价比凸显,证券时报网
76,2021-12-27,站上风口，中药股凭什么爆发了？,格隆汇
77,2021-12-27,片仔癀今日大宗交易成交8.05万股，成交价472.3元溢价0.0%,Wind
78,2021-12-27,"片仔癀现1笔大宗交易 共成交3,799.98万元",新浪
79,2021-12-27,人口老龄化所带来的中药行业之变局,证券之星
80,2021-12-27,中药股价暴涨，哪些标的适合机构配置？【东吴医药朱国广团队】,国广有话说
81,2021-12-26,藿香正气口服液，要涨价了,药店经理人
82,2021-12-25,传承精华，守正创新！片仔癀大国品牌&品牌责任发布,中经导报
83,2021-12-25,陇神戎发5天收获4个“20cm”，中药板块涨停潮会否持续？,Wind
84,2021-12-25,5天收获4个“20cm”，陇神戎发涨超90%！龙津药业3连板，中药板块涨停潮会否持续？,中证报
85,2021-12-24,风口上的牛散：有人半年赚近3亿，有人坚守12载获60倍收益,Wind
86,2021-12-24,风口上的牛散：有人不到半年赚近3亿元，有人坚守12载获60倍收益,中证报
87,2021-12-24,"片仔癀现1笔大宗交易 共成交1,743.06万元",新浪
88,2021-12-24,片仔癀今日大宗交易成交4.07万股，成交价428.27元折价10.74%,Wind
89,2021-12-24,创新药投降吧，外面都是中药的人了,药智网
90,2021-12-24,2021医药行业十大热门事件：扬子江药业被罚7.64亿，片仔癀、康美等“出圈”,新浪
91,2021-12-24,漳州片仔癀：公司的“片仔癀”产品是国家一级中药保护品种,Wind
92,2021-12-24,片仔癀：公司的“片仔癀”产品是国家一级中药保护品种,每日经济新闻
93,2021-12-23,"片仔癀现1笔大宗交易 共成交1,051.63万元",新浪
94,2021-12-23,北向资金加仓近25亿结束连续4日净卖出，宁德时代净买入4.74亿元,Wind
95,2021-12-23,片仔癀今日大宗交易成交2.21万股，成交价475.85元溢价0.0%,Wind
96,2021-12-23,品牌中药OTC：看好政策支持、业绩确定、估值性价比高的稳健赛道投资机会,开源证券研究所
97,2021-12-22,片仔癀现2笔大宗交易 合计成交11.67万股,证券时报网
98,2021-12-22,"片仔癀现2笔大宗交易 共成交5,590.39万元",新浪
99,2021-12-22,片仔癀今日大宗交易成交3.75万股，成交价479.11元溢价0.0%,Wind
100,2021-12-22,中药板块爆发，陇神戎发连续三日“20cm”涨停，同仁堂等大涨,证券时报网
101,2021-12-21,片仔癀Q3 业绩点评,搜狐
102,2021-12-21,片仔癀12月21日大宗交易成交396.21万元,证券时报网
103,2021-12-21,片仔癀现1笔大宗交易 共成交396.21万元,新浪
104,2021-12-21,片仔癀今日大宗交易成交0.85万股，成交价466.13元溢价0.0%,Wind
105,2021-12-21,品牌中药行业深度报告：国药瑰宝 品牌为王,华安证券
106,2021-12-20,北向资金今日再度净卖出9.71亿元，药明康德连续4日遭抛售累计出货超30亿,Wind
107,2021-12-20,A股收盘综述：创业板指跌近3%，新能源股大步回撤,Wind
108,2021-12-20,A股午盘综述：新能源大幅调整，小市值地产股却批量涨停，N禾迈中一签赚13万,Wind
109,2021-12-20,中药板块涨势强劲，陇神戎发、佛慈制药、盘龙药业、济川药业涨停,Wind
110,2021-12-20,每日理财观察：理财产品流动性风险管理办法出台,Wind
111,2021-12-20,北上资金加速流入A股，投资风格转向周期股,Wind
112,2021-12-19,一颗药丸涨80元，中药涨价背后，药材涨得更猛？,中新网
113,2021-12-18,片仔癀荣获“大国好货年度品牌企业”称号,中经导报
114,2021-12-18,中药龙头片仔癀一年两度换帅，潘杰任期200多天内，发生了什么？ 董监高成员变化,华夏时报
115,2021-12-18,富时中国指数成分股大调整，外资布局2022年,Wind
116,2021-12-17,"片仔癀现4笔大宗交易 共成交6,649.91万元",新浪
117,2021-12-17,片仔癀今日大宗交易成交10.63万股，成交价456.5元溢价0.0%,Wind
118,2021-12-16,科技部拟表彰抗击新冠疫情先进，康希诺、片仔癀等20家药企上榜,蒲公英
119,2021-12-16,北向资金追平年内最长净买入纪录，山西汾酒净卖出额创历史新高,Wind
120,2021-12-16,“专精特新”高层定调，聚焦细分领域龙头！,Wind
121,2021-12-15,"片仔癀现1笔大宗交易 共成交3,795.34万元",新浪
122,2021-12-15,这家中药巨头，1年内换了两任董事长！,制药网
123,2021-12-15,“药茅”片仔癀法人代表变更:潘杰任职仅8个月辞职 由林纬奇接任,中国网
124,2021-12-15,片仔癀法人变更为林纬奇,乐居财经
125,2021-12-14,财华聚焦|继同仁堂后又一家药企提价，中药涨价潮要来？,财华社
126,2021-12-14,最高涨超300%！中药价格持续走高，龙头率先涨价，机构预测高增长的概念股出炉（附股）,搜狐
127,2021-12-14,21家药企董事长辞职（附名单） 董监高成员变化,赛柏蓝
128,2021-12-14,中成药集采来势汹汹，片仔癀、广誉远、华润三九董事长却来了个集体辞职 董监高成员变化,北京商报
129,2021-12-14,一周内三家知名药企董事长辞职 董监高成员变化,北京商报
130,2021-12-14,片仔癀今日大宗交易成交8.06万股，成交价471.0元溢价0.0%,Wind
131,2021-12-14,中药又双叒叕涨价，什么逻辑？同仁堂之后，这一巨头要跟了？,证券之星
132,2021-12-13,同仁堂之后 另一巨头也宣布：安宫牛黄丸提价！中药企业涨价潮要来了？,北京商报
133,2021-12-13,半月内同仁堂、华润三九产品提价，中药企业涨价潮来了？,北京商报
134,2021-12-13,"片仔癀现1笔大宗交易 共成交1,199.84万元",新浪
135,2021-12-13,片仔癀今日大宗交易成交2.93万股，成交价409.5元折价11.34%,Wind
136,2021-12-13,片仔癀董事长潘杰因工作调整辞任 林伟奇任新董事长 董监高成员变化,搜狐
137,2021-12-13,一大波美妆上市企业要来了,36氪
138,2021-12-13,启明医疗收购Cardiovalve加码TMVR |阿斯利康殷敏将入职百济神州【最新闻1213】,MedTrend医趋势
139,2021-12-12,医药投向标|腾盛博药新冠中和抗体获批 西安新通科创板IPO获受理 鞍石生物完成超2亿美元A轮融资,财联社
140,2021-12-10,涨价酝酿期，“力挺”提价的董事长却突然辞职，片仔癀还能涨价吗？ 董监高成员变化,财联社
141,2021-12-10,10万变1000万！投资片仔癀有多飘？,格隆汇
142,2021-12-10,最新！片仔癀董事长再换人 董监高成员变化,赛柏蓝
143,2021-12-10,"片仔癀现1笔大宗交易 共成交1,855.44万元",新浪
144,2021-12-10,片仔癀今日大宗交易成交4.08万股，成交价455.0元溢价0.0%,Wind
145,2021-12-10,8个月，让“中药茅”市值暴增千亿，董事长离职后片仔癀怎么走？ 董监高成员变化,证券之星
146,2021-12-10,片仔癀换帅，当地国资委副主任接任董事长 董监高成员变化,经济观察报
147,2021-12-10,“药中茅台”片仔癀董事长辞职 在职期间创利润记录！ 董监高成员变化,鲁网
148,2021-12-10,片仔癀年内二度换帅，原董事长潘杰任职仅八个月 董监高成员变化,阿尔法工场
149,2021-12-10,任职仅8个月！片仔癀董事长潘杰辞职 林纬奇接任 董监高成员变化,央视财经
150,2021-12-10,片仔癀一年两任董事长辞职 新任董事长林纬奇系从漳州市国资委调任 董监高成员变化,每日经济新闻
151,2021-12-09,“药茅”董事长辞职，仅上任246天，片仔癀市值涨幅即超千亿 董监高成员变化,AI财经社
152,2021-12-09,片仔癀：漳州片仔癀药业股份有限公司关于董事长辞职的公告 董监高成员变化,新浪
153,2021-12-09,财华聚焦|“喝酒吃药”行情再起，跨年行情要来？,财华社
154,2021-12-09,片仔癀：潘杰辞去董事长等职务 董监高成员变化,Bianews
155,2021-12-09,“药茅”片仔癀董事长潘杰因工作调整辞职 林纬奇接任 董监高成员变化,中新经纬
156,2021-12-09,片仔癀(600436.SH)：潘杰辞任董事长 林纬奇接任 董监高成员变化,格隆汇
157,2021-12-09,片仔癀：董事长辞职 董监高成员变化,每日经济新闻
158,2021-12-09,片仔癀：潘杰辞去董事长等职务 董监高成员变化,Wind
159,2021-12-09,860元/颗！同仁堂安宫牛黄丸为何涨不停？,羊城晚报
160,2021-12-09,片仔癀：公司的医药制造业和医药流通业涵盖了西药品种,每日经济新闻
161,2021-12-09,漳州片仔癀：公司在天猫和京东渠道运营的店铺名称为“片仔癀大药房旗舰店”,Wind
162,2021-12-09,张传杰退出福建片仔癀保健食品董事，林敦煌接任,乐居财经
163,2021-12-09,片仔癀所持福建片仔癀保健食品股份增至93.64%,乐居财经
164,2021-12-09,福建片仔癀保健食品注册资本增加371.49%至1亿元,乐居财经
165,2021-12-09,产品涨价10%，这只基金有涨30%的动力！,和讯
166,2021-12-09,经济日报：富时罗素指数调整折射中国经济之变,Wind
167,2021-12-08,"片仔癀现1笔大宗交易 共成交3,826.38万元",新浪
168,2021-12-08,片仔癀今日大宗交易成交8.33万股，成交价459.57元溢价0.0%,Wind
169,2021-12-08,同仁堂安宫牛黄丸涨价了！ 片仔癀跟不跟？,证券日报之声
170,2021-12-08,医药生物行业2022年度策略行业策略：核心五问揆情度理 先进制造+创新升级大处落墨,新浪
171,2021-12-08,漳州市九龙江集团：部分股份解除质押及再质押,Wind
172,2021-12-08,医药板块整体下行，相关主题基金密集发行,Wind
173,2021-12-07,同仁堂安宫牛黄丸涨价10%，片仔癀未跟风提价但“需预订”,澎湃新闻
174,2021-12-07,一盒860！安宫牛黄丸宣布涨价！药店：提价前一夜售出千盒，“过期药”炒至上万.,汇聚南药
175,2021-12-07,同仁堂安宫牛黄丸再涨价10% 广誉远却为何迎来涨停？,财联社
176,2021-12-07,"片仔癀现1笔大宗交易 共成交3,835.42万元",新浪
177,2021-12-07,片仔癀今日大宗交易成交8.41万股，成交价456.18元溢价0.01%,Wind
178,2021-12-07,一粒860元！这种“救命药”涨价10%？未来还会涨到1000元？公司回应,每日经济新闻
179,2021-12-07,因原材料价格上涨，这一药品涨价至860元,制药网
180,2021-12-07,860元一盒，中药变身奢侈品？同仁堂“安宫牛黄丸”再涨价10%！“过期药”曾炒至万元一颗,中国经营报
181,2021-12-07,商业贸易行业周观点：多地新增育儿假支持生育 关注母婴赛道投资机会,新浪
182,2021-12-07,同仁堂安宫牛黄丸涨价860元1盒，企查查显示公司前三季营收超百亿,搜狐
183,2021-12-07,安宫牛黄丸涨价一成？同仁堂：消息属实,南都报
184,2021-12-06,同仁堂安宫牛黄一盒涨至860元，这次又是原材料的锅？网友只关心，“传家宝”会不会过期,北京商报
185,2021-12-06,医药行业2021年12月投资月报：业绩和政策真空期 医药板块有望持续反弹,西南证券
186,2021-12-06,探访同仁堂安宫牛黄丸涨价：药店已接到通知，电商平台暂未提价,新京报
187,2021-12-06,安宫牛黄丸涨至860元一盒！实探：门店已收厂家通知，受原材料影响,凤凰网
188,2021-12-06,迫于原料成本压力，同仁堂安宫牛黄丸每盒涨至860元,第一财经
189,2021-12-06,片仔癀：九龙江集团累计质押8106万股,每日经济新闻
190,2021-12-06,2021年基金，买了个“寂寞”,Wind
191,2021-12-06,粤开策略深度 | 医药生物行业2022年展望：价值重鸣，创新为锋,粤开崇利论市
192,2021-12-06,医药生物行业：医保谈判落地 释放积极信号,新浪
193,2021-12-06,兆易创新、片仔癀等42股获北向资金增持额超亿元,证券时报网
194,2021-12-06,安宫牛黄丸一盒涨至860元，药店：涨价前一晚上卖了1000多盒,腾讯网
195,2021-12-05,下周操盘攻略：均衡配置成长与价值,Wind
196,2021-12-05,医药行业周报：医保谈判尘埃落地 看好本土创新发力,新浪
197,2021-12-03,"片仔癀现1笔大宗交易 共成交3,795.35万元",新浪
198,2021-12-03,片仔癀今日大宗交易成交8.20万股，成交价463.0元折价0.02%,Wind
199,2021-12-03,片仔癀(600436.SH)控股股东解除质押及再质押5868万股,智通财经
200,2021-12-03,中药板块2022年策略报告：平稳发展避风港 业绩增长动力强,新浪
201,2021-12-03,基金早班车|稀土永磁、水泥股活跃，宁德时代、片仔癀获净买入,金融界
202,2021-12-02,2021中国上市公司软实力巡礼：片仔癀价值119.88亿元 排序第41名,搜狐
203,2021-12-02,“神药”涨价没尽头，同仁堂安宫牛黄丸提价10%，一颗药曾拍出11万,证券之星
204,2021-12-02,一龄李玮赴福建省考察调研 与漳州片仔癀药业以及高,中经导报
205,2021-12-02,249家国内药企上榜“世界千强”，这5家表现突出,制药网
206,2021-12-02,港股盘前必读：腾讯控股拟向不少于25700位奖励人士授予441万股奖励,Wind
207,2021-12-02,片仔癀12月1现2笔大宗交易,证券时报网
208,2021-12-02,"重大调整！富时罗素大动作，4700亿白马被""意外剔除""，咋回事？3股新晋""A50""，外资270亿狂买这1股",券商中国
209,2021-12-01,富时中国A50指数新纳入亿纬锂能、海尔智家、片仔癀,上证报
210,2021-12-01,"片仔癀现2笔大宗交易 共成交5,851.30万元",新浪
211,2021-12-01,富时罗素调整富时中国A50指数成份股，纳入亿纬锂能、海尔智家、片仔癀,36氪
212,2021-12-01,富时罗素：亿纬锂能等三股获纳入富时中国A50指数,Wind
213,2021-12-01,片仔癀今日大宗交易成交13.52万股，最低成交价433.0元溢价0.0%,Wind
214,2021-11-30,前三季度中药上市企业业绩上扬，多元化发展趋势尽显,微信
215,2021-11-30,2200亿锂电龙头跳水！北上资金逆向操作,Wind
216,2021-11-29,A股地图看福建：“宁王”领头，还有4家市值破千亿,雪球
217,2021-11-29,医药行业周报：第六批集采落地 重点关注新冠变异株,西南证券
218,2021-11-29,多个指数迎重磅调整！科创板公司大幅增加，这些股票即将调入！,Wind
219,2021-11-27,涉及超5500亿规模基金！新一轮指数样本大调整出炉,Wind
220,2021-11-26,晚间要闻2021年11月26日星期五,Wind
221,2021-11-26,多只指数样本获调整：上证50指数调入片仔癀(600436.SH)等，调出上海机场(600009.SH)等,智通财经
222,2021-11-26,上证50等系列指数进行定期调样，新经济和先进制造业样本增多,Wind
223,2021-11-26,61家中药企业营收增长喜人！,制药网
224,2021-11-25,医药行业2021年三季报总结报告：恢复高成长 医药进入估值切换长周期,新浪
225,2021-11-25,"片仔癀现1笔大宗交易 共成交1,855.56万元",新浪
226,2021-11-25,片仔癀今日大宗交易成交4.21万股，成交价440.98元溢价0.0%,Wind
227,2021-11-25,医药健康行业年度策略：溯源而上 掘金创新,新浪
228,2021-11-24,福建区域股市周报：腾景科技涨34.44%涨幅第一 紫金矿业跌出板块市值3强,每日经济新闻
229,2021-11-24,"片仔癀：构建产学研联盟,打造“一核两翼”发展新格局",中金在线
230,2021-11-24,医药生物行业双周报,新浪
231,2021-11-23,【热点报告——股指期货】2021年12月主要规模指数成分股调整预测及影响,东证衍生品研究院
232,2021-11-23,医药生物行业双周报：医保谈判落地 行业迎来配置机会,新浪
233,2021-11-22,"片仔癀现1笔大宗交易 共成交1,855.53万元",新浪
234,2021-11-22,片仔癀今日大宗交易成交4.19万股，成交价442.88元折价0.03%,Wind
235,2021-11-22,宁德时代跃居A股市值第二，新能源成大市值公司进阶秘籍,Wind
236,2021-11-21,下周操盘攻略：波动将明显加剧,Wind
237,2021-11-19,"片仔癀现1笔大宗交易 共成交1,895.50万元",新浪
238,2021-11-19,北向资金今日大幅净买入近83亿，再度爆买宁德时代超14亿,Wind
239,2021-11-19,片仔癀今日大宗交易成交4.24万股，成交价447.58元溢价0.0%,Wind
240,2021-11-17,北向资金结束连续4日净买入，贵州茅台遭大幅抛售超11亿元,Wind
241,2021-11-17,多重积极信号释放，消费股热度渐增,Wind
242,2021-11-16,世界千强药企最新名单！中国独占249家，百济、智飞冲进前50，恒瑞、石药、齐鲁打好新药战,E药经理人
243,2021-11-16,沪港通十大成交活跃股排名（11月16日）,Wind
244,2021-11-16,北向资金再度加仓近42亿连续4日净买入，批量扫货白酒医药股,Wind
245,2021-11-16,“喝酒吃药”行情再现，A50ETF（159601）成交再超30亿元,Wind
246,2021-11-16,A股异动 | 片仔癀涨5% 阿哌沙班片获药品注册证书,格隆汇
247,2021-11-15,"片仔癀现1笔大宗交易 共成交3,895.59万元",新浪
248,2021-11-15,片仔癀：阿哌沙班片获药品注册证书 该项目研发投入累计约1700万元,发布易
249,2021-11-15,片仔癀(600436.SH)：阿哌沙班片获批上市,格隆汇
250,2021-11-15,片仔癀：阿哌沙班片收到药品注册证书,财联社
251,2021-11-12,"片仔癀现3笔大宗交易 共成交2,842.79万元",新浪
252,2021-11-12,片仔癀今日大宗交易成交2.21万股，成交价428.55元溢价0.0%,Wind
253,2021-11-12,沪深港通资金医药股流向数据库,新浪
254,2021-11-12,片仔癀11月11日现2笔大宗交易,证券时报网
255,2021-11-11,片仔癀现2笔大宗交易 总成交金额5791.60万元,证券时报网
256,2021-11-11,"片仔癀现2笔大宗交易 共成交5,791.60万元",新浪
257,2021-11-11,片仔癀今日大宗交易成交13.86万股，成交价418.0元折价0.01%,Wind
258,2021-11-11,第七届白润美女神节破圈：片仔癀化妆品强势崛起的力量！,亿邦动力
259,2021-11-11,涨价，消费品公司的终极出路？,36氪
260,2021-11-10,片仔癀大宗交易成交520.02万元,证券时报网
261,2021-11-10,片仔癀现1笔大宗交易 共成交520.02万元,新浪
262,2021-11-10,云南白药，快没“药”了？,36氪
263,2021-11-09,“百亿牛散”新动向：葛卫东、陈发树重仓新能源，王富济“单恋”片仔癀“5年大赚90亿！”,红周刊
264,2021-11-09,片仔癀发生2笔大宗交易 合计成交5879.56万元,证券时报网
265,2021-11-09,片仔癀今日大宗交易成交13.90万股，成交价422.99元溢价0.0%,Wind
266,2021-11-09,"片仔癀现2笔大宗交易 共成交5,879.56万元",新浪
267,2021-11-09,北向资金成交低迷连续3日净卖出，中国平安遭大幅净卖出超10亿元,Wind
268,2021-11-08,片仔癀大宗交易成交2787.20万元,证券时报网
269,2021-11-08,"片仔癀现1笔大宗交易 共成交2,787.20万元",新浪
270,2021-11-08,片仔癀今日大宗交易成交6.70万股，成交价416.0元折价1.96%,Wind
271,2021-11-08,氪金lite｜金嗓子退市，OTC明星药企跌落神坛 退市,36氪
272,2021-11-06,片仔癀股东已完成减持，套现金额约为23亿元！ 减持股份,环球老虎财经
273,2021-11-06,“中药茅”白药、片仔癀出招 娴熟“割韭菜”姿势各不同,投资快报
274,2021-11-05,【晚间公告抢先看】宁德时代拟70亿元投建新能源动力及储能电池项目、万科A拟分拆万物云到港交所上市,金融界
275,2021-11-05,片仔癀(600436.SH)控股股东九龙江集团减持603.31万股 减持计划已实施完毕,智通财经
276,2021-11-05,片仔癀：股东九龙江集团减持计划实施完毕，共减持约603万股,每日经济新闻
277,2021-11-05,片仔癀：控股股东减持公司1%股份 减持股份,e公司
278,2021-11-05,片仔癀：控股股东九龙江集团减持1%公司股份 减持股份,Wind
279,2021-11-05,片仔癀今日大宗交易成交9.53万股，成交价419.49元溢价0.0%,Wind
280,2021-11-05,"片仔癀现1笔大宗交易 共成交3,995.77万元",新浪
281,2021-11-05,医疗健康产业2022年投资策略：医疗投资进入百花齐放时代 国产自主化进入新高潮,新浪
282,2021-11-05,省药监局开展“我为群众办实事”实践活动——走进漳州片仔癀药业股份有限公司,福建药监局
283,2021-11-04,"片仔癀现5笔大宗交易 共成交8,817.57万元",新浪
284,2021-11-02,"片仔癀现1笔大宗交易 共成交1,895.28万元",新浪
285,2021-11-02,北向资金连续4日净买入累计扫货近150亿，新能源龙头股集体获抢筹,Wind
286,2021-11-02,医药行业2021年11月投资月报：重点寻找“穿越医保”和“疫情脱敏”品种,西南证券
287,2021-11-01,"片仔癀现1笔大宗交易 共成交3,495.84万元",新浪
288,2021-11-01,片仔癀今日大宗交易成交8.42万股，成交价415.0元溢价0.0%,Wind
289,2021-11-01,“云南白药”医不好“炒股病”,36氪
290,2021-11-01,云南白药炒股巨亏15亿净利21年首降 白药业务逐年萎缩牙膏利润撑半壁江山 盈利能力下降,新浪
291,2021-10-29,CRO企业走势分化，片仔癀领跌中药行业，云南白药炒股亏15亿「制药行业周榜」 投资失误,华夏时报
292,2021-10-29,片仔癀如何服用，小科普帮您忙,钢企网
293,2021-10-28,"片仔癀现2笔大宗交易 共成交2,161.95万元",新浪
294,2021-10-28,北向资金逆市加仓超71亿，贵州茅台获大幅净买入13亿元,Wind
295,2021-10-28,云南白药炒股赔 15 亿！一支牙膏才 9 块…谁催眠了上市公司赚钱梦？,ZAKER
296,2021-10-28,股民：再也不打新了！云南白药：再也不炒股了,Wind
297,2021-10-28,16万股东无眠！云南白药炒股巨亏11亿，股价应声大跌 投资失误,每日经济新闻
298,2021-10-28,无惧下跌，北向资金扫货煤炭行业逾6亿元，却出逃家电行业33亿元（附股）,21世纪经济报道
299,2021-10-28,顶流基金经理白酒信仰现分歧：张坤重仓，刘彦春坚持，王宗合、焦巍目光投向科技,Wind
300,2021-10-27,上海家化(600315)：三季度业绩增速有所放缓 护肤品类保持稳健 盈利能力下降,新浪
301,2021-10-27,"片仔癀现1笔大宗交易 共成交1,775.82万元",新浪
302,2021-10-27,片仔癀今日大宗交易成交4.28万股，成交价414.98元溢价0.0%,Wind
303,2021-10-27,医药电商市场发展持续向好下，药企线上药品销售额大增,制药网
304,2021-10-27,上海家化(600315)：聚焦头部品牌 电商增长加快发力全品牌私域,新浪
