,2021-12-31,年终盘点：2021年工程机械行业十大“关键词”,我的钢铁
139,2021-11-10,中联重科：我司一直重视海外市场和细分应用市场的开拓，海外市场今年也取得了快速的发展,每日经济新闻
140,2021-11-10,中联重科：智能化矿山设备以及矿山设备占公司目前总盈利比较小,每日经济新闻
141,2021-11-10,中联重科：铁矿石价格回落，公司原材料采购成本将会下滑，第四季度毛利率有望企稳回升,每日经济新闻
142,2021-11-10,中联重科：公司暂没有在芯片领域投入研发,Wind
143,2021-11-10,中联重科：暂没有在芯片领域投入研发,每日经济新闻
144,2021-11-10,中联重科成被执行人，执行标的182.13万元 被执行人,乐居财经
145,2021-11-10,格力电器、新华保险、三一重工、中联重科等明星股集体下滑，均创阶段新低,Wind
146,2021-11-10,浙商机械 邱世梁‖王华君 10月挖掘机出口再创单月新高；国内下游需求短期承压,高端装备制造及材料
147,2021-11-09,中联重科：股东长沙中联和一盛投资合伙企业质押1200万股,Wind
148,2021-11-09,中联重科(000157.SZ)：和一盛投资质押1200万股,格隆汇
149,2021-11-09,中联重科：和一盛投资累计质押股数约为2.09亿股,每日经济新闻
150,2021-11-06,三大海外子品牌绽放在“四叶草” 中联重科进博会创新融合显实力,大众证券报
151,2021-11-05,花旗：维持中联重科(01157)“买入”评级 目标价下调44.6%至6.2港元,智通财经
152,2021-11-05,大行评级 | 花旗：降中联重科(1157.HK)目标价至6.2港元 评级买入 机构下调估值,格隆汇
153,2021-11-05,【异动股】中联重科(01157.HK)跌3.55%,财华社
154,2021-11-05,4000吨的大国重器，从图纸到产品仅用4个月，中联重科一举刷新世界纪录,Ofweek
155,2021-11-04,A股共发生255宗大宗交易成交58.52亿元（11月4日）,Wind
156,2021-11-04,中联重科今日大宗交易成交80万股，成交价7.04元溢价0.0%,Wind
157,2021-11-04,中联重科现1笔大宗交易 共成交563.20万元,新浪
158,2021-11-04,港股盘前必读：恒大集团发布消息称7-10月完成546个批次交楼工作,Wind
159,2021-11-03,中信建投：维持中联重科(000157.SZ)“买入”评级 盈利能力短期承压 业绩低于预期,智通财经
160,2021-11-03,大和：降中联重科目标至6.2港元，房地产行业需求疲弱,Wind
161,2021-11-03,大行评级 | 大和：下调中联重科(1157.HK)每股盈利预测 降目标价至6.2港元 投资评级恶化,格隆汇
162,2021-11-03,【券商聚焦】大和削中联重科(01157)目标价56.3% 料地产行业需求疲软令利润承压 机构下调估值,和讯
163,2021-11-03,*大和狠削中联重科(01157)目标价56.3%至6.2港元 降至“跑赢大市”评级 机构下调估值,和讯
164,2021-11-03,中联重科：广发基金、南方基金等20家机构于10月29日调研我司,证券之星
165,2021-11-02,中联重科接受3家机构调研！短期主力资金净流出，或存在资金分歧,每日经济新闻
166,2021-11-01,中联重科：“18中联01”债券存续期后2年的票面利率从4.65%调整到3.30%,Wind
167,2021-11-01,【异动股】中联重科(01157.HK)跌3.2%,财华社
168,2021-11-01,汇丰研究：维持中联重科(01157)“买入”评级 目标价下调至8.3港元 机构下调估值,智通财经
169,2021-11-01,东吴证券给予中联重科买入评级：行业需求波动+原材料成本上涨，三季度业绩短期承压,每日经济新闻
170,2021-11-01,东吴证券：给予中联重科买入评级,证券之星
171,2021-11-01,陆家嘴财经早餐2021年11月1日星期一,Wind
172,2021-10-31,中联重科发布全球最大上回转塔机：最大起重重量达 450 吨,IT之家
173,2021-10-31,中联重科发布全球首台超万吨米级上回转塔机,Wind
174,2021-10-31,中联重科发布全球首台超万吨米级上回转塔机,中证网
175,2021-10-30,行业动态|工程机械Q3业绩遇寒潮，10月销售仍不乐观，后期看基建托底力度 盈利能力下降,财联社
176,2021-10-30,中联重科X远大魔方|重新定义办公空间，助力智造航母全面起航！,和讯
177,2021-10-29,中联重科1157 | 发布全球最大的上回转塔机 | 头条金融网,头条日报
178,2021-10-29,智造全解析 探秘中联重科全球最大塔机“宝藏”智能工厂,凤凰网
179,2021-10-29,中联重科前三财季净利57.51亿元，同比增长1.13%,资本邦
180,2021-10-29,中联重科：将“18中联01”后2年的票面利率由4.65%调整到3.30%,Wind
181,2021-10-29,瑞信：维持中联重科(01157)“跑赢大市”评级 目标价降至8.23港元 机构下调估值,智通财经
182,2021-10-29,港股异动 | 中联重科跌7% 第三季净利同比下降46% 盈利能力下降,格隆汇
183,2021-10-29,【港股通】中联重科(01157)下挫5.19% 第三季度净利同比下降46.01%,和讯
184,2021-10-29,*瑞信微削中联重科(01157)目标价3.3%至8.23港元 维持“跑赢大市”评级,和讯
185,2021-10-29,港股异动 | 中联重科(01157)绩后跌超7% 第三季度纯利同比下降46.01%至9亿元,智通财经
186,2021-10-29,中联重科工程车桥智能制造项目开工建设,e公司
187,2021-10-29,港股盘前必读：李宁折价配股融资超百亿港元股价跌逾8%,Wind
188,2021-10-29,Q3业绩有所承压，多元布局助力行稳致远——中联重科（000157）点评报告,机械盛宴
189,2021-10-29,三一重工中联重科第三季业绩下滑 四季度需求料复苏 盈利能力下降,全景网
190,2021-10-28,三一重工前三季度净利润逾125亿元 第四季度有望迎来行业复苏？,e公司
191,2021-10-28,中联重科前三季度净利润超57亿元,发布易
192,2021-10-28,【港股通】中联重科(01157)前三季度净利润57.5亿元 同比增长1.13%,和讯
193,2021-10-28,全球最大吨位上回转塔机常德下线 中联重科从容迎接“大塔时代”,美通社
194,2021-10-28,图解中联重科三季报：第三季度单季净利润同比减46.01%,证券之星
195,2021-10-28,中联重科(01157.HK)：第三季度净利9.005亿元 同比下降46.01%,格隆汇
196,2021-10-28,拓维信息：公司正在携手三一重工、中联重科等工业企业开展2021年湖南省重大科技专项的研究，研究成果将会应用到“新时代智能工厂”，现阶段暂无产品投放使用,每日经济新闻
197,2021-10-28,中联重科(000157.SZ)：第三季度净利降46.01%至9.01亿元,格隆汇
198,2021-10-28,中联重科：第三季度净利润9亿元 同比下降46.01%,财联社
199,2021-10-28,新鲜出炉！中联重科：2021年第三季度净利润约9.01亿元，同比下降46.01%,每日经济新闻
200,2021-10-28,中联重科：第三季度净利同比下降46%,格隆汇
201,2021-10-28,中联重科：第三季度净利润9亿元，同比下降46%,Wind
202,2021-10-28,中联重科：前三季度净利润同比增长1.13%,Wind
203,2021-10-28,中联重科：目前公司已不再直接生产制造环卫设备,我的钢铁
204,2021-10-28,中联重科股份有限公司 2021年第三季度报告,证券日报
205,2021-10-27,中联重科1157｜首9月纯利升1.1%至57.5亿人币 | 头条金融网,头条日报
206,2021-10-26,中联重科发布全球最大上回转塔机 前瞻布局领航大塔时代,证券日报网
207,2021-10-26,2021年中国塔吊行业市场需求现状及发展前景分析 装配式建筑对塔吊需求前景较好,前瞻研究院
208,2021-10-26,Schroders PLC增持中联重科(01157)59.94万股，每股作价约6.81港元,智通财经
209,2021-10-26,中联重科履带起重机“双雄” 助力中核机械工程巴陵恒逸项目部首个设备吊装,百川盈孚
210,2021-10-26,全球最大上回转塔机下线 一次起吊450吨至400米高,光明网
211,2021-10-26,“大塔时代”渐行渐近！大型新基建、装配建筑火爆，这一工程机械细分领域迎来新机遇,上证报
212,2021-10-26,前瞻布局引领大塔时代 中联重科全球最大上回转塔机荣耀下线,美通社
213,2021-10-26,机械行业周报(2021年10月第3周)：隆基HJT电池效率再破世界纪录；持续力推光伏／风电／锂电设备,新浪
214,2021-10-26,【权益变动】中联重科(01157.HK)获Schroders PLC增持59.94万股,财华社
215,2021-10-25,中联重科发布全球最大上回转塔机：起重重量达 450 吨,IT之家
216,2021-10-25,中联重科发布全球最大上回转塔机,e公司
217,2021-10-25,建筑工业化催生塔机市场新需求，中联重科引领“大塔时代”,凤凰网
218,2021-10-25,又一项世界之最！它能将300辆小轿车起吊至130层楼高度,科技日报
219,2021-10-25,中联重科：运价与钢价上涨对公司经营产生一定影响,我的钢铁
220,2021-10-25,中联重科：限电对公司生产经营暂无大的影响,我的钢铁
221,2021-10-25,全球最大上回转塔机在湖南常德下线 “私人订制”助建“超级工程”,中新网
222,2021-10-24,机械设备行业跟踪周报：持续看好高景气度的光伏半导体设备 建议关注双控影响下景气延续的机床刀具行业,新浪
223,2021-10-21,【中金固收·信用】中国短期融资券及中期票据信用分析周报,中金固定收益研究
224,2021-10-21,机械：“能耗双控”背景下 持续推荐能源设备,新浪
225,2021-10-21,中联重科(01157.HK)获Schroders PLC增持59.94万股,格隆汇
226,2021-10-20,深度*行业*机械设备行业周报：风光大基地一期约100GW有序开工 建议相关光伏、风电、锂电设备板块,新浪
227,2021-10-20,中联重科：不断刷新自我的塔机冠军，又一世界级产品即将下线,美通社
228,2021-10-20,干货！2021年中国工程机械行业龙头企业市场竞争格局分析 “行业之王”仍有待考察,前瞻研究院
229,2021-10-20,中联重科：我司在河南有河南中联工程起重机械有限公司，河南中联重科智能农机有限责任公司等子公司,每日经济新闻
230,2021-10-20,中联重科：公司在氢燃料相关技术已进行布局和研究,Wind
231,2021-10-20,中联重科：我司目前暂时没有生产和回收锂电池相关业务,每日经济新闻
232,2021-10-20,中联重科：我司在氢燃料相关技术已经进行布局和研究,每日经济新闻
233,2021-10-20,中联重科：目前公司已不再直接生产制造环卫设备,Wind
234,2021-10-20,中联重科：公司目前暂时没有生产和回收锂电池相关业务,Wind
235,2021-10-20,中联重科：公司所在园区当前停电频次及时长较低、较短，对我们总体生产经营暂无大的影响,每日经济新闻
236,2021-10-20,中联重科：我司在阿联酋、阿曼、巴林、卡塔尔、科威特、沙特阿拉伯等中东国家和地区广泛开展业务，目前正按照公司国际化发展战略加速推进,每日经济新闻
237,2021-10-20,中联重科：运输费用与钢材价格上涨对公司经营情况产生了一定影响，公司已经采取降本控费、调整产品结构及产品价格等措施来缓解采购成本上升的影响,每日经济新闻
238,2021-10-20,中联重科：2021年1-7月海外销售同比2020年，增长率超行业增长率,每日经济新闻
239,2021-10-20,中联重科：公司目前不直接开展环保设备相关业务,每日经济新闻
240,2021-10-20,中联重科：上半年我司起重机械销售额约为226.77亿，占公司营业收入比重约为53.42%,每日经济新闻
241,2021-10-20,中联重科：中联高机与格林美主要联合开发了适配多款剪叉产品的锂电动力系统，包括锂离子动力电池及BMS管理系统,每日经济新闻
242,2021-10-20,国泰君安国际：机械设备需求回升，中联重科业绩增长可期,Wind
243,2021-10-20,【国泰君安国际】个股交易参考：中联重科(01157.HK)：机械设备需求回升，业绩增长可期,国泰君安证券香港
244,2021-10-18,中联重科：董事会将于10月28日考虑及批准三季度财务业绩,Wind
245,2021-10-18,深度*行业*机械设备行业周报：能源短缺背景下绿电前景广阔 能源结构转型利好锂电、光伏设备,新浪
246,2021-10-18,机械设备行业研究周报：全地形车持续景气 中大排量摩托车理论天花板几何？,新浪
247,2021-10-17,机械行业周报：第一期风光大基地已开工 持续推荐光伏风电设备,新浪
248,2021-10-17,机械设备行业跟踪周报：持续看好高景气度的光伏设备行业 国产机床龙头业绩持续超预期 建议重点关注,新浪
249,2021-10-15,工程机械行业跟踪点评：9月挖掘机销量环比改善 小挖数据亮眼,新浪
250,2021-10-15,永清水务中标中联重科污水处理EPC项目,钢企网
251,2021-10-15,浙商机械 邱世梁||王华君【徐工机械】三季报业绩继续高增长；混改红利持续释放,高端装备制造及材料
252,2021-10-14,中联重科现1笔大宗交易 共成交508.80万元,新浪
253,2021-10-14,干货！2021年中国工程机械行业市场竞争格局——中联重科：布局八大系列产品,前瞻研究院
254,2021-10-14,博鳌经安论坛将开展“一带一路”分论坛 湖南对“一带一路”贸易持续增长,凤凰网
255,2021-10-14,浙商机械 邱世梁||王华君 9月挖掘机出口创单月新高、小挖占比回升；四季度需求有望边际改善,高端装备制造及材料
256,2021-10-14,机械设备行业：9月挖机销量同比-23% Q4旺季启动需求有望改善,新浪
257,2021-10-13,5G时代的工程机械什么样？中联重科告诉你,财经网
258,2021-10-12,港股异动 | 潍柴动力(02338)跌近7%领跌工程机械股 小摩称工程机械需求展望好坏参半,智通财经
259,2021-10-12,中联重科高品质助力绿色高质量发展,钢企网
260,2021-10-11,46台风机全部吊装完成，中联重科起重机高品质助力绿色高质量发展,美通社
261,2021-10-11,“统型图纸”绘出中联重科科技担当底色,TechWeb
262,2021-10-11,中联重科成被执行人，执行标的15.18万元 被执行人,乐居财经
263,2021-10-10,【干货】美元债发行问题研究及美元债资金回流路径解析,凤凰网
264,2021-10-09,中联重科连续18载上榜中国企业500强，2021排位跃升100名,中路机械
265,2021-10-09,中联重科斩获订单超32亿元,我的钢铁
266,2021-10-08,机械设备行业研究周报：画龙还需点睛 机器视觉行业前景广阔,新浪
267,2021-10-08,机械设备行业周报：9月制造业PMI低于荣枯线 制造业增速回调,新浪
268,2021-09-30,排位大幅跃升100名! 中联重科连续18年上榜中国企业500强,大众证券报
269,2021-09-30,打造先进制造业高地，中联重科湖南智能农机产业园项目落户常德,中国机经网
270,2021-09-30,新三板主题报告：同心传动：厚积薄发 深耕非等速传动轴细分市场,新浪
271,2021-09-30,徐工机械触及涨停，公司拟作价386.86亿元吸并徐工有限,Wind
272,2021-09-30,浙商机械 邱世梁||王华君【徐工机械】吸收合并徐工有限草案出炉；期待“新徐工”盈利能力持续提升,高端装备制造及材料
273,2021-09-29,中联重科(01157.HK)：2021年度第四、五期超短期融资券到期兑付,格隆汇
274,2021-09-29,闪耀亮相中非经贸博览会！中联农机高端定制产品获非洲客户青睐,中国机经网
275,2021-09-29,需求猛涨，订单接到爆，许多企业却不赚钱,新浪
276,2021-09-29,两小时订单32.45亿元！中联重科928嗨购节再刷行业直播带货纪录,发布易
277,2021-09-29,中联重科沅江搅拌车智能制造工业园投产，年产值达100亿,我的钢铁
278,2021-09-28,年内市值已缩水2000亿，三一重工要切农机蛋糕：我们只是增加一项主营,时代财经
279,2021-09-28,机械设备行业周报：绿电交易利好发电侧储能放量 看好调整较多的锂电、光伏异质结、储能设备,新浪
280,2021-09-27,中联重科：公司土方、高机、农机等新业务订单饱满，排产处于满负荷状态,我的钢铁
281,2021-09-27,民生机械周报：挖机销量增速仍位于底部区间 静待专项债支撑效应Q4显现,新浪
282,2021-09-27,机械设备行业研究周报：懒人经济下科技创新 扫地机器人长期逻辑坚定,新浪
283,2021-09-27,机械设备行业周报：机器换人不断加速 工业机器人稳定增长,新浪
284,2021-09-27,【太平洋机械】机械行业周报20210926：机床行业需求火爆，相关标的有望快速增长,太平洋机械大讲堂
285,2021-09-26,机械设备行业周报：建议加大配置高景气的锂电设备赛道以及Q3环比改善个股,新浪
286,2021-09-26,年产值可达100亿！中联重科沅江搅拌车灯塔工厂起航,发布易
287,2021-09-26,重磅：中联重科百亿级搅拌车沅江智能制造产业园正式投产！,凤凰网
288,2021-09-26,开启混凝土装备智造新时代 中联沅江搅拌车智能制造工业园投产,中国商品混凝土网
289,2021-09-26,中联重科：公司近期暂无股权市场再融资相关计划,每日经济新闻
290,2021-09-26,中联重科：三季度是工程机械行业传统淡季，公司根据订单情况科学排产，总体产能利用率较高,每日经济新闻
