,2021-12-31,A股年度“涨停王”出炉，四成交易日均封板,Wind
24,2021-12-24,融资客青睐14股，三旺通信买入占比高达56.58%,Wind
25,2021-12-24,A股融资融券日报：两融余额增加19.59亿元（12月23日）,Wind
26,2021-12-23,中国稀土集团正式成立，五矿稀土股价年内大涨234.57%,21世纪经济报道
27,2021-12-23,北方稀土(600111.SH)选举章智强为董事长,智通财经
28,2021-12-23,A股午盘综述：电力股火了、光伏股强劲复苏，大唐发电太阳能等纷纷上板,Wind
29,2021-12-23,稀土新央企成立 相关资产重组合并安排已明确,经济观察报
30,2021-12-23,请问公司是否有参与北方稀土与中国稀土的合作协议？英洛华：公司未参与相关合作,每日经济新闻
31,2021-12-23,上证指数高开0.08%，创业板指涨0.33%,Wind
32,2021-12-23,融资客青睐4股，航亚科技买入占比高达45.01%,Wind
33,2021-12-23,A股融资融券日报：两融余额增加24.04亿元（12月22日）,Wind
34,2021-12-23,万亿赛道沸腾！2大巨头资产战略重组，影响多大？,Wind
35,2021-12-23,中信证券：稀土永磁行业进入高质量发展新时代,Wind
36,2021-12-23,期市投资参考：国内稀土行业整合加速，伦敦金属多数上涨,Wind
37,2021-12-23,港股盘前必读：海底捞迎来第二波闭店潮,Wind
38,2021-12-23,“稀土航母”即将面世，高增长概念股名单出炉,Wind
39,2021-12-23,国内稀土行业整合加速，央企级新公司将主导重组,Wind
40,2021-12-23,又一超级“巨无霸”来了！影响万亿级板块,Wind
41,2021-12-22,稀土“三合一”重组获批，产业南北双雄格局形成,21世纪经济报道
42,2021-12-22,A股融资融券日报：两融余额减少7.19亿元（12月21日）,Wind
43,2021-12-22,周二主力资金抢筹名单出炉，尾盘资金加仓元宇宙龙头,Wind
44,2021-12-22,【东北有色曾智勤】新能源金属2022年策略报告：新能源需求驱动，稀土锂钴将维持高景气度,东北证券研究所
45,2021-12-21,A股资金流向：低价逻辑继续升温,Wind
46,2021-12-21,A股收盘综述：40余只地产股涨停，市场资金蜂拥而入！热门妖股批量砸跌停,Wind
47,2021-12-21,包钢股份：六大稀土集团的稀土精矿作为稀土原料均不在公开市场销,Wind
48,2021-12-21,包钢股份：稀土精矿定价事宜非关联董事一共有八名,Wind
49,2021-12-21,A股融资融券日报：两融余额减少40.23亿元（12月20日）,Wind
50,2021-12-20,北方稀土与中国稀土控股签署协议：利用海外资本平台盘活资产、提升产业集合度,21世纪经济报道
51,2021-12-20,北方稀土：目前与中国稀土并未涉及具体业务｜公司问答,第一财经
52,2021-12-20,大手牵小手 北方稀土签约中国稀土共拓产业链条｜资讯焦点,第一财经
53,2021-12-20,每日财报|北方稀土牵手中国稀土 美盛文化存在控股股东非经营性资金占用,每日财报
54,2021-12-20,北方稀土：世界首家镨钕产量破吨企业,长江有色
55,2021-12-20,解盘：题材股分化，肺炎检测、生物育种、稀土、乳业略涨,Wind
56,2021-12-20,港股异动︱中国稀土(00769)高开逾9% 与北方稀土(600111.SH)订立战略合作框架协议 拟在稀土贸易、稀土深加工等方面展开合作,智通财经
57,2021-12-20,稀土永磁概念股异动拉升，立中集团涨超10%,Wind
58,2021-12-20,北方稀土牵手中国稀土控股 稀土专业化整合深入实施,金融界
59,2021-12-20,港股开盘(12.20)︱恒指跌0.49% 光正教育(06068)复牌低开逾47% 盈转亏 年度股东应占亏损21.2亿元 亏损,智通财经
60,2021-12-20,【机会挖掘】稀土专业化整合将深入实施 行业正迎来估值体系重构,证券时报网
61,2021-12-20,A股融资融券日报：两融余额减少80.19亿元（12月17日）,Wind
62,2021-12-20,A股早报2021年12月20日星期一,Wind
63,2021-12-20,国资委：稀土等专业化整合深入实施…重要消息还有这些,证券时报
64,2021-12-19,下周操盘攻略：蓝筹节奏生变、史上最贵新股上市,Wind
65,2021-12-19,12月19日晚间上市公司十大重磅公告,搜狐
66,2021-12-19,中国稀土(00769)与北方稀土(600111.SH)订立战略合作框架协议 拟在稀土贸易、稀土深加工等方面展开合作,智通财经
67,2021-12-19,中国稀土：与中国北方稀土订立战略合作框架协议,Wind
68,2021-12-19,晚间重要公告2021年12月19日星期日,Wind
69,2021-12-19,大手牵小手 北方稀土签约中国稀土共拓产业链条,e公司
70,2021-12-19,北方稀土：与中国稀土签署《战略合作框架协议》,Wind
71,2021-12-17,北方稀土：包钢（集团）公司解除质押5300万股,每日经济新闻
72,2021-12-17,北方稀土(600111.SH)：包钢(集团)公司解质及再质押5300万股,格隆汇
73,2021-12-17,北方稀土(600111.SH)控股股东解押并再质押5300万股,智通财经
74,2021-12-17,A股资金流向：成长、权重双双熄火，低价股抱团逻辑仍在演绎,Wind
75,2021-12-17,A股融资融券日报：两融余额增加5.56亿元（12月16日）,Wind
76,2021-12-17,净买入超820亿元，北上资金单月流入金额又创新高,Wind
77,2021-12-16,每日理财观察: 中国11月宏观经济数据出炉,Wind
78,2021-12-16,A股融资融券日报：两融余额增加10.27亿元（12月15日）,Wind
79,2021-12-15,数据复盘｜主力资金撤离北方稀土、药明康德等股 北向资金连续11日净流入,证券时报网
80,2021-12-15,53股主力资金净流入超亿元,证券时报网
81,2021-12-15,A股资金流向：资金延续高切低模式，医药龙头遭大幅抛售,Wind
82,2021-12-15,东北证劵：稀土年未供需矛盾或加剧,Wind
83,2021-12-15,融资客青睐7股，厦门空港买入占比高达53.32%,Wind
84,2021-12-15,A股融资融券日报：两融余额增加9.31亿元（12月14日）,Wind
85,2021-12-15,每日理财观察：四季度险资打新热情高涨,Wind
86,2021-12-14,30股主力资金净流入超亿元,证券时报网
87,2021-12-14,金融街下午茶2021年12月14日星期二,Wind
88,2021-12-14,12月以来稀土产品挂牌价格整体上调，但升势有所减弱,长江有色
89,2021-12-14,A股主力资金流向：净流出额创一个半月新高，新能源、周期股集体遭抛售,Wind
90,2021-12-14,A股收盘综述：元宇宙再现涨停潮，白酒、电力、数字货币逆市上扬,Wind
91,2021-12-14,包钢股份：稀土精矿品位50-58%,Wind
92,2021-12-14,北方稀土：业绩暴增再迎重磅利好，行业整合加速价值须重估,览富财经
93,2021-12-14,内蒙古推动“稀交所”升级国家级交易所，巨头大幅上调挂牌价，机构高度关注度曝光（附股）,证券时报网
94,2021-12-13,传统蓝筹“王者归来”，市场风格切换在即？,Wind
95,2021-12-13,板块异动丨北方稀土挂牌价大幅上调 稀土永磁板块再度上扬,智通财经
96,2021-12-13,北方稀土再次提价 产业链高景气度得到印证,证券之星
97,2021-12-10,A股融资融券日报：两融余额增加7.33亿元（12月9日）,Wind
98,2021-12-10,历史次高！ 北向资金单日净买入216亿元，人民币升值或是主要推手,Wind
99,2021-12-09,A股融资融券日报：两融余额增加42.4亿元（12月8日）,Wind
100,2021-12-09,A股突然启动上涨，茅台收复2000元，人民币连创新高！,Wind
101,2021-12-08,北向资金12月净流入超300亿，赛道切换剑指何处？,Wind
102,2021-12-08,"北方稀土现1笔大宗交易 共成交1,750.00万元",新浪
103,2021-12-08,北方稀土今日大宗交易成交35万股，成交价50.0元折价4.71%,Wind
104,2021-12-08,A股融资融券日报：两融余额减少43.44亿元（12月7日）,Wind
105,2021-12-08,降准落地，A股仍涨不动？这一顶级赛道却吵翻了,Wind
106,2021-12-08,中国“重型”稀土航母呼之欲出，南北产业“双雄格局”加速形成,Wind
107,2021-12-07,中国稀土集团有望年内挂牌！稀土价格指数创年内新高，四季度或继续涨价,21世纪经济报道
108,2021-12-07,北方稀土(600111.SH)：董事长李金玲离任 董监高成员变化,智通财经
109,2021-12-07,北方稀土：因工作调整，李金玲不再担任公司董事、董事长职务 董监高成员变化,Wind
110,2021-12-07,安泰科技：公司目前稀土永磁制品产能5500吨,Wind
111,2021-12-07,融资客青睐8股，雷柏科技买入占比高达38.52%,Wind
112,2021-12-07,A股融资融券日报：两融余额减少24.72亿元（12月6日）,Wind
113,2021-12-07,中国稀土巨无霸要来了,Wind
114,2021-12-07,有色金属：稀土：价格继续上涨 磁材维持高景气,新浪
115,2021-12-06,北方稀土现1笔大宗交易 共成交999.88万元,新浪
116,2021-12-06,大宗交易揭秘：白马股筹码松动，6股获超溢价买入,Wind
117,2021-12-06,A股资金流向：新能源再遭集中抛售，大金融成“避风港”,Wind
118,2021-12-06,包钢股份：公司对北方稀土销售稀土精矿，公司没有稀土氧化物生产,每日经济新闻
119,2021-12-06,新材料&金属材料行业周报：降准利好材料需求进一步复苏,新浪
120,2021-12-06,2021年基金，买了个“寂寞”,Wind
121,2021-12-06,北方稀土：目前没有重组计划,每日经济新闻
122,2021-12-06,北方稀土：公司镨钕类产品产销处于紧平衡状态,每日经济新闻
123,2021-12-06,北方稀土：镧铈元素已在抛光粉等多个产业中加以应用，但价格相对较低,每日经济新闻
124,2021-12-06,北方稀土：稀土氧化物中镨钕元素配分约占20%左右，镧铈元素配分约占75%左右,Wind
125,2021-12-06,A股融资融券日报：两融余额减少18.05亿元（12月3日）,Wind
126,2021-12-06,12月3日A股融资买入额824.32亿元，北方稀土（600111.SH）居首,智通财经
127,2021-12-04,Wind风控日报2021年12月4日星期六,Wind
128,2021-12-03,稀土行业半月谈(11月下)-稀土政策渐行渐近 板块或迎跨年行情,新浪
129,2021-12-03,“十四五”规划印发：碳排放降18%，落后产能加速淘汰！,Wind
130,2021-12-03,北方稀土：股东嘉鑫有限拟减持不超2300万股公司股份 拟减持股份,发布易
131,2021-12-03,北向资金今日净买入超92亿元本周累计加仓超150亿，大幅抢筹芯片股,Wind
132,2021-12-03,12月3日主力资金净流出49亿元,证券时报网
133,2021-12-03,北方稀土：嘉鑫有限公司计划减持不超过2300万股 拟减持股份,每日经济新闻
134,2021-12-03,北方稀土：第二大股东拟减持不超0.63%公司股份 拟减持股份,财联社
135,2021-12-03,北方稀土：大股东嘉鑫有限公司拟减持不超过2300万股 拟减持股份,Wind
136,2021-12-03,A股资金流向：权重发力助推沪指，短线情绪退潮,Wind
137,2021-12-03,银河证券：多空消息交织，选定有色三条“好赛道”,财联社
138,2021-12-03,北向资金净买入逾30亿元，增持银行、医疗服务板块，最青睐这只锂电龙头股（名单）,21经济网
139,2021-12-03,A股融资融券日报：两融余额减少72.45亿元（12月2日）,Wind
140,2021-12-03,A股早报2021年12月3日星期五,Wind
141,2021-12-03,稀土磁性材料产业链、供应链协调发展研讨会在包头召开,中国有色
142,2021-12-03,北方稀土12月2日现8笔大宗交易,证券时报网
143,2021-12-02,A股共发生160宗大宗交易成交31.48亿元（12月2日）,Wind
144,2021-12-02,北向资金净买入逾30亿元，宁德时代获加仓超8亿元,第一财经
145,2021-12-02,"北方稀土现8笔大宗交易 共成交41,915.00万元",新浪
146,2021-12-02,北向资金今日净买入30.21亿元，宁德时代连续6日净买入累计加仓超24亿,Wind
147,2021-12-02,北方稀土今日大宗交易成交830万股，成交价50.5元折价9.25%,Wind
148,2021-12-02,A股收盘综述：大基建跃跃欲试，稀土午后崛起，元宇宙深度回调,Wind
149,2021-12-02,稀土永磁指数午后急拉，五矿稀土涨停,Wind
150,2021-12-02,稀土板块低位反弹，五矿稀土放量上涨,Wind
151,2021-12-02,A股融资融券日报：两融余额增加5.37亿元（12月1日）,Wind
152,2021-12-01,有色行业12月投资策略：有色板块企稳反弹 新能源金属供需矛盾加剧,新浪
153,2021-12-01,北方稀土召开1至10月份经营活动分析会,中国有色
154,2021-12-01,A股融资融券日报：两融余额增加15.02亿元（11月30日）,Wind
155,2021-12-01,每日理财观察：11月制造业PMI重回扩张区间,Wind
156,2021-11-30,中泰证券12 月各行业观点及重点推荐标的,新浪
157,2021-11-30,金融街下午茶2021年11月30日星期二,Wind
158,2021-11-30,A股资金流向：新能源分歧加大，外资尾盘被动配置加剧波动,Wind
159,2021-11-30,A股融资融券日报：两融余额增加18.95亿元（11月29日）,Wind
160,2021-11-29,内蒙古区域股市周报：北方稀土市值增长最多 包钢股份股价涨20.63%排第一,每日经济新闻
161,2021-11-29,金融市场流动性与监管动态周报：内外资继续加仓新能源 变异毒株引外围波动,新浪
162,2021-11-29,钕铁硼爆发，稀土终于炒到了产业中游,36氪
163,2021-11-29,北方稀土(600111.SH)第二大股东嘉鑫有限完成减持1770万股 减持股份,智通财经
164,2021-11-29,北方稀土(600111.SH)：减持期届满 第二大股东累计减持1770万股 减持股份,格隆汇
165,2021-11-29,北方稀土：二股东累计减持0.49%股份，减持计划届满 拟减持股份,Wind
166,2021-11-29,包钢股份(600010)：稀土矿业巨头迎来价值重估,新浪
167,2021-11-29,11月26日A股融资买入额807.52亿元，北方稀土（600111.SH）居首,智通财经
168,2021-11-29,A股融资融券日报：两融余额减少44.66亿元（11月26日）,Wind
169,2021-11-29,小微基金“异动”频现，短期博弈需擦亮眼,Wind
170,2021-11-29,北向资金大幅加仓白酒股，本周限售股解禁市值约523.57亿元,Wind
171,2021-11-26,一周主力资金丨有色金属行业获青睐 北方稀土获加仓超30亿元,第一财经
172,2021-11-26,陆股通净卖出44.89亿元（附名单）,证券时报网
173,2021-11-26,北方稀土现7笔大宗交易 总成交金额4482.05万元,证券时报网
174,2021-11-26,数据复盘｜主力资金加仓有色金属股、钢铁股 龙虎榜机构抢筹17股,证券时报网
175,2021-11-26,"北方稀土现7笔大宗交易 共成交4,482.05万元",新浪
176,2021-11-26,北向资金净卖出近45亿结束连续5日净买入，招商银行净卖出超6亿元,Wind
177,2021-11-26,北方稀土今日大宗交易成交87.03万股，成交价51.5元折价8.78%,Wind
178,2021-11-26,A股资金流向：沪指“以缺补缺”，权重低迷题材脉冲回落,Wind
179,2021-11-26,稀土板块发动“冬季攻势”、本周收获20CM大涨，机构直指四大利好,Wind
180,2021-11-26,北方稀土：公司的贮氢材料主要应用于镍氢电池的生产,每日经济新闻
181,2021-11-26,稀土板块大涨，稀土ETF涨超4%,Wind
182,2021-11-26,A股融资融券日报：两融余额增加16.32亿元（11月25日）,Wind
183,2021-11-26,11月25日A股融资买入额834.88亿元，北方稀土（600111.SH）居首,智通财经
184,2021-11-26,北向资金连续5日净买入，增持电池板块近10亿元，狂买这些龙头股！（名单）,21世纪经济报道
185,2021-11-26,北向资金动向盘点：打一枪换一个地方,Wind
186,2021-11-26,热点快速轮动，资金分歧明显,Wind
187,2021-11-26,陆家嘴财经早餐2021年11月26日星期五,Wind
188,2021-11-25,行业动态|稀土永磁需求放量厂商订单饱满 相关上市公司掀扩产潮,财联社
189,2021-11-25,北向资金今日净买入近12亿元，伊利股份连续两日净卖出居首,第一财经
190,2021-11-25,北方稀土：股东包钢（集团）减持4578万股公司股份 减持股份,每日经济新闻
191,2021-11-25,两大事件聚集，基本金属再次开启反弹的金钥匙？,Wind
192,2021-11-25,北上资金今日净买入贵州茅台3.37亿元、赣锋锂业2.81亿元，净卖出伊利股份4.36亿元、北方稀土3.05亿元。,财联社
193,2021-11-25,北向资金连续5日净买入成交额创5个月新低，再度净买入贵州茅台超3亿元,Wind
194,2021-11-25,北方稀土：控股股东累计减持1.26%股份，减持数量过半,Wind
195,2021-11-25,稀土板块尾盘回落，包钢股份跌超2%,Wind
196,2021-11-25,北上资金11月24日净买入23.7亿元，贵州茅台（600519.SH）成交额居首,智通财经
197,2021-11-25,北方稀土VS包钢股份~别听人忽悠，从财务数据看这两个企业很一般,深水财经社
198,2021-11-25,宁德时代、北方稀土等14股获融资净买入超亿元,证券时报网
199,2021-11-25,北向资金动向盘点：贵州茅台、宁德时代“分道扬镳”,Wind
200,2021-11-25,“喝酒行情”再现，北向资金近38亿增持酿酒板块，大幅抛售这只食品饮料股（名单）,21世纪经济报道
201,2021-11-25,A股融资融券日报：两融余额增加23.98亿元（11月24日）,Wind
202,2021-11-25,A股早报2021年11月25日星期四,Wind
203,2021-11-25,北方稀土11月24日现7笔大宗交易,证券时报网
204,2021-11-24,每日点评第170期：两市午后冲高后再回落 关注稀土板块中长期机会,新浪
205,2021-11-24,陆股通净买入23.70亿元，连续4日净买入,证券时报网
206,2021-11-24,板块狂欢！电机利好政策释放，龙头股价创近6年新高，北向资金加仓这些股（附股）,微信
207,2021-11-24,"北方稀土现7笔大宗交易 共成交24,000.00万元",新浪
208,2021-11-24,北向资金连续4日净买入累计加仓超170亿，批量扫货白酒股,Wind
209,2021-11-24,透视大宗交易：11月24日共成交212笔，北方稀土成交2.4亿元,每经网
210,2021-11-24,北方稀土今日大宗交易成交480万股，成交价50.0元折价7.75%,Wind
211,2021-11-24,北方稀土VS天齐锂业～别以为天齐有多强，数据说话,深水财经社
212,2021-11-24,A股资金流向：白酒承接新能源溢出资金，题材股炒作再升温,Wind
213,2021-11-24,主力动向｜48亿主力资金围猎北方稀土！,上游新闻
214,2021-11-24,多因素提振，稀土板块再度活跃，正海磁材“20cm”涨停,证券时报网
215,2021-11-24,解盘：题材股活跃，光模块、稀土永磁、白酒、5G领涨,Wind
216,2021-11-24,金属、非金属与采矿行业：迎接磁材放量大时代 政策助推进入加速赛道,新浪
217,2021-11-24,有色金属行业：新能源汽车景气度向好 关注稀土和铜板块,新浪
218,2021-11-24,稀土ETF涨超4%，领涨全市场ETF,Wind
219,2021-11-24,稀土板块走强 北方稀土涨逾5%,中证网
220,2021-11-24,A股融资融券日报：两融余额增加25.03亿元（11月23日）,Wind
221,2021-11-24,东北证券：供需矛盾加剧，稀土价格上涨动力充足,Wind
222,2021-11-23,有色金属行业：稀土永磁需求新的增长极：工业电机对磁材需求拉动几何？,新浪
223,2021-11-23,北方稀土现1笔大宗交易 共成交466.50万元,新浪
224,2021-11-23,北方稀土今日大宗交易成交9.33万股，成交价50.0元折价1.15%,Wind
225,2021-11-23,稀土行业半月谈：稀土永磁需求迎新爆点 稀土价格或维持强势,新浪
226,2021-11-23,北方稀土回吐今日涨幅，成交额超100亿元,Wind
227,2021-11-23,融资客单日加仓超百亿，买了什么？,Wind
228,2021-11-23,A股融资融券日报：两融余额增加111.29亿元（11月22日）,Wind
229,2021-11-23,11月22日A股融资买入额997.41亿元，隆基股份（601012.SH）居首,智通财经
230,2021-11-23,A股早报2021年11月23日星期二,Wind
231,2021-11-23,每日理财观察：央行按兵不动！LPR连续19个月维持不变,Wind
232,2021-11-23,中信证券：供需、政策或将共振，稀土产业链方兴未艾,Wind
233,2021-11-23,政策利好来了，万亿规模赛道起风，节能电机概念股曝光,Wind
234,2021-11-23,中国北方稀土（集团）高科技股份有,中证报
235,2021-11-22,辅助生殖站上风口，底部放量的低估值股来了,Wind
236,2021-11-22,包钢集团食言巨额增持被通报批评 其他违规处罚,中新经纬
237,2021-11-22,金融街下午茶2021年11月22日星期一,Wind
238,2021-11-22,北方稀土(600111.SH)完成发行12亿元中期票据,智通财经
239,2021-11-22,A股资金流向：赛道股爆发重回主线，风格切换苗头显露,Wind
240,2021-11-22,有色金属行业动态报告：工信部对锂电规范征求意见 政策关注下锂镍将持续受益,新浪
241,2021-11-22,中国银河维持有色金属行业推荐评级：业绩继续高增长但增速回落，结构性行情或成Q4主流,每日经济新闻
242,2021-11-22,A股融资融券日报：两融余额减少11.76亿元（11月19日）,Wind
243,2021-11-21,央行货币执行及表述变化对A股意味着什么,招商策略研究
244,2021-11-19,A股融资融券日报：两融余额减少3.0亿元（11月18日）,Wind
245,2021-11-18,北向资金今日净卖出44.53亿元，传统核心资产集体遭抛售,Wind
246,2021-11-18,北方稀土：稀土铈元素已在公司抛光粉、催化剂等多个产业中加以应用,每日经济新闻
247,2021-11-18,北方稀土：稀土元素镧铈在白云鄂博稀土矿的配分中占比较高，且因镧铈产品市场供大于求的现状价格长期处于低位运行,每日经济新闻
248,2021-11-18,A股融资融券日报：两融余额增加35.43亿元（11月17日）,Wind
249,2021-11-18,A股早报2021年11月18日星期四,Wind
250,2021-11-18,每日理财观察：央行进一步规范和加强中央银行存款账户管理,Wind
251,2021-11-17,中国短期融资券及中期票据信用分析周报,新浪
252,2021-11-17,A股资金流向：赛道股集体反弹，资金抢筹新能源龙头,Wind
253,2021-11-17,“奔跑”的稀土｜海内外稀土资源双布局，盛和资源股价为何“过山车”？,财华社
254,2021-11-17,A股融资融券日报：两融余额减少48.12亿元（11月16日）,Wind
255,2021-11-17,风格转向？200亿元资金净流出，新能源又遭跷跷板,Wind
256,2021-11-16,“工业维生素”供需逻辑重构，价格突破10年来新高，四季度磁材厂订单充足,财联社
257,2021-11-16,A股资金流向：新能源连跌资金持续流出，大消费力扛指数,Wind
258,2021-11-16,A股融资融券日报：两融余额减少2.07亿元（11月15日）,Wind
259,2021-11-16,每日理财观察: 北交所首批81家上市公司正式亮相,Wind
260,2021-11-15,金融街下午茶2021年11月15日星期一,Wind
261,2021-11-15,A股资金流向：新能源遭资金集中抛售,Wind
262,2021-11-15,11月12日A股融资买入额829亿元，北方稀土（600111.SH）居首,智通财经
263,2021-11-15,A股融资融券日报：两融余额减少22.02亿元（11月12日）,Wind
264,2021-11-12,北向资金今日净流入36亿元 宁德时代获加仓8.3亿元,第一财经
265,2021-11-12,北向资金再度加仓超36亿，东方财富本周净买入近28亿,Wind
266,2021-11-12,板块异动 | 南北两大稀土巨头同时提价 稀土永磁板块持续拉升,智通财经
267,2021-11-12,A股融资融券日报：两融余额增加26.26亿元（11月11日）,Wind
268,2021-11-11,A股资金流向：权重与题材共振上扬,Wind
269,2021-11-11,A股融资融券日报：两融余额增加15.9亿元（11月10日）,Wind
270,2021-11-10,拍卖再度触及报警价，这类稀缺资源报价已突破10年新高,上证报
271,2021-11-10,风格切换下A股资金去了哪里？,Wind
272,2021-11-10,有色金属行业专题研究：板块业绩兑现有力 结构性行情将持续演绎,新浪
273,2021-11-10,下游需求强劲 推动稀土价格接近历史高位,经济观察报
274,2021-11-10,北方稀土：公司正在积极推进永磁电机业务的发展,每日经济新闻
275,2021-11-10,北方稀土：包头稀土产品交易所挂牌交易市场板块提供竞价交易模式,每日经济新闻
276,2021-11-10,北方稀土：公司出口收入占比较低，未来将加大研发力度，推动稀土产业向下游高端高附加值领域延伸发展,每日经济新闻
277,2021-11-10,北方稀土：控股股东包钢集团根据自身经营及相关产业项目运营资金需要，减持公司股份 减持股份,每日经济新闻
278,2021-11-10,北方稀土：公司主要产品定价执行月度挂牌政策，每月上旬公布,每日经济新闻
279,2021-11-10,北方稀土：公司尚未收到包钢股份提高供应价格的通知,Wind
280,2021-11-10,北方稀土：公司各子公司均建有环保设施，对各自企业产生的废水、废气处理达标后排放或资源化回用,每日经济新闻
281,2021-11-10,北方稀土：公司下属分子公司根据各自生产经营实际制定检修计划,每日经济新闻
282,2021-11-10,北方稀土：公司尚未收到包钢股份提高供应价格的通知,每日经济新闻
283,2021-11-10,北方稀土：控股股东包钢集团拥有白云鄂博矿的独家开采权，该矿稀土资源储量丰富,Wind
284,2021-11-10,北方稀土：公司目前尚无提炼钍资源的计划,Wind
285,2021-11-10,A股融资融券日报：两融余额增加23.63亿元（11月9日）,Wind
286,2021-11-09,中国银河维持有色金属行业推荐评级：旺季中新能源汽车产业链成有色金属行业最大亮点,每日经济新闻
287,2021-11-09,北向资金成交低迷连续3日净卖出，中国平安遭大幅净卖出超10亿元,Wind
288,2021-11-09,稀土氧化物价格上下波动多少才会重新议价？包钢股份：按照惯例，公司与北方稀土季度末议价,每日经济新闻
289,2021-11-09,A股早报2021年11月9日星期二,Wind
290,2021-11-09,A股融资融券日报：两融余额增加39.23亿元（11月8日）,Wind
291,2021-11-09,每日理财观察：央行推出碳减排支持工具，期限1年利率1.75%,Wind
292,2021-11-08,最全！2021年中国稀土产业上市公司市场竞争格局分析 三大方面进行全方位对比,前瞻研究院
293,2021-11-08,A股资金流向：机构青睐新能源，游资炒作元宇宙,Wind
294,2021-11-08,A股收盘综述：锂电池王者归来，天齐锂业上板并获主力净流入27亿元,Wind
295,2021-11-08,稀土价格重返历史高位 北方稀土涨超8%,财华社
296,2021-11-08,解盘：大盘转暖，锂电、航空、稀土、环保、游戏领涨,Wind
297,2021-11-08,A股午盘综述：锂电池板块再度崛起，稀土、环保、航运、元宇宙炒作积极,Wind
298,2021-11-08,包钢股份冲击涨停、北方稀土涨超6%，稀土板块回暖,Wind
299,2021-11-08,A股融资融券日报：两融余额减少121.85亿元（11月5日）,Wind
300,2021-11-06,稀土价格再次上涨，行业竞争格局有望重塑,国元证券订阅号
301,2021-11-05,“奔跑”的稀土｜龙头崛起，北方稀土厚积薄发？,财华社
302,2021-11-05,A股融资融券日报：两融余额增加33.85亿元（11月4日）,Wind
303,2021-11-05,2021年稀土磁性材料发展与应用研讨会召开,中国有色
304,2021-11-04,北方稀土现1笔大宗交易 共成交999.98万元,新浪
305,2021-11-04,北向资金稳步加仓连续6日净买入，新能源、大消费集体获抢筹,Wind
306,2021-11-04,赣锋锂业、北方稀土等8股获融资净买入超亿元,证券时报网
307,2021-11-04,A股融资融券日报：两融余额减少44.29亿元（11月3日）,Wind
308,2021-11-04,稀土价格站上历史高位，产业链上下游公司积极应对,Wind
309,2021-11-04,稀土价格站上历史高位 产业链上下游公司积极应对,证券日报
310,2021-11-03,公募基金持股市值创新高，社保显著加仓周期股（附表）,Wind
311,2021-11-03,A股收盘综述：“光伏茅”放量迫近跌停恫吓热门赛道，煤炭、地产、防疫板块逆市上扬,Wind
312,2021-11-03,【行情】A股稀土永磁板块异动拉升，华宏科技、五矿稀土、广晟有色、盛和资源、北方稀土等集体冲高,金十数据
313,2021-11-03,内蒙古区域股市周报：总市值全国排名反超山西 1亿融资买入内蒙华电,每日经济新闻
314,2021-11-03,A股融资融券日报：两融余额减少75.11亿元（11月2日）,Wind
315,2021-11-03,有色行业报告：Q3有色延续涨势 工业金属、新能源及小金属投资机会仍存,新浪
316,2021-11-02,北向资金连续4日净买入累计扫货近150亿，新能源龙头股集体获抢筹,Wind
317,2021-11-02,供给端管控加强！三季报高增长稀土概念股名单出炉,Wind
