,2021-12-31,2021协同办公市场规模超500亿，为何大型政企更偏爱“收费”的360织语？,Ofweek
120,2021-11-05,除了华天科技，国家大基金二期还买了什么？,Wind
121,2021-11-05,北方华创：大基金参与是对公司的认可丨公司问答,第一财经
122,2021-11-05,11亿参与华天科技定增，大基金二期加快“扫货”步伐,环球老虎财经
123,2021-11-05,电子行业专题研究：3Q持仓分析 北上持续加码半导体,新浪
124,2021-11-05,“国家队”出手！半导体热潮再被引燃，万亿市场迎来十年黄金期,证券之星
125,2021-11-05,美股半导体集体飙涨，A股信号不断，半导体行情如何走,Wind
126,2021-11-05,大基金又有大动作，11亿狂买芯片龙头，四季度半导体还能加仓吗？,第一财经
127,2021-11-05,美股半导体集体飙涨，1.1万亿巨头一度涨超15%,Wind
128,2021-11-05,国家队大基金再出手，11亿狂买芯片龙头！,Wind
129,2021-11-04,436家公司公布最新股东户数,证券时报网
130,2021-11-04,26亿元！大基金定增入股这两家公司！,新浪
131,2021-11-04,北方华创定增85亿大基金加仓15亿 前三季度业绩倍增研发费用率超14%,长江商报
132,2021-11-04,煤炭板块触底反弹，新能源震荡波动,资本邦
133,2021-11-04,电子行业3Q21业绩回顾：上游显着好于下游,新浪
134,2021-11-04,大基金动向曝光：超8成持仓股遭减持、加码芯片龙头,Wind
135,2021-11-04,晶盛机电业绩高增难挡300只基金退出 拟定增新赛道能否打造第二曲线,投资者网
136,2021-11-04,公募激辩“高估值”，“星辰大海”中优选投资标的,Wind
137,2021-11-03,ETF日报：老能源重整旗鼓，新能源暂时熄火,新浪
138,2021-11-03,大基金二期豪掷15亿入股半导体设备龙头，北方华创85亿定增受机构热捧,21世纪经济报道
139,2021-11-03,14家机构“秒赚”23亿，芯片龙头股定增一锤定音,华夏时报
140,2021-11-03,北方华创85亿定增落地：大基金认购15亿元 今年股价上涨约115%,21经济网
141,2021-11-03,智通A股机构动向参考(11.03) | 孕育反弹,智通财经
142,2021-11-03,市界早知道｜广药集团等拟65亿重整康美；恒顺醋业提价,Wind
143,2021-11-03,大基金持仓明细曝光，加码芯片设备龙头，超八成遭遇减持。北交所开市在即，精选层大活跃 减持股份,新浪
144,2021-11-03,390家公司公布最新股东户数,证券时报网
145,2021-11-03,半导体、新能源等高景气赛道“估值过高”质疑之声再起，基金经理怎么看？,Wind
146,2021-11-03,公募砸40亿元参与这家公司定增！高景气赛道估值争论再起，基金经理怎么看？,中证报
147,2021-11-03,公募基金持股市值创新高，社保显著加仓周期股（附表）,Wind
148,2021-11-03,10月新基金发行遇冷，机构热议“布局黄金期来临”丨基金下午茶,证券之星
149,2021-11-03,猪禽概念股走高！元宇宙龙头股四天涨超50%,Wind
150,2021-11-03,北方华创定增结果出炉，国家大基金再次斥资15亿元认购！,环球老虎财经
151,2021-11-03,2000亿半导体龙头再获大基金“加仓”！账面浮盈已超4亿，一期更狂赚10倍,证券时报
152,2021-11-03,北方华创85亿定增落地，“国家队”重磅出手，股价回调迎来上车机会？,第一财经
153,2021-11-03,【电子】北方华创 — 保持高速成长，平台化效果显著,中银证券研究
154,2021-11-03,国内芯片公司利润大增，半导体设备企业的新动态,Ofweek
155,2021-11-03,国家队出手！斥15亿巨资加仓芯片龙头北方华创,证券之星
156,2021-11-03,2000亿芯片龙头再被国家大基金加仓！一期浮盈近10倍,Wind
157,2021-11-03,小K播早报|因缺芯苹果削减iPad产量 大基金重仓北方华创,财联社
158,2021-11-03,国家队15亿高位加仓2000亿芯片龙头！有何深意,Wind
159,2021-11-03,最新筹码集中股名单出炉，23股连续3期集中,Wind
160,2021-11-03,北方华创85亿元定增落地 大基金二期获配15亿元,上证报
161,2021-11-03,上市公司正负面新闻2021年11月3日星期三,Wind
162,2021-11-03,北方华创85亿定增落地 大基金二期认购15亿，已浮盈逾4.6亿,每日经济新闻
163,2021-11-03,"""国家队""重磅出手！15亿加码2000亿芯片龙头",Wind
164,2021-11-03,国家队大基金15亿加仓芯片龙头北方华创,中国基金报
165,2021-11-02,郑重看股：大基金二期认购近15亿 北方华创还有多大向上空间,新浪
166,2021-11-02,2000亿芯片龙头定增揭晓，大基金二期斥资15亿入局，影响有多大？,财联社
167,2021-11-02,北方华创非公开募资总额近85亿，大基金二期认购近15亿,上游新闻
168,2021-11-02,北方华创(002371.SZ)披露定增结果：国家集成电路产业投资基金二期获配15亿元、南方基金、博时基金及国泰君安等均参投,格隆汇
169,2021-11-02,北方华创(002371.SZ)2796.05万股新增股份于11月4日在深交所上市,智通财经
170,2021-11-02,北方华创发布定增情况报告书：大基金二期认购近15亿元,财联社
171,2021-11-02,北方华创披露定增情况报告书：大基金二期认购493.4万股,Wind
172,2021-11-02,策略研究：新股精要-国内半导体清洗设备龙头盛美上海,新浪
173,2021-11-02,解盘：资源股低迷，半导体、食品、IGBT、航母领涨,Wind
174,2021-11-02,半导体板块集体爆发：紫光国微、北方华创涨超5%,格隆汇
175,2021-11-02,【东北电子程雅琪】北方华创（002371）三季报点评：单季度业绩创新高，国产半导体补短板空间巨大,东北证券研究所
176,2021-11-01,国海证券维持北方华创增持评级，三季报点评：2021Q3 业绩超预期，引领国产替代大潮崛起,每日经济新闻
177,2021-11-01,安信证券维持北方华创买入评级：Q3业绩延续高增长，在手订单充足,每日经济新闻
178,2021-11-01,公募三季度全景图绘出， “百亿俱乐部”规模缩水,Wind
179,2021-11-01,华创证券：维持北方华创(002371.SZ)“强推”评级 目标价424.3元,智通财经
180,2021-11-01,公募三季度全景图绘出“百亿俱乐部”规模缩水,Wind
181,2021-10-31,国盛证券维持北方华创买入评级：收入高速增长，设备品类加速扩张,每日经济新闻
182,2021-10-31,北方华创(002371)：设备需求旺盛 业绩高增长,新浪
183,2021-10-30,北方华创：再创新高（附测算）,半导体风向标
184,2021-10-30,北方华创：业绩符合预期，盈利能力大幅改善——公司三季报业绩点评,机械倩影
185,2021-10-29,东吴证券：给予北方华创增持评级,证券之星
186,2021-10-29,东吴证券维持北方华创增持评级：业绩符合市场预期，半导体设备龙头持续受益于行业高景气,每日经济新闻
187,2021-10-29,信达证券维持北方华创买入评级：在手订单饱满，设备龙头稳步成长,每日经济新闻
188,2021-10-29,信达证券：给予北方华创买入评级,证券之星
189,2021-10-29,苏州珂玛材料宣布完成新一轮融资 沃衍资本联合投资,凤凰网
190,2021-10-29,北方华创：公司PECVD设备在光伏、LED领域已实现批量销售,Wind
191,2021-10-29,北方华创：公司PECVD设备在光伏、LED领域已实现批量销售,每日经济新闻
192,2021-10-29,A股最具潜力的高端制造企业，有的在细分行业排全球第一！,搜狐
193,2021-10-29,北方华创前三季净利润大增102% 下游需求旺盛 研发投入“亮眼”,产业经济新闻网
194,2021-10-29,晨会聚焦211029重点关注航天宏图、金禾实业、赛轮轮胎、瑞可达、北方华创、中晶科技、思瑞浦、长电科技、华测检测、广州酒家等,国信研究
195,2021-10-29,北方华创(002371)：Q3业绩创新高 下游市场需求旺盛,新浪
196,2021-10-28,北方华创(002371.SZ)前三季度归母净利润同比增长101.57%至6.58亿元,智通财经
197,2021-10-28,图解北方华创三季报：第三季度单季净利润同比增144.16%,证券之星
198,2021-10-28,北方华创：2021年第三季度净利润约3.48亿元，同比增长144.16%,每日经济新闻
199,2021-10-28,北方华创(002371.SZ)：第三季度扣非净利润升296.69%至3.00亿元,格隆汇
200,2021-10-28,北方华创：第三季度净利同比增长144%,格隆汇
201,2021-10-28,北方华创：第三季度净利3.48亿元 同比增长144%,财联社
202,2021-10-28,北方华创：前三季度净利润同比增长101.57%,Wind
203,2021-10-28,港股盘前必读：中国平安前三季度净利润816.38亿元同比下降20.8%,Wind
204,2021-10-27,基金最新“十大抱团股”名单出炉！,Wind
205,2021-10-27,电子周报：中芯国际积极扶持战略供应商 继续看好设备材料、功率和模拟,新浪
206,2021-10-27,融资客大举加仓的业绩暴增股来了,Wind
207,2021-10-26,北方华创(002371)：3Q21业绩预告超出预期 提高全年盈利预测,新浪
208,2021-10-26,半导体制造系列：先进封装扮演更重要角色,新浪
209,2021-10-26,机械行业周报(2021年10月第3周)：隆基HJT电池效率再破世界纪录；持续力推光伏／风电／锂电设备,新浪
210,2021-10-25,电子行业周报：景气度分化 重点看好半导体(设备/汽车/特种)+汽车电子+新硬件龙头,新浪
211,2021-10-25,电子行业周报：鸿蒙生态蓬勃发展 IOT产业加速,新浪
212,2021-10-24,机械设备行业跟踪周报：持续看好高景气度的光伏半导体设备 建议关注双控影响下景气延续的机床刀具行业,新浪
213,2021-10-22,寻找预期差！半导体持续高景气，35家公司净利增100%,Wind
214,2021-10-22,A股收盘综述：煤炭钢铁板块调整、动力煤连吃三跌停，资金转向芯片和消费股,Wind
215,2021-10-22,中一签亏6000，新股一上市就破发！煤炭又崩了,Wind
216,2021-10-22,A股午盘综述：半导体产业链、地产、家电复苏，煤炭、钢铁板块调整,Wind
217,2021-10-22,国科微前三季净利大增119倍，机构建议四主线关注半导体板块投资机会,第一财经
218,2021-10-20,深度*行业*机械设备行业周报：风光大基地一期约100GW有序开工 建议相关光伏、风电、锂电设备板块,新浪
219,2021-10-20,华亚智能：目前公司向北方华创提供少量的产品供应,每日经济新闻
220,2021-10-20,国家大基金二期投资版图再扩大，已布局13家产业链标的,Wind
221,2021-10-19,深度*行业*半导体行业周报：三季报业绩普遍高增长 台积电表示产能紧张延续至2022全年,新浪
222,2021-10-19,电子行业周报：台积电2021Q3业绩解读及2021Q4展望,国海证券
223,2021-10-19,北方华创跌4.26% 国盛证券高点喊买入,中国经济网
224,2021-10-19,电子行业周报：关注3Q公司业绩预告,新浪
225,2021-10-18,北方华创：公司ALD设备在部分客户已实现销售，部分客户处于工艺验证阶段,每日经济新闻
226,2021-10-18,北方华创：目前公司产能基本满足交付需求，个别零部件供应推迟，导致公司部分产品订单交付有所延后,每日经济新闻
227,2021-10-18,北方华创：公司主要产品为电子工艺装备和电子元器件，是国内主流高端电子工艺装备供应商,每日经济新闻
228,2021-10-18,深度*行业*机械设备行业周报：能源短缺背景下绿电前景广阔 能源结构转型利好锂电、光伏设备,新浪
229,2021-10-18,从盛美股份登陆科创板，看盛美半导体（ACMR.US）真实价值,智通财经
230,2021-10-18,科技硬件周报：半导体景气周期延续,新浪
231,2021-10-18,电子行业周报：关注折叠屏创新、荣耀崛起以及苹果MINILED新品发布,新浪
232,2021-10-18,陆家嘴财经早餐2021年10月18日星期一,Wind
233,2021-10-17,首批“茅”概念业绩出炉，“医药女神”大举加仓中药茅,Wind
234,2021-10-17,电子行业周报：景气度分化 重点看好半导体(设备/汽车/特种)+汽车电子+新硬件龙头,新浪
235,2021-10-17,机械行业周报：第一期风光大基地已开工 持续推荐光伏风电设备,新浪
236,2021-10-17,机械设备行业跟踪周报：持续看好高景气度的光伏设备行业 国产机床龙头业绩持续超预期 建议重点关注,新浪
237,2021-10-15,电子行业2021年四季度投资策略：消费电子环比改善 布局低估值龙头半导体持续关注国产替代,新浪
238,2021-10-15,北方华创前三季度业绩持续高增 超250倍市盈率与股东减持引关注 减持股份,投资者网
239,2021-10-14,市场被荷兰/美国/日本占据，国产半导体设备厂商有机会吗？,Ofweek
240,2021-10-14,新莱应材(300260)：Q3预告大超预期 低估值+成本反转在,新浪
241,2021-10-13,新莱应材(300260)公司动态点评：业绩增长超预期 三大业务引擎齐发力,新浪
242,2021-10-13,北方华创(002371.SZ)：完成发行5亿元超短期融资券,格隆汇
243,2021-10-13,国海证券：维持北方华创(002371.SZ)“增持”评级 Q3业绩超市场预期,智通财经
244,2021-10-13,千亿芯片龙头两天大跌17%，半导体景气度见顶了？,Wind
245,2021-10-12,21硬核投研丨千亿芯片龙头卓胜微两天大跌17%，半导体景气度见顶了？,21世纪经济报道
246,2021-10-12,国海证券：给予北方华创增持评级,证券之星
247,2021-10-12,北向资金成交缩量全天净卖出近14亿元，东方财富遭大幅净卖出6亿元,Wind
248,2021-10-12,电子行业周报：对当前半导体板块投资机会的深度思考,国海证券
249,2021-10-12,新莱应材(300260)：Q3业绩加速增长 持续受益半导体高景气及国产替代趋势,新浪
250,2021-10-11,北方华创(002371)：半导体设备龙头 业绩高增长,新浪
251,2021-10-11,电子行业周报：台股营收透露曙光、先蹲后跳静待佳音,新浪
252,2021-10-11,安信证券：维持北方华创(002371.SZ)“买入”评级 目标价422元,智通财经
253,2021-10-11,22股获券商买入评级，江铃汽车目标涨幅达84.96%,Wind
254,2021-10-11,集成电路制造年会来了！朋友圈已“沸腾”,Wind
255,2021-10-10,复盘半导体这5年,半导体风向标
256,2021-10-10,北方华创：单季度再创新高,半导体风向标
257,2021-10-09,新莱应材(300260)：半导体设备的“卖铲者” 业绩迎高成长,新浪
258,2021-10-09,安信证券维持北方华创买入评级：行业景气高涨，Q3业绩延续高增长,每日经济新闻
259,2021-10-09,电子行业周报：关注美国货币政策影响,新浪
260,2021-10-08,42股获买入评级 最新:冰轮环境,中财网
261,2021-10-08,2021年四季度股票组合,新浪
262,2021-10-08,业绩大增！北方华创85亿定增即将落地,中自网
263,2021-10-08,A股58家公司下周公布三季报，高低切换成主旋律,Wind
264,2021-10-08,业绩救不了股价，市场却仍然看好北方华创,格隆汇
265,2021-10-08,北方华创(002371)：预告符合预期 盈利能力持续提升,新浪
266,2021-10-08,业绩快报丨缺芯潮持续，北方华创预计前三季度净利润增幅约100%,36氪
267,2021-10-08,半导体设备龙头业绩大增却大跌7%，北方华创85亿定增即将落地，机构最高目标价站上460元/股 盈利能力下降,21世纪经济报道
268,2021-10-08,北方华创三季报预增117%，半导体装备及电子元器件需求旺盛,阿尔法工场
269,2021-10-08,策略周报：十月有望迎来开门红,西南证券
270,2021-10-08,电子行业2021年三季报业绩展望：消费电子环比业绩改善 半导体国产替代持续,新浪
271,2021-10-08,前三季净利润增长82.30%-117.21% 北方华创下跌5.17%,证券时报网
272,2021-10-08,北方华创盘中快速下跌,新浪
273,2021-10-08,北方华创(002371)：业绩持续超预期 定增获准加速拓展,国金证券股份有限公司
274,2021-10-08,A股早报2021年10月8日星期五,Wind
275,2021-10-08,北方华创科技集团股份有限公司 2021年前三季度业绩预告,证券时报
276,2021-10-07,10月十大金股,半导体风向标
277,2021-10-07,【华西电子孙远峰团队-持续推荐北方华创】Q3业绩预告高增长，半导体装备元器件需求旺盛,远峰电子
278,2021-10-07,晚间重要公告2021年10月7日星期四,Wind
279,2021-10-07,北方华创：前三季度净利润同比预增82.30%-117.21%,中证网
280,2021-10-07,每经17点丨 恒指收涨3%，创7月29日以来最大单日涨幅；WTI原油期货日内大跌3%；京东方A、北方华创三季报预增,每日经济新闻
281,2021-10-07,北方华创(002371.SZ)第三季度净利润预增100%-180%,格隆汇
282,2021-10-07,北方华创：预计前三季度净利同比增长82.3%-117.21%,Wind
283,2021-10-07,北方华创：前三季度预计净利同比增长82%-117%,财联社
284,2021-10-07,北方华创：前三季度预计净利润同比增长82.3%~117.21%,Wind
285,2021-10-07,北方华创(002371)：持续受益国产替代浪潮 三季度业绩增幅显著,广发证券
286,2021-10-06,大基金持仓|北方华创：半导体设备龙头频遭减持，前景还值得期待？ 减持股份,财华社
287,2021-09-30,电子行业重大事项点评：限电限产政策对电子行业当前影响简析,新浪
288,2021-09-30,深港通十大成交活跃股排名（9月30日）,Wind
289,2021-09-30,电子元器件：半导体景气高涨 8月设备出货金额延续高成长,新浪
290,2021-09-30,北向资金9月净买入超300亿连续12个月加仓A股，批量扫货新能源产业链股,Wind
291,2021-09-30,北向资金动向盘点：连续第四日净买食品饮料,Wind
292,2021-09-28,海通证券：予北方华创(002371.SZ)“优大于市”评级 价值区间363.85-454.81元,智通财经
293,2021-09-27,电子行业每周市场动态追踪：半导体产业自立是长期必然趋势,新浪
294,2021-09-27,电子周观点：创维发布Q72电视 MINILED商用进一步加速,新浪
295,2021-09-27,【机械*周尔双】紧供给持续+国产替代提速，国内头部设备商将显著受益,东吴研究所
296,2021-09-26,电子行业周报：杂音频传、信心受挫；先蹲后跳、静待佳音,新浪
297,2021-09-24,半导体设备行业点评：紧供给持续+国产替代提速 国内头部设备商将显着受益,新浪
298,2021-09-24,23股获券商买入评级，五粮液目标涨幅达93.91%,Wind
299,2021-09-24,北方华创(002371)：披坚执锐广突破 大国重器必将崛起,新浪
300,2021-09-23,北方华创：空间测算（模型拆解）,半导体风向标
301,2021-09-23,深度*行业*机械设备行业周报：宁德时代、蜂巢能源公布新扩产计划 推荐锂电设备板块,新浪
302,2021-09-23,深度*行业*半导体行业周报：全球晶圆厂设备支出预期持续增长 国产先进封装光刻机迎来新进展,新浪
303,2021-09-23,芯片“光刻机第一股”华卓精科成功过会：上半年亏损1874万，严重依赖补助金“输血” 亏损,钛媒体
304,2021-09-23,机构五日抢筹38股 主力资金大量流入,证券之星
305,2021-09-22,电子行业周报：留意消费放缓对物联网影响,新浪
306,2021-09-22,半导体板块拉升 北方华创涨超8%,e公司
307,2021-09-22,【行情】半导体芯片股拉升走强，芯源微涨超10%，北方华创大涨近9%，宏微科技、华峰测控、士兰微、富满电子等涨逾5%,金十数据
308,2021-09-22,北方华创等82股近五日获机构净买入,证券时报网
309,2021-09-18,注册制新股纵览：国力股份：国内电子真空器件领先企业 积极拓展新兴应用领域,新浪
