,2021-12-31,区域性银行数字化转型“样本”：上市城商行发力手机银行，成绩几何？,零壹财经
109,2021-11-24,江苏银行北京上地支行走进社区开展反假货币宣传,中国网
110,2021-11-24,金融报道｜银行股破净率超八成 又一家上市银行折价配股 年内已有3家银行拟配股募资,财经网
111,2021-11-24,基本面与股价缘何背离？银行股明年怎么走？,Wind
112,2021-11-24,银行行业周报：2021年三季度银行业监管指标点评：净息差边际改善 银行间呈现分化格局,新浪
113,2021-11-23,商业银行行业：商业银行业日报,新浪
114,2021-11-22,起底新苏宁易购“破茧”140天：独立发展的三次冲锋,中国经营网
115,2021-11-22,中小银行年末“补血”忙！普通投资者能获取什么信号？,新浪
116,2021-11-22,大唐新能源：完成发行2021年度第十一期超短期融资券,Wind
117,2021-11-21,A股城商行三季报扫描：非息收入大幅提升，“包邮区”业绩全方位碾压,资本邦
118,2021-11-21,商业银行行业2021年三季度货币政策执行报告点评：贷款利率上行 稳信用力度加大,新浪
119,2021-11-21,陆家嘴财经早餐2021年11月21日星期日,Wind
120,2021-11-20,财富管理争抢客源：银行仍居基金代销C位,Wind
121,2021-11-20,"中小银行""补血""急！这家银行折价配股，募资不超过120亿，影响多大？",Wind
122,2021-11-20,"中小银行""补血""急！这家银行折价配股，募资不超过120亿，影响多大？",券商中国
123,2021-11-19,江苏银行:以高质量金融服务助力高水平科技自立自强,金融界
124,2021-11-19,中小银行“补血”热潮：定增、配股、发债轮番上阵，资本承压仍待破解,Wind
125,2021-11-19,江苏银行：绿色金融破解融资难题,中国银行保险报
126,2021-11-19,净值化转型再提速，银行理财轻装上阵启新程,Wind
127,2021-11-18,分析丨去年底以来4家A股银行启动配股融资，对股价有何影响,澎湃新闻
128,2021-11-18,江苏银行(600919.SH)拟每股“苏银优1”派5.2元 11月29日发放股息,智通财经
129,2021-11-18,江苏银行信用卡刘静：区域银行应扭住科技浪潮“牛鼻子”实现信用卡行业快速突围,中国网
130,2021-11-18,江苏银行信用卡刘静：区域银行可抓住互联网发展大潮实现信用卡领域弯道超车,中国网
131,2021-11-17,21金融研究｜中小企业金融服务成绩单： 大行重心转向覆盖“空白地带”，中小银行奋起直追,21世纪经济报道
132,2021-11-17,商业银行行业：商业银行业日报,新浪
133,2021-11-16,银行2022年投资策略报告：分化的大时代 紧握穿越周期的优秀银行,新浪
134,2021-11-13,进出口银行上海分行与江苏银行上海分行签署长三角一体化专项合作协议,中国金融新闻网
135,2021-11-12,【银华基金】交易日报 2021-11-12,新浪
136,2021-11-12,腾讯与江苏银行探索多维模式 推动全面数字化转型,证券日报网
137,2021-11-12,同业存单周报：同业存单发行利率整体上行,新浪
138,2021-11-12,发挥科技赋能创新优势 江苏银行客服体验全新再升级,中金在线
139,2021-11-12,江苏银行与腾讯战略合作 打造金融社交 服务新标杆,中金在线
140,2021-11-12,江苏银行荣获“2021年中国银行业ESG实践天玑奖”,金融界
141,2021-11-12,能源汇与一汽物流合作，打造智慧能源生态体系；伊利与京东合作，打造国家级供应链AI示范平台 | 36氪大公司数字化创新指南1111,36氪
142,2021-11-11,江苏银行与腾讯达成战略合作，推动全面数字化转型,新浪
143,2021-11-11,破净率超8成，“打骨折”的银行股还能翻身吗？,Wind
144,2021-11-11,今世缘：持有江苏银行股份有限公司股份650万股，持有江苏涟水农村商业银行股份有限公司股份939.84万股,每日经济新闻
145,2021-11-11,江苏银行与腾讯集团签署战略合作协议,中金在线
146,2021-11-11,江苏银行北京安定门支行开展“守护您的安全 畅通金融消费”系列活动,北京商报
147,2021-11-11,【银行】10月社融增速企稳，实体融资需求依然偏弱——银行业月报——看好,渤海证券研究
148,2021-11-10,江苏银行北京分行提升网点服务体验 落实各项便民举措,北京商报
149,2021-11-10,徐矿集团与江苏银行能源保供专项贷款合作签约仪式在南京举行,煤炭市场网
150,2021-11-10,【东北银行陈玉卢】行业周报：板块调整，布局良机,东北证券研究所
151,2021-11-10,商业银行行业：商业银行业日报,新浪
152,2021-11-10,江苏地区上市银行经营情况总结：区位优势和差异化赛道孕育出优秀的银行,光大证券
153,2021-11-09,【银华基金】交易日报 2021-11-9,新浪
154,2021-11-09,深深敬老意，浓浓邻里情,北京商报
155,2021-11-09,江苏银行北京上地支行员工社区里传授防诈骗小妙招,千龙网
156,2021-11-09,银行业研究周报：上市城商行三季报点评,新浪
157,2021-11-09,江苏银行践行“金融为民”初心：走街访铺贴近小微金融创新助力科创,奥一网
158,2021-11-09,天风问答系列：银行三问三答,新浪
159,2021-11-08,银行行业周报：社融有望迎来增速拐点 关注银行板块配置价值,新浪
160,2021-11-07,长三角银行继续领跑全国：助力金融一体化，数据共享互通成关键,华夏时报
161,2021-11-07,中小银行积极申请设立理财公司,Wind
162,2021-11-05,江苏银行现2笔大宗交易 总成交金额4366.13万元,证券时报网
163,2021-11-05,江苏银行今日大宗交易成交690.84万股，成交价6.32元溢价0.0%,Wind
164,2021-11-05,"江苏银行现2笔大宗交易 共成交4,366.13万元",新浪
165,2021-11-05,中信证券：银行股估值有空间，配置有价值,Wind
166,2021-11-05,主承销商：徐州徐工汽车制造2020年度第一期资产支持票据通过全部议案,Wind
167,2021-11-04,江苏银行今日大宗交易成交230万股，成交价6.34元溢价0.0%,Wind
168,2021-11-04,银行股近2年经营成绩变化的量化排名,雪球
169,2021-11-04,渤海证券：继续看好银行板块的投资机会,第一财经
170,2021-11-04,A股早报2021年11月4日星期四,Wind
171,2021-11-04,商业银行行业：商业银行业日报(2021.11.3),新浪
172,2021-11-03,江苏银行今日大宗交易成交1901.50万股，成交价6.48元折价0.15%,Wind
173,2021-11-03,上市银行最新业绩一览 9家银行拨备超过400%,新浪
174,2021-11-03,"江苏银行现1笔大宗交易 共成交12,321.72万元",新浪
175,2021-11-03,中银证券维持江苏银行增持评级：业绩增长行业最优,每日经济新闻
176,2021-11-03,银行业：区域位置突出的农商行获基金逆势增持,新浪
177,2021-11-03,江苏银行梅振坤：财富管理多元化竞争局面形成，商业银行应扬己所长,新浪
178,2021-11-03,山西证券维持江苏银行增持评级：利润增速领先，资产质量夯实,每日经济新闻
179,2021-11-03,山西证券：给予江苏银行增持评级,证券之星
180,2021-11-03,江苏银行净利润增幅居首 近八成银行前三季净利润增逾10%,大众证券报
181,2021-11-03,中小银行三季报显示 净利和营收“双升” 资本补充需求旺盛,金融时报
182,2021-11-02,2021年A股上市银行三季报业绩综述：业绩持续高增 优质区域中小行继续领跑,新浪
183,2021-11-02,“银行系”消金整体表现不俗 苏银消金不良率不到0.4%,华夏时报
184,2021-11-02,深度｜上市银行3季报总结: 稳健与分化；息差企稳回升，优质银行持续强【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
185,2021-11-02,"江苏银行现1笔大宗交易 共成交1,179.36万元",新浪
186,2021-11-02,江苏银行今日大宗交易成交182万股，成交价6.48元溢价0.0%,Wind
187,2021-11-02,北向资金连续4日净买入累计扫货近150亿，新能源龙头股集体获抢筹,Wind
188,2021-11-02,方正证券：维持江苏银行(600919.SH)“强烈推荐”评级 业绩表现亮眼 资产质量持续改善,智通财经
189,2021-11-02,中信证券：关注银行业当前盈利表现超预期与板块估值绝对低位带来的配置价值,智通财经
190,2021-11-02,国泰君安晨报,新浪
191,2021-11-02,中信证券：银行行业收入要素继续改善 资产质量总体平稳运行,证券时报网
192,2021-11-02,商业银行行业：商业银行业日报,新浪
193,2021-11-02,江苏银行(600919)：业绩逐季改善 Q3单季利润增速高达42%,广发证券
194,2021-11-01,申港证券维持江苏银行买入评级，2021三季报点评：营收高速增长资产质量改善，合理价格为10.12元,每日经济新闻
195,2021-11-01,机构强烈推荐51只个股-更新中,中财网
196,2021-11-01,上市银行前三季业绩两极分化，中收扛大旗，房地产风险暴露 盈利能力下降,第一财经
197,2021-11-01,江苏银行三季度净利润54亿元同比增长41.85%，资本充足率下滑,中华网
198,2021-11-01,7家A股城商行前三季度净利润增幅超20%，江苏银行领跑,澎湃新闻
199,2021-11-01,优质银行业绩喜人，江苏银行涨超4%，银行指数基金（160517）飘红走高,资本邦
200,2021-11-01,江苏银行三季报业绩增速继续领跑，有望争夺国内城商行老大宝座,深水财经社
201,2021-11-01,图解江苏银行三季报：第三季度单季净利润同比增41.85%,证券之星
202,2021-11-01,A股融资融券日报：两融余额减少52.62亿元（10月29日）,Wind
203,2021-11-01,定增配股双双来袭！银行业三季报收官，股权融资快马加鞭，发生了什么？两大原因,券商中国
204,2021-11-01,江苏银行：业绩表现卓越，息差持续坚挺——2021年三季报深度解析,Banking深度
205,2021-11-01,瞄准时间窗口，上市银行加快股权融资“补血”,Wind
206,2021-11-01,8家上市城商行前三季 营收净利增速均超10%,第一财经
207,2021-11-01,瞄准时间窗口 上市银行加快股权融资“补血”,全景网
208,2021-10-31,8家上市城商行前三季营收净利增速均超10%，四季度银行股估值有望修复,第一财经
209,2021-10-31,【中信建投金融】江苏银行三季报点评：利润增速重回首位，不良双降资产质量夯实,大金融研究
210,2021-10-31,"【浙商】江苏银行:盈利大超预期,资产质量向好",大话金融
211,2021-10-30,详解江苏银行2021年3季报：利润增速行业第一，增长持续性强；高性价比【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
212,2021-10-30,江苏银行3Q21:业绩靓丽，资产质量改善,志明看金融
213,2021-10-30,银行三季成绩单出炉：3/4银行净利润超两位数增长,21世纪经济报道
214,2021-10-30,基金三季度调仓换股全扫描，电力、能源、地产被明显加仓！,Wind
215,2021-10-29,上市银行配股融资，又来了！募资180亿元，27万股东都有份,上证报
216,2021-10-29,江苏银行第三季度净利润同比增逾四成,上证报
217,2021-10-29,公告精选：招商轮船拟收购中外运集运；ST柏龙时任董事长陈伟雄等被终身市场禁入 其他违规处罚,e公司
218,2021-10-29,【晚间公告抢先看】中青宝研发《酿酒大师》预计于明年3月完成、文山电力本次标的建设周期长或造成财务负担,金融界
219,2021-10-29,江苏银行公布三季报 前三季净利增加30.51%,新浪
220,2021-10-29,江苏银行：第三季度净利54.05亿元 同比增41.85%,e公司
221,2021-10-29,苏宁易购：第三季度净亏损41.16亿元，前三季度净亏损75.68亿元 亏损,Wind
222,2021-10-29,江苏银行前三季净利润156.04亿元，同比增长30.51%，不良率降至1.12%,金融界
223,2021-10-29,江苏银行前三季实现净利润156.04亿元 同比增长30.5%,上证报
224,2021-10-29,江苏银行第三季度营收同比增加28.78%至160.57亿元,乐居财经
225,2021-10-29,江苏银行三季度净利润增逾41%，不良率降至1.12%,澎湃新闻
226,2021-10-29,小微、零售双擎驱动，江苏银行三季报业绩高增,金融界
227,2021-10-29,江苏银行前三季净利增长30.5%，非息增长驱动利润贡献多元化,金融界
228,2021-10-29,江苏银行：聘任田作全担任本行证券事务代表,每日经济新闻
229,2021-10-29,江苏银行：2021年第三季度营业收入约160.57亿元，同比增长28.78%,每日经济新闻
230,2021-10-29,前三季度，江苏银行实现净利润156.04亿元，同比增长30.51%,资本邦
231,2021-10-29,江苏银行：前三季度净利润同比增长30.51%,Wind
232,2021-10-28,再收罚单！北京银行业绩增速放缓 城商行“领头羊”何去何从 金融监管处罚,新浪
233,2021-10-28,商业银行行业：仓位继续降低 绩优中小行获逆势增持,新浪
234,2021-10-28,银行行业：景气度预期有望改善 关注板块配置机会,广发证券
235,2021-10-27,"江苏银行现1笔大宗交易 共成交1,324.97万元",新浪
236,2021-10-27,江苏银行今日大宗交易成交212.68万股，成交价6.23元折价1.74%,Wind
237,2021-10-27,江苏区域股市周报：宝色股份涨26.84%涨幅第一 134家机构调研金迪克,每日经济新闻
238,2021-10-26,傅鹏博、赵诣、冯明远、林英睿、赵枫持仓思路各有不同,Wind
239,2021-10-26,银行周报：三季报超预期 看好银行估值修复,新浪
240,2021-10-26,转型方向逐渐明晰，银行理财瞄准新蓝海,Wind
241,2021-10-26,银行行业周报：三季报业绩亮眼 估值修复行情有望持续,新浪
242,2021-10-25,城商行巷战26年：资产总额超40万亿，在大银行夹缝中“抢饭吃”,搜狐
243,2021-10-24,银行布局绿色金融 需解决制度设计和标准化问题,每日经济新闻
244,2021-10-23,江苏银行：以“智”提质，优化语音客服体验,大众证券报
245,2021-10-22,评三季度银行业经营数据发布会：房地产金融稳健发展 关注不良贷款风险,新浪
246,2021-10-22,中关村为北京华素提供8000万元担保 大额借贷担保,乐居财经
247,2021-10-22,无锡华东重型机械股份有限 公司关于重大资产重组实施 完成的公告,证券时报
248,2021-10-21,【银华基金】交易日报 2021-10-21,新浪
249,2021-10-21,"江苏银行现1笔大宗交易 共成交2,991.93万元",新浪
250,2021-10-21,江苏银行今日大宗交易成交543万股，成交价5.51元折价10.84%,Wind
251,2021-10-21,八大券商主题策略：保险行业最差的时点过去了？,中投网
252,2021-10-21,上市银行首批三季报“开门红” 银行板块集体飙涨,第一财经
253,2021-10-20,37只股票被举牌：7成盈利，翻番牛股出栏,Wind
254,2021-10-20,A股早报2021年10月20日星期三,Wind
255,2021-10-20,A股融资融券日报：两融余额增加48.77亿元（10月19日）,Wind
256,2021-10-20,专题｜如何从财报分析上市银行的财富管理？【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
257,2021-10-20,中小银行抱团能“取暖”吗,经济日报
258,2021-10-19,21金融研究｜商业银行资本补充调节，未来货币政策新工具？,21世纪经济报道
259,2021-10-19,A股共发生97宗大宗交易成交26.15亿元（10月19日）,Wind
260,2021-10-19,"江苏银行现1笔大宗交易 共成交22,393.47万元",新浪
261,2021-10-19,江苏银行今日大宗交易成交3751万股，成交价5.97元折价2.45%,Wind
262,2021-10-19,江苏银行董事长夏平：商业银行服务科技创新的实践与思考|金融大时代,新浪
263,2021-10-19,A股融资融券日报：两融余额增加74.53亿元（10月18日）,Wind
264,2021-10-18,19家银行入选系统重要性银行，这些银行正在补充核心资本的路上,环球老虎财经
265,2021-10-18,银行行业研究周报：9月金融数据点评：贷款需求弱+政策强调稳,新浪
266,2021-10-18,首次认定19家全国系统重要性银行，江苏只有江苏银行入选,深水财经社
267,2021-10-17,银行行业周报：社融回升可期 D-SIBS名单发布,新浪
268,2021-10-17,银行行业研究周报：系统重要性银行名单出炉 看好银行三季报表现,新浪
269,2021-10-17,银行行业点评：系统重要性银行名单出炉 资本监管靴子落地,新浪
270,2021-10-16,央行、银保监会重磅发布！我国系统重要性银行名单出炉，有何影响？,Wind
271,2021-10-15,30家参评，19家入选！首批国内系统重要性银行名单出炉,经济观察网
272,2021-10-15,银行业三季报前瞻：基本面继续改善 延续高增长,新浪
273,2021-10-15,央行、银保监会联合发文，系统重要性银行附加监管规定来了,Wind
274,2021-10-15,江苏银行：以“智”提质，优化语音客服体验,金融界
275,2021-10-15,重磅！央行、银保监会发布我国系统重要性银行名单,Wind
276,2021-10-15,A股早报2021年10月15日星期五,Wind
277,2021-10-14,苏宁易购：预计第三季度亏损39亿元-43亿元 预亏,Wind
278,2021-10-14,银行业月报：9月社融同比增速10.0% 实体融资需求偏弱,渤海证券
279,2021-10-14,"江苏银行现1笔大宗交易 共成交32,736.62万元",新浪
280,2021-10-14,江苏银行今日大宗交易成交5558万股，成交价5.89元折价1.83%,Wind
281,2021-10-14,华西股份：前三季度预计同比扭亏,Wind
282,2021-10-14,银行业2021年9月金融数据点评：社融增速见底,新浪
283,2021-10-13,"江苏银行现1笔大宗交易 共成交2,997.54万元",新浪
284,2021-10-13,江苏银行今日大宗交易成交549万股，成交价5.46元折价10.78%,Wind
285,2021-10-13,7天6根阳线！张坤等基金经理扫货，银行股可以买了？,Wind
286,2021-10-13,明星基金经理“买账”，银行股或迎“暖冬”,Wind
287,2021-10-12,银行地产连续两日领涨，四季度A股风格要切换？,Wind
288,2021-10-12,知名基金经理加仓招商银行 机构认为银行布局正当时,投资快报
289,2021-10-12,商业银行行业：商业银行业日报,新浪
290,2021-10-11,银行行业周观点：稳信用,新浪
291,2021-10-10,江苏银行发布“苏银金管家”品牌 六大综合服务方案为企业提供一体化金融服务,北京商报
292,2021-10-10,银行跨界服务来了！ 江苏银行“苏银金管家”推出一站式数字化金融管家服务,新民晚报
293,2021-10-10,江苏银行“苏银金管家”品牌发布 以一站式数字化金融管家服务助企业高质量发展,中国网
294,2021-10-09,银行业月度问答：逐一解答10月银行板块焦点,新浪
295,2021-10-08,江苏银行：累计已有67.60万元苏银转债转为A股普通股 累计转股92762股,中证网
296,2021-10-08,江苏银行：“苏银转债”累计转股股数约9.28万股,每日经济新闻
297,2021-10-08,银行业投资观察：政策向好 信用风险稳定,新浪
298,2021-10-08,【十大券商一周策略】年线有望三连阳,Wind
299,2021-10-08,银行行业点评：征信业务管理办法出台 助贷业务面临洗牌,新浪
300,2021-10-07,中国人民银行深圳市中心支行与深圳市生态环境局联合举办战略合作框架协议签约仪式暨绿色融资银企对接会,中国金融新闻网
301,2021-09-30,深圳人行与生态环境局联合举办战略合作签约仪式暨绿色融资银企对接会成功举办,深圳新闻网
302,2021-09-30,坚持自主风控能力精进 苏银消金实现业务稳发展,金融界
303,2021-09-30,山西省深化金融科技创新 提升金融服务质效,中国金融新闻网
304,2021-09-30,苏银金租六年累盈37亿 江苏有线7.3亿入股上位第五大股东,长江商报
305,2021-09-28,江苏银行北京望京支行开展金融宣传活动 弘扬金融正能量,中国网
306,2021-09-28,江苏银行北京亚运村支行 举办“金秋九月、佳节有约”现金宣传活动,北京商报网
307,2021-09-28,商业银行行业：商业银行业日报,新浪
308,2021-09-28,一个星期两名高管接连增持自家股票！银行股掀起集体增持潮！,上证报
309,2021-09-28,种业振兴方案即将出台，江苏种业授信先行一步,Wind
310,2021-09-28,“G60科创贷”破解科技企业融资难题,中经导报
311,2021-09-27,银行行业研究周报：上市银行房地产贷款梳理,新浪
312,2021-09-27,10月银行策略：进入四季度 对银行股可以乐观些,新浪
313,2021-09-27,中泰证券：维持江苏银行(600919.SH)“增持”评级 长期价值凸显 高增长持续,智通财经
314,2021-09-27,6股获重要股东大手笔增持（附股）,证券时报网
315,2021-09-27,江苏银行：获宁沪高速增持4789.48万股，持股比例达到5%,阿尔法工场
316,2021-09-27,商业银行行业：商业银行业日报(2021.09.26),新浪
317,2021-09-27,A股早报2021年9月27日星期一,Wind
318,2021-09-26,今年首现举牌上市银行，江苏银行再获宁沪高速增持4800万股,深水财经社
