,2021-12-31,中国能建进军欧洲水务市场，签署克罗地亚里耶卡污水处理厂项目,钢企网
132,2021-11-30,100MW！中国能建西北电建承建的甘肃白银光伏项目开工,国际电力网
133,2021-11-30,中国能建浙江火电参建的嘉兴1号海上风电全容量并网发电,浙江火电
134,2021-11-30,A股异动 | 氢能源概念大涨，中国能建涨超8%,格隆汇
135,2021-11-30,中国能建2连板,Wind
136,2021-11-30,中国能建高开近7%，设立数字科技和氢能子公司事项尚存不确定性,Wind
137,2021-11-30,广州南沙国际金融论坛永久会址主体结构全面封顶,中新网
138,2021-11-30,8股获券商买入评级，易德龙目标涨幅达33.53%,Wind
139,2021-11-29,数据复盘｜61股获主力加仓超亿元 北向资金抢筹宁德时代、中远海控等,证券时报网
140,2021-11-29,浙商证券给维持中国能建增持评级：中国能建拟设立氢能业务全资子公司点评：拟设立氢能全资子公司，发力氢能产业加速新能源布局,每日经济新闻
141,2021-11-29,浙商证券：给予中国能建增持评级,证券之星
142,2021-11-29,11月29日中国能建涨停分析：水泥，大基建，水利概念热股,证券之星
143,2021-11-29,98只股涨停 最大封单资金7.69亿元,证券时报网
144,2021-11-29,港股异动|中国能建斥资50亿元打造氢能产业链 盘中涨20%,财联社
145,2021-11-29,全力攻坚，葛洲坝地产湾区新作取得阶段性成果,财经网
146,2021-11-29,11月29日午盘主力巨资抢筹四大板块(附股),金融界
147,2021-11-29,67只股上午收盘涨停(附股),证券时报网
148,2021-11-29,11月29日早盘主力巨资抢筹四大板块(附股),金融界
149,2021-11-29,中国能建投100亿元新设两家子公司，经营氢能、数字科技相关业务,阿尔法工场
150,2021-11-29,中字头概念股异动拉升，中国能建、中国电建、中国核建等领涨,Wind
151,2021-11-29,中国能建首板，拟50亿经营氢能相关业务,Wind
152,2021-11-29,中国能建50亿氢能全资子公司落地北京大兴,北极星电力
153,2021-11-29,华能40GW、国家能源集团20GW……2021年95GW光伏电站签约风云榜,索比光伏网
154,2021-11-28,中国能建：一线职工营地变“新家”,光明日报
155,2021-11-26,中国能建拟100亿元投设氢能子公司,大众证券报
156,2021-11-26,中国能建最新公告：拟合计100亿元投资设立氢能业务及数字科技子公司,证券之星
157,2021-11-26,中国能建(601868.SH)：葛洲坝集团联合体中标深圳地铁集团相关施工总承包项目 涉资142.24亿元,智通财经
158,2021-11-26,中国能建(601868.SH)：拟以50亿元设立全资子公司中能建数字科技集团,格隆汇
159,2021-11-26,中国能建：公司参与的联合体中标总承包项目，中标金额142.24亿元,每日经济新闻
160,2021-11-26,中国能建：拟设立氢能业务及数字科技子公司,财联社
161,2021-11-26,中国能建(601868.SH)：拟出资50亿元设立全资子公司中能建氢能源发展,格隆汇
162,2021-11-26,中国能建(601868.SH)：葛洲坝集团联合体中标约142.24亿元的深圳都市圈城际铁路工程相关总承包,格隆汇
163,2021-11-26,中国能建：葛洲坝集团联合体中标142.24亿元项目,财联社
164,2021-11-26,中国能建(601868.SH)聘任李丽娜为总会计师,智通财经
165,2021-11-26,中国能建宋海良与中国人保董事长罗熹座谈！深化绿色低碳经济合作,液化天然气网
166,2021-11-26,中国能建浙江火电承建的温州电厂供热二期工程开工,液化天然气网
167,2021-11-26,中国能建签署多个分散式光伏项目合同,国家煤化工网
168,2021-11-26,建筑行业2022年年度策略：拥抱双碳主线 重视建筑板块“变化”的力量,新浪
169,2021-11-25,中国能建成功发行建筑类央企首单碳中和债,中国水泥网
170,2021-11-25,中国能建西北电建签约陕西大荔段家镇分散式风电项目,国际电力网
171,2021-11-25,中国能建安徽电建一公司承建的三峡康保示范项目首台风机并网,国际电力网
172,2021-11-24,中国移动与中国能建签署战略合作框架协议,格隆汇
173,2021-11-24,中国移动与中国能建签署战略协议 将在5G、数字化转型等方面开展合作,新浪
174,2021-11-24,2022年度建筑行业投资策略：基建发力优选新能源建设 装配式高增长看好钢结构,新浪
175,2021-11-24,中国能建：公司储能在建项目包括内蒙古乌兰察布新一代电网友好绿色电站示范项目等,每日经济新闻
176,2021-11-24,中国能建：在建项目包括广东珠海金湾海上风电场EPC总承包项目、越南二号院新顺75兆瓦海上风电项目等,每日经济新闻
177,2021-11-24,中国能建董秘回复：聚焦抽水蓄能、压缩空气储能、电化学储能、氢能等业务,证券之星
178,2021-11-24,中国能建：目前公司基本面情况正常,每日经济新闻
179,2021-11-24,中国能建安徽电建二公司承建的铜川石马山风电项目完成风机吊装,国际电力网
180,2021-11-24,广东旅游退出广东城乡规划设计研究院，星河控股等接盘,乐居财经
181,2021-11-23,中国能建葛洲坝集团与河南新乡市签订战略合作框架协议,证券时报网
182,2021-11-22,南方电网、国家电网、中国电力装备、华电、中国能建等近期人事变动汇总！,北极星电力
183,2021-11-22,中国能建葛洲坝集团与中国能建西南区域总部筹备组共商合作,索比光伏网
184,2021-11-22,中国能建广东火电参建福建福清海坛海峡海上风电项目实现全容量并网发电－国务院国有资产监督管理委员会,国资委
185,2021-11-18,中国能建成功发行建筑类央企首单碳中和债,e公司
186,2021-11-18,建筑行业专题报告：“双碳1+N”政策刚性驱动 看好能源电力建筑央企、装配式板块,新浪
187,2021-11-18,中国能建广电工程局中标肇庆鼎湖天然气热电联产项目主体建筑工程,国际燃气网
188,2021-11-18,中国能建葛洲坝集团承建老挝南空3号水电站整体移交－国务院国有资产监督管理委员会,国资委
189,2021-11-17,中国短期融资券及中期票据信用分析周报,新浪
190,2021-11-17,中国能建天津电建承建山东济宁热电联产工程2号机组投入商运,中国能源网china5e
191,2021-11-17,中国能建陕西院总承包的陕西府谷330千伏变电站扩建工程投运,中国能源网china5e
192,2021-11-17,217MW！中国能建湖南火电承建迪拜光热光伏混合型电站光伏PV1区域完成首次并网发电,国际电力网
193,2021-11-17,100MW！中国能建广西工程局承建钦南风门岭二期风电项目完成首台风机吊装,国际电力网
194,2021-11-17,中国能建湖南火电承建的江西高龙山二期分散式风电项目并网发电,国际电力网
195,2021-11-12,中国能建投资公司首个分散式风电项目并网发电,国际电力网
196,2021-11-12,100MW/200MW！中国能建中标杭州萧山储能电站项目,北极星电力
197,2021-11-11,建筑行业2022年投资策略报告：新能源、新建筑、新征程,新浪
198,2021-11-11,中国能建总承包建设的越南嘉莱HUNGHAI风电项目取得商业运营证书,国际电力网
199,2021-11-11,中国能建葛洲坝集团承建的江西景德镇水利枢纽工程发电厂房封顶,中国能源网china5e
200,2021-11-11,58.5MW！中国能建总承包建设的泰国EGAT诗琳通大坝综合浮体光伏项目投入商运,国际电力网
201,2021-11-10,进击的风光储项目汇总,中国能源网china5e
202,2021-11-09,中国能建浙江火电总承包建设的北仑电厂二期40MW光伏发电EPC项目开工,浙江火电
203,2021-11-09,三一集团等18家中外企业获中国能建首批战略供应商授牌,三一重工
204,2021-11-08,中国电建最新公告：联合体中标61.83亿元轨道交通工程项目,证券之星
205,2021-11-08,进博会也要购买碳排放配额？了解一下！,新浪
206,2021-11-08,建筑钢铁行业周报：本周我们推出了钢铁行业系列深度之第一篇,新浪
207,2021-11-08,中国能建在第四届进博会签约6.39亿美元,电缆网
208,2021-11-08,145MW！中国能建安徽电建二公司承建的越南宁顺风电项目风机吊装全部完成,国际电力网
209,2021-11-08,中国能建黑龙江院总承包寿阳县羊头崖乡50MW风电项目风机吊装完成,国际电力网
210,2021-11-08,维斯塔斯与京能、国华、中国能建、中国电建战略合作！,北极星电力
211,2021-11-05,中国能建浙江火电中标温州电厂供热二期Ⅱ标段工程,中国能源网china5e
212,2021-11-05,大建筑央企2021三季报汇总分析：订单、营收增速放缓，周转率有所改善【招商建筑】 盈利能力下降,微信
213,2021-11-05,中国能建浙江火电签订峨山县建筑屋顶分布式光伏项目投资协议,浙江火电
214,2021-11-05,重磅！李丽娜任中国能建党委常委,国际电力网
215,2021-11-05,中国能建领导人员调整,国资委
216,2021-11-04,中国能建(601868)：新型电力开路人 回A开启新征程,新浪
217,2021-11-04,建筑行业11月月报：专业工程高增长 园林与装饰承压 绿色低碳助发展,新浪
218,2021-11-04,“分拆+借壳”上市第一股 南岭民爆借力葛洲坝跃升产能规模第一,中国经济周刊
219,2021-11-04,葛洲坝董事长宋领与湖北能源集团董事长朱承军座谈,索比光伏网
220,2021-11-03,国盛证券：建筑行业利率平稳+现金流改善，全年增长趋势有望延续,乐居财经
221,2021-11-03,中国能建：公司与宁德时代签定了战略合作协议，合作具体事项正在前期洽谈中,每日经济新闻
222,2021-11-03,中国能建：公司具备储能设施建设相关资质,每日经济新闻
223,2021-11-03,中国能建：公司有新能源业务、水电业务等，都属于碳中和、绿色电力相关的业务,每日经济新闻
224,2021-11-03,中国能建：与湖南汝城中电工程新能源有限公司目前暂无合作项目,每日经济新闻
225,2021-11-03,民爆行业新龙头将诞生 易普力拟重组南岭民爆,上证报
226,2021-11-02,公告精选丨沙钢集团被中国证监会立案调查；中国能建拟分拆子公司重组上市 关联方问题,21世纪经济报道
227,2021-11-02,中国能建：拟分拆易普力重组上市，进一步聚焦民爆业务,Wind
228,2021-11-02,中国能建广东院与上海振华重工签署战略合作协议,中国能源网china5e
229,2021-11-02,130MW 中国能建天津电建签约加纳奥立约光伏总承包项目,集邦新能源网
230,2021-11-02,中国能建浙江火电承建榆林乐堂堡20兆瓦风电项目开工,浙江火电
231,2021-11-01,中国能建签约加纳130兆瓦光伏EPC总承包项目！,微信
232,2021-11-01,中国能建首个生物质电站1号机组并网发电,中国能源网china5e
233,2021-11-01,【进博倒计时】中国能建安徽电建二公司全力备战进博会保电工作－国务院国有资产监督管理委员会,国资委
234,2021-10-31,电力设备新能源2021年11月投资策略：碳达峰行动方案出台 全产业基本面向好,新浪
235,2021-10-29,中国能建(601868)21年三季报点评：前三季度利润高增69% 发力新能源“投建营”、短中长期成长逻辑兼具,新浪
236,2021-10-29,中国能建(601868)：新签订单高增长 加快海外布局,新浪
237,2021-10-29,中国A股2021年1-10月IPO中介机构排名（保荐/律所/审计）,搜狐
238,2021-10-29,中信建投：维持中国能建(601868.SH)“买入”评级 目标价2.51元,智通财经
239,2021-10-29,中国能建(601868)季报点评：订单与业绩高增 多领域受益“双碳”政策深化,新浪
240,2021-10-29,中国能建安徽电建二公司EPC总承包越南雅蓓风电项目首台风机并网,国际电力网
241,2021-10-29,中国能建第三季度净利同比降8.7% 前三季现金流为负,中国经济网
242,2021-10-28,中国能建公布三季报 前三季净利增加69.05%,新浪
243,2021-10-28,中国能建(601868.SH)：第三季度净利降8.65%至10.07亿元,格隆汇
244,2021-10-28,图解中国能建三季报：第三季度单季净利润同比减8.65%,证券之星
245,2021-10-28,中国能建：2021年第三季度净利润约10.07亿元，同比下降8.65%,每日经济新闻
246,2021-10-28,中国能建：前三季度净利润同比增长69.05%,Wind
247,2021-10-28,港股异动 | 利好叠加 中国能建AH股齐涨,格隆汇
248,2021-10-28,中国能建安徽院总承包安徽阜阳南部120万千瓦风光电项目开工,国际电力网
249,2021-10-28,中国能建安徽电建二公司承建两个110千伏输变电工程投运,国际电力网
250,2021-10-27,中国能建：公司将根据国家能源改革进展适时推动参与试点碳交易市场,Wind
251,2021-10-27,中国葛洲坝水务与中国能建湖南火电签订战略合作框架协议,钢企网
252,2021-10-27,Mysteel：8家建筑央企1-9月新签合同总额超8万亿元，同比增15.8%,我的钢铁
253,2021-10-27,中国能建规划设计集团与吉林市签订能源“双碳”领域战略合作协议,北极星电力
254,2021-10-27,7~9月12.4GW逆变器中标：华为上能阳光再领衔，组串式占比84%,索比光伏网
255,2021-10-26,建筑装饰周观点：中央推动城乡绿色发展 重点推荐光储钢结构等绿色低碳赛道,新浪
256,2021-10-26,央企如何谋划储能？四大发电集团、两大电网更新储能动态！,中国能源网china5e
257,2021-10-26,中国能建前三季度生产经营情况出炉了！,微信
258,2021-10-25,中国能建与青海省刚察县人民政府签订风光储一体化示范项目合作框架协议,北极星电力
259,2021-10-25,中国能建：1-9月新签合同额人民币5924亿元，同比增44.6%,Wind
260,2021-10-25,中国能建：公司在塞尔维亚、白俄罗斯、土耳其等欧洲国家有发电、输变电等在建项目,Wind
261,2021-10-25,中国能建：公司暂未参与钍基熔盐堆核电的建设,Wind
262,2021-10-25,中国能建：哈密熔盐塔式50兆瓦项目年发电量近2亿千瓦时，每年可节约标煤6.19万吨,Wind
263,2021-10-25,中国能建：“新疆哈密光热项目”属于绿电项目,Wind
264,2021-10-22,【晚间公告抢先看】贵州茅台第三季度净利126.12亿元 同比增长12%、三六零拟以10亿元-15亿元回购公司股份,金融界
265,2021-10-22,上交所：将中国能源建设调入港股通股票名单,Wind
266,2021-10-22,中国能建(601868.SH)第三季度新签合同额1091.11亿元,智通财经
267,2021-10-22,中国能建(601868.SH)：1-9月新签合同额5924亿元 同比增长44.6%,格隆汇
268,2021-10-22,中国能建：1-9月公司新签合同额人民币5924亿元，同比增长44.6%,Wind
269,2021-10-22,中国能建：7-9月新签合同额累计1091.11亿元,财联社
270,2021-10-22,中国能建：7-9月新签合同额累计人民币1091.11亿元,Wind
271,2021-10-22,中国能建天津电建承建乌兰察布绿色电站示范项目风机基础浇筑全部完成,国际电力网
272,2021-10-22,开封与中国能建签署150亿低碳智慧城市能源建设合作协议,我的钢铁
273,2021-10-22,解局 | 重大收并购里的葛洲坝地产规模前景,乐居财经
274,2021-10-22,从Hyper-V迁移到安超 华云数据助力中国能建加快国产化进程 实现IT架构的云化升级,砍柴网
275,2021-10-21,中国能建旗下易普力筹划借壳南岭民爆,上证报
276,2021-10-20,中国能建3996｜首三季新签合同额增44.6% | 头条金融网,头条日报
277,2021-10-20,中国能建西北院：牢牢占据电力设计行业制高点,经济日报
278,2021-10-20,中国能建地热公司助力韶山打造净零碳建设示范区,新能源网
279,2021-10-19,中国能建(601868.SH)：南岭民爆拟收购子公司易普力100%股份,格隆汇
280,2021-10-19,中国能建：南岭民爆拟购买易普力100%股份,Wind
281,2021-10-19,中国能建：吸收合并前的合并半年报已包含葛洲坝利润,每日经济新闻
282,2021-10-19,中国能建葛洲坝集团参建四川孟底沟水电站项目开工,中国水泥网
283,2021-10-19,中国能建第二批电建企业技术标准获批立项,电力新闻网
284,2021-10-19,中国能建：南方电网是公司的战略客户和重要合作伙伴，双方存在着多层次的合作关系,每日经济新闻
285,2021-10-19,中国能建：公司近期不存在限售股解禁的情况,每日经济新闻
286,2021-10-19,中国能建：根据相关政策查询，公司预计于10月底前纳入沪港通标的,每日经济新闻
287,2021-10-18,中国能建湖南火电建设公司与华能江西清洁能源公司签订“十四五”战略合作框架协议,北极星节能
288,2021-10-17,陆上风电成本有望显著下降 业内预测锌价短期强势上涨丨明日主题前瞻,第一财经
289,2021-10-17,中国能建(601868.SH)拟出资4.67亿元认购中能建投绿能贰号私募股权投资基金份额,格隆汇
290,2021-10-17,中国能建：拟4.67亿元认购私募股权基金份额,e公司
291,2021-10-17,建筑装饰周观点：鸿路钢构Q3订单大幅增长 第二批REITS上报有望带动建企运营资产重估,新浪
292,2021-10-15,中国能建西北电建承建内蒙古朱家坪项目投运,国际电力网
293,2021-10-15,中国能建签阅菲律宾150万吨棒材生产线EPC合同,微信
294,2021-10-14,中国能建中标老挝公寓EPC总承包项目,微信
295,2021-10-14,广西20.86GW新能源项目公示 中国能建超4GW“独占鳌头”！,索比光伏网
296,2021-10-13,中国能建葛洲坝集团在山东中标第五条高速公路 项目总投资约104亿,证券时报网
297,2021-10-13,15MW！中国能建辽宁院总承包的大连电厂厂内分散式风电项目并网发电,国际电力网
298,2021-10-13,87.5MW！中国能建浙江火电承建的潜江浩口风电场项目全容量并网发电,浙江火电
299,2021-10-13,中国能建总承包建设的约旦阿塔拉特油页岩电站项目2号机组并网,国际电力网
300,2021-10-12,宋领任葛洲坝集团有限公司董事长（执行董事）、总经理,财经网
