,2021-12-31,化工行业2021年11月数据：国内化工行业运行指标跟踪,新浪
143,2021-08-23,中银晨会聚焦,新浪
144,2021-08-23,海通证券研究所早报,新浪
145,2021-08-23,【医药生物】新和成—业绩符合预期，新项目驱动增长,中银证券研究
146,2021-08-23,化工行业周报【20210822】,点化成金
147,2021-08-23,新和成：上半年业绩超预期 看好公司成长性,财富动力网
148,2021-08-22,国金证券维持新和成增持评级：2021H1业绩超预期，看好公司成长性，目标价33.20元,每日经济新闻
149,2021-08-21,天风证券维持新和成买入评级：新产品驱动公司收入大幅增长,每日经济新闻
150,2021-08-21,新和成(002001)：21H1归母净利润24.08亿元同比增长9.03% 看好产能投放带来成长空间,新浪
151,2021-08-20,新和成(002001)：景气维持高位 回购彰显信心,新浪
152,2021-08-20,【方正化工】新和成2021半年报点评：维生素E景气向好，产能投放助业绩稳步增长,靠谱化工股
153,2021-08-20,8月20日河南凯安生物科技有限公司添加剂报价,我的农产品网
154,2021-08-20,8月20日苏州茂一儒业饲料添加剂最新报价,我的农产品网
155,2021-08-20,【新和成（002001.SZ）】维生素有望迎来景气周期，回购方案彰显未来发展信心——2021年半年度报告点评（赵乃迪/吴裕）,光大证券
156,2021-08-20,A股早报2021年8月20日星期五,Wind
157,2021-08-20,【开源化工】新和成半年报点评报告：2021H1业绩稳健增长，回购方案彰显公司信心,新浪
158,2021-08-19,新和成拟斥资3亿至6亿元回购股份,上证报
159,2021-08-19,新和成(002001.SZ)：拟回购3亿元-6亿元股份,格隆汇
160,2021-08-19,新和成(002001.SZ)拟3亿元至6亿元回购股份 回购价不超41元/股,智通财经
161,2021-08-19,新和成(002001.SZ)半年度净利润24.08亿元 同比增长9.03%,格隆汇
162,2021-08-19,新和成：拟回购不低于3亿元且不超过6亿元公司股份,每日经济新闻
163,2021-08-19,新和成：2021年半年度净利润约24.08亿元，同比增加9.03%,每日经济新闻
164,2021-08-19,新和成：上半年净利润同比增长9.03%,Wind
165,2021-08-19,新和成：公司目前辅酶Q10产能为300吨,Wind
166,2021-08-19,8月19日无锡菲斯达饲料添加剂最新报价,我的农产品网
167,2021-08-19,新和成董事长胡柏藩：专注精细化工领域 深化“双+”创新战略,中证网
168,2021-08-18,北向资金动向盘点：连续五日净卖食品饮料,Wind
169,2021-08-17,北向资金动向盘点：逆市加仓电力设备新能源,Wind
170,2021-08-16,化工周报：化工品景气度延续上行 关注龙头企业进军磷酸铁锂、DMC 等新能源产业链,新浪
171,2021-08-16,化工行业周报：新能源风起 化工龙头加速布局,新浪
172,2021-08-15,【开源化工】化工周报：关注化工企业电新布局，龙头有望迎来全面重估,新浪
173,2021-08-14,基础化工行业周报：VE、天然气有望景气上行 新能源需求激增磷化工企业优势显着,光大证券
174,2021-08-10,北向资金尾盘加速进场连续2日净买入，白酒股强势反弹但仍遭外资抛售,Wind
175,2021-08-03,深度*行业*化工行业周报：原油震荡上行 发改委约谈重点化肥企业,新浪
176,2021-08-02,中泰周期·大宗指南：周期品周度运行变化,新浪
177,2021-08-02,化工周报：纯碱、BDO、氨纶等持续上涨 周期旺季来临 重点关注细分龙头,新浪
178,2021-07-28,7月28日无锡菲斯达饲料添加剂最新报价,我的农产品网
179,2021-07-27,上海证券化工行业周报：原油先跌后涨 继续关注优质赛道龙头,新浪
180,2021-07-26,2021Q2公募基金化工重仓股分析：21Q2公募基金化工重仓股配置环比继续上升 风格切换至细分龙头及新能源、半导体相关标的,新浪
181,2021-07-26,化工周报：钾肥、氯碱、氨纶等持续上涨 周期旺季来临 重点关注细分领域龙头,新浪
182,2021-07-25,深度*行业*化工行业周报：原油V型震荡 草铵膦等产品价格上调,新浪
183,2021-07-24,中泰化工周度观点：景气未止 成长延续,新浪
184,2021-07-23,2021年基础化工行业中期投资策略：周期景气持续 成长聚焦龙头,新浪
185,2021-07-20,化工行业周报：原油高位回落 继续关注优质赛道龙头,新浪
186,2021-07-19,化工周报：旺季即将来临 化肥、化纤持续强势 周期有望迎来价量双升,新浪
187,2021-07-18,深度*行业*化工行业周报：原油高位略有回调 磷肥价格本周大涨,新浪
188,2021-07-18,中泰化工周度观点：长丝盈利持续改善 聚酯龙头业绩超预期,新浪
189,2021-07-16,7月16日苏州茂一儒业饲料添加剂最新报价,我的农产品网
190,2021-07-15,基础化工周报：布油价格持平 三氯氢硅、氯化钾、草甘膦、纯碱等产品价格上涨,新浪
191,2021-07-14,A股共发生117宗大宗交易成交29.38亿元（7月14日）,Wind
192,2021-07-14,化工行业周报：原油价格高位震荡 关注优质赛道龙头,新浪
193,2021-07-14,"新和成现1笔大宗交易 共成交1,442.95万元",新浪
194,2021-07-14,新和成今日大宗交易成交50.40万股，成交价28.63元溢价0.0%,Wind
195,2021-07-06,供需两旺！化工景气度高企，中报迎高光时刻,Wind
196,2021-07-06,化工行业：MDI有望触底反弹 成本支撑己二酸走强,新浪
197,2021-07-05,基础化工2021H1业绩前瞻：油价持续上涨叠加国内外需求共振 化工业21Q2 盈利能力环比持续提升,新浪
198,2021-07-05,化工行业周报：把握中报高增长标的 中长期继续看好优质成长,新浪
199,2021-07-05,深度*行业*化工行业周报：国际原油价格新高 芳烃价格上涨,新浪
200,2021-07-04,化工行业周报：化纤、纯碱继续向好 旺季化工景气可期,新浪
201,2021-07-04,中泰周期·大宗指南：周期品周度运行变化,新浪
202,2021-07-03,基础化工行业周报：2021H1化工上市企业涨跌幅出炉 2021H2看好具有确定性的景气子行业,光大证券
203,2021-07-02,新和成(002001)：创新驱动 公司成长可期,新浪
204,2021-06-29,大宗指南周期品周度运行变化,新浪
205,2021-06-24,中信证券：新和成新产品多点开花，成长属性逐步增强,证券时报网
206,2021-06-24,新和成(002001)跟踪点评报告：新产品多点开花 成长属性逐步增强,新浪
207,2021-06-22,首席周观点：多债券、空商品,新浪
208,2021-06-21,新和成：己二腈产品在中试阶段，未正式规模投产,Wind
209,2021-06-21,日评：今日市场维稳，价格波动不大,百川盈孚
210,2021-06-21,煤炭开采行业周报：周期品周度运行变化,新浪
211,2021-06-21,化工行业周报：关注二季度高增长标的 中长期继续看好优质成长股,新浪
212,2021-06-17,化工行业2021年中期投资策略：周期品兼顾景气与成长 新材料布局需求端放量,广发证券
213,2021-06-16,日评：今日市场维稳，价格波动不大,百川盈孚
214,2021-06-16,首席周观点：光伏产业柳暗花明景气重启 海风地补落地确定性夯实,新浪
215,2021-06-15,新和成：再获浙江省技术发明奖一等奖,e公司
216,2021-06-15,日评：夏季炎热来袭，厂家着手检修,百川盈孚
217,2021-06-15,基础化工行业周报：油价上涨 三聚氰胺、磷酸一铵、有机硅DMC等产品价格上涨,新浪
218,2021-06-14,招商基础化工行业周报2021年6月第2周：尿素价格大涨，关注Q2业绩好估值低的公司,招商基础化工
219,2021-06-11,揭秘送转股 132只除权以来股价上涨,证券时报网
220,2021-06-10,化工行业：聚焦周期景气龙头 看好低估值优质成长,新浪
221,2021-06-10,129只送转股走出贴权走势,证券时报网
222,2021-06-09,新和成：一个中学老师和他的800亿化工帝国,新浪
223,2021-06-08,首席周观点：股债小双牛还能持续吗？,新浪
224,2021-06-08,化工行业周报：原油价格震荡上行 关注超跌优质龙头,新浪
225,2021-06-08,杭州湾上虞经开区： “万亩千亿”大平台 引领经济新飞跃,中国贸易新闻网
226,2021-06-07,化工周期新征程系列三：化纤布局正当时,新浪
227,2021-06-07,化工行业周报：重点看好资本开支下实现跨越式增长的周期成长股,新浪
228,2021-06-06,招商基础化工行业周报2021年6月第1周：草甘膦及磷化工继续上涨，关注Q2延续高增长的公司,招商基础化工
229,2021-06-04,2021年基础化工行业中期投资策略：优质核心资产为盾 好赛道高成长为矛,新浪
230,2021-06-01,首席周观点：人民币的投机性升值难以持续,新浪
231,2021-05-31,招商基础化工行业周报2021年5月第4周：草甘膦继续大涨，新材料成关注热点,招商基础化工
232,2021-05-30,中泰化工周度观点21W22：MDI价格跌势趋缓 市场回暖曙光或现,新浪
233,2021-05-26,首创证券--化工行业周报：周期行情持续分化，甄选攻守兼备品种【行业研究】,金融界股吧
234,2021-05-24,首创证券--市场策略报告：首席周观点，黑色价格见顶，其他还有多远？【投资策略】,金融界股吧
235,2021-05-24,化工周报：草甘膦、尿素上涨 周期品格局仍然向好 持续关注细分行业龙头,新浪
236,2021-05-23,化工行业周报：万华化学攻克L-薄荷醇技术 新材料领域持续突破,新浪
237,2021-05-21,新和成(002001)公司简评报告：VE价格持续上涨 公司周期成长属性兼具,新浪
238,2021-05-18,深度*行业*化工行业2021下半年策略：行业维持高景气 碳中和背景下的产业升级与集中度提升将是未来主基调,新浪
239,2021-05-18,首席周观点：大宗商品价格见顶了吗？,新浪
240,2021-05-17,化工周报：地产链条景气持续 行业淡季价格仍坚挺 持续关注细分龙头,新浪
241,2021-05-17,化工行业：如何看聚酯减产和三类进口油征税？,新浪
242,2021-05-17,中泰周期·大宗指南：周期品周度运行变化,新浪
243,2021-05-17,招商基础化工行业周报2021年5月第2周：草甘膦价格继续新高，二季度化工景气度持续,招商基础化工
244,2021-05-15,基础化工行业周报：供应偏紧正丁醇辛醇涨幅居前 原料成本上行支撑甲醇价格,光大证券
245,2021-05-15,浙江区域股市周报：新和成进市值前10强 50家机构调研盈峰环境,每日经济新闻
246,2021-05-14,分红潮来了！7家高送转，6家高派现，百家股权登记,Wind
247,2021-05-13,林园一季度继续加仓金龙鱼 裘国根长期重仓新和成 大批“抄作业”资金闻风而动,红周刊
248,2021-05-13,首创证券--化工行业周报：顺周期风云再起，Q2景气持续可期【行业研究】,金融界股吧
249,2021-05-12,21硬核研报 花园生物“失信”与“取信”,21世纪经济报道
250,2021-05-12,【开源化工】新材料行业2021年中期投资策略：全球视角下国产新材料的历史性机遇,新浪
251,2021-05-11,21硬核投研丨花园生物“失信”与“取信”： 一家细分领域龙头蹊跷落寞,21世纪经济报道
252,2021-05-11,基础化工行业2020年年报及2021年一季报总结：化工产品价格指数探底回升 橡塑制品、农化、化纤等板块表现亮眼,新浪
253,2021-05-11,新和成(002001.SZ)2020年度权益分派10转2派7元 股权登记日为5月18日,格隆汇
254,2021-05-11,日评：新和成公布VA装置夏季检修计划，其他厂家持涨价意愿,百川盈孚
255,2021-05-10,又有6家药企年营收超百亿！,制药网
256,2021-05-10,化工行业：国际油价上行 六氟磷酸锂、草甘膦价格再创新高,新浪
257,2021-05-10,通胀无牛市？这份通胀预期下的投资指南请查收,Wind
258,2021-05-10,化工周报：钛白粉、草甘膦、PVC 上涨 大宗品周期情绪升温 推荐业绩持续改善的细分龙头,新浪
259,2021-05-10,2020年，医药行业超百亿营收俱乐部新添6成员,制药网
260,2021-05-09,招商基础化工行业周报2021年5月第1周：周期行业再起，碳中和背景下化工估值有望提升,招商基础化工
261,2021-05-07,深度*行业*化工行业2020年报及2021年一季报综述：景气持续上行 新增投资放缓,新浪
262,2021-05-07,新和成：己二腈在中试，PPS三期与光气项目建设中,Wind
263,2021-05-07,新和成：公司存货一季度末较上年年末增加1.47%，属于各产品生产线正常波动因素,每日经济新闻
264,2021-05-07,新和成：目前公司维生素C年产能3万吨,Wind
265,2021-05-07,新和成：目前公司己二腈在中试阶段、PPS三期与光气项目在建设中,每日经济新闻
266,2021-05-06,基础化工行业2020年报及2021一季报总结：2020化工行业景气呈现“V”型复苏 21Q1景气加速上行 行业盈利能力大幅修复,新浪
267,2021-05-06,5月6日晚间重要行业研究汇总(附股),中金在线
268,2021-04-30,【方正化工】新和成2021年一季报点评： 产能投放助力业绩增长，公司竞争力持续增强,靠谱化工股
269,2021-04-30,国金证券维持新和成增持评级：Q1业绩略超预期，看好公司成长性,每日经济新闻
270,2021-04-30,明星私募一季度调仓：冯柳现身25家公司持仓超300亿 高瓴礼仁新进安图生物、伊利,腾讯网
271,2021-04-30,行业观察|三重因素叠加维生素行情短期内难有起色,证券之星
272,2021-04-30,中泰证券维持新和成买入评级：一季度业绩略超预期，长期成长动力十足,每日经济新闻
273,2021-04-30,中银证券维持新和成买入评级：业绩符合预期，主要产品价格环比继续上涨,每日经济新闻
274,2021-04-30,中银证券维持新和成买入评级：1Q收入利润均超预期，全年盈利能力有望提升,每日经济新闻
275,2021-04-29,新和成(002001)：业绩略超预期 新项目有序推进保障长期成长,新浪
276,2021-04-29,国盛证券维持新和成买入评级：维生素高景气，蛋氨酸、生物发酵助推公司新一轮成长,每日经济新闻
277,2021-04-29,天风证券维持新和成买入评级：收入创历史新高,每日经济新闻
278,2021-04-29,新和成(002001)：坚持“化工+”“生物+”平台 Q1业绩略超预期,新浪
279,2021-04-29,【开源化工】新和成一季报点评报告：新项目投产带动收入高增，经营现金流大幅增加,Au化工
280,2021-04-29,【招商基础化工】新和成：一季度业绩符合预期，发展有望再上新台阶,招商基础化工
281,2021-04-29,【华安化工|一季报点评】新和成：项目建设稳步推进，员工持股彰显发展信心,化工阿尔法
282,2021-04-29,【新和成| 一季报点评：坚持“化工+”“生物+”平台，Q1 业绩略超预期】-国信证券,化工林谈
283,2021-04-28,新和成(002001.SZ)第一季度归母净利润同比增长26.34%至11.37亿元,智通财经
284,2021-04-28,新和成(002001.SZ)一季度净利升26.34%至11.37亿元,格隆汇
285,2021-04-28,新和成：2021年第一季度净利润约11.37亿元，同比增加26.34%,每日经济新闻
286,2021-04-28,新和成：一季度净利润同比增长26.34%,Wind
287,2021-04-26,印度单日确诊35万例，A股医药太疯狂，近40亿主力资金入场抢筹,第一财经
288,2021-04-26,中泰周期·大宗指南：周期品周度运行变化,新浪
289,2021-04-26,化工周度观点21W17：工信部发文 重柴国六时代来临,新浪
290,2021-04-26,化工板块2021Q1持仓分析：环比持续改善 中小市值公司获得加持,新浪
291,2021-04-26,首席周观点：外盘是胜负手,新浪
292,2021-04-23,智通A股机构动向参考(04.23) | 市场又进入防御阶段，题材炒作轮动过快,智通财经
293,2021-04-23,紧跟机构调研 | 新和成(002001.SZ)产业链持续增长 齐心集团(002301.SZ)领军办公集采行业,智通财经
294,2021-04-21,首创证券--化工行业周报：顺周期板块持续分化，回归阿尔法主线正当时【行业研究】,金融界股吧
295,2021-04-20,新和成：光气项目正建设中,Wind
296,2021-04-20,新和成：公司辅酶Q10产能300吨，以出口为主,Wind
297,2021-04-20,光大证券--基础化工行业周报：油价和需求共同好转，2021Q1化工企业业绩表现强劲【行业研究】,金融界股吧
298,2021-04-16,黑龙江农业如何赋能升级？,财经网
299,2021-04-15,306家药企晒2020成绩单！超40家亏损，77家翻倍，云南白药、复星……狂赚超30亿 亏损,米内网
300,2021-04-14,化工板块表现活跃 机构建议关注两条主线,中财网
301,2021-04-13,4月13日晚间重要行业研究汇总(附股),中金在线
302,2021-04-13,新和成产品研发及产业化加速 去年营收破百亿元净利增长超六成,证券日报网
