,2021-12-31,天风期货2名股东合计增持3784万股 上半年公司净利408.42万,同壁财经
62,2021-12-15,【异动股】紫金矿业(02899.HK)跌3.08%,财华社
63,2021-12-14,"紫金矿业现1笔大宗交易 共成交2,491.00万元",新浪
64,2021-12-14,【异动股】紫金矿业(02899.HK)跌3.06%,财华社
65,2021-12-14,国际评级：鹏元国际将紫金矿业集团股份有限公司的国际评级上调至‘BBB-’；展望稳定,中证鹏元评级
66,2021-12-14,国内首家“氨-氢能源重大产业创新平台”落地福建,世纪新能源
67,2021-12-13,海外信用评级汇总2021年12月13日星期一,Wind
68,2021-12-13,三聚环保、福州大学、紫金矿业联合打造“氨-氢能源重大产业创新平台”,e公司
69,2021-12-13,紫金矿业于海南投资成立融资租赁公司，注册资本2亿元,搜狐
70,2021-12-13,鹏元国际：上调紫金矿业国际刻度的长期主体评级至“BBB-”，展望“稳定”,Wind
71,2021-12-13,新能源e周报丨11月新能源车销量再创新高 国内个股走势平淡 机构研判：“矛盾的变化”将促使电动化趋势加速完成,每日经济新闻
72,2021-12-13,融入“双碳”战略 紫金矿业联手氢能国家队进军万亿绿色产业链,中国有色
73,2021-12-10,主承销商：“21紫金03”持有人会议未形成有效决议,Wind
74,2021-12-10,A股共发生182宗大宗交易成交34.46亿元（12月10日）,Wind
75,2021-12-10,紫金矿业现1笔大宗交易 共成交421.27万元,新浪
76,2021-12-10,紫金矿业今日大宗交易成交41.14万股，成交价10.24元折价0.19%,Wind
77,2021-12-10,【异动股】紫金矿业(02899.HK)跌3.07%,财华社
78,2021-12-09,紫金矿业(02899)根据限制性股票激励计划发行251万股A股,智通财经
79,2021-12-09,紫金矿业：本次限制性股票的授予数量为251万股A股,Wind
80,2021-12-09,北向资金狂买A股超200亿净买入额创历史次高，继续大幅抢筹白酒股,Wind
81,2021-12-09,2022年有色行业年度投资策略：以需求景气度为准绳 紧握核心赛道,新浪
82,2021-12-08,紫金矿业今日大宗交易成交160万股，成交价10.0元折价2.91%,Wind
83,2021-12-07,基本金属2022年度投资策略：为有源头活水来,新浪
84,2021-12-07,"紫金矿业现2笔大宗交易 共成交6,784.50万元",新浪
85,2021-12-07,紫金矿业今日大宗交易成交290万股，成交价10.25元溢价0.0%,Wind
86,2021-12-07,有色金属：LAS BAMBAS生产受限 国内适时降准稳增长,新浪
87,2021-12-06,金属周报：绿色能源产业规模扩张将推动金属行业成长属性释放,新浪
88,2021-12-06,新材料&金属材料行业周报：降准利好材料需求进一步复苏,新浪
89,2021-12-06,有色金属行业周报：供给扰动加剧 钴价有望持续上涨,华安证券
90,2021-12-06,海通证券：予紫金矿业(601899.SH)“优于大市”评级 合理价值14.88元-15.5元,智通财经
91,2021-12-06,港股盘前必读：滴滴启动在香港上市，多家房企启动固收产品发行,Wind
92,2021-12-06,紫金矿业获贝莱德增持1284.76万股H股,Wind
93,2021-12-03,【权益变动】紫金矿业(02899.HK)获贝莱德增持1284.7564万股,财华社
94,2021-12-03,“十四五”规划印发：碳排放降18%，落后产能加速淘汰！,Wind
95,2021-12-02,青海前首富40亿元股票惨遭拍卖！曾跻身百富榜，因高速太堵开直升机回家 司法拍卖,21金融圈
96,2021-12-02,青海前首富的资本败局：肖永明40.76亿元藏格股票被“清空”拍卖，谁会接盘？ 司法拍卖,21世纪经济报道
97,2021-12-02,现金交易不讲价！陈发树甩卖零售资产，新华都股市先“嗨”了,华夏时报
98,2021-12-01,东亚前海证券：给予紫金矿业买入评级,证券之星
99,2021-11-30,新能源金属价格创3年新高，机构高度关注这些股,Wind
100,2021-11-30,紫金矿业(02899.HK)获贝莱德增持1284.8万股,格隆汇
101,2021-11-29,A股地图看福建：“宁王”领头，还有4家市值破千亿,雪球
102,2021-11-29,金属、非金属与采矿行业周报：南非变异病毒扰动供给 钴价有望再超预期,新浪
103,2021-11-26,有色金属行业2021年债券投资手册之二：有色金属行业常识与景气度跟踪,新浪
104,2021-11-26,【异动股】紫金矿业(02899.HK)跌3.01%,财华社
105,2021-11-25,紫金矿业于上海成立投资公司，注册资本10亿元,搜狐
106,2021-11-25,福建前首富出手放大招！重仓一只股就赚上百亿,Wind
107,2021-11-24,被写作耽误的“股神”？紫金陈晒出年化收益率近80%,Wind
108,2021-11-24,紫金矿业今日大宗交易成交41.14万股，成交价10.5元溢价0.57%,Wind
109,2021-11-24,有色金属行业：新能源汽车景气度向好 关注稀土和铜板块,新浪
110,2021-11-24,福建区域股市周报：腾景科技涨34.44%涨幅第一 紫金矿业跌出板块市值3强,每日经济新闻
111,2021-11-24,全球铜消息：紫金矿业将在Kamoa Kakula铜矿投资新建冶炼厂,富宝资讯
112,2021-11-24,中国紫金获批投资7.69亿美元建设刚果的铜冶炼厂,长江有色
113,2021-11-23,紫金矿业(02899)同意多宝山铜业吸收合并铜山矿业,智通财经
114,2021-11-23,紫金矿业：拟以全资子公司黑龙江多宝山铜业为主体吸收合并公司全资子公司铜山矿业,Wind
115,2021-11-23,紫金矿业(02899.HK)：卡莫阿铜业投建50万吨/年铜冶炼厂项目内部立项 总投资7.69亿美元,格隆汇
116,2021-11-23,紫金矿业：第七届董事会临时会议审议通过六项议案,Wind
117,2021-11-23,紫金矿业(601899.SH)：拟利用保险资金进行融资 总金额不超150亿元,格隆汇
118,2021-11-23,紫金矿业(601899.SH)：董事会同意对卡莫阿铜业投建50万吨/年铜冶炼厂项目进行内部立项,格隆汇
119,2021-11-23,紫金矿业：全资子公司吸收合并暨变更部分募投项目实施主体,Wind
120,2021-11-23,国际铜成跨境贸易定价基准，境内外有色巨头齐捧场,Wind
121,2021-11-23,上市公司跨界发展胜算几何,经济日报
122,2021-11-23,新能源金属需求提振，有色板块表现活跃,Wind
123,2021-11-22,期货日报：国际铜｜期现合作稳步推进 服务跨境贸易功能初显,上期所
124,2021-11-22,有色金属行业周度报告：锂价上涨有望提速,新浪
125,2021-11-22,中国企业将在国际贸易中更多地使用上海国际铜价,富宝资讯
126,2021-11-22,第三次锂涨价已启动！5股上涨空间逾50%,Wind
127,2021-11-22,锂矿争夺战正酣，第三次锂涨价已启动！锂资源概念名单出炉，机构称业绩增长确定性高，5股上涨空间逾50%（附股）,微信
128,2021-11-22,行业景气度提升，机构关注盐湖提锂概念股,Wind
129,2021-11-19,卡莫阿铜业与中国瑞林签订铜冶炼厂工程合同,紫金矿业
130,2021-11-18,抢“锂”白热化！截胡后再被截胡，宁德时代收购千禧锂业告吹，谁是最后赢家？ 并购重组异常,上游新闻
131,2021-11-18,紫金矿业计划提升Buritica金矿的生产能力,我的有色
132,2021-11-17,安信证券：将于12月3日召开“21紫金01”、“21紫金02”、“21紫金03”持有人会议,Wind
133,2021-11-17,锂矿概念大反攻，盐湖提锂卷土重来，龙头释放利好消息，6股今年业绩有望翻倍增长（附股）,e公司
134,2021-11-16,有色金属行业周报：锂资源长期短缺继续推荐 铝价企稳关注左侧布局机会,新浪
135,2021-11-16,有色金属2022年年度策略报告：双碳改变供需曲线 商品周期仍在途,新浪
136,2021-11-15,紫金矿业(02899.HK)将回购注销80万股A股限制性股票,格隆汇
137,2021-11-15,紫金矿业：第七届董事会临时会议审议通过两项议案,Wind
138,2021-11-15,紫金矿业(02899)授出251万股限制性股票 将注销80万股限制性股票,智通财经
139,2021-11-15,紫金矿业(601899.SH)授予39名激励对象251万股限制性股票,智通财经
140,2021-11-15,神仙打架！宁德时代、赣锋锂业海外抢购锂矿，像以前土拍一样疯狂,腾讯网
141,2021-11-14,有色金属行业：侧吹工艺在红土镍矿中的应用,新浪
142,2021-11-13,雪球调研团 | 紫金矿业：把新能源和新材料作为未来发展方向之一,雪球
143,2021-11-12,有色钢铁行业周策略(2021年第44周)：采暖季与能耗双控叠加 Q4供给或承压,新浪
144,2021-11-12,汽车产业创新链竞逐“隐形冠军”,Wind
145,2021-11-11,能源材料行业跟踪,新浪
146,2021-11-11,紫金矿业今日大宗交易成交230万股，成交价10.69元溢价0.0%,Wind
147,2021-11-11,"紫金矿业现2笔大宗交易 共成交2,458.70万元",新浪
148,2021-11-11,美国通胀加速刺激金价大涨，黄金概念股迎来机会,第一财经
149,2021-11-10,有色金属行业专题研究：板块业绩兑现有力 结构性行情将持续演绎,新浪
150,2021-11-10,有色钢铁行业周策略：新能源需求强劲 锂矿价格持续上涨,新浪
151,2021-11-09,周期产业2022年投资策略：聚焦成长性材料量利齐升下的机会,新浪
152,2021-11-09,A股融资融券日报：两融余额增加39.23亿元（11月8日）,Wind
153,2021-11-08,港股异动 | 紫金矿业(02899)尾盘涨超4% 投资天风期货获得证监会核准,智通财经
154,2021-11-08,业内：紫金矿业对大宗商品的投研能力将提升 天风期货将更靠近产业实体,第一财经
155,2021-11-08,【行情】港股黄金及贵金属板块涨幅居前，招金矿业(01818.HK)涨近7%，中国白银集团(00815.HK)涨5.36%，中国黄金国际(02099.HK)涨5.06%，紫金矿业(02899.HK)涨3,金十数据
156,2021-11-08,“有色一哥”紫金矿业入股天风期货，产业系期货公司或成新风口,资本邦
157,2021-11-08,A50ETF（159601）成交突破10亿大关，成交和涨幅第一,Wind
158,2021-11-08,【异动股】紫金矿业(02899.HK)涨3.33%,财华社
159,2021-11-08,陆家嘴财经早餐2021年11月8日星期一,Wind
160,2021-11-08,陆股通周监控：创业板仓位续创新高,新浪
161,2021-11-07,今年跨界并购有点多，成功破圈并不易,Wind
162,2021-11-07,麦迪科技并购医美项目告吹！今年跨界并购有点多，成功破圈并不易 并购重组异常,中证报
163,2021-11-07,瞄准新兴产业 多家上市公司谋求跨界转型,发布易
164,2021-11-06,元宇宙概念爆发，机构点出四大受益上游企业，其中一只获北向资金重点加仓（名单）,21世纪经济报道
165,2021-11-06,"""有色一哥""紫金矿业入局天风期货！豪掷3.5亿，晋升为第一大股东",Wind
166,2021-11-06,"""有色一哥""入局期货业！豪掷3.5亿，晋升期货公司第一大股东，刚宣布49亿加码锂矿",券商中国
167,2021-11-06,紫金矿业黄金业务“成色”不如铜 铜矿业务毛利占比达52%,证券日报
168,2021-11-06,上半年逾百家 有色金属行业公司业绩同比增长,中证报
169,2021-11-06,上市公司正负面新闻2021年11月6日星期六,Wind
170,2021-11-06,北上资金抄底电子行业，增持宁德时代,Wind
171,2021-11-05,【晚间公告抢先看】宁德时代拟70亿元投建新能源动力及储能电池项目、万科A拟分拆万物云到港交所上市,金融界
172,2021-11-05,晚间重要公告2021年11月5日星期五,Wind
173,2021-11-05,紫金矿业(601899.SH)投资天风期货事项获核准,智通财经
174,2021-11-05,有色金属行业：RCEP即将生效 工业金属景气有望延续,广发证券
175,2021-11-05,紫金矿业：投资天风期货获得证监会核准，持股比达46.1479%,Wind
176,2021-11-05,紫金矿业：投资天风期货获得证监会核准,Wind
177,2021-11-04,紫金矿业现2笔大宗交易 共成交985.43万元,新浪
178,2021-11-04,北向资金稳步加仓连续6日净买入，新能源、大消费集体获抢筹,Wind
179,2021-11-03,紫金矿业今日大宗交易成交26.29万股，成交价10.2元溢价0.0%,Wind
180,2021-11-03,紫金矿业发生2笔大宗交易 合计成交905.80万元,证券时报网
181,2021-11-03,BlackRock Inc.增持紫金矿业股份约2068.74万股,每日经济新闻
182,2021-11-03,紫金矿业现2笔大宗交易 共成交905.80万元,新浪
183,2021-11-03,北向资金连续5日净买入，隆基股份遭大幅抛售超16亿元,Wind
184,2021-11-03,公募基金持股市值创新高，社保显著加仓周期股（附表）,Wind
185,2021-11-03,紫金矿业：公司拟以现金方式收购新锂公司全部已发行且流通的普通股，交易金额约为9.6亿加元（约合人民币49.39亿元）,每日经济新闻
186,2021-11-03,企企通携手紫金矿业，助力世界500强矿业集团SRM采购智慧升级,凤凰网
187,2021-11-03,紫金矿业：目前公司矿山项目运营正常,每日经济新闻
188,2021-11-03,紫金矿业：协议收购新锂公司能否成功存在不确定性,格隆汇
189,2021-11-03,北向资金动向盘点：冷静应对巨幅波动,Wind
190,2021-11-03,张坤、裘国根、邓晓峰等“顶流”3大举措应对震荡市,Wind
191,2021-11-03,连续4日净买入！北向资金增持电子元件、减持银行，逾12亿大幅加仓“光伏茅” 减持股份,21世纪经济报道
192,2021-11-03,最新筹码集中股名单出炉，23股连续3期集中,Wind
193,2021-11-03,锂矿争夺战持续：宁德时代要约收购被“截胡”，海外卖家坐地起价,Wind
194,2021-11-02,紫金矿业：拟为塞紫铜提供不超0.68亿美元担保 为麻栗坡钨业提供不超5亿元担保 大额借贷担保,发布易
195,2021-11-02,紫金矿业今日大宗交易成交67.70万股，成交价10.23元溢价0.0%,Wind
196,2021-11-02,紫金矿业现2笔大宗交易 共成交692.57万元,新浪
197,2021-11-02,紫金矿业：为控股子公司提供担保,Wind
198,2021-11-02,紫金矿业：集团公司实际发生的对外担保累计金额约为346.28亿元 大额借贷担保,每日经济新闻
199,2021-11-02,恒指高开低走收跌0.22%，录得6连跌,Wind
200,2021-11-02,社保大举加仓！证金汇金频频减持，三季度这么“炒股”,Wind
201,2021-11-02,【异动股】紫金矿业(02899.HK)跌3.04%,财华社
202,2021-11-02,福建区域股市周报：19家机构调研亿联网络 法拉电子进入板块市值10强,每日经济新闻
203,2021-11-02,紫金矿业：兴业证券证券、雪球等2家机构于10月28日调研我司,证券之星
204,2021-11-01,北向资金今日净买入7.11亿元，连续13日抢筹宁德时代累计加仓超76亿元,Wind
205,2021-11-01,社保基金最新路线图曝光，调仓频率加快，有色金属行业成新宠，长期持有6只利润翻倍股,证券时报网
206,2021-11-01,紫金矿业：限电对公司矿山项目没有实质性影响,Wind
207,2021-11-01,抄底中国中免2年赚25亿！5亿建仓隆基股份赚99亿,Wind
208,2021-11-01,两年大赚超20亿！福建前首富、知名牛散陈发树精准抄底中国中免，建仓隆基股份三年股价涨1400%,中证报
209,2021-11-01,私募大佬放大招！看邓晓峰、冯柳、裘国根等最新持仓,Wind
210,2021-11-01,私募大佬大调仓，高瓴大举减持医药股，邓晓峰巨资建仓“券茅”，冯柳抄底两大药房龙头 减持股份,e公司
211,2021-10-31,有色金属行业周报：锂板块已充分调整继续推荐 基本金属价格继续调整建议关注,新浪
212,2021-10-31,金属新材料周报：煤价下降对下游已出现正贡献,新浪
213,2021-10-31,A股三季报出炉，5大主力资金重仓名单全披露,Wind
214,2021-10-30,周期股三季报“惊艳”，高景气驱动业绩爆发,Wind
215,2021-10-30,4500家公司三季报亮丽出炉，传统行业和新兴产业交相辉映,Wind
216,2021-10-30,机构三季度持股趋分散，大资金偏爱钢铁和有色,Wind
217,2021-10-29,QDII基金总规模一路“高歌猛进” 千亿基金经理阵营新增1人,证券之星
218,2021-10-29,云南白药被割15亿，前福建首富联席“操盘”，千亿白马也热衷炒股,AI财经社
219,2021-10-29,私募大佬隐形重仓股曝光！冯柳挖到翻倍股，邓晓峰狂买紫金矿业,Wind
220,2021-10-29,深挖“小而精” 私募大佬持仓曝光,中证网
221,2021-10-28,黄金股集体走弱 紫金矿业(02899)下挫3.95% 三季度全球黄金需求量同比下跌7%,和讯
222,2021-10-28,中国黄金协会：前三季度我国黄金消费量同比增长48.44%,Wind
223,2021-10-28,“顶流”管理规模缩水超百亿！但是他们更有信心了,Wind
224,2021-10-28,【异动股】紫金矿业(02899.HK)跌4.49%,财华社
225,2021-10-28,华创固收耐普转债申购价值分析：聚焦选矿环节，有望迎来需求景气,Wind
226,2021-10-27,社保、QFII、险资等最新持股大曝光！,中国基金报
227,2021-10-27,社保基金三季度增持名单揭秘，哪些板块值得关注？机构：这五个行业或能出现估值切换,财联社
228,2021-10-27,私募持仓去向曝光：增持87股，8只已翻番,Wind
229,2021-10-27,张坤减持洋河股份，谢治宇、傅友兴减持双汇发展,Wind
230,2021-10-27,董承非“封笔之作”、谢治宇仓位提升……,Wind
231,2021-10-27,【异动股】紫金矿业(02899.HK)跌4.33%,财华社
232,2021-10-27,私募最新持仓：高瓴动作频频，2大百亿私募加仓茅台,Wind
233,2021-10-27,私募最新持仓出炉！高瓴动作频频，两大百亿私募加仓茅台！冯柳、邓晓峰布局这些股,券商中国
234,2021-10-27,加仓有色地产，三季度社保基金调仓攻守兼备,Wind
235,2021-10-27,顶流来了！谢治宇、朱少醒、周蔚文、刘彦春等最新持股大曝光,Wind
236,2021-10-27,顶流来了！谢治宇、朱少醒、周蔚文、刘彦春、雷鸣等最新持股大曝光,中国基金报
237,2021-10-26,顶流基金经理们正拥抱什么？董承非低仓位低换手应对波动，周蔚文大手笔增持宁波银行，冯明远半数重仓股被换,财联社
238,2021-10-26,明星基金经理持仓曝光！500亿“顶流”李晓星，大举加仓新能源,中证报
239,2021-10-26,锂精矿拍卖价再创历史新高！上市公司股价、业绩已“涨上天”，风险如何？,Wind
240,2021-10-26,裘国根、葛卫东、冯柳、邓晓峰、林利军调仓换股曝光,Wind
241,2021-10-26,私募大佬裘国根、葛卫东继续加仓这只股！冯柳、邓晓峰、林利军、杨东调仓换股曝光！,中国基金报
242,2021-10-26,新材料&金属材料行业周报(2021年10月第4期)：煤价下滑利于成本下降,新浪
243,2021-10-26,有色一哥紫金矿业入局，赣锋锂业频频豪买，加码锂矿的利与弊,Ofweek
244,2021-10-26,增量资金入场，A股有望延续震荡上行趋势,Wind
245,2021-10-25,紫金矿业陈景河：中国需要有全球竞争力的矿企,长江有色
246,2021-10-25,高毅资产最新持仓曝光！邱国鹭捕获暴涨股，冯柳坚守海康威视，邓晓峰抄底科思股份过举牌线,财联社
247,2021-10-25,北向资金连续5日加仓累计扫货超300亿，阳光电源、天赐材料净买入额均超新高,Wind
248,2021-10-25,全球锂矿争夺剑拔弩张,高工锂电
249,2021-10-25,紫金塞尔维亚丘卡卢·佩吉铜金矿正式投产 将助力塞尔维亚成为欧洲第二大铜国,我的有色
250,2021-10-25,大曝光！邓晓峰抄底这只股，冯柳“新宠”来了！,Wind
251,2021-10-24,披露三季报后，这些股票获券商力挺！目标价最高竟是翻番！,Wind
252,2021-10-24,百亿级私募最新持仓曝光！景林、聚鸣罕见“碰头”,Wind
253,2021-10-24,有色金属行业周报：锂矿长期短缺继续推荐 铜铝价格调整带动板块下行,新浪
254,2021-10-23,这家公司股价腰斩，私募大佬却巨资买入,Wind
255,2021-10-23,锂矿股“下半场”：去年天气旧亭台，似曾相识燕归来？,Wind
256,2021-10-22,北向资金一年来首次连续两日加仓超百亿，七天爆买宁德时代近50亿,Wind
257,2021-10-22,最新披露！邓晓峰、冯柳投资大招来了,Wind
258,2021-10-21,“国家队”爱银行也爱地产，社保基金增减仓曝光，常熟银行也成明星基金经理丘栋荣“心头好”,财联社
259,2021-10-21,紫金矿业(601899)：传统龙头进军世界级锂资源 打开全新成长空间,新浪
260,2021-10-21,从商业模式筛选周期类核心资产,第一财经
261,2021-10-21,激活“锌”动力 陈景河专题部署紫金矿业锌板块工作,紫金矿业
262,2021-10-21,87亿！中企提前35年拿到百万吨锂资源,微信
263,2021-10-21,A股融资融券日报：两融余额增加49.12亿元（10月20日）,Wind
264,2021-10-20,1吨18万元，“白色石油”全球都在抢！宁德时代、锂业双雄开启国际并购,每日经济新闻
265,2021-10-20,紫金矿业跌4.07% 中信证券高点喊买入,中国经济网
266,2021-10-20,A股资金流向（10月20日）：新能源板块再获青睐，但宁德时代连续两日遭净卖出,Wind
267,2021-10-20,杉杉股份(600884)：锂电材料盈利能力提升 加速布局产业上游,新浪
268,2021-10-20,“白色石油”争夺战：碳酸锂价格突破18万元/吨 中国企业国际战略能否破局？,每日经济新闻
269,2021-10-20,海外机构调研股名单、社保基金三季报重仓股名单出炉,证券时报
270,2021-10-20,最新16只个股前十大流通股东出现社保基金身影，合计持股市值近140亿元,资本邦
271,2021-10-20,紫金矿业前三季利润总额达184亿元 同比增长149%,紫金矿业
272,2021-10-20,【异动股】紫金矿业(02899.HK)跌3.07%,财华社
273,2021-10-20,融资客青睐5股，七匹狼买入占比高达46.12%,Wind
274,2021-10-20,A股早报2021年10月20日星期三,Wind
275,2021-10-20,A股融资融券日报：两融余额增加48.77亿元（10月19日）,Wind
276,2021-10-20,54股获券商买入评级，紫金矿业目标涨幅达72.88%,第一财经
277,2021-10-20,54股获券商买入评级，紫金矿业目标涨幅达72.88%,Wind
278,2021-10-20,紫金矿业连续3日获北向资金净买入,证券时报网
279,2021-10-19,有色金属行业周报：新能源车销量环比高增 持续看好锂铝,新浪
280,2021-10-19,有色钢铁行业周报：限电推动价格上行 关注低库存品种,新浪
281,2021-10-19,紫金矿业（02899）：前三季度稳增长逐步兑现，产能释放期业绩或持续爆发,智通财经
282,2021-10-19,花旗：维持紫金矿业“买入”评级，目标价升至16.6港元,36氪
283,2021-10-19,三季度社保、险资、公募持仓抢先看，这两家公司被联合抢筹,Wind
284,2021-10-19,社保基金最新持仓18只个股，10月份以来这三只个股涨逾10%,第一财经
285,2021-10-19,花旗：维持紫金矿业买入评级 目标价升12.9%至16.6港元,新浪
286,2021-10-19,A股资金流向（10月19日）：消费、保险普反，新能源出现分化,Wind
287,2021-10-19,社保基金三季度重仓股名单（附股）,证券时报网
288,2021-10-19,花旗：上调紫金矿业目标价至16.6港元，评级买入,Wind
289,2021-10-19,国信证券：给予紫金矿业买入评级,证券之星
290,2021-10-19,国信证券维持紫金矿业买入评级：净利润继续超预期，将进入新能源金属赛道,每日经济新闻
291,2021-10-19,大摩：紫金矿业(2899.HK)三季业绩胜预期 维持增持评级,格隆汇
292,2021-10-19,大摩：维持紫金矿业增持评级，目标价升5.3%至15.12港元,Wind
293,2021-10-19,大摩：维持紫金矿业增持评级 目标价升5.3%至15.12港元,新浪
294,2021-10-19,有色金属行业研究周报：能源瓶颈发酵 供给扰动引发锌价大幅上行 建议关注基本金属供给侧扰动带来的反弹,新浪
295,2021-10-19,国信证券：维持紫金矿业(601899.SH)“买入”评级 Q3业绩超预期 Q4铜价有望维持高位,智通财经
296,2021-10-19,A股融资融券日报：两融余额增加74.53亿元（10月18日）,Wind
297,2021-10-19,"抢锂大战""三国杀""，哪家占得便宜最大？",阿尔法工场研究院
298,2021-10-19,争夺战升温：动力电池出海的危与机,Wind
