,2021-12-31,行业观察|半岛超声炮大火 医美设备厂商国产替代空间广阔,财联社
158,2021-11-26,复星医药(600196.SH)：子公司用于“原料药(磺胺多辛、乙胺嘧啶、盐酸莫西沙星)、盐酸莫西沙星片”的生产场地通过GMP符合性检查,格隆汇
159,2021-11-26,复星医药控股子公司通过GMP符合性检查,乐居财经
160,2021-11-26,复星医药(600196.SH)子公司桂林南药通过GMP符合性检查,智通财经
161,2021-11-26,复星医药：FCN-159片用于I型神经纤维瘤的治疗启动II期临床研究,财联社
162,2021-11-26,复星医药(600196.SH)拟参与设立安吉基金和徐州基金,智通财经
163,2021-11-26,盟科药业冲刺科创板；阿里健康中期业绩；复星医药双抗在澳获批临试,GBIHealth
164,2021-11-25,复星医药：“18复药03”回售金额9.91亿元，拟转售,Wind
165,2021-11-25,医药行业加速洗牌，头部药企掀起合作潮,Wind
166,2021-11-25,港股公告精选：佳兆业集团正考虑措施以增加流动性今日复牌,Wind
167,2021-11-25,Wind风控日报2021年11月25日星期四,Wind
168,2021-11-25,智通港股早知道 | (11月25日)美联储或提前加息 稀土价格快速反弹破9月高点,智通财经
169,2021-11-25,上市公司正负面新闻2021年11月25日星期四,Wind
170,2021-11-24,智通港股公告精选︱(11.24)复星医药参设多个基金加强布局大健康产业 阿里健康中期亏损2.32亿元,智通财经
171,2021-11-24,复星医药：设立安吉及徐州投资基金，计划募集资金均为5亿元,Wind
172,2021-11-24,复星医药：成立合伙企业,Wind
173,2021-11-24,复星医药：董事会建议销售交易年度上限调整为7.5亿元,Wind
174,2021-11-24,晚间重要公告2021年11月24日星期三,Wind
175,2021-11-24,复星医药(02196)：“18复药02”将于11月30日付息,智通财经
176,2021-11-24,复星医药(02196)及控股子公司拟与宁波星曜共同投资设立股权投资基金大连复健,智通财经
177,2021-11-24,复星医药(02196):奥鸿药业主动申请撤回色甘酸钠颗粒的注册申请,智通财经
178,2021-11-24,复星医药：控股子公司药品于澳大利亚药品管理局完成临床试验备案,Wind
179,2021-11-24,复星医药：控股子公司撤回药品注册申请,Wind
180,2021-11-24,复星医药(02196.HK)：控股子公司撤回药品注册申请,格隆汇
181,2021-11-24,复星医药(02196)控股子公司拟参设私募基金定向投资早期创新药项目,智通财经
182,2021-11-24,复星医药(02196.HK)：拟参与设立私募股权投资基金,格隆汇
183,2021-11-24,复星医药：“18复药03”债券付息日11月30日,Wind
184,2021-11-24,复星医药：“18复药02”债券付息日11月30日,Wind
185,2021-11-24,中山公用：股东复星集团拟减持不超6%公司股份 拟减持股份,36氪
186,2021-11-24,中山公用(000685.SZ)股东复星集团拟减持不超8850.67万股 拟减持股份,智通财经
187,2021-11-24,中山公用：复星集团拟减持不超过总股本6% 拟减持股份,Wind
188,2021-11-24,为持续加强对于前沿创新药研发项目的早期介入 复星医药(600196.SH)拟参设基金,智通财经
189,2021-11-24,复星医药(600196.SH)：拟携宁波星曜等共同设立投资基金大连复健,格隆汇
190,2021-11-24,复星医药(600196.SH)：复宏汉霖药品于澳大利亚药品管理局完成临床试验备案,智通财经
191,2021-11-24,复星医药：董事会会议审议通过关于调整部分2021年日常关联交易预计的议案,Wind
192,2021-11-24,复星医药：子公司主动申请撤回色甘酸钠颗粒的上市许可注册申请 IPO融资异常,Wind
193,2021-11-24,复星医药：子公司/企业拟参与设立目标基金，用于肿瘤创新药项目,Wind
194,2021-11-24,复星医药(600196.SH)：子公司拟参设安吉基金、徐州基金两个平行基金 以定投肿瘤及非肿瘤治疗等领域,格隆汇
195,2021-11-24,为加强大健康产业布局 复星医药(600196.SH)拟设股权投资基金出资及管理平台,智通财经
196,2021-11-24,复星医药：控股子公司药品HLX301于澳大利亚药品管理局完成临床试验备案,Wind
197,2021-11-24,复星医药：控股子公司药品HLX301于澳大利亚药品管理局完成临床试验备案,财联社
198,2021-11-23,韩国药企利妥昔单抗占欧洲市场40% 国产现状如何？,药智网
199,2021-11-23,医药行业周报：持续看好优质创新与CXO龙头企业,新浪
200,2021-11-22,CAR-T治疗肿瘤再迎重大进展，电源管理芯片供应紧缺丨明日主题前瞻,第一财经
201,2021-11-22,辅助生殖站上风口，底部放量的低估值股来了,Wind
202,2021-11-22,进博会观察|双轮驱动 复星打造全球化动力新引擎,光明网
203,2021-11-22,复星国际陈启宇：中国企业成为全球创新药研发全链条的重要参与者,中国经营报
204,2021-11-21,医保谈判尘埃落定，布局医药蓝筹正当时！,红周刊
205,2021-11-19,又一家大型民营医院被收购了！,新浪
206,2021-11-19,医药板块异动：奥翔药业涨停，先声药业涨超6%,制药网
207,2021-11-19,部分抗疫概念股走强 复星医药(02196)涨3.8% 全国新冠疫苗接种超24亿剂次,和讯
208,2021-11-18,深度*行业*2021年MRNA疫苗技术分析深度报告之二：新冠疫情持续 加强针与高效疫苗需求提升,新浪
209,2021-11-18,复星医药：布局医药健康业链，切入感染防治赛道,中金在线
210,2021-11-17,A股融资融券日报：两融余额减少48.12亿元（11月16日）,Wind
211,2021-11-17,复星系拓展资本版图 “A拆北”钢宝股份信披违规 其他违规处罚,金融投资报
212,2021-11-16,北向资金再度加仓近42亿连续4日净买入，批量扫货白酒医药股,Wind
213,2021-11-16,复星医药：12月7日召开2021年第三次临时股东大会,Wind
214,2021-11-16,恒指高开高走录得六连涨，博彩、游戏股爆发,Wind
215,2021-11-16,【行情】港股抗疫概念股走高，康希诺生物(06185.HK)涨5.39%，复星医药(02196.HK)涨超4%，中国生物制药(01177.HK)、腾盛博药-B(02137.HK)涨约2.69%，四环医药,金十数据
216,2021-11-16,【异动股】复星医药(02196.HK)涨4.15%,财华社
217,2021-11-16,【行情】港股医美概念股拉升，瑞丽医美(02135.HK)涨12.66%，时代天使(06699.HK)涨6.7%，复星医药(02196.HK)涨3.11%，康哲药业(00867.HK)涨1.39%，昊海,金十数据
218,2021-11-15,北交所开市后首例分拆上市预案来了！南钢股份抢跑 郭广昌欲再扩资本版图,北京商报
219,2021-11-15,医美概念持续拉升，行业需求快速增长，主力看好这些股,第一财经
220,2021-11-15,陆家嘴财经早餐2021年11月15日星期一,Wind
221,2021-11-14,晚间重要公告2021年11月14日星期日,Wind
222,2021-11-14,复星回应产品陷抄袭罗生门：拥有知识产权，相信法院,Wind
223,2021-11-12,北向资金再度加仓超36亿，东方财富本周净买入近28亿,Wind
224,2021-11-12,医药板块2021Q3分析暨11月月报：高基数下增速放缓 板块基本面仍旧强劲 把握配置窗口期,新浪
225,2021-11-12,北向资金动向盘点：房地产回暖，重手加仓却是非银,Wind
226,2021-11-11,希望破灭！天价药没有双十一，120万一针抗癌神药或无缘医保,时代财经
227,2021-11-11,雪扬科技起诉复星集团等侵犯商业秘密 诉讼纠纷,北京商报
228,2021-11-11,斥资8亿，复星再控股一家三级医院,医学界智库
229,2021-11-11,Wind医药：每日行业动态（2021-11-11）,Wind
230,2021-11-11,国家医保谈判“降价”依旧是主旋律，感染药及PD(L)-1新适应症成角逐热点,Wind
231,2021-11-10,21深度丨国产新冠mRNA疫苗箭在弦上：IIIb期加强针临床试验获批，谁将是最终大赢家？,21世纪经济报道
232,2021-11-10,复星医药：控股子公司通过GMP符合性检查的公告,Wind
233,2021-11-10,120万元一针抗癌神药进入医保谈判！医药龙头股直接飙涨逾9%，一批上市公司产品纳入谈判,中证报
234,2021-11-10,复星医药(600196.SH)：控股子公司富马酸丙酚替诺福韦原料药生产线通过GMP符合性检查,格隆汇
235,2021-11-10,120万元一针抗癌神药首次进入医保谈判！能砍成多少？,Wind
236,2021-11-10,沃森生物冲击涨停，疫苗板块继续扩大升幅,Wind
237,2021-11-10,【异动股】复星医药(02196.HK)涨3.82%,财华社
238,2021-11-10,沃森生物火箭发射，现涨超10%,Wind
239,2021-11-10,A股早报2021年11月10日星期三,Wind
240,2021-11-10,港股11月10日早报：舜宇光学10月手机镜头出货量下降 复星医药受让广州新市医院股权,财联社
241,2021-11-10,港股盘前必读：腾讯宣布全面升级员工“职业里程碑”关怀方案,Wind
242,2021-11-09,复星医药：控股子公司复星健康受让广州新市医院70%股权,中证网
243,2021-11-09,复星医药：附属公司拟以8.09亿元收购目标公司70%的股权,Wind
244,2021-11-09,复星医药(02196.HK)拟委任王可心及关晓晖为执行董事,格隆汇
245,2021-11-09,【晚间公告抢先看】平治信息签订VR战略合作协议、*ST澄星债权人申请公司破产重整 减资破产,金融界
246,2021-11-09,复星医药(02196)拟为复星实业申请的不超7500万欧元授信下的债务提供担保 大额借贷担保,智通财经
247,2021-11-09,复星医药(02196.HK)：控股子公司拟8.09亿元受让广州新市医院70%股权,格隆汇
248,2021-11-09,晚间重要公告2021年11月9日星期二,Wind
249,2021-11-09,复星医药：第八届董事会第五十六次会议审议通过五项议案,Wind
250,2021-11-09,复星医药子公司拟逾8亿元收购广州新市医院70%股权,上证报
251,2021-11-09,复星医药：复星医药关于非执行董事辞职的公告 董监高成员变化,新浪
252,2021-11-09,复星医药：本集团实际对外担保金额折合人民币约200.55亿元 大额借贷担保,每日经济新闻
253,2021-11-09,复星医药(600196.SH)：复星健康拟出资8.09亿元受让林俊杰持有的广州新市医院70%股权,格隆汇
254,2021-11-09,复星医药：复宏汉霖生物医药产业化基地（二）一期项目增加8.18亿元投资,财联社
255,2021-11-09,复星医药：龚平、张厚林请辞非执行董事职务 董监高成员变化,Wind
256,2021-11-09,复星医药：拟8.09亿元受让广州新市医院70%股权,Wind
257,2021-11-09,北向资金成交低迷连续3日净卖出，中国平安遭大幅净卖出超10亿元,Wind
258,2021-11-09,如何对恒瑞医药进行估值？,中访网
259,2021-11-09,【异动股】复星医药(02196.HK)涨3.09%,财华社
260,2021-11-09,医药股大涨，医保谈判在即，哪些药企值得关注？,第一财经
261,2021-11-09,Wind医药：每日行业动态（2021-11-09）,Wind
262,2021-11-09,第四届进博会疫苗创新备受瞩目 复星晒mRNA疫苗包装盒,中国纸业网
263,2021-11-09,港股11月9日早报：复星医药新药临床获批 中兴通讯拟收购中兴微电子18.82%股权,财联社
264,2021-11-09,锂电持续大爆发，医药医疗却崩了！公募紧急解读来了,Wind
265,2021-11-09,新能源主线继续领跑，机构建议布局“跨年行情”,Wind
266,2021-11-09,锂电持续大爆发，医药医疗却崩了！公募基金解读来了,Wind
267,2021-11-08,【晚间公告抢先看】祖名股份上调部分植物蛋白饮品出厂价、ST中天股票累计涨幅较大 停牌核查,金融界
268,2021-11-08,复星医药(02196.HK)：参与设立的投资基金完成私募投资基金备案,格隆汇
269,2021-11-08,复星医药：复星通睿已于近期在中国证券投资基金业协会完成备案手续,Wind
270,2021-11-08,复星医药：控股子公司获药品临床试验批准,Wind
271,2021-11-08,复星医药成立企业管理合伙企业，经营范围含生物化工产品技术研发,新京报
272,2021-11-08,复星医药：FCN-342片获药品临床试验批准,乐居财经
273,2021-11-08,复星医药(600196.SH)：复创医药获药品临床试验批准,格隆汇
274,2021-11-08,9000亿赛道重挫、美国突发大消息，市场预期巨变？,Wind
275,2021-11-08,复星医药：FCN-342片用于痛风治疗开展临床试验获批,Wind
276,2021-11-08,两大利空来袭 医药股集体下跌 机构：关注创新服务产业链,第一财经
277,2021-11-08,烟花下的抗疫背后：中国做到了什么？还要做哪些常态化准备？,观察者网
278,2021-11-08,A股收盘综述：锂电池王者归来，天齐锂业上板并获主力净流入27亿元,Wind
279,2021-11-08,疫苗股崩了！沃森生物61天腰斩 股民人均亏52万 亏损,凤凰网
280,2021-11-08,A股午盘综述：锂电池板块再度崛起，稀土、环保、航运、元宇宙炒作积极,Wind
281,2021-11-08,A股疫苗股集体下挫 复星医药和沃森生物跌超5%,格隆汇
282,2021-11-08,港股异动：生物医药板块大跌！康希诺生物跌超20%、复星医药跌超6%,证券之星
283,2021-11-08,康希诺-U跌近10%创上市以来新低，疫苗板块连续下滑,Wind
284,2021-11-07,连续四年参展进博会，复星医药：立足中国 链接全球,E药经理人
285,2021-11-07,复星医药：与国家卫健委国际交流与合作中心启动“乡村振兴健康示范工程”战略合作,Wind
286,2021-11-07,复星医药：与国家卫生健康委国际交流与合作中心启动“乡村振兴健康示范工程”战略合作,e公司
287,2021-11-06,逛进博｜默沙东大屏秀新冠口服药，复星晒mRNA疫苗包装盒,澎湃新闻
288,2021-11-06,辉瑞新冠口服药要逆转疫情？股价飙涨，两大竞争对手全崩了！,Wind
289,2021-11-06,重磅突发！辉瑞新冠口服药，降低住院或死亡率89%，要逆转疫情？,Wind
290,2021-11-05,医疗健康产业2022年投资策略：医疗投资进入百花齐放时代 国产自主化进入新高潮,新浪
291,2021-11-04,复星医药：公司目前暂不涉及所述产品的生产,每日经济新闻
