,2021-12-30,山东黄金(01787)将设立矿业管理分公司,智通财经
100,2021-10-18,港股盘前必读：MSCI中国A50互联互通（美元）指数期货今日正式开始交易,Wind
101,2021-10-16,Wind风控日报2021年10月16日星期六,Wind
102,2021-10-16,上市公司正负面新闻2021年10月16日星期六,Wind
103,2021-10-15,安全检查导致产能受较大影响，山东黄金前三季度预亏12.5亿元 预亏,中华网
104,2021-10-15,山东黄金：预计2021年1~3季度净利润亏损约12.5亿元 预亏,每日经济新闻
105,2021-10-15,山东黄金(600547.SH)：预计前三季度净亏损约12.5亿元 预亏,格隆汇
106,2021-10-15,山东黄金：预计前三季度净亏损约12.5亿元，三季度净赚约1.1亿元 预亏,Wind
107,2021-10-15,山东黄金：前三季度预亏12.5亿元 由盈转亏 预亏,财联社
108,2021-10-15,山东黄金(01787.HK)10月27日董事会考虑及批准第三季度业绩,格隆汇
109,2021-10-15,山东黄金：将于10月27日举行董事会会议,Wind
110,2021-10-15,上调评级至买入策略选股（10月15日）,Wind
111,2021-10-14,华安证券：给予山东黄金买入评级,证券之星
112,2021-10-14,“工业母机”爆发，多股涨超10%，万亿成交不再，行情要转向？,Wind
113,2021-10-14,解盘：百亿资金流入，光伏、工业母机、储能、黄金珠宝领涨,Wind
114,2021-10-14,黄金股拔地而起，曼卡龙率先封住涨停,Wind
115,2021-10-13,山东黄金现1笔大宗交易 共成交998.37万元,新浪
116,2021-10-13,山东黄金今日大宗交易成交51.12万股，成交价19.53元溢价1.98%,Wind
117,2021-10-13,山东黄金：公司的黄金套期保值业务是由公司负责黄金交易的部门根据市场行情和实际产量情况制定交易策略，并进行人工操盘的,每日经济新闻
118,2021-10-08,晚间重要公告2021年10月8日星期五,Wind
119,2021-10-08,山东黄金：2021年矿产金产量约为24.5吨,Wind
120,2021-10-08,山东黄金：2021年生产计划中矿产金产量约24.5吨,财联社
121,2021-10-08,有色金属行业周报：锂价有望创历史新高继续推荐 铝价中枢上涨趋势不改建议持有,新浪
122,2021-10-06,【行情】港股黄金股午后走低，中国黄金国际跌5.01%，紫金矿业跌2.13%，灵宝黄金跌1.05%，山东黄金跌1%,金十数据
123,2021-09-30,山东黄金挂牌出售上海办公物业股权 底价6.74亿元 资产异常,观点地产网
124,2021-09-29,山东黄金：修订综合服务框架协议项下持续关连交易之年度上限,Wind
125,2021-09-29,山东黄金(01787)：山金金控拟以6.74亿元为挂牌底价公开挂牌转让上海盛钜100%股权,智通财经
126,2021-09-29,山东黄金：第六届监事会第七次会议通过一项议案,Wind
127,2021-09-28,山东黄金1787｜盈警 料首三季盈转亏蚀12.5亿人币 | 头条金融网 预亏,头条日报
128,2021-09-27,山东黄金日产量恢复超八成 遭遇不可抗力后如何逆势突围？,证券日报网
129,2021-09-27,第一上海：维持山东黄金(01787)“买入”评级 目标价18.53港元,智通财经
130,2021-09-26,金属、非金属与采矿行业周报：锂价持续加速上行 稀土整合拉开序幕,新浪
131,2021-09-24,将加快资源并购 山东黄金日产量恢复至去年同期八成,e公司
132,2021-09-24,山东黄金：股东大会审议通过多项议案,Wind
133,2021-09-24,山东黄金：内抓复工达产外拓资源整合 全力实现高质量发展,中证网
134,2021-09-24,稳外拓内加快资源并购 山东黄金增长路径清晰可见,上证报
135,2021-09-24,第一上海丨【公司研究】山东黄金（01787，买入）：外部因素影响生产，下半年产量有望进入正轨,第一上海金融
136,2021-09-23,山东黄金日产量恢复至去年同期八成 券商预计公司全年仍将亏损 预亏,每日经济新闻
137,2021-09-22,晚间重要公告2021年9月22日星期三,Wind
138,2021-09-22,山东黄金：9月份的日均合计黄金产量约为上年同期的82%,Wind
139,2021-09-22,山东黄金：归来庄矿业有限公司于9月初复产,Wind
140,2021-09-22,【报道】山东黄金披露复工复产进展：半年报发布至今，山东黄金归来庄矿业有限公司于9月初复产，玲珑金矿的灵山矿区已于近日复产,金十数据
141,2021-09-22,山东黄金复工复产进展：9月份日均黄金产量约去年同期的82%,e公司
142,2021-09-22,山东黄金(600547.SH)所属矿山9月日均合计黄金产量约为2020年度同期的82%,智通财经
143,2021-09-22,山东黄金：归来庄矿业、灵山矿区复产,Wind
144,2021-09-22,两地上市或成未来主流趋势，年内6股实现“A+H”,Wind
145,2021-09-21,有色金属行业周报：补库诉求尚待释放撑底铜铝价格；PILBARA高价拍卖催化锂价行情,新浪
146,2021-09-17,【异动股】贵金属板块低开，山东黄金(600547.CN)跌4.04%,财华社
147,2021-09-16,山东黄金(600547)：短期不可抗力因素不改长期成长规划 控股股东增持彰显信心,新浪
148,2021-09-15,山东黄金(600547)：否极泰来 成长可期,广发证券
149,2021-09-15,有色钢铁行业周策略(2021年第37周)：需求旺季 成本下行 吨钢利润有望持续扩张,新浪
150,2021-09-14,有色金属行业周报：铝价持续新高 黄金板块企稳走强,新浪
151,2021-09-14,东北证券：首予山东黄金(600547.SH)“增持”评级 控股股东增持 彰显坚定信心,智通财经
152,2021-09-14,山东黄金：集团增持彰显信心，短期冲击不改公司向好趋势,微信
153,2021-09-14,12股获券商买入评级，天孚通信目标涨幅达45.14%,Wind
154,2021-09-13,有色金属行业周报：锂盐价格加速上涨 碳中和铝长期受益,新浪
155,2021-09-13,山东黄金(600547)：资产收购助力扩产 股东积极增持,新浪
156,2021-09-13,瑞信：维持山东黄金“中性”评级,Wind
157,2021-09-13,山东黄金：控股股东黄金集团增持公司A股约50万股,每日经济新闻
158,2021-09-13,山东黄金(600547)：外部冲击拖累公司业绩 控股股东增持彰显信心 盈利能力下降,新浪
159,2021-09-13,港股异动 | 山东黄金(01787)午后涨超7% 控股股东黄金集团拟增持不超5亿元公司A股股份,智通财经
160,2021-09-13,黄金股午后异动拉升 山东黄金涨超8%,格隆汇
161,2021-09-13,瑞信：维持山东黄金(01787)“中性”评级 目标价13.5港元,智通财经
162,2021-09-13,认可公司成长价值 山东黄金控股股东拟增持不超过5亿元,证券日报网
163,2021-09-13,港股公告精选：黑石集团终止对SOHO中国收购要约,Wind
164,2021-09-13,山东黄金(01787.HK)大股东拟斥5亿人民币增持A股,财华社
165,2021-09-12,山东黄金：未来三月将获控股股东黄金集团不超过5亿元增持,中证网
166,2021-09-12,智通港股公告精选︱(9.12)雅居乐集团否认被保利收购 山东黄金控股股东拟增持不超过5亿元A股股份,智通财经
167,2021-09-12,山东黄金(01787)获控股股东增持49.97万股A股 拟继续增持合共不超过5亿元A股股份,智通财经
168,2021-09-12,控股股东拟增持不超5亿元 山东黄金旗下矿山持续恢复生产,e公司
169,2021-09-12,山东黄金控股股东拟以不超5亿元增持公司股份,上证报
170,2021-09-12,山东黄金：控股股东拟不超5亿元增持公司股份,Wind
171,2021-09-12,山东黄金：控股股东拟不超5亿元增持公司股份,财联社
172,2021-09-10,山东黄金：控股股东已增持49.97万股公司股份,财联社
173,2021-09-10,山东黄金(600547.SH)：控股股东拟以不超5亿元增持A股 已增持49.97万股,格隆汇
174,2021-09-10,解盘：人气高涨沪指上破3700点，特高压、芯片、锂矿、稀土领涨,Wind
175,2021-09-10,港股原材料板块持续拉升，紫金矿业大涨近10%,Wind
176,2021-09-10,【行情】黄金股早盘继续活跃，湖南黄金2连板，金贵银业、紫金矿业、山东黄金、赤峰黄金等跟涨,金十数据
177,2021-09-08,【1787】山东黄金控股股东拟斥5亿人币增持A股 | 头条金融网,头条日报
178,2021-09-08,港股盘前必读：打击无牌加密货币，贝壳计划筹资20亿美元赴港上市,Wind
179,2021-09-07,山东黄金：计划于9月15日15:00-16:00举行2021年半年度业绩说明会,Wind
180,2021-09-07,有色金属行业周报：8月PMI不及预期 关注电解铝和黄金,新浪
181,2021-09-07,山东黄金：将于9月24日举行2021年第二次临时股东大会,Wind
182,2021-09-01,Schroders PLC减持山东黄金(01787)约126.84万股，每股作价约12.42港元 减持股份,智通财经
183,2021-09-01,有色钢铁行业周策略(2021年第35周)：发改委严禁电解铝优惠电价 铝价受成本推动或持续走高,新浪
184,2021-09-01,【权益变动】山东黄金(01787.HK)被Schroders PLC减持126.835万股 减持股份,财华社
185,2021-08-31,海外信用评级汇总2021年8月31日星期二,Wind
186,2021-08-30,山东黄金上半年净利润为负13.63亿 同比减少218% 盈利能力下降,奥一网
187,2021-08-27,20家子公司有一半不盈利，山东黄金上半年亏损13.63亿元 亏损,国际金融报
188,2021-08-27,山东境内矿山有序复产复工 山东黄金8月当月实现盈亏平衡,上证报
189,2021-08-27,涉及四大主力矿山，安全检查致黄金产量下降一半 山东黄金上半年亏损超13亿 亏损,每日经济新闻
190,2021-08-27,四大主力矿山产能恢复至六成 山东黄金八月份已实现盈亏平衡,证券日报网
191,2021-08-27,山东黄金：积极申请复工复产 8月份实现盈亏平衡,中证网
192,2021-08-27,山东黄金(01787.HK)遭Schroders PLC减持126.835万股 减持股份,格隆汇
193,2021-08-26,山东黄金(01787.HK)中期盈转亏至13.72亿元 亏损,格隆汇
194,2021-08-26,山东黄金：中期首亏13.72亿人民币，由盈转亏 亏损,Wind
195,2021-08-26,山东黄金(01787)拟聘任郑灿武为财务负责人,智通财经
196,2021-08-26,山东黄金(600547.SH)上半年由盈转亏 归母净亏损13.63亿元 亏损,智通财经
197,2021-08-26,山东黄金2021年上半年实现净利润-14.32亿元，同比大幅下降210.07% 亏损,经济观察网
198,2021-08-26,山东黄金：2021年半年度净利润约-13.63亿元,每日经济新闻
199,2021-08-26,山东黄金：上半年净亏损13.63亿元，由盈转亏 亏损,Wind
200,2021-08-26,【1787】山东黄金上半年转蚀13.72亿人币 不派息 | 头条金融网 亏损,头条日报
201,2021-08-26,山东黄金集团成功发行6亿美元债券 认购超百亿美元 票面利率2.4%,中国有色
202,2021-08-24,军工集采要来？2万亿板块突然大跌！业内人士解读,证券时报
203,2021-08-24,有色钢铁行业周策略(2021年第34周)：锂盐景气持续 铁矿下跌延续,新浪
204,2021-08-24,军工集采要来？2万亿板块突然大跌！机构抄底254亿，锂电池龙头被抢筹，电讯巨头遭近1000万手封死跌停,证券时报
205,2021-08-23,山东黄金(01787)完成发行5亿元超短融 利率2.5%,智通财经
206,2021-08-23,山东黄金(01787.HK)：完成发行2021年度第四期超短期融资券,格隆汇
207,2021-08-23,山东黄金(600547.SH)完成发行5亿元2021年度第四期超短期融资券,智通财经
208,2021-08-20,山东黄金集团成功发行6亿美元债券,中证网
209,2021-08-20,千亿大白马跌停，揭示下周中报业绩预期差,Wind
210,2021-08-20,【行情】港股黄金及贵金属板块普跌，潼关黄金跌近9%，中国黄金国际跌6.21%，紫金矿业现跌5.58%，山东黄金跌2.93%，招金矿业跌2.36%,金十数据
211,2021-08-19,【行情】港股黄金股集体下挫，紫金矿业跌约8%，中国黄金国际跌4.55%，招金矿业跌3.64%，山东黄金跌2.7%，灵宝黄金跌2%,金十数据
212,2021-08-19,高德打车携手济南出租车企业 推进巡网融合数字化升级,中国网
213,2021-08-18,海外信用评级汇总2021年8月18日星期三,Wind
214,2021-08-17,【行情】港股贵金属板块走软，中国白银集团跌6.15%，金山能源跌5%，山东黄金跌3%，紫金矿业跌2.5%，招金矿业跌近2%,金十数据
215,2021-08-16,山东黄金：将于八月二十六日举行董事会会议,Wind
216,2021-08-16,有色金属行业周报：新能源车销量新高 继续看好锂钴镍,新浪
217,2021-08-16,黄金股持续反弹，湖南黄金强势三连板,Wind
218,2021-08-13,外资暂停中国投资？数据来说话：海外巨头7月纷纷加仓,Wind
219,2021-08-12,山东黄金(01787)子公司山金金控拟出资不超过5亿元参与认购东海证券定向发行的股票,智通财经
220,2021-08-12,资源股逆势爆发！私募大佬二季度提前加仓,Wind
221,2021-08-12,【行情】港股黄金股持续拉升，紫金矿业涨2.4%，山东黄金与中国黄金国际涨超2%，招金矿业微涨,金十数据
222,2021-08-09,美非农数据超预期，贵金属遭重挫，金价还要跌？,第一财经
223,2021-08-08,有色金属行业周报：锂价快速上行 紧缩预期压制工业金属,新浪
224,2021-08-08,金属、非金属与采矿行业周报：能源金属价格趋势上行 资源布局意义凸显,新浪
225,2021-08-07,山东黄金连续两年位居全球产金企业前十强,中国有色
226,2021-08-06,山东黄金收购控股股东多处矿产 集团黄金资产整体上市提速,证券日报网
227,2021-08-06,增加资源储备，山东黄金拟26亿元收购地矿来金100%股权,资本邦
228,2021-08-06,山东黄金：拟收购集团多处矿产 推动整体上市,中证网
229,2021-08-06,山东黄金(01787.HK)收购天承矿业股权后会新增关联交易的预计,财华社
230,2021-08-06,山东黄金(01787.HK)收购天承矿业100%股权 拥四项采矿许可证,财华社
231,2021-08-05,智通港股公告精选︱(8.5)中芯国际二季度纯利同比增长近4倍至6.88亿美元 山东黄金附属斥逾71亿元收购多个矿业公司股权,智通财经
232,2021-08-05,山东黄金：莱州公司拟46.67亿元收购地矿来金100%股权及鸿升矿业45%股权,Wind
233,2021-08-05,山东黄金(01787)：拟46.67亿元收购地矿来金100%股权及鸿昇矿业的45%股权,智通财经
234,2021-08-05,山东黄金：莱州公司拟20.34亿元收购鲁地金矿100%股权,Wind
235,2021-08-05,山东黄金(01787)附属拟20.34亿元向控股股东收购鲁地金矿100%股权,智通财经
236,2021-08-05,山东黄金(01787.HK)：莱州公司拟20.34亿元收购鲁地金矿100%股权,格隆汇
237,2021-08-05,山东黄金：莱州公司拟以4.31亿元收购天承矿业100%股权,Wind
238,2021-08-05,山东黄金(600547.SH)：莱州公司拟以4.31亿元收购天承矿业100%股权,格隆汇
239,2021-08-05,山东黄金(600547.SH)：莱州公司拟以20.34亿元收购鲁地金矿100%股权,格隆汇
240,2021-08-05,山东黄金将获注控股股东旗下多项矿业资产,上证报
241,2021-08-05,山东黄金：控股子公司现金收购山东莱州鲁地金矿有限公司100%股权暨关联交易,每日经济新闻
242,2021-08-05,山东黄金(600547.SH)子公司拟4.31亿元收购控股股东所持天承矿业100%股权,智通财经
243,2021-08-05,山东黄金(600547.SH)子公司拟以26.13亿元收购地矿来金100%股权、以20.54亿元收购鸿昇矿业45%股权,格隆汇
244,2021-08-04,瞰鉴鲁股：板块总市值暴跌1624亿 千亿市值公司缩减至六家 连续下跌,每日经济新闻
245,2021-08-03,山东黄金(01787.HK)获Schroders PLC增持1.675万股,格隆汇
246,2021-07-30,【行情】港股有色金属板块普涨，赣锋锂业涨5%，五矿资源涨4%，中国铝业、山东黄金涨超2%,金十数据
247,2021-07-28,停产整改叠加价格波动 西部黄金上半年业绩预亏 经营问题,e公司
248,2021-07-26,施罗德增持山东黄金(01787)94.85万股，每股作价12.73港元,智通财经
249,2021-07-26,山东黄金拟斥逾20亿人民币收购鲁地金矿100%股权 为整体上市铺路,港交所
250,2021-07-26,山东黄金(01787.HK)拟斥逾20亿人民币收购鲁地金矿100%股权 为整体上市铺路,财华社
251,2021-07-23,山东黄金(01787.HK)获施罗德于7月20日在场内以每股平均价12.7308港元增持94.85万股,中金在线
252,2021-07-23,游资出逃VS机构抱团！A股上市公司减值风险需警惕,Wind
253,2021-07-23,山东黄金(01787.HK)获Schroders Plc增持94.85万股,格隆汇
254,2021-07-22,A股上市公司减值准备来袭，风险值得警惕！,Wind
255,2021-07-22,【权益变动】山东黄金(01787.HK)获基金增持232.45万股,财华社
256,2021-07-21,山东黄金：公司亏损的主要原因是未达产导致黄金产量下降，影响自产金销量同比大幅减少 亏损,每日经济新闻
257,2021-07-21,山东黄金：一季度将并购的恒兴黄金的财务数据纳入合并报表，由此增加了存货期末余额,每日经济新闻
258,2021-07-21,山东黄金：正在积极与政府相关部门进行沟通，并按照要求，积极复工复产，从而提升黄金产量,每日经济新闻
259,2021-07-21,Schroder International Selection Fund -Emerging Asia Fund 增持山东黄金(01787)232.45万股，每股作价约12.38港元,智通财经
260,2021-07-21,山东黄金(01787.HK)完成发行5亿元超短期融资券,格隆汇
261,2021-07-21,7月涨幅最大行业花落谁家？板块中个股业绩、债务2张图看清！,Wind
262,2021-07-21,山东黄金(600547.SH)完成发行5亿元超短期融资券,智通财经
263,2021-07-21,山东黄金：山东黄金矿业（莱州）有限公司三山岛金矿、山东黄金矿业股份有限公司新城金矿、山东黄金矿业（莱州）有限公司焦家金矿、山东黄金矿业（玲珑）有限公司（以下简称“玲珑金矿”）的东风矿区已经通过复工验收，并逐渐恢复生产，目前均尚未达产，上述四家境内主力矿山2021年7月13日的日合计生产能力为其上一年度日均合计生产能力的29.74%,每日经济新闻
264,2021-07-21,逾七成公司半年报业绩预喜，“周期”和“成长”齐飞,Wind
265,2021-07-20,山东区域股市周报：板块总市值涨468亿，华熙生物挤进板块市值3强,每日经济新闻
266,2021-07-19,有色金属2021年中报前瞻：Q2有色利润继续高增 重视新能源和碳中和方向,新浪
267,2021-07-19,山东黄金(01787)A股将于7月27日派现金红利每股0.05元,智通财经
268,2021-07-19,山东黄金(600547.SH)于7月27日每股派发现金红利0.05元,智通财经
269,2021-07-19,民生有色周报：限产冲击供给 持续看好电解铝盈利,新浪
270,2021-07-17,10公司中报预亏超10亿 启迪环境巨亏40亿居首 预亏,财富动力网
271,2021-07-17,金价生波澜，盈警的山东黄金（01787）如何脱困？,智通财经
272,2021-07-16,大摩：山东黄金股价未来15日或将下跌 目标价16.71港元,新浪
273,2021-07-16,【港股通】大摩料山东黄金(01787)近期大概率下跌 惟其尾盘拉升抹除跌幅,和讯
274,2021-07-16,大摩：料山东黄金(1787.HK)股价未来15日将下跌,格隆汇
275,2021-07-16,港股异动 | 山东黄金(01787)尾盘跌超4% 预计上半年由盈转亏13.6亿元 瑞信下调目标价28.9% 预亏,智通财经
276,2021-07-16,【异动股】山东黄金(01787.HK)跌3.75%,财华社
277,2021-07-16,港股盘前必读：小米手机销量超越了苹果首次晋升全球第二,Wind
278,2021-07-16,山东黄金(01787.HK)获SchroderInternationalSelectionFund增持232.45万股,格隆汇
279,2021-07-15,大行评级|瑞信：降山东黄金(1787.HK)评级至“中性”目标价下调至13.5港元 投资评级恶化,格隆汇
280,2021-07-15,瑞信：下调山东黄金(01787) 评级至“中性” 目标价降28.9%至13.5港元 机构下调估值,智通财经
281,2021-07-15,港股异动 | 山东黄金AH齐跌 预计停产导致上半年由盈转亏13.6亿元 经营问题,格隆汇
282,2021-07-15,【异动股】山东黄金(01787.HK)跌3.02%,财华社
