,2021-12-31,安克创新(300866.SZ)：股东吴文龙拟减持不超50万股 拟减持股份,格隆汇
80,2021-11-11,安克创新(300866)：成本上涨致利润短期承压 Q4旺季增速有望回升,新浪
81,2021-11-09,商贸零售行业2021年三季报综述：渠道经营逐步触底 优质品牌脱颖而出,新浪
82,2021-11-08,安克创新今日大宗交易成交3.81万股，成交价84.88元折价5.67%,Wind
83,2021-11-08,安克创新现1笔大宗交易 共成交323.39万元,新浪
84,2021-11-08,纺织服装行业周报：双十一首批预售表现亮眼 寒潮来袭提振服装销售,新浪
85,2021-11-08,电子周报：半导体制造年会再次强调供应链安全 汽车电子持续景气,新浪
86,2021-11-05,"安克创新现4笔大宗交易 共成交2,223.02万元",新浪
87,2021-11-05,安克创新今日大宗交易成交26.20万股，成交价84.88元折价8.14%,Wind
88,2021-11-04,出口产业链多行业联合分析：集装箱货代端运价回落 产业链利润有望向中游转移,新浪
89,2021-11-01,天风证券维持安克创新买入评级：21Q3营收同增22.6%，看好消费电子多品牌公司长期发展,每日经济新闻
90,2021-11-01,天风Morning Call·晨会集萃·20211101-2,天风研究
91,2021-10-31,开源证券维持安克创新买入评级：Q3营收维持稳步增长，期待海运缓解下业绩修复,每日经济新闻
92,2021-10-31,西部证券给予安克创新增持评级：渠道+产品共发力，境内外收入保持增长,每日经济新闻
93,2021-10-29,东吴证券维持安克创新买入评级，2021年三季报点评：海运成本与原材料价格上涨影响短期利润,每日经济新闻
94,2021-10-29,安克创新(300866)：Q3利润承压 期待Q4改善,新浪
95,2021-10-28,国盛证券维持安克创新买入评级：收入符合预期，受运费、品牌建设投入影响，费用有所增加,每日经济新闻
96,2021-10-28,国盛证券：给予安克创新买入评级，目标价位156.0元,证券之星
97,2021-10-28,安克创新前三季净利润6.46亿元，同比增长21.17%,资本邦
98,2021-10-28,业绩快报 | 政府补助和理财占收入比较高，安克创新三季度扣非净利润同比减少16.15%,36氪
99,2021-10-28,身价1350亿元！湖南最有钱的是他,搜狐
100,2021-10-27,23点聊电商：新零售最强IP破壁机 名创优品再造新零售联名人货场,亿邦动力
101,2021-10-27,安克创新：第三季度营收30.55亿元，同比增长22.63%,36氪
102,2021-10-27,安克创新(300866.SZ)前三季度归母净利润同比增长21.17%至6.45亿元,智通财经
103,2021-10-27,安克创新：第三季度净利2.37亿元 同比下降7% 盈利能力下降,财联社
104,2021-10-27,安克创新(300866.SZ)：第三季度净利降7.40%至2.37亿元 盈利能力下降,格隆汇
105,2021-10-27,安克创新公布三季报 前三季净利增加21.17%,新浪
106,2021-10-27,图解安克创新三季报：第三季度单季净利润同比减7.40%,证券之星
107,2021-10-27,交卷！安克创新：2021年第三季度净利润约2.37亿元，同比下降7.4% 盈利能力下降,每日经济新闻
108,2021-10-27,安克创新：前三季度净利润同比增长21.17%,Wind
109,2021-10-26,亚马逊“封封封”不停，跨境电商安克创新如何“过冬”？,搜狐
110,2021-10-25,商业贸易行业动态报告：9月社零增速环比提升 毛戈平成功过会有望成为“彩妆第一股”,新浪
111,2021-10-22,通拓、安克创新入局代运营，大卖的尽头终将是服务商？,ZAKER
112,2021-10-21,致欧科技IPO：研发投入不及同行，与大股东信披“打架”,中金在线
113,2021-10-20,致欧科技：20年9亿元库存 坐享低海运成本红利,凤凰网
114,2021-10-15,安克创新(300866.SZ)：拟以不超16.5亿元购买深圳的房产,格隆汇
115,2021-10-15,安克创新(300866.SZ)拟不超16.5亿元向深圳润雪购买房产用于办公和项目建设,智通财经
116,2021-10-15,安克创新：拟与深圳市润雪签署购买房产备忘录,财联社
117,2021-10-15,安克创新吴灼辉：为客户创造价值是品牌要面对的终极问题,亿邦动力
118,2021-10-14,安克创新吴灼辉：数智化消费者聆听 赋能品牌出海,亿邦动力
119,2021-10-13,2021「金长城」智造业竞争力研究荣誉榜隆重发布,21世纪经济报道
120,2021-10-12,商业贸易行业动态报告：广电总局叫停“美容贷”广告 家乐福首家会员店将于上海开业,新浪
121,2021-10-12,单休、欠社保、奇葩计薪…大肆压榨员工的子不语，三大“依赖症”或成上市后隐患,和讯
122,2021-10-12,安克创新(300866)：坚持长期主义 打造享誉全球的消费电子领导品牌,新浪
123,2021-10-09,传媒行业周报：关注四季度营销旺季 快手宣布组织架构调整加强事业部闭环,新浪
124,2021-09-30,电子行业重大事项点评：限电限产政策对电子行业当前影响简析,新浪
125,2021-09-27,商业贸易业动态报告：北京培育建设国际消费中心城市实施方案全文发布 京东宣布双11预售提前,新浪
126,2021-09-26,安克创新：公司所销售的消费电子产品均为自有品牌，anker品牌下拥有无线充电及多种接口的有线充电产品，可以适配苹果公司推出的包括iPhone、iPad在内的多款移动设备,每日经济新闻
127,2021-09-26,安克创新阳萌：提升品牌力 汇聚核心能力平台,亿邦动力
128,2021-09-25,安克创新将出席亿邦品牌全球化新势力峰会,亿邦动力
129,2021-09-18,[中国好公司]安克创新：内重研发直击消费痛点 外重渠道开拓国内营收翻三倍,新浪
130,2021-09-18,海能实业：公司目前与安克创新、Belkin、Amazon等公司正在开展业务合作,每日经济新闻
131,2021-09-17,商业贸易行业简评报告：8月社零增速大幅回落 局部疫情+汛期+基数走高构成不利影响,新浪
132,2021-09-17,科技行业动态：IPHONE 13创新符合预期 售价亲民超预期,新浪
133,2021-09-14,西部证券维持安克创新增持评级，跟踪点评：深研充电器技术，发布新品,每日经济新闻
134,2021-09-14,商业贸易行业2021中报总结：行业持续复苏 必选、可选分化加大,新浪
135,2021-09-14,船公司高位冻结运价，集运供需失衡料延续,Wind
136,2021-09-08,零售行业2021年中报综述：消费需求回暖 渠道稳步复苏,新浪
137,2021-09-05,“国民软件”下周将解禁31亿元，参与战略配售股东浮亏超25%,Wind
138,2021-09-05,12点聊电商：安克创新 吴灼辉：品牌出海要解决好两大基本功,亿邦动力
139,2021-09-04,服贸观止｜安克创新电商服务事业部总经理吴灼辉：数智化赋能 全流程数据打通各个环节,北京商报
140,2021-09-03,安克创新(300866.SZ)20.35万限售股将于9月8日上市流通 解禁,智通财经
141,2021-09-03,安克创新：20.35万股首发战略配售股9月8日解禁 解禁,财联社
142,2021-09-03,安克创新：约20.35万股限售股9月8日解禁，占比0.05% 解禁,每日经济新闻
143,2021-09-03,安克创新：公司已有多款无线充电产品上市销售,每日经济新闻
144,2021-09-02,电子行业日报：碳化硅国产化企业山东天岳上半年业绩增长显着,新浪
145,2021-08-30,天风证券维持安克创新买入评级：21H1归母净利+48%yoy，挖掘需求迭代产品，全球扩张线上线下全渠道布局,每日经济新闻
146,2021-08-25,跨境电商刷单非但违规且涉嫌财务造假，券商分析师卖力推荐不讲武德,Wind
147,2021-08-25,安克创新(300866)2021年中报点评：业绩符合预期 全渠道多品类发展向好,新浪
148,2021-08-24,晚间重要公告2021年8月24日星期二,Wind
149,2021-08-24,安克创新(300866.SZ)主要股东吴文龙及董事高韬拟合计减持不超169.87万股 拟减持股份,智通财经
150,2021-08-24,注意！安克创新：股东吴文龙计划减持不超过约19.9万股，副总经理高韬计划减持不超过150万股 拟减持股份,每日经济新闻
151,2021-08-24,安克创新：两股东拟减持不超过0.42%公司股份,Wind
152,2021-08-24,A股早报2021年8月24日星期二,Wind
153,2021-08-23,商业贸易行业周报(第三十三周),新浪
154,2021-08-23,商贸零售行业周报：消费整体增速趋缓 关注珠宝及低估值改善龙头,新浪
155,2021-08-23,商业贸易行业周报2021年第32期：国联股份2021H1业绩超预期 看好空间大&渗透率持续提升的工业品电商赛道,新浪
156,2021-08-23,A股融资融券日报：两融余额减少45.91亿元（8月20日）,Wind
157,2021-08-23,港股盘前必读：港交所将于10月18日推出MSCI中国A50互联互通指数期货,Wind
158,2021-08-22,【国金电子】安克创新：品牌/品类/渠道三线拓展显成效，H1业绩高增,国金电子研究
159,2021-08-22,下周股市看点：富时罗素指数成分股迎调整 33股获“聪明钱”逆市加仓,新浪
160,2021-08-22,国金证券维持安克创新买入评级：品牌/品类/渠道三线拓展显成效，H1业绩高增,每日经济新闻
161,2021-08-22,下周操盘攻略：调整是长期布局主线机会,Wind
162,2021-08-22,流通盘大增超3倍！这只跨境电商龙头限售股解禁超140亿元，还有这些股票解禁规模大（附名单） 解禁,中证报
163,2021-08-22,啥情况？千亿大牛股被富时罗素踢出群，原因竟是这个！,Wind
164,2021-08-21,开源证券维持安克创新买入评级：跨境风波下2021H1业绩延续高增，毛利率韧性足,每日经济新闻
165,2021-08-20,下周沪深两市1037亿市值限售股解禁,Wind
166,2021-08-20,国信证券维持安克创新买入评级，2021年中报点评：业绩稳健增长，多品类跨区域布局持续推进,每日经济新闻
167,2021-08-20,安克创新(300866.SZ)：1.05亿股限售股将于8月24日起上市流通 解禁,智通财经
168,2021-08-20,安克创新：约1.26亿股限售股8月24日解禁，占比30.9% 解禁,每日经济新闻
169,2021-08-20,安克创新发半年报股价跌5.6% 净利增长经营现金流为负,中国经济网
170,2021-08-20,封号潮下逆流而上！安克上半年营收53.71亿，净利润4.08亿,搜狐
171,2021-08-20,东吴证券维持安克创新买入评级，2021年半年报点评：H1归母净利润+48.0%，亚马逊整治之下，合规经营构建长期竞争力,每日经济新闻
172,2021-08-20,安克创新上半年净利润超4亿！中国市场收入超去年全年,亿邦动力
173,2021-08-19,23点聊电商：微信企业号做私域流量有什么优势？,亿邦动力
174,2021-08-19,安克创新：2021年半年度净利润约4.08亿元，同比增加47.63%,每日经济新闻
175,2021-08-19,安克创新(300866.SZ)半年度净利润4.08亿元 同比增长47.63%,格隆汇
176,2021-08-19,安克创新：上半年净利润同比增长47.63%,Wind
177,2021-08-17,商业贸易行业简评报告：极端天气+局部地区疫情反复 7月社零增速环比回落,新浪
178,2021-08-16,传媒行业周报：《披荆斩棘的哥哥》首周累计播放量达4.2亿 B站日活用户突破6500万,新浪
179,2021-08-16,减持公告砸盘，9股出逃超10亿，42家大额解禁即将来袭,Wind
180,2021-08-16,国家出手！跨境电商有救了，深圳重金奖励企业做独立站，龙头概念疯狂,Wind
181,2021-08-15,Delta病毒冲击影响及展望；结构转型往事；中国化纤迎来历史性拐点丨一周重点研究报告,开源证券研究所
182,2021-08-13,开源证券维持安克创新买入评级，公司深度报告：跨境电商行业风波下，安克创新龙头优势强化,每日经济新闻
183,2021-08-05,史无前例！亚马逊“封店潮”殃及A股，这些公司中招了,时代周报
184,2021-08-02,电子行业北上资金月报,新浪
185,2021-08-01,雷军重金投给翻倍牛股“锂王”，抢占最火爆赛道，为了造出新能源车？,Wind
186,2021-07-31,雷军重金投资翻倍牛股“锂王”，抢占最火爆赛道,Wind
187,2021-07-28,手机配件出海市场正在酝酿一场重生,36氪
188,2021-07-26,和讯SGI公司| 亚马逊封杀超5万中国卖家！会否波及安克创新？股价较年内高点已跌43%,和讯
189,2021-07-26,传媒行业周报：腾讯音乐将解除独家音乐版权 Q2中国手游厂商在日本市场吸金8.5亿美元,新浪
190,2021-07-23,投产建设全靠募资 8成营收依靠亚马逊 致欧家居能否闯关创业板？,和讯
191,2021-07-22,Wind医药：每日行业动态（2021-07-22）,Wind
192,2021-07-22,科技硬件：苹果备货如期而至 产业链或迎估值拐点,新浪
193,2021-07-21,安克创新使用亚马逊云科技，打造全价值链数智化能力,速途网
194,2021-07-21,亚马逊云科技发布“全球优势 植根本地”中国战略,TechWeb
195,2021-07-21,健康生活方式品牌Heartlylab获千万级人民币种子轮融资,36氪
196,2021-07-20,400亿“舵手”邬传雁：再谈放弃博弈，调仓痕迹“微小”，“新票”首次亮相,证券之星
197,2021-07-20,36氪首发 | 瞄准现代人高压痛点做冥想+正念垂类平台，健康生活方式品牌「Heartly Lab」完成千万级人民币种子轮融资,36氪
198,2021-07-15,商业贸易行业点评：6月社零总额同比+12.1% 消费有所回暖 618虹吸效应显着,新浪
199,2021-07-15,跨境电商出口趋旺老玩家们掉队 “品牌+服务”升级是关键,证券日报网
200,2021-07-15,陆股通减仓幅度排行榜（附股）,证券时报网
201,2021-07-13,跨境电商从来没有这么热闹过，一批批独角兽企业在这里诞生。,深水财经社
202,2021-07-11,85后男生出海卖女装，撑起一个IPO,投资界
203,2021-07-09,致欧家居“血空”，宋川割股拉战投,乐居财经
204,2021-07-07,上证电子行业日报：闻泰科技拟收购英国晶圆制造资产,新浪
205,2021-07-07,43股获券商买入评级，四川路桥目标涨幅达82.28%,Wind
206,2021-07-06,安克创新：公司代运营业务目前还在起步阶段，占比较小,每日经济新闻
207,2021-07-05,安克“快生”，致欧“慢死”，上市也难圆“心智品牌梦”？,36氪
208,2021-07-05,商业贸易行业周报：重点公司中报前瞻 关注超市同店改善趋势,新浪
209,2021-07-05,安克创新(300866)：以产品和渠道为基 造全球化领先品牌,新浪
210,2021-07-02,新三板转板专题系列九：新三板的哪些行业容易出转板公司？,新浪
211,2021-06-30,“刷单”不可忍亚马逊出手“封号”跨境电商“地震”后如何洗牌,财联社
212,2021-06-30,商业贸易行业动态报告：每日优鲜美股成功发行 罗森首进江苏盐城,新浪
213,2021-06-29,亚马逊2021年PRIMEDAY点评：受大卖封杀影响 销售个位数增长但符合预期 件数大增、货单价下降,新浪
214,2021-06-29,传媒行业周报：快手全球月活达10亿 青瓷游戏港股交表 《梦幻新诛仙》上线首日流水突破1500万,新浪
215,2021-06-28,电子行业每周市场动态追踪：看好半导体的短中长期大逻辑 消费电子迎布局时点,新浪
216,2021-06-28,66家次新通信股超万亿市值 中芯国际领军,新浪
217,2021-06-25,湖南区域股市周报：酒鬼酒市值增长103.07亿 挤进板块市值4强,每日经济新闻
218,2021-06-23,批发零售行业2021年中期投资策略报告会：新渠道格局与新消费机遇,新浪
219,2021-06-23,安克创新：公司持有对Navitas的少数股权投资,每日经济新闻
220,2021-06-23,安克创新：已有多款无线快充产品上市销售,每日经济新闻
221,2021-06-22,传媒行业周报：快手616电商大会观看人数超7000万 2021游戏用户支出预计超2040 亿美元,新浪
222,2021-06-21,商业贸易行业周报：618大促近尾声 群雄抢筹 各自精彩,新浪
223,2021-06-20,“低调”618战绩不低调：电商平台纷纷再创新纪录，加强直播与长战线成新趋势,财联社
224,2021-06-18,传媒行业周报：《摩尔庄园》上线两周持续上榜TOP10 第八批游戏版号共87个游戏获批,新浪
225,2021-06-18,IPO观察|奥尼电子遭遇第三轮问询：净利润两年激增73倍持续盈利能力存疑 欺诈造假,财联社
226,2021-06-17,商业贸易行业点评：5月社零总额同比+12.4% 关注618重心前倾,新浪
227,2021-06-16,商业贸易周报：每日优鲜、叮咚买菜在美递交招股说明书 商务部发文加强县域商业体系建设,新浪
228,2021-06-11,跨境电商行业专题报告-SHEIN：时代级机遇 颠覆性巨头,新浪
229,2021-06-11,百元股数量达163只，一日增加5只,证券时报网
230,2021-06-10,增收不增利！8家上市跨境电商合计亏损近38亿，谁是“亏损王”？ 亏损,华夏时报
231,2021-06-10,零售行业2021年度中期投资策略：长期看行业空间 短期把握确定性,新浪
232,2021-06-10,连接欧洲：跨境电商新机遇,联商网
233,2021-06-08,安克创新2021年上半年净利同比增长47.63%至4.08亿，中国市场表现较好,亿欧网
234,2021-06-08,两市百元股数量达159只，科创板股票占38.36%,证券时报网
235,2021-06-07,智氪|那个卖苹果充电器的，到底值不值800亿？,36氪
236,2021-06-07,电子行业周报：疫情影响全球封测产能 大陆企业供应链国产化趋势加快,新浪
237,2021-06-04,那个卖苹果充电器的安克创新 值不值800亿？,36氪
238,2021-06-03,618预售及开门红点评：预售力度持续加大 关注国潮崛起大趋势,新浪
239,2021-06-02,致欧家居创业板上市在即：2020年净利润同比增长252%,IPO早知道
240,2021-06-02,致欧家居上市前夕，二股东被曝泄密用户隐私 关联方问题,和讯
241,2021-06-01,深证成指、创业板指、深证100等深市核心指数调整样本股,Wind
242,2021-06-01,做跨境电商的Anker的也回来“内卷”了？,36氪
243,2021-06-01,商业贸易周度观点：京东天猫618大促24日开启 社区团购集单共配提升渠道效率,新浪
244,2021-06-01,跨境电商迅猛崛起,中国经济周刊
245,2021-05-31,【观察】“陌生的”跨境电商龙头，继续等待安克创新的价值回归？,财华社
246,2021-05-31,传媒行业周报：快手电商上线跨境小店业务 86款新游获版号,新浪
247,2021-05-31,安克创新回国发展，知名度低是硬伤，增加投入或带来财务压力,新浪
248,2021-05-30,家电行业2021年中期投资策略：攻守兼备 或跃在渊,新浪
249,2021-05-27,跨境电商扎堆上市！造富背后价格竞争白热化，如何提升竞争力,奥一网
250,2021-05-26,商业贸易行业：渠道变革 聚焦成本、效率、体验,新浪
251,2021-05-26,安克创新创始人阳萌：中国市场在经历快速消费升级，一个真正全球化的公司不能缺席,经济观察报
252,2021-05-26,出海“小巨人”安克创新正式杀回中国市场 早盘涨幅一度冲高超5%,21世纪经济报道
253,2021-05-26,98%收入来自海外的安克创启动国内首场发布会 “回国充电”竟和“国潮”有关？,财联社
254,2021-05-26,安克创新将重点开拓国内市场，阳萌：当下就是加大中国市场投入的好机会,经济网
255,2021-05-25,安克创新·中国首场发布会,ZAKER
256,2021-05-25,安克创新中国首场发布会 Anker第二代氮化镓充电器发布,DoNews
257,2021-05-25,安克创新举办中国首场发布会，发布多款黑科技消费电子产品,驱动中国
258,2021-05-25,电报|安克创新将和小米有品联合推出定制新品,财联社
259,2021-05-25,安克创新举办中国首场发布会，将加大对中国市场的投入,财经网
260,2021-05-25,安克创新举办中国首场发布会，GaN第二代充电器等多款新品亮相,速途网
261,2021-05-24,创益通：公司与特斯拉没有业务合作关系，公司的主要客户包括晟碟（西部数据）、莫仕、公牛集团、安克创新、星科金朋、埃梯梯等国内外知名公司,每日经济新闻
262,2021-05-24,纺织服装行业周报：医美持续高景气 参与者群英荟萃,新浪
263,2021-05-24,疫情挑战下全年业绩翻番，“隐形冠军”打响自主品牌,腾讯网
264,2021-05-21,吴晓波、洪婧等大咖：飞书承载了这个时代的管理最佳实践,砍柴网
265,2021-05-21,中信建投医药&消费最新研究观点,中信建投证券研究
266,2021-05-19,字节跳动：半年内飞书已收获理想汽车、元气森林等众多客户,Wind
267,2021-05-17,商业贸易行业动态报告：叮咚买菜完成D轮融资 京东物流估值超2200亿元,新浪
268,2021-05-17,安克创新(300866.SZ)：持股5%以上的吴文龙解押50万股,格隆汇
269,2021-05-17,安克创新：目前暂无向电动车充电设备方向发展相关计划,每日经济新闻
270,2021-05-17,安克创新：吴文龙解除质押50万股,每日经济新闻
271,2021-05-17,纺织服装行业周报：货龙头持续向好 医美板块景气高涨,新浪
272,2021-05-13,立足全球化大趋势 出海概念股或将上演中国“奇迹”,金融界
273,2021-05-13,电子行业2020年年报暨2021年一季报总结：淡季不淡 高景气下电子行业表现亮眼,新浪
274,2021-05-13,商业贸易周度观点：直播营销8条“红线”划定 直播电商行业规范进一步提升,新浪
275,2021-05-13,即将上市的创益通总产量大幅缩水：曾出现多版本财报 大客户销售额对不上,新浪
276,2021-05-12,东吴证券--跨境电商行业点评：亚马逊开店&运营监管加严，跨境电商或加速分化【行业研究】,金融界股吧
277,2021-05-12,中信建投医药&消费最新研究观点,中信建投证券研究
278,2021-05-11,安克创新(300866.SZ)董事贺丽辞职 董监高成员变化,智通财经
279,2021-05-11,安克创新：提名祝芳浩为董事候选人，曾任子公司深圳海翼智新科技有限公司总裁,每日经济新闻
280,2021-05-11,安克创新：公司董事贺丽辞职 董监高成员变化,每日经济新闻
281,2021-05-11,安克创新：董事贺丽女士辞职，提名祝芳浩先生为董事候选人 董监高成员变化,Wind
282,2021-05-10,安克创新：销售平台费用主要为亚马逊平台佣金及部分FBA费用，此外还包括各个渠道销售收取的佣金等,每日经济新闻
283,2021-05-10,安克创新(300866)：Q1营收高增长 新市场新品类成长动力足,新浪
284,2021-05-10,商业贸易行业跟踪周报2021年第17期：华熙生物和爱美客分别发布医美新品“御龄双子针”和“冭活” 爆品打造值得期待,新浪
285,2021-05-10,传媒行业周报：五一档票房达15亿元 2021Q1全球游戏业累计投资并购金额达390亿美元,新浪
286,2021-05-06,电子｜淡季不淡，高景气下电子行业表现亮眼：2020年年报暨2021年一季报总结,中信证券研究
287,2021-05-04,市值缩水90%，竟引来一堆卖家挤着IPO,亿邦动力
288,2021-05-01,4月跨境大事件：Q1财报季来袭！PrimeDay将于二季度正式开启！,搜狐
289,2021-04-30,注册制新股纵览：创益通：国内领先的精密连接器供应商,新浪
290,2021-04-30,安克创新(300866)：全球化布局快速推进 智能创新产品持续增长 维持跑赢行业评级,新浪
291,2021-04-30,晨会聚焦210430重点关注培育钻石行业、传媒互联网、房地产、汽车、奕瑞科技、极米科技、光线传媒、新经典、安克创新、新宝股份等,国信研究
292,2021-04-29,国信证券维持安克创新买入评级，2021年一季报点评：目标均价涨幅15.98%，近期获11份券商研报关注,每日经济新闻
