,2021-12-30,恒逸石化大宗交易成交2106.00万元,证券时报网
45,2021-11-12,恒逸石化：公司文莱一期项目自进入商业运营以来一直保持接近满负荷运行，产销顺畅，且近期新加坡市场汽柴油裂解价差均处在恢复向上通道，公司文莱炼厂盈利能力已逐步恢复提升，文莱二期各项工作均有序推进，目前进展顺利,每日经济新闻
46,2021-11-09,石油加工行业每周炼化：终端需求尚待进一步恢复,新浪
47,2021-11-08,“炼化-化纤”产业链周报：三季度炼化板块公司业绩整体提升 PA66、炼油价差走强,新浪
48,2021-11-05,恒逸石化：文莱二期各项工作有序推进,每日经济新闻
49,2021-11-05,恒逸石化：11月4日，公司实施了首次回购，回购股份数量2526803股,每日经济新闻
50,2021-11-05,恒逸石化：目前公司各项生产经营工作均有序进行，产销顺畅,每日经济新闻
51,2021-11-05,恒逸石化：上市公司未持有绍兴恒鸣股权。截至8月25日，公司聚酯产能为776.5万吨/年，在建拟新增聚酯纤维产能185万吨/年,每日经济新闻
52,2021-11-05,恒逸石化：上市公司未持有绍兴恒鸣股权,每日经济新闻
53,2021-11-04,恒逸石化最新公告：11月4日首次回购252.68万股(第二期),证券之星
54,2021-11-04,恒逸石化：首次回购约253万股,每日经济新闻
55,2021-11-04,国盛证券：给予恒逸石化买入评级,中金在线
56,2021-11-04,国盛证券维持恒逸石化买入评级：文莱炼化盈利持续改善，回购股份强化激励,每日经济新闻
57,2021-11-04,化工点评报告：三季度石油石化配置创近八年新高 关注龙头及偏成长相关标的,新浪
58,2021-11-03,恒逸石化今日大宗交易成交394万股，成交价10.56元溢价0.0%,Wind
59,2021-11-02,石油化工行业周报：能源价格波动下对石化行业盈利影响 以及当前估值对应的周期位置,新浪
60,2021-10-29,恒逸石化：公司暂无可降解塑料的生产和销售,Wind
61,2021-10-28,【国海化工】恒逸石化三季报点评：公司营收稳步增长，股票回购彰显发展信心,靠谱化工股
62,2021-10-28,恒逸石化前三季度营收增长57.68% 拟斥资5亿元-10亿元回购股份,中证网
63,2021-10-27,恒逸石化拟再斥资不超过10亿元回购股份,上证报
64,2021-10-27,年内再次推出5-10亿回购计划！恒逸石化大手笔回购彰显发展信心,凤凰网
65,2021-10-27,恒逸石化公布三季报 前三季净利增加0.85%,新浪
66,2021-10-27,恒逸石化前三季度营收增超50% 拟斥资5-10亿元回购股份,e公司
67,2021-10-27,图解恒逸石化三季报：第三季度单季净利润同比减25.99% 盈利能力下降,证券之星
68,2021-10-27,恒逸石化：拟5亿元至10亿元回购股份,Wind
69,2021-10-27,恒逸石化：第三季度净利润同比下降26.52% 盈利能力下降,Wind
70,2021-10-27,恒逸石化：拟回购不低于5亿元且不超过10亿元公司股份,每日经济新闻
71,2021-10-27,恒逸石化：2021年第三季度净利润约8.48亿元，同比下降26.52% 盈利能力下降,每日经济新闻
72,2021-10-27,恒逸石化：前三季度净利润同比增长0.85%,Wind
73,2021-10-27,原油价格上涨运输企业承压，有货车司机已不敢接远单,Wind
74,2021-10-26,恒逸石化股份有限公司 关于公开发行A股可转换公司债券申请获得中国证监会受理的公告,证券时报
75,2021-10-25,恒逸石化(000703.SZ)发行A股可转换公司债券申请获得中国证监会受理,智通财经
76,2021-10-25,恒逸石化：发行可转债申请获证监会受理,每日经济新闻
77,2021-10-24,恒逸石化(000703.SZ)控股股东质押4380万股,智通财经
78,2021-10-24,恒逸石化：股东累计质押情况,每日经济新闻
79,2021-10-22,恒逸石化：目前公司各项生产经营工作均有序进行，产销顺畅,每日经济新闻
80,2021-10-22,恒逸石化：公司资产负债率稳定合理，一直保持在70%以下，低于行业平均水平,每日经济新闻
81,2021-10-22,恒逸石化：公司自建化工品船队将于明年起陆续交付，届时运输成本将进一步保持稳定,每日经济新闻
82,2021-10-22,恒逸石化：三季报将于10月28日披露,每日经济新闻
83,2021-10-22,恒逸石化：截至目前，恒逸文莱项目在岛工作人员无一人感染新冠肺炎，文莱一期项目各项工作均有序运行，下一阶段，恒逸将毫不松懈抓实抓细文莱项目疫情防控工作，确保一期正常运行，二期顺利推进,每日经济新闻
84,2021-10-22,恒逸石化：公司暂无玻璃纤维产品的生产和销售,每日经济新闻
85,2021-10-20,石油化工行业“炼化-化纤”产业链周报：长丝受限电影响价格上涨 多家公司发布前三季度业绩预告,新浪
86,2021-10-19,石油加工行业每周炼化：长丝盈利大幅改善,新浪
87,2021-10-19,油气价格走势及影响深度报告：资源价值有望长期复苏 看好石化转型升级空间,新浪
88,2021-10-19,恒逸石化(000703)：1-9月累计新增借款占上年末净资产 大额借贷担保,格隆汇
89,2021-10-18,恒逸石化最新公告：截至9月30日 累计新增借款金额72.62亿元 大额借贷担保,证券之星
90,2021-10-18,恒逸石化(000703.SZ)：2021年1-9月累计新增借款占上年末净资产的比例为23.97% 大额借贷担保,格隆汇
91,2021-10-18,恒逸石化：2021年累计新增借款占上年末净资产的23.97% 大额借贷担保,Wind
92,2021-10-16,恒逸石化：国际原油价格的上涨有利于公司在库商品的库存价值增加,每日经济新闻
93,2021-10-16,荣盛石化(002493)：前三季度业绩同比增长79% 浙石化二期投产在即打开成长空间,新浪
94,2021-10-15,恒逸石化：公司原油采购采用到岸价结算模式,每日经济新闻
95,2021-10-15,恒逸石化：公司长丝产品库存维持在合理水平,每日经济新闻
96,2021-10-15,恒逸石化：上半年实现归属于上市公司股东的净利润22.34亿元，同比增长16.95%,每日经济新闻
97,2021-10-15,恒逸石化：公司炼化项目位于文莱国，不受国内政策影响,每日经济新闻
98,2021-10-15,恒逸石化：国际原油价格的上涨有利于产业链相关产品价格上涨,每日经济新闻
99,2021-10-15,恒逸石化：正积极有序推进可转债相关工作，目前进展顺利,每日经济新闻
100,2021-10-15,恒逸石化：审计报告中披露的PTA销量484.32万吨是与产能匹配的全部销量,每日经济新闻
101,2021-10-15,恒逸石化：采用到岸价结算模式可以有效规避原油在运输途中的价格波动风险,每日经济新闻
102,2021-10-15,恒逸石化：文莱炼厂自商业运营以来一直保持高负荷生产，产销顺畅,每日经济新闻
103,2021-10-15,恒逸石化：文莱二期项目相关工作均有序正常推进，目前进展顺利,每日经济新闻
104,2021-10-15,恒逸石化：截至10月13日，新加坡市场汽油裂解价差约为12.62美元/桶,每日经济新闻
105,2021-10-15,恒逸石化：目前公司生产经营一切正常，产销顺畅,每日经济新闻
106,2021-10-15,恒逸石化：公司炼厂位于文莱国，所产生的营业收入分类计入国外地区营收，国内产品直接出口所占营收比例较小。目前公司生产经营一切正常，产销顺畅,每日经济新闻
107,2021-10-12,恒逸石化(000703)：“恒逸转债”10月18日付息 每10张,智通财经
108,2021-10-08,石油石化行业研究周报：原油供需缺口缓慢修复 利好炼化板块盈利,新浪
109,2021-10-08,恒逸石化：“恒逸转债”第三季度转股5196股,每日经济新闻
110,2021-09-29,恒逸石化：目前公司生产经营一切正常，产销顺畅,每日经济新闻
111,2021-09-29,广西区域股市周报：板块总市值涨11亿 桂冠电力涨11.74%涨幅第一,每日经济新闻
112,2021-09-29,东方盛虹跌停压制化纤板块，该股半月内累挫超三成,Wind
113,2021-09-28,恒逸石化(000703)：公司第四期员工持股计划购买完成,证券时报网
114,2021-09-27,恒逸石化(000703.SZ)：西藏信托-泓景29号集合资金信托计划累计增持1.3%股份,格隆汇
115,2021-09-27,石油化工行业周报：从上半年油气公司产量及资本开支 全面看好国内油气及油服行业标的,新浪
116,2021-09-27,化工行业周报：能耗双控进行时 继续看好受新能源拉动供需错配的化工子行业,新浪
117,2021-09-27,化工行业周报：万华荣获年度工业信息化领军奖 玲珑荣登亚洲品牌500强榜单,国海证券
118,2021-09-26,化工行业：“能耗双控”政策趋严 化工品价格持续普涨,广发证券
119,2021-09-24,恒逸石化：公司文莱二期项目相关工作均有序正常推进，目前进展顺利,每日经济新闻
120,2021-09-24,恒逸石化：公司暂无可降解塑料的生产和销售,每日经济新闻
121,2021-09-24,恒逸石化：目前公司生产经营一切正常,每日经济新闻
122,2021-09-22,化工行业周报：能耗双控背景下关注高耗能产品价格弹性 继续看好新能源赛道上游材料核心标的,新浪
123,2021-09-22,化工行业周报：万华荣获中国质量奖提名 玲珑逆境中坚持扩张,国海证券
124,2021-09-21,化工行业：能耗双控影响供给 化工品价格进一步走高,广发证券
125,2021-09-18,恒逸石化：公司控股股东恒逸集团目前控股两家锦纶公司，合计产能46.5万吨,每日经济新闻
126,2021-09-18,恒逸石化：公司现有己内酰胺产能为40万吨,Wind
127,2021-09-18,恒逸石化：目前公司经营顺畅,Wind
128,2021-09-18,恒逸石化：公司对下半年聚酯板块持乐观态度,Wind
129,2021-09-17,恒逸石化：长江证券、博时基金等6家机构于9月16日调研我司,证券之星
130,2021-09-15,恒逸石化：目前公司经营情况良好，业绩稳定增长，重点项目有序推进,每日经济新闻
131,2021-09-15,恒逸石化：公司暂无可降解塑料的生产和销售,每日经济新闻
132,2021-09-15,恒逸石化：可降解材料是公司重点关注和研究开发的领域之一,财联社
133,2021-09-14,涤纶长丝行业点评：长丝底部反转趋势出现 “金九银十”或只是开始,新浪
134,2021-09-14,煤飞色舞刷屏，低估值潜力股出炉，北上资金扫货6股,Wind
135,2021-09-13,化工行业：硅产业链景气度持续上行,广发证券
136,2021-09-07,化工行业周报：磷酸铁锂拉动锂电化工材料需求 继续推荐R142B-PVDF产业链,新浪
137,2021-09-06,化工行业周报：万华拟建40万吨POCHP项目 玲珑新零售2.0上线,国海证券
138,2021-09-06,恒逸石化负债逾700亿 控股股东质押“输血” 偿债能力下降,中国经营报
139,2021-09-03,恒逸石化：参与公司 2021 年半年度网上业绩说明会的投资者于9月1日调研我司,证券之星
140,2021-09-03,恒逸石化：公司聚酯产品全部通过恒逸微商城销售，客户自主下单上线率达80%以上,每日经济新闻
141,2021-09-01,恒逸石化：第四期员工持股计划购入公司股票累计约4994万股,每日经济新闻
142,2021-09-01,恒逸石化：第四期员工持股计划及控股股东员工增持计划合计购入9428.57万股,财联社
143,2021-09-01,恒逸石化(000703.SZ)第四期员工持股计划已增持1.36%股份,智通财经
144,2021-09-01,恒逸石化：公司文莱二期项目各项相关工作均有序正常推进，目前进展顺利,每日经济新闻
145,2021-08-31,恒逸石化：目前，公司文莱项目生产的成品油主要在东南亚及澳洲等地区销售，PX、苯等化工品供给公司产业链下游工厂使用,每日经济新闻
146,2021-08-30,恒逸石化举债扩张：负债逾700亿 控股股东质押“输血” 偿债能力下降,中国经营网
147,2021-08-27,恒逸石化(000703)：2Q21业绩符合预期 看好公司未来基本面向好,新浪
148,2021-08-26,方正证券研究所人事地震：六首席“组团”跳槽，多位有新财富光环,Wind
149,2021-08-26,【国海化工】涤纶长丝高度景气，文莱项目持续推进——恒逸石化（000703）中报点评,靠谱化工股
150,2021-08-26,恒逸石化(000703)：炼油和聚酯价差持续改善 看好文莱二期成长性,新浪
151,2021-08-26,券商首次关注9股并给予买入评级（8月26日）,Wind
152,2021-08-25,国海证券给予恒逸石化买入评级，中报点评：涤纶长丝高度景气，文莱项目持续推进,每日经济新闻
153,2021-08-25,民生证券维持恒逸石化推荐评级，恒逸石化2021年半年度业绩点评：营收高增长，毛利率下降 盈利能力下降,每日经济新闻
154,2021-08-25,恒逸石化上半年营收同比增幅超五成,证券日报网
155,2021-08-25,恒逸石化：上半年实现营收609.23亿元 净利22.34亿元,中证网
156,2021-08-25,恒逸石化(000703)：炼化项目盈利大幅提升 文莱二期全力推进彰显未来信心,光大证券
157,2021-08-24,国际化布局成效显着 恒逸石化上半年净赚22.34亿元,上证报
158,2021-08-24,恒逸石化龙头效应持续显现 上半年营收同比增长54.57%,发布易
159,2021-08-24,恒逸石化(000703.SZ)半年度净利润22.34亿元 同比增长16.95%,格隆汇
160,2021-08-24,晚间重要公告2021年8月24日星期二,Wind
161,2021-08-24,恒逸石化2021上半年营收突破600亿元 文莱项目持续贡献利润,e公司
162,2021-08-24,恒逸石化：上半年净利22.34亿元 同比增17%,财联社
163,2021-08-24,恒逸石化：上半年净利润同比增长16.95%,Wind
164,2021-08-19,化工股全线下挫，恒力石化跌超7%,Wind
165,2021-08-18,广西区域股市周报：板块总市值降至第29名 南宁糖业涨17.06%涨幅第一,每日经济新闻
166,2021-08-17,化工行业周报：大鱼择大池 化工巨头挺进新能源赛道,华安证券
167,2021-08-16,化工行业周报：新能源风起 化工龙头加速布局,新浪
168,2021-08-14,广西区域股市周报：板块总市值降至第28名 柳工涨9.32%涨幅第一,每日经济新闻
169,2021-08-13,荣盛石化(002493)：炼化项目产量爬坡驱动业绩高增,新浪
170,2021-08-09,石油化工行业周报：油价高位震荡 长丝需求回升,新浪
171,2021-08-09,全市场流动性周观察：产业资本加码增持 美债收益率转为上行,国海证券
172,2021-08-08,石油化工行业研究：大炼化插上新能源的翅膀！,国金证券股份有限公司
173,2021-08-08,广西区域股市周报：板块总市值跌123亿 *ST东网跌20.30%跌幅第一,每日经济新闻
174,2021-08-08,“炼化-化纤”产业链周报：海利得业绩考核高目标 彰显公司发展信心十足,新浪
175,2021-08-07,恒逸石化：公司的炼化项目位于文莱，所需原油部分来源于文莱本国，其余部分从中东、北非等原油国采购，不受国内原油进口配额影响,每日经济新闻
176,2021-08-06,恒逸石化：公司文莱一期项目液化石油气产能为60万吨,每日经济新闻
177,2021-08-06,恒逸石化：文莱二期项目相关工作均有序正常推进，目前进展顺利,每日经济新闻
178,2021-08-05,负债扩张的恒逸石化再质押3860万股 文莱项目盈利遥遥无期,新浪
179,2021-08-05,千亿资金抄底，这些公司获“内部人”买买买,Wind
180,2021-08-05,石油化工&基础化工行业2021年中期策略报告：聚焦价值 拥抱成长 把握市场分化预期下的确定性机会,光大证券
181,2021-08-04,石油加工行业每周炼化：短期因素刺激PTA利润回升,新浪
182,2021-08-03,新凤鸣(603225)公司深度研究：产能扩张支撑公司持续成长,新浪
183,2021-08-02,恒逸石化(000703.SZ)：控股股东质押3860万股,格隆汇
184,2021-08-02,恒逸石化(000703.SZ)：泓景29号已累计增持1.06%的股份,智通财经
185,2021-08-02,恒逸石化：控股股东恒逸集团累计质押约10.64亿股,每日经济新闻
186,2021-08-02,恒逸石化：股东增持约3891万股,每日经济新闻
187,2021-08-02,柯桥恒鸣化纤功能性纤维生产线正式投产！,全球纺织网
188,2021-07-31,广西区域股市周报：板块总市值跌41亿 华蓝集团跌23.32%跌幅第一,每日经济新闻
189,2021-07-30,A股共发生156宗大宗交易成交37.46亿元（7月30日）,Wind
190,2021-07-30,恒逸石化今日大宗交易成交100万股，成交价12.16元溢价0.0%,Wind
191,2021-07-29,恒逸石化(000703)：业绩承诺股票回购注销完成,证券时报网
192,2021-07-28,"恒逸石化现2笔大宗交易 共成交1,718.98万元",新浪
193,2021-07-28,恒逸石化今日大宗交易成交100万股，成交价11.82元溢价0.0%,Wind
194,2021-07-28,PTA价格年内涨近50%，概念股业绩普遍向好,Wind
195,2021-07-28,PTA价格年内涨近50%概念股业绩普遍向好,证券时报
196,2021-07-27,A股再迎回购潮，千亿资金整装待发,Wind
197,2021-07-27,恒逸石化今日大宗交易成交83万股，成交价12.1元溢价0.0%,Wind
198,2021-07-26,"恒逸石化现3笔大宗交易 共成交1,370.16万元",新浪
199,2021-07-26,恒逸石化今日大宗交易成交61.60万股，成交价12.55元溢价0.0%,Wind
200,2021-07-26,化纤行业将迎来景气度提升，维持行业增持评级,国泰君安
201,2021-07-23,恒逸石化今日大宗交易成交61.30万股，成交价13.21元溢价1.77%,Wind
202,2021-07-23,恒逸石化：拟于8月25日披露半年度报告,每日经济新闻
203,2021-07-23,恒逸石化：原油是公司文莱项目的主要原料，欧佩克增产将增加原油供应，有利于公司生产经营,每日经济新闻
204,2021-07-23,恒逸石化：文莱一期项目化工品主要供应公司下属子公司作为原料使用,Wind
205,2021-07-23,广西区域股市周报：ST八菱股价跌幅17.3%排第一 恒逸石化市值增长15.09亿,每日经济新闻
206,2021-07-22,恒逸石化今日大宗交易成交237万股，成交价12.7元折价3.86%,Wind
207,2021-07-22,恒力石化触及涨停提振化纤板块，荣盛石化、东方盛虹、华峰化学、恒逸石化跟涨,Wind
208,2021-07-21,恒逸石化大宗交易成交5417.54万元，买方为机构专用席位,证券时报网
209,2021-07-21,恒逸石化今日大宗交易成交427.93万股，成交价12.66元折价0.31%,Wind
210,2021-07-20,恒逸石化现1笔大宗交易 共成交998.87万元,新浪
211,2021-07-20,恒逸石化今日大宗交易成交78.90万股，成交价12.66元溢价0.0%,Wind
212,2021-07-20,石油加工行业每周炼化：长丝企业报价上调,新浪
213,2021-07-20,“炼化-化纤”产业链周报：东方盛虹投资超仿真功能性纤维 丰富高端纤维产品结构,新浪
214,2021-07-19,化工点评报告：OPEC+达成协议 油价或将继续上涨,新浪
215,2021-07-19,石油化工新材料行业北上资金周报,新浪
216,2021-07-17,石油化工行业跟踪报告：6月美国商业原油库存环比减少5.2%,新浪
217,2021-07-17,广西区域股市周报：北部湾港挤进板块市值6强 ST八菱涨27.62%涨幅第一,每日经济新闻
218,2021-07-16,恒逸石化：公司文莱二期项目相关工作均有序正常推进，目前进展顺利,每日经济新闻
219,2021-07-15,恒逸石化(000703)：控股股东解除质押8958.3万股,生意社
220,2021-07-14,恒逸石化大宗交易成交80.00万股成交额1060.80万元,证券时报网
221,2021-07-14,石油天然气行业石化月报(第五期)：大炼化向下游延伸拓展,新浪
222,2021-07-14,恒逸石化：恒逸集团累计质押股数约为10.26亿股,每日经济新闻
223,2021-07-14,"恒逸石化现1笔大宗交易 共成交1,060.80万元",新浪
224,2021-07-14,石油加工行业每周炼化：下游抵触高价货源,新浪
225,2021-07-14,恒逸石化今日大宗交易成交80万股，成交价13.26元溢价0.0%,Wind
226,2021-07-13,石化行业数据周报：需求改善将推动涤纶长丝去库存,新浪
227,2021-07-13,恒逸石化(000703)：二季度可转换公司债券转股情况,证券时报网
228,2021-07-12,恒逸石化：“恒逸转债”第二季度转股8607股,每日经济新闻
229,2021-07-12,恒逸石化今日大宗交易成交23.50万股，成交价12.77元溢价0.0%,Wind
230,2021-07-11,广西区域股市周报：中恒集团挤进板块市值6强 柳化股份跌7.83%跌幅第一,每日经济新闻
231,2021-07-09,恒逸石化今日大宗交易成交62万股，成交价12.75元溢价0.0%,Wind
232,2021-07-08,恒逸石化：控股股东所持7092.58万股质押解除占公司总股本1.93%,发布易
233,2021-07-08,恒逸石化(000703.SZ)控股股东恒逸集团解除质押7092.58万股,智通财经
234,2021-07-08,恒逸石化：控股股东恒逸集团约7092.6万股解除质押,每日经济新闻
235,2021-07-08,恒逸石化(000703.SZ)：控股股东解除质押7092.576万股,格隆汇
236,2021-07-06,石油加工行业每周炼化：坯布连续去库存,新浪
237,2021-07-05,能源化工行业周观点：油价持续新高 化工Q2业绩预告亮眼,新浪
238,2021-07-05,新凤鸣(603225)公司研究报告：涤纶长丝龙头企业 有望迎来量价齐升,新浪
239,2021-07-05,融资客青睐10股，兰生股份买入占比高达50.76%,Wind
240,2021-07-05,化工行业周报：把握中报高增长标的 中长期继续看好优质成长,新浪
241,2021-07-03,恒逸石化：公司与荣盛石化合作投资建设的逸盛新材料600万吨PTA项目正如期推进,每日经济新闻
242,2021-07-03,半导体材料行业跟踪报告之三：六部门发文推动制造业优质企业发展 关注半导体材料等关键领域成长空间,光大证券
243,2021-07-02,恒逸石化(000703.SZ)：“恒逸转债”自7月6日起恢复转股,智通财经
244,2021-07-01,恒逸石化(000703.SZ)：第四期员工持股计划和控股股东及附属企业之部分员工增持计划尚未购买公司股票,格隆汇
245,2021-06-30,38.5亿再建聚酯项目！浙江化纤大佬专注“一滴油，两根丝”，这波操作666,全球纺织网
246,2021-06-30,石油化工行业：大炼化迎来出海机遇期,新浪
247,2021-06-29,涤纶长丝行业动态跟踪报告：涤纶长丝需求复苏明确 旺季盈利能力有望大幅上行,新浪
248,2021-06-29,恒逸石化2亿出售子公司 接盘方曾与恒逸合资房企、参股汇宇制药 资产异常,新京报
249,2021-06-29,化纤巨头恒逸石化负债超22亿的子公司被这家琼企2.1亿拿下,第一纺织网
250,2021-06-28,恒逸石化(000703.SZ)权益分派：每10股派3元,智通财经
251,2021-06-28,恒逸石化(000703.SZ)拟2.1亿元转让恒逸实业100%股权 资产异常,智通财经
252,2021-06-28,恒逸石化：转让全资子公司宁波恒逸实业有限公司100%股权 资产异常,每日经济新闻
253,2021-06-28,这一领域未来5年需求量或增逾30倍！多家上市公司杀入,Wind
254,2021-06-25,恒逸石化今日大宗交易成交200万股，成交价11.94元折价4.02%,Wind
255,2021-06-25,恒逸石化：公司的PTA产品以自用为主，也有部分产品外销,Wind
256,2021-06-25,恒逸石化：去年四季度亏损主因系海外疫情二次爆发影响文莱炼厂效益,Wind
257,2021-06-25,A股收盘综述：大金融板块强势崛起，沪指大涨终结周线3连跌,Wind
258,2021-06-25,广西区域股市周报：板块总市值跌118亿 河化股份跌11.23%跌幅第一,每日经济新闻
259,2021-06-23,恒逸石化现1笔大宗交易 共成交301.83万元,新浪
260,2021-06-23,恒逸石化今日大宗交易成交25.30万股，成交价11.93元溢价0.0%,Wind
261,2021-06-22,恒逸石化：“恒逸转债”6月23日起停止转股,Wind
262,2021-06-22,年内118股推员工持股计划,Wind
263,2021-06-21,固定收益周报：顺势交易逻辑 逆势背靠估值,新浪
264,2021-06-21,民生证券研究周观点,新浪
265,2021-06-21,化工行业周报：关注二季度高增长标的 中长期继续看好优质成长股,新浪
266,2021-06-19,广西区域股市周报：桂冠电力市值增长17.34亿 *ST银河涨23.27%涨幅第一,每日经济新闻
267,2021-06-18,恒逸石化：公司目前生产经营顺畅，产销两旺,Wind
268,2021-06-18,中国可转债周报：当指数变得难以跑赢,新浪
269,2021-06-18,石油化工行业：5月油价延续上涨态势 建议关注油价上涨的投资机会,新浪
270,2021-06-17,恒逸石化今日大宗交易成交156万股，成交价12.19元溢价0.0%,Wind
271,2021-06-17,恒逸石化大跌 连续下跌,新浪
272,2021-06-17,恒逸石化(000703)：2021年第三次临时股东大会通过九项,纺织网
273,2021-06-17,【民生证券研究院】晨会纪要20210617,MS研究
274,2021-06-16,民生证券：恒逸石化（000703.SZ）长丝景气度回升+产能扩张，维持“推荐”评级,智通财经
275,2021-06-16,石油加工行业每周炼化：长丝加速去库,新浪
276,2021-06-16,37股获券商买入评级，玲珑轮胎目标涨幅达53.05%,Wind
277,2021-06-16,【民生证券研究院】晨会纪要20210616,MS研究
278,2021-06-15,恒逸石化(000703)：长丝景气度回升+产能扩张 盈利持续增长,新浪
279,2021-06-15,民生证券维持恒逸石化推荐评级，恒逸石化深度报告：长丝景气度回升+产能扩张，盈利持续增长,每日经济新闻
280,2021-06-11,民营石化龙头恒逸再募资 机构称文莱项目进展略慢未来可期,贝壳财经
281,2021-06-11,恒逸石化：公司目前暂无聚酯薄膜领域的生产经营,每日经济新闻
282,2021-06-11,恒逸石化：目前公司产销两旺,每日经济新闻
283,2021-06-11,石化行业OPEC月报点评：OPEC逐步放松减产 需求复苏提供支撑,新浪
284,2021-06-11,广西区域股市周报：柳化股份市值增长8.79亿 *ST东网跌10.29%跌幅第一,每日经济新闻
285,2021-06-11,恒力石化跌超5%再创年内新低，化纤板块承压,Wind
286,2021-06-10,石油化工行业：7月继续增产 油价强势上涨,新浪
287,2021-06-08,石油化工一周观点：从供需面看丙烯产业链,新浪
288,2021-06-07,石油化工行业周报：油价突破前高站上70美元 看多石化全产业链,新浪
289,2021-06-07,国君石化 | 碳中和对石化行业影响专题研究：石化行业成本曲线重塑，中长期竞争格局优化,国泰君安证券研究
290,2021-06-06,脱水研报：民营炼化龙头 营收净利均大增 ROE为25% 看涨50%,和讯
291,2021-06-04,本周3家上市公司发布可转债预案，融资总规模达40.53亿元,Wind
