,2021-12-31,全球资本市场早报（2021/12/31）：奇葩！炒股靠风水？券商研究员竟用天干地支预测A股，国内排名第三动力电池生产商中创新航拟赴港上市,前瞻网
202,2021-07-26,智能制造落地韩城 转型现代化产业的县域样本,中国经营报
203,2021-07-26,计算机行业周报：平台经济时代终结 硬核科技时代到来(推荐),国海证券
204,2021-07-22,钠离子电池：潜在空间广阔 宁德时代入局加速产业化,光大证券
205,2021-07-21,计算机行业：金融信创超预期落地 提升长期成长空间,新浪
206,2021-07-20,长城信息与中信、招商银行长沙分行开展战略合作,e公司
207,2021-07-19,中国长城：长城大厦及飞腾引入战投相关工作正在积极推进中,每日经济新闻
208,2021-07-19,中国长城：公司产品主要为PC和服务器，暂未适配鸿蒙系统,每日经济新闻
209,2021-07-19,中国长城：飞腾目前生产经营正常,每日经济新闻
210,2021-07-19,公司投资的飞腾信息有无进行科创板上市安排？中国长城：公司暂未收到相关通知,每日经济新闻
211,2021-07-19,中国长城：聘严忠为总法律顾问,每日经济新闻
212,2021-07-19,计算机应用行业：混合云架构是当下大型企业转云的最佳路径,新浪
213,2021-07-19,子公司长城信息拟创业板IPO 中国长城仍将维持对其的控制权,资本邦
214,2021-07-19,中国长城：公司持有飞腾公司31.5%股份,Wind
215,2021-07-17,计算机周观点：等保2.0升级 网安基本面增量测算,新浪
216,2021-07-17,中国长城(000066)：收入高速增长 二季度扭亏为盈,新浪
217,2021-07-16,信达证券维持中国长城买入评级：收入高速增长，二季度扭亏为盈,每日经济新闻
218,2021-07-16,大佬们买什么？葛卫东钟爱网络安全、赵建平重仓科创板,Wind
219,2021-07-15,东吴计算机点评【中国长城2021中报预告点评：业绩符合市场预期，飞腾芯片发展可期】,吴声计事
220,2021-07-15,东吴证券无炒股中国长城买入评级，2021中报预告点评：业绩符合市场预期，飞腾芯片发展可期,每日经济新闻
221,2021-07-15,中国长城(000066)公司点评：业绩预告收入超预期 信创全线领军迎加速点,新浪
222,2021-07-15,太平洋维持中国长城买入评级：半年度收入增速创重组以来最快,每日经济新闻
223,2021-07-14,中国长城：上半年预计亏损金额有所缩减 预亏,Wind
224,2021-07-14,中国长城(000066.SZ)半年度净利预亏7500万元-1.15亿元 预亏,智通财经
225,2021-07-14,中国长城：预计2021年上半年净利润亏损7500万元~1.15亿元 预亏,每日经济新闻
226,2021-07-13,A股资金流向（7月13日）：业绩成为市场“试金石”，芯片股“掉队”遭抛售,Wind
227,2021-07-13,计算机应用行业：滴滴出行APP下架 再次印证网络安全与信创逻辑 产品问题,新浪
228,2021-07-12,中国长城：锂电池业务产品主要应用于高新通信、高新车载、高新储能、高新启动、数据中心等,每日经济新闻
229,2021-07-12,中国长城：公司目前暂无3D打印技术,每日经济新闻
230,2021-07-12,中国长城：切割机业务目前暂无批量投入市场,每日经济新闻
231,2021-07-09,中国长城：2021年世界人工智能大会上，公司展出了最新款终端和服务器,每日经济新闻
232,2021-07-09,中国长城：公司晶圆切割机项目正在稳步推进中,Wind
233,2021-07-09,中国长城：公司目前未生产液晶电视,Wind
234,2021-07-08,中国长城(000066.SZ)2020年度权益分派10派0.864862元股权登记日为7月15日,格隆汇
235,2021-07-08,中国长城(000066.SZ)拟实施每10股派0.86元 于7月16日除权除息,智通财经
236,2021-07-08,长城信息参与发起数字服务研究中心,e公司
237,2021-07-08,A股收盘综述：科创50逆势大涨2.6%，成长股持续压制价值股,Wind
238,2021-07-07,中国长城：目前公司各项业务的经营发展在稳步前行,每日经济新闻
239,2021-07-07,中国长城：长城信息分拆创业板上市不会对公司其他业务板块的持续经营运作构成实质性影响,每日经济新闻
240,2021-07-07,子公司长城信息拟创业板IPO，中国长城仍将维持对其的控制权,资本邦
241,2021-07-06,中国长城(000066.SZ)：控股股东未实施转融通证券出借公司股份业务,格隆汇
242,2021-07-06,计算机行业点评：重申看好“泛安全” 迎接事件和Q3业绩双催化,新浪
243,2021-07-05,上海国家会计学院数字赋能服务高端研讨会举行,中证网
244,2021-07-05,【东吴计算机周报】：信创网安行业中报前瞻,吴声计事
245,2021-07-04,数字化大潮来袭，上海国家会计学院成立数字服务研究中心，为高质量发展“赋能”,文汇报
246,2021-07-01,中国长城：目前飞腾芯片主要应用在PC和服务器，暂无适配鸿蒙系统,每日经济新闻
247,2021-07-01,中国长城：长城电源系华为体系内的合格供应商,Wind
248,2021-07-01,中国长城：公司业务涉及小规模的光伏发电业务,Wind
249,2021-07-01,中国长城：长城信息若分拆上市，公司仍将维持对其控制权,Wind
250,2021-06-30,中国长城（安徽滁州）智能制造产业基地“双线”投产,e公司
251,2021-06-30,芯片概念个股全线大涨!芯片ETF(512760)今日上涨4.84%,资本邦
252,2021-06-30,合并4年后再分拆子公司长城信息启动创业板上市中国长城：加大金融信创发展力度合并与分拆不矛盾,财联社
253,2021-06-30,A股早报2021年6月30日星期三,Wind
254,2021-06-30,盘前有料丨滴滴“上限”发行预估市值670亿美元；今日3只新股申购…重要消息还有这些,证券时报
255,2021-06-29,晚间重要公告2021年6月29日星期二,Wind
256,2021-06-29,中国长城(000066.SZ)拟分拆长城信息创业板上市,智通财经
257,2021-06-29,中国长城：拟分拆下属控股公司长城信息创业板上市,Wind
258,2021-06-29,巷观十二时辰〡毕业季，你为什么首选留在西安？,每日经济新闻
259,2021-06-25,中国长城：“天问一号”成功着陆火星使用的是麒麟操作系统,Wind
260,2021-06-25,安信研究|晨会在线20210625,安信证券研究
261,2021-06-24,中国普天整体并入中国电科，旗下上市公司纷纷大涨,第一财经
262,2021-06-23,A股收盘综述：创业板指连升5日，泛科技持续“吸金”,Wind
263,2021-06-23,计算机：中国普天整体并入中电科 计算机行业国企改革进一步加速,新浪
264,2021-06-21,半导体内部轮动补涨，中环股份涨停,Wind
265,2021-06-17,中国长城：切割机业务目前暂无批量投入市场,Wind
266,2021-06-17,电报｜中国长城：子公司湘计海盾为“神州十二号”提供人机交互信息系统设备,财联社
267,2021-06-15,中国长城：聘任严忠和谭敬军为公司高级副总裁,每日经济新闻
268,2021-06-15,国产计算机支持，“中国长城杯”首都高校炉石传说电竞赛收官,观察者网
269,2021-06-11,中国长城：目前飞腾芯片主要应用在PC和服务器，暂无适配鸿蒙系统,每日经济新闻
270,2021-06-11,深度*行业*计算机行业：一图梳理鸿蒙产业链标的,新浪
271,2021-06-11,融资客青睐6股，江河集团买入占比高达42.58%,Wind
272,2021-06-10,八大券商主题策略：国产软件进入新的景气周期？华为产业链受益公司名单曝光,中金在线
273,2021-06-10,中国长城大涨,新浪
274,2021-06-08,中国长城：公司无汽车制造业务,每日经济新闻
275,2021-06-08,中国长城：子公司“长城电源”系华为体系内合格供应商,Wind
276,2021-06-08,中国长城：飞腾芯片由飞腾公司研发设计,每日经济新闻
277,2021-06-08,计算机应用行业：盘点低代码开发平台的投资机会,新浪
278,2021-06-07,软件国产化加速，北上资金大举增持股曝光,第一财经
279,2021-06-07,两只鸿蒙概念股20%涨停！软件国产化加速,证券时报网
280,2021-06-07,两只股票均20%涨停：鸿蒙概念炸了 北上资金大举增持股曝光,新浪
281,2021-06-04,长城信息：中标广东农信操作系统采购项目,e公司
282,2021-06-04,科技及智能设备产业链日报：通信设备Ⅲ指数逆市上涨 涨幅1.6%,新浪
283,2021-06-03,一则重磅传闻引发涨停潮,证券之星
284,2021-06-03,6月3日晚间重要行业研究汇总(附股),中金在线
285,2021-06-03,盘前情报丨手机上的华为鸿蒙来了，产业链一览,21世纪经济报道
286,2021-06-03,中金：华为鸿蒙生态直接利好软件服务商 如中软国际和中科创达等,新浪
287,2021-06-03,鸿蒙OS 2发布，关注三条投资主线,中信证券
288,2021-06-02,券商判势｜6月关注“聪明钱”青睐板块,搜狐
289,2021-06-02,软件及服务行业：鸿蒙待发 生态将兴,新浪
290,2021-06-01,就在明天，华为大动作来了，涉及这些A股“小伙伴”,Wind
291,2021-06-01,计算机行业周报：鸿蒙即将发布 国产软硬件景气度提升,新浪
292,2021-06-01,首创证券给予中国长城买入评级，公司简评报告：国产服务器突破运营商项目,每日经济新闻
293,2021-06-01,粤开策略 | 2021年6月十大金股及市场展望,粤开崇利论市
294,2021-05-31,2021年6月1日涨停板早知道：七大利好有望发酵,新浪
295,2021-05-31,中国长城：中标中国联通实验室扩容项目,e公司
296,2021-05-31,计算机周报：政策关注核心技术 鸿蒙开启生态建设与国产化新篇章,新浪
297,2021-05-29,计算机周观点：鸿蒙大会六大前瞻,新浪
298,2021-05-28,行业 | 鸿蒙帆起，国产软硬件风已来（中银杨思睿团队）,一计之长
299,2021-05-28,中银证券--计算机行业点评：鸿蒙帆起，国产软硬件风已来【行业研究】,金融界股吧
300,2021-05-28,深度*行业*计算机行业：鸿蒙帆起 国产软硬件风已来,新浪
301,2021-05-26,A股资金流向（5月26日）：沪强深弱态势明显，创蓝筹遭资金抛售,Wind
302,2021-05-26,A股收盘综述：上证指数涨0.34%，创业板指跌0.95%,Wind
303,2021-05-26,【异动股】钠离子电池板块下挫，中国长城(000066.CN)跌6.19%,财华社
304,2021-05-26,计算机行业“构筑中国科技基石”系列报告10：鸿蒙放量在即 信创再迎高潮,新浪
305,2021-05-26,A股午盘综述：上证指数涨0.29%，创业板指跌逾1%,Wind
306,2021-05-26,中国长城：飞腾芯片目前暂未应用于天问一号,每日经济新闻
307,2021-05-26,中国长城：公司自主安全计算机和服务使用的是麒麟操作系统,每日经济新闻
308,2021-05-25,计算机行业周报：从技术走向全面应用 AI掀起新一轮产业革命,新浪
309,2021-05-25,钠电池站上“风口” 涨停的几只概念股成色几何？,财联社
310,2021-05-25,【行情】钠离子电池板块开盘走强，中盐化工、圣阳股份一度触板，中国长城、容百科技等纷纷跟涨,金十数据
311,2021-05-24,计算机应用行业：华为与飞腾齐飞 鲲鹏共PKS一色,新浪
312,2021-05-24,云计算板块涨势强劲，中国长城、浪潮、用友、广联达、宝信软件全线上扬,Wind
