,2021-12-31,北京成为数字经济领头羊的最新经验,财经杂志
24,2021-12-27,中信建投证券股权资本市场部待发行项目一览,微信
25,2021-12-27,国泰君安 | 信用债发行结果日报,国泰君安债券资本市场部
26,2021-12-27,戈碧迦冲击北交所：已与中信建投签订辅导协议 今年上半年净利2680万元,同壁财经
27,2021-12-27,多家卖方研究加入辟谣大战，建投海通东吴长江招商等纷纷表态，传言引电网股大跳水，究竟谁在制造谣言,财联社
28,2021-12-27,2000亿白马闪崩！中信建投首席怒了：接了一万个电话,Wind
29,2021-12-27,一则传闻，2000亿白马闪崩！中信建投首席怒了：接了一万个电话,21世纪经济报道
30,2021-12-27,中信建投分析师朱玥再度被热议，因回应声明中“预测准确率为100%”被调侃为假消息,新浪
31,2021-12-27,中信建投电新首席辟谣电网投资下降传闻，国电南瑞打开跌停,阿尔法工场
32,2021-12-27,网传“整县推进变化导致配网投资下降” 中信建投、长江等出面辟谣,财联社
33,2021-12-27,中信建投-南山地产-联汇保理12亿元ABS购房尾款项目状态更新为“已反馈”,乐居财经
34,2021-12-26,33家券商旗下144只大集合彻底变身公募基金 投资业绩大曝光 哪类产品能收获“稳稳幸福”？,每日经济新闻
35,2021-12-26,券商人手大比拼！两家头部券商扩张，年内增员均超2000,Wind
36,2021-12-25,【中信建投 宏观】渔歌互答——本周市场关心热点问题三问三答,文涛宏观债券研究
37,2021-12-25,报告写得妙VS股票炒得好：姜超买方首秀浮亏20%,Wind
38,2021-12-25,科新机电：中信建投证券股份有限公司、弘毅远方基金等2家机构于12月23日调研我司,证券之星
39,2021-12-25,润建股份有限公司 关于公司股东股票质押式回购交易展期及补充质押的公告,中证报
40,2021-12-24,信用债日报：本周信用债净融资额创7个月新低，地产债延续弱势,Wind
41,2021-12-24,苏试试验(300416.SZ)披露定增结果：中信建投、富荣基金及财通基金等参投,格隆汇
42,2021-12-24,立方控股完成北交所上市辅导验收，市场竞争力稳固提升,同壁财经
43,2021-12-24,最新！应对西安疫情，这些券商启动应急预案，暂停部分网点服务，轮岗上班！上市公司也有回应,券商中国
44,2021-12-24,折价大宗交易频频，资金博弈券商板块,Wind
45,2021-12-24,新天科技：中信建投证券股份有限公司于12月21日调研我司,证券之星
46,2021-12-23,北向与百亿私募狂买券商股，大资金却在“大减价”,Wind
47,2021-12-23,中信建投：融资余额比上日增0.36%，融券余额比上日降2.37%,资本邦
48,2021-12-23,头部地位难撼，投行业务“强者恒强”,Wind
49,2021-12-22,最牛女保代保荐24个项目，超50%保代却没活干,Wind
50,2021-12-21,中信建投：融资余额比上日降0.15%，融券余额比上日增6.10%,资本邦
51,2021-12-21,超募惹眼！今年六成IPO项目超募，两IPO项目合计超募近百亿，“闲钱”是否资源浪费？一波争议声起,财联社
52,2021-12-21,景嘉微：中信建投证券、华西证券等56家机构于12月9日调研我司,证券之星
53,2021-12-21,利亚德：中信建投证券股份有限公司、中信建投基金管理有限公司等20家机构于12月16日调研我司,证券之星
54,2021-12-20,中信建投:融资余额比上日降0.68%，融券余额比上日降9.49%,资本邦
55,2021-12-20,中信建投证券股权资本市场部待发行项目一览,微信
56,2021-12-20,今年A股上市公司突破500家！募资总额超过5200亿，各创历史纪录，百元发行价新股13只,财联社
57,2021-12-20,又有重磅转会！年内至少12家券商研究所负责人变更,Wind
58,2021-12-20,无锡惠山区与中信建投共设两支新基金，总规模120亿元,投资界
59,2021-12-20,保代人数两年近翻倍，保荐项目为零者尚过半,Wind
60,2021-12-20,纳思达披露50亿元定增结果，高毅邓晓峰等顶流都出手了,Wind
61,2021-12-19,首批北交所基金开始建仓了！,Wind
62,2021-12-19,八大头部券商隔空论辩2022年A股机会,Wind
63,2021-12-19,陆家嘴财经早餐2021年12月19日星期日,Wind
64,2021-12-18,官宣！“宁组合”首创者陈果出任中信建投证券(06066)首席策略官,智通财经
65,2021-12-18,中信建投首席策略官正式官宣，打造顶级卖方策略团队！,Wind
66,2021-12-18,2021年券商十大新闻盘点,Wind
67,2021-12-18,中能电气：中信建投证券股份有限公司于12月16日调研我司,证券之星
68,2021-12-18,“牛市”未现落寞尽显，八大头部券商隔空论辩2022年A股机会,Wind
69,2021-12-17,【银华基金】交易日报 2021-12-17,新浪
70,2021-12-17,国林科技：中信建投证券股份有限公司、嘉实基金管理有限公司等2家机构于12月14日调研我司,证券之星
71,2021-12-17,贝斯特：中信建投于12月14日调研我司,证券之星
72,2021-12-17,安信证券首席策略分析师陈果离职，下一站是这家头部券商？,Wind
73,2021-12-16,安信证券首席策略分析师陈果确认离职，下一站或履新中信建投,澎湃新闻
74,2021-12-16,安信证券原策略首席陈果转战中信建投，任首席策略副所长,36氪
75,2021-12-16,关于同意中信建投证券股份有限公司为华宝中证军工交易型开放式指数证券投资基金提供一般做市服务的公告,上交所
76,2021-12-16,券商抢基金代销蛋糕，降费之外需亮新招,Wind
77,2021-12-16,券商并购为何总是，“干打雷不下雨”？,Wind
78,2021-12-15,终于落定！新时代证券成央企子公司，东兴证券、西部证券相继退出收购,Wind
79,2021-12-15,【行情】证券板块短线拉升，浙商证券涨超5%，国联证券、中信建投、中信证券跟涨,金十数据
80,2021-12-14,北交所开市满月！11只新股集体上涨，投资者入市意愿增强,Wind
81,2021-12-14,中信建投证券(06066.HK)“21信投16”票面利率为3.07%,格隆汇
82,2021-12-14,安信证券策略首席陈果今日办理离职，下一站三缄其口，卖方首席为何纷纷出走？三四年成一个离职周期？,财联社
83,2021-12-14,股票全面注册制临近，哪些上市券商或将受益？|和讯睿见,和讯
84,2021-12-14,粤水电：中信建投证券股份有限公司于12月10日调研我司,证券之星
85,2021-12-13,中信建投证券股权资本市场部待发行项目一览,微信
86,2021-12-13,全面注册制预期下，券商大涨？“三中一华”等券商龙头有望因这件事率先受益,红周刊
87,2021-12-13,尚纬股份(603333.SH)披露定增结果：中信建投、财通基金及诺德基金等参投,格隆汇
88,2021-12-13,中国债券市场金融债发行日程一览(12月13日),Wind
89,2021-12-12,基金投顾监管在路上，招行回应称正进行规范改造,Wind
90,2021-12-11,中信建投证券六大研究团队最新解读中央经济工作会议,Wind
91,2021-12-11,瑞玛工业：中信建投证券股份有限公司、前海联合基金管理有限公司等2家机构于12月9日调研我司,证券之星
92,2021-12-11,华润三九：中信建投于12月8日调研我司,证券之星
93,2021-12-11,东威科技：中信建投、太平洋保险养老基金等2家机构于11月30日调研我司,证券之星
94,2021-12-11,"券商""优等生""再次放榜！公布5次仅新增1家",Wind
95,2021-12-11,"券商""优等生""再次放榜！含金量有多高？公布5次仅新增1家，将优先试点创新业务",券商中国
96,2021-12-10,2021中国证券业分析师金牛奖揭晓 中信建投研究发展部荣获“五大金牛研究机构”等多个奖项,中证网
97,2021-12-10,2021中国证券公司金牛奖放榜 中信建投证券斩获“金牛证券公司”等三项大奖,中证网
98,2021-12-10,国内投行哪家强？2021中国证券公司金牛奖榜单出炉！28家券商上榜,中证报
99,2021-12-10,康平科技：中信建投证券、前海联合基金等2家机构于12月8日调研我司,证券之星
100,2021-12-09,中资券商股午后大幅拉升 国联证券涨近6%中信建投证券超4%,新浪
101,2021-12-09,财信证券：适时降准+春季躁动行情催化 券商行情可期,证券时报网
102,2021-12-09,跨年行情来了？牛市旗手6天有5天上涨，这些因素在发力？,Wind
103,2021-12-09,操盘必读｜史上最贵新股今日申购，人民币汇率创三年半新高！北向资金持续流入金融板块,上游新闻
104,2021-12-09,振邦智能：易方达基金管理有限公司、中信建投证券股份有限公司等2家机构于12月3日调研我司,证券之星
105,2021-12-08,期现结合助力成渝双城经济圈高质量发展,期货日报网
106,2021-12-08,晚间公告｜12月8日这些公告有看头,第一财经
107,2021-12-08,投行业务蓬勃发展，8家券商IPO 承销收入过10亿元|和讯睿见,和讯
108,2021-12-08,中国证监会对中信建投证券(06066)申请开展账户管理功能优化试点业务相关事项无异议,智通财经
109,2021-12-08,中信建投证券(06066.HK)申请开展账户管理功能优化试点业务获证监会监管意见书,格隆汇
110,2021-12-08,中信建投证券：“21中信建投CP013”完成兑付,Wind
111,2021-12-08,中信建投证券(06066.HK)：2021年度第十三期短期融资券兑付完成,格隆汇
112,2021-12-08,中信建投最新公告：证监会对公司申请开展账户管理功能优化试点业务相关事项无异议,证券之星
113,2021-12-08,中国证监会对中信建投(601066 .SH)申请开展账户管理功能优化试点业务事项无异议,智通财经
114,2021-12-08,中信建投(601066.SH)：完成兑付本息20.12亿元短期融资券,格隆汇
115,2021-12-08,中信建投：申请开展账户管理功能优化试点业务获监管意见书,财联社
116,2021-12-08,中信建投：2021年度第十三期短期融资券兑付完成,Wind
117,2021-12-08,A股收盘综述：沪指创三个月最大单日涨幅，题材股多点开花；ST板块午后突然跳水！,Wind
118,2021-12-08,券商股尾盘再度拉升，华林证券直线涨停,Wind
119,2021-12-08,【行情】券商股异动，华林证券直线拉升封板，长城证券、中泰证券、中信建投、东兴证券、广发证券等涨超3%,金十数据
120,2021-12-08,11月份交易所信用债发行大幅反弹，信用级别略有下降，发行利率整体下行,中证鹏元评级
121,2021-12-08,【行情】券商股异动拉升，中泰证券一度涨超7%，中信建投、长城证券、广发证券、中银证券等集体走高,金十数据
122,2021-12-07,证券行业周报：优化证券公司账户管理 打造以客户为中心体系,新浪
123,2021-12-07,中信建投：央行宣布全面降准释放资金约1.2万亿,Wind
124,2021-12-07,中国黄金：中信建投、国华人寿保险等11家机构于12月2日调研我司,证券之星
125,2021-12-06,中信建投证券股权资本市场部待发行项目一览,微信
126,2021-12-06,券商收益互换业务新规落地，41家获资质券商竞跑“新赛道”,第一财经
127,2021-12-06,北向资金连续4日净买入累计加仓超150亿，大幅抢筹券商、银行股,Wind
128,2021-12-06,四大理由看今日券商股躁动，头部券商与“高含财率”券商各自领衔，后市还可持续吗,财联社
129,2021-12-06,非银金融行业周报：2021年证券公司财务顾问业务执行能力评价结果解读,新浪
130,2021-12-06,证券：适时降准叠加多项政策利好 看好券商板块行情,新浪
131,2021-12-06,关于同意中信建投证券股份有限公司为工银瑞信上证50交易型开放式指数证券投资基金提供一般做市服务的公告,上交所
132,2021-12-05,中上协：积极推动ESG与企业经营深度融合,Wind
133,2021-12-05,IPO过会率悄然下滑？11月创年内新低，近800家企业“待考”,财联社
134,2021-12-05,3家获批银行基金投顾试点进展缓慢，展业或分两步走,Wind
135,2021-12-05,最牛大赚超80%！大集合改造，“冲刺”！,Wind
136,2021-12-04,证券业基本面梳理之一：优化证券公司账户管理功能 打造券商财富管理的主账户,新浪
137,2021-12-04,A股市场领涨全球，监管同意开展账户管理功能优化试点工作,Wind
138,2021-12-04,重磅试点名单出炉！中信、国泰君安等10家券商“拔头筹”,Wind
139,2021-12-03,荣获“年度外汇期货最佳突破奖”，中信建投证券FICC业务国际化再上新台阶,中信建投固收家
140,2021-12-03,首批10家“账户管理功能优化试点”券商名单出炉！遵照六大要求，国君、中信、招商、安信等率先回应,财联社
141,2021-12-03,证监会同意开展证券公司账户管理功能优化试点,Wind
142,2021-12-03,泳池清洁机器人企业望圆科技完成近2亿元A轮融资，毅达资本和中信建投联合领投,亿欧网
143,2021-12-03,每日理财观察：支付宝与中国银联互联互通新进展,Wind
144,2021-12-03,100亿+资金涌入！最牛份额涨667%，布局机会到了？,Wind
145,2021-12-03,中信建投2022年度资本市场峰会——上市公司交流专场邀请函,中信建投证券研究
146,2021-12-03,绿田机械：中信建投、信银理财等4家机构于11月30日调研我司,证券之星
147,2021-12-03,远光软件：中信建投证券于11月30日调研我司,证券之星
148,2021-12-03,悦康药业：中信建投、国寿安保基金管理有限公司等2家机构于11月22日调研我司,证券之星
149,2021-12-03,广和通：中信建投、进门财经等65家机构于11月30日调研我司,证券之星
150,2021-12-03,英杰电气：中信建投、FranchiseCapital等50家机构于12月1日调研我司,证券之星
151,2021-12-03,伟星股份：中信建投证券股份有限公司于11月30日调研我司,证券之星
152,2021-12-03,理财监管进入“直联”时代，信披有望进一步规范化,Wind
153,2021-12-02,【银华基金】交易日报 2021-12-2,新浪
154,2021-12-02,中信建投证券(06066.HK)“20信投C4”拟12月10日付息,格隆汇
155,2021-12-02,券商2022年度策略上演“隔空舌战”：机会究竟在上半场还是下半场？一致看好哪些赛道？多家观点来了,财联社
156,2021-12-02,恒指震荡收涨0.55%，金融、地产板块领涨,Wind
157,2021-12-02,通联数据应邀参加中信建投证券2022年度策略会,钢企网
158,2021-12-02,山河智能：银华基金、中信建投等2家机构于11月26日调研我司,证券之星
159,2021-12-01,智新电子接待中信建投等7家机构调研：为吉利汽车一级供应商,同壁财经
160,2021-12-01,为两融绕标提供便利 中信建投一营业部被责令改正 其他违规处罚,上证报
161,2021-12-01,明日打新！2000亿巨头即将登陆A股，高瓴已重仓,Wind
162,2021-12-01,中信建投投行委委员李旭东：北交所是“少年班”，好公司不会被埋没，推动投行向研究驱动、认知驱动迈进,财联社
163,2021-12-01,2022年A股行情怎么走？中信建投资本市场峰会提出五条主线,Wind
164,2021-12-01,新益昌：中信建投、中金电子等45家机构于11月17日调研我司,证券之星
165,2021-11-30,中信建投李旭东：北交所为注册制赋予新内涵，拓展券商展业空间,上证报
166,2021-11-30,中信建投年度资本市场峰会来了！首日带来这些投资观点！快来了解一下,中国财富网
167,2021-11-30,中国分析师大会|2021金麒麟最佳分析师许兴军、阎贵成、王鹤涛、余文心解析虎年电子医药等行业机遇,新浪
168,2021-11-30,中信建投李旭东：北交所是券商服务科技创新、发展普惠金融的重要抓手,中证网
169,2021-11-30,财务条件达标，博为峰筹备上市北交所,资本邦
170,2021-11-30,本月2板块获密集调研，“榨菜茅”被64家券商调研,Wind
171,2021-11-30,“榨菜茅”本月获64家券商调研！这些板块成券商心头好,中证报
172,2021-11-30,中信建投李格平：新能源和新能源汽车等产业是未来中国资本市场的长坡厚雪,中证网
173,2021-11-30,中信建投李格平：预计公司研究业务人员到2022年年中达300人左右,中证网
174,2021-11-29,【银华基金】交易日报 2021-11-29,新浪
175,2021-11-29,中信建投证券债务资本市场部日报（20211129）,中信建投DCM
176,2021-11-29,中信建投证券股权资本市场部待发行项目一览,微信
177,2021-11-29,[路演] 国内光伏接线盒领先企业 通灵股份IPO路演成功举办,全景网
178,2021-11-29,已超3000亿！券结基金井喷，券商、基金深度绑定,Wind
179,2021-11-29,牛市旗手风口来了？三大ETF份额大增77.55亿份,Wind
180,2021-11-29,2021年Wind“金牌分析师”权威揭榜,Wind
181,2021-11-29,监管鼓励券商积极布局，券结模式基金大井喷,Wind
182,2021-11-29,疫情打击加息预期，黄金有望重回涨势,鲁明量化全视角
183,2021-11-29,德固特：中信建投、拓璞基金等2家机构于11月18日调研我司,证券之星
184,2021-11-28,【中信建投电子|刘双锋&雷鸣团队】周报：北美半导体设备商出货环比增长，折叠机市场持续增长,中信建投电子研究
185,2021-11-28,【豆粕周报】冲击告一段落，压力仍是主题,CFC农产品研究
186,2021-11-28,【糖史演义】内外价差收缩&原油闪崩，郑糖何去何从？,CFC农产品研究
187,2021-11-28,深度 | 中国中免(601888)：H股招股书更新分析：免税有税齐头并进，海南经营面积将大幅扩充,中信建投证券研究
188,2021-11-28,北交所股票热度飙升，券商研究所正全力覆盖，但研究换佣金模式暂行不通,Wind
189,2021-11-28,说翻倍真的快翻倍了！北交所股票热度飙升，券商研究所正全力覆盖，但研究换佣金模式暂行不通,券商中国
190,2021-11-27,特斯拉：创新引领者质变，优质供应链偕行,中信建投证券研究
191,2021-11-27,楚天科技：中信建投、嘉实基金等5家机构于11月24日调研我司,证券之星
192,2021-11-27,杭萧钢构：中信建投于11月18日调研我司,证券之星
193,2021-11-27,曼卡龙：中信建投商社、中信建投纺服等3家机构于11月24日调研我司,证券之星
194,2021-11-26,中国电力(02380.HK)设立资产支持证券计划,格隆汇
195,2021-11-26,【纸上江湖】涨价潮能否卷起需求的复苏,CFC农产品研究
196,2021-11-26,人民数据携手巨量引擎成立算数研究联盟,质量新闻网
197,2021-11-26,人民数据携手巨量引擎成立算数研究联盟,凤凰网
198,2021-11-26,中信建投、招商证券首席“大打出手”，又是因为光伏？,证券之星
199,2021-11-26,专访中信建投证券李格平：注册制下投行业务全面“再造”，成为一流投行要苦练内功,第一财经
200,2021-11-26,发生了什么？中信建投首席跟招商首席怼起来了！,上游新闻
201,2021-11-26,2022科技板块投资如何布局？中信建投TMT团队年度推荐标的,中信建投证券研究
202,2021-11-25,中信建投证券(06066)完成发行20亿元次级债,智通财经
203,2021-11-25,【建投观察】全球农业信息总汇——第47周下,CFC农产品研究
204,2021-11-25,【花生周报】信息不对称引发的对峙终有结局,CFC农产品研究
205,2021-11-25,【苹果周报】前景悬念犹存，惜售情绪恐生反噬,CFC农产品研究
206,2021-11-25,2022 年买什么？大盘涨跌如何？来看机构最新策略：这些核心赛道被一致看好,ZAKER
207,2021-11-25,IPO终止项目剧增，大小券商各有苦衷 IPO融资异常,Wind
208,2021-11-25,江苏新能：中信建投证券股份有限公司、海南智联私募基金管理公司等8家机构于11月22日调研我司,证券之星
209,2021-11-25,券商角力北交所“后备军团”：开源证券储备项目居首,Wind
210,2021-11-25,卖方唱多券商股，“聪明钱”布局跨年行情胜负手,Wind
211,2021-11-25,券商业绩与估值背离 密集再融资或是一大原因,证券日报
212,2021-11-24,券商角力北交所“后备军团”：开源证券储备项目居首,21世纪经济报道
213,2021-11-24,【建投点评】Conab巴西食糖估产报告的隐藏彩蛋,CFC农产品研究
214,2021-11-24,标准债券远期实物交割机制正式推出,Wind
215,2021-11-24,券业总资产首破10万亿！券商前三季大赚1440亿,Wind
216,2021-11-24,中信建投2022年度资本市场峰会通信专场邀请函,建投通信研究
217,2021-11-24,增量资金蓄势待发，北交所上市公司成机构“新宠”,Wind
218,2021-11-24,金宏气体：天风证券、中信建投等7家机构于11月20日调研我司,证券之星
219,2021-11-23,中信建投证券(06066.HK)延长2021年次级债券(第八期)簿记建档时间,格隆汇
220,2021-11-23,中信建投证券(06066)：“21信投 14”票面利率定为3.13%,智通财经
221,2021-11-23,中信建投证券发行永续次级公司债获中证监批复,智通财经
222,2021-11-23,中信建投：公开发行永续次级公司债券获证监会注册批复,Wind
223,2021-11-23,中信建投(601066.SH)向专业投资者公开发行永续次级公司债券获中国证监会注册批复,智通财经
224,2021-11-23,中信建投(601066.SH)：公开发行永续次级公司债券获证监会注册批复,格隆汇
225,2021-11-23,8只北交所主题基金“吸金”逾250亿元,Wind
226,2021-11-23,前三季度债券承销业务专项统计显示 证券业持续发力绿色发展与创新创业,新浪
227,2021-11-22,【银华基金】交易日报 2021-11-22,新浪
228,2021-11-22,新三板重要公告汇总（2021年11月22日）,同壁财经
229,2021-11-22,中信建投证券股权资本市场部待发行项目一览,微信
230,2021-11-22,蜻蜓的智能条件单什么时候能够升级一下？中信建投：预计在明年一季度会上线新版本,每日经济新闻
231,2021-11-22,同享科技接受中信建投等5家机构现场调研和网络调研 共计12问,同壁财经
232,2021-11-22,11月22日深市创业板活跃股公开信息,深交所
233,2021-11-22,中信建投证券：拟发行不超过50亿元债券,Wind
234,2021-11-22,中信建投证券(06066)拟发行不超过50亿元债券,智通财经
235,2021-11-22,中国债券市场金融债发行日程一览(11月22日),Wind
236,2021-11-22,中信建投低碳成长基金11月24日发行,上证报
237,2021-11-22,中信建投公用事业2022年投资策略报告：焚烧及环卫设备令人期待,Wind
238,2021-11-22,谁在疯狂炒作？6天涨186%！拓新药业今日复牌，自曝四大预警,Wind
239,2021-11-22,陆家嘴财经早餐2021年11月22日星期一,Wind
240,2021-11-22,券业总资产突破10万亿，财富管理转型扛起增收大旗,Wind
241,2021-11-21,科技创新试点！中信建投3项目入围,Wind
242,2021-11-21,中信建投碳中和主题基金，11月24日开售！,--
243,2021-11-20,成绩单出炉！中信证券夺得这项券商业务排名第一,中证报
244,2021-11-20,科研试剂：迎接中国品牌崛起,中信建投证券研究
245,2021-11-20,当周金融热点回顾：沪深交易所发布“财务类退市”营收扣除指南；基金参与定增热情度持续升温；多重因素下大宗商品弱势或持续,和讯
246,2021-11-20,北交所开市首周：新股演绎精彩，“老股”估值回归,Wind
247,2021-11-20,天马科技：中信建投证券、长信基金等6家机构于11月19日调研我司,证券之星
248,2021-11-20,瑞丰光电：中信建投、沣京资本等2家机构于11月18日调研我司,证券之星
249,2021-11-19,前三季度42家券商承销发行绿色公司债和绿色ABS近千亿，中信、华泰等6家承销绿色公司债均超50亿元,每日经济新闻
250,2021-11-19,首批16个金融科技试点项目公布，8家券商榜上有名，中信建投两度上榜，嘉实华夏等公募牵头项目最多,财联社
251,2021-11-19,又有券商申请托管资格！今年基金托管牌照尚待零的突破,Wind
252,2021-11-19,券商股异动飙涨 机构：财富管理转型加速 龙头券商优势凸显,第一财经
253,2021-11-19,首批资本市场金融科技创新试点项目公示，15家机构牵头申报,贝壳财经
254,2021-11-19,中信建投高管变更，朱伟出任督察长 董监高成员变化,每日经济新闻
255,2021-11-19,绿田机械：中信建投证券于11月16日调研我司,证券之星
256,2021-11-18,【银华基金】交易日报 2021-11-18,新浪
257,2021-11-18,【花生周报】期现和1-4价差的合理性,CFC农产品研究
258,2021-11-18,【建投专题】苹果：库存不升反降，销区行情带来悬念,CFC农产品研究
259,2021-11-18,【建投新知】元宇宙——人类新一次的文艺复兴,CFC农产品研究
260,2021-11-18,中信建投独家投资，志道生物完成过亿元B+轮融资，深耕蛋白工程领域,志道生物
261,2021-11-18,A股午盘综述：锂矿等高景气赛道依然火热，元宇宙深度回调,Wind
262,2021-11-18,8只北交所主题基金周五开售，基金经理：将长期持有北交所标的,Wind
263,2021-11-18,81家北交所公司今年平均获研报覆盖4次，最高也仅21次，提升覆盖，对专精特新研究定价是新考验,财联社
264,2021-11-18,北交所开辟增量市场，券商展业迎来新机遇,Wind
265,2021-11-17,威灵顿减持中信建投(06066)约46.5万股，每股作价约8.43港元 减持股份,智通财经
266,2021-11-17,8只北交所主题基金周五开售，基金经理：将长期持有北交所标的,第一财经
267,2021-11-17,行业大咖云讲堂丨银行业：估值、股价驱动与复盘,第一财经
268,2021-11-17,2021年度业绩预测：楚天科技、东富龙等个股预增,制药网
269,2021-11-17,又拼了一个季度，券商渠道公募保有普遍滑破，究竟何原因？仅中信建投两连增，是统计口径还是行业困境,财联社
270,2021-11-17,坚定把握财富管理主线，券商板块布局正当时,Wind
271,2021-11-16,北京金融控股集团、大兴区政府、中信建投投资共同参与北交所首家过会企业战略配售,科技日报
272,2021-11-16,【银华基金】交易日报 2021-11-16,新浪
273,2021-11-16,Wellington Management Group LLP11月12日减持46.5万股中信建投证券股份，涉资391.81万港元 减持股份,Wind
274,2021-11-16,中信建投证券(06066.HK)“20信投C2”将于11月24日付息,格隆汇
275,2021-11-16,【权益变动】中信建投证券(06066.HK)被Wellington Management减持46.5001万股 减持股份,财华社
276,2021-11-16,11月调研情况：网安赛道风起，机构最爱“榨菜茅”,Wind
277,2021-11-16,中信建投证券(06066)完成兑付2021年度第十一期短期融资券(债券通) 本息共34.18亿元,智通财经
278,2021-11-16,中信建投证券：2021年度第十一期短期融资券（债券通）完成兑付,Wind
279,2021-11-16,中信建投证券(06066.HK)完成兑付34亿元短期融资券(债券通),格隆汇
280,2021-11-16,中国证券业协会2021年第三季度专业委员会工作动态,中证协发布
281,2021-11-16,中信建投(601066.SH)完成兑付本息共计34.18亿元的短期融资券,智通财经
282,2021-11-16,中信建投证券：2021年度第十一期短期融资券（债券通）兑付完成,Wind
283,2021-11-16,灿勤科技上市首日涨86% 募资10.5亿中信建投赚0.47亿,中国经济网
284,2021-11-16,北京金控、大兴区、建投投资共同参与北交所首家过会企业战略配售,上证报
285,2021-11-16,互联网平台攻势强，银行券商谋守土,Wind
286,2021-11-16,中小投行迎来差异化发展良机,中证报
287,2021-11-15,【银华基金】交易日报 2021-11-15,新浪
288,2021-11-15,国泰君安 | 信用债发行结果日报,国泰君安债券资本市场部
289,2021-11-15,中信建投证券股权资本市场部待发行项目一览,微信
290,2021-11-15,北交所券商“保荐实力”首秀！中信建投领跑，安信、申万宏源紧随，多家券商表态将加大北交所布局,财联社
291,2021-11-15,【中信建投 宏观】2022年投资策略报告：风正好扬帆,文涛宏观债券研究
292,2021-11-15,【建投周报】苹果或正出清利多，红枣新高姗姗来迟,CFC农产品研究
293,2021-11-15,11月15日深市创业板活跃股公开信息,深交所
294,2021-11-15,中信建投董事总经理李旭东：北交所的设立是完善多层次资本市场体系、深化股票发行注册制改革的重大举措,证券时报网
295,2021-11-15,10月中企全球IPO全盘点,Ofweek
296,2021-11-15,刚刚，北交所开市！易会满：坚持错位发展、突出特色,Wind
297,2021-11-15,北交所开市！ 首批81只个股多数飘红 10只新股中5只开盘涨幅超过100%,凤凰网
298,2021-11-15,十大券商看后市：A股跨年行情正逐渐展开，或有脉冲反弹,Wind
299,2021-11-15,亲历者说|中信建投李旭东：北交所要让创新型企业愿意来、留得住,贝壳财经
300,2021-11-15,中信建投：北交所设立催化券商板块行情,Wind
301,2021-11-15,北交所来了！券商全面布局，多家开户率超50%,Wind
302,2021-11-15,航天彩虹无人机股份有限公司 非公开发行A股股票之发行情况报告书暨上市公告书摘要,证券时报
303,2021-11-15,中信建投热烈祝贺北交所成功开市！,第一财经
304,2021-11-15,陆家嘴财经早餐2021年11月15日星期一,Wind
305,2021-11-15,金融机构领军人物共话北交所：担当新使命 开创新未来,证券时报网
306,2021-11-15,各就各位！ 北交所各方市场主体新起点上静待新奔赴,证券日报
307,2021-11-15,北交所首批81家企业保荐比拼 头部券商拿下半壁江山,第一财经
