,2021-12-31,集体崛起，自主车企加速超越「回望2021——自主逆势上扬」,华夏时报
171,2021-12-14,长城汽车放弃收购日产西班牙工厂？官方暂未回应 并购重组异常,财经网
172,2021-12-14,【AH互动】长城汽车(02333)AH股齐跌逾2% H股遭汇丰环球下调目标价9.5% 机构下调估值,和讯
173,2021-12-14,【行情】汽车整车股早盘走低，江淮汽车跌近9%，福田汽车、广汽集团、中集车辆、长安汽车、长城汽车等走低,金十数据
174,2021-12-14,11月吉利稳坐自主冠军宝座 长安紧随其后,网通社
175,2021-12-14,【券商聚焦】汇丰研究削长城汽车(02333)目标价9.5% 指上月销量表现逊于同业 机构下调估值,和讯
176,2021-12-14,汽车股走弱，江淮汽车领跌,Wind
177,2021-12-14,财联社汽车早报【12月14日】,财联社
178,2021-12-14,【银河汽车】2022年度策略丨智驾竞赛火热，自主品牌崛起,中国银河证券研究
179,2021-12-14,智通港股早知道 | (12月14日)中国移动(00941)A股发行获证监会核准，顺丰同城(09699)今日上市,智通财经
180,2021-12-13,长城汽车11月累计收到与收益相关政府补助逾7亿元,上证报
181,2021-12-13,长城汽车：11月份累计收到与收益相关政府补助7.07亿元,发布易
182,2021-12-13,长城汽车(02333)11月累计收到政府补助约7.07亿元,智通财经
183,2021-12-13,长城汽车(02333)A 股可转换债自12月17日起开始转股,智通财经
184,2021-12-13,长城汽车：A股可转换公司债券开始转股,Wind
185,2021-12-13,长城汽车：集团11月累计收到与收益相关政府补助为7.07亿元，占本公司最近,新浪
186,2021-12-13,长城汽车：公司及其子公司获得政府补助共计约7.07亿元,每日经济新闻
187,2021-12-13,长城汽车(601633.SH)累计收到与收益相关政府补助7.07亿元,智通财经
188,2021-12-13,雷迪克：新能源方面公司主要向长城汽车供货,每日经济新闻
189,2021-12-13,汽车行业2022年投资策略：自主崛起，电动智能【国信汽车】,微信
190,2021-12-13,告别三连跌！新能源依旧是“冬天里的一把火”，比亚迪、上汽表现突出,OFweek
191,2021-12-13,新能源e周报丨11月新能源车销量再创新高 国内个股走势平淡 机构研判：“矛盾的变化”将促使电动化趋势加速完成,每日经济新闻
192,2021-12-13,11月车企销量TOP 10:吉利进前三甲，奇瑞再入围,盖世汽车
193,2021-12-13,以这种方式上央视，你还不长点“心”？,ZAKER
194,2021-12-12,多数海外中国地区基金收益为负，重仓茅台的回撤20%,Wind
195,2021-12-12,坦克品牌：绝不容忍经销商加价 / 跳号交付行为,ZAKER
196,2021-12-11,长城欧拉，骗走女人“芯”,AI财经社
197,2021-12-11,吉利再度甩开长城，比亚迪步步紧逼,ZAKER
198,2021-12-11,动力电池行业要迎来“大航海时代”,网易
199,2021-12-10,长城汽车在澳新市场累计销售2.04万辆，同比增长253%,乐居财经
200,2021-12-10,长城汽车(601633.SH)：控股股东解质2500万股,格隆汇
201,2021-12-10,八核芯片变四核，欧拉“正心诚意”道歉，消费者买账吗？,证券日报
202,2021-12-10,创新长城解质长城汽车0.27%股份,乐居财经
203,2021-12-10,长城汽车：1-11月在澳大利亚、新西兰市场销量超2万辆，同比增长253%,36氪
204,2021-12-10,长城汽车(02333)：股东创新长城解除质押2500万股,智通财经
205,2021-12-10,长城汽车：控股股东将2500万股解除质押,Wind
206,2021-12-10,南向资金今日净买入28.88亿港元，美团-W净买入近12亿港元,Wind
207,2021-12-10,大事评丨欧拉，莫让芯片之“谎”伤了“女人心”,每日经济新闻
208,2021-12-10,【异动股】长城汽车(02333.HK)跌3.24%,财华社
209,2021-12-10,双碳目标下，长城汽车为何研发3.0T动力总成？,OFweek
210,2021-12-10,长城汽车回应欧拉芯片事件：系没有将“三智”系统内芯片写全造成误会,中国经营网
211,2021-12-10,欧拉好猫营销“翻车” 车企宣传岂能“蒙眼狂奔”,贝壳财经
212,2021-12-10,港股盘前必读：外汇存款准备金率上调，腾盛博药召开媒体发布会,Wind
213,2021-12-10,跃跃御市：长城、吉利海外布局提速，长安高端规划出炉,中国经济网
214,2021-12-10,丑闻：长城承认修改官网信息,ZAKER
215,2021-12-09,换“芯”无可能，新增两项权益，欧拉“挤牙膏”方案你满意吗,北京商报
216,2021-12-09,长城为欧拉好猫“换芯门”致歉：要求欧拉核实、更正官网内容,时代财经
217,2021-12-09,不存在虚假宣传动机：长城汽车就欧拉好猫“换芯门”致歉，再推补偿方案,21世纪经济报道
218,2021-12-09,被曝偷换芯片涉嫌欺诈！4000亿汽车巨头紧急回应,中国基金报
219,2021-12-09,52股获买入评级 最新:保 龄 宝,中财网
220,2021-12-09,欧拉再推换芯门补偿方案，权益包能安抚车主受伤的心？｜第一财经汽车日评,第一财经
221,2021-12-09,欧拉好猫被曝芯片减配，长城汽车再发解决方案,中新经纬
222,2021-12-09,长城再回应欧拉“芯片事件”：未将芯片信息全部写上引起误解,经济观察报
223,2021-12-09,长城汽车就欧拉好猫“芯片减配”致歉，将补偿受损车主,Bianews
224,2021-12-09,“十四五”农村规划吹风会两大要点：消费更新+粮食安全，五大板块异动！,Wind
225,2021-12-09,欧拉芯片门持续发酵！被指双标,快科技
226,2021-12-09,欧拉汽车道歉，并称补偿用户1万元电费 车主：条件苛刻等于没有,金融界
227,2021-12-09,长城汽车就欧拉好猫“咖啡智能车控系统”宣传内容再发声明,中国网
228,2021-12-09,长城汽车致歉芯片事件 欧拉好猫再推消费者补偿方案,中国经济网
229,2021-12-09,111.8 万辆，长城汽车 1-11 月销量超去年，坦克 300 破万,ZAKER
230,2021-12-09,挑战“宁王” 蜂巢能源2025年规划600GWh产能或为IPO做准备,财联社
231,2021-12-09,长城汽车欧拉好猫等7款车型亮相沙特吉达车展，哈弗大狗海外首发,IT之家
232,2021-12-09,欧拉针对好猫“芯片问题”再发声明,第一电动网
233,2021-12-09,德赛西威：公司智能座舱产品获比亚迪、长城汽车等主流车企新订单,Wind
234,2021-12-09,大华继显：将长城汽车H股评级上调至买进，目标价35港元。,新浪
235,2021-12-09,22股获券商买入评级，江苏神通目标涨幅达91.08%,Wind
236,2021-12-09,新能源巨头：锂电池供给极度紧张！官方数据释放重磅信号,Wind
237,2021-12-09,11月新能源车零售渗透率达20.8%,Wind
238,2021-12-09,动力电池现军备竞赛，蜂巢能源挑战宁德时代,Wind
239,2021-12-08,汽车行业简评报告：11月比亚迪、造车新势力销量齐创新高 经销商补库进行时,新浪
240,2021-12-08,长城汽车2021年1-11月累计销量近112万辆 海外市场成新增长点,证券日报网
241,2021-12-08,欧拉汽车，卖“萌”真能行？,和讯
242,2021-12-08,欧拉好猫“换芯门”投诉量第一，央视点名批评后，厂家回应又被吐槽,ZAKER
243,2021-12-08,南向资金今日净买入24.6亿港元，美团、快手净买入超2亿港元,Wind
244,2021-12-08,23股今日获机构买入评级,证券时报网
245,2021-12-08,8核变4核？“偷换芯”遭央视点名，欧拉汽车道歉却没给处理方案,腾讯网
246,2021-12-08,乘联会：11月新能源乘用车零售销量环比增长19.8%,Wind
247,2021-12-08,嵘泰股份(605133)：新能源业务有望快速放量 规模效应有望提升盈利弹性,新浪
248,2021-12-08,上汽、长城、长安进军印度，是否低估了印度市场的复杂性？,Ofweek
249,2021-12-08,国内一车企被曝“偷换芯片”！,国际电子商情
250,2021-12-08,瑞信：维持长城汽车“跑赢大市”评级，目标价41港元,36氪
251,2021-12-08,长城汽车 | 11月：缺芯缓解产能释放 PHEV上市未来可期【华西汽车 崔琰团队】,汽车琰究
252,2021-12-08,长城汽车(601633)月度销量点评：11月销量环比+9.3% 符合预期,新浪
253,2021-12-08,长城汽车(601633)：11月销量环比+9% 结构持续优化,新浪
254,2021-12-08,华西证券维持长城汽车买入评级：缺芯缓解产能释放PHEV上市未来可期,每日经济新闻
255,2021-12-08,长城汽车 11 月数据：欧拉一个月卖出 16136 辆，同比增长 39.2%,IT之家
256,2021-12-08,瑞信：维持长城汽车(02333)目标价41港元 11月表现疲弱主因哈弗品牌销量跌32% 盈利能力下降,智通财经
257,2021-12-08,长城汽车11月销量同比大降！哈弗H6独自撑起半边天 盈利能力下降,快科技
258,2021-12-08,欧拉好猫身陷“换芯门”遭车主投诉：品牌负责人致歉并表示妥善处理,21世纪经济报道
259,2021-12-08,【异动股】长城汽车(02333.HK)跌3.06%,财华社
260,2021-12-08,电动车占比提升 长城汽车公布11月销量,汽车之家
261,2021-12-08,公告精选 | 微博-SW今日上市，融创中国5.3亿美元出售贝壳股票,富途证券
262,2021-12-08,开源证券维持长城汽车买入评级：11月销量环比+9.32%，坦克500助力品牌高端化,每日经济新闻
263,2021-12-08,港股公告精选：联交所确认科通芯城可进行建议分拆科通技术于A股上市,Wind
264,2021-12-08,同比增长16.3% 长城汽车1-11月销量近112万辆,网通社
265,2021-12-08,港股盘前必读：支农、支小再贷款利率下调，美股连续两日上涨,Wind
266,2021-12-08,港股12月8日早报：长城汽车前11月销量超去年全年 泡泡玛特因虚假宣传被罚,财联社
267,2021-12-08,开源证券：给予长城汽车买入评级,证券之星
268,2021-12-08,彻底火了！欧拉汽车被央视点名曝光,ZAKER
269,2021-12-08,继坦克 500 之后，坦克 300 赛博朋克也因倒卖出名了，“黄牛”过手即挣 3 万,ZAKER
270,2021-12-07,车载芯片打折被指虚拟宣传，欧拉汽车提供“7200元权益包”,观察者网
271,2021-12-07,晚间重要公告2021年12月7日星期二,Wind
272,2021-12-07,长城汽车11月销量同比大降！哈弗暴跌超三成 盈利能力下降,快科技
273,2021-12-07,长汽2333｜11月总销量跌15% 新能源车升42% | 头条金融网 盈利能力下降,头条日报
274,2021-12-07,长城1-11月累计销售112万辆 同比增长16.3%,车质网
275,2021-12-07,【港股通】长城汽车(02333)前11个月累计销量111.86万辆 同比增加16.34%,和讯
276,2021-12-07,长城汽车(02333)前11个月汽车销量111.86万台 同比增长16.34%,智通财经
277,2021-12-07,长城汽车11月销量同比减少15.65%至12.25万辆 盈利能力下降,乐居财经
278,2021-12-07,长城汽车(601633.SH)11月份产量12.45万台 同比下降14.83%,智通财经
279,2021-12-07,长城汽车(601633.SH)：11月销量同比降15.65% 坦克品牌单月销量达10108辆 盈利能力下降,格隆汇
280,2021-12-07,南向资金今日净买入31.65亿港元，批量抄底科技股,Wind
281,2021-12-07,长城汽车：11月汽车销量12.25万辆，同比下降15.65% 盈利能力下降,Wind
282,2021-12-07,5月14日走进长城汽车——新技术专场,盖世汽车社区
283,2021-12-07,欧拉好猫“换芯门”持续发酵 避重就轻的“文字游戏”遭央视点名,凤凰网
284,2021-12-07,自动减速流畅过弯 哈弗神兽实力开启黑科技品类SUV,盖世汽车
285,2021-12-07,股海导航 12月7日沪深股市公告提示,新浪
286,2021-12-07,固态电池大战将至,Wind
287,2021-12-06,公告精选：牧原股份拟向金融机构申请授信额度不超700亿；*ST当代受赠南太武渔港35%股权,e公司
288,2021-12-06,【晚间公告抢先看】牧原股份11月份生猪销售收入67.67亿元、亿纬锂能实控人减持时误买入2万股 终止减持计划,金融界
289,2021-12-06,比亚迪找到了销量密码？,虎嗅网
290,2021-12-06,2021年12月7日涨停板早知道：七大利好有望发酵,新浪
291,2021-12-06,晚间公告｜12月6日这些公告有看头,第一财经
292,2021-12-06,光洋股份(002708.SZ)：收到蜂巢传动定点通知书,格隆汇
293,2021-12-06,浙商证券：汽车行业步入电动智能化时代，看好头部自主车企,智通财经
294,2021-12-06,芯片8核变4核，长城欧拉以三电终身质保换取原谅？车主：将起诉 诉讼纠纷,金融界
295,2021-12-06,【异动股】长城汽车(02333.HK)跌3.32%,财华社
296,2021-12-06,汽车行业第49周周报：新势力11月销量高增长 新能源车延续高景气度,新浪
297,2021-12-06,一汽、上汽、长城、威马宣布参会，第二波嘉宾即将亮相盖世汽车2021第三届汽车智能座舱与用户体验大会,盖世汽车
298,2021-12-06,布局L4自动驾驶 多家厂商压码线控底盘技术,车质网
299,2021-12-06,汽车行业周报：自主品牌销量加速向上,国海证券
300,2021-12-06,扭矩容量750N·m 长城汽车3.0T+9AT动力总成下线,网通社
301,2021-12-05,国产扬眉吐气！配 3.0T+9AT，气场不输陆巡，未上市先火了！,ZAKER
302,2021-12-05,汽车行业周报：11月前三周累计批发环比+15% 看好自主崛起,新浪
