,2021-12-31,无人机送餐，飞越几座大山？,36氪
86,2021-12-20,顺丰控股股份有限公司 2021年11月快递物流业务经营简报,证券日报
87,2021-12-19,11月快递行业数据点评：快递旺季涨价兑现，行业“反内卷”可持续【国信交运中小盘】,微信
88,2021-12-19,顺丰11月速运业务单票收入同比正增长,中证网
89,2021-12-19,全国首个“快递进村”全覆盖的省问世：EMS顺丰京东领衔,快科技
90,2021-12-19,惊现“反向卷”！申通站点回应抛扔快递：建议发顺丰，谁家都扔，不光我家！,新浪
91,2021-12-19,下周操盘攻略：蓝筹节奏生变、史上最贵新股上市,Wind
92,2021-12-19,12月19日晚间上市公司十大重磅公告,搜狐
93,2021-12-19,江苏：邮政 EMS、顺丰、京东已实现“快递进村”省域全覆盖,IT之家
94,2021-12-19,晚间重要公告2021年12月19日星期日,Wind
95,2021-12-19,顺丰控股：11月单票收入同比上涨，经营质量持续边际改善,投资家
96,2021-12-19,顺丰控股：11 月合计收入 258.56 亿元，同比增长 68.19%,IT之家
97,2021-12-19,顺丰公布11月经营业绩：总营收258.56亿元 单票收入同比实现正增长,金融界
98,2021-12-19,申通建议客户发顺丰：不差钱不差事,Bianews
99,2021-12-19,顺丰控股(002352.SZ)11月速运物流业务营业收入为162.45亿元 同比增长15.43%,智通财经
100,2021-12-19,顺丰控股：11月速运物流业务营业收入同比增长15.43%,Wind
101,2021-12-19,顺丰控股：11月披露项目的合计收入同比增长68.19%,e公司
102,2021-12-19,申通站点回应抛扔快递满天飞：建议发顺丰,澎湃新闻
103,2021-12-19,【交运】通达系提价效果明显，单票收入环比大幅上涨——快递行业2021年11月经营数据点评（程新星）,新浪
104,2021-12-18,“流血”上市的顺丰同城，能从美团、京东、阿里口中夺食？,联商网
105,2021-12-17,料明年对外收入占比50% 安迅物流时隔五年IPO再提日程：国美需要一场硬战,每日经济新闻
106,2021-12-17,顺丰航空机队规模增至68架,北京商报
107,2021-12-17,再进宽体机 顺丰航空机队规模增长至68架,民航资源网
108,2021-12-17,超级观点 | 顺丰同城CEO孙海金：做即时配送行业的“基建”，与商流为友,36氪
109,2021-12-17,保价快递损坏被顺丰拒赔，媒体报道后已按保额赔偿,澎湃新闻
110,2021-12-16,顺丰同城港股上市 “逐鹿”万亿赛道,中国经营网
111,2021-12-16,5天4夜，顺丰成功护送一颗卫星至甘肃酒泉！网友：小说素材,奥一网
112,2021-12-16,安迅物流计划IPO：黄光裕亲自带队，定位平台化公司,Wind
113,2021-12-16,双12大件物流成主战场， 日日顺供应链“延伸服务”,中经导报
114,2021-12-16,出台多种服务措施保障用户权益，顺丰丢件问题得到良好解决,钢企网
115,2021-12-16,银河证券：电商快递行业单价呈现拐点信号，头部流量优势增厚业绩,智通财经
116,2021-12-16,达达之后顺丰同城再现上市破发 同城配送何时迎来拐点？,亿邦动力
117,2021-12-16,率先登陆港股 顺丰同城抢占即时配送万亿赛道,第一财经日报
118,2021-12-16,顺丰同城今日正式在港股上市，募资20.31亿港元,腾讯网
119,2021-12-15,2022年交通运输行业投资策略：供需拐点未至 政策驱动的利润修复弹性有多强？,新浪
120,2021-12-15,顺丰出海不“顺风”，收购嘉里迎转机？,36氪
121,2021-12-15,8月以来港股7成破发，“第三方即时配送第一股”也破发,Wind
122,2021-12-15,开盘即破发 顺丰同城还要亏多久？ 亏损,羊城晚报
123,2021-12-15,快递“隐私面单”普及率为何不升反降？仅仅因为影响配送效率吗？,36氪
124,2021-12-15,顺丰同城上市，即时配送赛道的“抢夺”与“变数”？,36氪
125,2021-12-15,顺丰同城上市 王卫都说了什么？,亿邦动力
126,2021-12-15,顺丰的同城“堡垒”,联商网
127,2021-12-15,8月以来港股破发率超7成 “第三方即时配送第一股”也破发,证券时报
128,2021-12-15,头部私募定增热情高，部分机构八折买股仍被套,Wind
129,2021-12-15,顺丰同城上市首日破发跌幅一度超10％ 近三年亏损近16亿元 亏损,腾讯网
130,2021-12-14,走下神坛的“股市男神”们：“摔跤”各有姿势，“犯错”各个不同,华尔街见闻
131,2021-12-14,顺丰系第四个上市公司：顺丰同城上市，“跑腿”业务尚未止亏,华夏时报
132,2021-12-14,王卫拿下第四个IPO，这次是个越赔越多的生意,21商评网
133,2021-12-14,旗下第4家上市公司首日破发， 王卫如何成为IPO收割机,新浪
134,2021-12-14,2022年快递行业展望：变革之年 成长可期,新浪
135,2021-12-14,顺丰同城上市首日破发，王卫：我会与团队一起努力发展新模式,澎湃新闻
136,2021-12-14,王卫的第四个IPO，顺丰同城三年半亏了19亿 亏损,新浪
137,2021-12-14,三年亏15亿，上市即破发，“顺丰第四个IPO”难在哪儿？ 亏损,新浪
138,2021-12-14,顺丰同城上市首日破发，何时能摆脱亏损？ 亏损,腾讯网
139,2021-12-14,顺丰同城赴港上市首日破发，即时配送是一门好生意吗？,金融界
140,2021-12-14,业务量与人力成本成“掣肘” 顺丰同城上市首日破发,21世纪经济报道
141,2021-12-14,顺丰同城登陆港股，回应四大疑问！王卫提出市占比和市值要求,南都报
142,2021-12-14,顺丰第四家公司上市！王卫现身揭秘，为何要与阿里淘宝合作,奥一网
143,2021-12-14,中信资本成员企业顺丰同城登陆港交所,上证报
144,2021-12-14,顺丰同城(09699)今日挂牌港交所 增长率远超行业平均,智通财经
145,2021-12-14,顺丰同城上市首日破发，跑腿生意3年亏15亿，王卫图什么？ 亏损,36氪
146,2021-12-14,赛道拥挤、依赖头部客户，“流血”上市的顺丰同城如何摆脱亏损？ 亏损,新京报
147,2021-12-14,顺丰同城成功登陆港交所,经济日报
148,2021-12-14,南财研选丨冷链物流股再度走高，受益于政策催化+市场空间+消费需求，行业景气度有望持续提升,21世纪经济报道
149,2021-12-14,上市首日破发！寡头垄断格局下，顺丰同城如何在夹缝中生存？,证券之星
150,2021-12-14,顺丰同城上市,搜狐
151,2021-12-14,顺丰同城登陆港股背后：那些陪伴公司成长的敲锣人,凤凰网
152,2021-12-14,打新的懵了！又有巨头开盘破发，大跌10%,Wind
153,2021-12-14,2个20cm涨停，元宇宙妖股火了！王卫旗下公司1秒破发，打新又被坑,网易
154,2021-12-14,1秒破发，王卫第4家上市公司大跌9%，财富已缩水470亿,搜狐
155,2021-12-14,独立第三方即时配送第一股！顺丰同城市值140亿港元 王卫：分钟级配送是物流行业大趋势,每日经济新闻
156,2021-12-14,仓储物流板块再度活跃，三羊马斩获11板，龙洲股份连续两日涨停,证券时报网
157,2021-12-14,顺丰同城即将上市，三年半亏损19亿 亏损,联商网
158,2021-12-14,受益本地生活崛起红利，高成长的顺丰同城未来可期,财华社
159,2021-12-14,A股早报2021年12月14日星期二,Wind
160,2021-12-14,上市公司正负面新闻2021年12月14日星期二,Wind
161,2021-12-13,消费控 | 环保快递今年上市 你收到的快递纸箱可变置物架吗？,上游新闻
162,2021-12-13,带着亏损，顺丰同城明天上市！谁在提前认购？ 亏损,国际金融报
163,2021-12-13,晚间重要公告2021年12月13日星期一,Wind
164,2021-12-13,亏损上市，背靠顺丰的顺丰同城能否“顺风”？ 亏损,36氪
165,2021-12-13,顺丰控股(002352.SZ)：顺丰同城于明日在香港联交所主板上市,格隆汇
166,2021-12-13,顺丰控股：控股子公司12月14日在香港联交所主板上市交易,e公司
167,2021-12-13,顺丰控股：控股子公司12月14日在香港联交所主板上市交易,Wind
168,2021-12-13,王卫将收获第四家上市公司，顺丰同城暗盘破发,Bianews
169,2021-12-13,发行价16.42港元，顺丰同城明日抵港,凤凰网
170,2021-12-13,顺丰同城实业暗盘跌超6%破发 顺丰持股36.8%淘宝持股超5%,新浪
171,2021-12-13,骑手肇事逃逸顺丰被判连带赔偿,新京报
172,2021-12-13,三重挑战：顺丰同城不“顺风”？,亿邦动力
173,2021-12-13,冷链不“冷”！“十四五”规划发布，冷链物流将成新赛道,证券之星
174,2021-12-13,用户称保价物损坏被拒赔，顺丰：签免赔协议且包装完好,澎湃新闻
175,2021-12-13,冷链物流有望成为A股新赛道！国办发话，打造国际竞争力龙头,Wind
176,2021-12-13,上海消保委亲测快递保价费：不同公司最高相差24倍,中国消费者报
177,2021-12-13,【银河交通王靖添】行业周报丨中国物流集团正式成立，全面看好综合物流赛道长期投资价值,中国银河证券研究
178,2021-12-12,IPO项目业绩频变脸国元证券被质疑，业内争议“看门人”边界 盈利能力下降,Wind
179,2021-12-11,王卫，从拒绝上市到成为IPO收割机,猎云网
180,2021-12-10,顺丰控股：刘冀鲁大宗交易减持772万股，每股均价63.41元 减持股份,Wind
181,2021-12-10,顺丰控股(002352.SZ)监事刘冀鲁减持股数过半 累计减持772万股 减持股份,智通财经
182,2021-12-10,国海交运·许可 | 2022年交运投资策略：苦尽甘来，静待花开,许可交运参考
183,2021-12-10,顺丰同城：即时配送没有最优解,新浪
184,2021-12-10,成立5年的顺丰同城也要赴港IPO了,搜狐
185,2021-12-10,让公益形成正循环，顺丰公益基金会莲花助学发起“反哺计划”,钢企网
186,2021-12-09,2021年红杉资本调研114家上市公司，元宇宙概念崛起歌尔一路飙升,金融界
187,2021-12-09,科捷智能：业绩大增全靠顺丰（002352.SZ）,智通财经
188,2021-12-09,"顺丰控股现1笔大宗交易 共成交8,874.90万元",新浪
189,2021-12-09,A股再融资月报：11月合计募资2256亿，4家公司再融资规模超百亿，中环股份降价开启硅片价格战？,每日经济新闻
190,2021-12-09,一上市业绩就下滑，股价最多跌去六成！这家投行保荐的新股怎么频频出问题？,Wind
191,2021-12-09,顺丰将绿色低碳贯穿快件全流程,砍柴网
192,2021-12-09,又有外资巨头出手“抄底”，这次竟然是TA！,Wind
193,2021-12-09,保优还是荐劣？国元证券IPO项目频频“卸妆”,Wind
194,2021-12-09,我国快递业迈入千亿件时代，近一轮价格战趋向缓和,Wind
195,2021-12-09,监管反“内卷”，极兔挥别价格战？,Wind
196,2021-12-08,国家邮政局要求反“内卷” 极兔将挥别价格战？,21世纪经济报道
197,2021-12-08,国内快递业务量首破千亿，7年激增近900%,Wind
198,2021-12-08,里程碑！国内快递业务量首破千亿，7年激增近900%！可快递公司增收不增利…业内：快递价格有望明年趋稳,证券时报
199,2021-12-08,极兔再获融资，菜鸟、京东物流还好吗？,和讯
200,2021-12-08,思必驰会话精灵携手顺丰，为客户服务赋能升级,Ofweek
201,2021-12-07,龙头企业经营策略转向 电商快递迎来发展拐点,36氪
202,2021-12-07,极兔收购百世加速网络融合，中国快递行业将拐向何方？,36氪
203,2021-12-07,2021年11月交通运输行业动态报告：“客改货”政策调整利好跨境物流 新格局下快递龙头迎来价值重估,新浪
204,2021-12-07,联商头条：沃尔玛连关4店 BOY LONDON关网店,联商网
205,2021-12-07,顺丰王卫：“价格战不符合长远利益，未来重点要挤水分”,21世纪经济报道
206,2021-12-07,"顺丰控股现1笔大宗交易 共成交8,910.00万元",新浪
207,2021-12-07,顺丰控股今日大宗交易成交135万股，成交价66.0元溢价4.93%,Wind
208,2021-12-07,交运行业年度策略报告：关注物流高质量发展 珍惜航空左侧机遇,新浪
209,2021-12-07,顺丰集团副总裁潘葛履新中保斯通集团CEO 智运快线加速发展 · 中国道路运输网（专业道路运输门户）,道路运输网
210,2021-12-07,顺丰新型快递箱“π-box”在杭州投入使用,Bianews
211,2021-12-07,顺丰、极兔加强资源整合 圆通打造“直营制”,北京商报
212,2021-12-07,交运行业月报：快递行业开启品质优先的竞争阶段,新浪
213,2021-12-07,顺丰同城正式登陆港交所，市值超140亿港元，王卫收获第4个IPO,36氪
214,2021-12-07,证券行业周报：优化证券公司账户管理 打造以客户为中心体系,新浪
215,2021-12-06,首日认购超30亿元，有渠道预售“半日售罄”！,Wind
216,2021-12-06,北向资金连续4日净买入累计加仓超150亿，大幅抢筹券商、银行股,Wind
217,2021-12-06,混合云数据助力企业数字化转型,经济日报
218,2021-12-06,商贸零售周报：邮政局召开座谈会 定调快递行业发展格局,新浪
219,2021-12-06,【银河交通王靖添】行业周报丨“客改货”政策调整叠加奥密克戎影响，国际航空货运价格再创新高,中国银河证券研究
220,2021-12-06,锂电突发！两大超级巨头遭空袭，220亿黑马突被立案调查,Wind
221,2021-12-05,发生了什么？海外最大中国股票基金大举减持宁德时代！,Wind
222,2021-12-05,发生了什么？海外最大中国股票基金放大招：大举减持宁德时代！ 减持股份,中国基金报
223,2021-12-05,快递监管要求反内卷，积极布局行业拐点【安信交运|周报1205】,微信
224,2021-12-05,顺丰今日头条盘点|2021-12-05,亿邦动力
225,2021-12-05,即时配送的升级之战，顺丰同城锚定行业,阿尔法工场
226,2021-12-05,2021中国上市公司软实力巡礼：顺丰控股价值81.53亿元 排序第62名,搜狐
227,2021-12-05,交通运输行业周报：国内疫情仍有反复 国外防输入压力持续加大,光大证券
228,2021-12-05,申万宏源交运一周天地汇：航运产业链利润向港口转移开始兑现期 推荐关注上港集团、招商港口等,新浪
229,2021-12-05,3年亏15亿的顺丰同城上市，挑战美团饿了么，即时配送生死竞速 亏损,AI财经社
230,2021-12-04,交通运输行业　珍惜快递变局　博弈流量复苏,财富动力网
231,2021-12-03,未来商业-物流产业市值榜｜11月顺丰重回3000亿市值大关，安能物流市值跌破百亿,每日经济新闻
232,2021-12-03,顺丰拿快递柜做“闲鱼”！买电磁炉却收大葱，退货双倍运费…商业变现又bug,北京商报
233,2021-12-03,顺丰控股监事刘冀鲁减持1.18%公司股份，减持时间过半,乐居财经
234,2021-12-03,顺丰同城即将上市！第三方价值主张获顺丰阿里加持,财华社
235,2021-12-02,顺丰同城（9699.HK）：中国最大的第三方即时配送平台，能否成为港股小顺丰？,YY港股圈
236,2021-12-02,顺丰控股：监事刘冀鲁大宗交易减持327万股，每股均价60元 减持股份,Wind
237,2021-12-02,港股年底打新大戏，顺丰同城招股次日便获超额认购,凤凰网
238,2021-12-02,北向资金今日净买入30.21亿元，宁德时代连续6日净买入累计加仓超24亿,Wind
239,2021-12-02,顺丰公益基金会莲花助学反哺计划，为受助学子注入正能量,钢企网
240,2021-12-02,【独家】在公益与变现间摇摆 丰巢想做二手闲置业务，结果自己被闲置,北京商报
241,2021-12-02,干货！2022年中国医药物流行业龙头企业分析——顺丰控股：加快智慧物流建设,证券之星
242,2021-12-02,互联网巨头都“爱”快递？,亿邦动力
243,2021-12-01,“苏神”忙了！上市公司代言邀约不断，集齐小米、顺丰、招行、七匹狼…更有投资者喊话“求签约”,证券时报
244,2021-12-01,顺丰控股(002352.SZ)监事刘冀鲁减持327万股 减持时间已过半 减持股份,智通财经
245,2021-12-01,资本面前无敌手！顺丰同城上市，淘宝投资…这7亿巨亏领域，非抢不可？ 重大损失,北京商报
246,2021-12-01,招股进行中！一文读懂顺丰同城(9699.HK)的性价比如何？,格隆汇
247,2021-12-01,11月顺丰市值重回3000亿大关 物流“四超”总市值达6806亿元,每日经济新闻
248,2021-12-01,快递业贴上“安全畅通环保”标签,搜狐
249,2021-12-01,业绩分化明显 快递业进入竞争新赛道 盈利能力下降,中投网
250,2021-12-01,字节跳动，投了一位前阿里女员工,投资界
251,2021-11-30,顺丰控股：子公司泰森控股公开发行短期公司债获证监会同意注册批复,财联社
252,2021-11-30,顺丰控股(002352.SZ)子公司向专业投资者公开发行短期公司债券获中国证监会同意,智通财经
253,2021-11-30,顺丰同城狂奔上市，王卫能否力挽狂澜？,36氪
254,2021-11-30,极兔再获融资，菜鸟、京东物流还好吗？,36氪
255,2021-11-30,在盈利未知数前，顺丰同城值得打新吗？,36氪
256,2021-11-30,“茅泸”重回视野！券商12月“金股”来了,Wind
257,2021-11-30,顺丰参股成立供应链科技公司，注册资本5000万元,乐居财经
258,2021-11-30,极兔提前引爆快递决战,Ofweek
259,2021-11-30,顺丰阿里双加持 顺丰同城能否提振市场信心,凤凰网
260,2021-11-30,深圳世界500强企业即将迎来新成员，明年有望新增3家,21世纪经济报道
261,2021-11-30,阿里为基石投资者，顺丰同城有哪些地方值得看好？,凤凰网
262,2021-11-30,顺丰同城上市定档！阿里、哈啰为基石投资者，不占据董事席位,奥一网
263,2021-11-30,民航业努力渡难关,经济日报
264,2021-11-29,投融资周报 | 腾讯、字节参投摩尔线程 阿里投资潮流平台KNOWIN,观察者网
265,2021-11-29,技术赋能降本增效，顺丰同城高成长性彰显价值,财华社
266,2021-11-29,交通运输行业周报：南非新冠变种病毒来袭 关注低估值高确定性优质公司,新浪
267,2021-11-29,莫德纳：针对变异毒株Omicron的疫苗或在2022年初可供使用；特斯拉撤回德国电池工厂建厂补贴申请；法拉第未来拉响退市警告 退市,每经头条
268,2021-11-29,顺丰系再扩版图王卫年收三家上市公司 顺丰同城三年半累亏19亿难过用人成本关 亏损,新浪
269,2021-11-29,交运&中小盘12月投资策略：看好快递四季度表现 聚焦中小市值高成长,新浪
270,2021-11-29,布局新增长点，年内超40家公司发布分拆上市计划,Wind
271,2021-11-28,快递主产粮区价格稳定，疫情不改航空复苏预期【安信交运丨周报1128】,微信
272,2021-11-27,阿里巴巴基石投资顺丰同城，认购8.52亿港元持股5.55%,猎云网
273,2021-11-27,传极兔再获25亿美元融资，估值达200亿美元，还正备战IPO，何时盈利却是未知数,创业资本汇
274,2021-11-27,比亚迪、顺丰旗下科技公司引入战略投资者,上证报
275,2021-11-26,晚间要闻2021年11月26日星期五,Wind
276,2021-11-26,商业故事丨京东物流大冒险,21世纪经济报道
277,2021-11-26,腾讯入股顺丰旗下无人机公司,北京商报网
278,2021-11-26,顺丰控股：控股子公司H股上市申请获联交所原则上同意,36氪
279,2021-11-26,顺丰控股(002352.SZ)：同城实业H股IPO申请获香港联交所同意,智通财经
280,2021-11-26,顺丰控股：子公司同城实业H股上市获港交所原则同意,Wind
281,2021-11-26,顺丰控股：香港联交所原则上同意同城实业递交的上市申请,财联社
282,2021-11-26,顺丰无人机公司获A轮数亿元融资，腾讯、华润、碧桂园等入股,奥一网
283,2021-11-26,顺丰无人机公司完成数亿元A轮融资，腾讯、中粮携手联投,阿尔法工场
284,2021-11-26,腾讯、华润、中粮、碧桂园联袂给它“加油”！顺丰无人机抢滩万亿级市场,上证报
285,2021-11-26,顺丰同城“蒙眼狂奔”,Ofweek
286,2021-11-26,碧桂园创投参投无人机公司“丰翼科技”A轮融资,搜狐
287,2021-11-26,顺丰旗下丰翼科技获得数亿元A轮融资,中国网
288,2021-11-25,快递行业的故事，正被一只来自东南亚的“兔子”改写,ZAKER
289,2021-11-25,走出国门的顺丰：国际化起步晚差距大，只是产品不是战略,财经无忌
290,2021-11-25,是什么撑起了极兔快递近200亿美元的估值？,36氪
291,2021-11-25,玉湖携手顺丰打造智慧冷链物流,中经导报
292,2021-11-25,募资超7000亿！A股迎定增大年，热门赛道引隐忧？,Wind
293,2021-11-25,"定增募资已超7000亿！A股又迎定增大年，百亿案例频现，热门赛道引""内卷""隐忧？",证券时报
294,2021-11-25,腾讯入股无人机研发公司丰翼科技 后者股东包括顺丰,Bianews
295,2021-11-25,广东区域股市周报：板块总市值涨318亿 金银河涨53.38%涨幅第一,每日经济新闻
296,2021-11-25,顺丰科技 x StarRocks：双十一实时运单分析实践,凤凰网
297,2021-11-25,派件速度不断提升，顺丰慢问题得到解决,钢企网
298,2021-11-24,华夏、财通、诺德、玄元等又联手参与定增！这次看好东尼电子，财通今年74次出手不负“定增王”名号,财联社
299,2021-11-24,交运物流行业周报：快递行业景气向上,新浪
300,2021-11-24,双11快递“静悄悄” 签收率、利益与市场的三重博弈,TechWeb
301,2021-11-24,10月通达系快递单票收入环比看涨 快递公司价格战或进一步缓和,新快报
302,2021-11-23,顺丰控股：控股股东完成发行80亿元非公开债券 利率0.01%,观点地产网
303,2021-11-23,19点聊电商：CEO自习室：雪梨林珊珊发致歉信回应漏税 顺丰同城招商,亿邦动力
304,2021-11-23,外资周报第104期：人民币韧性凸显 配置盘加速入场,新浪
305,2021-11-23,顺丰控股今日大宗交易成交135万股，成交价60.0元折价8.54%,Wind
306,2021-11-23,"顺丰控股现1笔大宗交易 共成交8,100.00万元",新浪
307,2021-11-23,退换货“江湖”起风：抱上电商大腿，顺丰、百度为何打出0元牌,贝壳财经
308,2021-11-23,顺丰同城VS达达，即时配送市场该怎样“内卷”？,36氪
309,2021-11-23,快递10月数据点评：通达系单价环比继续改善 价格战压力缓解,新浪
