,2021-12-31,中微公司(688012.SH)获得政府补助7337.32万元,智通财经
165,2021-10-25,电子行业周报：鸿蒙生态蓬勃发展 IOT产业加速,新浪
166,2021-10-24,机械设备行业跟踪周报：持续看好高景气度的光伏半导体设备 建议关注双控影响下景气延续的机床刀具行业,新浪
167,2021-10-22,中微公司(688012.SH)：减持期届满 悦橙投资等股东合计减持2.33%股份 减持股份,格隆汇
168,2021-10-22,中微公司(688012.SH)数名股东合计减持1438.24万股 减持时间届满 减持股份,智通财经
169,2021-10-22,中微公司：嘉兴悦橙投资合伙企业（有限合伙）、嘉兴创橙投资合伙企业（有限合伙）、嘉兴亮橙投资合伙企业（有限合伙）、嘉兴橙色海岸投资合伙企业（有限合伙）减持计划实施完毕，共减持公司股份约1438万股,每日经济新闻
170,2021-10-22,中微公司：悦橙投资及一致行动人累计减持2.33%股份，减持计划届满 拟减持股份,Wind
171,2021-10-22,中微公司临港总部和研发基地项目开工,e公司
172,2021-10-22,中微临港总部和研发基地项目开工,财联社
173,2021-10-22,中微公司：公司上半年新签订单金额达18.89亿元，同比增超70%,Wind
174,2021-10-22,中微公司：公司持有“山东天岳”383.1万股，未出现退股情况,Wind
175,2021-10-22,中微公司：公司目前没有光伏HJT生产设备,Wind
176,2021-10-22,中微公司：公司MOCVD设备签约进展正常进行中，目前在手订单饱满,每日经济新闻
177,2021-10-22,中微公司：公司计划扩展在泛半导体领域设备的应用，布局显示、MEMS、功率器件、太阳能领域的关键设备,每日经济新闻
178,2021-10-22,中微公司：公司目前没有光伏HJT生产设备,每日经济新闻
179,2021-10-22,中微公司：公司主要为集成电路、LED外延片、功率器件、MEMS等半导体产品的制造企业提供刻蚀设备、MOCVD设备及其他设备,每日经济新闻
180,2021-10-22,A股午盘综述：半导体产业链、地产、家电复苏，煤炭、钢铁板块调整,Wind
181,2021-10-22,国科微前三季净利大增119倍，机构建议四主线关注半导体板块投资机会,第一财经
182,2021-10-22,"中微公司：公司持有山东天岳先进科技股份有限公司3,831,006股，没有出现退股情况",每日经济新闻
183,2021-10-22,中微公司：在3D NAND芯片制造环节，公司的电容性等离子体刻蚀设备可应用于64层和128层的量产，同时公司根据存储器厂商的需求正在开发新一代能够涵盖128层及以上关键刻蚀应用以及相对应的极高深宽比的刻蚀设备和工艺,每日经济新闻
184,2021-10-22,中微公司：在薄膜设备领域，公司目前已经组建团队在开发LPCVD设备和EPI设备，研发进展按计划进行中,每日经济新闻
185,2021-10-22,中微公司：公司2021年上半年新签订单金额达18.89亿元，同比增长超过70%，其中刻蚀设备订单占相当比例,每日经济新闻
186,2021-10-21,A股资金流向（10月21日）：新能源板块显露疲态，资金避高就低流入大金融龙头,Wind
187,2021-10-20,深度*行业*机械设备行业周报：风光大基地一期约100GW有序开工 建议相关光伏、风电、锂电设备板块,新浪
188,2021-10-19,深度*行业*半导体行业周报：三季报业绩普遍高增长 台积电表示产能紧张延续至2022全年,新浪
189,2021-10-19,电子行业周报：台积电2021Q3业绩解读及2021Q4展望,国海证券
190,2021-10-19,大基金有新动作！二期布局有何玄机？,Wind
191,2021-10-19,A股成交重回万亿！基金经理：科技成长仍是确定主线,Wind
192,2021-10-19,精选行业个股，基金调研高景气赛道,Wind
193,2021-10-18,电子行业深度报告：MINILED放量在即 产业链空间广阔,新浪
194,2021-10-18,国家大基金投资“平衡术”：减持两只半导体龙头套现约12亿，二期对外投资近300亿元 减持股份,21世纪经济报道
195,2021-10-18,深度*行业*机械设备行业周报：能源短缺背景下绿电前景广阔 能源结构转型利好锂电、光伏设备,新浪
196,2021-10-18,从盛美股份登陆科创板，看盛美半导体（ACMR.US）真实价值,智通财经
197,2021-10-18,科技硬件周报：半导体景气周期延续,新浪
198,2021-10-18,电子行业周报：关注折叠屏创新、荣耀崛起以及苹果MINILED新品发布,新浪
199,2021-10-17,机械行业周报：第一期风光大基地已开工 持续推荐光伏风电设备,新浪
200,2021-10-17,机械设备行业跟踪周报：持续看好高景气度的光伏设备行业 国产机床龙头业绩持续超预期 建议重点关注,新浪
201,2021-10-17,【数说长三角】科创板长三角企业研发投入哪家强？,上观
202,2021-10-15,电子行业2021年四季度投资策略：消费电子环比改善 布局低估值龙头半导体持续关注国产替代,新浪
203,2021-10-15,A股资金流向（10月15日）：“锂光芯”全线上扬，医疗龙头闪崩频现,Wind
204,2021-10-14,市场被荷兰/美国/日本占据，国产半导体设备厂商有机会吗？,Ofweek
205,2021-10-14,A股资金流向（10月14日）：主线之争！新能源KO消费暂时领先,Wind
206,2021-10-13,A股资金流向（10月13日）：“茅宁”归来，消费、新能源板块携手回暖,Wind
207,2021-10-13,2只科创板股获北向资金减持超千万元 减持股份,证券时报
208,2021-10-12,A股资金流向（10月12日）：市场热点匮乏，资源股再成杀跌主力,Wind
209,2021-10-12,电子行业周报：对当前半导体板块投资机会的深度思考,国海证券
210,2021-10-12,148家公司获机构调研（附名单）,证券之星
211,2021-10-11,电子元器件周报：芯片大厂开启新一轮涨价潮 半导体景气度有望延续,新浪
212,2021-10-11,A股资金流向（10月11日）：资金延续避高就低态势，大金融板块获青睐,Wind
213,2021-10-11,6家公司获超百家机构调研，机构热捧这一细分领域,Wind
214,2021-10-11,电子行业周报：台股营收透露曙光、先蹲后跳静待佳音,新浪
215,2021-10-11,前三季度机构调研热情高涨，迈瑞医疗被“翻牌”最多,Wind
216,2021-10-10,6家公司获超百家机构调研，机构扎堆关注半导体设备（名单）,Wind
217,2021-10-10,6家公司获超百家机构调研，机构扎堆关注半导体设备（名单）,21世纪经济报道
218,2021-10-10,最神秘华尔街大鳄出手，疯狂调研A股公司！,Wind
219,2021-10-09,电子行业周报：关注美国货币政策影响,新浪
220,2021-10-08,A股资金流向（10月8日）：资金高低切换，大幅抢筹保险、大消费板块,Wind
221,2021-10-08,中微公司拟5000万元参与投资基金 布局半导体及电子产业链,搜狐
222,2021-10-08,机构潜在猎物曝光，最青睐芯片，顶级基金盯上3股,Wind
223,2021-10-06,这些公司被券商密集调研，未来三大方向值得关注,Wind
224,2021-10-06,规模同比增长213%，公募掀起定增潮,Wind
225,2021-10-03,9月被调研的735家上市公司41家涨幅超过20％ 7家涨幅超50％,金融界
226,2021-10-03,近两周机构调研数据出炉 4家公司获超100家机构扎堆调研（附名单）,财联社
227,2021-10-03,重回年初起点，科创板2021年前三季度榜单全面揭晓,Wind
228,2021-10-02,三季度机构调研名单出炉，772家机构扎堆调研这家公司,Wind
229,2021-10-02,772家机构扎堆调研这家公司！三季度机构调研名单出炉，“抄作业”机会来了？,中证报
230,2021-10-02,半导体持股体验太差？有机构表示：下跌就是机会，加强对半导体产业的调研,财联社
231,2021-10-01,9月30日机构调研这6家公司，中微公司获得227家机构关注,每日经济新闻
232,2021-10-01,维持高位，前三季度股权承销排行榜发布,Wind
233,2021-10-01,重回年初起点，科创板前三季度榜单全面揭晓！,Wind
234,2021-09-30,电子行业重大事项点评：限电限产政策对电子行业当前影响简析,新浪
235,2021-09-30,A股资金流向（9月30日）：市场温和缩量，“茅宁”组合成持股者首选,Wind
236,2021-09-30,中微公司(688012.SH)拟出资5000万元参投华芯卓越创业基金,智通财经
237,2021-09-30,中微公司：拟5000万元参与投资产业基金,e公司
238,2021-09-30,中微公司(688012.SH)：拟出资5000万元参投华芯卓越创业投资中心,格隆汇
239,2021-09-30,中微公司：参与对外投资基金 方向为半导体及电子产业链相关企业,财联社
240,2021-09-30,中微公司接受100家机构调研！短期主力资金净流入，市场资金或早已察觉,每日经济新闻
241,2021-09-30,中微半导体设备（上海）股份有限公司 2021年第三季度报告,证券日报
242,2021-09-29,21深度丨拆解中微半导科创板IPO：进军大家电和车规级芯片技术成色如何？最大客户也是供应商有何隐情？,21世纪经济报道
243,2021-09-29,20股获买入评级 最新:浙江医药,中财网
244,2021-09-29,A股资金流向（9月29日）：节前资金避险欲望强烈，银行股获青睐,Wind
245,2021-09-29,中微公司(688012)：国产替代机遇打造刻蚀设备平台型龙头,光大证券
246,2021-09-29,光大证券：维持中微公司(688012.SH)“买入”评级 刻蚀设备和MOCVD设备 受益国产替代加速,智通财经
247,2021-09-28,A股资金流向（9月28日）：绿电龙头重回“C位”,Wind
248,2021-09-27,电子行业每周市场动态追踪：半导体产业自立是长期必然趋势,新浪
249,2021-09-27,A股资金流向（9月27日）：冰火洗礼！白酒暴涨对冲周期股批量跌停,Wind
250,2021-09-27,电子周观点：创维发布Q72电视 MINILED商用进一步加速,新浪
251,2021-09-27,【机械*周尔双】紧供给持续+国产替代提速，国内头部设备商将显著受益,东吴研究所
252,2021-09-26,电子行业周报：杂音频传、信心受挫；先蹲后跳、静待佳音,新浪
253,2021-09-24,A股资金流向（9月24日）：资金连续三日大幅出逃资源股,Wind
254,2021-09-24,半导体设备行业点评：紧供给持续+国产替代提速 国内头部设备商将显着受益,新浪
255,2021-09-24,A股万亿常态成交，三季度以来逾千家公司获机构调研,Wind
256,2021-09-23,半导体：高景气及国产化下半导体设备投资机会框架,新浪
257,2021-09-23,深度*行业*机械设备行业周报：宁德时代、蜂巢能源公布新扩产计划 推荐锂电设备板块,新浪
258,2021-09-23,深度*行业*半导体行业周报：全球晶圆厂设备支出预期持续增长 国产先进封装光刻机迎来新进展,新浪
259,2021-09-23,A股资金流向（9月23日）：电力、资源股出现强分歧,Wind
260,2021-09-23,热门公司调研机构云集，34家看涨逾100%,Wind
261,2021-09-23,芯片“光刻机第一股”华卓精科成功过会：上半年亏损1874万，严重依赖补助金“输血” 亏损,钛媒体
262,2021-09-22,电子元器件周报：IPHONE13正式发布 行业景气度有望延续,新浪
263,2021-09-18,中观行业数据观察：国家大基金一期良性退出 二期继续布局半导体产业 芯片依然短缺致汽车产销四连跌 盈利能力下降,新浪
264,2021-09-17,电子行业深度报告：MINILED商业化开启 相关产业链迎来机遇,新浪
265,2021-09-17,新纳入富时罗素相关指数个股尾盘异动，生效日效应提前了？,Wind
266,2021-09-16,中微公司(688012.SH)：累计获得政府补助1.51亿元,格隆汇
267,2021-09-16,中微公司：公司获得政府补助共约1.51亿元,每日经济新闻
268,2021-09-16,A股资金流向（9月16日）：战神“锂布”马失前蹄，新能源产业链集体遭抛售,Wind
269,2021-09-16,中微公司参股成立创业投资合伙企业 注册资本1亿元,财联社
270,2021-09-16,创耀科技IPO：研发费用率逐年下降 财务数据多处打架 欺诈造假,电鳗快报
271,2021-09-15,电子：半导体大厂安森美再次涨价 印证行业高景气,新浪
272,2021-09-15,半导体行业事件点评：长存64层出货量超3亿颗 128寸QLC即将量产,新浪
273,2021-09-14,A股资金流向（9月14日）：资金出逃高位资源股，锂电滞涨分支挖掘补涨,Wind
274,2021-09-13,A股资金流向（9月13日）：资源股涨势进一步扩散，资金撤离赛道股,Wind
275,2021-09-13,中微公司投资志橙半导体，后者经营范围含太阳能产品研发等,TechWeb
276,2021-09-11,芯片股大反弹，谢治宇、章晖等顶流基金经理出手！,Wind
277,2021-09-10,A股资金流向（9月10日）：金融、消费成为中流砥柱，资金回流半导体行业,Wind
278,2021-09-10,台积电设备采购要求降价15%？中微公司：未收到相关信息,C114通信网
279,2021-09-10,中微公司：未收到被台积电要求降价相关信息,Wind
280,2021-09-10,中微公司：公司未收到被台积电要求降价相关信息,e公司
281,2021-09-10,中微公司：公司目前已经组建团队在开发LPCVD设备和EPI设备，研发进展按计划进行中,每日经济新闻
282,2021-09-10,"中微公司：公司持有拓荆科技1,062.2547万股",每日经济新闻
283,2021-09-10,中微公司：公司今年上半年完成了对睿励仪器的增资，进一步巩固产业链协同效应，完善公司业务布局,每日经济新闻
284,2021-09-10,"中微公司：公司持有山东天岳先进科技股份有限公司3,831,006股",每日经济新闻
285,2021-09-10,中微公司：公司持有拓荆科技1062万股股份,Wind
286,2021-09-10,中微公司：公司持有山东天岳先进383万股股份,Wind
287,2021-09-10,中微公司：公司MOCVD设备签约进展正常进行中,每日经济新闻
288,2021-09-10,中微公司：多晶硅在物理性质及稳定性上目前还无法满足公司现有的设备加工要求,每日经济新闻
289,2021-09-10,中微公司：公司南昌基地和临港基地建设进展按照公司既定计划正常进行中,每日经济新闻
290,2021-09-10,中微公司：原材料增加主要是因为订单的增加而备货,每日经济新闻
291,2021-09-10,机械行业周报(2021年9月第1周)：“十四五”风电需求有望大幅超市场预期 持续推荐光伏／风电设备,新浪
292,2021-09-10,电子行业2021年中报总结：板块增速分化 自下而上关注细分龙头,新浪
293,2021-09-09,半导体设备行业系列研究十九：市场空间广阔 国产设备商百花齐放,广发证券
294,2021-09-09,中微公司之后又一半导体设备“龙头”来了！ 盛美股份登陆科创板：它有哪些“独门绝技”？,每日经济新闻
295,2021-09-09,上海区域股市周报：中芯国际跌出板块市值5强 512家机构调研中微公司,每日经济新闻
296,2021-09-08,A股资金流向（9月8日）：券商股内部轮动加快，白酒、光伏龙头被抛售,Wind
297,2021-09-07,A股资金流向（9月7日）：资源、金融双轮驱动，追高资金享受溢价,Wind
298,2021-09-06,北向资金连续11日净买入累计扫货近500亿，宁德时代大幅净买入超15亿元,Wind
