,2021-12-31,完美世界：公司已在目前的游戏研发中融入元宇宙相关元素,每日经济新闻
151,2021-11-29,传媒互联网周报：《长津湖》成中国影史票房冠军 互联网广告管理办法发布,新浪
152,2021-11-28,传媒行业周报：《互联网广告管理办法》公开征求意见；网易云音乐即将在港上市,广发证券
153,2021-11-27,互联网传媒行业周报：监管强化APP用户信息保护 国产游戏再获TGA提名,新浪
154,2021-11-26,传播文化业行业：2021双十一再创佳绩 英伟达助力元宇宙基建,新浪
155,2021-11-26,月流水8亿？号称手撕《原神》今年最后一款巨制，爆款or哑炮？,36氪
156,2021-11-25,【大行观察】元宇宙风潮刮进内陆 ?汇丰推荐两大内容概念股,财华社
157,2021-11-25,元宇宙真就那么诱人？完美世界确认：华为鸿蒙加入了,ZAKER
158,2021-11-25,年薪百万也一岗难求的TA，整个“元宇宙”产业链都需要,Wind
159,2021-11-24,完美世界：已在目前的游戏研发中融入元宇宙相关元素,每日经济新闻
160,2021-11-24,完美世界与华为HarmonyOS系统达成战略合作：为游戏融入元宇宙元素,快科技
161,2021-11-24,完美世界：公司已与华为鸿蒙系统达成战略合作,Wind
162,2021-11-24,手游收入大减证券投资大增 缺乏爆款的巨人网络如何重振主业？,投资者网
163,2021-11-23,腾讯增速下滑，网易逆势增长，三季度游戏企业过得怎么样？,第一财经
164,2021-11-23,新时代传媒周报：《演出经纪人员管理办法》公开征求意见 元宇宙的探讨将会持续进行,新浪
165,2021-11-22,传媒行业周报：新技术趋势持续扩散 成长空间提振板块信心,新浪
166,2021-11-22,互联网传媒行业：海内外公司硬件、技术与应用布局加快 虚实融合体验更进一步,新浪
167,2021-11-22,传媒互联网行业：数据安全新规将至 互联网安全边界设立愈加明确,新浪
168,2021-11-22,【行情】云游戏板块拉升回暖，中青宝涨超5%，游族网络、汤姆猫、完美世界跟涨,金十数据
169,2021-11-22,全球知名数据分析公司：完美世界排名“全球最能抵御风险的游戏公司”第四位,中国网
170,2021-11-21,传媒行业投资策略：顺应政策 拥抱变革 重启成长,新浪
171,2021-11-21,传媒行业2022年年度策略：下一代网络技术望带动行业步入新周期,新浪
172,2021-11-18,游戏行业月报：元宇宙专题 从技术到应用看元宇宙的持续布局,新浪
173,2021-11-18,元宇宙持续爆发 中青宝歌尔股份万兴科技完美世界有望受益,凤凰网
174,2021-11-18,智度股份：目前为贪玩游戏、完美世界等游戏提供搜索和信息流广告服务,e公司
175,2021-11-18,A股收盘综述：元宇宙回撤；锂矿炙手可热，天齐锂业巨量成交137亿元,Wind
176,2021-11-17,游戏行业ESG周报：从食堂到产品，游戏公司都是怎么做环保的？,搜狐
177,2021-11-17,薛定谔的「幻塔」,36氪
178,2021-11-17,策略跟踪：指数午后回落 白酒板块领涨,新浪
179,2021-11-17,传媒互联网行业周报：元宇宙引领传媒互联网新时代,新浪
180,2021-11-17,2021年大厂下架了多少游戏？,36氪
181,2021-11-17,传媒行业每周一报：行业市场表现亮眼 持续性还看基本面,新浪
182,2021-11-16,指数突破年内新高，大热元宇宙+5G加持，北向资金抢筹的云游戏概念股名单来了,证券时报网
183,2021-11-16,传媒行业投资策略周报：工信部解读“信息通信服务感知提升行动”；国内十月游戏市场持续增长,广发证券
184,2021-11-16,发生了什么？茅台大涨，白酒股行情又来了？,中国基金报
185,2021-11-16,完美世界：目前《幻塔》尚在研发过程中,每日经济新闻
186,2021-11-15,【中泰传媒】Q3总结及展望：持续看好线上娱乐消费及线下场景复苏，重点关注游戏板块投资机会,传媒产业大视点
187,2021-11-15,华泰证券：维持完美世界(002624.SZ)“买入”评级 目标价21.58元,智通财经
188,2021-11-15,元宇宙概念股再度爆发 5股涨停 超20股涨逾4%,第一财经
189,2021-11-15,传媒互联网数据月报：10月手游回暖;国庆档及进口片推动影市环增,新浪
190,2021-11-15,元宇宙燃爆A股！35只概念股两周涨幅普超20%,Wind
191,2021-11-14,传媒行业周报：“元宇宙”概念宏大 关注或更快落地的受益领域,新浪
192,2021-11-13,完美世界︱净利减少11亿！却喊着要进军元宇宙？ 盈利能力下降,星空财富
193,2021-11-13,上市公司扎堆涌入“元宇宙”，分析称仍需探索,Wind
194,2021-11-12,天风问答系列第二弹：传媒互联网五问五答,新浪
195,2021-11-12,上市公司完美世界发布多个元宇宙相关职位,零壹财经
196,2021-11-12,成交活跃，游戏ETF（159869）换手率超10%,Wind
197,2021-11-12,免费皮肤、英雄池限免，腾讯手游有多卷？,36氪
198,2021-11-11,罗振宇动手了，元宇宙培训6节网课卖上百万！4万人争相报名，通信龙头组团，已有上市公司在招人,中证报
199,2021-11-11,“未成年人游戏禁令”落地两个月：游戏公司过得还好吗？,36氪
200,2021-11-11,曾经的A股游戏巨头如今市值蒸发百亿，完美世界离“完美”还有多远？,搜狐
201,2021-11-11,传媒行业：从FACEBOOK和ROBLOX看元宇宙硬件和内容布局,广发证券
202,2021-11-10,元宇宙行业专题之二：NFT：初露峥嵘的区块链应用 元宇宙的重要支柱,新浪
203,2021-11-10,南财脱水研报丨“元宇宙”概念炒热了游戏股，板块11月以来逆市大涨！,21经济网
204,2021-11-10,游戏股逆势走强 机构：元宇宙有望推动行业估值中枢上移,第一财经
205,2021-11-10,解盘：大盘继续调整，网游、摄像头、半导体封测、虚拟现实略涨,Wind
206,2021-11-10,中文在线涨停，元宇宙板块连续拉升,Wind
207,2021-11-10,游戏行业简评：EDG夺冠有望驱动大众认知修复 元宇宙带来长期产业逻辑,新浪
208,2021-11-09,传媒互联网行业10月月报：2022年进口片边际改善 票房有望复苏,广发证券
209,2021-11-09,元宇宙概念股频收关注函，监管加码能否浇灭虚火?,Wind
210,2021-11-09,完美世界：公司使用UE4引擎研发了《诛仙世界》端游、《幻塔》手游等游戏产品,每日经济新闻
211,2021-11-09,文化传媒专题策划三|明年主旋律电影仍将称王 电视剧要走“精品化”之路,财联社
212,2021-11-09,完美世界：“完美元宇宙”商标由上市公司下属子公司申请注册,每日经济新闻
213,2021-11-09,完美世界：游戏是最贴近元宇宙的产品形态，公司擅长的MMORPG与元宇宙的特征一脉相承,每日经济新闻
214,2021-11-09,完美世界：公司结合市场情况，严格按照相关规则对回购期间的规定通过集中竞价方式进行回购操作,每日经济新闻
215,2021-11-09,元宇宙引多空激辩！中信证券163页研报：很难给出短期投资建议,Wind
216,2021-11-09,财信证券传媒行业2021年10月数据跟踪：2021年中国游戏市场仍为正增长，关注职教政策利好,财信证券研究
217,2021-11-08,元宇宙概念持续活跃 机构强推这些个股,第一财经
218,2021-11-08,陆家嘴财经早餐2021年11月8日星期一,Wind
219,2021-11-07,A股传媒板块2021年三季报综述：政策和疫情影响下整体基本面稳步改善,微信
220,2021-11-06,游戏公众公司市值排行榜10：A股第一易主，这家公司单月增长108%,搜狐
221,2021-11-06,开启软硬件产业新机遇，多家上市公司加码布局元宇宙,Wind
222,2021-11-05,宣称游戏道具永久绝版改头换面再上线，完美世界网络公司被罚20万,36氪
223,2021-11-05,A股游戏公司三季报业绩盘点 世纪华通27.29亿归母净利润领跑,金融界
224,2021-11-05,超半数游戏公司前三季度净利上涨 元宇宙或成行业催化剂,中新经纬
225,2021-11-05,完美世界、光线传媒大涨，影视ETF（159855）、VRETF（159786）齐声走强,资本邦
226,2021-11-05,元宇宙热度不减，主力早间大幅抢筹、个股还能涨86%,第一财经
227,2021-11-05,中信建投：元宇宙的逻辑和投资机遇,Wind
228,2021-11-04,完美世界：科学化、智能化的流量投放，在公司流量运营工作中发挥了关键作用,每日经济新闻
229,2021-11-04,完美世界：完美世界（北京）软件科技发展有限公司是公司全资孙公司,每日经济新闻
230,2021-11-04,完美世界：公司正在积极探索元宇宙应用的多种可能性,每日经济新闻
231,2021-11-04,完美世界：《一拳超人》产品在正常研发过程中,每日经济新闻
232,2021-11-04,【行情】元宇宙板块拉升，佳创视讯涨超10%，天下秀、中青宝、易尚展示、安洁科技、数码视讯涨超5%，中科创达、创维数字、超图软件、完美世界等跟涨,金十数据
233,2021-11-04,东方证券：给予完美世界买入评级，目标价位23.18元,证券之星
234,2021-11-04,A股传媒三季报总结：游戏有回暖信号 梯媒体现韧性,新浪
235,2021-11-04,完美世界何时走出水逆周期？,斑马消费
236,2021-11-04,元宇宙概念股三季度均盈利 分析师：还在炒作阶段,搜狐
237,2021-11-03,互联网传媒行业：元宇宙系列报告2：FACEBOOK全面拥抱元宇宙 硬件与应用机遇来临,新浪
238,2021-11-03,一款道具，A股游戏巨头被罚20万！,中国基金报
239,2021-11-02,传媒行业：游戏拐点确认 部分子行业受到监管以及疫情等因素影响,广发证券
240,2021-11-02,游戏公司完美世界重新售卖《刀塔》绝版道具被罚20万,澎湃新闻
241,2021-11-02,完美世界重新售卖刀塔“绝版”道具，被罚 20 万元,IT之家
242,2021-11-02,山西证券11月荐股名单出炉（共10只）,新浪
243,2021-11-02,头部游戏公司三季度业绩率先企稳,Wind
244,2021-11-01,完美世界累计耗资3005.17万元回购0.1%股份,乐居财经
245,2021-11-01,完美世界(002624.SZ)已累计回购195.79万股 耗资3005.17万元,智通财经
246,2021-11-01,完美世界(002624.SZ)截至10月底已累计回购195.79万股,格隆汇
247,2021-11-01,完美世界：已累计回购约196万股，占比0.1009%,每日经济新闻
248,2021-11-01,中国银河维持完美世界推荐评级，2021年三季报点评：《梦诛》进入回收期，多款优质产品积极推进,每日经济新闻
249,2021-10-31,飞书深诺再次冲刺港股：上半年营收5225万美元 完美世界是股东,搜狐
250,2021-10-30,券商资管三季度持仓出炉，“隐形牛股”涨幅超过100%！,Wind
251,2021-10-30,【银河传媒互联网杨晓彤】公司点评丨完美世界 (002624)：《梦诛》进入回收期，多款优质产品积极推进,中国银河证券研究
252,2021-10-30,完美世界(002624)：精品新游助力 《幻塔》终测定档,新浪
253,2021-10-30,完美世界：中信证券资管、中信保诚基金等64家机构于10月27日调研我司,证券之星
254,2021-10-29,A股游戏公司三甲三季报：业绩普遍回暖，三七互娱营收第一,南都报
255,2021-10-29,元宇宙爆炒中青宝，两月股价上涨168%「文娱周评榜」,华夏时报
256,2021-10-29,资本动态｜前三季度87.88%游戏概念股盈利，星辉娱乐净利下滑1037.57%亏损最多 亏损,财经网
257,2021-10-29,开源证券维持完美世界买入评级，近期获22份券商研报关注，目标均价涨幅58.23%,每日经济新闻
258,2021-10-29,元宇宙概念再度引爆 这只个股近期获机构集中看好,第一财经
259,2021-10-29,传媒互联网行业周报：看好传媒高安全垫龙头,新浪
260,2021-10-29,占领元宇宙新高地 A股游戏公司纷纷加码研发投入,每日经济新闻
261,2021-10-29,解盘：百亿资金流入，网游、食品、医疗、三胎概念领涨,Wind
262,2021-10-29,虚拟现实板块急速上行，中光学涨停,Wind
263,2021-10-29,完美世界(002624)：三季报业绩符合预期 看好新产品线带来改善,新浪
264,2021-10-29,东方财富证券维持完美世界买入评级，2021年三季报点评：游戏业务业绩回暖，《幻塔》终测定档,每日经济新闻
265,2021-10-29,完美世界(002624)：21Q3业绩逐步修复 《幻塔》有望年内上线值得期待,新浪
266,2021-10-29,天风Morning Call·晨会集萃·20211029,天风研究
267,2021-10-29,完美世界（002624）2021年三季度业绩点评：单季度业绩符合预期，看好后续新产品品类突破潜力,微信
268,2021-10-28,七猫“吃下”纵横中文网，百度整合网络文学，老朋友完美世界真的退出了？,北京商报
269,2021-10-28,华西证券维持完美世界增持评级：《梦诛》助推业绩回暖，关注《幻塔》终测,每日经济新闻
270,2021-10-28,完美世界接受52家机构调研！短期主力资金净流入，市场资金或早已察觉,每日经济新闻
271,2021-10-28,财信证券：维持完美世界(002624.SZ)“推荐”评级 合理价值区间22-27.5元,智通财经
272,2021-10-28,中泰证券维持完美世界买入评级：Q3收入环比提升明显，《幻塔》即将开启终极测试,每日经济新闻
273,2021-10-28,山西证券给予完美世界买入评级，三季度业绩改善，静待《幻塔》上线,每日经济新闻
274,2021-10-28,财信证券：给予完美世界买入评级，目标价位27.5元,证券之星
275,2021-10-28,上海证券维持完美世界买入评级：Q3业绩显著好转，《幻塔》等新游值得期待,每日经济新闻
276,2021-10-28,完美世界(002624)：三季度业绩回暖 静待重点产品《幻塔》上线,新浪
277,2021-10-28,国联证券：给予完美世界增持评级,证券之星
278,2021-10-28,国元证券维持完美世界买入评级，2021年三季报点评：新游逐步进入回收期，Q3业绩环比回暖,每日经济新闻
279,2021-10-28,完美世界 Q3 财报：业绩回暖 游戏盈利约 5.5 亿元,ZAKER
280,2021-10-28,206股获券商买入评级，新安股份目标涨幅达96.48%,Wind
281,2021-10-27,完美世界(002624)2021年三季报点评：《梦幻新诛仙》进入利润释放期 《幻塔》终测在即,新浪
282,2021-10-27,东吴证券给予完美世界买入评级：《梦诛》步入回收期，《幻塔》年内有望上线,每日经济新闻
283,2021-10-27,国海证券维持完美世界买入评级，三季度财报点评：新游进入回收期助推业绩回暖，关注《幻塔》四测,每日经济新闻
284,2021-10-27,每日报告回放,新浪
285,2021-10-27,完美世界：目前《幻塔》尚在研发过程中，相关发行事宜尚未确定,每日经济新闻
286,2021-10-27,完美世界(002624)：业绩符合预期 重点新游幻塔有望年内上线,新浪
287,2021-10-27,梦幻新诛仙首月流水超5亿，完美世界三季度净利环比增3.6倍,阿尔法工场
288,2021-10-27,完美世界三季报：业绩回暖趋势有望延续下季度,艾瑞网
289,2021-10-27,完美世界：第三季度净利润增长1.18%，游戏业务盈利约5.5亿元,资本邦
290,2021-10-27,朝闻国盛：北上连续流入破百亿,新浪
291,2021-10-27,解读完美世界Q3财报：新游带动业绩回暖，《幻塔》终测在即,中国网
292,2021-10-27,北京百度网讯等12家企业退出北京幻想纵横98%股权，七猫文化传媒接盘,乐居财经
293,2021-10-27,国盛证券：维持完美世界(002624.SZ)“买入”评级 建议关注新游《幻塔》上线进程,智通财经
294,2021-10-27,每周一报：三季报行情渐次展开 关注超预期优质标的,新浪
295,2021-10-27,国盛证券：给予完美世界买入评级,证券之星
296,2021-10-27,游戏业务明显回暖 完美世界第三季度净利润小幅增长,上证报
297,2021-10-26,完美世界：2021年第三季度实现净利润5.42亿元 同比增长1.18％,北京商报
