,2021-12-30,玲珑轮胎今日大宗交易成交64.40万股，成交价36.18元溢价0.0%,Wind
182,2021-09-14,汽车行业周报：8月销量好于预期 新能源渗透率再创新高,新浪
183,2021-09-14,玲珑轮胎：拟定增不超过25亿用于全钢子午线轮胎等项目,资本邦
184,2021-09-14,A股早报2021年9月14日星期二,Wind
185,2021-09-13,晚间重要公告2021年9月13日星期一,Wind
186,2021-09-13,玲珑轮胎：拟非公开增发不超过约1.37亿股，募资不超过25亿元,每日经济新闻
187,2021-09-13,玲珑轮胎(601966.SH)控股股东所持股份全部解质,智通财经
188,2021-09-13,玲珑轮胎：拟定增募资不超25亿元,Wind
189,2021-09-10,森麒麟：公司目前产品为半钢子午线轮胎，全钢子午线轮胎项目尚未投产,Wind
190,2021-09-10,玲珑轮胎：今年多次提价 但配套端价格不能全部传导,e公司
191,2021-09-06,化工行业周报：万华拟建40万吨POCHP项目 玲珑新零售2.0上线,国海证券
192,2021-09-06,玲珑轮胎合肥项目正式签约,轮胎世界网
193,2021-09-05,玲珑轮胎“卡友关爱计划”上线 以公益基金关爱卡车司机,上证报
194,2021-09-05,玲珑轮胎严正声明 抵制磨号胎,轮胎世界网
195,2021-09-05,汽车行业：板块继续震荡 等待一个明确的复苏时点,新浪
196,2021-09-03,玲珑轮胎：“卡友关爱计划”顺利上线,中证网
197,2021-09-01,汽车行业周报：汽车数据安全新规发布 疫情冲击下阶段性缺芯持续,新浪
198,2021-08-31,玲珑轮胎：新零售2.0正式上线 厂商店三方联动创造用户服务新价值,中证网
199,2021-08-31,A股中报收官，4大主力资金重仓名单全披露,Wind
200,2021-08-30,玲珑半年营收超百亿，国内零售增长28%,中国橡胶网
201,2021-08-30,玲珑轮胎：公司乘用车轮胎原材料成本构成中，橡胶所占比重最大,每日经济新闻
202,2021-08-30,海通证券维持玲珑轮胎优于大市评级,天然橡胶网
203,2021-08-30,海通证券研究所早报,新浪
204,2021-08-30,偏爱金融股，“长线资金”布局路线图浮现,Wind
205,2021-08-28,华金证券维持玲珑轮胎买入评级：Q2业绩承压，新能源车配套用胎高速增长,每日经济新闻
206,2021-08-27,成本上涨拖累业绩 玲珑轮胎上半年增收未增利 盈利能力下降,每日经济新闻
207,2021-08-27,【国海化工】玲珑轮胎2021年中报点评：海运和原材料不利因素导致业绩下滑，逆境中彰显韧性 盈利能力下降,靠谱化工股
208,2021-08-27,A股异动 | 玲珑轮胎(601966.SH)跌超6% 中期净利同比降13.67% 盈利能力下降,格隆汇
209,2021-08-27,快讯：玲珑轮胎跌停 报于30.6元,金融界
210,2021-08-26,新能源汽车轮胎出货大增 玲珑轮胎上半年营收破百亿,上证报
211,2021-08-26,玲珑轮胎上半年营收突破百亿 拟再投52亿建国内第七个工厂,e公司
212,2021-08-26,玲珑轮胎：上半年营收破百亿元 新能源汽车轮胎出货同比大增近4倍,中证网
213,2021-08-26,玲珑轮胎上半年营收破百亿 获摩根美林及北上资金增持,e公司
214,2021-08-26,玲珑轮胎2021年上半年实现净利润7.74亿元，同比下降13.67% 盈利能力下降,经济观察网
215,2021-08-26,玲珑轮胎(601966.SH)拟投52.08亿元建设年产1460万套超高性能自愈合及智能子午线轮胎项目,智通财经
216,2021-08-26,玲珑轮胎(601966.SH)：上半年净利降13.67%至7.74亿元 盈利能力下降,格隆汇
217,2021-08-26,玲珑轮胎：52.08亿元投建子午线轮胎项目,e公司
218,2021-08-26,玲珑轮胎：部分募投项目延期,Wind
219,2021-08-26,玲珑轮胎：上半年净利润同比减少13.67% 盈利能力下降,Wind
220,2021-08-26,化工行业周报：有机硅价格持续上行 看好行业景气延续,新浪
221,2021-08-25,8月24日玲珑轮胎：累计1698.99万元,天然橡胶网
222,2021-08-25,汽车行业第34周周报：特斯拉AI+DAY发布DOJO超算和TESLA+BOT 加速智能化变革,新浪
223,2021-08-25,轮胎工厂智能化，智能在了哪儿？,轮胎商业网
224,2021-08-24,化工周报：有机硅、PVDF大幅上涨 关注化工企业布局新能源材料 周期和成长有望同时向上,新浪
225,2021-08-24,8月23日玲珑轮胎获沪股通增持12.72万股,天然橡胶网
226,2021-08-24,轮胎“吉祥物”，哪家最好看,轮胎商业网
227,2021-08-23,煤炭石化行业周报：夏季用煤高峰已过 PVC价格有望走强,新浪
228,2021-08-20,玲珑轮胎连续两年获上交所信息披露最高评级,中证网
229,2021-08-19,8月18日玲珑轮胎被沪股通减持64.17万股 减持股份,天然橡胶网
230,2021-08-18,8月17日玲珑轮胎：融资余额1.85亿元,天然橡胶网
231,2021-08-18,玲珑轮胎8月18日加速下跌,天然橡胶网
232,2021-08-17,汽车行业周报：7月产销承压 关注8月强势新品车型,新浪
233,2021-08-17,陕西玲珑完成工商注册登记,轮胎世界网
234,2021-08-17,玲珑轮胎8月16日被沪股通减持96.39万股 减持股份,天然橡胶网
235,2021-08-17,A股分化加剧，4大类外资在持续行动，长远布局正当时,Wind
236,2021-08-16,月月涨！超级旺季创纪录延长！运费和货价等值，出海企业库存风险加剧，这些A股公司“顶不住”了,Wind
237,2021-08-16,化工周报：化工品景气度延续上行 关注龙头企业进军磷酸铁锂、DMC 等新能源产业链,新浪
238,2021-08-16,玲珑轮胎现1笔大宗交易 共成交996.86万元,新浪
239,2021-08-16,玲珑轮胎今日大宗交易成交28.16万股，成交价35.4元折价6.4%,Wind
240,2021-08-16,减持公告砸盘，9股出逃超10亿，42家大额解禁即将来袭,Wind
241,2021-08-13,7月新能源汽车销量刷新历史新高 玲珑轮胎加快新能源汽车轮胎布局,中证网
242,2021-08-13,汽车行业7月汽车产销分析：行业产销同比降幅收窄 新能源车逆市高增长,新浪
243,2021-08-13,锂电概念有多牛？今天国际20CM涨停 盐湖股份飙升,中投网
244,2021-08-13,轮胎行业5只概念股市盈率低20倍,天然橡胶网
245,2021-08-12,新一轮涨价要来了，全球巨头率先宣布，概念龙头砸出“深坑”,Wind
246,2021-08-12,新一轮涨价要来了：固特异轮胎率先宣布上调价格 轮胎概念龙头玲珑轮胎砸出“深坑”,新浪
247,2021-08-12,一触即发！新一轮涨价要来了，全球巨头率先宣布，概念龙头砸出“深坑”,中国基金报
248,2021-08-12,新一轮涨价一触即发！全球巨头率先宣布提价时间，概念龙头砸出“深坑”，5股市盈率不足20倍,新浪
249,2021-08-12,新一轮涨价一触即发！5只轮胎概念股市盈率不足20倍,证券时报网
250,2021-08-12,轮胎行业新一轮涨价开启 5股市盈率不足20倍,第一财经
251,2021-08-09,玲珑轮胎：公司副总裁兼财务总监李伟减持计划实施完毕,每日经济新闻
252,2021-08-09,玲珑轮胎(601966.SH)副总裁李伟累计减持2.05万股 减持实施完毕 减持股份,智通财经
253,2021-08-05,石油化工&基础化工行业2021年中期策略报告：聚焦价值 拥抱成长 把握市场分化预期下的确定性机会,光大证券
254,2021-08-04,珑轮胎将牵手政府，赋能汽车产业链,天然橡胶网
255,2021-08-03,汽车行业周报：宁德时代钠离子电池发布 特斯拉二季报持续盈利,新浪
256,2021-08-03,玲珑轮胎与梁山县人民政府达成战略合作,中国橡胶网
257,2021-08-03,强强联合，玲珑轮胎牵手政府,轮胎商业网
258,2021-08-02,玲珑轮胎(601966.SH)控股股东解质633万股,智通财经
259,2021-08-02,汽车行业第31周周报：特斯拉再降价 新能源车将加速替代燃油车,新浪
260,2021-08-02,基础化工行业：煤化工景气上行 PVDF乘新能源风而起,新浪
261,2021-08-02,化工周报：纯碱、BDO、氨纶等持续上涨 周期旺季来临 重点关注细分龙头,新浪
262,2021-08-02,煤炭石化行业周报：减碳纠偏助力优质项目投放 化纤持续走强,新浪
263,2021-07-31,左右世界的20家轮胎企业,轮胎商业网
264,2021-07-29,玲珑轮胎“双喜临门”,天然橡胶网
265,2021-07-28,行业观察|国产轮胎份额逐年提升新零售领模式应显现,财联社
266,2021-07-28,9家A股轮胎 山东占5家,天然橡胶网
267,2021-07-28,玲珑轮胎被沪股通减持9.77万股 减持股份,天然橡胶网
268,2021-07-28,基础化工行业研究：公募基金配置化工行业水平接近十年最高值 价值风格向成长风格切换明显,国金证券股份有限公司
269,2021-07-28,举全市之力落好“玲珑轮胎”重大项目,中国橡胶网
270,2021-07-28,汽车行业周报：新能源车引领轻量化赛道,新浪
271,2021-07-26,2021Q2公募基金化工重仓股分析：21Q2公募基金化工重仓股配置环比继续上升 风格切换至细分龙头及新能源、半导体相关标的,新浪
272,2021-07-26,化工行业周报：化工结构性乐观,新浪
273,2021-07-26,化工周报：钾肥、氯碱、氨纶等持续上涨 周期旺季来临 重点关注细分领域龙头,新浪
274,2021-07-23,2021年基础化工行业中期投资策略：周期景气持续 成长聚焦龙头,新浪
275,2021-07-22,这些轮胎产品被打创新标签,轮胎商业网
276,2021-07-21,汽车行业周报：上海“十四五”万亿汽车产业目标 特斯拉光储充一体化充电站首秀,新浪
277,2021-07-21,化工行业周报：纯碱价格持续上行 看好纯碱高景气延续,新浪
278,2021-07-20,中国轮胎企业航空潮来临？,轮胎商业网
279,2021-07-19,玲珑王锋获功勋企业家称号,轮胎世界网
280,2021-07-19,汽车行业周报：行业复苏逻辑不变 短期挖掘中报超预期,新浪
281,2021-07-19,化工周报：旺季即将来临 化肥、化纤持续强势 周期有望迎来价量双升,新浪
282,2021-07-19,煤炭石化行业周报：油价波动率上升 化纤需求持续回升,新浪
283,2021-07-17,玲珑轮胎董事长总裁王锋入选福布斯中国50位最佳CEO,中证网
284,2021-07-16,数据解放生产力——琰究汽车数据系列（2021年6月）【华西汽车 崔琰团队】,汽车琰究
285,2021-07-15,汽车第27周周报：中报临近 关注业绩有望超预期企业,新浪
286,2021-07-15,汽车行业周报：新势力销量创新高 电动智能变革加速,新浪
287,2021-07-15,玲珑轮胎回应大股东高位减持 业绩如何突围支撑高估值？ 减持股份,投资者网
288,2021-07-15,轮胎原配排行|2021上,轮胎商业网
289,2021-07-14,8大轮胎企业产能排行,轮胎商业网
290,2021-07-13,吉林玲珑轮胎项目一期工程封顶,轮胎世界网
291,2021-07-13,汽车行业6汽车产销分析：新能源车继续超预期 行业或补库在即,新浪
292,2021-07-12,汽车行业周报：6月新能源超预期 自主品牌缺芯缓解,新浪
293,2021-07-12,能源化工行业周观点：油价振荡后上行 光伏新能源材料关注度高,新浪
294,2021-07-12,玲珑商用车胎年中经销商会议召开,轮胎世界网
295,2021-07-07,玲珑铜川基地将实现10万套航空胎年产能,中国橡胶网
296,2021-07-07,微观流动性跟踪双周报：融资风格攻守兼备 北上加仓电气设备,新浪
297,2021-07-07,流动性观察：不惧资金扰动 布局景气成长,新浪
298,2021-07-07,基础化工行业投资周报：MDI价格止跌 建议关注万华化学,新浪
299,2021-07-06,汽车行业周报：长城发布2025战略 领跑智能电动赛道,新浪
300,2021-07-06,化工行业周报：氨纶库存创近十年新低 行业高景气有望持续,新浪
301,2021-07-06,决胜终端，玲珑经销商大会开启下半程,轮胎商业网
302,2021-07-05,能源化工行业周观点：油价持续新高 化工Q2业绩预告亮眼,新浪
303,2021-07-05,玲珑乘用车轮胎经销商年中会议召开,轮胎世界网
304,2021-07-05,基础化工2021H1业绩前瞻：油价持续上涨叠加国内外需求共振 化工业21Q2 盈利能力环比持续提升,新浪
305,2021-07-05,汽车行业周报：7月排产向好 超配汽车板块,新浪
306,2021-07-05,基础化工行业周报：光伏玻璃推动需求 纯碱行业持续景气,新浪
307,2021-07-05,大业股份：玲珑轮胎是公司客户,每日经济新闻
308,2021-07-05,玲珑轮胎与山东临工战略合作签约仪 推动高质量发展,大众日报
309,2021-07-05,财融汇·日间资讯,财通证券融资融券部
