,2021-12-31,国君固收：银行转债的投资策略,Wind
93,2021-11-05,成都银行今日大宗交易成交180万股，成交价12.0元折价0.83%,Wind
94,2021-11-05,"成都银行现1笔大宗交易 共成交2,160.00万元",新浪
95,2021-11-04,2021年11月银行业投资策略：继续看好中小银行,新浪
96,2021-11-04,A股融资融券日报：两融余额减少44.29亿元（11月3日）,Wind
97,2021-11-03,上市银行最新业绩一览 9家银行拨备超过400%,新浪
98,2021-11-03,银行业：区域位置突出的农商行获基金逆势增持,新浪
99,2021-11-02,机构低配银行股有望逆转，资金押注11月“经济小阳春”,第一财经
100,2021-11-02,深度｜上市银行3季报总结: 稳健与分化；息差企稳回升，优质银行持续强【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
101,2021-11-01,国信证券维持成都银行买入评级，2021年三季报点评：业绩持续靓丽，资产质量优异,每日经济新闻
102,2021-11-01,7家A股城商行前三季度净利润增幅超20%，江苏银行领跑,澎湃新闻
103,2021-11-01,瞄准时间窗口，上市银行加快股权融资“补血”,Wind
104,2021-11-01,8家上市城商行前三季 营收净利增速均超10%,第一财经
105,2021-10-31,8家上市城商行前三季营收净利增速均超10%，四季度银行股估值有望修复,第一财经
106,2021-10-31,万联证券维持成都银行增持评级，点评报告：业绩持续高速增长,每日经济新闻
107,2021-10-31,万联证券：给予成都银行增持评级,证券之星
108,2021-10-31,"【浙商】成都银行:受益成渝经济,经营持续向好",大话金融
109,2021-10-30,【三季报观察】江浙沪城商行表现亮眼 优质银行获基金加仓,经济观察报
110,2021-10-29,成都银行前三季净利增22% 信用减值损失增37%达46亿,中国经济网
111,2021-10-29,成都银行前三季实现归母净利润51.31亿元 不良贷款率 1.06％,金融界
112,2021-10-29,华西证券：给予成都银行买入评级,证券之星
113,2021-10-29,成都银行3Q21:业绩靓丽，资产质量持续改善-招证|银行,志明看金融
114,2021-10-29,成都银行不良贷款率创近七年新低，连续四个季度获北向资金增持,证券时报网
115,2021-10-29,详解成都银行2021年三季报：量价齐升支撑业绩持续高增、PPOP同比增28%【中泰银行·戴志锋/邓美君/贾靖】,传统借贷vs新型金融
116,2021-10-28,成都银行公布三季报 前三季净利增加22.15%,新浪
117,2021-10-28,成都银行前三季度归母净利润增长22.15% 拨备覆盖率提升 93.98个百分点至387.41%,和讯
118,2021-10-28,图解成都银行三季报：第三季度单季净利润同比增20.33%,证券之星
119,2021-10-28,成都银行(601838.SH)：第三季度归母净利增20.33%至17.41亿元,格隆汇
120,2021-10-28,银行21Q3金融板块持仓：银行保险均减配、“财富管理”类券商获得增配,新浪
121,2021-10-28,成都银行：前三季度净利润同比增长22.15%,Wind
122,2021-10-28,成都银行：前三季度净利润51.31亿元，增幅22.15%,资本邦
123,2021-10-28,A股融资融券日报：两融余额减少19.89亿元（10月27日）,Wind
124,2021-10-28,商业银行行业：仓位继续降低 绩优中小行获逆势增持,新浪
125,2021-10-28,银行行业：景气度预期有望改善 关注板块配置机会,广发证券
126,2021-10-27,成都银行：罗铮及王忠钦行长助理任职资格均已获批,中国网
127,2021-10-26,银行周报：三季报超预期 看好银行估值修复,新浪
128,2021-10-26,银行行业周报：三季报业绩亮眼 估值修复行情有望持续,新浪
129,2021-10-25,成都银行：罗铮及王忠钦两位公司行长助理的任职资格已获核准,金融界
130,2021-10-25,锦泰保险新控股股东金控版图渐现,中国经营报
131,2021-10-25,金融行业周报：关注金融板块三季报超预期行情,新浪
132,2021-10-21,外资单日净买入超百亿！大金融走强，“聪明钱”正加仓A股核心资产,Wind
133,2021-10-21,成都银行年内涨超20%背后：第三大股东减持90% 房贷占比大幅超标 减持股份,凤凰网
134,2021-10-21,【行情】银行股开盘拉升，杭州银行、常熟银行、成都银行、平安银行、宁波银行等涨幅居前,金十数据
135,2021-10-20,成都银行绵阳分行开业 推进战略转型加快网点布局,上证报
136,2021-10-20,成都银行绵阳分行开业 未来5年将提供500亿元融资支持,金融投资报
137,2021-10-19,成都银行(601838.SH)：拟为丰隆银行办理不超等值14.39亿元的美元结汇业务,格隆汇
138,2021-10-19,企业观｜解禁当日减持、年底前或清仓 渤海基金再卖成都银行1380万股 解禁,财经网
139,2021-10-19,成都银行(601838.SH)拟为丰隆银行办理不超等值人民币14.39亿元的美元结汇业务,智通财经
140,2021-10-19,80亿可转债能否解成都银行燃眉之急？,每日财报
141,2021-10-19,重庆市江北区“1+5+N金融服务港湾”落实落地观音桥街道,中国金融新闻网
142,2021-10-19,成都银行股东渤海基金减持1380.3万股，套现1.74亿 减持股份,资本邦
143,2021-10-18,成都银行：渤海基金减持1380.3万股股份，减持时间已过半 减持股份,乐居财经
144,2021-10-18,成都银行(601838.SH)：渤海基金已通过集中竞价减持1380.3036万股 减持股份,格隆汇
145,2021-10-18,成都银行：渤海基金累计减持0.38%股份 减持股份,Wind
146,2021-10-18,银行信息|蓝海银行上半年净利逾3亿 成都银行房贷占超29%屡踩红线,搜狐
147,2021-10-18,成都银行房贷999亿占超29%屡踩红线 核心一级资本充足率连降急募270亿补血,长江商报
148,2021-10-18,成都银行回复80亿元可转债问询：涉房贷款超线 资产充足率承压 问询,面包财经
149,2021-10-17,银行行业周报：社融回升可期 D-SIBS名单发布,新浪
150,2021-10-13,成都银行股份有限公司财务部门负责人吴聪敏任职资格获准,奥一网
151,2021-10-13,成都银行拟发行80亿可转债获监管反馈 房地产贷款占比超标引关注 其他违规处罚,中国网
152,2021-10-13,80亿可转债在路上！成都银行三大股东为何纷纷减持？ 可转债减持,投资时报
153,2021-10-13,银行行业专题报告：十年回顾：资产质量的历史与未来,新浪
154,2021-10-13,上市银行“涉房”贷款盘点：占比普遍下降，仍有14家踩线,面包财经
155,2021-10-12,银行信息|长安银行被罚款790万 成都银行拟发80亿可转债被反馈“存风险” 金融监管处罚,搜狐
156,2021-10-11,成都银行80亿可转债反馈“存风险”：房贷占比远超监管红线 资本充足指标承压,新浪
157,2021-10-11,华泰固收转债策略周报：变的不仅是股市风格，还有转债结构,Wind
158,2021-10-10,锦程消费金融线下布局“小微贷”产品，保守展业背后风控管理能力受质疑,中国经济网
159,2021-10-09,成都银行回复证监会问询：称房贷超标具有合理性,AI财经社
160,2021-10-08,企业观｜拟发行80亿可转债引证监会关注 成都银行回应房地产贷款集中度超标等问题,财经网
161,2021-10-08,成都银行拟发行80亿元可转债 3年被罚15笔共513.5万元,中国经济网
162,2021-10-08,成都银行上半年末贷款损失准备141亿元 较去年末增24%,中国经济网
163,2021-10-07,涉房贷款占比超标、信用减值损失骤增 成都银行拟发行80亿可转债引监管关注,中国经济网
164,2021-09-30,成都银行跌4.4%领跌银行股 上半年信用减值损失增35%,中国经济网
165,2021-09-30,A股收盘综述：两市万亿成交额记录终止，锂电激活题材炒作、煤钢电卷土重来,Wind
166,2021-09-30,周期股节后能否再起？机构观点出现分歧,Wind
167,2021-09-30,银行股集体下跌 成都银行跌4.5%领跌,格隆汇
168,2021-09-28,成都银行拟发80亿可转债 H1信用减值损失29亿元增35%,中国经济网
169,2021-09-28,银行行业周报：银行监管评级办法升级；行业整体信用风险不必悲观,新浪
170,2021-09-27,成都银行80亿元可转债获反馈 房地产贷款集中度超标受关注,和讯
171,2021-09-26,金融行业周报：估值仍处于低位 看好券商长期配置价值,新浪
172,2021-09-26,上市城商行分化加剧：三分之一营收两位数增速、三分之一营收同比下滑,Wind
173,2021-09-23,银行流动性9月月报：预计社融增速阶段性筑底,新浪
174,2021-09-23,银行业月报：8月社融增速继续回落 实体融资需求偏弱,渤海证券
175,2021-09-23,房地产贷款风险来袭，多家银行撇清与恒大关联,Wind
176,2021-09-23,银行股是否反应过度了？多家撇清与恒大关联,Wind
177,2021-09-23,突发！中国恒大ADR疯涨47%,Wind
178,2021-09-22,银行股集体重挫，到底有多大风险？机构紧急发声,Wind
179,2021-09-22,A股收盘综述：电力股批量封板、神华兖煤涨停，一线地产股柳暗花明,Wind
180,2021-09-22,银行行业研究周报：各家银行计息负债大PK,新浪
181,2021-09-22,银行板块半日跌3%，成都银行、招行跌超5%，分析师：房地产贷款对银行影响可控,搜狐
182,2021-09-22,A股午盘综述：指数下滑无碍炒作，电力煤炭板块飙升、地产否极泰来,Wind
183,2021-09-21,银行行业周报：债券“南向通”在即 OMO平稳操作,新浪
184,2021-09-17,快讯 | 成都银行：国有股权无偿划转事项完成股份过户登记,财经网
185,2021-09-17,成都银行(601838)：论高增长的可持续性,新浪
186,2021-09-17,银行行业深度报告：房地产不良突增 会冲击资产质量吗？,新浪
187,2021-09-16,成都银行：绿色信贷业务稳步增长 将持续发展理财业务,全景网
188,2021-09-15,银行业月报：信贷平稳 流动性管理办法推动净值化转型,新浪
189,2021-09-15,成都银行获批发行80亿可转债 中报业绩亮眼房贷仍需压降,中金在线
190,2021-09-14,银行行业研究周报：8月金融数据点评：贷款需求减弱+财政发力,新浪
191,2021-09-13,银行业：银行指数继续回升 银行间利率上行,华安证券
192,2021-09-09,【专栏】房贷占比超标、消费贷上量不易，成都银行“大零售”转型有多难？,零壹财经
193,2021-09-09,成都银行：发行A股可转债获证监会受理,财联社
194,2021-09-09,成都银行(601838.SH)公开发行A股可转换公司债券获中国证监会受理,智通财经
195,2021-09-09,走出房贷舒适区，成都银行的大零售转型不能“光说不练”了,和讯
196,2021-09-09,房地产贷款增速创8年新低，经营贷违规流入楼市排查基本完成,Wind
197,2021-09-09,30万亿银行理财面临大洗牌：大行忙整改，小行转代销,Wind
198,2021-09-08,半年报显示业绩增长强劲，城商行转型发展有喜有忧,Wind
199,2021-09-07,银行股尾盘锦上添花，杭州银行涨近5%,Wind
200,2021-09-07,11家上市银行按揭贷款“踩红线”，涉房贷款继续“瘦身”,Wind
201,2021-09-06,多家银行涉房贷款仍踩红线,Wind
202,2021-09-06,成都银行重庆分行因违规办理同业投资等被罚185万元 金融监管处罚,中国网
203,2021-09-06,重庆3家金融单位被罚 成都银行重庆分行被罚款185万 金融监管处罚,金融投资报
204,2021-09-03,重庆银保监局：对成都银行重庆分行作出行政处罚，罚款185万元,Wind
205,2021-09-03,成都银行重庆4宗违法被罚185万 违规办理同业投资等 金融监管处罚,中国经济网
206,2021-09-03,快讯｜信贷资产分类不准确等 成都银行重庆分行被罚185万元 金融监管处罚,财经网
207,2021-09-03,银行涉房贷款半年考：11家个人住房贷款仍超标,Wind
208,2021-09-03,26家银行涉房类贷款占比下降 谁还在踩红线,北京商报
209,2021-09-03,银行1H21业绩回顾：业绩超预期 关注积极因素,新浪
210,2021-09-02,主力持续建仓股名单来了，机构扎堆推荐股揭秘（名单）,Wind
211,2021-09-02,基金投资银行股热情升温，机构布局后市存分歧,Wind
212,2021-09-02,银行票据贴现缩量，信贷投放聚焦制造业和小微,Wind
213,2021-09-02,银行涉房类贷款半年考：超六成占比下降，招行兴业等7家双指标越线,Wind
214,2021-09-01,北向资金、腾讯系、国家队基金纷纷加仓！这个板块终于发威，谁是机构心头好？,Wind
215,2021-09-01,银行行业周报：零售银行估值合理 货币净投放应对月末,华安证券
216,2021-09-01,银行股午前再度发力，杭州银行大涨6%,Wind
217,2021-09-01,成都银行股份有限公司关于公开发行 A股可转换公司债券获得中国银保监会四川监管局核准的公告,证券时报
218,2021-08-31,成都银行获批发行不超过80亿元A 股可转换公司债券,北京商报
219,2021-08-31,成都银行：发行不超80亿A股可转债获银保监会核准,财联社
220,2021-08-31,成都银行(601838.SH)：发行不超80亿A股可转债获银保监会核准,格隆汇
221,2021-08-31,成都银行(601838.SH)公开发行可转债获中国银保监会四川监管局核准,智通财经
222,2021-08-30,晚间重要公告2021年8月30日星期一,Wind
223,2021-08-30,成都银行(601838.SH)股东渤海基金拟减持不超3612.25万股 拟减持股份,智通财经
224,2021-08-30,成都银行：渤海基金拟减持不超过总股本1%,Wind
225,2021-08-30,为中国金融“第四极”注入新动能 成都银行三大转型效果显着,中国经营报
226,2021-08-30,成都银行资产、存款规模创新高，多项经营指标增长超20%,搜狐
227,2021-08-27,成都银行：股东渤海基金减持约20387万股，减持计划完成,每日经济新闻
228,2021-08-27,成都银行(601838.SH)股东渤海基金减持5.64%的股份 减持已届满 减持股份,智通财经
229,2021-08-27,成都银行上半年营收、净利双增长 三年战略转型交出最好半年成绩单,证券日报网
230,2021-08-27,成都银行：渤海基金累计减持1.99%股份,Wind
231,2021-08-27,成都银行上半年实现净利33.89亿元 同比增23.11%,中国网
232,2021-08-27,占比高达29.44%！成都银行拉响警报，房地产贷款远超警戒线,凤凰网
233,2021-08-27,国信证券：维持成都银行(601838.SH)“买入”评级 资产质量优异 收入利润双高增,智通财经
234,2021-08-27,坐拥2000万人口红利，成都银行资产首破7000亿元，个人消费贷款大增七成,时代周报
235,2021-08-27,银行业绩秀肌肉！15家双位数增长，银行股还能买吗,Wind
236,2021-08-26,成都银行2021年半年报：营收、净利增速均超20%，新增存款近820亿创历史最好半年成绩,每日经济新闻
237,2021-08-26,山西证券给予成都银行增持评级：盈利能力优异，延续高成长性,每日经济新闻
238,2021-08-26,中泰证券给予成都银行增持评级：高增长超预期，资产质量优秀,每日经济新闻
239,2021-08-26,三年战略转型交出最好半年成绩：成都银行2021上半年营收、净利增长均超20%！,金融投资报
240,2021-08-26,成都银行成了“房地产银行”？个人贷款近9成为购房贷款,新浪
241,2021-08-26,成都银行上半年资本充足率降 员工薪酬总额同比增18%,中国经济网
242,2021-08-26,成都银行上半年业绩双增不良双降，资本充足率下滑,中华网
243,2021-08-26,成都银行(601838)：高增长超预期 资产质量优秀,新浪
244,2021-08-25,成都银行：上半年净利润同比增长23.11%,Wind
245,2021-08-25,成都银行上半年实现归母净利润33.89亿元 资本充足率降至12.67%,北京商报
246,2021-08-25,成都银行上半年营收、净利增长均超20% 吸储创历史最好半年成绩,和讯
247,2021-08-25,成都银行上半年净利近34亿元增23%，不良贷款率1.1%,澎湃新闻
248,2021-08-25,成都银行2021上半年净利33.89亿元，资本充足率相关指标全线下滑 盈利能力下降,金融界
249,2021-08-25,成都银行(601838.SH)上半年归母净利润同比增长23.11%至33.89亿元,智通财经
250,2021-08-25,成都银行：上半年实现净利润33.89亿元，同比增长23.11%。,新浪
251,2021-08-25,成都银行半年报：上半年净利润33.89亿元 同比增长23%,财联社
252,2021-08-25,A股融资融券日报：两融余额增加68.17亿元（8月24日）,Wind
253,2021-08-19,成都银行(601838.SH)：杨钒辞去董事等职务 董监高成员变化,智通财经
254,2021-08-19,成都银行：董事杨钒辞任,Wind
255,2021-08-19,A股收盘综述：大小指数再度切换，北向大幅流出超百亿,Wind
256,2021-08-19,【行情】银行板块午后持续低迷，成都银行跌近5%，宁波银行、南京银行、邮储银行跟跌,金十数据
257,2021-08-19,银行板块走弱，杭州银行跌近4%，成都银行、南京银行、江苏银行跟跌。,新浪
258,2021-08-17,成都银行董秘等两位高管致歉 因亲属短线交易该行股票获益1.8万,新浪
259,2021-08-17,成都银行高管亲属构成短线交易，获利1.8万元全部上缴,中华网
260,2021-08-17,一银行高管致歉 亲属短线交易获益1.8万,Bank资管
261,2021-08-17,深表自责，成都银行董秘、总经济师因亲属违规炒股道歉 金融监管处罚,新浪
262,2021-08-16,母亲短线交易股票获利 成都银行董秘罗铮称不知情,新浪
263,2021-08-16,成都银行高管亲属多次违规短线交易 涉及董秘和总经济师 金融监管处罚,AI财经社
264,2021-08-15,亲属短线交易获利1.8万元 成都银行两高层致歉,上游新闻
265,2021-08-15,成都银行董秘罗铮与总经济师郑军两高管亲属短线交易,中国经济网
266,2021-08-14,上市公司正负面新闻2021年8月14日星期六,Wind
267,2021-08-14,成都“文创通”助力,成都日报
268,2021-08-13,家属短线交易获益1.8万 成都银行董秘、总经济师双双致歉,中新经纬
269,2021-08-13,晚间重要公告2021年8月13日星期五,Wind
270,2021-08-13,成都银行：高管亲属短线交易所得收益已经全部上缴公司,中证网
271,2021-08-13,成都银行(601838.SH)高管罗铮亲属及郑军亲属短线交易,智通财经
272,2021-08-13,成都银行：高级管理人员亲属短线交易,Wind
273,2021-08-13,商业银行行业：商业银行业日报(2021.8.12),新浪
274,2021-08-12,支持年度大剧《理想之城》开播在即，“文创通”破解文创企业融资难题、共建“理想之城”,每日经济新闻
275,2021-08-11,2021年二季度监管数据快评：行业净利润同比增11% 关注银行中报行情,新浪
276,2021-08-10,银行周报：估值历史最低 触底反弹可期,新浪
277,2021-08-09,银行行业研究周报：长三角城商行大PK,新浪
278,2021-08-08,银行行业周报：社融投放趋于集中 关注全行业H1数据披露,新浪
279,2021-08-07,银行股现止跌迹象，已有资金悄然布局,Wind
280,2021-08-06,A股融资融券日报：两融余额增加49.65亿元（8月5日）,Wind
281,2021-08-05,银行行业点评：今年银行资本补充有哪些新变化？,新浪
282,2021-08-05,A股融资融券日报：两融余额增加114.45亿元（8月4日）,Wind
283,2021-08-04,成都银行拟内部提拔两名行长助理 其中一名为“80后”,和讯
284,2021-08-04,已套现9亿又想抛售7个亿！中国太保再度减持杭州银行，还称常规投资操作 减持股份,证券之星
285,2021-08-04,A股融资融券日报：两融余额减少19.26亿元（8月3日）,Wind
286,2021-08-03,减持杭州银行套现7亿元：中国太保称属于常规投资操作 如何看银行股减持潮？ 减持股份,新浪
287,2021-08-03,7月银保个股遭北向资金抛弃？26只被净减持12只被净增持 近一周已有资金回归迹象 减持股份,财联社
288,2021-07-30,半年信贷投放近800亿元!重庆银行超7成信贷增量投向成渝地区双城经济圈,中国经营报
289,2021-07-28,什么情况？张坤、谢治宇逆势加仓一类股,Wind
290,2021-07-27,固收深度报告：现阶段如何看银行转债？,新浪
291,2021-07-26,银行行业研究周报：区域位置突出的城商行获基金逆势增持,新浪
292,2021-07-23,不在当地能开户存款吗？异地揽储被叫停半年，有民营银行依然可以,贝壳财经
293,2021-07-23,银行行业：公募持仓大幅下降 关注业绩预期修正带来的配置机会,广发证券
294,2021-07-22,深度*行业*银行业2季度持仓点评：重仓比例环比回落 关注银行中报行情,新浪
295,2021-07-21,三家银行上半年净利润大增！机构：关注配置机会,Wind
296,2021-07-19,商业银行行业：商业银行业日报,新浪
297,2021-07-19,银行行业周报：积极关注银行中报行情,新浪
298,2021-07-15,银行股逆势拉升，张家港行大涨6%,Wind
299,2021-07-15,A股融资融券日报：两融余额减少21.14亿元（7月14日）,Wind
300,2021-07-15,成都银行拟出资不超过 10 亿元设立理财子公司,ZAKER
301,2021-07-14,快讯：银行板块持续走弱 成都银行跌超5%,新浪
302,2021-07-14,【行情】银行板块持续走弱，成都银行跌超5%，杭州银行、江苏银行、兴业银行跟跌,金十数据
303,2021-07-14,银行股持续走弱，成都银行跌超4%,Wind
304,2021-07-13,成都银行获维持“ AAA ”评级 房贷占比高面临转型压力,ZAKER
305,2021-07-13,快讯｜成都银行：董事陈存泰任职资格获核准,财经网
306,2021-07-13,成都银行(601838.SH)董事陈存泰任职资格获监管机构核准,智通财经
307,2021-07-13,银行业下半年投资策略：基本面拐点已现 投资价值凸显,新浪
308,2021-07-12,银行业：银行股修复空间显现,新浪
309,2021-07-12,银行行业周报：7月全面降准落地；6月信贷多增社融增速止跌,新浪
310,2021-07-12,降准利好银行？降准后只有银行在挨揍,证券之星
311,2021-07-12,【行情】银行板块持续走弱，杭州银行跌超6%，成都银行、江苏银行、南京银行跟跌,金十数据
312,2021-07-12,银行股午前跳水，杭州银行跌超6%,Wind
313,2021-07-12,银行股高开低走，成都银行、杭州银行双双跌超5%，江苏银行、宁波银行、南京银,新浪
314,2021-07-09,【行情】银行板块持续走弱，成都银行跌超4%，杭州银行、南京银行、上海银行跟跌,金十数据
315,2021-07-09,A股融资融券日报：两融余额增加46.58亿元（7月8日）,Wind
316,2021-07-08,跌哭了！银行、互联网巨头重挫，港股800点大跳水,Wind
