,2021-12-31,猪企的2021年：股价深蹲后触底反弹，下行周期下面临资金考验,华夏时报
111,2021-12-06,农林牧渔行业2022年上半年投资策略：跟随周期 把握政策,新浪
112,2021-12-06,农林牧渔行业：猪价横盘震荡 关注产能去化节奏,新浪
113,2021-12-06,四大猪企销量齐超去年 全年生猪出栏量或超7500万头,羊城晚报
114,2021-12-06,农林牧渔行业周报：我国玉米品种换代改良趋势显现,新浪
115,2021-12-03,7500万头！生猪养殖四大头部企业扩张步伐不减,上证报
116,2021-12-02,立华股份(300761)：黄羽肉鸡景气回暖可期 优质龙头有望充分受益,新浪
117,2021-12-02,温氏股份发生大宗交易 成交折价率22.66%,证券时报网
118,2021-12-02,温氏股份现1笔大宗交易 共成交648.50万元,新浪
119,2021-12-02,温氏股份今日大宗交易成交50万股，成交价12.97元折价22.66%,Wind
120,2021-12-02,温氏股份涨超5%，养殖ETF（159865）涨超1.3%,资本邦
121,2021-12-01,农业行业：紧抱生猪 反转可期,新浪
122,2021-12-01,温氏股份：公司肉猪2022年出栏初步规划为1800-2000万头,Wind
123,2021-12-01,温氏股份：公司今年肉猪（含毛猪和鲜品）出栏目标为1100-1200万头,每日经济新闻
124,2021-12-01,农林牧渔行业：猪价进入一次探底后的反弹区间 市场关注度提升,新浪
125,2021-12-01,2022年农林牧渔行业年度策略报告：把握猪周期反转 拥抱景气度提升,新浪
126,2021-12-01,公募密集调研，调仓换股迹象明显,Wind
127,2021-11-30,基金公司年底密集调仓换股、组团调研（名单）,Wind
128,2021-11-29,农林牧渔行业：猪价持续反弹 关注年底收官行情,新浪
129,2021-11-29,农林牧渔行业周报：猪价震荡博弈 国家农作物种业企业阵型发布,新浪
130,2021-11-29,农林牧渔行业周观点：黄鸡价格高位企稳 优质种企受益扶优举措,新浪
131,2021-11-29,银行理财资金发力权益市场：调研新能源产业链，新关注银行、养殖板块,Wind
132,2021-11-28,银行理财资金调研路线图揭晓，数十家公司股价翻倍,Wind
133,2021-11-28,农林牧渔行业：本周猪价延续反弹走势 “春节”过后将成为下一个去产能观察窗口,广发证券
134,2021-11-27,“跌跌不休”的猪价终于迎来了一波强势反弹,搜狐
135,2021-11-26,"温氏股份现1笔大宗交易 共成交1,291.00万元",新浪
136,2021-11-26,温氏股份今日大宗交易成交100万股，成交价12.91元折价19.51%,Wind
137,2021-11-26,猪周期见底？猪价攀上18元大关，生猪养殖进入盈利通道,华夏时报
138,2021-11-26,需求旺季来临，猪肉价格出现反弹,Wind
139,2021-11-25,"泰国首富募150亿""养猪""，牧原的头号对手要来了？",阿尔法工场研究院
140,2021-11-25,农林牧渔行业：本周猪价继续反弹 关注转基因品种审定办法落地,广发证券
141,2021-11-24,温氏股份：10月份的出栏节奏主要是月初重要节日前后日均出栏量大于下半月日均出栏量所致,每日经济新闻
142,2021-11-24,温氏股份：公司饲养阶段死亡的肉猪，先由活体承担，然后进入主营业务成本,每日经济新闻
143,2021-11-24,温氏股份：公司从国外引进少量曾祖代优秀种猪，主要是用于丰富育种基因素材资源和研究之用,每日经济新闻
144,2021-11-24,农业行业2022年年度策略：新旧周期接力 概念成长换挡,新浪
145,2021-11-24,农林牧渔行业深度分析：猪周期和养殖股历史复盘 和对当前周期探讨,新浪
146,2021-11-23,农林牧渔行业周观点：猪价震荡上行 生物育种产业化推动市场扩容,新浪
147,2021-11-23,“跌跌不休”何时了：猪周期拐点判断及对CPI的影响,新浪
148,2021-11-23,生猪价格6周涨六成，期货“温吞水”仅反弹21%,Wind
149,2021-11-23,生猪价格6周涨六成 期货“温吞水”仅反弹21%,证券时报
150,2021-11-23,生猪价格波动上涨，整体供需仍宽松,Wind
151,2021-11-22,农林牧渔行业周报：生猪产能持续去化 猪价震荡偏强,新浪
152,2021-11-22,温氏股份(300498.SZ)向1003名激励对象授予1641.33万股第二类限制性股票,智通财经
153,2021-11-22,温氏股份(300498.SZ)选举陈海枫及胡焱鑫为职工代表监事,智通财经
154,2021-11-22,农林牧渔2021年11月第3期周报：北方雨雪天气对猪价有何影响 兼谈近期黄羽鸡价格为何上涨？,新浪
155,2021-11-22,申万农林牧渔周观点：关注双十一国产宠物食品销售表现 继续重视生猪养殖左侧布局价值,新浪
156,2021-11-22,农林牧渔行业周报：我国现代种业将进入发展黄金期,新浪
157,2021-11-22,农林牧渔行业周报：重视黄鸡产能去化,国海证券
158,2021-11-22,农林牧渔行业周报第46期：能繁母猪产能去化趋势延续 种植板块高景气依旧,新浪
159,2021-11-21,猪肉价格会涨到几时?,ZAKER
160,2021-11-21,IPO观察｜正大股份拟A股上市，中国市场已进不了前五，产能利用率远未饱和,搜狐
161,2021-11-21,农林牧渔行业：本周猪价延续反弹 关注后续去产能节奏,广发证券
162,2021-11-19,农业行业：黄鸡产能出清加速 价格有望迎反转,新浪
163,2021-11-19,温氏股份：公司今年的肉猪出栏目标为1100-1200万头，1-10月份已销售肉猪（含毛猪和鲜品）1079万头，明年为1800-2000万头,每日经济新闻
164,2021-11-19,温氏股份：公司首先立足国内市场，待时机成熟，再考虑拓展国外市场,每日经济新闻
165,2021-11-19,希望转2：农业龙头 二代再临,新浪
166,2021-11-19,【异动股】鸡肉概念板块下挫，温氏股份(300498.CN)跌3.49%,财华社
167,2021-11-19,北向资金减持榜单：22股减持市值超亿元 减持股份,证券时报网
168,2021-11-18,广东区域股市周报：新增2家上市公司 翰宇药业一周涨60.52%排第一,每日经济新闻
169,2021-11-18,国常会传来利好！海外机构扎堆调研这些公司，榨菜龙头最受关注,Wind
170,2021-11-18,年末密集调研，海外资管巨头盯上A股“便宜货”,Wind
171,2021-11-17,温氏股份接受51家机构调研！短期主力资金净流入，市场资金或早已察觉,每日经济新闻
172,2021-11-17,棱镜｜猪企9个月赔光三年利润，股价却暴涨50％，猪肉股可以抄底了？,腾讯网
173,2021-11-16,温氏股份：公司现有猪场竣工产能约4600万头，并非实际产出为4600万头,每日经济新闻
174,2021-11-16,温氏股份：公司对于新闻媒体论述及未来不确定的事项不做评价,每日经济新闻
175,2021-11-16,温氏股份：公司禽类产品主要是通过B端大批发渠道进行销售,每日经济新闻
176,2021-11-16,温氏股份：公司生产的仔猪，部分养23-25天至7公斤左右断奶后投放给农户，部分保育猪养55天左右至15公斤投放给农户,每日经济新闻
177,2021-11-16,农林牧渔行业周报：转基因品种审定办法落地 种业板块迎来重大变革,新浪
178,2021-11-16,农业2022年年度策略：周期轮回 布局养殖,新浪
179,2021-11-16,温氏股份：猪苗生产成本下降，预计年底完全成本降至8.7元/斤,新京报
180,2021-11-15,申万农林牧渔周观点：转基因品种审定办法落地 商业化进入倒计时阶段,新浪
181,2021-11-15,温氏投资业务进入“快车道”，资本力量为企业长远发展护航,凤凰网
182,2021-11-15,温氏股份：公司10月份自繁苗育肥猪降至9元/斤以下，环比下降明显,Wind
183,2021-11-15,猪价恢复至成本线上 养殖亏损情况有所缓解 亏损,经济观察网
184,2021-11-15,温氏股份接受35家机构调研！短期主力资金净流入，市场资金或早已察觉,每日经济新闻
185,2021-11-15,温氏股份：未来一段时间不会将楼房养猪作为主要发展方向,e公司
186,2021-11-12,温氏股份：公司和叮咚合作，是集团子公司与叮咚直接签约供货,每日经济新闻
187,2021-11-12,温氏股份：截至9月末，公司窝均健仔数已提升至10.3头,每日经济新闻
188,2021-11-11,温氏股份(300498.SZ)：超短期融资券获准注册,格隆汇
189,2021-11-11,农林牧渔行业：龙头企业出栏增长迅速 销售均重环比下滑 盈利能力下降,广发证券
190,2021-11-10,温氏股份：公司现阶段猪苗生产成本大幅下降，由今年初的650元/头持续降至9月底的430元/头左右，部分优秀的猪场单头猪苗生产成本低于280元,每日经济新闻
191,2021-11-10,温氏股份：公司5月份暂停外购猪苗，5月份之后的投苗均以自产猪苗为主,每日经济新闻
192,2021-11-10,温氏股份：目前运营四个冷库储存猪肉项目，但涉及储量相比公司肉猪产品规模仍然较小,每日经济新闻
193,2021-11-10,猪价暴涨前“下车” 10月上市猪企集体大量甩卖或亏损加剧 亏损,财联社
194,2021-11-10,猪粮比连续数日破6，能繁母猪存栏量决定猪周期趋势性拐点,Wind
195,2021-11-09,农林牧渔行业周观点：猪价继续震荡反弹 种业支持政策稳步推进,新浪
196,2021-11-09,猪粮比连续数日破6，能繁母猪存栏量决定猪周期趋势性拐点,第一财经
197,2021-11-09,温氏股份：根据公司前期投苗及生产周期，因5月份暂停外购猪苗，5月份之后的投苗均以自产猪苗为主，若按照正常出栏节奏，预计11月份后相比10月份出栏会有暂时性回落，之后逐月提升至正常生产水平,每日经济新闻
198,2021-11-09,温氏股份：公司暂无投资或者参股子公司在北交所挂牌上市,Wind
199,2021-11-09,猪周期拐点渐行渐近？猪企10月销售均价现企稳迹象,Wind
200,2021-11-09,温氏股份：公司投资管理事业部投资的股权项目有几个已在新三板挂牌,每日经济新闻
201,2021-11-09,温氏股份：公司5月份暂停外购猪苗，9月份投苗中均为自产猪苗,每日经济新闻
202,2021-11-09,温氏股份：10月销售肉猪收入24.86亿元，环比增长3.15%,资本邦
203,2021-11-09,中金固收中资美元债周报：二级市场再度走弱，负面评级频发,Wind
204,2021-11-09,温氏股份：2021年10月销售肉猪181.96万头 环比增7.11%,我的钢铁
205,2021-11-09,中信证券发布2022年海外中资股展望：价值崛起,Wind
206,2021-11-09,Wind风控日报2021年11月9日星期二,Wind
207,2021-11-09,上市公司正负面新闻2021年11月9日星期二,Wind
208,2021-11-09,温氏股份：长江证券、华泰柏瑞等15家机构于11月4日调研我司,证券之星
209,2021-11-09,重要信号！猪企10月销售均价现企稳迹象，猪周期拐点渐行渐近？,Wind
210,2021-11-08,温氏股份：2022年肉猪出栏目标为1800万-2000万头,新京报
211,2021-11-08,理财子公司密集调研后，这些“明星股”大涨,Wind
212,2021-11-08,温氏股份10月肉猪销售收入环比上涨3.15%,贝壳财经
213,2021-11-08,晚间重要公告2021年11月8日星期一,Wind
214,2021-11-08,【晚间公告抢先看】祖名股份上调部分植物蛋白饮品出厂价、ST中天股票累计涨幅较大 停牌核查,金融界
215,2021-11-08,温氏股份10月毛猪销售均价11.79元/公斤，同比下降60.38% 盈利能力下降,阿尔法工场
216,2021-11-08,温氏股份：10月销售肉鸡收入29.90亿元同比增长30.23%,新浪
217,2021-11-08,温氏股份(300498.SZ)：10月肉鸡收入同比升30.23%、环比升12.58%,格隆汇
218,2021-11-08,温氏股份：10月肉猪销售收入24.86亿元,新浪
219,2021-11-08,温氏股份：10月毛猪销售均价环比降1.75% 同比降60.38% 盈利能力下降,财联社
220,2021-11-08,温氏股份：10月肉猪销售收入环比增长3.15%,Wind
221,2021-11-08,农林牧渔2021年11月第1期周报：当前如何看待养殖和种业板块的投资机会？,新浪
222,2021-11-08,农林牧渔周观点：关注拉尼娜“再临”主题 重视养殖板块左侧布局价值,新浪
223,2021-11-08,温氏股份：预计年底完全成本降至8.7元/斤左右 逐步回归正常,e公司
224,2021-11-08,巨亏出清，温氏股份反转来临？ 重大损失,第一财经
225,2021-11-08,三季报一言难尽，私募大佬逆势加仓，“二师兄”有机会了？,Wind
226,2021-11-08,多家头部私募频频调研猪肉概念股,格隆汇
227,2021-11-06,股价大涨意味着投资逻辑生变 “超级猪周期”拐点到来的信号?,投资界
228,2021-11-06,Wind风控日报2021年11月6日星期六,Wind
229,2021-11-06,本周央行两度调升逆回购规模，国债期货大涨创两个月收盘新高｜债市综述,Wind
230,2021-11-05,信用债日报：地产债大跌并上演临停潮，世茂集团澄清传闻,Wind
231,2021-11-05,海外信用评级汇总2021年11月5日星期五,Wind
232,2021-11-05,惠誉：下调温氏股份的长期外币发行人违约评级至“BB+”，展望负面 主体评级下调,Wind
233,2021-11-05,A股2021年三季报分析总结：消费和房地产单季大幅负增长 拖累A股三季报显著低预期,新浪
234,2021-11-05,【行情】养殖业持续下行，巨星农牧跌超5%，民和股份、圣农发展、温氏股份跟跌,金十数据
235,2021-11-05,养猪、电力等行业何时迎拐点？机构预测15只业绩低潮股今年逆转,Wind
236,2021-11-04,基金、外资齐齐加仓“猪茅”，猪周期拐点来了？,Wind
237,2021-11-04,【行情】养殖股继续走强，益生股份、新希望、民和股份、圣农发展、温氏股份等涨幅居前,金十数据
238,2021-11-04,多家上市猪企透露价格反弹 供过于求局面短期或难改善,证券时报
239,2021-11-04,多家上市猪企透露价格反弹，供过于求局面短期或难改善,Wind
240,2021-11-04,大消费板块重回视野，机构积极调仓布局,Wind
241,2021-11-03,温氏股份今日大宗交易成交63.50万股，成交价13.53元折价22.51%,Wind
242,2021-11-03,【国君农业】生猪：行业全面亏损，“危”中看“机”——生猪养殖板块2021年三季报总结 亏损,农业凯歌
243,2021-11-03,温氏股份大宗交易成交63.50万股 成交额859.16万元,证券时报网
244,2021-11-03,多家上市猪企透露价格反弹 猪价回暖不宜过分乐观,e公司
245,2021-11-03,公募基金持股市值创新高，社保显著加仓周期股（附表）,Wind
246,2021-11-03,温氏股份现1笔大宗交易 共成交859.16万元,新浪
247,2021-11-03,终于涨了！逆向大师冯柳突然出手，重仓布局这一惨跌板块！700亿养殖股涨停，能进场抄底了吗？,雪球
248,2021-11-03,首创证券维持温氏股份增持评级，公司简评报告：降本增效效果显著，夯实内功静待周期反转,每日经济新闻
249,2021-11-03,A股收盘综述：“光伏茅”放量迫近跌停恫吓热门赛道，煤炭、地产、防疫板块逆市上扬,Wind
250,2021-11-03,猪肉价格持续反弹，机构却指出这一隐忧，猪周期拐点该如何判断？,财联社
251,2021-11-03,猪肉价格短期震荡回升 周期底部配置价值凸显猪肉概念股反弹走高,财华社
252,2021-11-03,业绩低潮股名单出炉，18股机构预测今年盈利逆转,Wind
253,2021-11-03,温氏股份：公司生猪存栏量处于较高位置。公司今年的肉猪出栏目标为1100-1200万头,每日经济新闻
254,2021-11-03,新希望封板，猪肉板块继续拉升,Wind
255,2021-11-03,温氏股份三季度净亏72亿，猪肉消费回暖，行业春天来了？ 亏损,华夏时报
256,2021-11-03,逃不出猪周期、亏损近30亿元的新希望，迎来了“希望”？ 亏损,美股研究社
257,2021-11-03,张坤再度调研东鹏饮料，公募近两月密集调研消费股,Wind
258,2021-11-02,三季报总结|寒冬来临，猪企业绩惨淡，“拼家底”的时候到了！,财联社
259,2021-11-02,猪周期要反转？冯柳逆势加仓温氏股份，专家：不要盲目投机,证券之星
260,2021-11-02,华泰期货：生猪期货量化回顾及趋势策略探究,华泰期货研究院
261,2021-11-02,猪周期反转？新希望高管增持2.5亿，冯柳大举加仓温氏股份，逆势布局良机来了？,券商中国
262,2021-11-02,申万农林牧渔周观点：Q3基金农业持仓仍处底部 重视养殖板块左侧布局价值,新浪
263,2021-11-01,温氏股份：公司5月份暂停外购猪苗,每日经济新闻
264,2021-11-01,温氏股份：应对猪价低迷，养猪在建项目能缓则缓,新京报
265,2021-11-01,温氏股份：温氏乳业经营稳定，前三季度业绩良好,每日经济新闻
266,2021-11-01,跌超50%的个股即将反转？冯柳超10亿元重仓押注,格隆汇
267,2021-11-01,中金：上游涨价或缓解，A股配置建议逐步转向中下游,Wind
268,2021-11-01,机构扎堆调研温氏股份，公司预计四季度禽业实现盈利可能性较大,Wind
269,2021-11-01,私募大佬放大招！看邓晓峰、冯柳、裘国根等最新持仓,Wind
270,2021-11-01,备战年末行情 知名私募厉兵秣马,中证报
271,2021-10-31,开源证券维持温氏股份增持评级，公司信息更新报告：公司持续降本增效，养殖业务逐步走出低谷,每日经济新闻
272,2021-10-31,开源证券：给予温氏股份增持评级,证券之星
273,2021-10-31,太魔幻！“无鸡可炸”却利润大涨，猪价下跌肉制品反亏,Wind
274,2021-10-30,【兴证策略 | 财报分析】全A ROE超预期回落，哪些行业仍有亮点？,尧望后势
275,2021-10-30,养猪90天，温氏股份亏了72亿 亏损,AI财经社
276,2021-10-29,A股共发生170宗大宗交易成交31.21亿元（10月29日）,Wind
277,2021-10-29,解盘：百亿资金流入，网游、食品、医疗、三胎概念领涨,Wind
278,2021-10-29,止盈转亏 温氏股份2021年前三季度净亏损97.01亿元 亏损,资本邦
279,2021-10-29,中国银河维持温氏股份推荐评级：Q3业绩显著下行，成本逐步回归正常状态中,每日经济新闻
280,2021-10-29,中国银河：给予温氏股份买入评级,证券之星
281,2021-10-29,私募大佬隐形重仓股曝光！冯柳挖到翻倍股，邓晓峰狂买紫金矿业,Wind
282,2021-10-29,三季报十大亏损王 华夏幸福亏134亿居首,投资快报
283,2021-10-28,养猪不赚钱了！猪企“寒冬期”还要维持多久？,国际金融报
284,2021-10-28,猪周期拐点将至？猪价反弹，猪肉概念股先涨为敬！多家基金提前入局,搜狐
285,2021-10-28,温氏股份前三季度亏损97亿元，高毅新进公司前十大流通股东,搜狐
286,2021-10-28,资本动态｜温氏股份三季度：猪周期拖累业绩，净利亏损72亿，高毅新进前十大流通股东 亏损,财经网
287,2021-10-28,【国海农业】温氏股份：三季度猪价低迷影响业绩，未来出栏成长确定性高,微信
288,2021-10-28,10月28日三季报汇总：温氏股份、北汽蓝谷等公司公告出现利空,证券之星
289,2021-10-28,冯柳10亿扫货千亿猪企巨头，周期拐点真的来了？,Wind
290,2021-10-28,"""逆向投资大师""冯柳出手，斥资10亿扫货千亿猪企巨头，周期拐点真的来了？",券商中国
291,2021-10-28,【中证盘前】8连板文山电力提示风险；伊利将成澳优乳业第一大股东；高毅新进温氏股份前十大流通股东,中证报
292,2021-10-28,犀牛早讯：伊利将成澳优乳业第一大股东 杉杉股份第三季净利20.14亿,GPLP犀牛财经
293,2021-10-28,棱镜｜刚换豪车的养猪户又在含泪甩卖：一头亏3000，附近村都没猪了！,腾讯网
