,2021-12-31,“妖股”九安医疗跌停收官，鱼跃医疗挤掉欧普康视跻身市值前十「医疗器械周榜」,华夏时报
43,2021-12-14,北向资金再度扫货超60亿，连续7日抢筹东方财富累计加仓超近61亿元,Wind
44,2021-12-14,爱尔眼科今日大宗交易成交7.52万股，成交价35.77元折价18.85%,Wind
45,2021-12-14,爱尔眼科现1笔大宗交易 共成交268.99万元,新浪
46,2021-12-14,平安证券：海内外疫情继续，新冠检测试剂销量有望增长,财联社
47,2021-12-13,爱尔眼科(300015.SZ)实控人陈邦质押1360万股及解押1902.08万股,智通财经
48,2021-12-13,爱尔眼科：股东陈邦累计质押约7605万股,每日经济新闻
49,2021-12-13,众生药业：公司目前持有爱尔眼科567.44万股,Wind
50,2021-12-13,众生药业：公司目前持有爱尔眼科567.44万股,每日经济新闻
51,2021-12-13,眼科的下半场，谁主沉浮？,虎嗅网
52,2021-12-13,茅指数与宁组合同台竞技，两大赛道谁技高一筹？,Wind
53,2021-12-11,最惨腰斩后，“茅指数”王者归来，股王重振雄风！,Wind
54,2021-12-10,“腹地”市场被抢占，“资本的宠儿”何氏眼科能获得估值溢价吗？,红周刊
55,2021-12-10,爱尔眼科：集采降价后相应的服务量将会增加 公司长期从中受益,乐居财经
56,2021-12-10,爱尔眼科(300015.SZ)吴士君荣获2021年度格隆汇·大中华区“最佳董秘奖”,格隆汇
57,2021-12-10,爱尔眼科再登荣誉榜,大众证券报
58,2021-12-09,医美概念表现活跃 主力、机构青睐这些个股,第一财经
59,2021-12-09,与变化同行，与进化共生 “2021雪球投资者生态大会”召开,中金在线
60,2021-12-09,2022年医药行业策略报告：回本溯源 看好药品行业的长期投资机会,新浪
61,2021-12-09,各种茅集体大涨，外资狂买超200亿！后市如何走？,Wind
62,2021-12-09,跨年行情继续火热，A50ETF（159601）涨超1%再创新高,Wind
63,2021-12-09,又有外资巨头出手“抄底”，这次竟然是TA！,Wind
64,2021-12-08,2021年12月投资月报：医保控费走向精细化 差异化是企业发展策略,新浪
65,2021-12-08,“信徒”普瑞眼科，能成为下一个爱尔眼科吗？,环球老虎财经
66,2021-12-08,爱尔眼科是莆田系吗？治疗白内障的手术方式有哪些？,凤凰网
67,2021-12-08,任泽平：四季度政治局会议传递重大信号,Wind
68,2021-12-08,医药板块整体下行，相关主题基金密集发行,Wind
69,2021-12-08,"超80亿资金狂买医药类ETF，""医药女神""逆势加仓",Wind
70,2021-12-07,张坤、高瓴斩仓！通策跨界、三家对手IPO在即，眼科大佬要凉了？,瞪羚社
71,2021-12-06,国际金融城、爱尔眼科北方总部，京港洽谈会两重点项目签约落户丽泽,北京日报
72,2021-12-06,A股共发生141宗大宗交易成交26.86亿元（12月6日）,Wind
73,2021-12-06,"爱尔眼科现1笔大宗交易 共成交2,028.00万元",新浪
74,2021-12-06,爱尔眼科今日大宗交易成交60万股，成交价33.8元折价20.51%,Wind
75,2021-12-06,2021年基金，买了个“寂寞”,Wind
76,2021-12-06,粤开策略深度 | 医药生物行业2022年展望：价值重鸣，创新为锋,粤开崇利论市
77,2021-12-06,医药生物行业：医保谈判落地 释放积极信号,新浪
78,2021-12-06,医药股再成香饽饽，各路资金集中抄底主题基金,Wind
79,2021-12-06,医疗板块走势低迷，爱尔眼科市值缩水176亿元「医疗器械周榜」,华夏时报
80,2021-12-03,2021中国上市公司软实力巡礼：爱尔眼科价值105.88亿元 排序第46名,搜狐
81,2021-12-03,IPO估值研究︱普瑞眼科会成为下一个爱尔眼科吗？,红周刊
82,2021-12-03,爱尔眼科：公司在保证日常经营资金需求和资金安全的前提下，使用不超过人民币3亿元的闲置自有资金购买理财产品,每日经济新闻
83,2021-12-03,爱尔眼科今日大宗交易成交48.20万股，成交价42.15元溢价0.0%,Wind
84,2021-12-03,爱尔眼科荣获2021“金责奖”最佳责任进取奖,新浪
85,2021-12-02,医药赛道基金经理分析：广发基金吴兴武,招商定量任瞳团队
86,2021-12-01,平均每5万人仅1.6名眼科医生，产教融合培养眼视光人才,科技日报
87,2021-12-01,"爱尔眼科现1笔大宗交易 共成交2,520.27万元",新浪
88,2021-12-01,爱尔眼科今日大宗交易成交73.80万股，成交价34.15元折价18.98%,Wind
89,2021-11-30,爱尔眼科与深圳职业技术学院达成战略合作,e公司
90,2021-11-30,爱尔眼科怎么样？视力0.2，就是200度近视吗？,凤凰网
91,2021-11-29,爱尔眼科三连阴 月初东方财富证券维持增持评级,中国经济网
92,2021-11-29,A股资金流向：赛道股再度大涨“吸金”,Wind
93,2021-11-29,从财务报表看爱尔眼科的六大疑点,Ofweek
94,2021-11-29,生物医药行业周报：加强新时代老龄工作的意见发布 康复行业或将获益,新浪
95,2021-11-29,医疗健康行业周报：政策密集出台 板块压力逐步释放,新浪
96,2021-11-26,爱尔眼科(300015.SZ)：子公司拟出资9990万元参投苏州亮视远筑股权投资合伙企业,格隆汇
97,2021-11-26,爱尔眼科全资子公司拟9990万元作为有限合伙人投资亮视远筑,乐居财经
98,2021-11-26,爱尔眼科(300015.SZ)拟斥9990万元投资亮视远筑 加快眼科相关产业扩张,智通财经
99,2021-11-26,2022年，医药生物板块哪些细分赛道潜力大？,制药网
100,2021-11-26,爱尔眼科：OK镜不会集采，普及率还很低,e公司
101,2021-11-26,爱尔眼科接受17家机构调研！短期主力资金净流出，或存在资金分歧,每日经济新闻
102,2021-11-26,爱尔眼科：公司认为OK镜不会集采，即使集采也可以以价换量,Wind
103,2021-11-26,医疗健康：板块具备配置价值 关注创新国际化路线,新浪
104,2021-11-25,医药行业2021年三季报总结报告：恢复高成长 医药进入估值切换长周期,新浪
105,2021-11-25,东吴策略·行业风火轮：行业抄北上 个股抄QFII,新浪
106,2021-11-25,"爱尔眼科现1笔大宗交易 共成交1,900.00万元",新浪
107,2021-11-25,爱尔眼科今日大宗交易成交50万股，成交价38.0元折价19.47%,Wind
108,2021-11-25,湖南区域股市周报：板块总市值涨348亿 宇晶股份涨58.54%涨幅第一,每日经济新闻
109,2021-11-24,医药生物行业周报：CDE发布《以临床价值为导向的抗肿瘤药物临床研发指导原则》,新浪
110,2021-11-23,眼科医院扎堆上市，10名医生能否撑起清晰医疗港股IPO？,和讯
111,2021-11-22,医药行业周报：近期政策跟踪：迎接行业高质量发展,新浪
112,2021-11-22,爱尔眼科吴士君：社会办医与医疗公益性并不对立,中国经营报
113,2021-11-22,医疗健康：医保谈判结束 医药板块有所回暖,新浪
114,2021-11-20,公司是否有计划与爱尔眼科合作开发研究猪皮移植试点工作？牧原股份：没有相关计划,每日经济新闻
115,2021-11-19,爱尔安星退出秦皇岛爱尔眼科80%股份，爱尔眼科接盘,乐居财经
116,2021-11-19,吴蔚不再担任秦皇岛爱尔眼科法人,乐居财经
117,2021-11-19,北向资金今日大幅净买入近83亿，再度爆买宁德时代超14亿,Wind
118,2021-11-19,爱尔眼科：国金证券、太平洋证券等9家机构于11月16日调研我司,证券之星
119,2021-11-18,顶流基金经理调研“新欢”大起底！热门板块人声鼎沸,Wind
120,2021-11-18,顶流基金经理调研“新欢”大起底！热门板块人声鼎沸，眼茅牙茅成过去式,中证报
121,2021-11-18,吴蔚不再为沧州爱尔眼科法人,乐居财经
122,2021-11-18,爱尔安星退出沧州爱尔眼科51%股份，爱尔眼科接盘,乐居财经
123,2021-11-17,北向资金结束连续4日净买入，贵州茅台遭大幅抛售超11亿元,Wind
124,2021-11-17,"爱尔眼科现1笔大宗交易 共成交1,318.89万元",新浪
125,2021-11-17,爱尔眼科今日大宗交易成交32.80万股，成交价40.21元折价18.65%,Wind
126,2021-11-17,爱尔眼科怎么样有糖尿病就做不了白内障手术吗？,钢企网
127,2021-11-17,爱尔眼科怎么样？白内障怎么自查才靠谱？哪些症状值得警惕？,钢企网
128,2021-11-16,北向资金再度加仓近42亿连续4日净买入，批量扫货白酒医药股,Wind
129,2021-11-16,千亿HPV龙头涨停！CXO全线大涨，医疗ETF（512170）放量劲升2.82%,Wind
130,2021-11-15,医药行业周报：创新药医保谈判落地 北交所开市关注专精特新,新浪
131,2021-11-15,"爱尔眼科现2笔大宗交易 共成交1,718.71万元",新浪
132,2021-11-15,爱尔眼科(300015.SZ)拟使用不超过3亿元闲置自有资金购买理财产品,智通财经
133,2021-11-15,眼科赛道的“觉醒年代”,Ofweek
134,2021-11-15,国谈价格好于市场预期，有利于创新药板块估值修复！【东吴医药朱国广团队】,国广有话说
135,2021-11-15,医药行业周报：2021医保谈判落幕 本周医药板块上涨0.82% 建议关注政策受益的原料药板块,新浪
136,2021-11-14,新一轮高值耗材4省联采启动，瀚川智能周涨幅居前，爱尔眼科市值蒸发385亿,华夏时报
137,2021-11-14,爱尔眼科吴士君：通过上市打造“医教研”平台,中国经营网
138,2021-11-14,爱尔眼科吴士君：80后进入近视和老花并存状态 对眼科服务需求越来越大,新浪
139,2021-11-12,银河美丽混合“名不副实”重仓“大消费”，年内净值回撤超过10%,和讯
140,2021-11-12,北向资金再度加仓超36亿，东方财富本周净买入近28亿,Wind
141,2021-11-12,南京爱尔安星退出廊坊爱尔眼科72.73%股份，爱尔眼科接盘,乐居财经
142,2021-11-12,医药板块2021Q3分析暨11月月报：高基数下增速放缓 板块基本面仍旧强劲 把握配置窗口期,新浪
143,2021-11-11,北向资金杀回马枪超86亿资金回流A股，东方财富获大幅净买入超18亿,Wind
144,2021-11-10,【兴证医药】辉瑞口服新冠药物进展及医药行业后续展望- 医药行业周报(2021.11.01-2021.11.05),兴证医药健康
145,2021-11-10,高瓴易方达蓝筹后撤！营收利润双降，爱尔眼科持续收购是良药？ 盈利能力下降,投资时报
146,2021-11-09,光正眼科转型前景难料,证券市场周刊
147,2021-11-09,达实智能：涉及项目包括中国尊、爱尔眼科、雄安市民服务中心、中粮置地广场、前海桂湾公园等,每日经济新闻
148,2021-11-08,2021年医药行业11月策略报告：战略布局特色原料药及高景气度子行业,新浪
149,2021-11-08,华龙投顾周刊：行情分化明显 短期控制风险,新浪
150,2021-11-08,高瓴张坤离场 千亿“眼茅”市场判断现分歧,中新经纬
151,2021-11-06,葛兰勇进，高瓴撤退，CXO 困境下的“旗手”与“叛徒”,ZAKER
152,2021-11-05,医药行业：高基数和疫情反复下增速放缓,新浪
153,2021-11-05,Wind医药：每日行业动态（2021-11-05）,Wind
154,2021-11-05,第三季度业绩增速普遍放缓，民营医院增长进入瓶颈期？ 盈利能力下降,经济观察报
155,2021-11-05,医疗健康产业2022年投资策略：医疗投资进入百花齐放时代 国产自主化进入新高潮,新浪
156,2021-11-05,爱尔眼科还值得爱吗？,凤凰网
157,2021-11-05,兴业证券：维持爱尔眼科(300015.SZ)“买入”评级 业绩符合预期 毛利率大幅提升,智通财经
158,2021-11-05,爱尔眼科(300015)：业绩符合预期 稳健推进高质量发展,新浪
159,2021-11-05,爱尔眼科单季营收扣非双降 持续并购商誉增至41亿隐患重重 盈利能力下降,新浪
160,2021-11-05,内地富豪百强湖南有新面孔,潇湘晨报
161,2021-11-04,【兴证医药】医药持仓比例历史低位，自下而上布局2022年-2021年11月投资月报,兴证医药健康
162,2021-11-04,高瓴，正在抛弃医药股？,金融界
163,2021-11-04,如果现在就是医药极度悲观的底部，未来该如何布局？,格隆汇
164,2021-11-04,商誉高企+高瓴“跑路” 爱尔眼科三季报是否爆冷？丨解财报,第一财经
165,2021-11-04,2021年11月投资月报：医药持仓比例历史低位 自下而上布局2022年,新浪
166,2021-11-04,高瓴资本3季度只减仓不加仓：安全边际、成长性重定位,Wind
167,2021-11-04,天风Morning Call·晨会集萃·20211104,天风研究
168,2021-11-04,高瓴资本三季度只减仓不加仓，安全边际与成长性需重新定位,Wind
169,2021-11-03,高瓴资本三季度减仓：不确定增加成新常态，安全边际与成长性需要重新定位,21世纪经济报道
170,2021-11-03,公募基金持股市值创新高，社保显著加仓周期股（附表）,Wind
171,2021-11-03,医药生物上市公司2021年三季报小结：板块业绩增速延续稳定 自下而上寻找专精特新,新浪
172,2021-11-02,爱尔眼科投资者接待日圆满结束，跨越23省共谋高质量发展,金融界
173,2021-11-02,A股共发生220宗大宗交易成交35.45亿元（11月2日）,Wind
174,2021-11-02,爱尔眼科医院发违法广告 登广东市监局查处典型案例 其他违规处罚,中国经济网
175,2021-11-02,北向资金连续4日净买入累计扫货近150亿，新能源龙头股集体获抢筹,Wind
176,2021-11-02,爱尔眼科今日大宗交易成交152.59万股，成交价46.5元溢价0.0%,Wind
177,2021-11-02,"爱尔眼科现1笔大宗交易 共成交7,095.44万元",新浪
178,2021-11-02,黄金赛道，“眼茅”寻底,36氪
179,2021-11-02,减持宁王、眼茅…高瓴持仓大调整！4大调仓逻辑曝光，接下来看好这些方向 减持股份,证券之星
180,2021-11-02,高瓴4大调仓逻辑曝光，接下来看好这些方向,Wind
181,2021-11-02,高瓴A股持仓最全梳理！三季度调仓哪些公司？密集调研透露关注方向,Wind
182,2021-11-02,东方财富证券维持爱尔眼科增持评级，2021年三季报点评：业绩稳健增长，扩张并购持续推进,每日经济新闻
183,2021-11-02,东方财富证券：给予爱尔眼科增持评级,证券之星
184,2021-11-02,从“茅指数”到“宁组合”，三季报交出的答卷你满意吗？,新浪
185,2021-11-01,光正眼科转型前景难料,证券网
186,2021-11-01,医药行业三季报扫描：疫苗、CXO高景气，疫情影响持续消退,证券时报网
187,2021-11-01,【兴证医药】公募基金2021Q3医药持仓分析,兴证医药健康
188,2021-11-01,公募三季度全景图绘出， “百亿俱乐部”规模缩水,Wind
189,2021-11-01,基金三季度调仓换股全扫描 明显加仓电力、能源、地产,每日经济新闻
190,2021-11-01,高瓴资本三季报A股持仓全扫描：凯莱英、爱尔眼科等遭卖出,上证报
191,2021-11-01,高瓴资本三季报A股持仓全扫描,Wind
192,2021-11-01,公募三季度全景图绘出“百亿俱乐部”规模缩水,Wind
193,2021-11-01,Q3行情结束，医药板块进入估值切换长周【东吴医药朱国广团队】,国广有话说
194,2021-10-31,2021胡润百富榜出炉！首富换成医药人！,MedTrend医趋势
195,2021-10-31,基金大事件！“公募一哥”重磅发声！,中国基金报
196,2021-10-31,爱尔眼科：前三季度净利润突破20亿元,中国财富网
197,2021-10-30,创业板12年成绩单亮了！总市值突破13万亿,Wind
198,2021-10-30,谁敢在悬崖上拥抱爱尔眼科？,和讯
199,2021-10-30,中信建投公布11月金股名单，共有23只股票,Wind
200,2021-10-30,基金三季度调仓换股全扫描，电力、能源、地产被明显加仓！,Wind
201,2021-10-30,基金三季度调仓换股全扫描，电力、能源、地产被明显加仓！明星基金经理：看好宁德时代市值超贵州茅台,每经头条
202,2021-10-29,爱尔眼科：公司不属于医美概念,每日经济新闻
203,2021-10-29,高瓴遁走，葛兰增持，三季报出炉之际，如何看待爱尔眼科估值分化？,MedTrend医趋势
204,2021-10-29,爱尔眼科今日大宗交易成交131万股，成交价48.53元溢价0.0%,Wind
205,2021-10-29,A股资金流向：主线和题材共振反弹，宁王、隆基联手爆发,Wind
206,2021-10-29,众生药业：爱尔眼科股票并非公司主动进行投资所得,每日经济新闻
207,2021-10-29,众生药业：众生睿创已完成ZSP1603胶囊在健康成人受试者中的Ia期临床研究,每日经济新闻
208,2021-10-29,A股午盘综述：市场资金热炒元宇宙、食品、半导体板块，地产、保险弱势尽显,Wind
209,2021-10-29,爱尔眼科：第三季度扣非后净利润同比负增长 高瓴退出前十大股东 盈利能力下降,面包财经
210,2021-10-29,【东北医药刘宇腾】爱尔眼科(300015)三季报点评：收入结构优化提升盈利能力，股权激励助力“新十年”,东北证券研究所
211,2021-10-28,自古逢秋悲寂寥，让基金经理怀疑人生的公募三季报：这个行业仍然加仓不断,21世纪经济报道
212,2021-10-28,10家药企12名医药人，荣登2021胡润百富榜！,微信
213,2021-10-28,【国联医药】爱尔眼科三季报点评：业绩符合预期，公司成长确定性高,思医辨药
214,2021-10-28,前三季度扣非净利润增幅近四成 爱尔眼科并购扩容,21世纪经济报道
215,2021-10-28,高瓴患上“减持尴尬症” | 巨潮 减持股份,新浪
216,2021-10-28,身价1350亿元！湖南最有钱的是他,搜狐
217,2021-10-28,"震惊！千亿巨头炒股猛亏15.5亿，中国平安也遭波折！高瓴减持三大白马，""宁王""人气却超茅台，赛道接着舞？ 减持股份",券商中国
218,2021-10-27,2021胡润百富榜出炉！医药行业上榜12人，涉及10家企业,新浪医药
219,2021-10-27,每日报告回放,新浪
220,2021-10-27,【投顾论市】“小马过河”——寻宝基金四季度行情【越声头条专栏】,财富动力网
221,2021-10-27,史上最富马斯克！9个月赚巴菲特90年的钱,Wind
222,2021-10-27,张坤减持洋河股份，谢治宇、傅友兴减持双汇发展,Wind
223,2021-10-27,眼科龙头发布三季报并购与出售成关键词,中国经济网
224,2021-10-27,葛兰三季报：在管规模逼近千亿元，聚焦有竞争壁垒的优质公司,澎湃新闻
225,2021-10-27,多因素冲击，市场情绪低迷，股指呈单边下行,新浪
226,2021-10-27,国信证券维持爱尔眼科买入评级，2021年三季报点评：业绩符合预期，收购多家医院完善分级连锁网络,每日经济新闻
227,2021-10-27,“时间的朋友”卖不停，高瓴资本三季度“撤资”医药板块,第一财经
228,2021-10-27,富豪榜洗牌：首富钟睒睒卖水又卖药，恒瑞孙飘扬财富缩水475亿,时代财经
229,2021-10-27,“顶流”又有大动作！张坤减持洋河股份，谢治宇、傅友兴减持双汇发展 减持股份,证券时报
230,2021-10-27,拆财报丨“眼茅”爱尔眼科“意料之中”的业绩下滑与从未停止的版图扩张 盈利能力下降,21世纪经济报道
231,2021-10-27,爱尔眼科(300015)：Q3主业经营超预期 眼科巨舰“新十年”启航,新浪
232,2021-10-27,医药日报 | 默沙东“息宁”多地断供，网上药店涨价约20倍,富途证券
233,2021-10-27,顶流基金经理张坤三季度大调仓：股票仓位提升，大举布局港股市场，加仓消费和银行,每日经济新闻
234,2021-10-27,爱尔眼科(300015)：业绩符合预期 眼科龙头保持高质量发展,新浪
235,2021-10-27,国元证券维持爱尔眼科买入评级，爱尔眼科2021年第三季度报告点评：业绩平稳增长，分级连锁持续推进,每日经济新闻
236,2021-10-27,张坤、刘彦春重磅发声！2大千亿顶流季报出炉,Wind
237,2021-10-27,10月26日193只个股获券商关注，品茗股份目标涨幅达105.53%,每经网
238,2021-10-27,私募最新持仓：高瓴动作频频，2大百亿私募加仓茅台,Wind
239,2021-10-27,狂买这些股！刚刚，两大千亿顶流季报出炉！张坤重磅发声：优质公司估值没有泡沫，未来三到五年可以更加乐观！刘彦春：错误总会被纠正！,中国基金报
240,2021-10-27,私募最新持仓出炉！高瓴动作频频，两大百亿私募加仓茅台！冯柳、邓晓峰布局这些股,券商中国
241,2021-10-27,又有千亿白马遭高瓴减持，公募三大百亿规模以上基金经理却强势增持,Wind
242,2021-10-27,顶流来了！谢治宇、朱少醒、周蔚文、刘彦春等最新持股大曝光,Wind
243,2021-10-27,刚刚曝光！高瓴出手，又有千亿白马遭减持！顶流基金经理再次出手了 减持股份,中国基金报
244,2021-10-26,机构正在抛弃民营医院？张坤、高瓴撤离爱尔眼科（300015）、通策医疗（600763）,智通财经
245,2021-10-26,王宗合三季报：加仓山西汾酒、药明康德、福斯特、三峡能源,澎湃新闻
246,2021-10-26,爱尔眼科前三季度净利润超20亿元,新京报
247,2021-10-26,高瓴大幅减仓“眼茅”爱尔眼科，葛兰却在加仓，究竟谁是时间的朋友？,36氪
248,2021-10-26,明星基金三季度调仓观察：冯明远减仓宁德时代，葛兰加仓爱尔眼科,第一财经
249,2021-10-26,行业 | 利润下滑，是什么拖累了爱尔眼科？ 盈利能力下降,赛柏蓝器械
250,2021-10-26,华金证券维持爱尔眼科增持评级：疫情导致短期增速放缓，长期看好公司成长空间,每日经济新闻
251,2021-10-26,中小盘股前三季度业绩表现突出 基金机构“包场”回馈颇丰,证券之星
252,2021-10-26,爱尔眼科三季度扣非净利负增长 高瓴资本及张坤均已清仓撤退,长江商报
253,2021-10-26,平安证券：给予爱尔眼科增持评级,证券之星
254,2021-10-26,平安证券给予爱尔眼科推荐评级，业绩符合预期，公司内外兼修实现稳步扩张,每日经济新闻
255,2021-10-26,爱尔眼科第三季营收降3% 高瓴张坤退出前十流通股东 盈利能力下降,中国经济网
256,2021-10-26,业绩快报｜三季度营收下滑3.48%，爱尔眼科遭高瓴、易方达大幅减仓 盈利能力下降,36氪
257,2021-10-26,爱尔眼科第三季度营收、扣非净利润双降，高瓴、易方达基金退出，广发、工银瑞信主题基金买入 盈利能力下降,21世纪经济报道
258,2021-10-26,资本动态｜第三季度营收下滑3.48%，爱尔眼科遭控股股东、张坤、高瓴等减持 盈利能力下降,财经网
259,2021-10-26,林一鸣：部分地区疫情反复叠加去年高基数拖累爱尔眼科业绩 盈利能力下降,第一财经
260,2021-10-26,爱尔眼科业绩突然下滑 “公募一哥”张坤和千亿高瓴全跑了｜午间焦点 盈利能力下降,第一财经
261,2021-10-26,太平洋证券：维持爱尔眼科(300015.SZ)“买入”评级 目标价61.9元,智通财经
262,2021-10-26,信达证券发布爱尔眼科研报，公司点评报告：业绩平稳增长，不断完善横向分级诊疗体系,每日经济新闻
263,2021-10-26,信达证券：给予爱尔眼科评级,证券之星
264,2021-10-26,国金证券维持爱尔眼科买入评级：业务结构持续优化，新业务增长动力充足,每日经济新闻
265,2021-10-26,太平洋维持爱尔眼科买入评级：业绩增长稳健，分级连锁持续推进,每日经济新闻
266,2021-10-26,顶流基金经理最新调仓换股路线逐渐浮出水面,第一财经
267,2021-10-26,张坤张磊，一起斩仓“眼科茅台”,投中网
268,2021-10-26,爱尔眼科(300015)：高基数效应导致业绩承压 新院扩张持续进行,新浪
269,2021-10-26,“医药女神”葛兰大举加仓“眼茅”，张坤、高瓴却减持 减持股份,投资界
270,2021-10-26,爱尔眼科(300015.SZ)绩后一度涨近5% 三季度获“医药女神”葛兰加仓,格隆汇
271,2021-10-26,天风证券维持爱尔眼科买入评级：高基数下业绩企稳，内外并举行稳致远,每日经济新闻
272,2021-10-26,国盛证券维持爱尔眼科买入评级：业绩符合预期，“新十年”规划持续推进,每日经济新闻
273,2021-10-26,东吴证券维持爱尔眼科买入评级，2021年三季报点评：业绩符合预期，高质量发展稳步推进,每日经济新闻
274,2021-10-26,东吴证券：给予爱尔眼科买入评级,证券之星
275,2021-10-26,顶流出手！李晓星“新进”光刻胶龙头，蔡嵩松却大手笔减持！还有周应波、刘格菘、朱少醒、丘栋荣、陆彬加仓这些龙头股 减持股份,中国基金报
276,2021-10-26,高瓴、张坤减持“眼茅”，葛兰却大手笔加仓,Wind
277,2021-10-26,又有“顶流”最新动向！葛兰大手笔加仓“眼茅”，高瓴、张坤却减持了…裘国根、葛卫东也有大动作 减持股份,证券时报
278,2021-10-26,凤凰光学三季度盈利锐减，三季报盈利下滑股名单出炉 盈利能力下降,证券时报网
279,2021-10-26,【中证盘前】高瓴、张坤退出“眼茅”前十大流通股股东；高毅减持紫光国微；双良节能签144亿元大单,中证报
280,2021-10-25,张坤、高瓴撤退，“医药女神”加仓！股价一度接近腰斩，“眼茅”还香吗,中证报
281,2021-10-25,爱尔眼科：前三季度净利同比增长近三成 研发投入达1.57亿元,中证网
282,2021-10-25,关注低估值、低位置血制品、消费医疗板块，重点推荐博雅生物、鱼跃医疗等!【东吴医药朱国广团队】,国广有话说
283,2021-10-25,“眼茅”三季度净利润8.88亿元 花6亿元收购10家医院,e公司
284,2021-10-25,【晚间公告抢先看】双良节能子公司签订144.27亿元硅片采购合同、紫光国微第三季度净利润同比增105.87%,金融界
285,2021-10-25,爱尔眼科前三季营利双增：净利润超20亿员，同比增近三成,资本邦
286,2021-10-25,透析“眼茅”财报：前三季度营收增35% 高瓴资本却不看好？,新浪
