,2021-12-31,一汽解放： 拓展商用车后市场 培育更多盈利增长点,发布易
90,2021-11-01,解放、重汽、福田等企业发布三季度报告,卡车之家
91,2021-11-01,孚能科技前三季亏6.5亿 上交所问毛利率持续下滑原因 亏损,中国经济网
92,2021-11-01,计提信用减值损失、三季报业绩情况受质疑，孚能科技收问询函 问询,资本邦
93,2021-11-01,图解一汽解放三季报：第三季度单季净利润同比减40.34% 盈利能力下降,证券之星
94,2021-11-01,一汽解放：前三季度营收886亿元，净利35.68亿,第一商用车网
95,2021-11-01,上交所向孚能科技(688567.SH)发出问询函 要求其说明计提信用减值损失及2021年第三季度报告有关事项 问询,智通财经
96,2021-10-30,解放青汽暖心服务 M计划发布会圆满收官,卡车之家
97,2021-10-29,一汽解放(000800.SZ)前三季度归母净利润同比增长34.59%至35.68亿元,智通财经
98,2021-10-29,交卷！一汽解放：2021年第三季度净利润约2.99亿元，同比下降40.34% 盈利能力下降,每日经济新闻
99,2021-10-29,一汽解放：前三季度净利润同比增长34.59%,Wind
100,2021-10-29,中植新能源汽车与一汽解放卷入股权转让纠纷,乐居财经
101,2021-10-28,【行情】汽车整车持续走低，东风汽车跌近8%，福田汽车、一汽解放、长安汽车、比亚迪等跟跌,金十数据
102,2021-10-28,宸芯科技亮相2021 SAECCE及C-V2X四跨先导应用实践活动,盖世汽车
103,2021-10-27,青汽国六技术品鉴暨暖心服务M计划发布,卡车之家
104,2021-10-26,2021第七届中国载货车技术年会在上海成功举行 · 中国道路运输网（专业道路运输门户）,道路运输网
105,2021-10-22,开战！解放TCO运营挑战赛总决赛激情开跑！,中国机经网
106,2021-10-22,重卡刮起“新能源风”，传统市场格局或将改变,中国机经网
107,2021-10-20,荣庆物流与智加科技达成战略合作，双方将联合运营国内首条量产智能重卡专线,钛媒体
108,2021-10-20,一汽解放首届TCO运营挑战赛总决赛开赛,卡车之家
109,2021-10-20,一汽解放车联网TCO运营挑战总决赛开赛,卡车之家
110,2021-10-18,闻“汛”而动 一汽解放与山西共“晋”,卡车之家
111,2021-10-16,一汽解放总经理吴碧磊：未来发展要夯实传统业务 顺应“新四化”,证券日报网
112,2021-10-15,卡家看财报：一汽解放重卡销售316226辆,卡车之家
113,2021-10-15,左手纯电，右手氢，重卡的新能源转型之路该往哪里走？,36氪
114,2021-10-14,决胜巅峰！解放TCO总决赛即将开幕！,卡车之家
115,2021-10-14,2021重卡市场三大关键词：高开低走，新能源火爆、AMT大热,中国机经网
116,2021-10-14,一汽解放董事长、党委书记胡汉杰：做好汽车“新四化”必答题 加快商用车新能源转型步伐,中证网
117,2021-10-13,一汽解放新能源战略：在纯电动、混合动力、燃料电池三条技术路线全面发力,中国机经网
118,2021-10-12,148家公司获机构调研（附名单）,证券之星
119,2021-10-11,一汽解放(000800.SZ)：9月销量15388辆 同比下降64.97% 盈利能力下降,格隆汇
120,2021-10-11,一汽解放：瞄准超万亿商用车自动驾驶市场 2025年拟实现高速公路L4级智能车商业运营,中证网
121,2021-10-11,一汽解放：9月销售货车、客车合计15388辆 去年同期43925辆,格隆汇
122,2021-10-11,一汽解放：9月总销量约1.54万辆，同比减少64.97% 盈利能力下降,每日经济新闻
123,2021-10-11,一汽解放：9月份销量15388辆，上年同期为43925辆,Wind
124,2021-10-11,今周解禁市值320.53亿 解禁,财富动力网
125,2021-10-11,“医美茅”300亿巨额刚解禁，股东三年暴赚47倍后要减持！40股面临解禁,Wind
126,2021-10-11,“医美茅”300亿巨额刚解禁，股东三年暴赚47倍后要减持！40股面临解禁，多只热门概念股在列（附股） 减持股份,新浪
127,2021-10-10,下周操盘攻略：9月CPI、PPI数据将公布，首批公司披露三季报,Wind
128,2021-10-10,3900亿元市值“油茅”下周解禁超百亿元！ 解禁,Wind
129,2021-10-10,“医美茅”300亿巨额刚解禁，股东三年暴赚47倍后减持在即！下周40股将面临解禁，多只热门概念股在列 减持股份,新浪
130,2021-10-10,3900亿元市值“油茅”下周解禁超百亿元！还有这些股票解禁规模大（附名单） 解禁,中证报
131,2021-10-09,一汽解放董事长胡汉杰：汽车“新四化”的发展是必答题，不是选择题,中国经营网
132,2021-10-09,下周40家公司321亿市值限售股解禁 解禁,Wind
133,2021-10-09,一汽解放新能源事业部宣布成立，现场签单10000辆-网,钢企网
134,2021-10-08,一汽解放：借鉴华为管理理念加快转型,中证网
135,2021-10-08,9月重卡市场新能源最火,第一商用车网
136,2021-10-08,34股获券商买入评级，中国电建目标涨幅达69.89%,Wind
137,2021-10-08,群雄逐鹿万亿级赛道，商用车自动驾驶加速引爆,盖世汽车
138,2021-09-30,物流玩家DeepWay要做“卡车新势力”？专家称噱头大于实际,经济观察报
139,2021-09-30,一汽解放：亚东投资、中邮基金等9家机构于9月29日调研我司,证券之星
140,2021-09-30,一汽解放接受8家机构调研！短期主力资金净流出，或存在资金分歧,每日经济新闻
141,2021-09-30,车市周观察 | 一汽解放成立新能源事业部，极星借壳上市自救,观察者网
142,2021-09-30,一汽解放发布“15333”新能源战略 到2025年投产200kW电堆及70MPa高压储氢技术,北极星电力
143,2021-09-30,新能源新鲜事|宁德时代加码锂电产业链、一汽解放发布新能源战略,鲸平台
144,2021-09-30,宁德时代“截胡”赣锋锂业，拿下加拿大锂业公司；阿斯麦预计未来十年业绩强劲增长；中国华融：拟将所持华融证券71.99%股权公开转让,每经头条
145,2021-09-30,又有龙头车企加码新能源！一汽解放官宣：纯电、混动、燃料电池齐头并进，2035年销售整车50万辆,证券时报
146,2021-09-29,一汽解放与宁德时代等结成新能源商用车产业发展战略联盟,中证网
147,2021-09-29,重磅！一汽解放隆重发布新能源战略,卡车之家
148,2021-09-29,一汽解放发布新能源战略 直指关键核心技术全球领先,中新网
149,2021-09-29,一汽解放新能源事业部宣布成立，现场签单10000辆,第一商用车网
150,2021-09-29,一汽解放发布新能源战略：2035年新能源整车目标销量达50万辆,中证网
151,2021-09-29,挚途全自研超级智驾系统首次亮相 利剑出鞘助力一汽解放斩获大奖,凤凰网
152,2021-09-29,一汽解放成立新能源事业部 2025年要实现新能源车年销12万辆,每日经济新闻
153,2021-09-29,A 股午评：指数早盘低开低走 油气燃气跌幅居前,ZAKER
154,2021-09-29,一汽解放：2035年新能源整车销售50万辆，收入2500亿元,盖世汽车
155,2021-09-29,一汽解放发布“15333”新能源战略 力争2025年新能源整车销售占比达20%,财联社
156,2021-09-29,一汽解放发布“15333”新能源战略,上证报
157,2021-09-29,一汽解放推出车电分离等3项新能源专属服务,e公司
158,2021-09-29,一汽解放目标2025年新能源整车销售12万辆,e公司
159,2021-09-29,【直播】一汽解放新能源战略发布暨新能源事业部成立大会,e公司
160,2021-09-28,中自科技拟登陆科创板，16年精心耕耘成为 “环保催化剂核心国产厂商”,21世纪经济报道
161,2021-09-27,加快布局 一汽解放将成立新能源事业部,ZAKER
162,2021-09-26,一汽解放将成立新能源事业部 加快新能源业务布局,中证网
163,2021-09-26,自主发展！核心技术！引领新能源时代,卡车之家
164,2021-09-24,上汽商用车板块“十四五”目标欲推动两家子公司IPO,Wind
165,2021-09-24,新巅峰！一汽解放J7年度万辆庆典开启,卡车之家
166,2021-09-24,一汽解放投资成立新公司，经营范围含二手车拍卖等,Bianews
167,2021-09-22,重磅！吴碧磊先生担任一汽解放总经理,卡车之家
168,2021-09-22,领创未来智高点 一汽解放J7万辆庆典,卡车之家
169,2021-09-17,一汽解放CA6SM4燃气牵引产品闪耀太原,卡车之家
170,2021-09-17,一汽解放(000800.SZ)聘任吴碧磊担任总经理等,智通财经
171,2021-09-17,一汽解放：朱启昕不再担任总经理 董监高成员变化,Wind
172,2021-09-17,一汽解放智慧动力域首款燃气产品CA6SM4太原发布,中国机经网
173,2021-09-16,干货！发改委发布会：保供稳价、粮食安全、猪肉收储,Wind
174,2021-09-16,中汽协：上市公司上半年业绩表现两重天,Wind
175,2021-09-16,车市速看：一汽解放新燃气车即将发布,卡车之家
176,2021-09-16,16股最新股东户数降逾一成,证券之星
177,2021-09-15,天奇股份一汽解放J7智能工厂总装项目首车成功下线,格隆汇
178,2021-09-15,盘点2020年大中型卡车全球份额：中国一汽(000800.SZ)登顶,格隆汇
179,2021-09-14,一汽解放：新能源重卡“熟了”,乐居财经
180,2021-09-14,一汽解放赠送“火车英雄”宋加雷J6平地板牵引车,中国机经网
181,2021-09-14,2021一汽解放行业首届车联网TOC运营大赛完美收官,工程机械商贸
182,2021-09-14,A股融资融券日报：两融余额增加105.99亿元（9月13日）,Wind
183,2021-09-13,一汽解放成立新能源汽车销售公司，注册资本2亿元,贝壳财经
184,2021-09-13,一汽解放成立新能源汽车销售公司，注册资本2亿元,Wind
185,2021-09-13,A股异动：一汽解放一度涨停，一汽富维涨超7%,证券之星
186,2021-09-13,一汽解放股价涨停,金融界
187,2021-09-13,【行情】一汽解放早盘涨停，一汽富维涨超8%,金十数据
188,2021-09-13,一汽解放(000800.SZ)开盘一度逼近涨停,格隆汇
189,2021-09-13,一汽解放高开超9%，雷军造访一汽集团进行深度洽谈,Wind
190,2021-09-11,小米造车新进展！雷军造访一汽集团进行深度洽谈,Wind
191,2021-09-09,卡家看财报：一汽解放重卡累销30.7万辆,卡车之家
192,2021-09-09,一汽解放：近几年公司结合国六对现有产品平台进行升级和全新的构建，基于发动机国六排放的升级，在全面构建平台的技术，品质，成本的综合领先优势,每日经济新闻
193,2021-09-08,中集车辆：本公司旗下凌宇汽车启动“天启”二期自动化与智能化产线升级项目，并积极联合一汽解放全面推动“油改电”重点项目，联合研发纯电动水泥搅拌车,每日经济新闻
194,2021-09-07,一汽解放(000800.SZ)前8月累计销量同比增长2.91%至37.06万辆,智通财经
195,2021-09-07,一汽解放：8月销量11422辆 同比下降68.7% 盈利能力下降,财联社
196,2021-09-07,一汽解放：8月总销量约1.14万辆，同比减少68.7% 盈利能力下降,每日经济新闻
197,2021-09-06,晚间重要公告2021年9月6日星期一,Wind
198,2021-09-06,晚间公告｜9月6日这些公告有看头,第一财经
199,2021-09-06,亚太股份：公司将成一汽解放零部件开发和生产供应商,财联社
200,2021-09-04,一汽党委副书记：红旗2030年全面实现电动化,Wind
201,2021-08-31,一汽解放发布2021年半年度报告，营收786亿,我的钢铁
202,2021-08-31,干货！2021年中国商用车行业龙头企业分析——一汽解放：重卡龙头开启新时代,前瞻研究院
203,2021-08-31,一汽解放：“红旗”乘用车产品不属于公司旗下,Wind
204,2021-08-31,A股早报2021年8月31日星期二,Wind
205,2021-08-30,卡家看财报：一汽解放净利大增逾五成！,卡车之家
206,2021-08-30,国联证券维持一汽解放增持评级：盈利能力稳步提升，产业链纵深拓展为看点,每日经济新闻
207,2021-08-29,靠实力打赢“五大重点战役” 一汽解放上半年净利润增长52.06%,证券时报
208,2021-08-28,上市公司正负面新闻2021年8月28日星期六,Wind
209,2021-08-27,晚间重要公告2021年8月27日星期五,Wind
210,2021-08-27,一汽解放2021年上半年实现净利润32.69亿元，同比大幅增长54.28%,经济观察网
211,2021-08-27,一汽解放半年报：上半年净利润32.69亿元 同比增长52%,财联社
212,2021-08-27,一汽解放：上半年净利润同比增长52.06%,Wind
213,2021-08-26,干货！2021年中国商用车行业龙头企业对比：东风汽车VS福田汽车VS一汽解放 谁“更胜一筹”？,前瞻研究院
214,2021-08-23,一汽解放新能源战略：纯电、混动、燃料电池三条路，2035新能源整车销售50万辆,亿欧网
215,2021-08-23,汽车股午后发力，长安汽车涨近5%,Wind
216,2021-08-22,美国拟9月底推加强针，“芯片荒”或持续至明年Q1,Wind
217,2021-08-20,炒作过后一地鸡毛，4日跌超30%，机构恐慌性离场,证券之星
218,2021-08-20,碧桂园?美好中国ESG100指数完成2021年度调仓,新浪
219,2021-08-19,保隆科技：公司的氢气压力传感器和氢气浓度传感器主要与上汽捷氢和一汽解放有业务往来,每日经济新闻
220,2021-08-19,看直播享好礼 解放J6L尊享版8.20上市,卡车之家
221,2021-08-19,半年净利预降超7成，超高换手率下机构却合买1261万！ 盈利能力下降,证券之星
222,2021-08-19,向高端中卡市场发力 J6L尊享版即将登场,卡车之家
223,2021-08-18,一汽解放：红旗轿车不是公司生产的产品,每日经济新闻
224,2021-08-17,一汽解放：燃料电池领域规划纳入公司整体战略规划中,Wind
225,2021-08-17,解放J6L尊享版载货将于8月20日隆重上市,卡车之家
226,2021-08-13,崔东树：2021年中国汽车市场呈现低基数高增长的恢复性增长走势,Wind
227,2021-08-11,一汽解放1-7月累计销售近36万辆,中国机经网
228,2021-08-10,一汽解放年销重卡近30万辆 同比增12.9%,卡车之家
229,2021-08-09,今年前7个月一汽解放销量为35.9万辆,北京商报
230,2021-08-09,一汽解放(000800.SZ)：7月销量19978辆 同比下降56% 盈利能力下降,格隆汇
231,2021-08-09,一汽解放(000800.SZ)前七个月累计销量同比增长10.99%至35.92万辆,智通财经
232,2021-08-09,一汽解放：今年累计销量约36万辆，同比增加10.99%,每日经济新闻
233,2021-08-09,预见2021：《2021年中国重卡行业全景图谱》(附市场现状、竞争格局和发展趋势等),中国机经网
234,2021-08-09,8款氢燃料电池重卡大PK,北极星电力
235,2021-08-09,27家涉氢 超140家国内企业上榜《财富》500强,北极星电力
236,2021-08-06,7月汽车公司市值榜 | “缺芯”延续，中国车企市值蒸发620亿；宁德时代领涨动力电池板块,每日经济新闻
237,2021-08-05,一汽解放：青汽国六混凝土机械无惧挑战,卡车之家
238,2021-08-05,7月汽车公司市值榜 | “缺芯”延续，中国车企市值蒸发620亿，动力电池板块集体看涨 连续下跌,每日经济新闻
239,2021-08-04,一汽解放青岛公司新增被执行，历史被执行总金额2288万元,乐居财经
240,2021-08-04,汽车行业 重卡：短期销量下滑 长期趋势向好 盈利能力下降,新浪
241,2021-08-03,一汽解放：直接控股股东为“中国第一汽车股份有限公司”,每日经济新闻
242,2021-08-03,荣光65载 在未来一汽解放的规划更长远,卡车之家
243,2021-08-02,一汽解放与博世动力签约 将在燃料电池发动机、氢发动机等方面深度合作,北极星电力
244,2021-08-02,聚焦氢动力 一汽解放与博世动力合作,汽车之家
245,2021-07-30,一汽解放：新能源布局“大动作” 拟联合博世动力拓展氢燃料汽车领域,中证网
246,2021-07-30,中国一汽总经理助理，一汽解放党委书记、董事长胡汉杰：加快向智慧交通运输解决方案提供商转型,中证网
247,2021-07-29,解放赠送“火车英雄”宋加雷J6牵引车,卡车之家
248,2021-07-27,业内首家自动驾驶科技公司商业化落地——挚途科技向一汽解放供应L3自动驾驶系统,消费日报网
249,2021-07-22,汽车前沿科技系列七：智周万物 自动驾驶重卡量产在即,新浪
250,2021-07-21,ST八菱：公司主要客户有上汽通用五菱、东风小康、东风柳汽、重庆金康、一汽解放、奇瑞汽车等大型车企,每日经济新闻
251,2021-07-21,一汽解放：公司柳州项目已按计划于今年3月份建成并投产,每日经济新闻
252,2021-07-21,一汽解放：公司南方新能源基地按项目计划开展，正在进行厂房基础等施工,每日经济新闻
253,2021-07-21,一汽解放：公司已实现以重型车为主，中型、重型、轻型发展并举的产品格局,Wind
254,2021-07-19,【原创】厚积薄发，为解放自主事业不断“传输动力” ——探访解放传动事业部,中国机经网
255,2021-07-19,民生汽车周报：积分压力下 看好2021新能源车销量增长,新浪
256,2021-07-19,胡汉杰：“十四五”一汽解放将积极转型 利用社会资本加速自我革新,中国经营报
257,2021-07-19,一汽解放将与华为开发智能重卡！,中国机经网
258,2021-07-16,汽车及零部件行业重卡发展方向求索之二：双碳战略叠加政策支持 换电重卡迎新机遇,新浪
259,2021-07-16,业绩预告挖金秘籍：业绩超预期个股有这四大特点,巨丰财经
260,2021-07-15,一汽解放上半年净利润31.2亿-33.3亿元,卡车之家
261,2021-07-15,【行情】A股汽车整车板块持续走弱，亚星客车跌超6%，一汽解放、中通客车、安凯客车跟跌,金十数据
262,2021-07-14,一汽解放发布重卡智慧动力域品牌，京东云推出混合云系统 ，沃尔玛将为25座配送中心部署机器人 | 36氪大公司数字化创新指南0714,36氪
263,2021-07-14,一汽解放龙虎榜数据（7月14日）,Wind
264,2021-07-14,【A股收盘综述】“银地保”普遍低迷，上证50指数再创年内新低,Wind
265,2021-07-14,一汽解放盘中涨停 上半年净利预增45.13%-54.90%,证券时报网
266,2021-07-14,中报预告超预期，一汽解放首板,Wind
267,2021-07-14,重卡首个动力域品牌借力华为 一汽解放将与华为开发智能重卡,证券日报网
268,2021-07-14,一汽解放：上半年净利润预计同比增长45%-55%,中国经济网
269,2021-07-14,一汽解放迎来出车65周年纪念日 第800万辆卡车下线,中证网
270,2021-07-14,聚焦汽车“新四化” 利用资本力量助推公司转型,证券时报
271,2021-07-13,胡汉杰：一汽解放将向“智慧交通运输解决方案提供者”进发,中国经营网
272,2021-07-13,晚间重要公告2021年7月13日星期二,Wind
273,2021-07-13,65岁的解放车“容光焕发”：第800万辆车长春下线,中新网
274,2021-07-13,回顾过去展望未来 解放发布智能动力域,卡车之家
275,2021-07-13,我国自主研发的第800万辆解放牌卡车下线,新华网
276,2021-07-13,一汽解放：上半年净利预增45%-54.9%,e公司
277,2021-07-13,一汽解放：预计上半年净利同比增长45%-55%,财联社
278,2021-07-13,一汽解放：预计上半年净利润31.2亿元至33.3亿元，同比增长45.13%至54.90%,Wind
279,2021-07-13,一汽解放：预计上半年净利同比增长45.13%-54.90%,Wind
280,2021-07-13,一汽解放(000800.SZ)：上半年预盈31.2亿元-33.3亿元同比增长45.13%-54.90%,格隆汇
281,2021-07-13,一汽解放：今年上半年国内商用车市场保持同比增长，公司实现整车销量33.9万辆，同比增长21.9%；其中中重卡销量29.4万辆，同比增长22.8%,每日经济新闻
282,2021-07-13,业内首家！解放发布首个智慧动力域品牌,卡车之家
283,2021-07-13,一汽解放发布行业内首个智慧动力域品牌 第800万辆整车迎来下线,证券时报网
284,2021-07-09,一汽解放2021年中渠道沟通会在嘉兴举行,卡车之家
285,2021-07-08,上半年车企市值分析：比亚迪、长城市值一年增4倍，四大汽车集团掉队,第一财经
286,2021-07-08,市场整体下滑背景下的“亮色”：上半年一汽解放销量同比增长21.92%逼近40万辆,中国经营网
287,2021-07-08,智加科技谈量产：已获得亚马逊1000辆自动驾驶重卡订单,盖世汽车
288,2021-07-08,"亚马逊1,000辆车订单背后——智加科技谈量产",盖世汽车
289,2021-07-08,解放动力“媒·好”计划建设民族品牌,卡车之家
290,2021-07-07,一汽解放(000800.SZ)2020年度权益分派10派5元股权登记日为7月14日,格隆汇
291,2021-07-07,一汽解放(000800.SZ)拟实施每10股派5元 于7月15日除权除息,智通财经
292,2021-07-07,一汽解放上半年销售超33万辆 同比增长21.92%,新华网
293,2021-07-06,一汽解放：上半年重卡销量同比增长24.36% 继续保持行业领先地位,中证网
294,2021-07-06,一汽解放(000800.SZ)前6月汽车销量33.92万辆 同比增长21.92%,智通财经
295,2021-07-06,一汽解放(000800.SZ)：6月销量3.48万辆同比下降29.97% 盈利能力下降,格隆汇
296,2021-07-06,一汽解放：6月总销量约4.04万辆,每日经济新闻
297,2021-07-06,中汽协上市委2021年第一次理事会召开,中证网
298,2021-07-05,汽车行业重卡月度销量点评：6月销量同比-13% Q3或是行业销量低点,新浪
299,2021-07-02,东北老工业基地转型迸发新活力,Wind
300,2021-06-27,一汽解放新能源产品管理部部长裴国权：打造“正循环”的新能源生态圈,科技新闻网
301,2021-06-27,解放动力“媒·好”伙伴计划扬帆起航,卡车之家
302,2021-06-25,驭势创领筑蓝途 一汽解放世界电动车展,卡车之家
303,2021-06-25,解放携新能源产品亮相世界电动车大会！,卡车之家
304,2021-06-25,15.9万元！长春上市公司员工均薪大涨19% 增幅高居68城第二位,投资时报
305,2021-06-25,一汽解放新能源汽车 践行绿色低碳之路,卡车之家
306,2021-06-23,一汽解放：红旗轿车不是公司生产的产品,每日经济新闻
